Krótki film o zamęczaniu | Dla każdego coś przykrego #21
🔗 https://www.youtube.com/watch?v=PJEbgSjA-os

1:  Metal jest twardy.
826:  Straciliśmy tak dużo szans i okazji na to, żeby zobaczyć na czym polega wykształcenie i edukacja w trybie zdalnym, że to jest absolutnie niewiarygodne.
836:  Ja się nie dziwię absolutnie i w stu procentach żadnemu uczniowi.
840:  który chciał powrotu do edukacji stacjonarnej, zobaczywszy tę absolutną patologię, do której chodziło podczas edukacji zdalnej, ponieważ przypomnijmy znowu, bo może się okazać tak, że ktoś ma pamięć jeszcze gorszą od mojej, ale przypomnijmy nie mniej, że jak czytamy na przykład na łamach dziennika z przed roku praktycznie o raporcie dotyczącym edukacji zdalnej,
866:  Brzmiała teza, że zdalne kształcenie uwypukliło wady i błędy polskiej edukacji.
871:  To był raport zresztą robiony przez mojego kolegę z katedry, profesora Grzegorza Ptaszka i konkluzja była następująca.
878:  Metody podające, przeważające w stacjonarnym nauczaniu zostały przeniesione do internetu.
884:  Zabrakło tych elementów, które są charakterystyczne dla efektywnej edukacji zdalnej.
888:  angażujących, rozwijających kompetencje, również cyfrowe, medialne i informacyjne.
893:  W edukacji zdalnej nie chodzi o to, by umożliwiać edukację za pomocą technologii, ale o to, żeby wykorzystywać narzędzia cyfrowe po to, żeby się efektywnie uczyć.
902:  Innymi słowy, abyśmy mieli to powiedzieć naukowo, to edukacja zdalna zremediowała wszystkie patologie edukacji stacjonarnej.
909:  To znaczy, jeżeli tutaj mamy tablicę i tam szmarujemy kredą, to jest to cyfrowa tablica i będziemy sobie cyfrową kredą szmarować.
918:  Super, a po co flipchart?
920:  Po co metoda pracy grupowej?
921:  Po co metoda odwróconej klasy?
923:  Po co debata oksfordzka?
925:  Po co 15 bombilionów różnych metod, które są, nawiasem mówiąc, wykładane na metodyce nauczania?
932:  czego miałem okazję doświadczyć, skoro można robić stare, bo stare to dobre, prawda?
938:  Jak to Artur Sandauer kiedyś powiedział, będziemy wynajdywać coraz to nowe sposoby na włócenie tej samej młodopolskiej słomy.
948:  Wyścieła nam nasze buty, wystaje następnie z zacholewek i jeszcze łechce nas po łydkach.
954:  Tej samej słomy właśnie.
957:  I trudno się naprawdę dziwić i nie winie nikogo, że chciał absolutnej rezygnacji z edukacji zdalnej.
965:  Czytałem wszystkie wasze komentarze pod moimi materiałami dotyczącymi zdalnego nauczania i zgadzam się w stu procentach.
971:  Tak, były patologie, tylko że te patologie nie wynikały z faktu.
975:  że wprowadzono edukację zdalną.
978:  Te patologie wynikały z tego, że edukacja zdalna została wprowadzona niewłaściwie.
982:  To tak samo jak z uzależnieniem od gier wideo, które nie istnieje, mimo WHO, ale to jest materiał na inną okazję.
991:  Gry wideo inherentnie same w sobie nie uzależniają, to pewne mechaniki.
996:  Celowo zaprojektowane w nich tak samo jak np.
998:  w kasynach są projektowane, mogą mieć charakter uzależniający.
1002:  To dopiero właściwości psychofizyczne naszych mózgów.
1005:  Mogą sprawiać, że mamy inklinację ku uzależnieniu i możemy się uzależnić w gruncie rzeczy także od głaskania jamnika albo picia coli.
1014:  Nie tylko od grania w gry wideo, ale tak
1016:  Tak się składa, że WHO nie wpisało głaskania jamnika ani picia coli na listę uzależnień.
1022:  A uzależnienie od gier wideo tak.
1024:  Jaka jest wspólna cecha tych dwóch przypadków?
1026:  No bardzo prosta.
1027:  Mianowicie technofobia.
1029:  Większość boomerów intelektualnych, niemetrykalnych charakteryzuje się potężną technofobią.
1034:  To znaczy uważa, że w momencie, w którym do jakiegokolwiek procesu życiowego zaprzęgnięte zostaną urządzenia,
1041:  technologiczne.
1042:  Przerażające oni się zachowują, tak jak ta dziewczynka z ringu, prawda?
1046:  Gdzie jest tam jakiś telewizor, który straszy, albo pralka, która straszy, albo mikser, który straszy.
1052:  Okropne i przerażające.
1054:  Europejczycy się boją raczej, nie wiem, zombie, guli i wampirów.
1056:  Natomiast, jak wiadomo, horrory dalekowschodnie raczej się koncentrują na urządzeniach technologicznych.
1061:  Oczywiście żartuję, ale kwestia jest taka, że to dobrze obrazuje technofobię, bo mniej więcej tak ludzie się zachowują.
1067:  Zamiast, żeby...
1069:  Spróbować się nauczyć obsługi różnych urządzeń, obsługi internetu, wyszukiwania w internecie informacji, czy wykorzystywania mnóstwa aplikacji do edukacji zdalnej, które nawiasem mówiąc zintegrowane są już z Zoomem.
1083:  Na przykład aplikacja Miro do robienia map myśli jest zintegrowana z Zoomem.
1087:  Wystarczy z niej skorzystać.
1089:  Figma, służąca do prototypowania interfejsów, świetnie się nadaje również do wizualizowania sobie pewnych rzeczy.
1097:  RetroTool pozwala nawet nam na przyklejanie głupich karteczek kolorowych.
1102:  Zamiast żebyśmy robili to za pośrednictwem flipcharta albo w jakimkolwiek innym stacjonarnym układzie, możemy skorzystać z aplikacji.
1109:  Jest dokładnie to samo.
1111:  Różnica właśnie polega tylko na tym, że mamy do tego lepszą i łatwiejszą dostępność i co więcej jeszcze dodam jedno, to znaczy w odróżnieniu od edukacji stacjonarnej
1121:  Edukacja zdalna nie grozi, w żaden sposób naszej planecie nie zużywa jej surowców, bo już i tak korzystamy z tych urządzeń, które zostały skonstruowane i zaprojektowane ze zużyciem tamtejszych wszystkich surowców, prawda?
1135:  Więc teraz może wykorzystujmy je nie tylko do zabawy i rozrywki, tylko korzystujmy je do nauki.
1141:  Ale problem z technofobią szkolną jest taki, że wprowadza ona sztuczny podział.
1146:  że w szkole jesteśmy in angelo cum libello, w kąciku z książeczką i zgarbieni w ten sposób, tak?
1155:  Bo to dobrze działa na nasz kręgosłup, jak jesteśmy tak przygarbieni na tym krzesełku, z którego drzazgi wyłażą i przy tym biuruniu, który jest niedostosowany w ogóle do...
1166:  Tego, że na przykład różni ludzie są różnego wzrostu, ale wiemy, wzbój prokurs, prawda?
1170:  Trzeba, a, urawnił owkę i wszystkich do jednej sztance dopasować, żeby wszyscy pasowali do tych biuruń.
1177:  No i wszystko to sprawia, wszystkie te niedogodności szkolne zaczynają się nawarstwiać i prowadzą do tego, że mamy...
1191:  W której jesteśmy zamknięci tak, aby był to XIX wiek, który nigdy nie minął i tak, aby w ogóle do żadnej rewolucji technologicznej czy informatycznej nie doszło.
1200:  A co jest poza tą bańką?
1202:  Poza tą bańką są urządzenia właśnie będące produktem tej rewolucji technologicznej, które są używane do zabawy, ponieważ mamy serdecznie dość po tych nie wiadomo ilu godzinach.
1213:  I jedyne, co jesteśmy w stanie zrobić, to uwalić się przed Netflixem na godzinę i tak potem zasypiamy.
1218:  A pamiętajmy, że jeżeli jesteśmy Magdą z naszej historii przedstawionej
1223:  w artykule, od którego zaczynaliśmy, to nawet na to częstokroć możemy nie mieć czasu.
1227:  Bardzo często uczniowie i studenci mówią mi, że jedyne, na co mają siłę po przyjściu do domu albo do akademika, to jest wziąć telefon i sobie przescrollować wszystko.
1236:  Tak, czyli paradoksalnie szkoła ma nas chronić przed złym i negatywnym wpływem mediów społecznościowych, tak?
1244:  Tylko co robi?
1245:  Co robi szkoła?
1246:  Zachęca nas do ich używania i co więcej, zachęca nas do ich używania w najbardziej taki bezrefleksyjny i konsumpcyjny sposób, bo o wiele łatwiej jest skonsumować parędziesiąt TikToków w ciągu jakiegoś czasu, niż obejrzeć serial, albo zagrać właśnie w grę wideo, albo nie wiem, douczyć się czegoś w swoim czasie, zamiast żeby po raz kolejny słuchać rodziców i iść na 15 lekcję dodatkową, jakby było mało standardowych lekcji.
1273:  Nie mamy czasu, żeby uczyć się sami.
1275:  Ja efektywnie zacząłem uczyć się sam, jak skończyłem studia magisterskie.
1280:  Podczas studiów doktoranckich i teraz, do dzisiaj, mam czas na samorozwój i to, żeby się samemu różnych rzeczy uczyć.
1287:  Ale przez 20 lat praktycznie nie miałem na to okazji.
1292:  Tak, mam 32 lata, z czego 20 lat spędziłem w różnych placówkach edukacyjnych.
1297:  Ajebiście!
1299:  I co więcej, żeby było śmiesznie, jak sobie ostatnio robiłem taki obrachunek przez to, że zdawałem na studia z wykorzystaniem olimpiady z języka polskiego, to w zasadzie trzy czwarte z tych przedmiotów, które były w szkole, mi się do niczego w życiu nie przydają.
1311:  I nie miałem tego czasu na samorozwój.
1313:  Sam go sobie gospodarowałem.
1314:  Do dzisiaj pamiętam, jak argumentowałem rodzicom, że nie pójdę gdzieś, ponieważ nie mam czasu.
1319:  Teraz też mi się zdarza to mówić, bo nie jestem w stanie wyjść z tego mindsetu, który został mi wdrukowany bardzo wcześnie.
1325:  W człowieku pozostaje lęk, że jeżeli nie będzie cały czas pracował w takim tempie, do jakiego został przyzwyczajony w szkole, a potem niestety jeszcze to się może przesunąć na toksyczną pracę, to nie będzie osiągnąć sukcesu albo co gorsza jego sposób życia i standard życiowy obniży się, a tego nie chcemy.
1343:  Więc cały czas staramy się robić ciut więcej.
1347:  odrobinę więcej dawać z siebie.
1349:  I to jest straszna pułapka.
1352:  Dlaczego?
1353:  Dlatego, że ten proces nie ma końca i kończy się pracoholizmem.
1357:  A pracoholizm to jest faktycznie uzależnienie od pracy i duży problem.
1363:  I dzisiaj zamiast, żebyśmy mieli coachy linkedinowych, którzy nam mówią o tym, że tak, że organizuj swoją pracę, produktywność, nie prokrastynuj, to powinniśmy mieć coachy, którzy by nas uczyli, w jaki sposób odpoczywać.
1376:  Bo to jest o wiele bardziej istotne na tym etapie, w którym się wszyscy w tym momencie znaleźliśmy.
1382:  Nie umiemy odpoczywać, ponieważ nikt nigdy nas tego nie nauczył.
1385:  Bo szkoła wywołała w nas i teraz wywołuje coraz bardziej przez technofobię takie przekonanie, że w momencie, w którym opuszczamy jej mury, to wtedy albo zadania domowe, albo spanko, albo ewentualnie szybki obiadek i jeżeli mamy na coś czas,
1402:  To na bezmyślne i bezproduktywne rozerwanie się czymś, co jest niezobowiązujące i nie wymaga naszego mega zaangażowania.
1410:  I jeszcze raz powtórzę, nie jest w tym absolutnie nic złego.
1413:  I tak, na wypadek, gdyby ktokolwiek myślał, że te sprawy, o których dzisiaj wam mówię, ta wytrzymałość zmęczeniowa, która została przekroczona i dociera do granicy wytrzymałości, bo tą granicą wytrzymałości są właśnie uczniowie chcący wrócić do domu albo chcący, żeby wróciła pandemia,
1433:  Ta granica wytrzymałości jest związana z bardzo określoną rzeczą.
1437:  To znaczy, jest związana z tym, że wymawia nam się cały czas, że to z tego powodu jesteśmy zmęczeni i wykończeni, że była pandemia.
1446:  I to z tego powodu dochodzi do tych wszystkich sytuacji, że była pandemia.
1451:  I to z tego powodu nauczyciele mają problem z uczniami, a uczniowie mają problem z organizacją czasu, żeby była pandemia.
1457:  Tylko wiecie, na czym polega problem?
1459:  Mianowicie o dokładnie tym, o czym mówię, to znaczy wytrzymałości tego naszego kapitału ludzkiego i o granicy wytrzymałości mówiono już znacznie wcześniej.
1469:  Konkretnie w 2018 roku.
1472:  Nie było wtedy pandemii, nie było wtedy covidu.
1475:  Natomiast dalej był ten rząd, który nami rządzi, co jest pewną poszlaką oczywiście.
1479:  I czytamy w OKO.press.
1481:  O tak, Krzysztof, dlaczego ty czytasz OKO.press?
1485:  Bo jest tam link do źródła, które później zweryfikowałem, dlatego.
1489:  Deforma im szkodzi.
1490:  Siódmoklasiści są przepracowani i nieszczęśliwi.
1493:  Ci sami, nawiasem mówiąc, o których przed chwilą czytaliśmy.
1496:  Średnio w szkole spędzają 7 godzin, na nauce w domu dodatkowe 3, czyli 10.
1500:  Więcej niż 2 godziny, niż przewiduje kodeks pracy, nawiasem mówiąc.
1505:  Jedna trzecia siódmoklasistów obowiązki szkolne przenosi na weekend.
1508:  Są zmęczeni i obojętni.
1510:  Nowy raport Rzecznika Praw Dziecka podsumowuje głosy, które do opinii publicznej spływały od września.
1516:  Dzieci harują jak na etacie, reforma zamiast pomagać głównie szkodzi.
1519:  Był to sondaż przeprowadzony w sumie...
1522:  grupie 3300 ponad osób, zarówno wśród dyrektorów, nauczycieli, jak i uczniów.
1527:  I 80% przebadanych uczniów przyznało, że obciążenie pracą jest nadmierne, co potwierdziło, na wypadek, gdybyście mówili, że o tak, Krzysztof się podlizuje uczniom i mówi to, co oni myślą.
1540:  Nie, potwierdziło to 78% rodziców.
1543:  Dorosłych ludzi, którzy zaczynają już zwracać uwagę, że jest problem.
1547:  I okazuje się, że dokładnie ten wymiar godzinowy, który podała Magda w swojej opowieści, jest realizowany w weekend.
1556:  Ja też pamiętam, że w weekendy 3-4, czasem 5 godzin dodatkowo pracowałem.
1561:  I na czym polega cały dowcip, a raczej ponury paradoks tego raportu?
1567:  Mianowicie na tym, że on absolutnie nie został uwzględniony.
1571:  Znaczy, tak by go nie było.
1572:  Był to raport, nawiasem mówiąc, przygotowany przez rzecznika praw dziecka, więc powinniśmy oczywiście...
1577:  zwrócić uwagę na to, że jest to taka instytucja, czy taka osoba w państwie, która jest bezpośrednio odpowiedzialna za przekazywanie nam rzeczowych informacji na temat tego, co się dzieje z młodymi ludźmi, generalnie rzecz biorąc.
1589:  I w tymże raporcie cytowanym przez OKO.press, o Krzysztof, dlaczego cytujesz OKO.press, młodzież mówi o swoim funkcjonowaniu w roli ucznia klasy siódmej.
1600:  3328 odpowiedzi i teraz zobaczcie, jakie rzeczy są wskazywane przez uczniów w najwyższym udziale procentowym, okej?
1608:  Skojarzenia uczniów ze szkołą.
1610:  Przypominam, przypominam jeszcze raz, nie chodzi o szkołę w trakcie edukacji zdalnej.
1620:  Chodzi o waszą ukochaną, wspaniałą, drodzy nauczyciele, szkołę stacjonarną, klasyczną.
1630:  korzystającą z kontaktu rówieśniczego.
1634:  I tę, w której są ci nauczyciele, którzy mówią, że stęskniliśmy się za uczniami, chcemy się z nimi zobaczyć.
1640:  No, to zobaczcie teraz, o jaką to szkołę chodzi i za jaką tęsknimy.
1645:  Hmm?
1647:  Przyżycia.
1648:  Spotkania z kolegami, nie z nauczycielami, co osobliwe.
1652:  49% jako rzecz pozytywna i to się rzeczywiście powtarzało.
1654:  Dużo ludzi narzekało na to, że przez pandemię, przez edukację zdaną nie ma tego kontaktu wieśniczego.
1660:  W sumie procentach to rozumiem, chociaż dla porządku zaznaczę, że sporo osób mówiło mi również, że zawiązało nowe przyjaźnie na Discordzie.
1667:  Zwłaszcza tych osób, które...
1670:  borykały się z rozmaitymi problemami.
1671:  Może to być fobia społeczna, może być to oczywiście problem tego, że w polskiej edukacji represjonuje się osoby niebinarne i wyśmiewa, i stygmatyzuje, i piętnuje.
