TVP Kobieta (feat. Tomasz Kammel Channel) | Dla każdego coś przykrego #8
🔗 https://www.youtube.com/watch?v=-PT6Ro2XTOM

1:  Zagadka.
161:  Przede wszystkim w tym, że jeżeli wejdziecie do przysłowiowej księgarni internetowej i zaczynacie szukać sobie książek, to nie wejdziecie w kategorię, będąc w mojej pozycji, dla mężczyzn, ponieważ takiej kategorii nie ma.
179:  I jeżeli sobie pójdziecie do kiosku,
184:  I spytajcie o magazyny dla mężczyzn.
186:  To dolary przeciw orzechom, że dostaniecie prędzej Playballa lub Hustlera, a nie Men's Health albo, ja wiem, Newsweeka.
197:  I w ogóle dlaczego pomyślałem o Newsweeku?
200:  A dlatego, że w kulturze przedstawia się właśnie zainteresowanie polityką, nauką, techniką jako domenę mężczyzn.
209:  A gotowanie, ubieranie różowych ciuszków, strzelanie skutasoidalnych przedmiotów, no dobrze, może nie strzelanie skutasoidalnych przedmiotów, nie jestem w stanie zrozumieć o co chodziło w tej scenie, ale na pewno malowanie się i zainteresowanie modą, to jest domena kobiety.
227:  Traktuje się to jako domenę kobiet, traktuje się to jako coś, do czego trzeba wychować dziewczynki, które mają umieć się ubrać, mają znać się na styl.
235:  No przecież facetowi wystarczy t-shirt z napisem Everlast i on już będzie ubrany na każdą okazję.
242:  I później taki facet idzie na rozmowę kwalifikacyjną do jakiejkolwiek korporacji.
248:  I zmierzam do tego, że
272:  Można byłoby sobie zadać bardzo podstawowe pytanie.
275:  To znaczy, dlaczego jest tak, że w kulturze pewne rzeczy są określane dla kobiet, a rzeczy, które określane są dla mężczyzn i tak dotyczą kobiet?
287:  Dlaczego tak jest?
289:  Niech ktoś mi da jeden argument, dla którego ja nie mogę sobie wejść do księgarni, skoro jest wolny rynek i równość, i znaleźć sobie w zakładce dla mężczyzn jakąś, nie wiem, powieść przygodową o Indianach i kowbojach, dajmy na to.
302:  Czyli coś, co historycznie w szkołach zwykle zalecało się do czytania chłopcom, dziewczynki kierując w stronę dzieci z Bulerbyn, Heidi Dorastaj, Ani z Zielonego Wzgórza.
314:  Dlaczego nie mogę tego zrobić, skoro jest wolny rynek i równość?
318:  Z bardzo prostego powodu.
320:  I to nie jest mój pogląd, tylko to jest to, jak została zaprojektowana przez wiele, wiele wieków kultura.
326:  Kultura została zaprojektowana z myślą o mężczyznach.
329:  Po prostu.
330:  I ta zakładka dla kobiet to jest informacja dla facetów, żeby się trzymali od tego z daleka, a dla kobiet, o proszę, proszę, wydzieliliśmy wam, dla was, dla was specjalnie.
340:  You, the people.
343:  You, the women, oczywiście nawiązuje do najgorszego filmu Nolana z trylogii batmanowskiej.
351:  Ten obszar i możecie tu sobie buszować, nie przeszkadzając facetom w tym, jak oni sobie będą oglądali książki popularnonaukowe, sensacyjne, fantastykę, science fiction, kryminał, horror itd., itd., itd.
362:  No i oczywiście literaturę piękną.
366:  To jest dziwne i niepokojące, a w każdym razie powinno nam się takie wydać.
370:  Dziwne i niepokojące.
371:  Dlaczego tak zostało to zaprojektowane?
374:  Gdy tymczasem nie zastanawiamy się nad tym.
376:  Nie zastanawiamy się nad tym, dlaczego w ramówce TVP Kobieta są takie filmy jak Czekolada i podobne kojarzone z gatunkiem komedii romantycznej albo obyczajówką.
388:  Dlaczego w ogóle powieści obyczajowe traktowane są tak per nogam?
392:  No aha, kto by tam czytał Katarzynę?
394:  Alak, kto by tam czytał, narodzą z lewiskiem, dlatego to już są takie babskie rzeczy, to nie jest kultura wysoka.
400:  Bardzo często mówię na tym kanale o tym, że fantastyka jest w ten sposób deprecjacyjnie traktowana, że kultura niska, pulpowa, pulp fiction, jak to się mawiało, nieprzypadkowo film Tarantino się tak nazywa, że to jest taka komercha dla mas.
418:  Tak samo jest niestety z literaturą kierowaną dla kobiet.
421:  Dlaczego obyczajówka to jest coś takiego gorszego?
425:  Różowe okładki i jakieś stokowe obrazki facetów z klatami.
432:  Przyjrzyjcie się temu, w jaki sposób kodowanie kolorystyczne, identyfikacja wizualna modelują nasze postrzeganie kobiet w kulturze.
440:  Dlaczego strony z grami wideo dla kobiet są różowiutkie?
445:  Takimi przeglądarkowymi.
446:  Dlaczego w ogóle, myśląc o grach wideo, mieliśmy przez długie, długie lata w branży trudność z wyobrażeniem sobie dziewczyny różniącej w Call of Duty?
456:  a prędzej widzieliśmy ją w Farmville'u albo w Plants vs Zombies, bo rozumiecie, są zombiaki, ale one atakują rośliny, a to kobiety zajmują się roślinami, więc... To bardzo daleko sięga i mógłbym takich przykładów podawać bardzo wiele, ale nie muszę tego zrobić, bo zajmuje się tym pewna gałąź humanistyki.
477:  Nazywa się Gender Studies.
479:  Tak, to ta sama, która według ekspertów z TVP jest ideologią.
486:  to wprawdzie trzeba przyznać, że jest takim dobrym uderzeniem wyprzedzającym, bo jeżeli rozbrajamy jedyną i wyłączną dyscyplinę humanistyki, która jest w stanie krytycznie przeczytać tego rodzaju reprezentacje i pokazać, ale zobaczcie, to są stereotypy, zobaczcie, to nie jest przypadkowe, zobaczcie, modelujemy kulturę w taki sposób, żeby pokazać, że kobiety są jakąś jej osobną częścią, że tworzą sobie swój różowy, kąpiełkowato-winno-czekoladowy świat,
515:  Pełen brokatów i konfetti.
520:  Jeżeli faceci zachowują się tak, jak kobiety są zniewiaściali, to jest negatywne określenie.
527:  Jeżeli mówimy, że ktoś się zachowuje niemęsko, to jest negatywne.
531:  Jak mówimy, że się zachowuje męsko, to jest pozytywne.
536:  To nie jest rzeczą przypadku i tym się zajmują studia genderowe.
541:  Tylko jest problem pewien w takim małym nadwiślańskim kraiku, w którym ani dudu po angielsku.
548:  I no i nie wiada, nie wiada, że angielskie seks i angielskie gender różnią się.
556:  I mamy dwa słówka na określenie dwóch przejawów płci, czy płciowości.
564:  Tego, który jest związany z tym, co jest oczywiste i bezsprzeczne, to znaczy chłop wygląda jak chłop i baba wygląda jak baba, ponieważ ma taką, a nie inną budowę ciała, nie wnikając w szczegóły.
577:  I jeszcze jest druga kwestia, tak?
579:  To znaczy ta strona kulturowa, to w jaki sposób postrzegamy kobietę, to dlaczego ja w tym momencie nie mam nałożonej szminki.
588:  Bo akurat nie jest to zgodne z tym, w jaki sposób manifestuje swoją płciowość.
596:  Nie mam takiej potrzeby.
599:  Są ludzie, którzy mają taką wewnętrzną potrzebę.
602:  Problem polega na tym, że bardzo często ta wewnętrzna potrzeba ma źródło zewnętrzne, bo ktoś nas tego nauczył, ktoś nam to pokazał, ktoś nam powiedział, że tak wygląda świat.
614:  I wszystko jest w porządku, jeżeli to tłumaczymy pięcioletniemu dziecku.
618:  Ale gorzej, jeżeli 30, 40, 50, 60-latkowie łapią się na tego rodzaju przekaz i ulegają takim stereotypom.
626:  TVP kobieta jest kolejnym bardzo dobrym przykładem tego, że musimy nauczyć się w Polsce rozróżniać te przejawy płciowości.
635:  Ja wiem, że nie mamy na to odpowiedniego słowa.
637:  Mówimy płeć.
640:  To też jest swoją drogą, czy mogłoby być przedmiotem studiów genderowych, dlaczego w Polsce nigdy nie wykształciło się językowe zapotrzebowanie na określanie innych przejawów płciowości, bo nie mieliśmy nigdy takiej potrzeby.
651:  Jesteśmy bardzo tradycyjnym społeczeństwem, wychowanym w taki inny sposób, głównie w wierze katolickiej przez całe wieki.
658:  I to też jest odzwierciedlone w naszym języku.
661:  Ale naprawdę trzeba się, myślę, zastanowić, dlaczego w innych językach wykształciły się słowa, i to w naprawdę dość dawno, pozwalające na określenie innych przejawów płciowości w kulturze.
675:  I może też zastanówmy się, czy naprawdę jest tak, że jest popyt na tego rodzaju kanały i na tego rodzaju kategoryzowania literatury.
686:  Bo gwarantuję, że gdyby był popyt, to mielibyśmy także TVP mężczyzna.
693:  A TVN style dotyczyłby także stylu męskiego, a nie tylko i wyłącznie kobiecego, żebyście nie myśleli, że to się dostaje tylko i wyłącznie TVP.
702:  Dla każdego coś przykrego pozostaje wierne swemu tytułowi i obrywa się absolutnie wszystkim.
707:  Ale w tym wypadku chciałem zachęcić was do spojrzenia na kulturę w trochę mniej sztampowy sposób i do nieulegania przekazom medialnym.
716:  Ponieważ przekazy medialne konstruowane są nie po to bynajmniej, by odpowiadać na czyjekolwiek zapotrzebowania, tylko po to, żeby je kształtować.
727:  Nieprzypadkowo media nazywa się w Polsce i nie tylko opiniotwórczymi.
735:  Do następnego.
