10 powodów, by zlikwidować kanon lektur | Dla każdego coś przykrego #55
🔗 https://www.youtube.com/watch?v=xrAHyBIXeEw

0:  W Polsce jest wiele rzeczy niepewnych, ale są też takie absolutnie i bezsprzecznie pewne.
219:  I po drugie, żeby odciągnąć naszą uwagę od daleko ważniejszych wykreśleń, listy, które się tam znalazły i które możecie sobie wszystkie prześledzić w stosownych dokumentach.
230:  Akurat ministerstwo tym razem wypuściło parę ich i one są dość dobrze przygotowane, to znaczy można sobie sprawdzić dokładnie, co wylatuje z podstawy programowej.
246:  bez której nie byłoby ani kanonów, ani listy lektur.
255:  Oraz można sprawdzić rzeczywiście, jakie rzeczy wpadają, jakie wypadają.
260:  Szczerze powiedziawszy, jak patrzę też na te wszystkie listy, zarówno dla szkoły podstawowej, jak i dla szkoły pana podstawowej, czyli liceum oraz technikum, to nie widzę przesadnych różnic względem listy, którą Wam kiedyś komentowałem.
273:  W odcinku mianowicie o, i też postaram się go jak zawsze podlinkować, tym dlaczego poloniści tępią fantastykę.
280:  I tam przedstawiałem wam listę lektur Wydziału Polonistyki Uniwersytetu Jagiellońskiego, który kończyłem i gdzie przekonałem się, gdzie konkretnie te stereotypy, którymi poloniści żyją, wzrastają i z jakiego powodu w zasadzie te lektury są w ten sposób ograniczone.
296:  Więc szczerze powiedziawszy, po raz kolejny nie chcę się kompletnie tym zajmować, ponieważ, jako się rzekło, nie ma to absolutnie żadnego sensu.
302:  I wiecie, do czego wyłącznie prowadzi?
304:  Prowadzi nie tylko do tego, że dyskutujemy na temat, który kompletnie nie należy bardzo często do zakresu naszej specjalizacji, akurat w moim przypadku należy, ale też staram się od niego stronić, bo naprawdę nie o to chodzi.
317:  Współcześnie raczej powinniśmy mapować nasze zainteresowanie, niż tworzyć odgórne listy, ale również sprawia, że...
325:  całkiem sensowni ludzie zaczynają łapać tę przynętę i dyskutować na temat swoich własnych kanonów.
332:  I w ten sposób wpadamy w niekończącą się spiralę dyskusji na temat czegoś, co powinno zostać zlikwidowane.
338:  I to, żeby nie okazało się znowu, że mam jakiś bajas w stosunku do fantastyki, krytycznie patrzę również na takie przypadki, jak chociażby w odniesieniu do orzeczenia czy oświadczenia w Polskiej Fundacji Fantastyki Naukowej, rekomendującej wpisanie na listy lektur, jako się rzekło, fantastyki, więc chyba dobrze.
355:  Tylko, że problem polega na tym, że w ramach tego proponuje się na srebrnym globie Jerzego Żuławskiego, która była powieścią trudną dla mnie, fanatyka fantastyki, okej?
366:  I to jest powieść, która się strasznie zestarzała, trąci myszką i naprawdę nie powinno się jej rekomendować do lektury właśnie z tego względu, że nie pokazuje fantastyki naukowej taką, jaką ona jest współcześnie i nie skaluje poziomu trudności powieści czy jakiegokolwiek innego medium do...
383:  współczesnych zapotrzebowań i zainteresowań ludzi.
386:  Oprócz tego jest Solaris Stanisława Alema, czyli najgorsza powieść Stanisława Alema, jaką można komukolwiek rekomendować, z tego względu, że no hej, są o wiele ciekawsze, które mogą zainteresować nas tą twórczością, chociażby Niezwyciężony, który naprawdę nie różni się w wysokim stopniu od Starship Troopers, tudzież
404:  Chociażby znakomita dystopia, powrót z gwiazd, albo jeżeli ktoś naprawdę chce czegoś filozoficznego i równocześnie satyrycznego, bardzo lemowskiego, to może konkurs futurologiczny, albo opowieści o pilocie Pirxie.
416:  Krótko mówiąc, tych opcji jest multum i naprawdę nie musimy...
420:  Akurat rekomendować filozoficznego, turbo filozoficznego Solaris.
424:  Chyba jedyna rzecz, z którą bym się zgodził, to Limes Inferior Janusza Zeidla, choć osobiście zwykle na start polecam Paradyzję, która jest dużo prostsza.
431:  I może zaczynacie widzieć, na czym polega cały problem tutaj.
434:  To znaczy ludzie bardzo często rekomendują rzeczy, które uważają za...
438:  WYBITNE!
440:  Tylko jest jeden problem, mianowicie akurat szefostwo Polskiej Fundacji Fantastyki Naukowej, no może się zna na literaturze, bo tam znajdują się też pisarze, pisarki, zresztą byłem na spotkaniu założycielskim tego gremium, dlatego też wiem, że ta inicjatywa jest słuszna, natomiast zdarza się tak, że w tej dyskusji zabierają głos ludzie, którzy
459:  kompletnie nic nie wiedzą na temat literatury i co wtedy?
461:  No wtedy na przykład, jak słusznie, a złośliwie punktuje Marcin Zwierzchowski, czyli kulturalny człowiek, na roboczy liście nowych lektur, jako lektura uzupełniająca, proponowany jest problem trzech ciał Louis Sixina, który jest naprawdę książką przetrudną.
476:  To dosyć sucha proza, pisze swoją drogą sam Zwierzchowski, która doceniana jest za zwarstwę fantastyczną naukowo, a nie walory czysto literackie.
485:  Nie dziwi mnie to dokładnie tak samo, jak nie dziwiło mnie, że wydawnictwo literackie, które nie jest bynajmniej kojarzone z fantastyką, jako jedną z nielicznych swoich rzeczy w portfolio, oprócz Dukaja, ma Katarzynę Michalak i jednocześnie Merwina Pika.
499:  To jest gigantyczny rozstrzał, jeżeli chodzi o poziom prozy, a jedno i drugie reklamują cały czas jako, no właśnie...
506:  klasykę literatury i coś, co by kojarzyło się z renomą wydawnictwa literackiego, więc mogłoby być uznawane za coś wybitnego znów, a, tak jak się rzekło, rozstrzał jest tutaj poziomu dość spory.
518:  A zatem problem z listą lektur polega na tym, że ona tworzy następne listy lektur i one pączkują i kumulują i tego jest coraz to więcej, skutkiem czego ludzie zaczynają dyskutować na temat, na którym się kompletnie nie znają.
532:  To jest pierwsza i naczelna rzecz.
534:  Drugi problem list lektur polega na tym, że oprócz tych narracji, które sobie one tworzą i sprzyjają temu, że będzie prawicowa lista lektur, lewicowa lista lektur, równocześnie właśnie sprzyjają upolitycznieniu.
546:  Niesamowicie łatwo jest sterować odgórnie tym, co będziemy myśleć jako społeczeństwo, jeżeli dobierze się odpowiednie teksty, choć oczywiście wspaniałomyślnie należy założyć, że ktokolwiek je przeczyta, nikt tego czytać nie będzie.
559:  I to też jest stały problem, którego nie unikniemy tak długo, jak długo nie będziemy dawać ludziom rzeczy,
564:  które są, no właśnie, proste, które są atrakcyjne i które chce się czytać, które faktycznie mogą zainspirować nas do tego, żebyśmy zainteresowali się literaturą, bo chyba o to chodzi.
576:  Problem jednak polega na tym, że nie o to chodzi.
578:  Cała dyskusja będzie się toczyła, jak zresztą pięknie podsumowuję ten artykuł, wokół tego, czy strącić z piedestału w pustyni i w puszczy i będzie od razu awantura, że to przecież wybitna klasyka, ojej, jak można się w ogóle tego pozbywać,
592:  I ten mechanizm sprawia, że nie będziemy przestawać dostrzegać problemu, który jest u samego sedna.
601:  To znaczy tego, że ktoś właśnie zadecydował, zadekretował, że teraz usuwamy w pustyni i w puszczy.
606:  Jakie to może wywołać reakcje?
609:  Binarne za każdym razem.
610:  Jedni powiedzą, tak, świetnie, wreszcie nie będzie tej ramoty, a drudzy powiedzą, skandal, polska kultura atakowana.
617:  Tertium non datur, nie ma trzeciej reakcji.
619:  I w ten sposób możemy w nieskończoność toczyć te dyskusje i w nieskończoność uzupełniać listę lektur, aktualizować ją i tak dalej, i tak dalej.
626:  Trzeci argument przeciwko listom lektur będzie argumentem czysto historycznym.
630:  Otóż nie było tak zawsze, moi drodzy, że były listy lektur, które były narzucane, więc jeżeli ktoś czuje się konserwatystą,
637:  ale równocześnie nie ma wiedzy literaturoznawczej i nie może w żaden sposób zweryfikować swoich poglądów, to proszę uprzejmie, służę.
644:  To jest świadectwo, no nie z kongresówki, w której, jak wiadomo, problem z nauczaniem języka polskiego i literatury polskiej był dość spory, ale konkretnie z zaboru galicyjskiego, znaczy zaboru austriackiego i z Galicji, gdzie mamy podział na stopnie z pisania,
662:  Czytania i języka polskiego.
664:  A zatem mamy podział na historię literatury, gdzie wykładowo uczono różnych rzeczy związanych z tradycją, kulturą i historią literatury polskiej oraz umiejętności praktyczne, czytanie i pisanie, których nie da się kształcić na...
680:  Nie da się kształcić na archaicznych tekstach z bardzo prostego powodu.
684:  One budują barierę językową.
686:  Na barierze językowej macie nałożoną barierę poznawczą i te dwie bariery sprawiają, że część ludzi się po prostu nie przebije.
694:  I co robi ta część ludzi?
696:  Prowadzi mnie do czwartego argumentu przeciwko lekturom.
699:  No jak to co?
700:  No przecież wszyscy dobrze wiecie, że 90% osób, które się wypowiadają, że zachować pustyni w puszczy, zachować dziady, zachować X, zachować Y...
711:  Absolutnie nigdy tego nie przeczytali, a w 90% przypadków nie zrozumieli, gdyby literaturoznawca przeegzaminował, a tak solidnie, ze znajomości najważniejszych i kluczowych rzeczy, nie tam tematu utworu, tylko faktycznie rzeczy, które ten utwór wnosi do polskiej kultury i literatury, nawet poprosił o wskazanie trzech.
732:  takich aspektów, trzech wartości obywatela, nikt by nie umiał odpowiedzieć na to pytanie, wiecie dlaczego?
737:  No z bardzo prostego powodu.
739:  Mianowicie przecież istnieją, przynajmniej od czasu, kiedy mamy wprowadzony list elektra o tym rysie historycznym za momencik,
747:  Opracowanie z wydawnictwo Greg, zwane przeze mnie wydawnictwem z Gret, jak się uczyłem z tego względu, że polonistka wprost powiedziała w liceum moim rodzicom, którzy byli wtedy wyzwani do szkoły, że Krzysztof może i lubi książki, może i zna się na tym, ale matury to to on nie zda...
768:  ponieważ nie czyta opracowań, a w tych opracowaniach jest tak wszystko pięknie wyłożone.
773:  No przecież zobaczcie, jak tutaj polecane przez egzaminatorów, dziady, pewniak na teście.
781:  I rzeczywiście, moi drodzy, jak sobie zobaczymy na te dziady i na ten pewniak na teście,
787:  Aż zgromadziłem dla Was specjalnie to, no proszę bardzo, biografia Adama Mickiewicza, wszystko tak jak należy, geneza utworu, kijaka następująca, w jakich czasach, wszystko bez przypisów.
802:  Przypisy to jest szkodliwy przesąd.
806:  Nie należy zamieszczać przypisów w podręcznikach i opracowaniach, bo jeszcze nie daj Boże, ludzie by się nie wprost nauczyli, że takie są konieczne.
814:  W związku z powyższym uczymy ludzi, żeby pisali właśnie takim językiem.
818:  Językiem kaznodziei, który głosi prawdy objawione.
822:  Nieważne, o czym będzie mówił.
824:  Potem mówimy o czasie i miejscu akcji.
827:  Bardzo ważne i kluczowe.
828:  Nie wyobrażam sobie czytania Mervyn Peake'a, Dukaja Stevensona, Johna Crowleya bez znania czasu i miejsca akcji.
835:  To jest kluczowa informacja.
837:  Musimy z niej przeegzaminować następnie ludzi, bo się jeszcze okaże, że nie czytali.
845:  kartkóweczka z treści, lekturki jest konieczna, bo się okaże, że ktoś nie przeczytał.
853:  A tak naprawdę okaże się, że ktoś nie przeczytał tego opracowania, ponieważ to właśnie opracowanie, powiedzmy, nie wiem, ma 30 stron, tak?
860:  Ile zajmie wam w prucie tych wszystkich bałamutnych bzdurek?
864:  No nie wiem, 15 minut, 30 minut, 40 minut, godzinę, dwie godziny?
870:  A ile zajmie przeczytanie dziadów?
871:  No troszeczkę więcej, prawda?
872:  Ale na szczęście mamy informację, co są bohaterowie w świecie żywych w drugiej części, w świecie zmarłych, więc jak polonistka zada pytanie, a jacy bohaterowie są w świecie żywych, a jacy bohaterowie są w świecie umarłych, to wszyscy będą znać odpowiedź na to pytanie.
887:  A wiecie, co jest najzabawniejsze?
888:  Jedni i drudzy będą korzystali z dokładnie tego samego opracowania.
892:  Ileż razy widziałem na biurkach nauczycieli w szkołach, w których miałem praktyki zawodowe,
896:  że właśnie leżały sobie opracowania wydawnictwa z gred, no przecież wszyscy gramy w tę grę, tak?
902:  Wszyscy gramy w grę udawania, że jesteśmy rudytami udawania, że cały ten system do czegokolwiek innego służy, ponad recytatyw egzaminacyjny prawd objawionych z opracowanka.
912:  W związku z powyższym prawda jest taka, że wszyscy sprawdzali już nie,
915:  znajomość kontekstu kulturowego i wartość historyczną dziadów Adama Mickiewicza, tylko opracowałem wydawnictwa z Gret.
923:  O, ale co jeszcze, ludowość, jak o, ludowe poczucie sprawiedliwości, ja już przypominam sobie, przypominam sobie te tematy lekcji.
934:  Ludowy systemetyczno-moralny.
936:  Jakie trudne terminy, moi drodzy.
938:  Proszę bardzo.
939:  Jeszcze możemy tutaj o prostych wieśniakach poczytać.
942:  Piękny podział społeczny się nam jeszcze między wierszami wkrada tutaj.
947:  I cytaty, które mogą się przydać.
949:  Po czym rozpoznacie?
950:  Kto przeczytał lekturę, no oczywiście będzie cytował.
954:  A zwłaszcza będzie cytował rzeczy, które pamięta sam nauczyciel.
957:  A dlaczego akurat te cytaty pamięta nauczyciel?
959:  Bo korzysta z tego samego opracowania.
962:  I jeszcze lista bohaterów i popatrzcie, jak nauczycielka spyta, jak wygląda Juzio i Ruzio?
971:  No to ktoś, kto czytał, to sobie pomyśli, kurczę, ja nie pamiętam, w ogóle nie, przecież to czytałem, ale ktoś, kto ma opracowanie wydawnictwa zgr...
980:  polecane przez egzaminatorów, pewnie jak na teście, będzie wiedzieć, że na stronie dwunastej tego wydania, proszę bardzo, wygląd, potem kara, powód kary, prośba, przystroga, widmo złego pana też, wiemy jaki jest wygląd.
992:  Kochałem swoją drogą popatrywać, jak koledzy używali tych opracowań, bo tak używali już ich w latach dziewięćdziesiątych, radośnie, bo wtedy...
998:  zaczęła być wprowadzana i forsowana ta lista lektor oraz wszystkie podstawy i minima i tak dalej, i tak dalej.
1004:  I widziałem na przykład coś takiego, jak Hamlet chociażby ma swój monolog słynny, być albo nie być i tak dalej, i tak dalej.
1010:  No i co pisze wydawnictwo z Gret obok?
1013:  Hamlet filozofuje!
1016:  No zaiste, ale nie wpadłbym na to, szczerze powiedziawszy, jak nauczycielka by zapyta, co robi Hamlet na początku monologu.
1025:  Nie wiem, powiedziałbym, że bierze czaszkę do rąk, czy zamyśla się cokolwiek.
1028:  Nie, Hamlet filozofuje.
1033:  I jak napiszecie Hamlet filozofuje i użyjecie tego czasownika, no to od razu egzaminator wie, co należy postawić, prawda, za znajomość lektury i za znajomość ważnego i istotnego motywu, motywu filozofa w literaturze.
1049:  Oprócz tego rzeczywiście, jeżeli byście zapomnieli o tym czasie i miejscu akcji, który był wcześniej wyłuszczony, tutaj jeszcze macie konkretne numery stroniczek, piękna sprawa, no i moje ulubione,
1061:  Wszystkie cechy w ramach charakterystyki postaci.
1066:  Drugiego najbardziej bezużytecznego gatunku wypowiedzi, którego się uczycie po planie wydarzeń i nigdy później w życiu nie używacie.
1072:  Więc cechy bohatera romantycznego, werteryzm!
1076:  Cechy bohatera romantycznego, romantyczna miłość, indywidualizm!
1079:  Cechy bohatera romantycznego, życie marzeniami!
1082:  I poszukiwanie boskiej kochanki, i wykład, i o księdzu, i o trzech ledzach śmierci.
1086:  Zobaczcie, jak wszystko pięknie tymi kategoriami leci.
1090:  Od razu wiemy, co jest tak naprawdę istotnego w tych lekturkach.
1093:  No i prometeizm.
1095:  Ja już widzę, już widzę tę lekcję temat.
1098:  Prometeizm w poemacie Adama Mickiewicza.
1105:  Już widzicie, do czego to zmierza i widzicie, do czego doprowadzono.
1110:  I nie, nie wczoraj, nie za PiSu, nie za PO, tylko w latach 90.
1115:  Wtedy powstawało to wydawnictwo, wtedy zaczęły okolportować swoje materiały, wtedy powstały te debilne zadania szczyt.
1123:  czytania ze zrozumieniem, o którym powiem w osobnym odcinku dla każdego coś przykrego, ponieważ to jest nowomowa, która została wprowadzona dosłownie w latach 90.
1131:  Jak poszukacie w Google, czy jest przed 1997 rokiem jedna wzmianka sformułowania czytania ze zrozumieniem, to nie znajdziecie takiego sformułowania i z bardzo prostego powodu, bo zostało wtedy wymyślone, a zostało wymyślone po to, żeby nikt nie mógł powiedzieć, że nie ma czegoś takiego jak poprawna i niepoprawna interpretacja.
1150:  Bo nie ma.
1150:  Żaden literaturoznawca nie podpisze się Wam pod taką tezą.
1154:  Ale możecie już powiedzieć, że jest poprawne lub niepoprawne czytanie ze zrozumieniem.
1160:  Inaczej rzecz nazwaliśmy i czytanie ze zrozumieniem bada się w bardzo prosty sposób.
1165:  To znaczy bierzecie wydawnictwo Grek i sprawdzacie, co należało zrozumieć z dziadów.
1170:  No właśnie to.
1172:  Więc jeżeli to zrozumieliście, to rozumiecie utwór, gdzie were problem.
1178:  Dodam jeszcze w ramach tego czwartego naszego argumentu, że wprowadzanie opracowań jest podwójnie nikczemne dla ludzi.
1187:  To znaczy, wy się w ten sposób nie uczycie analizować i interpretować i jak przechodzicie do innego medium i zaczynacie analizować sobie anime i mangę, bo zakładacie kanał na YouTubie na ten temat, to zaczynacie streszczać.
1199:  A to nie o to chodzi.
1200:  Bo wiecie, streszczenie to są spoilery, ludzie nie chcą słuchać spoilerów.
1203:  Albo zaczynacie analizować grę wideo i nie wiecie, jak się za to zabrać w zasadzie i musicie oglądać innych youtuberów, którzy to kiedyś robili, żeby się zorientować, jak to należy uczynić.
1213:  Ba, weźmy prostszy przykład.
1215:  Chcecie komuś coś zarekomendować i co powiecie, że to jest bohater walenrodyczny?
1219:  Czy zawsze będziecie się koncentrować na innych aspektach, tak, tych, których nie wyćwiczyliście w szkole?
1225:  Następny argument przeciwko tego rodzaju listom jest bardzo prosty.
1229:  Mianowicie są one cały czas zaskorupiałe i tkwią, jakby były zamarznięte w bursztynie.
1237:  I problem polega na tym, że jeżeli będziemy mieli taki stan rzeczy dłużej, to my nigdy nie nadgonimy rynku czytelniczego.
1243:  A wiecie, dlaczego nigdy nie nadgonimy tego rynku?
1245:  Ponieważ w tym momencie jest tak, że już nie da się kontrolować tego, jak wiele, bardzo wiele książek wychodzi, z uwagi oczywiście na AI.
1254:  W tym momencie Amazon zablokował możliwość zgłaszania więcej niż trzech książek dziennie, bo tyle było zgłaszanych.
1260:  Więc jeżeli mamy taki gigantyczny nawał produkcji treści, nie chodzi to tylko o literaturę,
1266:  Musimy polegać na fachowcach, recenzentach, nauczycielach, przewodnikach, którzy będą selekcjonować dla nas rzeczy teraz powstające, czytać je, oglądać, grać w nie i konstruować różnego rodzaju rekomendacje.
1280:  Nie bez powodu jednocześnie krytykuję kanon, jakim jest lista lektur narzucana przez ministerstwo, a równocześnie klikam w te same filmy co wy, to znaczy 20 najlepszych filmów szpiegowskich, które musisz obejrzeć.
1293:  Ponieważ to jest lista robiona oddolnie, a nie lista robiona odgórnie.
1297:  Lista robiona odgórnie jest tak rzadka na świecie, zwłaszcza lista sterowana przez państwo, że w Wikipedii macie hasło compulsory reading, które zawiera sformułowanie Polish lektura szkolna.
1308:  Ponieważ tak bardzo niewiele jest na świecie list lektur, które byłyby robione przez rządy.
1314:  I swoją drogą jest na to bardzo dużo danych, które nam to potwierdzają i zgromadziłem dla Was je wszystkie.
1321:  W ramach naszego, teraz już będzie szóstego, pewnie pomyliłem już kolejność 30 razy, argumentu przeciwko listom lektur.
1327:  Otóż praktycznie nigdzie w cywilizowanym świecie nie są one praktykowane.
1331:  I na szczęście dziennikarze zrobili za mnie tę robotę, bo nie udało mi się nigdzie dotrzeć do żadnego zestawienia naukowego, co mnie bardzo martwi.
1338:  Ale na szczęście jest internet.
1340:  W Skandynawii, Wielkiej Brytanii czytamy w artykule...
1343:  Katarzyny Gliwińskiej, Niemczech, Holandii, Włoszech czy Francji lista lektur obowiązkowych to pojęcie nieznane.
1349:  Lista lektur obowiązkowych definiowana zwłaszcza jako narzucana przez Ministerstwo Edukacji lub przez rząd.
1354:  Nikogo ono nie dziwi na Węgrzech i w Chorwacji, i podobnie w Polsce, i podobnie w Rosji, i na Białorusi.
1360:  Nawiasem mówiąc, nie wiem czy wiedzieliście, że Białoruś jest jedynym krajem oprócz Polski, gdzie wystawia się oceny z zachowania.
1366:  Cudowne, prawda?
1367:  Więc to hasło nie dziwi w tych krajach byłego Związku Radzieckiego i krajów orbitalnych w żadnym razie.
1372:  Wszyscy uczniowie czytają tam te same tytuły określone sztywno, zachowawczo, naszpikowaną głównie twórczością wieszczów narodowych listą, a książki napisane są językiem współczesnym.
1381:  Te, no niestety, są uwzględniane w wymiarze marginalnym, co też zupełnie nikogo nie dziwi.
1386:  Swoboda wyboru książek w szkole zdaje się oczywista wszelako.
1389:  w całej Europie Zachodniej i Północnej.
1390:  W Skandynawii, Wielkiej Brytanii, Niemczech, Holandii, We Włoszech, Francji.
1393:  Lista lektur obowiązkowych to pojęcie nieznane.
1394:  I w zasadzie ja tutaj powinienem zakończyć już, ponieważ bardzo często spotykam się z takimi argumentami, że ale Krzysztof, Krzysztof, podaj jakiś kraj, gdzie to działa.
1403:  Dobrze, macie listę krajów.
1405:  Czy to zmieni cokolwiek?
1406:  Czy to zmieniło w ciągu ostatnich 30 lat cokolwiek?
1409:  To, że mamy listę takich krajów, że wszyscy o tym wiedzą?
1412:  Nie, nic absolutnie to nie zmieniło, więc ewidentnie problem musi leżeć głębiej.
1416:  Tak samo jak inne problemy, chociażby to,
1419:  Jedną ręką będziemy podawać dane PISA, które nam pasują, a drugą ręką będziemy zakopywać te, które nam nie pasują.
1427:  I dzięki temu na przykład możemy mówić o tym, że spadają coraz bardziej umiejętności czytania ludzi.
1432:  Fascynujące przecież sądziłem, że skoro mamy listę lektur przymusowych, która różni się przymusowością na tle krajów Europy Zachodniej, no to chyba powinniśmy coraz lepiej czytać.
1445:  Coś jest nie tak, a, to trzeba znaleźć inny powód, z pewnością smartfony, które, jak wiadomo, nie występują w krajach Europy Zachodniej.
1453:  Tam są biedni ludzie, którzy ściubolą sobie na tę starą Nokię z wężem, gra wąż, na wszelki wypadek zaznaczę, i ze słownikiem T9 i taką małą, fajną klawiaturką.
1467:  Oni ściubolą na to, nie to co w Polsce, bogactwo, mocarstwo gospodarcze i potęga, gdzie wszyscy mają najnowsze iPhony i Samsungi, S24 czy jakkolwiek się teraz nazywają.
1479:  No ale w krajach Europy Zachodniej może kiedyś doszlosują do tego poziomu.
1484:  To jest właśnie jakość tej argumentacji, z którą chodzi mierzyć się ludziom, którzy cokolwiek wiedzą na ten temat i później ludzie się dziwią, że ja się denerwuję.
1492:  W niektórych hiszpańskich szkołach uczniowie zachęcani są do tworzenia klasowej biblioteki.
1496:  Każdy uczeń książkę przenosi, która w ostatnim czasie zrobiła na nim wrażenie.
1499:  O nie, o nie, tylko nie to!
1503:  Uczeń, który się nie zna ma przynosić książkę i polecać ją innym?
1508:  Tak to może robić przez całe życie, jeżeli zaszczepi się w nim nawyk sięgania po różne dzieła kultury?
1514:  O nie!
1515:  To strasznie złe!
1517:  Należy stworzyć
1519:  certyfikowaną przez Ministerstwo Edukacji Narodowej bibliotekę, w której pojawią się wyłącznie prawomyślne utwory.
1525:  Tak należy to zrobić, nie tak jak w Hiszpanii.
1527:  I to z tych tytułów na scenie wybierane są te, które cała klasa omawia z nauczycielem.
1530:  W norweskich szkołach nie tylko nie ma listy lektur, coraz trudniej znaleźć klasę, w której wszyscy uczniowie mieliby zadaną do przeczytania tę samą lekturę.
1536:  O nie!
1538:  indywidualizacja w miejsce kolektywizacji.
1541:  Co by pomyślał o nas Stalin?
1543:  To straszne, że odchodzimy w krajach Europy Zachodniej, mam nadzieję, że w Polsce do tego nie dojdzie, od słusznego komunistycznego postulatu kolektywizacji myśli powszechnej,
1554:  który miał się wyrażać tym, że tworzymy ludzi miernych, biernych, ale wiernych, pod łuk równej miary, jak zbój prokrust, co to jedną głowę z jednej strony odcinał albo wydłużał nogi, jeżeli nie pasowało mu do prokrustowego łoża.
1566:  Nawiasem mówiąc, to samo robił zbój Madej, jeżeli ktoś woli kontekst słowiański i polski.
1571:  Niedobrze, musimy stworzyć właśnie tak rzeczony zbój modeli lub prokrust, taką właśnie równie, nie?
1577:  Urawniłowka to się po rosyjsku nazywało i służyło temu, żeby tych, którzy są najgorsi, wyciągać za uszy ponad ich umiejętności, ponad ich możliwości.
1587:  i równocześnie ponad ich predyspozycje zawodowe w obszarach innych niż abstrakcyjne, do takiej średniej, a ty, którzy są najlepsi, uuuu, myślą poza pudełkiem, uuuu, burżuazyjne, indywidualistyczne, utopijne mrzonki, ich musimy udupić.
1604:  Żeby, wiecie, żeby ani jeden nie był za nisko, ani drugi nie był za wysoko.
1607:  Wszyscy byli uśrednieni.
1610:  O to chodziło.
1611:  Więc być może na tym polega różnica między kontekstem polskim, rosyjskim, białoruskim, węgierskim i chorwackim, a norweskim czy hiszpańskim.
