Stare nowe lektury | Dla każdego coś przykrego #16
🔗 https://www.youtube.com/watch?v=ax7Vj8jS0AU

1:  A ja mam zwykłą skrzypkę, co nuci o tym, co było, co już nie wróci.
1025:  Natomiast najciekawsze rzeczy dzieją się, no, ledwie rok później, w podstawie programowej zrewidowanej przez rząd Donalda Tuska, gdzie, w której to dostajemy, i to rzeczywiście widać, o wiele bardziej zeuropizowany wybór, więc sprawdzałyby się stereotypy dotyczące Platformy Obywatelskiej, lektur,
1043:  który został cokolwiek powiedzmy unowocześniony, ale w bardzo charakterystycznym kierunku, który ja po studiach polonistycznych rozpoznaję.
1051:  To znaczy pojawiły się tutaj rzeczy jak np.
1056:  Szymborska, Zagajewski, Miłosz Tokarczuk, Pilch, Fin, Hille i inni, którzy są beniaminkami, ulubieńcami polonistów.
1070:  Dlaczego?
1070:  No dlatego, że rząd Platformy Obywatelskiej, rząd Donalda Tuska w o wiele ściślejszy sposób współpracował ze środowiskami polonistycznymi.
1079:  W związku z powyższym lista lektur została wzbogacona o takie elementy, które się uważa na polonistykach za niezbędne.
1087:  Oczywiście mówię elementy, bo to nie chodzi o określone tytuły, chodzi o wartości i tematy, które się w nich przedstawia.
1094:  Więc oczywiście zamiast polityki historycznej, zamiast patriotyzmu i zamiast nacjonalizmu będziemy mieli kosmopolityzm, będziemy mieli właśnie taką europeizację, nurty wolnościowe i liberalne, omawianą inność i tak dalej, i tak dalej, i tak dalej.
1110:  Zmienia się też tutaj w tej podstawie programowej słowo tekst czy lektura na tekst kultury.
1116:  Uwielbiam to określenie, jest strasznie idiotyczne, ponieważ utwory różne, artystyczne nie zawsze są tekstami, jak na przykład animka albo gra wideo, ale to już inny temat na inny odcinek.
1127:  Natomiast najciekawsza rzecz, którą tutaj znajdziecie na tej liście lektur,
1132:  Pojawia się oczywiście w postaci homilii Jana Pawła II, wygłoszonej 2 czerwca 79, jak również Jana Pawła II tryptyku rzymskiego.
1144:  No skąd się tutaj tryptyk rzymski pojawił?
1147:  Co, wyśleliście, że tryptyk rzymski to jest coś, co teraz minister Czarnek, przepraszam, magister, nie, szkodnista wyższego, i rząd Prawa i Sprawiedliwości prowadził?
1158:  A nie!
1159:  To było wcześniej!
1160:  Czyli to nie jest kwestia polityczna.
1163:  I o to chodzi.
1165:  Znaczy lista lektur jest polityczna, bo każdy kanon lektur jest narracją, jak wam opowiadałem w innym odcinku, który postarają się tutaj podlinkować w rogu.
1175:  Kanon jest narracją, ponieważ przygotowuje nas do życia w określonej rzeczywistości, wpaja nam określone wartości, to jest taka
1181:  Długoterminowa inwestycja, zaczynacie indoktrynować dzieciaki w wieku szkolnym i jest szansa, że w wieku 18 lat wtedy też intensyfikujemy te utwory, które mają adres polityczny, zagłosują na właśnie twoją formację.
1193:  To jest bardzo proste, wręcz prostackie.
1196:  Natomiast tutaj chodzi o coś zupełnie innego.
1198:  To, że to jest prostackie i to, że to jest upolitycznione, nie oznacza wcale, że wstrzykiwanie określonych treści jest domeną jednej partii politycznej.
1207:  Nie.
1208:  Dzieje się to od lat.
1210:  I odpowiadają za to zarówno skrzydła, które są postrzegane w Polsce jako liberalne i postępowe, jak i skrzydła, które są zdecydowanie zaściankowe i antypostępowe.
1221:  I jedni i drudzy słuchają bowiem polonistów.
1226:  A poloniści wmówili w którymś momencie nam wszystkim praktycznie, że w utworze artystycznym jakimkolwiek, zwłaszcza literackim, bo pamiętajmy, że inne utwory artystyczne nie są sztuką, tylko literatura jest sztuką, wyłącznie literatura, medium doskonałe, że one są dobre tylko i wyłącznie wtedy, kiedy przekazują określone wartości.
1246:  No więc jak jesteście politykiem i wiecie coś takiego, to co będziecie robić?
1250:  No będziecie starali się o to, żeby lista lektur przekazywała wasze wartości, a nie, nie, nie te brudne wartości, które są ich wartościami.
1257:  A oprócz tego oczywiście jedna i druga i trzecia i piąta formacja będzie przedstawiała i transmitowała tymi listami lektur wartości, które nazwiemy złośliwie boomerskimi.
1268:  Bo dobrze pamiętamy, że od tego czasu, jak się okazało, że Jan Paweł II krył pedofilię w kościele na dużą skalę, był on bohaterem absolutnie wszystkich, prócz środowisk skrajnie lewicowych, prawda?
1279:  W związku z powyższym nie jest dziwne to, że ten nieszczęsny tryptyk rzymski pojawiał się wcześniej, tylko że wtedy nie było doniesień prasowych na ten temat.
1288:  Doniesienia prasowe się pojawiły w momencie, w którym dziennikarze byli w stanie przystosować czy dopasować jakoś tę narrację do tego, co chcą i tak przekazać.
1296:  A tymczasem sprawa jest znacznie bardziej skomplikowana i odpowiedź na to, paradoksalnie, dlaczego mamy takie, a nie inne zmiany na listach lektur, dostarcza nie kto inny, jak bohater naszego odcinka niechciany, to znaczy minister Czarnek.
1311:  Jak czytamy w jego wypowiedzi, bo nie wywiadzie, minister Czarnek jest ponad wywiadami,
1316:  dla mediów, które mogłyby przekręcić prawdę zawartą w jego słowach.
1323:  Czytamy otóż w nim, w tej wypowiedzi, w tym wywiadzie, który nie jest wywiadem, że martyrologia powinna być znana dzieciom.
1331:  I motywem postępowania obecnego Ministerstwa Edukacji jest to, że ma być promowana w niej historia najnowsza, powszechna i polska w ramach drugiej połowy XX wieku.
1342:  Więc macie od razu tych wszystkich pisaży historycznych plus Jan Paweł II, nie?
1349:  Oczywiście to męczeństwo polskich dzieci w obozach koncentracyjnych itd.
1353:  również będzie jakimś argumentem na rzecz tego, żeby włączać te treści, ale najkluczowe jest to, że pojawi się po prostu nowy przedmiot i temu, że on się pojawia, będzie towarzyszyło również komplementarne zmienianie tego, co się mówi na lekcjach języka polskiego.
1372:  Ale czym jest, możecie zapytać, ta martyrologia, która się pojawia w tytule artykułu?
1379:  Otóż jak zajrzymy sobie do mojego ulubionego agregatora definicji etymologicznych, czyli słownika Etym Online, Online Etymology Dictionary, dowiemy się, że męczennik, czyli marty po angielsku, to jest ten, który daje świadectwo wierze.
1398:  Staroangielskie marty pochodzi z późnołacińskiego też martyr i z greckiego.
1405:  Etymologia grecka jest w tym wszystkim najciekawsza, ponieważ w tej etymologii greckiej dowiadujemy się również tego,
1415:  że tutaj chodzi o określony typ świadectwa, prawda, czyli takiego świadka, jakbyśmy dzisiaj, nie wiem, przywołali świadka chociażby do jakiegoś procesu, czy w ramach jakiegoś procesu, tego, który krótko mówiąc zaświadcza o historii, zaświadcza o jakiś wydarzeniach, które się tam pojawiają.
1433:  I to jest interesujące, bo nagle się okazuje, że nie chodzi tylko i wyłącznie o to właśnie późnośredniowieczne, łacińskie męczeństwo, które jest bardzo silnie skojarzone z religią katolicką i w ogóle z tożsamością judeo-chrześcijańską w Europie.
1448:  Tu chodzi o coś znacznie bardziej rudymentarnego, prostego.
1453:  Tutaj chodzi o to, że mamy do czynienia z literaturą świadectwa.
1459:  A literatura świadectwa, moi drodzy, to jest w równej mierze
1464:  literatura katolicka, czyli historyczna, jak i proza, która będzie mówiła nam chociażby o Holokauście, albo o inności, albo o wykluczeniu jakiejś społeczności w XIX wieku.
1477:  Czyli także Olga Tokarczuk.
1482:  Widzicie już, jak to się łączy wszystko ze sobą?
1485:  To nie jest tak, że jakaś opcja polityczna będzie promowała Olgę Tokarczuk, ponieważ ona jest postępowa i lewicowa.
1493:  Częściowo też.
1495:  Ale zabawne jest to, że i jedna opcja i druga opcja polityczna, czyli nazwijmy to i liberalna i nacjonalistyczna, myśli tymi samymi kategoriami.
1505:  To znaczy premiuje i w jednym i w drugim przypadku literaturę świadectwa.
1510:  tego świadka greckiego, który zaświadcza wydarzeniom.
1513:  No i oczywiście też dociera do nas ten drugi element, który naturalnie jest związany z nacjonalistyczną i konserwatywną ideologią, to znaczy męczeństwem, tym rejtanem, który rozdziera szaty, żeby nie przepuścić obcej ideologii, wstrętnej, obrzydliwej, która charakteryzuje się tym, że jest importowana z Zachodu i zabawne jest to, że partie prawicowe w Polsce nie dostrzegają, że dokładnie tak samo o burżuarzyjnych ideologiach importowanych z Zachodu
1540:  Mówili bolszewicy, a później komuniści, którzy rządzili w Polsce.
1545:  Ale to jest temat na inny odcinek.
1546:  Najzabawniejsze w tym wszystkim jest to bowiem, że po raz kolejny dowiadujemy się, w jak silny sposób politycy, którzy rządzą nami, niezależnie od opcji, polegają na swoim wykształceniu polonistycznym.
1559:  I dlatego ja tak na tym vlogu mantruję o tym, że należy zlikwidować listy lektur, ponieważ jeżeli będziemy myśleć w tych kategoriach cały czas, to będziemy wciąż w zaklętym kręgu, że...
1570:  Teraz, kurwa, my, to my wszystkie lektury usuniemy i wprowadzimy nasze lektury, żeby nie było tych ich wstrętnych kopi-kopi-drapi-drapi-łupu-cupu lektur.
1583:  Bo one są wstrętne, będą teraz te nasze.
1586:  I te czytane przez naszych profesorów na naszych katolickich uniwersytetach.
1590:  A potem będzie druga opcja i będzie, nie, to teraz wprowadzimy te nasze lektury czytane na tych dobrych uczelniach zagranicznych, na tych, które są lewicowi profesorowie, postępowi, nie to zaprzaństwo intelektualne, nie to, co te wieśniaki kopi, kopi, drapi, drapi, łupu, cupu.
1611:  Jedynym sposobem jest to, co próbowała zrobić Daenerys Targaryen i się jej spektakularnie nie udało w ósmym sezonie Gry o Tron.
1618:  Break the wheel.
1620:  Złamać to błędne koło, w którym latamy jak chomiki i cośkolwiek zmienić.
1627:  I w zasadzie próbował to kiedyś zrobić francuski filozof Jacques Derrida.
1631:  który chciał zrewolucjonizować język filozoficzny i skrytykować projekt zachodniej metafizyki.
1638:  Tylko że miał je pewien problem, mianowicie jedyny język filozoficzny, jakim dysponował, to był język metafizyczny.
1645:  Czyli nie mógł tego zrobić językiem metafizyki, musiał wymyślić swój własny.
1649:  I myślę, że to może nas zainspirować do tego, żeby też wymyślić nasz własny język mówienia o lekturach, o tym, co chcemy, czy co warto przeczytać.
1659:  Bo przecież ludzie mają taką potrzebę, niezależnie od tego, jak bardzo są krytyczni wobec list lektur.
1663:  Przecież wystarczy wejść na dowolny wątek na reddicie, wykopie, czy facebooku, czy w jakimkolwiek innym miejscu, w którym się dyskutuje o książkach,
1672:  I w tym wątku, w którym się dyskutuje o książkach, przeczytamy najczęściej następujące pytania.
1677:  Przeczytałem czy zapoznałem się z utworem X?
1680:  Jaki jest podobnego gatunku?
1681:  I to samo będzie w odniesieniu do filmów, anime, gier wideo.
1684:  Ludzie mają potrzebę list, inaczej co drugi film na YouTubie nie byłby topką.
1689:  Top 10 najważniejszych książek, które powinieneś przeczytać.
1692:  Top 10 najlepszych filmów science fiction, które powinieneś poznać.
1695:  Top 5 powodów, dla których nie mam pomysłu na nagłówki na YouTubie.
1700:  My myślimy w tych kategoriach, dlatego że ktoś nas nauczył myślenia w tych kategoriach, ktoś nam pokazał kanon.
1708:  Ktoś nam pokazał ten miernik, kanon to nazwana linijkę, nie?
1712:  Etymologicznie.
1714:  według którego możemy mierzyć jakąś wartość skalarnie, na jakiejś skali.
1720:  Więc prosta rzecz, odrzućmy te potrzeby.
1723:  Raczej myślmy o tym oddolnie.
1726:  Rozmawiamy z kimś, polecamy komuś przeczytanie czegoś.
