MATURA Z WF to bzdura | Dla każdego coś przykrego #44
🔗 https://www.youtube.com/watch?v=quJLjjMNq8c

0:  Wychowanie fizyczne jest fantastyczne!
530:  Podpisuje się Polska Fundacja, co mnie już dziwi, Sportu i Kultury, a co jeszcze mnie dziwi, Fundacja Rozwoju Sportu.
536:  W związku z powyższym, w trakcie dalszych moich poszukiwań stwierdziłem, no chciałbym się dowiedzieć, co mówią na ten temat ludzie, którzy są...
544:  współpodpisującymi się, czyli kontrasygnującymi rzeczoną akcję.
548:  No i na szczęście okazało się, że Decathlon wobec faktu, że nikt nie chciał z nimi rozmawiać na ten temat, przeprowadził wywiad na szczęście sam ze sobą.
555:  Więc w tekście czas na maturę z WF-u cały czas na tej stronie ichniej dotyczącej matury z WF-u czytamy
562:  że no właśnie wyszła taka propozycja, zdiagnozowane zostaje, dlaczego uczniowie nie lubią WF-u, mianowicie koszykówka, bieganie, siatkówka i piłka nożna, to na nich skupiały się typowe zajęcia z WF-u, a co z innymi dyscyplinami, zwłaszcza indywidualnymi?
575:  Aha, bo myślałem, że co z aktywnością fizyczną, zwłaszcza indywidualną, bo wiecie, w Decathlonie możemy znaleźć sztangi, możemy znaleźć narty biegowe, możemy znaleźć kijki do Nordic Walking, możemy znaleźć maty do jogi, wszystkie te rzeczy, które...
588:  faktycznie mogłyby się wpisywać w nowy program lekcji WF-u, takich, wiecie, normalnych, w kraju, w którym nie priorytetyzuje się tego, że przy każdej szkole musi być orlik, ponieważ piłka, piłka nożna, tylko robimy siłownię, robimy salę fitness, dbamy o to, żeby ludzi nauczyć, w jaki sposób zdrowy ćwiczyć.
605:  Jeżeli szkoły nie stać na to, żeby mieć same maszyny, proszę bardzo, inwestujemy w przynajmniej jakieś maty treningowe, po taniości idziemy, ale przynajmniej tak, żeby można było nauczyć prawidłowych ćwiczeń, czyli tego, czego ludzie się uczyli
618:  z YouTube'a podczas COVID-u, właśnie tego.
621:  I to mogłoby bez problemu być realizowane i myślę, że Decathlon by się pod tym podpisał, ba, nawet myślę, że by mogli sporo zarobić, bo ktoś by kupił trampki, ktoś by kupił właśnie buty biegowe, bo by się nauczył na przykład, że takie bieganie to dobra rzecz, ponieważ można zrzucić parę kilogramów, wyrobić mięśnie nóg, fajna sprawa.
637:  Nie, nie, moi drodzy, trzeba zadbać o inne dyscypliny sportowe, tak?
642:  I tak, tak, nie tylko ruch i aktywność czytamy, ale także wiedza o dyscyplinach sportowych, ich zasadach i historii.
648:  Kluczowa sprawa.
650:  I najbardziej mnie zasmuciło chyba to,
653:  że pomijając fakt, że oczywiście jest jakaś korpo-wypowiedź Nilsa Svolkina, czy jakkolwiek się go czyta, Chief Executive Officer Decathlon Polska, który stwierdził, że sport powinien też zyskać należytą rangę, a aktywność fizyczna jest częścią zdrowego społeczeństwa, wiecie, taki korpo-bełkot, który miesza nam sport z ruchem fizycznym i robi to celowo i świadomie,
674:  To niestety padła też wypowiedź Pawła Rączki, to swoją drogą prezesa Fundacji Rozwoju Sportu, ale najgorzej profesora Bartosza Molika, który jest rektorem Akademii Wychowania Fizycznego Józefa Piłsudskiego w Warszawie, który powiedział coś następującego.
689:  Niski poziom aktywności fizycznej dotyczy osób w każdym wieku, dlatego jednym z głównych celów AWF-u jest zachęcanie do podejmowania regularnej aktywności fizycznej w dłuższość najmłodszych lat.
696:  Tworzenie nawyku aktywności fizycznej i zdrowego stylu życia niezależnie od wieku, włączanie do działania całych rodzin jest podstawowym elementem rozwiązania tego problemu.
703:  Nie ma tu nic o sporcie.
704:  Zdecydowanie wpisuje się to w naszą strategię, prowadzimy wiele działań w tym kierunku, dlatego zdecydowaliśmy się na dołączenie do kampanii.
709:  Kładziemy nacisk w ostatnim zdaniu, dopiero czytamy na promowanie sportu i należnej, całorzyciowej aktywności fizycznej.
715:  Coś jest nie tak, nie?
717:  Dwie osoby i dwie organizacje mówią cały czas o sporcie i równają aktywność fizyczną ze sportem i jedynie Rektor Akademii Wychowania Fizycznego czyni, zresztą zgodnie z jego ekspertyzą, prawidłowe rozróżnienie.
736:  I tutaj jest pewien problem tej kampanii, to znaczy okazuje się, że ma ona pewną, fachowo mówiąc, presupozycję.
742:  Czym jest presupozycja?
743:  Przykładem presupozycji mogłoby być zdanie, nie przyjmuję zaproszeń do debat, ponieważ zwykłem rozmawiać z ludźmi inteligentnymi.
752:  Tak złośliwie sformułowana opinia sugeruje, że dotąd np.
755:  byłem zapraszany do debat przez ludzi mało inteligentnych, z którymi nie chciałbym rozmawiać.
759:  To byłoby złośliwe i nieprzyjemne wobec każdej osoby, która by mnie zaprosiła, więc dlatego nigdy takiego zdania nie powiedziałem.
766:  Ale gdybym je wypowiedział, użyłbym presupozycji.
769:  I to jest właśnie ta technika, którą tutaj wykorzystują.
772:  Presupozycją całej tej kampanii jest sport równa się aktywność fizyczna i aktywność fizyczna równa się sport.
781:  I niestety problem polega na tym, że to drugie zdanie jest prawdziwe tylko w odniesieniu do wąskiej grupy społecznej, to znaczy do sportowców, do ludzi, którzy faktycznie ćwiczą, którzy wykonują, realizują różnego rodzaju ćwiczenia i w związku z powyższym są przygotowani na wszystko to, co idzie w parze z aktywnością sportową.
801:  Rywalizacje.
803:  Ćwiczenie pod wpływem stresu, presję czasu, dobre znoszenie motywacji negatywnej i pozytywnej, konkurencyjności, przeświadczenie i przyzwyczajenie do tego, że mój wczorajszy rekord może być jutrzejszą normą, którą będzie chciał przekroczyć następny.
820:  a zatem nigdy nie będę zwycięzcą, nigdy nie będę wygranym, zawsze będę musiał rywalizować, żeby utrzymać się na podium.
828:  To nie jest myślenie, które jest właściwe wszystkim, to nie jest myślenie, które powinno być właściwe wszystkim i to na pewno nie jest myślenie, które jest zdrowe dla wszystkich.
836:  I jeżeli wątpicie w to, że taki znak równości między sportem a ruchem fizycznym jest postawiony w tej kampanii, to służę uprzejmie trzecim jej elementem, mianowicie
847:  arkusze maturalne, bo oczywiście arkusz ten jest przykładowy i tutaj szybka i krótka dygresja na temat przykładowości, mianowicie jak robiono klucze maturalne i ludzie szybko się zorientowali, że może trochę niefajne jest oczekiwanie od uczniów, że będą wymyślali co ktoś miał na myśli i wstrzeliwali się idealnie w klucz wtedy, po tym jak parę roczników, w tym mój, dlatego ja nie zdałem matury i startowałem w olimpiadzie, żeby w ogóle móc iść na studia,
872:  No, przećwiczono nas jak króliki doświadczalne, przeczołgano przez te wszystkie dziwne wytyczne, no i był taki rwetest i opór społeczny, że zdecydowano się wprowadzić nowe zmiany.
883:  No i teraz się mówi, że to nie jest klucz, tylko przykładowe odpowiedzi.
886:  Więc oczywiście rozumiecie, że ten egzaminator dostaje trzy grosze za arkusz, jak poprawia oczywiście na czas, no to on będzie starannie i z należytą pieczołowitością i uwagą za każdym razem indywidualnie podchodził do odpowiedzi, a wcale nie porównywał tego z arkuszem
900:  przykładowych odpowiedzi, które się mogą pojawić, żeby mieć szybko i łatwo, bo absolutnie ludzie tak nigdy nie postępują, a system nie powinien służyć temu, żeby inspirować zachowania pozytywne i eliminować ryzyko wystąpienia zachowań negatywnych.
913:  Absolutnie tak nie jest.
914:  Wierzmy w to dalej.
916:  Bardzo mądre.
916:  No, więc przykładowa matura zaproponowana przez Decathlon, rozumiem także, że konsultowana za WF-em w Warszawie.
924:  Jak widzicie już na pierwszej stronie, w zakresie ćwiczeń praktycznych,
930:  realizuje to kampanijne przekonanie o tym, że jest aktywność fizyczna i ruchowa.
935:  A nie, przepraszam.
937:  Start niski z bloków startowych, odbicie sposobem górnym i dolnym, piłka ręczna, rzut piłki z miejsca, piłka nożna, oczywiście, kto jest tak mało, i strzał na bramkę z dobiegiem, strzał na bramkę z odległości 11 metrów po prowadzeniu piłki slalomem między chorągiewkami, koszykówka, kozłowanie, podanie i odbiór zakończony rzutem do kosza i rzuty osobiste.
960:  Czyli tak jakby 100% pytań z części praktycznych to są konkurencje sportowe, a 80% pytań dotyczy różnego rodzaju piłek, a nie lekkoatletyki.
970:  No czyli wiecie, argument z tego jest następujący i wniosek, że taka matura przygotowuje następnie Kowalskiego, który będzie...
978:  No powiedzmy, albo prezesem firmy biofarmaceutycznej, albo będzie bioinżynierem, albo będzie badał sieci neuronowe, albo będzie operatorem wózka widłowego, albo będzie projektował nowe style kostki brukowej.
992:  W każdym razie, no wiecie, przeciętny absolwent może iść w każdym kierunku ścieżki zawodowej.
998:  I przyjdzie ten moment, po 8 godzinach ciężkiej pracy, że będzie chciał zaznać tego ruchu trochę i tych endorfin.
1006:  No i wtedy oczywiście przypomnij sobie, jakie są szczegółowe zasady kozłowania i następnie będzie wykonywał je zgodnie z zaleceniami komitetów olimpijskich, ponieważ w ten sposób każdy absolutnie, wystarczy przejść się do parku i zobaczyć, zażywa ruchu.
1022:  Wcale nie jest tak, że ludzie biegają, wcale nie jest tak, że ludzie pływają, wcale nie jest tak, że ludzie chodzą na fitness i siłownię i jeszcze do tego wszystkiego często wybierają takie treningi, które są intensywne po 20 minut, pół godziny, ponieważ nie mają dajmy na to dwóch godzin na pełen mecz do rozegrania.
1038:  Oczywiście obowiązkowo z grupą znajomych, którą za każdym razem jesteśmy w stanie nieprawdopodobnie łatwo zgromadzić, bo wcale nie jest tak, że po 30, jeżeli ludzie do siebie dzwonią, żeby się umówić, o czym troszeczkę wiem, to najczęściej nikt nie ma na nic czasu.
1050:  Więc absolutnie tak nie jest.
1051:  Jeżeli wchodzi temat, słuchajcie, koszykówka albo siatkówka, 20 od razu znajomych, przyjaciół spotyka się i idą trenować.
1060:  A jeżeli nie ma takiej okazji, to nie.
1063:  No, wydaje mi się jednak, że ludzie robią coś innego.
1065:  I wydaje mi się również, że fajnie byłoby, żeby wcześniej wpoić to.
1070:  Ponieważ jeżeli ludzi usiłujemy przyzwyczaić do tego, że mają rywalizować w takim, a nie innym środowisku, to robimy fundamentalny błąd.
1079:  Bo okazuje się, że przygotowujemy i do czegoś, do czego absolutnie nie muszą być przygotowani, bo to jest wybór.
1085:  Chęć zostania sportowcem to jest wybór, którego możemy się podjąć lub nie, w zależności od tego, jakie są nasze zapotrzebowania.
1091:  To też jest wybór ścieżki zawodowej.
1093:  No i jeszcze możecie mi oczywiście powiedzieć, że przesadzam, ale to samo jest w części teoretycznej.
1098:  Czym jest kondycja ruchowa?
1100:  Co ma wpływ na utrzymanie równowagi ciała?
1103:  Co to jest bieg na orientację, bieg na czas, bieg ze startu wspólnego?
1106:  Ważne informacje, jak chcecie ćwiczyć.
1108:  Pozycja spalona w piłce nożnej, bo mało mamy piłki nożnej w naszej kulturze.
1112:  Umówmy się, wiecie, no jeżeli ktoś chce sobie odpocząć w majówkę, to odpala sobie mecz krykieta albo snookera.
1117:  Nigdy nie jest to piłka nożna.
1119:  Następnie, w której dyscyplinie występuje technika dwutaktu, bo mało było o koszykówce jak dotąd.
1123:  Co, ile lat odbywają się Igrzyska Olimpijskie?
1126:  No w ogóle jak mój trener personalny na przykład mówi mi, że cholera, Krzysztof, ominąłeś trening, to ja mówię,
1132:  Spokojnie, spokojnie, sprawa jest opanowana.
1136:  Ostatnio sobie przypominałem, co ile lat odbywają się igrzyska sportowe, ba, przeczytałem całą historię igrzysk olimpijskich, 1400 kilokalorii jak znud poszło, nie ma już, nie możemy spokojnie opuścić treningu, idziemy do następnego.
1151:  Tak było, nie zmyślam.
1152:  Następnie, w jaki sposób aktywność fizyczna wpływa na układ odpornościowy?
1156:  Ważna teoria z pewnością dla studenta AWF-u, nie wydaje mi się, żeby dla maturzysty.
1160:  która z poniższych konkurencji sportowych wymaga największej ilości mięśni, w jakiej siły mięśniowej, w jakiej dyscyplinie występuje pozycja libero, kluczowa informacja dla każdego, co chce trenować, co to jest tętno maksymalne, jaki kształt na pole bramkowe w piłce nożnej, no kluczowe, szkoda, że jeszcze pola nie liczymy.
1176:  Jakie ćwiczenia fizyczne należy wykonywać regularnie, żeby poprawić gipkość?
1179:  Wreszcie jakaś rzecz, która się może potencjalnie przydać, tak samo jak korzyści z regularnego wykonywania ćwiczeń, czy obliczenie wskaźnika masy ciała, wspomnianego wcześniej, albo źródło bionnika w diecie.
1189:  To są jakieś rzeczy rzeczywiście, które mogłyby się faktycznie przydać, ale to tyle.
1193:  75% tych pytań znowu dotyczy sportu.
1197:  I macie tutaj przykład tej hipokryzji i równocześnie presupozycji, która jest zawarta w całej kampanii.
1203:  Nie chodzi w niej o promowanie zdrowych nawyków.
1205:  ponieważ nie będziemy w stanie promować zdrowych nawyków w momencie, w którym będziemy narzucać 90% ludzi aktywność właściwą dla 10% ludzi, którzy wcale zdrowi nie są, ponieważ w wieku 30-40 lat mają wycieńczony organizm treningami, jak przegną z kolei z dopalaczami i innymi niedozwolonymi w sporcie substancjami, które i tak są przyjmowane, to okaże się, że będą mieli jeszcze inne problemy życiowe, a to wszystko spowodowane tym, że w sporcie liczy się dokładnie to samo, co...
1236:  W szkolnictwie to znaczy, że wczorajszy rekord jest jutrzejszą normą i to samo co w toksycznych korporacjach i anuszeksach spółka bez żadnej odpowiedzialności, gdzie buduje się zespół nie za zasadzie współpracy tylko prymitywnej konkurencji i rywalizacji i pokazuje się kto jest na podium.
1260:  Wcale nie chodzi o to, żeby sport w szkole stymulował te zjawiska, prawda?
1266:  Więc nie pierdolmy bzdur, że chodzi komukolwiek o to, że młodzież tyje, jak to jest później w tym uzasadnieniu tego całego arkusza maturalnego, że tyjemy najszybciej w Europie bez żadnych źródeł, a tymczasem zajęcia na macie, macie piłkę i grajcie.
1283:  no właśnie to się dzieje i to samo proponujecie.
1286:  Nie dajecie żadnej alternatywy.
1288:  Co więcej, udajecie, że tak naprawdę komukolwiek zależy na kondycji fizycznej dzieciaków.
1294:  Nie, zależy na tym, żeby wpajać nawyki sportowe, ponieważ to jest dobry biznes.
1299:  Na sporcie się dużo zarabia i na krzywdzie ludzkiej również się dużo zarabia, ponieważ tak naprawdę w tych okolicznościach, które mamy, osobiście o wiele bardziej wolę oglądać e-sport i patrzeć, jak ktoś...
1312:  Przezwycięża kolejne trudności w Dark Souls, w CS GO, czy w jakimkolwiek innym tytule.
1318:  I wiążą się z tym dokładnie takie same emocje, jakie mają kibice na stadionach.
1322:  Tylko, że właśnie różnica polega na tym, że nikt e-sportu nie wmusza w szkołach, w minnym przekonaniu i niemym założeniu, zarazem połączyłem te dwa przymiotniki w jeden,
1334:  że to do czegokolwiek zmieni, nie, nie zmieni to czegokolwiek, absolutnie nie wpłynie na zmianę stosunku ludzi do gier, doprowadzi tylko do tego, że ludzie będą nienawidzili technologii jeszcze bardziej niż nienawidzą jej w tej chwili nauczyciele, co już zakrawa o swoisty rekord.
1348:  Więc jeżeli chcemy faktycznie, żeby...
1351:  zamiłowanie do sportu się rozwijało, to nie wprowadzajmy tego na maturę.
1357:  Raczej pozwólmy, żeby to się narodziło samo.
1360:  Jeżeli ktoś będzie mieć dobre wyniki w lekkoatletyce, na siłownia, na fitnessie, wyciągnijcie go za uszy, dajcie mu stypendium sportowe,
1368:  Tak jak to jest w Stanach Zjednoczonych swoją drogą, którymi się wszyscy tak inspirują, tylko że szkoda, że biorą same najgorsze wzorce z nich.
1375:  I skierujcie do koła sportowego, skierujcie do drużyny okręgowej.
1380:  Zainwestujcie w człowieka, który pisze się na rywalizację, który pisze się na stres,
1386:  pisze się na motywację tego rodzaju, który wie z czym się je, kompetytywność sportową, jest do tego psychicznie przygotowany, a jak nie będzie, dostanie coacha, dostanie trenera, który go do tego przygotuje indywidualnie, w ramach indywidualnego pakietu treningów, a cała reszta społeczeństwa potrzebuje mieć zdrowe nawyki żywieniowe, bo inaczej będzie taki Krzysztof, który dopiero w wieku 28 lat się przezwycięża, żeby pójść na siłownię,
1414:  I to jeszcze nie idzie na trening personalny, bo oczywiście wstydzi się pójść na siłownię zwykło, ponieważ fat-shaming na przykład.
1421:  A skąd się pojawia fat-shaming w szkole?
1423:  No gruby na bramkę.
1426:  O cóż innego by to miało być?
1427:  Czy kogokolwiek obchodziłoby?
1429:  Kto robi ile pompek?
1430:  Czy przysiadł w momencie, w którym przez Grubego by nie przegrywali?
1435:  Przecież o to w tym wszystkim chodzi.
1437:  Gruby na bramkę idzie dlatego, żeby nie przeszkadzał w ataku ani w obronie.
1441:  I dlaczego ja w ogóle znam te pojęcia, skoro podobno czytam, że w Polsce nie ma wpajanej kultury sportowej?
1448:  Skąd ja w ogóle znamy reguły tej pierniczonej piłki nożnej, której nienawidzę na wskroś?
1453:  Dlatego, że ktoś mnie zmusił do tego, żebym się tego wszystkiego pomauczał.
1457:  Ale nikt mi nie powiedział, w jaki sposób wykonać poprawnie pompkę.
1461:  Nikt mi nie powiedział, czym się różnią różne rodzaje pompek.
1463:  Nikt mi nie powiedział, jak wykonywać brzuszki tak, żeby nie obciążać kręgosłupa.
1467:  Nikt mi nie powiedział, w jaki sposób podciągać się tak, żeby z kolei nie nadwyrężyć mięśni wokół szyi, żeby nie mieć postrzału.
1475:  Nikt mi tego nie powiedział.
1477:  ponieważ dla jakiegoś znowu geniusza odpowiedzialnego za podstawę programową istotniejsze było, żeby były w niej zawarte różnego rodzaju informacje na temat konkurencji sportowych, które są priorytetowo traktowane w Polsce jako część naszej kultury.
1501:  To jest problem.
1503:  I to powoduje, że jeżeli ktoś się nauczy w szkole, że sport równa się ból psychiczny, ból fizyczny, wstyd, poniżenie, to czy będzie chciał pójść później na siłownię, czy będzie chciał pójść na fitness, czy będzie chciał biegać sobie albo chodzić na basen?
1521:  Nie.
1521:  Bardzo możliwe, że nie.
1523:  I co więcej, wiecie na czym polega paradoks?
1526:  To będzie precyzyjnie ta osoba, która najbardziej by na tym skorzystała i która by najbardziej tego potrzebowała.
1532:  I to ta osoba później znajdzie się w statystykach ludzi, którzy tyją.
1537:  Bo właśnie nie wpojono nawyku dbania o fizyczność, nie o kulturę sportową, nie o znajomość reguł dyscyplin i tego, co ile się odbywają igrzyska olimpijskie, tylko konkretnych ćwiczeń, które może wykonywać każdy, nawet wtedy, kiedy nie ma wokół maszyn, które pomagają w tym dbać.
1558:  I proszę bardzo, na białym gromadku wkracza tutaj YouTube, który w trakcie pandemii więcej nauczył ludzi o ćwiczeniach domowych niż niejeden WFista przez wszystkie lekcje, które kiedykolwiek były.
1570:  Więc moi drodzy, prosta reguła i prosta zasada.
