Z pamiętnika klasistowskiej noblistki | Dla każdego coś przykrego #31
🔗 https://www.youtube.com/watch?v=WpZb8dSzyVY

1:  Niektórym ludziom tak spieszno na salony, że z trudem wyhamowują przed ustępem.
861:  w stronę tych ludzi, którzy są pod strzechami, a nie wiecie, za tymi ludźmi, którzy przytrzymują koronę przez cały czas, żeby nie upadła, albo wielką plerezę w takim samym stopniu, w jakim przytrzymywały ją arystokratki w XVIII wieku, które niezmiennie będą ilustrować ten już cykl, jak się to wygląda, dla każdego coś przykrego poświęcony Olze Arystokarczuk.
882:  Olga Arystokarczuk też podtrzymuje swoją plerezę, żeby nie upadła pod ciężarem jej ego i wielkich myśli i problem polega na tym, że gdyby
889:  gdyby nie właśnie to, że w jej literaturze
895:  jest wyłącznie ważny przekaz the message, a nie wszystkie inne elementy, to to, co myśli Olga Arystokarczuk, byłoby całkowicie nieistotne.
906:  Ale właśnie sam fakt, że aktywiści zaczynają to zauważać, dowodzi tego, że jednak jest pewien związek pomiędzy literaturą, którą uprawia Olga Arystokarczuk, a tym, co myśli i mówi w mediach.
921:  Ponieważ całą swoją literaturę oparła na przekazie, the message, a nie na tym, na czym opierałaś literaturę, no nie wiem, podobnie wybitna, nazwijmy to, powieść fantastyczna.
933:  Zawsze powtarzam, że gdyby porównać
935:  wybitną powieść realistyczną, wybitną, pod względem kreacji postaci, kreacji fabuły, kreacji głębi psychologicznej i wszystkich innych elementów, po których możemy, jest ich więcej lub mniej, oceniać dobrą prozę i równie wybitną prozę fantastyczną, która też będzie zalecała się wybitną kreacją postaci, wybitną kreacją fabuły i wybitną głębią psychologiczną, to w moim szacunku powieść fantastyczna zawsze wygra, bo oprócz tego wytwarza fantastyczny świat, który też możemy ocenić, którego kreację również możemy oceniać, który...
964:  sprawia, że możemy uciec w jego realia, odetchnąć troszeczkę od sporów politycznych, które jątrzą debatę tu i teraz i zatopić się w innej rzeczywistości, czyli zrobić to, do czego literatura była powołana.
975:  Bo ludzie wcześniej opowiadali sobie fikcję, a dopiero potem zaczęli uprawiać gatunki, które, no nazwijmy to, są na poły literaturą faktu, na poły reporterską, na poły taką interwencyjną społecznie, jak to się mawiało.
990:  Więc jeżeli ktoś pisze literaturę, która poza interwencjonizmem społecznym i poza przekazem, the message, nie ma nic z sobą do zaoferowania, nie wytwarza fantastycznego świata, nie robi postaci, które mają jakąkolwiek inną funkcję ponad przekazywanie przekazu, the message i tak dalej, to prosi się o to, że będzie się oceniać autora razem z dziełem.
1013:  Więc tak, ja, szczerze powiedziawszy, kompletnie jestem niezainteresowany tym, co myślą i mówią, zwłaszcza politycznie, pisarze reprezentujący różne gatunki fantastyczne, ale jestem głęboko zainteresowany zawsze tym, co mówi i myśli, zwłaszcza w aspekcie politycznym, osoba, która całą swoją karierę pisarską na tym robi.
1032:  Przypominam, że nawet w uzasadniu noblowskim się znalazły wątki społeczne i polityczne, a zatem są ewidentnie istotne.
1042:  No i oczywiście przechodzimy do tego, co jest najbardziej interesujące, a mianowicie do apologetów i obrońców.
1049:  No, skłamałbym, gdybym powiedział, że się zdziwiłem, że Karolina Korwin-Piotrowska, zdecydowanie ulubiona moja krytyczka, wybitna osobowość intelektualna, wzięła w obronę Orgę Arystokarczyk, dokładnie tak samo, nawiasem mówiąc, jak kiedyś Kazimiera Szczuka brała w obronę
1067:  osoby, które rzucały kurwami wobec kobiet, mówiąc no, no, no, Janusz już tak ma, on tak może, bo jest, wiecie, nasz, jemu wolno.
1077:  No, więc czytamy, że zrobiła się turbo afera.
1080:  Wiecie, taki typowy, jołziomalski język Karoliny Korwin-Piotrowskiej.
1086:  Jest turbo afera, bez sensu, durna jak szpadel afera.
1093:  Jestem na tym festiwalu i widzę, jak ludzie chłoną słowo, chłoną książki.
1098:  Ja sobie mówiąc, uwielbiam ludzi, którzy wymawiają przecinki.
1101:  Zauważcie, że jeżeli ktoś mówi w sposób pretensjonalny, to zwykle właśnie będzie tak mówił, że ten człowiek.
1108:  podmiot.
1110:  Ta książka, proza, wymówi przecinek, który jest niemy.
1114:  To jest bardzo charakterystyczne.
1117:  Wracając do wymawiające przecinki Karoliny Korwin-Piotrowskiej, która pisze w jąziomalskim stylu.
1122:  Nie wszystkie książki są dla wszystkich.
1124:  Są różne wrażliwości i różne gotowości na konkretne rzeczy, zdania, metafory, historie.
1132:  Wymówione przecinki.
1134:  Jest też różne wykształcenie, także emocjonalne.
1137:  Tak, niektóre książki nie są dla idiotów, tak jak Media Markt, całe szczęście.
1142:  Jest to klasizm, cóż, he he, zastrzelcie mnie, ale proszę, czytajcie cytaty w kontekście, myślcie, nie idźcie za głosem imby.
1149:  Przepraszamy, przeczytaliśmy ten cytat w kontekście, a raczej posłuchaliśmy go w kontekście i dzięki temu wiemy, że nie tylko Olga Tokarczuk uważa, że niektóre gatunki są dla idiotów, ale dzieli kulturę dokładnie tak samo jak w mowie noblowskiej na tę, która jest dla elity i na tę, która jest dla ciemnego gminu i plebsu.
1168:  I co więcej, nie uważa, że dla ciemnego gminu i plebsu są...
1173:  filmy, komiksy, anime, manga, manchwa, gry wideo, ale również część literatury.
1179:  Bo najlepsze w tym wszystkim jest to, że osoby promujące pono czytelnictwo są żywo zainteresowane i tego nigdy nie dodają, tak samo jak Karolina Piotrowska nigdy nie dodaje spójników, że tak naprawdę zainteresowani są promocją określonego typu
1195:  czytelnictwa, to nie jest tak, że promujmy czytelnictwo, tak, tak, książki są dobre i rozwijają wyobraźnię, okej, 365 dni blanki limpińskiej, nie, nie, no nie, no nie, to nie, to nie jest książka, to nie rozwija wyobraźni, no to, gość, zdecyduj się, tak?
1208:  Albo literatura jest lepsza od gier wideo i zawsze rozwija wyobraźnię, albo
1214:  Trzeba coś innego wydzielić, tak?
1215:  Może powinniśmy rzeczywiście rozróżniać prozę od literatury.
1220:  I być może warto byłoby również pieniądze podatników przeznaczać na prozę, która jest czytana i która sprawia, że więcej ludzi czyta, skoro czytanie jest samą sobie cnotą, a nie na literaturę, którą, cóż, cieszy się powiedzmy jakąś popularnością, ale to wiecie, to jest tak, nagroda literacka jest taki pik i później ziup,
1237:  i już nie ma popularności.
1238:  A w przypadku gatunków, które są, czy prozy gatunkowe, jak to się mawia, błędnie moim zdaniem, ta popularność to jest pewien konstans, stała.
1246:  Więc moim zdaniem warto jest jednak inwestować w rzeczy, które są długoterminowe, a nie krótkoterminowe, chyba że chcemy o literaturze myśleć dokładnie tak samo, jak o kredytach, chwilówkach.
1257:  No i wreszcie ostatnie duo, które się wypowiedziało na ten temat, szczególnie mi miłe, z uwagi na to, co sobie zaraz puścimy,
1266:  Mianowicie, jak donosi Onet Kultura, jest ciąg dalszy wokół słów Olgi Tokarczuk, przepraszam, Arez Tokarczuk, i odniósł się do tego Jakub Żulczyk, przypadkowa osoba, która była na Festiwalu Góry Literatury, więc rozumiecie.
1281:  Pełen obiektywizm.
1284:  Disclaimer, karty na stół, pełen obiektywizm.
1289:  To jest głos osoby bezstronnej i zarazem postronnej, rozumiemy się, prawda?
1296:  Pod płaszczykiem walki z klasizmem często obroni się ludzi, którzy tym wrażliwym, dobrym i walczącym równościowcom, mam nadzieję, że nie mówimy o Oldzary z Tokarczuk, najchętniej zwyczajnie by wpierdolili.
1307:  Oczywiście zostało to wykropkowane, jak wszystkie wulgaryzmy.
1309:  Kiedyś zrobiłem Wam filmy o tym, że jestem zwolennikiem używania wszystkich słów.
1312:  Komentuję o to w sieci Jakub Żulczyk, odnosząc się do krytyki, która spotkała się z jedną z wypowiedzi Olgi Tokarczuk.
1319:  No i oczywiście do słów noblistki także odniósł się Mariusz Szczygio, co nie powinno być zdumiewające z perspektywy tego, co sobie za chwilę obejrzymy.
1325:  No więc czytamy.
1330:  Nie każde stwierdzenie, że ludzie są głupi, to klasizm.
1337:  Uwielbiam tego typu mądrości.
1339:  Słowa pani Arystokarczuk są oczywiście do jakiejś tam dyskusji.
1343:  Po pierwsze, kim w ogóle jest dla niej idiota?
1347:  Gdyby ktoś mnie spytał, ten termin nie ma związku z wykształceniem, oczytaniem czy pochodzeniem.
1351:  Idiota to osoba pozbawiona empatii, o tym ja sam mówiłem, usprzedzona z gruntu do całych grup społecznych, pozbawiona świadomości konsekwencji swoich czynów i jakiegokolwiek myślenia wspólnotowego, dążąca do destrukcji siebie i swojego otoczenia za cenę szybkiej gratyfikacji.
1369:  Komentuje pisarz, który w przeszłości także doczekał się medialnej reakcji w sposób na to, jak się odnosił do tego, że słowa chodzi oczywiście o słynną sytuację z obraźliwymi inwektywami w kierunku prezydenta, które nawiasem mówiąc moim zdaniem nie powinny były paść, ale to jest inna historia, opowiemy ją sobie innym razem.
1385:  Dla mnie jest interesujące coś zupełnie innego, interesujące jest dla mnie to,
1390:  że w definicji przywołanej przez Jakuba Żulczyka wpisuje się par excellence, w doskonały sposób innymi słowy, Olga Arystokarczuk.
1398:  To znaczy właśnie w ten sposób ona niszczy siebie wbrew pozorom i swoją grupę społeczną, czyli literatów, prozaików, pisarzy, ludzi słowa, pokazując osobom, które zostały na przykład przez szkołę czy przez studia zniechęcone do literatury, że nie ma za czym tęsknić.
1414:  To jest to klasistowskie bagienko, w które nie chcecie się pakować.
1418:  Nie, nie chcecie mieć z
1419:  nic wspólnego, lepiej, bo tam są tacy ludzie, którzy i tak wam powiedzą, że jesteście idiotami, ponieważ nie dostajecie do ich poziomu, nie macie kompetencji lekturowych do tego, żeby ich czytać.
1429:  Co jest nawiasem mówiąc obelżywym kłamstwem, ponieważ o te kompetencje lekturowe słynne również są klasistowskie.
1436:  Mianowicie całe to spotkanie z Olgą Arystokarczuk, które niestety dla was obejrzałem w całości, a niestety dla mnie, zaczyna się od tego, jak ona sobie wspomina, że dawno temu...
1449:  w czasach jej młodości, było tak, że sięgała sobie na półkę po książkę, prozę i w tej książce, prozie widziała bohaterki kobiety, które to bohaterki kobiety, podmioty współczesnej kultury,
1472:  nie były wyemancypowane, ponieważ pełniły rolę wobec mężczyzn.
1479:  I ona by chciała, o wasz Olga Arystokarczuk, żeby dziewczynki, które sięgną po empuzjon, poczuli się wyemancypowane.
1493:  I teraz dajmy temu wybrzmieć, okej?
1496:  Ja rozumiem, że my rozumiemy, że jest to absurdalne, ale dajmy temu wybrzmieć.
1501:  Kobieta, która uważa, że idioci nie są w stanie czytać jej książek, równocześnie uważa, że osoby, które z definicji będą stronić od literatury, ponieważ jej nauczanie w szkołach wygląda tak, jak wygląda, będą sięgać na półce w bibliotece rodzinnej po empuzjom
1523:  I emancypować się w ten sposób.
1525:  Nie ma Netflixa, nie ma Disneya, nie ma księżyczniczek Disneya, nie ma dosłownie co drugiego utworu dzisiejszej kultury, który pokazuje wyemancypowane, pierwszoplanowe bohaterki, silne protagonistki, nie ma dyskusji wielkiej, toczącej się w fandomie amerykańskim, polskim i wszędzie na temat tego, czy nawet nie poszliśmy za daleko w...
1547:  ferowaniu cały czas protagonistek kobiecych, bo jest to nawet wbrew tezom czwartej fali feminizmu, która mówi również o tym, że należy zainteresować się tym, co nierównouprawnienie genderowe zrobiło z mężczyznami, dlaczego jest toksyczna męskość i powinna być ona również
1565:  Jakiśkolwiek sposób adresowana, ponieważ również wpływa na sprawę kobiecą, bo tego wszystkiego nie ma, tej dyskusji nie ma.
1572:  Jest Olga Arystokarczuk, jej XIX wiek, zatopiony w bursztynie i biblioteka rodzinna, z której wyciąga sobie Tomasza Mana.
1580:  Ja też akurat wychodzę się z domu, w którym w bibliotece rodzinnej był Tomasz Man, jak również sześć tysięcy innych pozycji, bo biblioteka rodzinna dość spora.
1589:  Ale to jest sytuacja przywileju klasowego i dlatego nie wysmarowuję tym przywilejem klasowym wszystkich i nie mówię im, nie no, przepraszam bardzo.
1600:  O czym my mówimy?
1601:  Dlaczego tutaj ludzie nie czytają tego, tego, tego, tego i tego, tak?
1606:  Również przywilejem ekonomicznym jest posiadanie bardzo rozległej biblioteki growej, z czego jedna gra wideo to jest 350 zł.
1612:  I co, mam wymieniać każdą, którą zakumulowałem przez te wszystkie lata i mówić, że jesteś jakimś nauczycielem i nie stać cię na to, żeby sobie kupić za 350 zł Horizon Zero Dawn?
1624:  No kim ty jesteś?
1625:  Oczywiście, że będę mówił wręcz przeciwnie nawet o tym, że nie sposób oczekiwać od nauczycieli, że będą uczyć gier wideo, gdy po pierwsze na studiach nie uczy się jak analizować gier wideo, a po drugie nikt nie refunduje zakupów gier wideo tak jak refunduje się zakupy książek, tak jak książki są dostępne w bibliotekach szkolnych, nie ma dostępnych gier wideo.
1645:  Więc tak, wiąże się to z pewnym przywilejem ekonomicznym i trzeba sobie z tego zdawać sprawę.
1649:  Ale nie, ale nie, Wójt, jeżeli jest się Olgą Arystokarczuk, to człowiek nie zdaje sobie z tego sprawy i tutaj leży całe senno problemu.
1657:  Jeżeli jest się Olgą Arystokarczuk, myśli się, że każdy rodzi się w takich arystokratycznych warunkach, rozumiecie, że ma dostęp do tego rodzaju dobrodziejstw kultury.
1667:  Kultury, nazwijmy to po imieniu elitarnej, kultury ludzi wyższych klas społecznych.
1675:  I w tym, moi drodzy, tkwi klasizm.
1679:  Nie w tym, że Olga Tokarczuk używa brzydkiego słowa, idiota.
1684:  Nie!
1685:  klasizm tkwi w tym, że ona nie zdaje sobie sprawy z własnego przywileju klasowego i smaruje nim po gębach wszystkich wokół.
1694:  To jest klasizm.
1696:  To jest budowanie nierówności.
1698:  I to jest również nie zdawanie sobie sprawy z tego, że jeżeli ktoś jest uprzywilejowany, to ma oddawać społeczeństwu, tak?
1706:  Dawać z siebie maksymalnie, a nie mówić ten jest idiotą, tamten jest debilem, ten się powinien dokształcić.
1713:  Nie ma takiej pozycji, tak?
1715:  Jeżeli człowiek ma przywilej, powinien coś oddać od siebie.
1719:  Tak samo, jeżeli człowiek ma za dużo pieniędzy, powinien się udzielać charytatywnie.
1723:  To są pewne normy społeczne, których można przestrzegać lub nie.
1726:  I boli mnie strasznie, że ludzie nie zauważają kompletnie tego wątku, tylko bredzą cały czas o tym, że kogoś trzeba bronić i że się wyrywa z kontekstu.
1736:  Mariusz Szczygieł w sumie w całej tej sytuacji zachował się najbardziej...
1741:  Rezolutnie, to znaczy powiedział, że ja po prostu piszę dla ludzi, którzy ciekawią te same rzeczy, co mnie i to jest z Rickshem, tak?
