Witaj w szkole, CZYLI W PIEKLE | Dla każdego coś przykrego #17
🔗 https://www.youtube.com/watch?v=mfPxn85Tu7c

2:  Daj szkoło!
248:  I oczywiście na tym wszystkim się to nie kończy, na tym mariażu kapitalizmu z edukacją, który zmusza nas do myślenia, że to jest inwestycja na przyszłość, jak w XXI wieku zamiast sensownego tabletu czy smartfona kupimy dzieciakom flamastry, zeszyty, po których będą pisać, tak jak w tych czasach, kiedy nie było tego rodzaju dobrodziw z technologii.
273:  Sprawa jest oczywiście daleko poważniejsza także dlatego, że akurat tak się złożyło, że teraz w 2021 roku przyszliśmy przez okres lockdownów, edukacji zdalnej, który zmusił nas do przyjęcia paradygmatu cyfrowego jako obowiązującego powszechnia, nie tylko jako czegoś co właśnie ma nas oddalać od tego co w szkole do tego co poza szkołą, czyli do tego co jest kojarzone z obszarem i domeną rozrywki.
303:  czy wypoczynku, czy po prostu czasu wolnego od szkoły.
308:  I tak się składa, że czas jakiś temu miałem okazję przeczytać wywiad z doktorem Mikołajem Marcelą, prowadzącym kierunek sztuka pisania na Uniwersytecie Śląskim, pod bardzo znamiennym tytułem.
322:  Do jakiej szkoły wrócą oto teraz dzieci?
324:  Czy znowu będą pytać, czy mogą iść do toalety albo napić się wody?
330:  Marcela pisze, w dużej mierze to rodzice chcą sprawdzianów ocen, chcą mieć dowody na to, że dzieci się uczą i mają dobre stopnie.
336:  Nie rozumieją, że nie o to chodzi w uczeniu i rozwijaniu.
340:  I w drugiej części tego materiału przejdziemy sobie do książki Mikołaja Marceli, którą przeczytałem na temat szkoły i która wstrząsnąła mną, absolutnie chodzi o wyświetlające się tutaj wam selekcje.
352:  i przeczytamy sobie z niej parę passusów, które dobrze naświetlają to, czym szkoła jest i jakie się z tym wiążą patologie.
359:  Natomiast wywiad ten wydaje mi się o tyle istotny, że porusza to, co jest w tym momencie najbardziej
368:  No właśnie, przerażające w tym powrocie do szkoły, przerażające także dla mnie, jak pomyślę sobie, że w XXI wieku, zamiast wykorzystywać nowe technologie do tego, żeby szybciej odnajdywać informacje, zamiast żeby uczyć wszystkich tego, w jaki sposób należy odsiewać ziarna od plew, odsiewać, krótko mówiąc, to, co jest półprawdą albo wprost fałszem czy fake newsem od tego, co jest faktyczną i rzetelno zweryfikowaną informacją,
396:  Że zamiast tego wszystkiego cofniemy się znowu do XIX wieku.
400:  Do XIX wieku, w którym narodziła się ta instytucja szkoły w dzisiejszym rozumieniu.
406:  Otóż, jak mówi w tym wywiadzie Marcela, w szkole obowiązują takie dwa paradygmaty w tym momencie.
412:  Po pierwsze przemoc, bo szkoła jest instytucją przemocową, a po drugie ideologia.
419:  Dlaczego szkoła jest instytucją przemocową?
421:  Come on, chyba nikomu nie muszę mówić, dlaczego jest instytucją przemocową.
425:  Zacznijmy może od tego, że oczywiście być może wycofano kary cielesne, ale w dalszym ciągu szkoła podlega temu charakterystycznemu rygorowi, że to przychodzimy na tę samą godzinę wszyscy, jesteśmy w tych samych klasach, niezależnie od naszych predyspozycji, niezależnie od tego, czy lepiej sobie radzimy, czy gorzej, jesteśmy w tej samej klasie, bo dzieci w wieku siedmiu lat, jak każdy pedagog powie, mogą się uczyć tego i tego.
450:  Jak osiągną magiczny wiek ośmiu lat, panie,
453:  Wszystko się zmienia!
455:  On teraz może się uczyć innych rzeczy!
458:  Niezależnie od tego, czy jest kobietą, czy jest mężczyzną, czy jest niebinarny, czy pochodzi z rodziny przemocowej, czy pochodzi z rodziny wręcz przeciwnie, bardzo dobrze sytuowanej, czy może jest wcześniej, nie wiem, edukowany, może już umie czytać, a może nie.
471:  Nie, nie!
471:  Wszyscy tak samo będą się uczyć!
474:  Potem oczywiście dostają wszyscy numerki, tak jak w obozie, że można było w łatwy sposób wszystkich wtłoczyć w rubryczki.
481:  Jacques Derrida, jeden z moich ulubionych filozofów, mówi o tym przemoc rubryczek, bardzo słusznie skądinąd.
486:  Następnie oczywiście mamy ten charakterystyczny dzwonek, który tak jak w zakonie albo klasztorze informuje nas, że teraz się skończyła jedna lekcja, masz 15 minut na szamanie kanapeczki i przejście do następnej zali, potem jest następna lekcja.
500:  I oczywiście ona musi być o godzinie 7.10, zwłaszcza jeżeli to jest matematyka albo fizyka.
505:  Albo WF, w ten sposób wszyscy mogą śmierdzieć przez cały czas, ponieważ oczywiście w szkole nie ma prysznicy, a jeżeli jest mydło, to pamiętajmy o tym, że zwykle jest to ślina kolegów, która pozuje za mydło w dozownikach i tak dalej, i tak dalej, i tak dalej.
518:  Mógłbym mówić bardzo dużo o tym, jak szkoła istnieje,
522:  Ale w sumie zwalniacie mnie bardzo często w komentarzach pod kolejnymi odcinkami dla każdego coś przykrego poświęconymi tej patologicznej instytucji.
529:  Więc myślę, że możemy podarować sobie dowód tej tezy i przejść do drugiego paradygmatu szkolnego posuniętego nam przez Mikołaja Marcele w wywiadzie, a mianowicie do ideologii.
541:  Szkoła to instytucja ideologiczna, pisze Marcela, która ma w bardzo określony sposób kształtować człowieka i formować na potrzeby państw.
549:  Tak było, jest i będzie tak długo, jak zachowamy obecny model szkoły.
555:  Ta partia, która akurat rządzi państwem, wykorzystuje szkołę w obecnej jej formie do tego, żeby tworzyć takich obywateli, jacy według tej partii powinni być.
564:  I wykorzysta do tego wszelkie możliwe mechanizmy, które wymuszą posłuszeństwo i narzucą określony światopogląd, wierności określonym treściom.
573:  Między innymi dlatego potrzebujemy innego modelu szkoły, bardziej demokratycznego i otwartego na potrzeby uczniów.
578:  I tu jest taka przepiękna ilustracja, która świetnie pokazuje to, w jaki sposób szkoła przygotowuje nas i wychowuje do życia podług nakazów.
588:  To jest jedna z pierwszych patologii szkolnych, która w moim przekonaniu jest najbardziej przerażająca.
594:  Wyłącz telefon, no to pierwsza informacja, która na tych schodkach do kariery, do sławy, do sukcesu, do życia dorosłego się pojawia, bo przecież to jest podstawa, nie?
608:  Jeżeli wyłączymy telefon, to nie będziemy prokrastynować, prokrastinus pułaci nie odkładać na zaś, tak?
616:  Nie będziemy się rozrywać i oddawać rozrywkom, tylko będziemy się uczyć, a jak wiadomo, uczenie się odbywa się poza smartfonem i poza nowymi technologiami, aby o tym usłyszeli kiedykolwiek encyklopedyści francuscy, to prawdopodobnie by umarli ze śmiechu, biorąc pod uwagę to, że encyklopedia francuska właśnie służyła temu, żeby zgromadzić całość wiedzy dostępnej ludzkości, więc chyba encyklopedyści nie obraziliby się na coś takiego jak internet.
646:  No ale wiadomo, dla nauczycieli nie ma nic gorszego, bo dzięki internetowi na przykład można sprawdzić, czy ktoś bredzi, czy nie.
654:  No i potem oczywiście kluczyki do szafek, następnie wszystkie honoryfikatywy i przepraszam, i dziękuję, i proszę.
664:  No i uśmiech, pamiętajmy o tym.
666:  Witaj szkoło, cieszmy się.
670:  Dlaczego?
671:  się nie cieszycie.
673:  Przecież to wspaniała instytucja.
677:  To nie to, że właśnie skończył się na przykład komuś okres wakacyjny albo okres dziecięctwa, kiedy mógł robić to, co chce i sam poszukiwać wiedzy, interesować się tym, co dla niego było ważne w świecie albo co po prostu mu się podobało.
694:  Nie, to nie był dobry okres.
696:  Dobry okres ma się o to zacząć dopiero w szkole, gdzie trafiamy pod kuratele obcych ludzi, którzy realizują dyrektywy innych obcych ludzi, którzy rządzą państwem, tylko że my jeszcze o tym nie wiemy, wiecie?
709:  I problem polega na tym, że przez to, że my o tym nie wiemy, to zaczynamy akceptować wszystkie te mechaniki – użyłem sformułowania growego –
719:  które się pojawiają w szkołach.
721:  Zaczynamy akceptować fakt, że jest dorosły człowiek, który mówi nam, jak wygląda świat.
727:  I następnie, co jest drugą i najgorszą patologią szkoły, ocenia nas.
733:  Już wiele razy mówiłem, co myślę na temat systemu oceniania, ale teraz powiem coś z własnego doświadczenia, okej?
740:  Bo bardzo często słyszę, że...
743:  narzekać i krytykować.
745:  Otóż nie.
746:  Nie wystawiam ocen.
748:  Od lat.
750:  Radzę sobie tak jak mogę, to znaczy wpisuję co tam mi każą, natomiast dobrze wszyscy wiedzą, że ja preferuję ocenę opisową.
759:  Jeszcze nigdy mi się nie zdarzyło, żebym w tym moim binarnym systemie, w którym albo wystawiam ocenę pozytywną, albo negatywną, znalazł lub spotkał taki przypadek, w którym ta ocena byłaby niesprawiedliwa.
771:  Co więcej, chyba ani razu jeszcze mi się nie zdarzyło, żebym miał taką fizyczną potrzebę ocenienia kogoś.
778:  Nie widzę w ocenie wskaźnika jakiegokolwiek progresu.
781:  Widzę w nim tylko i wyłącznie narzędzie wpajania nam bardzo niebezpiecznej myśli, która zagnieżdża się w nas jak incepcja u Christophera Nolana i drąży nas.
793:  Jaka to myśl?
796:  Jesteś gorszy od innych.
797:  Możesz być lepszy od innego.
800:  Postaraj się.
802:  Ale za mnie się starasz, to porównaj się z nimi.
805:  Może oni robią to lepiej?
808:  Zobacz.
809:  On ma lepszy samochód.
811:  Zobacz, on ma lepszą robotę.
813:  Zobacz, jemu lepiej idzie w pracy.
815:  Zobacz, on szybciej pisze opowiadanie.
818:  Dostaje nagrody, dostaje laury, dostaje stypendia, dostaje podwyżki w pracy.
824:  Ten mechanizm, ta mechanika growa tej gry społecznej, którą jest szkoła, jest nam wpajana dokładnie w tym momencie, w którym w szkole podstawowej jeszcze się wpaja nam bullshit, że czerwone kółko, czy czarne kółko, czy whatever, to jest...
839:  nagroda za nasze dobre lub złe zachowanie i potem oczywiście te słoneczka, chmurki, kółeczka, wszystko jedno, co jest wprowadzane po to, żeby zatuszować to, że to są oceny, są zastępowane systemem metrycznym.
851:  I w ramach tego systemu metrycznego jesteśmy mierzeni.
854:  Tak w kanonie.
854:  Kanon to linijka, pamiętajmy o tym.
857:  I mierzy się nas i sprawdza, czy dorastamy do czyichś pięt.
862:  Czy dorastamy do jakiegoś wzorca, który jest wyznaczony?
866:  Czy dorastamy do tych 80% matury?
870:  Albo 30% matury?
872:  I szkoła paja nam taką wizję świata, w której te wszystkie oceny kogokolwiek obchodzą.
877:  Plot twist.
879:  Nie obchodzą nikogo, nigdzie i nigdy.
883:  Obchodzą tylko i wyłącznie ludzi, którzy już są w tym systemie, którzy są w nim zanurzeni, którzy nie potrafią myśleć poza pudełkiem.
890:  Tak, tych ludzi obchodzą oceny, ale tylko tych.
894:  I oczywiście oceny nie są jedynym tego rodzaju miernikiem, nie są jedynym sposobem na wtłoczenie nas w określony system, w którym będziemy cały czas oczekiwać, że ktoś nam coś powie.
906:  Nie będziemy poszukiwać sami wiedzy, bo przecież jest nauczyciel i on nam powie...
909:  Nie będziemy sprawdzać tego, co mówi nauczyciel, bo przecież on dzierży autorytet, więc on nie może się mylić.
916:  A nawet jeżeli się myli, to mamy wyłączony smartfon i możemy go użyć i tego sprawdzić.
921:  To jest mniej więcej tak, jakby skrybie w klasztorze związano ręce i odrąbano język, żeby przypadkiem nie mógł się sprzeciwić opatowi, który mówił mu na przykład, że Arystoteles to jest poganin i należy go czytać.
933:  Nawiasem mówiąc, jak kogoś interesuje taka historia, polecam i mnie róży.
936:  W formie filmowej.
938:  Albo książkowej, jak kto woli.
941:  To nie ma sensu, żeby odbierać nam narzędzia, które w istotny sposób przygotowują nas do życia w społeczeństwie.
948:  A szkoła nie przygotowuje nas do życia w społeczeństwie.
951:  Szkoła wytwarza nam wizję społeczeństwa, bez której my nie możemy żyć.
958:  i bez której nie możemy sobie wyobrazić świata.
961:  Trudno nam sobie wyobrazić świat bez podwyżek, rankingów, ocen, mierników, wskaźników wydajności.
969:  Nie dlatego, że one są nieodzowne dla postępu, tylko dlatego, że ktoś kiedyś nam pokazał, że są skuteczne w nadzorowaniu innych.
979:  I to jest ten moment, w którym we mnie uspokajają się emocje, wzmaga niepokój.
986:  Bo ta moja intuicyjna dziecięca niechęć do tego radosnego witaj szkoło, tak jak z dobrego miejsca, everything is fine, na zielonym tle, tak się zaczynał w serial The Good Place.
1002:  Coś było w tej mojej dziecięcej nieufności.
1006:  Była jakaś prawda, była jakaś niezgoda wewnętrzna na tę hipokryzję, tę obrzydliwą hipokryzję, w której zderzają się dwie wersje rzeczywistości.
1017:  Jedna życzeniowa, w której szkoła faktycznie jest miejscem, gdzie spotykamy się, tak jak w starożytnej Grecji.
1023:  po to, żeby spędzać razem czas wolny od pracy zarobkowej i poszukiwać wiedzy, wymieniać się doświadczeniami, pomysłami, ideami, odkrywać prawdy naukowe, robić to, co ja robię i kocham w moim życiu zawodowym.
1038:  Tylko, że ja to robię dopiero od pewnego czasu, wtedy, kiedy ja zabrałem się za swoją naukę i odrzuciłem wszystko to, co mi mówili na studiach polonistycznych i odrzuciłem też to, co mówili mi w szkole.
1050:  I wiecie co, jak patrzę sobie te 20 lat wstecz i uświadamiam swoją drogą, że 2 trzecie życia spędziłem na edukacji, to myślę sobie, to był czas stracony.
1062:  I podwójnie nie zgadzam się na tę hipokryzję, która się pojawia dzisiaj.
1067:  pójścia do szkoły słonecznej, uśmiechniętej i radosnej, gdzie tak naprawdę zamiast tych liści palmowych mamy sznury od kalesonów na pryczy więziennej naszego sąsiada, jak to w kongresie futurologicznym Lema się okazało.
1084:  I oczywiście wiem, co powie co druga osoba.
1089:  No przecież co mają zrobić rodzice, którzy idą do pracy?
1092:  No przecież muszą gdzieś podziać te swoje bachory, nie?
1095:  Bo przecież to jest główna motywacja szkoły.
1098:  To, żeby można było gdzieś odstawić dzieciaki.
1101:  Żeby one mogły się uczyć, żebyśmy nie musieli tego robić sami.
1105:  Zgromadzić ludzi, którzy mają dokładnie te same potrzeby, wyznaczyć im nadzorce i zadbać o to, żeby on ich inkulturował, przygotował do życia w kulturze, przygotował do życia w społeczeństwie, przygotował do życia w polityce.
1117:  Tylko wiecie, jest jeden z tym problem.
1118:  Zakładamy równocześnie, że ten nauczyciel będzie kompetentny.
1121:  Zakładamy, że będzie pasjonatem.
1123:  Zakładamy, że będzie mu się chciało.
1125:  Zakładamy, że będzie miał lepszą wiedzę niż my.
1127:  A jest jeden problem.
1128:  W kraju, Polsce, w którym...
1131:  nauczycieli opłaca się tak nisko, nie ma takiej możliwości, żebyśmy w nieskończoność znajdywali tych ludzi.
1139:  I póki nie zrozumiemy, że nie możemy pokładać ufności w instytut i szkoły już dłużej,
1145:  Później będziemy mieli problemy z kolejnymi pokoleniami, które będą się orientować, zaraz, ale ta matura, te egzaminy wszystkie, które ja zdałem, mi to gówno daje.
1153:  Ja i tak muszę iść w pracę na szkolenie trzymiesięczne.
1156:  Ja i tak nie umiem wypełnić PIT-u.
1158:  Ja i tak nie umiem złożyć podania.
1159:  Ja i tak wpadam w panikę na myśl o tym, że trzeba iść na jakikolwiek inny egzamin.
1163:  A poza tym...
1164:  Ileś jeszcze jest egzaminów poza szkołą, które nas czekają.
1167:  Egzamin na prawo jazdy, egzamin prawniczy, jeżeli chcemy zostać adwokatem, na przykład nie wystarczą nam studia, trzeba mieć aplikację.
1175:  Egzamin ten, egzamin tam, ten certyfikat inny.
1180:  Za każdym razem jest coś, co musimy zrobić.
1182:  Jeszcze ponad tę edukację, na którą zmitrężyliśmy te kilkanaście lat życia.
1187:  I oczywiście drugi argument, który się pojawia często.
1189:  Szkoła dla niektórych jest jedyną szansą na to, żeby się zetknąć z wiedzą.
1194:  Pewno?
1195:  Ile z tych osób, dla których jest to jedną szansą, odbija się podwójnie od szkoły, bo nie radzi sobie psychicznie z tym, że na przykład ma patologiczną sytuację w domu i jeszcze na dokładkę w szkole, być może spotyka się z bullyingiem.
1212:  O tym nie myślimy wtedy, tak?
1214:  Nie, myślimy tylko i wyłącznie od idyllicznej sytuacji, że dziecko jest katowane w domu, idzie do szkoły i w szkole to jest słoneczko, komórki, tęcza, witaj szkoło i jest radośnie, tak?
1229:  Nie, nie jest radośnie.
1232:  Gdyby było radośnie, to byśmy nie czytali Harry'ego Pottera, nie zachwycalibyśmy się tym, jak szkoła mogłaby wyglądać, nie oglądalibyśmy, nie wiem, w Riverdale czy w Stranger Things, jak bohaterowie robią wszystko, tylko się nie uczą, bo w Stanach Zjednoczonych nie ma zadań domowych i można po szkole faktycznie spędzać czas z rówieśnikami.
1259:  Zastanówmy się nad tym, jak popkultura obrazuje szkołę i czym jest szkoła w popkulturze, jak byśmy chcieli, by ona wyglądała.
1267:  I to jest pierwszy krok do tego, żeby zacząć zmieniać jej wygląd i zastanawiać się przede wszystkim nad tymi wszystkimi mechanizmami, mechanikami, które przygotowują nas do tej gry społecznej, zwłaszcza jak jeszcze jesteśmy poddawani edukacji, bo mam dość!
1286:  Jako nauczyciel akademicki, spotykania kolejnych pokoleń studentów, którzy są zniszczeni przez szkołę.
1294:  Którzy pytają mnie, czy mogą się napić, jak jest 40 stopni upału.
1299:  Którzy pytają mnie, czy mogą wyjść do toalety.
1302:  Którzy nie wiedzą, że mogą zjeść.
1304:  Którzy nie wpadną w ogóle na coś takiego, że można razem z prowadzącym zamówić sobie pizzę i zjeść ją razem i podyskutować o czymś.
1311:  Tak jak w skole starogreckiej.
1315:  Mam dość też ludzi, którzy doprowadzają do sytuacji, że młodzi, kreatywni, przyszli obywatele są straumatyzowani.
1326:  Boją się odezwać, bo zostaną ocenieni.
1329:  Boją się napisać tekst, bo myślą, że osoba, która to czyta, będzie się z nich wyśmiewać.
1336:  Boją się zabrać głos, bo wiedzą, że druga strona jest tym mędrkowatym pyszałkiem, tak jak to niejeden nauczyciel.
1346:  Boją się wreszcie ryzykowania, czyli tego, co w zasadzie powinno być fundamentem kapitalizmu, bo za ryzyko grozi gorsza albo niższa ocena, a za niższą lub gorszą ocenę niższe stypendium, a niższe stypendium lub brak w stypendium owocuje tym, że musimy iść do pracy, żeby móc się utrzymać w akademiku.
1367:  Rozumiecie już, na czym polega problem.
1369:  To nie jest tak, że szkoła pozostawia nas obojętnymi.
1372:  Jasne, część ludzi idzie do roboty i nie idzie na studia i zostawia szkołę jako zamknięty rozdział, nie przejmuje się tym.
1379:  Ale czy na pewno w was to też nie zostaje?
1381:  Czy na pewno nie, aby nie łatwiej jest zaakceptować przemocowego menadżera, jak już spotkaliśmy się z przemocowym nauczycielem?
1390:  Czy nie łatwiej nam jest wtedy nie kwestionować poleceń?
1394:  Bo przyzwyczailiśmy się do tego, że ktoś nas już zwalnia z odpowiedzialności?
1401:  No to powiedziawszy, chciałem was pozostawić w tej drugiej części materiału z fragmentami książki Mikołaja Marceli pod tytułem Odważnym.
1413:  Selekcja jak szkoła niszczy ludzi, społeczeństwa i świat.
1418:  Jak rzadko na tym kanale polecę Wam lekturę tej książki, żebyście dali szansę wizji, która jest radykalna.
1424:  Jeszcze bardziej radykalna niż to, co ja mówię.
1427:  Radykalna w tym sensie, że proponuję program odnowy, który polega na tym, żeby zlikwidować instytucję szkoły taką, jaka ona jest.
1433:  W ogóle.
1434:  I zastąpić ją dowolnym innym modelem.
1437:  Bo ten na pewno jest na wskroś zły.
1439:  Dla nauczycieli, dla rodziców i dla uczniów.
1444:  Czytamy u Marcylii.
1446:  Dzieci z definicji stają się uczniami, a to wytwarza popyt na nauczycieli.
1450:  Nowoczesna szkoła opiera się więc na aksjomacie, czyli prawdzie objawionej, że uczenie to rezultat nauczania młodych ludzi przez dorosłych.
1458:  Czyli to, co wam powiedziałem, ta patologia.
1461:  Nie uczymy się od siebie, tylko zawsze będzie ten, który jest starszy, będzie mądrzejszy.
1466:  To nigdy nie jest prawdą ostateczną i niepodważalną.
1471:  Bywa prawdą, oczywiście, ale nie jest to aksjoma.
1474:  Dla jednej jak i drugich staje się to pracą na pełny etat.
1477:  Dla młodych ludzi jest to pod wieloma względami praca niewolnicza.
1480:  Przedłużenie czy nowa forma dawnych prac na roli czy w fabryce.
1483:  Nikt wam nie płaci za bycie uczniami.
1486:  Nikt wam nie płaci za pracę, która, nie oszukujmy się, jest bardzo często cięższa od pracy zawodowej, którą niektórzy wykonują.
1495:  Nie mają oni, uczniowie, przecież prawa wyboru tego, czym się będą zajmować.
1500:  Nikt nas nie pyta, czy chcesz się uczyć matematyki teraz czy fizyki, a może jednego i drugiego.
1507:  Nie mogą też zmieniać dowolnie miejsca nauki.
1510:  Są przykuci do krzesła i do określonej pozycji siedzącej.
1514:  Nawiasem mówiąc, najbardziej niezdrowiej dla kręgosłupa.
1517:  Powiedział Krzysztof, który głównie siedzi.
1520:  Czy wybrać tych, z którymi chcą się uczyć?
1522:  Nie możemy wybrać nauczyciela.
1524:  Potem student, który przychodzi na zajęcia, oczekuje też tego samego, że dostanie nauczycieli z góry, a nie, że będzie sam sobie wybierał mistrza, z którym chce się rozwijać, rozmawiać, wędrować dalej w poszukiwaniu wiedzy.
1537:  I tak oto rodzi się zapotrzebowanie na różnego rodzaju techniki motywacji do nauki.
1542:  Uczniowie być może jednak nigdy nie szanowali tego, czego się uczyli w ramach szkoły.
1547:  Przechodzą przez nią głównie dzięki wkuwaniu, czytaniu i sprytowi.
1553:  Zakuj, zdaj, zapomnij, stała maksyma studencka.
1560:  Drugi cytat.
1562:  Obecny w szkole rozkład zajęć i podział czasu, tak jak w zakonach, ma jeden zasadniczy cel – dyscyplinować ciało i umysł.
1569:  Szkoła korzysta również z ćwiczeń, które wywiedzione są z religii i nią inspirowane.
1573:  Ćwiczenia z pisania tak, żeby nie wyjechać za linię w zeszycie.
1577:  No i oczywiście nie zapominajmy, że mają przejebane wszyscy nieleworęczni, prawda?
1582:  No bo wiadomo, że cała szkoła jest przystosowana dla jedynych, słusznych uczniów.
1587:  prawomyślnych i praworęcznych i praworządnych.
1591:  Natomiast ci, którzy piszą lewo, sobie będą wszystko rozmazywać, prawda?
1595:  No bo tak uczymy, nie?
1598:  To mi się też przypomina anegdotę szkolną, jak na lekcji nauczania początkowego mieliśmy alfabet, nie?
1604:  No i Krzysztof, który zawsze musi poza pudełkiem myśleć,
1608:  No, podniósł łapę do góry, jak zobaczył, że mamy P, mamy R, ale pominięto tę fajną literę z takim zawiasem Q, nie?
1616:  No i się pyta, czy my się nauczymy pisać Q. Nie!
1619:  Nie ma tego w programie!
1621:  Nie możemy się uczyć!
1623:  Po czym?
1624:  Lekcja języka angielskiego.
1628:  Does somebody have a question?
1631:  Question.
1632:  Jak zapisać to dziwne słowo zaczynające się od Q?
1637:  Zapomniałem, nie ma tego w programie.
1641:  Ale oczywiście chodziło o to, że z Q łatwiej wyjechać poza linię w zeszycie, więc po co się uczyć pisania Q?
1651:  Wypełnianie okienek w zeszytach ćwiczeń.
1653:  Też kolejne takie ćwiczenie, które uczy i bawi.
1657:  tak by wypisać założoną przez twórcę odpowiedź, te słynne zeszyty ćwiczeń, które zostały wprowadzone obok zeszytów normalnych, bo żeby jeszcze wyciągnąć kasę od rodziców, nawiasem mówiąc, ale oczywiście pamiętajmy, że tak, że podręczniki są tanie i po co przejść na PDF-y, no na pewno kupienie Kindle'a za 500 złotych, nawet
1677:  przez rodzinę, która naprawdę cienko przędzie, to jest z pewnością wydatek o wiele mniej opłacalny niż zakupienie podręczników za jakieś 800 i całej szkolnej wyprawki.
1688:  Oczywiście, kocham tę logikę.
1691:  Następnie wykazanie się na testach i sprawdzianach, o których mówiliśmy w odcinku Dla Każdego Coś Przykrego.
1697:  Tam ja podlinkuję, co myślę na temat egzaminów i dlaczego powinny zostać zlikwidowane.
1703:  To, co znane dziś przede wszystkim, kontynuuje Mikołaja Marcela ze szkoły i z wojska.
1708:  Narzucanie ciału zadań powtarzalnych, których celem jest jednostajny, linearny rozwój, swoje źródło ma właśnie w zakonach.
1718:  I wreszcie.
1720:  Indywidualne doskonalenie uczniów przez autorytatywnego nauczyciela ma generować współzawodnictwo.
1729:  Kompetytywność, której ja swoją drogą nie znoszę do tego stopnia, że nawet jak gram w gry wideo,
1736:  to nigdy, ale to nigdy i ćwiczy się w tym sam dla siebie, nie przejmuje się tabelami rankingowymi, wynikami, kompetytywnością, współzawodnictwem, to kto pierwszy, kto drugi, kto trzeci.
1751:  ponieważ tego nienawidzę, bo ktoś mnie kiedyś zmusił do udziału w wyścigu szczurów i tego flecistę z Hameln, za którym wszyscy szliśmy jako te szczury z kanałów, najchętniej bym powiesił na jego własnych jelitach, bo to on, ten alegoryczny flecista,
1773:  To prowadzi do tego, że zapominamy o tym, że my nie jesteśmy szczurami, my nie jesteśmy rojem, nie jesteśmy chmarą, nie jesteśmy stadem, tylko jesteśmy ludźmi, którzy są różni i którzy powinni raczej negocjować swoją pozycję w grupie, niż tylko i wyłącznie zabijać się o pierwsze miejsce.
1795:  W zakonach zatem, tak jak i w szkołach, celem jest zbawienie wspólnoty.
