WF to patologia | Dla każdego coś przykrego #23
🔗 https://www.youtube.com/watch?v=kq1h5vcGd9g

0:  Wychowanie fizyczne jest fantastyczne, a tak naprawdę to nie.
640:  Twoje imię, konkurencja, rywalizacja, współzawodnictwo, czyli wszystko to, co szkoła ma kształcić, żeby wykształcić obywatela, który nie dość, że będzie posłuszny państwu, to jeszcze będzie tak zajęty konkurowaniem ze współobywatelami, żeby nawet nie pomyślał, że można się zbuntować przeciwko państwu.
662:  kolejnej idiotycznej ustawie, kolejnemu idiotycznemu edyktowi albo kolejnemu prawu, które odbiera coraz to więcej naszych wolności, nakłada coraz to wyższe podatki zamordystyczne, ale nie mamy czasu na to, żeby się nad tym zastanowić, ponieważ jesteśmy zbyt zajęci myśleniem o tym, żeby być lepsi od innych.
682:  Albo jesteśmy zbyt zajęci myśleniem o tym, żeby, no, tak pokazać temu, który jest gorszy od nas, jaki to on jest od nas gorszy.
691:  I oczywiście pamiętajmy, że ta relacja między wychowaniem fizycznym a sportem przekłada się realnie na korzyści dla państwa.
700:  To znaczy w interesie państwa jest to, żeby wykształcić kadry olimpijskie i sportowe, ponieważ to są grube pieniądze, za które później można sobie boostować ekonomię, bo zbudujemy jeden, drugi i piąty stadion.
713:  Żeby nie było, żeby nie było, nie mam nic przeciwko sportowi jako takiemu,
718:  Ale nie uważam, żeby było stosowne wymawianie wszystkim, że kariera sportowca to jest jeden jedyny sposób na to, żeby osiągnąć nie tylko tężyznę fizyczną, ale także naprawdę taki zdrowy balans pracy, życia, odpoczynku, żeby utrzymać przede wszystkim swoje ciało w dobrej kondycji, tak żeby przeżyć jak najdłużej.
740:  Kwestia sportu jest zupełnie inna i należy ją kompletnie oddzielić od gimnastyki, od ćwiczeń fizycznych, od siłowni.
750:  Sportowcy zresztą też chodzą na siłownię znacznie częściej i sportowcy w wieku 30-40 lat najczęściej już muszą odchodzić na emeryturę, ponieważ ten wysiłek jest dla nich niesamowicie ciężki i...
764:  Ciało nie wytrzymuje, więc nie, to nie chodzi o to, żebyśmy wszyscy byli sportowcami w wysiłku fizycznym.
769:  W wysiłku fizycznym chodzi przede wszystkim o zdrowie, ale niestety będzie się nam wmawiać, że sport to zdrowie, prawda?
777:  To nie jest prawda.
778:  Sport to doping, sport to kontuzje, sport to nadmierny wysiłek, sport to chora rywalizacja, sport to miliard różnych patologii.
787:  Tak, oczywiście, także dobre emocje.
790:  Ale pozwólcie, że podejdę do tego od strony, na której się znam najlepiej i która mnie najbardziej interesuje.
797:  Od gier wideo mianowicie.
799:  Jest coś takiego jak e-sport.
801:  Niektórzy nawet myślą, że to jest to samo co sport i że e-sport wyciągnie dzieci z domu.
805:  To ostatnia rewelacja premiera Watteusza, ojca Watteusza.
809:  Ale e-sport i gry wideo wbrew pozorom łączy dokładnie taka sama relacja jak aktywność fizyczną i sport.
817:  Mianowicie i w jednym i w drugim chodzi o wyjście na pewien poziom mistrzostwa, który sprawi, że będziemy w stanie konkurować z innymi.
826:  I oczywiście wokół tego w grach wideo tworzy się cała ta atmosfera gitgut gamingu, no to jak będziesz lepszy w tę grę, to...
833:  pogadamy wtedy, to bądź lepszy w tę grę, graj, klikaj szybciej, czemu klikasz tak wolno, szybciej, lepiej klikaj, w dobre miejsce na ekranie klikaj, jak będziesz dobrze klikać, to no to wtedy zobaczymy, to może będziesz w jakichś zawodach, to może w jakiejś tabeli rankingowych się pokażesz, o, w PUBG sobie grasz, popatrz, jesteś lepszy od tamtego, ho, ho, jakie emocje, a tamten jest od ciebie gorszy, ho, ho, ho, jeszcze większe emocje.
861:  No nie dla wszystkich, na przykład dla mnie żadne, szczerze powiedziawszy.
864:  Esport lubię oglądać, nie lubię być sportowcem, esportowcem innymi słowy.
871:  Nie podnieca mnie to w żaden sposób, nie ekscytuje, nie sprawia, że mam boost adrenalinowy.
876:  I dobrze, jeżeli są ludzie tacy, których to ekscytuje, też dobrze, ale i ludzie, których ekscytuje e-sport, i ludzie, których ekscytuje sport, nie powinni psuć obrazu grania jako takiego dla przyjemności i wysiłku fizycznego jako takiego dla przyjemności, ponieważ wyrządzają tym niedźwiedzią przysługę.
901:  No ale znowu możecie powiedzieć, o Krzysztof, my mamy tylko twoje słowa na potwierdzenie tego, że w szkołach jest sport, a nie wychowanie fizyczne, bo oczywiście tutaj będzie taki klasyczny argument, wiecie, fallatio accidentis, nie blitz fellatio accidentis, bo to coś zupełnie innego, czyli błąd uwydatnienia przypadkowego szczegółu.
921:  Znaczy, ale Krzysztof, w mojej szkole, w mojej szkole tak nie ma.
927:  Nie, w mojej szkole mamy sprzęt, w mojej szkole mamy siłownię i ćwiczymy.
934:  No nie, no to w takim razie nie ma problemu, no sorry, przepraszam, no jeżeli w twojej szkole nie ma, to wiadomo, nie.
939:  Bardzo często się zdarza taki argument, nie?
941:  Też często nauczyciele mówią, o, ale ja jestem dobry, no brawo, chcesz medal?
945:  No to nie o to chodzi, mówimy o pewnych rozwiązaniach systemowych i problemach systemowych, a dobrze wiecie, do czego zaglądamy.
953:  jak mamy komentować rozwiązania i problemy systemowe.
956:  Mianowicie, jedynym sposobem, żeby się przekonać, jakie są założenia wychowania fizycznego, jest sięgnięcie do podstawy programowej.
974:  I w tejże, akurat wybrałem dla Was klasy 4-6, bo zaraz o tym zresztą opowiem, moim zdaniem to jest moment newralgiczny, czytamy sobie na początku takie niewinne rzeczy, że celem kształcenia jest kształtowanie umiejętności, rozpoznawanie i oceny własnego rozwoju fizycznego, zachęcanie do uczestnictwa w rekreacyjnych i sportowych formach aktywności fizycznej, następnie zasady bezpieczeństwa, to spoko.
999:  kształtowanie umiejętności rozumienia związku aktywności fizycznej ze zdrowiem, to tak, wiecie, pod kątem tych doniesień prasowych, o których sobie mówiliśmy wcześniej, oraz oczywiście kształtowanie umiejętności osobistych i społecznych.
1011:  To jest jasne, ale teraz najlepsze.
1014:  Teraz sobie liczmy.
1015:  Za każdym razem, jak się pojawi coś sportowego, to golnicie sobie coś przyjemnego.
1020:  Albo to kakao, albo to herbatę, albo to whisky.
1022:  W zależności od tego, na co się czujecie, w jakiej jesteście grupie wiekowej.
1026:  Coś, co lubicie.
1027:  Golnicie sobie.
1028:  Gwarantuję wam, będziecie mieli dobre parę minut przed sobą.
1032:  Uczeń uczestniczy we sportowych rozgrywkach klasowych w roli zawodnika.
1037:  Stosuje zasady czystej gry, szacunku dla r...
1042:  respektowania przepisów, podporządkowania się decyzjom sędziego.
1046:  Oj, potrafi podziękować za wspólną grę.
1048:  No dobrze, może Krzysztof, Krzysztof, przesadzam, Krzysztof, może dalej będzie coś innego.
1053:  Może dalej, nie?
1055:  Wyjaśnia zasadę kulturalnego kibicowania.
1058:  Pełni rolę organizatora, sędziego, kibica.
1062:  Następnie aktywność taneczna, to spoko, chociaż chciałbym poznać jedną osobę, która uczyła się tańca na WF-ie i nie było to przed studniówką.
1070:  Następnie omawia znaczenie dobrych relacji z innymi ludźmi, w tym z rodzicami.
1075:  Nie mam zielonego pojęcia, co ma to wspólnego z wychowaniem fizycznym.
1078:  Identyfikuje swoje mocne strony.
1080:  Kreatywność w wyszukiwaniu rozwiązań problemowych, empatia i tak dalej.
1084:  To są rzeczy dla mnie zupełnie tajemne, bo ja nie identyfikuję żadną lekcję z wychowania fizycznego, jaką kiedykolwiek słyszałem.
1090:  no i motywuje oczywiście innych do udziału w aktywności fizycznych, to powiedzmy jest poza sportem.
1095:  Ale już za momencik, za momencik, proszę uprzejmie, będziemy mieli po serii gimnastycznej typowo, będziemy mieli, proszę uprzejmie,
1107:  Od razu wybrana regionalna zabawa lub gra ruchowa będzie, no pewnie, bo musi być przecież.
1113:  Następnie, no już czekaliśmy na to, więc weźcie swoje kubeczki, weźcie swoje filiżaneczki, weźcie swoje kielony, pijemy.
1124:  wykonuje i stosuje w grze kozłowanie, prowadzenie piłki nogą, podanie piłki obu rąk, rzut piłki z kosza, minigry, wyorganizuje wybraną zabawę lub grę ruchową, uczestniczy w wybranej regionalnej zabawie lub grze ruchowej i tak dalej, i tak dalej, i tak dalej.
1140:  A co jeszcze może... Krzysztof, przesadzasz, no przecież tutaj są też inne rzeczy.
1144:  Tak, ale oczywiście, że są inne rzeczy.
1146:  No na przykład kom różnego rodzaju...
1149:  Konkurencje olimpijskie, na to bieg krótki, marszobiegi, rzut z miejsca, rzut z lekkim przyborem, skok w dal, skok z krótkiego rozbiegu i tak dalej i tak dalej.
1160:  Następnie oczywiście musimy znać regulaminy boiska sportowego, najlepiej także również wymiary boiska sportowego.
1167:  opisywać zasady poruszania się po tymże boisku i tak dalej, i tak dalej.
1172:  Jest tego multum i gwarantuję Wam, że to nie jest przypadkowe, ponieważ wszyscy dobrze pamiętamy, jak wyglądały wszystkie, WSZYSTKIE lekcje WF-u zawsze.
1186:  Nawet w ramach wiedzy, bo wiemy, że ten WF to nie tylko kwestie ruchowe, ale także paradne próby stworzenia z tego przedmiotu czegoś teoretycznego.
1197:  To oczywiście, że będziemy mieli przepisy wybranych sportowych, rekreacyjnych gier zespołowych.
1202:  Oczywiście, że będziemy musieli znać, bo to jest bezwzględnie konieczne, zasady wybranej gry rekreacyjnej pochodzącej z innego kraju europejskiego.
1209:  Oczywiście, że musimy wiedzieć czym jest rozgrzewka, ponieważ bez rozgrzewki nie będzie gry w piłkę nożną i naturalnie, że będziemy musieli znać absolutnie wszystkie elementy wszystkich gier sportowych, których imię następujące.
1222:  Piłka nożna, piłka nożna, piłka nożna, piłka nożna, piłka nożna, piłka nożna.
1232:  Wspomniałem o piłce... Przepraszam, nie wspomniałem jeszcze o piłce nożnej, jej odmianie, czyli piłce nożnej oraz piłce nożnej.
1239:  A, i jeszcze jest noga.
1241:  Aha, chyba, że się jest oczywiście kobietą albo dziewczyną, to zmienia to postać rzeczy.
1247:  Dziewczyny nie mogą kopać piłki.
1251:  Dziewczyny...
1253:  Mogą ją tylko muskać.
1255:  Pod warunkiem, że mają zaplecione warkoczyki i mają takie kokardki na warkoczyka.
1261:  One mogą, bo wiecie, takie kopnięcie to tak za męskie jest.
1265:  To jest takie męskie.
1269:  Więc nie możemy mieć koedukacyjnego WF-u w żadnym razie.
1273:  Dziewczyny należy oddelegować do siatkówki.
1275:  Mają nie wiedzieć do samego końca, jakie są zasady dwutaktu i innych elementów piłki.
1282:  Zastanawia mnie,
1283:  Logika stojąca za tym wszystkim.
1286:  Zastanawia mnie, dlaczego to jest wszystko takie wewnętrznie sprzeczne.
1289:  Zastanawia mnie, dlaczego ktokolwiek zmusza mnie na lekcji WF-u do tego, żebym grał w jakąś pieprzoną grę zespołową.
1296:  Przez całe moje życie przez to zniechęciłem się do jakiegokolwiek wysiłku fizycznego.
1303:  W wieku 24 lat osiągnąłem 95 kilo żywej wagi.
1313:  95.
1313:  Zrzucałem to potem przez półtora roku.
1316:  W wyniku rygorystycznego programu ćwiczeń i diety, do których nigdy w życiu już bym nie chciał powracać, bo tak były rygorystyczne.
1323:  Ale tak, od tego czasu jakoś udaje mi się utrzymywać cotygodniowe ćwiczenia.
1329:  I radzę sobie.
1331:  Ale w którymś momencie ktoś mnie zraził.
1334:  Bo możemy się śmiać z WF-u do końca dni i możemy wymieniać się anegdotami, kto to w co nie grał i dlaczego, ale nie zmienia to jednego faktu.
1344:  Dużo ludzi zniechęca się do aktywności fizycznej z uwagi na to, jaka toksyczna atmosfera towarzyszy wszystkim...
1353:  zawodom i konkurencjom sportowym.
1356:  I o tym powie wam każdy sportowiec, że jest element bardzo pozytywny, ale jest też element wypalający, negatywny.
1363:  I to jest bardzo często ten element, na który młody człowiek nie jest kompletnie przygotowany.
1369:  Ja nie byłem przygotowany na to, co było na lekcjach w WF-u.
1373:  I podam najprostszy przykład, bo obiecałem, że będzie anegdota.
1377:  Jest selekcja do drużyny, bo oczywiście będziemy grać w piłkę nożną w ramach tego rozbudowanego programu wychowania fizycznego, który sobie streściliśmy pokrótce, składającego się tak mniej więcej z 60% gier zespołowych i może z 10% gimnastyki.
1396:  I czekałem na swoją kolej.
1399:  No ale oczywiście było jasne, że Krzysztof to na końcu będzie wybrany, bo on nie umie.
1408:  Genialne, prawda?
1409:  To znaczy, to jest właśnie tak, jakby nauczyciel uczył tylko ludzi, którzy rozumieją matematykę, a nie uczył tych, którzy...
1418:  którzy nie rozumieją i właśnie teraz przypomniałem sobie o ćwiczeniach z gwiazdką, przypomniałem sobie o faworyzowaniu uczniów, którzy umieją je rozwiązywać i przypomniałem sobie o tym, co robili uczciowie na matematyce, którzy nie umieli ich rozwiązywać, ale dobrze, dobrze, oddalmy tę dygresję, bo kluczowe jest to, że nauczyciele tutaj zachowują się przeciętnie, pomijamy wyjątki, w taki sposób jak nauczyciele innych szkolnych przedmiotów, czyli oczywiście, że faworyzują tych, którzy sobie radzą,
1445:  i olewają tych, którzy sobie nie radzą.
1448:  Tylko problem z wychowaniem fizycznym polega na jednym.
1452:  Aspekcie, który pomijamy często.
1454:  Ktoś, kto sobie nie radzi, może sobie zrobić kuźwa krzywdę.
1459:  Na tym polega problem.
1460:  Oczywiście w skrajnych przypadkach, od których sobie nie bez powodu zaczęliśmy, może się to skończyć tragicznie.
1466:  I to jest różnica między WF-em a matematyką.
1469:  Ale są też mniej skrajne przypadki, kiedy nie kończy się to tragicznie, tylko kończy się to traumatycznie.
1475:  I zostaje w psychice np.
1477:  zadra na całe życie i nienawiść wobec rozgrywek zespołowych i sportowych, ponieważ człowiek nie ma żadnych miłych wspomnień z tym związanych.
1485:  Oczywiście, nie każdy,
1488:  Ale dużo ludzi im tak ma.
1490:  Nawet jeśli skojarzymy sobie WF wcześniej z jakimiś pozytywnymi emocjami i z rozgrywką sportową, to w dalszym ciągu nie musi to oznaczać, że będziemy zdrowi i będziemy mieli zdrowe ciało.
1504:  No nie, ponieważ trening na siłowni, czy trening personalny, czy biegi, czy jakakolwiek inna aktywność fizyczna, która oddziałuje na cały nasz organizm, typu basen, typu chodzenie po górach, jeźdzenie na rowerze, to nie są rzeczy, które są w jakikolwiek sposób związane ze sportem.
1524:  To jest coś innego i to się robi ekstra.
1528:  Można sobie pójść z kumplami, z kumpelami i pograć w siatkę.
1532:  Świetnie, ale ekstra trzeba coś robić ze sobą, ponieważ ten chwilowy ruch nic nie zmieni.
1541:  Sport, żeby miał sens, musi być regularny.
1543:  Mięśnie wymagają regularnego treningu.
1546:  Nie będę się na ten temat wymądrzał, bo jest mnóstwo świetnych trenerów personalnych, dużo dobrych kanałów na YouTubie, które też to ogarniają.
1553:  Ja tylko zaznaczam, że z mojego doświadczenia wynika, że absolutnie i w 100% WF szkolny nie pomagał mi w utrzymaniu ani zdrowia, ani aktywności ruchowej, ani absolutnie wagi czy dobrej kondycji.
1569:  Jedyne, co mnie to zaczęło w jakikolwiek sposób utrzymywać i kondycję, i wagę dobrą i tak dalej, to był program treningów, który sobie sam wyznaczyłem.
1580:  I znowu wracamy do tego samego, że szkoła nam proponuje coś, co jest absolutnie bezużyteczne i nikomu się do niczego nie przydaje.
1587:  Co więcej, bardzo często także traumatyzuje.
1591:  A jedyni ludzie, którym się faktycznie to przydaje w odniesieniu do WF-u, to są ci, którzy z góry już nie mieli żadnych problemów.
1598:  Ci, którzy ogarniali grę różnego rodzaju, nie wiem, piłkę nożną, koszykówkę, wszystko jedno.
1604:  Ci, którzy byli dobrze wysportowani, bo niezależnie od tego chodzili na siłownię, jeździli na rowerze itd., itd., oni naprawdę nie potrzebowali tego.
1612:  Okej, może potrzebowali kontaktu z trenerem, może potrzebowali...
1616:  Na przykład pomocy w dostaniu się do jakiegoś klubu sportowego i zawodów na szczeblu wojewódzkim, regionalnym, jakimkolwiek innym.
1625:  Świetnie, ale to można realizować na zajęciach pozalekcyjnych.
1628:  To można realizować w ramach, nie wiem, akademickiego klubu sportowego, to mi się przypomina z uwagi na uniwersytet.
1634:  o tym zaraz też za moment swoją drogą, ale też są przecież kluby, szkolne kluby sportowe, SKS.
1640:  Nie ma powodu, dla którego to nie miałoby dominować w obszarze uczenia różnych zasad i reguł rozgrywek sportowych, natomiast WF
1651:  by był w zamian wypełniony ćwiczeniami gimnastycznymi.
1655:  Niech ludzie mają fitness, niech mają siłownię w ramach tego, co są w stanie zrobić, niech ćwiczą na bezpiecznych sprzętach i niech przede wszystkim pilnuje ich nie jeden gość, który będzie patrzył na dwie osoby, tylko kilka osób, żeby nie dochodziło do wypadków.
1671:  Tak, oczywiście, że jest to drogie, ale szczerze, w tym konkretnym przypadku uważam, że rozwiązanie jest jedno, albo w ogóle tego nie robimy,
1680:  Albo robimy to w idealny sposób, ponieważ to jest już bardzo duży problem w momencie, w którym nie tylko ryjemy psychikę ludziom, ale ryjemy także ich ciało.
1691:  Bo już bardziej się zniszczyć człowieka nie da niż psychofizycznie.
1695:  Jak dobrze wiemy, szkoła świetnie sobie radzi z niszczeniem psychicznym.
1698:  Szkoła też miejscami dobrze radzi sobie z niszczeniem fizycznym.
1701:  Wspomnę bullying, wspomnę tornistry, wspomnę różnego rodzaju nieergonomiczne stanowiska pracy.
1708:  Ale WF jest jedynym takim przedmiotem, który niszczy psychofizycznie większość ludzi.
1714:  Bo nie powiedzieliśmy sobie jeszcze o jednej kwestii.
1716:  Nie powiedzieliśmy sobie o bullyingu.
1718:  Bo oczywiście, że jest tak, że trener w skrajnych przypadkach, może WFista, zachowywać się nieodpowiedzialnie powinien zostać zwolniony i wywalony ze szkoły na zbity ryj.
1728:  Ale dobrze wiemy, że głównym problemem są rówieśnicy, którzy będą się nabijać, bo taka jest idea sportu.
1736:  Miałem ostatnio na streamach
1740:  Sytuacje, że się pojawili ludzie, którzy stwierdzili, że Krzysztof, ty musisz umieć lepiej grać!
1746:  Lepiej, lepiej, wyżej, mocniej, dalej i szybciej klikaj.
1749:  No tylko, że wiecie, ja jestem stary byk, mam 30 lat na karku, od 20 lat gram i mam w dupie tego rodzaju uwagi.
1756:  Co mnie martwi, to to, że ktoś może oglądać to i sobie pomyśleć, ja pierdziele, Krzysztof zajmuje się grami zawodowo, zna się na tym, gra od 20 lat, ja jestem przed wyborem swojej pierwszej gry i ja już na pewno nie wybiorę Dark Souls, albo ja już na pewno nie wybiorę Red Dead Redemption 2, skoro się okazuje, że on czegoś nie umie.
1776:  Dokładnie tak samo jest ze sportem.
1777:  I dokładnie tym samym problemem są tego rodzaju uwiagi rówieśnicze.
1781:  To znaczy możecie w którymś momencie natrafić na kogoś, kto jest słabszy psychicznie i skrzywdzić go na całe życie.
1788:  Skrzywdzić, bo przez to, że ktoś się zrazi do sportu, automatycznie pomyśli sobie przez to, jak WF wygląda...
1795:  że każdy wysiłek fizyczny jest zły.
1798:  I mój paradoks polegał na tym, że przed pójściem do szkoły jeździłem na rowerze, chodziłem z rodzicami po górach, miałem dużą złotą odznakę PTTK, chodziłem Tatry z jedną i w drugą stronę.
1811:  Po czym...
1812:  studia, po liceum i ląduje z nadwagą.
1816:  95 kilo, nienawiścią do sportu, niechęcią do pójścia na siłownię, motywowaną swoją drogą niechęcią wobec kultury maczystowskiej, że będę widział kolejnych gości, którzy się fleksują na maszynach, a ja bym po prostu chciał sam spokojnie zadbać o siebie, o swoje ciało, a nie patrzeć o, o, ten ma większego bicka, to ja też muszę, też będę teraz więcej pakować, więcej wezmę, o, ojej, ojej, ojej, kontuzja.
1842:  Ile razy się tak ludziom dzieje z tego powodu?
