Wykładowcy podszywają się pod studentów *sigh* | Dla każdego coś przykrego #6
🔗 https://www.youtube.com/watch?v=yOZUXHFQ3vI

1:  Oh yes, it's the time of the year.
171:  Jak włączyłbyś rzutnik?
172:  No to jest...
173:  Oczywiście na tym się konwersacja urywa, więc domyślamy się, że w tym momencie zostały otwarte samouczki.
182:  I podobnie dzieje się w szeregu innych konwersacji.
186:  Nie będę już ich tam przytaczał wszystkich, bo wydaje mi się, że wiecie o co chodzi i że wiecie, że coś się dzieje bardzo dziwnego w polskiej nauce i na polskich uniwersytetach.
200:  Natomiast absolutnym
203:  Szczytem jest pani doktor Bogna Zacny, która się przedstawia tak.
211:  Hello, jestem Zogna Bacny, Erasmus student from Africa.
216:  Będę pisać z wami egzamin z technologii informatycznych NOR Informatics, który w rasistowski sposób szydzi ze studenta z wymiany
229:  który usiłuje mówić po polsku, stara się mówić po polsku, nie olewa, nie?
233:  Tylko... I naukowiec, dydaktyk, wykładowca szydzi z takiego człowieka, podszywając się zarazem pod kogoś, żeby sprawdzać, czy studenci nie działają nieuczciwie.
248:  Znaczy, logika, która za tym się kryje, całkowicie mi umyka.
252:  Znaczy, jaki jest sens...
255:  piętnować jakieś zachowanie, które uważa się za nieetyczne, ale równocześnie samemu postępować skrajnie nieetycznie.
261:  To oznacza, że co najmniej barometr etyczny takiego człowieka musi być zwichrowany.
267:  I tych rzeczy jest dużo.
273:  I zastanawiam się nad jednym.
276:  To znaczy, dlaczego
281:  Kto odczuwa taką potrzebę?
283:  No odczuwa taką potrzebę tylko i wyłącznie jeden typ ludzi, to znaczy takich, którzy mają misję.
288:  I oni wiedzą, oni świetnie wiedzą, że oceny są najważniejsze.
297:  W związku z powyższym, jeżeli ktoś taką ocenę otrzyma niezgodnie ze stanem faktycznym, to wtedy są dwa scenariusze.
306:  Albo dostał niewłaściwą ocenę, albo, i ten scenariusz zawsze pozostaje,
312:  Oceny są niewłaściwe w pierwszej kolejności i w ogóle nie powinny być przyznawane.
319:  Naprawdę nie da się umiejętności człowieka wyrazić w skali 1 do 6.
323:  Jeżeli człowiek wierzy, że coś takiego jest możliwe, to nie jest pedagogiem ani nie jest dydaktykiem, tylko jest żałosnym mizantropem i życiowym przegrywem, który uznał, że trzylatka studium pedagogicznego kwalifikują go do tego, żeby oceniać ludzi.
338:  gdy tymczasem każdy prawdziwy dydaktyk wie, że jedynie rozmowa, długa rozmowa i ocena wyrażona również w formie komunikatu, podkreślającego słabe i mocne strony,
350:  kierującego na jakąś drogę, nakierowującego.
354:  Rozmowa z człowiekiem, który jest przewodnikiem, a nie z satrapą, z kańczugiem, który będzie smagać nas po grzbiecie i mówi zły student, zły student, jeden pała, doczekana.
364:  To jest żałosne.
365:  Tak zachowują się dzieci w piaskownicy, które uderzają się łopatkami po głowie, a później biegną z rykiem do przedszkolanki i mówią już jak mnie uderzył.
377:  No ale czym się różni ta sytuacja od tej, którą komentujemy?
381:  Ano tym, że komentujemy ludzi, którzy mają doktoraty, habilitacje, którzy są zatrudnieni na uczelni, na etatach nie dydaktycznych, tak jak pani przedszkolanka, która łoi juźwiaka za to, że juźwiak przyłoił komuś innemu, tylko są zatrudnieni na tzw.
396:  etacie naukowo-dydaktycznym, a to oznacza, że oprócz dydaktyki mają jeszcze do robienia naukę.
402:  I być może zastanawiacie się czasem, jak to jest, że polskie uczelnie, Uniwersytet Warszawski, Uniwersytet Jagielloński są w czwartej albo w piątej setce rankingów.
412:  Może dlatego, że mamy niskie nakłady na naukę.
414:  Istotnie, mamy najniższe w Europie.
416:  Może dlatego, że...
418:  Zajmujemy się częściej tym, żeby wyliczać różne algorytmy i wskaźniki dla publikacji, a nie oryginalnymi koncepcjami naukowymi.
426:  Może dlatego.
427:  Może też dlatego, że dużo zdolnych ludzi wyjeżdża poza granice Polski, żeby robić karierę na Uniwersytecie Stanforda albo na Oksfordzie.
434:  To są wszystko racjonalne powody, które pozwalają zrozumieć i wyjaśnić sytuację w polskiej edukacji wyższej.
441:  Ale jest jeszcze jeden.
442:  A mianowicie właśnie ten.
444:  że ludzie zamiast, żeby skupić się na badaniach naukowych, mi trężą czas na pierdoły i na bawienie się w odgrywanie roli kogoś, kto jest niepożądany na uniwersytecie z prawdziwego zdarzenia.
463:  Bo jego rolą, akademika, jest zapraszanie do rozmowy, tworzenie środowiska akademickiego.
469:  Ja wiem, że w przypadku kierunków technicznych wydaje się, że wszystko możemy zalgorytmizować i że możemy przyznawać oceny i że od 43,5% jest bardzo dobrze.
478:  Ja to wszystko rozumiem, ale nie możemy zapominać równocześnie, że nie wolno stracić z oczu człowieka.
487:  który w tych okolicznościach, które są, przypominam, mamy wciąż pandemię, ludzie nie są zaszczepieni, jest w wyjątkowy sposób narażony na stres i różne okoliczności psychofizyczne, które nie towarzyszą normalnej edukacji.
500:  I naprawdę nie da się zestawić ze sobą sytuacji, w której ktoś...
504:  Ściąga teraz w sieci i sytuacji, w której mówi, ej, ej, ej, daj odpisać podczas egzaminu.
510:  Ale i jedna i druga sytuacja, o czym zawsze będę powtarzał, wynika z bardzo podstawowego problemu.
516:  Ktoś w którymś momencie uznał, że korzystanie z notatek, korzystanie z pomocy dydaktycznych, korzystanie z internetu jest czymś złym w procesie rozwiązywania problemów.
527:  I otóż powiadam, jest XXI wiek, a nie XIX.
530:  Nie mamy możliwości ani tym bardziej chęci, potrzeby i czasu magazynowania w głowie wiedzy, która jest i tak datowana na jakieś lata 80. i 90., bo 90% profesorów w Polsce działa wedle takiego trybu, że czyta sobie podczas wykładu notateczki z zeszłego roku i zasłania się płachtą wielką i smętnym głosem przemawia, że już w 1770 roku
554:  Ja w takich chwilach polecam wszystkim studentom zrobić to, co ja kiedyś zrobiłem.
559:  Tylko, że ja byłem na tyle głupi, że się podpisałem.
562:  Miałem taki zwyczaj, że się podpisywałem pod ankietami anonimowymi.
565:  Tego nie polecam, chociaż mnie akurat to wyszło na dobre.
568:  I można napisać w tej ankiecie, okej, pan profesor od 20 lat to wykłada,
573:  I z karteczki, ze sieciku cały czas czytamy, bo nie umiemy wygłosić wykładu.
578:  Nie potrafimy skonstruować zdania podrzędnie złożonego, bo nasze siły umysłowe na to nie pozwalają.
585:  Gubimy się, synapsy się zwierają, bo trzeba przecinek postawić w myśl, taka to jest trudne.
589:  Więc nie, wybieramy czytanie z karteczki.
592:  Mimo, że 20 lat zajmujemy się danym zagadnieniem.
596:  A teraz student przychodzi na zajęcia w danym roku i ma 5 miesięcy, 6 miesięcy, no 7 na opanowanie takiego materiału.
609:  I co?
611:  On nie ma korzystać z karteczek, tak?
614:  A wykładowca, który zajmuje się tym 20 lat, musi korzystać z karteczek, bo najwyraźniej nie umie.
621:  Albo nie umie wykładać, albo nie umie tego, co wykłada i nie radzi sobie.
626:  Nie ma mocy przerobowych wystarczających do tego, żeby wygłosić wykład z pamięci albo wyprowadzić jakiś wzór i nauczyć procesu myślenia, nauczyć docierania do wiadomości, nauczyć korzystania ze źródeł, a nie memoryzowania.
641:  Nauczyć na pamięć potrafi się każdy, ale zrozumieć, jakie są relacje pomiędzy złożonymi problemami, to jest zadanie wykładowcy, który ma nauczyć tego studenta.
654:  A jak będzie się skupiał na tym, żeby studenci nie ściągali i będzie podszywać się pod studentów na grupkach facebookowych,
661:  to wiadomo nad czym się to wszystko skończy.
663:  To znaczy skończy się to tylko i wyłącznie tym, że student przybierze znaną i lubianą postawę zakuć, zdać, zapomnieć, ponieważ będzie szanować wykładowcę dokładnie tak samo, jak ten wykładowca szanuje jego.
677:  I cieszę się strasznie, że AGH, profil konkretnie AGH na fejsie i jego administrator mieli jaja, żeby skomentować tę sprawę następująco.
686:  Oto Stachu Ciszac, nie mylić, Staszic, nie?
691:  Pisze, siema współobywatele i towarzysze niedoli zwanej sesją, bardzo chciałbym doedukować się z tych trudnych przedmiotów na Wimirze.
697:  Czuję, że nie ogarniam tematu, jestem lata świetne od zdania egzaminu profesora Dina.
701:  Pozdrowienia.
702:  Brawa!
703:  Wreszcie ktoś zaczyna docierać do niego absurd sytuacji i wreszcie ktoś zaczyna na to reagować.
718:  Szkoda tylko, że całe środowisko akademickie nie potrafi się pod tym podpisać.
723:  I nie, nie, nie oczekuję tego, że ktoś powie, tak, tak, tak, masz rację, bo to wiem.
728:  Oczekuję tego, że coś się zmieni, że ktoś, kto posłucha tego, no oczywiście założenie, że ktokolwiek z profesorów w Polsce, a już tym bardziej z Akademii Leona Koźmińskiego dotrze w te rewiry sieci jest bardzo nikłe.
740:  Ale nie mniej, pozostaje mi mieć nadzieję, że przynajmniej wdroży część z tych uwag do swojego procesu dydaktycznego i skupi się może bardziej na tym, żeby nauczyć się własnego wykładu, a potem ewentualnie wymagać od studentów dokładnie tego samego.
755:  A jeśli nie, jeśli nie umie?
758:  Wyjść na katedrę i powiedzieć nie z pamięci, nie nauczonego, nie wkutego na pamięć, tylko entuzjastycznego, żywego wykładu, w którym będzie operować przykładami, nawiązywać do swych aktualnych badań, bez obawiania się o to, że student mnie splagiatuje, bo powiem coś, czego nie opublikowałem.
775:  Jeżeli będzie umiał to wszystko zrobić, zrobi to w sposób żywy i nie łamiącym się językiem.
782:  Wtedy i tylko wtedy, jak mawiają matematycy, może wymagać od studentów dokładnie tego samego.
788:  Ale jeżeli tego nie umiecie, to wara od studentów i wara od wypowiadania się na temat ściągania i wara od bawienia się w zimnowojenny espionarz.
800:  Bo macie dość dużo do nadrobienia.
802:  Na przykład awans o trzy setki w rankingach uniwersyteckich.
806:  Dla każdego coś przykrego.
809:  I do następnego.
