Dla każdego coś miłego | Dla każdego coś przykrego #26
🔗 https://www.youtube.com/watch?v=d2VuZ8kMwPI

1:  Myliłem się.
106:  Wreszcie, oczywiście w naszej rzeczywistości zdarza się bardzo dużo negatywnych rzeczy, ale to wcale nie oznacza, że należy tym epatować, ponieważ jest również bardzo dużo rzeczy pozytywnych.
119:  Prima fucking epirelis.
122:  Tylko, że wiecie, na czym polega problem?
124:  Każda z tych wypowiedzi, które teraz przytoczyłem, jest bardziej społecznie akceptowalna z uwagi na swą taką...
133:  niefrasobliwą pozytywność niż jakakolwiek uwaga negatywna, zwłaszcza taka, która będzie formułowana z poczuciem sprawczości, z poczuciem słuszności, z poczuciem walki o jakąś dobrą sprawę, a nie tylko krytykanstwa jałowego, który jest obliczony na zyskiwanie słupków popularności.
154:  Problem jednak polega na tym, że w naszej cywilizacji i kulturze, jeśli wypowiadamy się na jakiś temat pozytywnie, to od razu zgarniamy plus 100 do społecznych kredytów.
164:  Jeżeli natomiast wypowiadamy się na jakikolwiek temat negatywnie, o boi, dobrze, żebyśmy mieli na podorędziu jakiś argument.
173:  I...
175:  Nie tam jedno źródło naukowe, przynajmniej tysiąc.
179:  Jeżeli chcemy pokazać jakąś prawidłowość społeczną, nie możemy się odwołać do naszego doświadczenia, jeśli mówimy o jakimś zjawisku negatywnym.
187:  Nie.
188:  Przynajmniej badania na próbie 150 tysięcy obywateli, no i oby nie tylko z Polski, bo wiadomo, różne kultury, różne sytuacje.
200:  No i jeżeli chcemy np.
202:  jakąś książkę nazwać szmirą i my na to nawet jesteśmy krytykiem literackim, hold your horses, wstrzymaj swe rumaki, miej przygotowane na podorędziu przynajmniej 15 bombilionów argumentów.
219:  No chyba, że chcesz powiedzieć, że coś jest arcydziełem, wtedy nie musisz mieć żadnego.
225:  Tu jest mój problem.
226:  że mamy oczekiwania względem argumentacji, które są absolutnie niezrównoważone.
231:  Z jednej strony oczekujemy, że jeśli ktoś argumentuje negatywnie, będzie miał przynajmniej 3 czwarte argumentów w stosunku do tezy, a jeżeli ktoś argumentuje pozytywnie, zachwyca się czymś, myśli pozytywnie,
245:  to tam jeden argumencik wystarczy, no bo przecież dużo osób się z tym zgodzi.
250:  No i najlepsza sytuacja to taka, w której jesteśmy całkowicie neutralni, bo przecież wiadomo, że przez całe nasze życie należy właśnie iść neutralnie.
260:  Jeśli chcemy porozmawiać o jakimś filmie, serialu czy grze wideo, lepiej zróbmy to w następujący sposób.
267:  Są tacy ludzie, którym ten serial się spodoba, ale są też tacy ludzie, którym się on nie spodoba.
275:  Owacja na stojąco, brawa za odwagę cywilną, te niezwykłe wypowiedzi sprawiają, że chcemy uczestniczyć w kulturze i wypowiadać się więcej na temat seriali, czujemy, że mamy do czynienia z profesjonalistą, takim prawdziwym profesjonalistą, bo wiecie, prawdziwi profesjonaliści, ale tacy prawdziwi, no to oni są neutralni.
296:  To nie jest tak, że oni mają jakieś poglądy, no chyba, że te poglądy są pozytywne, wtedy można je mieć.
303:  Oczywiście nie byłbym sobą, gdybym nie powiedział, jak to bywa w serii dla każdego coś przykrego, że jest to w 100% wyniesione ze szkoły.
310:  Dlaczego?
311:  Dlatego, że szkoła operując transmisyjnym modelem przekazywania wiedzy i ustanawiając autorytety, siłą rzeczy będzie właśnie posiłkować się taką argumentacją.
320:  To musi być na liście lektur, bo to jest wybitne.
323:  Nie dlatego, że jest takie, takie, a takie.
325:  Nie, dlatego, że jest wybitne.
327:  Jest wybitne.
329:  Tego rodzaju argumentacja jest charakterystyczna dla osób, które sytuują się właśnie w pozycji autorytetu i chcą Wam przekazać jakąś
336:  prawdę objawioną i wy z tą prawdą objawioną możecie się co najwyżej entuzjastycznie zgodzić.
342:  Jeżeli będziecie mieć inne zdanie, oh boy, lepiej miejcie przygotowane argumenty.
348:  I tak się składa, że to nie jest znowu mój wymysł, tak jak to bywa w serii dla każdego coś przykrego, mimo że jest ona vlogiem.
354:  Staramy się wam pokazywać, że jest jednak zakorzeniona w badaniach naukowych.
358:  Mianowicie, przez jakiś czas bada się już zjawisko, które się nazywa false positivity albo forced positivity.
366:  Fałszywa pozytywność lub wymuszona pozytywność.
369:  I w artykule z tego roku swoją drogą na łamach Applied Corpus Linguistics pod tytułem YOU GOT THIS
376:  Czytałem bardzo ciekawą rzecz, mianowicie, że
385:  Istnieje taki syndrom, który się nazywa toxic or forced positivity discourse, który jest charakterystyczny dla osób mających wyolbrzymiony, a pozytywny obraz świata.
399:  Który to wyolbrzymiony, a pozytywny obraz świata, co istotne, starają się narzucać innym w obrębie swojej bańki.
408:  Ponieważ chcemy być w bańce społecznie akceptowalni, mamy też taką tendencję, mówią w rzeczonym artykule badacze, żeby...
417:  Właśnie, przychylać się do takiego pozytywnego argumentu, no przecież nie ma nic gorszego niż zostać wyłączonym z tego rodzaju banieczki, prawda?
425:  Bo jeżeli będziemy wyłączeni z tego rodzaju banieczki, to wtedy jest okazja do tego, żeby nas potraktować dokładnie tak samo, jak traktuje się każdego w sytuacji szkolnej, który ma inną interpretację, czyli na przykład mówi, nie, to nie jest arcydzieło, ja uważam, że to jest nudne.
441:  O, mniej lepiej argumenty przyszykowane.
444:  Oj, oj, oj.
446:  bo wykraczamy poza dogmat pozytywności.
450:  Trzeba myśleć pozytywnie o rzeczach, które oczywiście są ukazywane pozytywnie.
455:  Naturalnie z tym syndromem największy problem mają Amerykanie, bo kultura amerykańska jest taką kulturą sztucznej pozytywności, kulturą fałszywego uśmiechu, kulturą, w której ktokolwiek pracował z Amerykanami, ten wie, o czym mówię.
470:  Nie możemy się spodziewać tego, że dostaniemy szczerą odpowiedź twarzą w twarz.
475:  Prędzej, że dostaniemy ją na piśmie albo, że zostanie ona nam przekazana za plecami.
481:  I niestety coś podobnego zaczyna się dziać w Polsce również i mam wrażenie, że jest ono wspierane przez wysiłki inwestycji.
488:  influencerów i osób, nie wiem, dziennikarzy i osób mediów, no i oczywiście nauczycieli, którzy starają się nam pokazać, że w rzeczywistości no nie ma emocji negatywnych.
499:  Zwróćcie uwagę, że to, co zarzuca się bardzo często grom wideo, a o czym zacząłem ostatnio mówić i będę dalej mówił na łamach serii, to znaczy budzenie agresji jest no właśnie osadzone na tym przekonaniu, że jeżeli mamy emocje negatywne, to one są czymś złym, czego powinniśmy się wstydzić.
516:  I...
517:  W dyskursie naukowym badającym fałszywą i toksyczną pozytywność bardzo podkreśla się właśnie to, że emocje negatywne czy negatywne opinie są akceptowalne tylko o tyle, o ile ich autor zobowiąże się do tego, że je wyruguje, że będzie z tym walczyć, że nie będzie taki negatywny i krytykacki, tylko że nawróci się i będzie wreszcie mówić pozytywnie i neutralnie.
545:  Oczywiście można powiedzieć, że ja jestem w pewien sposób uprzedzony, ponieważ jak pewnie zdążyliście się zorientować, jestem raczej po stronie wprost formułowania negatywnych sądów, nawet jeżeli jest to obarczone ryzykiem wystawienia się na pręgierz ze strony większości, która ma inne zdanie.
568:  Natomiast problem polega na tym, że ta większość, która ma inne zdanie nie jest zła tak długo, jak długo nie chce tego zdania nam narzucić.
576:  Tak samo osoby, które mówią coś negatywnego, one zwykle nie chcą nam narzucić tego zdania, ponieważ z automatu sytuują się w pozycji osoby przegranej, chyba że mamy do czynienia z grupą czy z bańką, która myśli w sposób negatywny jako zbiorowość.
592:  No to wtedy jest inna sytuacja.
594:  Wtedy mamy do czynienia z innym rodzajem toksyczności, o którym bardzo często mówimy i z którym umiemy sobie radzić.
601:  Dobrze wiecie, że taką toksyczność zbywa się słowem, że to jest hejt.
605:  I dolary przeciwko orzechom, że zaraz będziemy słyszeć, że negatywne ocenianie krakowskich potworów na Netflixie to jest hejt, że negatywne ocenianie pierścieni władzy Amazonu to jest hejt i za każdym razem będziemy słyszeli, że coś jest hejtem, bo w ten sposób można to łatwo zrozumieć.
621:  zdeevaluować i łatwo się pozbyć takiego argumentu z horyzontu, no bo jeżeli coś jest hejtem, jeżeli coś jest wyrazem nienawiści, to powinniśmy to potępiać.
631:  A co jeżeli coś jest wyrazem fałszywego, bezkrytycznego podziwu?
637:  Co jeśli jest to wyrazem snobizmu?
639:  Co jeśli jest to takim praktykowaniem
643:  chwalby dla samej chwalby, że będę chwalić jakiś utwór, dlatego że wszyscy inni chwalą i że dlatego, że go dawniej również chwalono, to ja też będę robił to samo, że będę mówić, że z systemem edukacji jest wszystko w porządku, no bo generalnie jest wszystko w porządku, a poza tym, no co możemy zrobić, przecież nie zlikwidujemy.
659:  No łatwo jest w ten sposób mówić, bardzo łatwo jest przyjąć stanowisko takiego uczonego, zadumanego reformatora, że no tak, oczywiście, że są problemy.
671:  Debatujmy, zastanówmy się jak je zmienić, zastanówmy się jak sobie z tym poradzić i będziemy się tak zastanawiać i zastanawiać i zastanawiać najbliższe trzydzieści lat.
688:  których kolejne osoby wyjdą ze szkoły straumatyzowane, kolejni studenci nie będą dostawać na studiach tego, po co się na studia zapisali, kolejne osoby będą ulegały wypadkom na lekcjach w WF-u, kolejne pokolenia nauczycieli będą dostawać coraz to mniejsze pieniądze, ponieważ są inne priorytety budżetowe, kolejne to szkoły będą zamykane w którymś momencie, ponieważ ludzie zaczną mieć dość, ale będziemy równolegle debatować.
717:  Bo przecież nigdy nie było takiej sytuacji w historii naszej kultury, żeby ktoś w zrywie rewolucyjnym coś zmienił.
724:  Absolutnie.
725:  Historia zmieniała się wyłącznie na drodze kilkudziesięcioletnich debat.
730:  Nigdy nie było tak, że do tej debaty prowadziła np.
733:  wojna albo powstanie albo rewolucja.
737:  Nigdy tak nie było.
739:  To jest zabawne, że mówi się w nauce o rewolucji w odniesieniu do zmiany paradygmatu myślenia, a zapominamy o takiej zmianie paradygmatu gwałtownej, rewolucyjnej w kwestiach społecznych, w dyskusjach politycznych, w debacie wreszcie na temat tego, jak funkcjonuje nasza kultura i nasza edukacja, czyli rzeczy, które mnie szczególnie są dość bliskie z uwagi na to, że się tym zajmuję zawodowo.
761:  I zastanawia mnie, dlaczego jest w nas taki opór przed ostrym osądem.
767:  Przecież to jest tylko osąd, to jest czyjaś osobista opinia.
770:  To nie jest tak, że ona jest komukolwiek narzucana.
773:  To jest coś, wobec czego możemy zająć stanowisko.
776:  Jak najbardziej krytyczne.
778:  Ale równocześnie to stanowisko nie powinno być krytyczne a priori, czyli od razu, zanim wsłuchamy się w argumenty.
785:  Nie powinniśmy mówić, o, on krzyczy i się denerwuje, to w ogóle nie będziemy dyskutować na temat tych gier wideo, skoro one wywołują taką agresję i takie dziwne reakcje.
799:  Albo on argumentuje w taki emocjonalny sposób i nieracjonalny, to w ogóle nie będziemy się wsłuchiwać w te argumenty, bo przecież to na pewno jest taki akt, to jest tak na pokaz, to nie jest tak, że ten człowiek tak ma na co dzień, na pewno tak nie jest.
816:  Równocześnie jeżeli ktoś powie, że...
819:  spektakl operowy jest arcydziełem, albo że muzyka poważna jest w oczywistym stopniu przejawem sztuki wysokiej, bo jest poważna, albo klasyczna, w odróżnieniu od klasycznego rocka, który już nie będzie muzyką poważną, bo jest klasyczny, ale niepoważny.
835:  I wszyscy będą wtedy mówić, no pewnie, przecież muzyka klasyczna, filharmonia, koncert rockowy, Woodstock, gdzie wysoka, gdzie niska?
843:  Gdzie wysoka, gdzie niska?
848:  i strasznie drażni tego rodzaju podejście każdą osobę, która stara się myśleć krytycznie.
857:  Interpretacja u Immanuela Kanta była utożsamiana z krytyką, dlatego macie tytuł krytyka władzy sądzenia na przykład.
865:  Dlatego, że to jest interpretacja, że to jest namysł krytyczny nad rzeczywistością, a nas nauczono, że interpretacja to jest chwalenie,
875:  spiżowych pomników i mówienie, że Mickiewicz jest wybitny, bo jest wybitny.
883:  Goddammit, do tego stopnia nie rozumiemy, czym jest krytyka i interpretacja, że Ferdydurkę, która śmieje się z tego rodzaju krytyki i interpretacji, mówiąc, a, a, a, Słowacki wielkim poetą był, jest na liście lektur, jest wysławiona jako wielka lektura, a Gombrowicz się przewraca w grobie z taką prędkością, że mógłby zaślić turbinę.
902:  I pół miasta tą turbiną
905:  To jest absurdalne, że w takim stopniu jesteśmy zafiksowani na myśleniu pozytywnym, na apropriacji, na ciągłym udowadnianiu wszystkim, że jeżeli znamy coś dobrego, jeżeli podoba się to nam, to na pewno jest to wybitne i oni też to muszą przeczytać, też to muszą zagrać, też to muszą docenić, że zapominamy, że dzięki krytyce mamy lepszą sztukę,
932:  lepszą edukację, znaczy to nie w Polsce, ale może kiedyś będziemy mieć lepszą edukację, lepsze społeczeństwo, lepszą politykę, to też nie w Polsce.
940:  Złe przykłady dobieram coś dzisiaj, więc na pewno nie mam racji, prawda?
944:  Bo tylko przykłady, które są starannie dobrane i są na karteczce i są odczytane, są dobre.
950:  Argumentacja, która jest żywa, która jest emocjonalna, która przekazuje coś ponad suche dane, jest apostolatycznie do zdezawuowania.
959:  No i nie zapominajmy oczywiście o najważniejszej kwestii,
962:  To znaczy o tym kulcie autorytetu.
964:  Tylko nie zastanawialiście się czasem, jak to jest, że z jednej strony mamy w Polsce kult autorytetu, że nauczyciel ma zawsze rację, że podręcznik ma zawsze rację, że podstawa programowa jest bezsprzecznie słuszna, a jednocześnie mamy tych...
987:  stereotypowych wujków i ciociek locie na Facebooku, którzy cytują jakiś tekst w internecie bez żadnego źródła.
996:  Mamy tych dziennikarzy, którzy nie podają źródeł w artykułach popularnonaukowych i mamy tych ludzi, którzy polemizują z naukowcami, polemizują z tezami naukowymi o od szczepień poczynając, a na kulistości ziemi kończąc, tylko za pośrednictwem swojego
1015:  Chłopskiego rozumu albo zdrowego rozsądku, który od chłopskiego rozumu różni tylko umowa społeczna.
1021:  To nas nie dziwi, ten kontrast dziwny.
1023:  Kult autorytetu versus...
1027:  Negowanie autorytetów.
1028:  I to negowanie autorytetów naukowych, ludzi, którzy spędzili 20, 30, 40 lat nad dyskutowaniem, polemizowaniem, pisaniem artykułów naukowych, zgłaszaniem grantów, zdobywaniem finansowania na te granty, które jest recenzowane przez innych naukowców, na uczestniczeniu w społeczności, która...
1047:  Surprise, surprise, nie robi nic innego tylko recenzuje ich tezy.
1052:  Nie da się być naukowcem i mówić bzdur przez całe życie, ponieważ prędzej czy później ktoś złapie nas za rękę i powie, ten człowiek mówi bzdury, na tym polega społeczność akademicka i ten...
1064:  Zawór bezpieczeństwa, który jest w niej zamontowany na stałe, że bardzo ciężko jest przejść przez wszystkie etapy promocji, doktorskich, habilitacyjnych i zostać kretynem.
1074:  Dalej.
1075:  Ciężkie to jest.
1076:  Więc jest niższa szansa na to, że jeżeli polemizujecie z kimś, kto jest naukowcem, jest docenionym naukowcem, a nie pseudonaukowcem jak dr Zięba,
1085:  Albo doktorem takim, który uważa, że musisz sobie to wpisać na LinkedInie przed imieniem i nazwiskiem, bo inaczej to trochę słabo będzie, będzie za krótkie to imię i nazwisko.
1095:  Nie, mówimy o naukowcach, którzy są naukowcami z przekonania, takimi, że nie muszą wam wycierać gęby tym, jaki mają tytuł naukowy, bo...
1104:  swoją walidację już w swoim życiu odebrali od wybitniejszych prawdopodobnie ludzi i naprawdę tego nie potrzebują i będą się charakteryzować raczej skromnością i otwartością na idei, także polemikę.
1117:  To dlaczego tacy ludzie spotykają się z negacją?
1120:  Dlaczego w Polsce, to się często zdarza zresztą, wyśmiewa się naukowców, że haha, tam doktorek czy profesorek, co on tam wie?
1127:  No z bardzo prostego powodu, to znaczy z tego, że ten kult autorytetu, ten kult pozytywności, tej toksycznej pozytywności, który zaczyna się w szkole, jak niestety większość rzeczy, które są plagą w naszej cywilizacji, w naszym społeczeństwie, w którymś momencie wywołuje w nas wstręt.
1144:  Jeżeli nie zgadzamy się z jakąś ideą, jeżeli widzimy, że ktoś jest na przykład, no nie wiem, kiepskim autorytetem w jakiejś kwestii, a cały czas pozuje na ten autorytet, to w którymś momencie zareagujemy z niechęceniem.
1156:  I moja teza jest taka, że niestety przez kształt edukacji w Polsce bardzo dużo ludzi odchodzi na przykład z doktoratu, ze studiów do biznesu, mimo że to są bardzo zdolne jednostki i niesamowicie dużo wniosłyby do nauki, ponieważ ma po prostu dość i żywi wstręt wobec naukowców, żywi wstręt wobec nauczycieli, żywi wstręt wobec edukacji właśnie z tego względu, że roztoczyła ona taki nimb
1187:  Toksycznej pozytywności wokół autorytetu, wokół kanonu, wokół podstawy programowej i wokół całej reszty tych wszystkich fetyszy, które są w edukacji, które są nienaruszalne.
1203:  Tak jak dogmaty religijne są nienaruszalne, tak samo pewne rzeczy w naszej cywilizacji są nienaruszalne.
1210:  Dlaczego nie mamy debaty na temat systemu oceniania?
1213:  Dlatego, że ono jest ucięte w zarodku.
1216:  Jeżeli system oceniania jest stworzony po to, żeby uzasadnić istnienie egzaminów, to bez likwidacji egzaminów nie zlikwidujemy ocen.
1224:  To jest proste.
1226:  Ale w momencie, w którym nie mamy debaty na ten temat i w momencie, w którym debata ucina się na poziomie, ale w zasadzie po co nam oceny, to nie będziemy kontynuować tej debaty na poziomie, ale po co nam egzaminy.
1237:  Bo już naruszyliśmy jeden dogmat i drugiego nie możemy naruszyć.
1240:  Bo wtedy zostaniemy wyklęci poza margines.
1243:  Dlaczego myślicie, że pedagogika alternatywna rozwija się głównie w szkolnictwie prywatnym?
1249:  Bo nie, nie jest tak, że rzeczy, o których ja mówię, nie są obecne w szkolnictwie.
1253:  Są obecne w szkolnictwie prywatnym.
1256:  I ja walczę o to, żeby one były obecne w szkolnictwie publicznym, państwowym.
1260:  Dlaczego pracuję na uczelni, która jest państwowa, a nie na uczelni, która jest prywatna?
1263:  Mmm, ciekawe dlaczego.
1266:  Dlatego, że właśnie wierzę w to, że to jest jedna jedyna dobra rzecz, jaka jest w naszej cywilizacji jeszcze i to nie w całej cywilizacji zachodniej, bo pamiętajmy o systemie anglosaskim, to znaczy bezpłatna, a ścisiem jest darmowa, bo jednak jest opłacana z podatków, edukacja i otwarta nauka.
1282:  Gdybym w to nie wierzył, dawno bym nie pracował w tym zawodzie.
1285:  Ale ponieważ w to wierzę, chcę, żeby zmieniało się i reformowało szkolnictwo publiczne,
1291:  i żeby zmieniała się również i reformowała równie mi bliska i równie dla mnie istotna polska kultura, ponieważ widzę z roku na rok, że ludzie po prostu się zniechęcają i zaczynają pałać nienawiścią albo niechęcią do jednego i do drugiego, a ja tego nie chcę.
1306:  Nie chcę, żeby w Polsce nauczyciele byli znienawidzeni przez uczniów, a są na dobrej drodze do tego, biorąc pod uwagę rzeczy, o których czytam w komentarzach pod tymi filmami.
1316:  Bo ja nie wymyślam sobie tego wszystkiego.
1319:  Zresztą nieprzypadkowo seria dla każdego coś przykrego rozpoczęła się akurat od vloga na temat kultury polskiej, a nie na temat edukacji.
1325:  To dopiero jak zacząłem wczytywać się w komentarze i zobaczyłem, jak bardzo jest źle, zrozumiałem, że to nie jest tylko moje doświadczenie i doświadczenie moich kolegów, osobliwie tych najzdolniejszych, co ciekawe zazwyczaj, że edukacja ich udupiała.
1338:  Nie, to nie jest doświadczenie paru osób, tylko doświadczenie, które zaczyna być doświadczeniem generacyjnym.
1344:  I zawsze będę powtarzał, wszystko w porządku, jeżeli ktoś miał pozytywne doświadczenia.
1349:  Ale pamiętajcie o tym, że ta wasza pozytywność nie może zmienić się w toksyczną pozytywność.
1355:  To, że wam jest dobrze, nie znaczy, że innym jest dobrze.
1358:  Syty głodnego nie zrozumie.
1360:  Tak samo jak zdrowy psychicznie nie rozumie człowieka z depresją.
1363:  Tak samo jak człowiek, który nie zmaga się z zaburzeniami odżywiania, nie zrozumie człowieka otyłego.
1371:  momencie, w którym będziemy mieli kult toksycznej pozytywności, narzucania pewnych wzorców, narzucania norm, nigdy nie będziemy mieć rzeczowej dyskusji.
1379:  Nigdy nie będziemy mieć dyskusji, która jest emocjonalna, która faktycznie transmituje coś, co jest ważnego w naszej kulturze.
1386:  Więc tak, w internecie najłatwiej jest, moi drodzy, najłatwiej
1391:  Mówić o rzeczach pozytywnych, to się sprzedaje, to lubią reklamodawcy i zresztą są na ten temat liczne badania.
1399:  Na przykład ten tekst, Positive Vibes Only, który też Wam podlinkuję w opisie, żebyście mogli skonfrontować to, co mówię, z tym, o czym mówią badania naukowe.
1407:  To jest akurat tekst popularnonaukowy.
1411:  positive vibes only, czyli pozytywne emocje też się będą sprzedawać.
1415:  Będą się sprzedawać lepiej niż emocje negatywne, bre pozorom.
1419:  No oczywiście, że będziemy mieli gatunek, który sam uprawiam na YouTubie, to znaczy gatunek rantu.
1423:  Oczywiście, że będziemy mieli także wszelakiego rodzaju patostreamy, których akurat ja, w odróżnieniu od niektórych streamerów, nie uprawiam na YouTubie.
1431:  Ale nie zmienia to faktu, że to są rzeczy, których...
1436:  nie będzie akceptować społeczeństwo w pełni.
1438:  To nie jest coś, pod czym podpisze się każdy reklamodawca.
1441:  To nie jest coś, co będzie się sprzedawać także w tym nieekonomicznym sensie, tylko w sensie symbolicznym.
1448:  Nie będzie się sprzedawać dlatego, że budzi kontrowersje.
1452:  A jeżeli coś budzi kontrowersje, to znaczy, że jest shady.
1457:  Niechybnie, jeżeli ktoś się z czymś nie zgadza, to jest coś w tym nie tak.
1461:  I wiecie co?
1462:  Całe życie słyszałem,
1464:  jak chodziłem do szkoły.
1465:  Krzysztof, bo ty jesteś taki negatywny cały czas, że ty się dojrzejesz, to nie będziesz.
1475:  Obawiam się, że ta przepowiednia się nie sprawdziła.
1479:  Ale jeszcze drugą rzecz słyszałem, wiecie?
1481:  To znaczy słyszałem, że w którymś momencie zrozumiem, że nie mam racji.
1486:  W którymś momencie zrozumiem, że świat jest bardziej złożony.
1489:  W którymś momencie zrozumiem, że potrzebujemy kanonów, potrzebujemy wartości, potrzebujemy norm.
1497:  No nie, jedyne co zrozumiałem to to, że jest to niejednoznaczne, że jest to złożone, że jest różnorodne, że potrzebujemy nie tylko...
1506:  białych dżedaj, ale potrzebujemy też szarych dżedaj.
1509:  Nie ma czegoś takiego, że są z jednej strony sitowia, a z drugiej strony dżedaje.
1513:  Jest też szarość pomiędzy.
1514:  I prawda jest taka, że to spektrum szarości jest najczęściej najciekawsze.
1518:  I potrzebujemy elementu negatywnego oraz elementu pozytywnego, tylko że problem polega na tym, że w tym momencie w kulturze, nie wiem, czy to mi się uda na nagraniu pokazać, ale tyle mamy elementu pozytywnego, a ten element negatywny jest gdzieś tyle, tak?
1532:  Na tej skali.
1533:  Jest tego mało wbrew pozorom, a
1536:  To, że to zauważamy, jest tego najlepszym dowodem, bo nie zauważamy, jak wiele jest tej pozytywności, toksycznej pozytywności w naszej kulturze, ale z łatwością zauważymy właśnie patostreamera.
1552:  I co więcej, on tym więcej otrzyma wyświetleń, tym więcej uwagi przez ten jeden moment, kiedy będzie na fali, bo właśnie będzie wyróżniać się tym.
1564:  Gdyby w naszej kulturze
1566:  była równowaga tych dwóch pierwiastków.
1569:  Nie wybijałoby się to, co jest negatywne.
1571:  Nie wybijałoby się to, co jest naganne.
1574:  Nie wybijałoby się wreszcie to wszystko, z czym się nie zgadzamy.
1579:  Gdyby na przykład na temat edukacji
1582:  wypowiadano się w zróżnicowany sposób, to znaczy mówiono zarówno o kwestiach, które są patologiczne, jak i o tych, które są dobre.
1592:  I robiono to całymi latami, to nie byłoby nagle takiego zrywu, nie byłoby tylu publikacji na ten temat, które ukazują się przypadkiem, przypadkiem od czasu, kiedy pandemia obnażyła patologię szkolnej edukacji.
1605:  Nie byłoby tego wszystkiego i nie byłoby to tak zauważalne.
1609:  Mikołaj Marcela, autor książek, które często cytuję, nie byłby prawdopodobnie zapraszany do Dzień Dobry TVN jako ewenement.
1616:  Boże drogi, doktor mówi na temat tego, że należy szkołę zreformować i to radykalnie.
1621:  Jak to się godzi, żeby pracownik uniwersytetu mówił takie rzeczy?
1624:  Tak było na początku, a potem się okazało, że ten pracownik uniwersytetu, jak i paru innych, cytują po prostu babania naukowe, które są prowadzone na zachodzie to jakieś 20 lat z okładem.
1634:  tylko że nagle zaczęło być forum do tego, żebyśmy mogli na ten temat mówić.
1639:  Bo wcześniej nie było tego forum, ponieważ ludzie sobie nie zdawali sprawy z tego, jaka jest skala, ponieważ były te wszystkie negatywne przejawy tłumione, ponieważ jeżeli dziecko przychodziło z jakimiś negatywnymi uwagami na temat szkoły do rodzica, to rodzic oczywiście, nie no, to jest jakiś margines, to się raz zdarzyło, to nie no, ale spojrzcie, nauczyciele też ludzie, tak?
1658:  Tak samo jak była dyskusja nad pedofili w kościele.
1662:  Ksiądz też człowiek.
1663:  Zawsze może się w każdym tym społeczeństwie, w każdej grupie społecznej może się zdarzyć ewenement, może się zdarzyć taki przypadek.
1670:  Po czym przyszli sekielscy i nakręcili reportaż, który Tosik w tym rozumowaniu zmienił.
1676:  I znowu, gdyby nie dyskurs fałszywej pozytywności, wszystko jest w porządku, przysypujemy, zasypujemy pod dywan, tak?
1685:  Nie ma tematu.
1686:  Nie byłoby tego tematu tak nasilającego się.
1690:  I tutaj ma rację swoją drogą Tomasz Terlikowski, mówiąc, Tomasz Terlikowski, prawicowy dziennikarz, mówiąc o tym, że dużą winą właśnie po stronie Kościoła jest to, że ten temat nie został rozwiązany w porę, bo teraz się to odbija rykoszetem.
1706:  I na szkolnej edukacji też to się zaczyna odbijać rykoszetem i będzie się odbijać coraz bardziej rykoszetem.
1714:  A jak jeszcze bardziej przegniemy z dyskursem fałszywej, toksycznej pozytywności, to zacznie się to odbijać na naszych codziennych rozmowach i kontaktach społecznych międzyludzkich, tak jak odbija się to od lat na kontaktach międzyludzkich w Ameryce.
1730:  W końcu doprowadzimy do tego, że będziemy w rodzinie unikać negatywnych tematów, będziemy się bali poruszyć negatywnego tematu, będziemy bali się formułować negatywnych opinii, stanowczych opinii, bo będziemy się obawiać również tego, że będziemy podlegać stygmatyzacji.
1748:  Nikt nie lubi być stygmatyzowany.
1751:  tendencję do tego, żeby ignorować opinię większości, co jest zdrowym podejściem do życia, ale zdaję sobie sprawę z tego, że nie każdy może to umieć wykształcić.
1762:  Krótko mówiąc, pamiętajcie, że negatywność
