Czy OCENY W SZKOLE mają sens? | Dla każdego coś przykrego #24
🔗 https://www.youtube.com/watch?v=UceFWxyYi6E

0:  Oceny.
264:  W związku z powyższym Amerykanie wpadli na jedyny słuszny pomysł, mianowicie jak już wybudowany został College w Yale, to polewano kwasem mury zewnętrzne, żeby wyglądały na takie stare i właśnie zmurszałe i żeby był prestiż taki, żeby można było...
279:  egzekwować oczywiście wysokie czesne, bo jak wiadomo w Stanach Zjednoczonych edukacja uniwersytecka i jej prestiż zostały w 100% powiązane z pieniędzmi, które ułożymy na edukację, co oczywiście jest, jak wiemy, doskonale zbawieniem dla poziomu nauczania wedle wielu środowisk, które postulują tego rodzaju tragiczne zmiany w Polsce.
298:  Nie postuluje tego żaden student, który kończył kiedykolwiek jakikolwiek uniwersytet w Stanach Zjednoczonych, bo zwykle kończy się go z kredytem studenckim, wysokim mniej więcej tak samo jak kredyty hipoteczne na mieszkania w Polsce.
310:  I na tymżeż uniwersytecie w Yale wprowadzono następujący system.
313:  On jeszcze nie jest metryczny i numeryczny, ale
318:  bear with me niedźwiedź, ze mną tradycyjnie, będzie on skrywał już pewne charakterystyczne cechy tego rodzaju abstrakcyjnych systemów numerycznych i wartościujących.
330:  Optimi to byli studenci najlepsi, potem byli second optimi, wiecie, Amerykanie mają pewien problem z łaciną, więc oddaj by i ptak, second optimi,
339:  To są ci ta z pomniejszego autoramentu, powiedzmy.
342:  Nie tacy dobrzy znowu.
344:  Nie celujący, ale bardzo dobrzy, tak?
347:  Potem mamy inferiores, czyli już gorszych od tych lepszych.
352:  No i wreszcie na samym końcu mamy pejores.
354:  Pejores to pejoratywny, zły, taki beznadziejny student, któremu się nic nie chce.
362:  I to się dzieje, powiedzmy, końcówka XIX wieku, początek, czy końcówka XIX wieku i aż do XX wieku to się wszystko rozwija, ale po drodze, po drodze,
376:  Mamy jeszcze drugi poziom, to znaczy w 877 roku na Uniwersytecie Harvarda, następny uniwersytet z czołówki swoją drogą.
384:  Mamy nie dość, że te stadia, bo grades po angielsku to są też poziomy pewne, które osiągamy, więc to się zgadza.
391:  I jest tutaj tych poziomów 6.
393:  Jak widzicie zapewne, tutaj się pojawiają takie przedziały już liczbowe 90-100, 89-75, 74-60.
404:  No i na końcu oczywiście ten najgorszy poniżej 40.
407:  I te systemy zaczynają się rozwijać, mutować, a w którymś momencie dochodzimy do etapów i 1897, tak jak zapowiedziałem, końcóweczka sama XIX wieku, kiedy się pojawia ten znany m.in.
420:  z egzaminów FC, CA i CPE,
424:  jak podział na F, B, C, D, ten specyficzny literowy podział ocen, który jest stosowany w Ameryce, który my znamy właśnie z tych obrzydliwych egzaminów, ale on jest sparowany tutaj właśnie z przedziałami liczbowymi, żebyśmy byli w stanie jeszcze precyzyjniej ludzi skategoryzować.
446:  No i w szkole oczywiście mamy polskich system od oceny 1 do 6, czyli niedostateczny, dopuszczający, dostateczny, dobry, bardzo dobry i celujący.
456:  Natomiast na studiach jest od 2.0 do 5.0.
460:  Zwykle się nie przypisuje tym wartościom już nazw, ale powiedzmy, że można powiedzieć, że od jakiegoś niedostatecznego, to jest w tym przypadku 2.0, do bardzo dobrego, którym jest 5.0.
472:  No i na uczelniach oczywiście pojawia się dokładnie to samo, co w koledżach amerykańskich, mianowicie tymże oceną od 2.0 do 5.0 przypisywane są przedziały liczbowe.
483:  No i oczywiście dobrze wiemy, że matura, czyli najsprawiedliwszy egzamin, jaki istnieje, również precyzuje, że nam ukończenie szkoły to jest...
493:  czterdzieści pięć, siedemdziesiąt cztery, mam to na świadectwie.
496:  Ja pokazuję wszystkim, zobaczcie, jak ja umiem historię.
500:  Umiem ją na siedemdziesiąt cztery procent.
502:  Wow, całą historię siedemdziesiąt cztery procent?
505:  A nie tylko wycinek historii siedemdziesiąt cztery procent?
508:  Co to w ogóle znaczy?
509:  A ja wtedy odpowiadam, nie no, no nic to nie znaczy.
514:  No mam ocenę, nie?
515:  To nie wystarczy?
518:  No właśnie.
519:  Zastanówmy się, czy to wystarcza, czy nie wystarcza.
522:  Wyobraźmy sobie następującą sytuację.
524:  Remontujecie mieszkanie i zlecacie komuś pomalowanie tego mieszkania na wybrany przez Was kolor.
531:  I...
532:  Wszystko zostało dopięte na ostatni guzik, wybrany kolor z katalogu, mieszkanie zostało pomalowane, wchodzicie do mieszkania i widzicie, że tutaj coś nie do końca zaszpachlowane.
542:  Ten odcień czerwonego nie do końca jest czerwony, powinien być bardziej karminowy, nie pasuje Wam.
549:  No i równocześnie widzicie, że tam przy podłodze coś zostało jeszcze zamalowane brzydko, gdzieś gładź jeszcze nie jest dostatecznie gładka.
558:  Generalnie są problemy.
560:  No i podchodzicie do realizatora zlecenia i on was pyta, dobrze, to jak finalizujemy zlecenie, rozliczamy się i wy na to mówicie, nie, nie, jeszcze nie będę płacić, 74,3%.
577:  Ale co, jak, gdzie, czy coś źle zrobiłem?
581:  Nie no, nie pasuje, to dobrze, to ja, inaczej, plus dostatecznie.
587:  Gość dalej, no dobrze, ale może, nie wiem, tutaj mam coś domalować, albo tu jest coś nie tak.
591:  Nie no, no nie wystarcza to, panu!
594:  Nie dość, że mówię, że plus dostatecznie, to jeszcze jest podana wartość liczbowa.
599:  Jakby ten kolor został pociągnięty na ścianie lepiej, no to może byśmy dobili do przedziału 80-90.
606:  No to wtedy może byłoby minus dobrze.
609:  Ale tak, to jest dobrze.
610:  Pytcie mnie.
612:  Czy ten człowiek się nauczy lepiej wykonywać swoją pracę w ten sposób, że dostał 74,3, a nie 80, a jeżeli by dostał 99 na przykład, mimo że odwalił fuszerkę, to co, lepiej by zrealizował kolejne zlecenie?
629:  W jaki sposób mamy się dowiedzieć, co te przedziały liczbowe komunikują?
634:  Jesteśmy zauroczeni jakimś chorym snem o obiektywności, który, przypominam, zaczął się pod koniec XIX wieku, w drugiej połowie konkretnie.
644:  To nie jest tak, że oceny się pojawiły już w XIII stuleciu, w na... w...
652:  I królowie zlecali nauczycielom, żeby dawali oceny dostateczne ich uczniom i uczniowie dzięki temu wiedzieli, że jeżeli się bardziej postarają, to będą mieli ocenę dobrą i to się nazywało Optimus Prime jeszcze lepiej.
669:  Nie, nie było tego nigdy.
671:  To się pojawiło nagle w XIX wieku w Niemczech przede wszystkim, w tak zwanym pruskim systemie szkolnictwa, ale także w koledżach w Ameryce w mniej więcej tym samym czasie, zresztą w bezpośredniej inspiracji tymi rozwiązaniami.
685:  I pojawiło się to wyłącznie dlatego, że ktoś w którymś momencie wpadł na pomysł, że edukacja to jest coś kwantyfikowalnego, czyli coś, co jesteśmy w stanie zmierzyć.
695:  Tak jak w Akademii Antypatii Lemaniego Sniketa z serii Niefortunnych Zdarzeń są lekcje Pani Bas.
702:  I Pani Bas ma jedną misję.
705:  to znaczy nauczyć mierzenia, więc przynosi gruszkę i mówi, mierzymy.
710:  I uczniowie mierzą we wszystkie strony gruszkę i potem, dobrze, to teraz nowa rzecz, teraz butelkę mierzymy.
716:  I uczniowie mierzą butelkę we wszystkie strony, a potem, no to teraz krzesło mierzymy i mierzą krzesło i mierzą, mierzą, wszystkie wymiary oczywiście ślicznie zapisują w tabelce, równym pismem, po kolei w rządkach.
730:  No i na sam koniec jest test w Akademii Antypatii.
735:  Podczas testu należy podać wartości liczbowe i numeryczne, których się nauczyliśmy podczas lekcji, żebyśmy wiedzieli, jakie wymiary miała gruszka, żebyśmy wiedzieli, jakie wymiary miało krzesełko, żebyśmy wiedzieli, jakie wymiary miała buteleczka i też piórniczek, i tablica, i ołóweczek, i wszystko na pamięć.
755:  To jest taka rzetelna, mierzalna wiedza.
760:  Tylko, że ta satyra, którą pisał Lemony Snicket w serii Niefortunnych Zdarzeń, to jest rzeczywistość szkolna, ponieważ przydatność wiedzy, która jest przyswajana w szkołach, jest mniej więcej taka sama, jak przydatność numerycznych wskazań dla różnych obiektów na lekcjach Pani Bas.
780:  To znaczy żadna, w ogóle się to do niczego nikomu w życiu nie przyda.
784:  Już pomijam fakt, że gruszki, piórniki i inne rzeczy mogą mieć naprawdę różne wymiany.
789:  Gdybyśmy wpruli na pamięć raz, to nic nie zmienia w naszym życiu.
794:  No ale dostajemy ocenę.
796:  No i jak wiadomo, szkoła jest po to, żebyśmy mieli jak najlepsze oceny, prawda?
800:  No bo jeżeli będziemy mieli jak najlepsze oceny, to wtedy dostaniemy się na najlepsze studia, po najlepszych studiach do najlepszej pracy.
806:  Tak naprawdę to nie, bo nie ma to żadnego związku z tym, jak będzie się rozwijać nasza kariera.
812:  Ocena teoretycznie i w zamierzeniu miała być obiektywnym wskaźnikiem tego, jaki mamy postęp i czy ten postęp jest mierzalny, czy nie do końca.
821:  Problem polega na tym, że zaczęto oceniać w którymś momencie maniakalnie wszystko.
827:  W komentarzach pod odcinkiem o WF-ie bardzo dużo z Was pisało, że są tabeleczki dotyczące tam, kto dalej susa zrobi.
834:  O, i tu jest bardzo dobrze, bo dalej sus jest zrobiony.
838:  To jest jakiś absolutny i krańcowy absurd.
841:  To samo, jeżeli chodzi o oceny z zachowania, które są najczęściej w skali punktowej i zbiera się, ciuła się punkciki, zrobimy laureczkę, to będzie więcej punkcików do zachowania.
851:  Jak ja z kolei się rekrutowałem, pamiętam, do gimnazjum bodajże, to w ramach różnej puli szkół, które były dostępne, były też o zgrozo szkoły wyznaniowe, to znaczy katolickie i w nich było punktowane, jeżeli w rodzinie był jakiś ministra, to tam
870:  Kurda, czy ktoś tam umiał tę matematykę i język polski wcześniej?
873:  Ale ministrant w rodzinie...
879:  To będą punkciki dodatkowe.
881:  No i tego jest za dużo.
885:  Jeżeli jeszcze dołączymy do tego oceny z przedmiotów, które są, jeśli już wspomnieliśmy o szkołach wyznaniowych i katolickich i należących do różnych denominacji religijnych, no czysto uznaniowe i wyznaniowe zarazem, jak na przykład nauka religii,
901:  która nie jest nauką, równie dobrze można byłoby uczyć o, no nie wiem, systemie politycznym w uniwersum Warhammera 40 tysięcy.
910:  Jest to dokładnie tak samo fikcyjne i dokładnie tak samo nie da się tego zmierzyć i zbadać empirycznie, więc nie wpisuje się to w żaden sposób w szkolne curriculum, gdzie podobno ma być tak obiektywnie, ale oceny oczywiście z tego przedmiotu będą.
922:  Tak samo jak będą oceny z zachowania, którego też się nie da w żaden sposób zmierzyć, ponieważ w jaki sposób jesteśmy w stanie porównać to, że ktoś za każdym razem przychodził grzecznie, nic nie robił, siedział w koncie i go znaleźli, względem człowieka, który, nie wiem, przeprowadził staruszkę przez jezdnię, to co, on ma dostać dodatkowe punkty za to?
941:  To jest jakiś komplet negatywny.
942:  Absurd, tego się nie da porównać, nie da się ze sobą zestawić, nie ma żadnej bazy.
946:  Ba!
947:  Dla tego rodzaju niemierzalnych czy trudno kwantyfikowalnych wartościach zachowanie, no nie uwierzycie, ale nie ma nawet podstawy programowej.
959:  O-wej.
962:  Bo nie może być.
965:  A zatem zaszliśmy w tym za daleko.
968:  Jeżeli myślicie, że to się kończy właśnie na tej sferze życia, o której mówimy tutaj, czyli sferze edukacyjnej, uniwersyteckiej, akademickiej, no niestety nie, to nie kończy się na tym, ponieważ oczywiście zaszło to już o wiele za daleko.
984:  Tak się przyzwyczailiśmy, moi kochani, do ocen, że dochodzi już do tego, że na przykład robimy tak zwany review bombing.
992:  Na przykład jesteśmy fanem
994:  najlepszego serialu na świecie, jaki powstał kiedykolwiek, czyli Breaking Bad.
1000:  I jak widzimy, że odcinek Ozymandiasz przegrywa z jakąś brudną, brudną, wstrętną animę.
1009:  Jak?
1010:  Attack on Titan.
1011:  Kto to widział?
1013:  Ozymandiasz.
1014:  To jest odcinek.
1016:  No to co robi oczywiście inteligentny i wykształcony człowiek?
1019:  Natychmiast siada do IMDB i zaczyna...
1022:  minusować jedna gwiazdka, jedna gwiazdka, żeby nasz ulubiony serial był z powrotem wyżej w rankingu!
1032:  To jest poważne, jak rozumiem, tak?
1035:  I to jest obiektywne.
1037:  Te narzędzia numeryczne, które sobie wymyśliliśmy, to, że nie jesteśmy w stanie sensownie wypowiedzieć się na temat jakiejkolwiek produkcji, tylko musimy gwiazdeczki przyznawać, nie zauważamy, że doprowadzi to wyłącznie do patologii, to jest tylko czubek góry lodowej, ponieważ jeżeli sobie przejdziemy na przykład do serwisów typu Lubimy Czytać, to okazuje się momentalnie, że pisarze walczą o te nieszczęsne gwiazdki przy ich okładkach książek,
1062:  jak o ogień w dawnych, minionych czasach.
1066:  Mianowicie odpowiedzi na to, oczywiście wydawnictwa jak reagują, no kupują recenzję, tak?
1073:  Jak pisarze reagują, wdają się w polemiki z wszystkimi, którzy dają właśnie minusy, dają jedną gwiazdkę.
1080:  To samo jest, jeżeli chodzi o recenzję restauracji.
1084:  Wielu youtuberów robi całą karierę z czytania tego rodzaju jednogwiazdkowych recenzji.
1089:  Mamy wszyscy świetny ubaw, bo to jest takie zabawne, że będą nagłówki, bo jedna gwiazdka.
1095:  A nie zastanawiamy się nad jedną zasadniczą rzeczą.
1098:  Jaka to jest informacja?
1100:  zwrotna dla twórcy, artysty, restauratora, kogokolwiek dostaje jedną gwiazdkę.
1105:  Możecie mi wyjaśnić, jaka to jest informacja, bo ja widzę cały czas tego malarza, któremu powiedzieliśmy 74,5% i on nie wie, co się dzieje, nie wie, co ma poprawić.
1116:  Widzę cały czas siebie, haha, który dostaje za mało punkcików w tym czy innym rankingu i nie, nie, nie, nie mówimy tylko o szkole.
1124:  Mówimy na przykład o stypendium ministra, o które się kiedyś ubiegałem już jako naukowiec i zabrakło mi 0,02 punkcika.
1132:  Dwóch setnych.
1134:  No i oczywiście dzięki temu wiem, że byłem o wiele gorszy od ludzi, którzy mieli więcej punktów, nie?
1139:  Wprawdzie, co miałem zrobić, żeby mieć więcej?
1142:  Bo tego już mi nikt nie powiedział.
1144:  No, przecież dostałem punkty.
1146:  No to stul dziób i ciesz się w ogóle, że cokolwiek się dowiedziałeś, bo mogliśmy na przykład nie wysłać maila, nie?
1154:  Doprowadziliśmy do absurdu i najgorsze w tym wszystkim jest to, że dla ocen jest chyba najwięcej adwokatów diabła.
1162:  Pośród nie tylko uczniów czy nauczycieli, ale nauczycieli w największym stopniu, natomiast także rodziców, którzy przyzwyczajeni zostali do tego, że właśnie tak byli oceniani i kompletnie nie zdają sobie sprawy z tego, że pierwsze oceny, jeszcze raz to wspomnę, pojawiają się w drugiej połowie XIX wieku.
1180:  I bawi mnie niesamowicie to, że konserwatyści, którzy zawsze twierdzą, że to, co było wcześniej, to, co było dawniej, to, co jest sprawdzone, to należy to zachowywać, no to informuje niniejszym, że do XVIII wieku włącznie nie stosowano ocen w tym celu, nie było tego rodzaju systemów metrycznych i numerycznych do działania.
1198:  dawania informacji zwrotnej dla studentów, tylko była relacja między mistrzem a uczniem, której elementem składowym jest raportowanie progresu w przyswajaniu wiedzy, ale również doradztwo, pokazywanie gdzie leży błąd i jak go naprawić.
1215:  Jeżeli nie wiemy w jaki sposób pracować nad sobą, to ocena przestaje mieć jakikolwiek sens.
1221:  Znaczy,
1222:  zaczyna mieć inny sens.
1224:  To znaczy, elementem tej oceny jest właśnie segregowanie ludzi.
1228:  Dlaczego review bombing działa?
1230:  Dlatego, że segregujemy świat kultury na tych, którzy mają pierwsze miejsce i drugie i trzecie ewentualnie, no i na resztę, prawda?
1239:  Jeżeli jest top 10, to ho, ho!
1242:  Każdy by się chciał w top 10 znaleźć.
1244:  Jak będzie jedenaste miejsce, to już nie.
1246:  Nie oglądajcie, nie ma sensu.
1248:  Dwunaste miejsce, to już w ogóle... A, trzynaste!
1253:  Jeszcze źle się kojarzy Templariusze, Jakub de Molay.
1256:  Nie, nie, nie, nie, w żadnym razie.
1257:  Do dziesiątego miejsca oglądamy i ani miejsca dalej.
1261:  To jest absurdalne, ale najgorsze jest właśnie w tym to, że nie daje żadnej informacji zwrotnej artystom.
1268:  Artyści nie wiedzą, co mają poprawiać.
1269:  Kurczące się cały czas formaty recenzji temu wcale nie sprzyjają, ale zauważmy jedną rzecz.
1275:  Wciąż jest tak, że ta jedna gwiazdka na dziesięć czy trzy gwiazdek na dziesięć
1281:  To jest bardzo często podsumowanie jakiejś opinii.
1284:  To nie jest coś, co dostajemy w szkole i to nie jest coś, co dostajemy na uczelni niestety wielokrotnie.
1289:  Tam dostajemy tylko numerki w rubryczkach.
1293:  bo ktoś wymyślił w którymś momencie, że to jest wystarczające.
1296:  Co więcej, ja jestem absolutnym z szoku, że moi koledzy i koleżanki, uczeni luminarze nauki polskiej, tracą i trwonią czas na to, żeby wystawiać również oceny składowe, tak samo jak nauczyciele.
1310:  I jedni, i drudzy nie muszą tego robić.
1313:  Ale chcą!
1315:  Także dlatego, że jest tak prościej, bo można ludzi posegregować, także dlatego, że nie znają innych metod motywowania do pracy i także dlatego, że upajają się tą władzą.
1327:  Nie ma innego wyjaśnienia dla człowieka, który dobrowolnie przeznacza swój czas na to,
1334:  żeby wystawiać ludziom oceny i potem jeszcze robić sobie dodatkowy problem z tym, żeby wyliczać średnią.
1340:  I jeszcze pół bity, jak to jest średnia ważona, ale są szaleńcy, którzy wprowadzają jeszcze dodatkowe mechanizmy, którzy robią testy z ujemnymi punktami,
1352:  Naprawdę, ja takim ludziom mam do powiedzenia jedną rzecz.
1354:  Najwyraźniej wasz dorobek życiowy albo naukowy jest niczym.
1358:  Bo jeżeli macie czas na takie pierdoły, to nie macie czasu, no macie ewidentnie za dużo czasu dla siebie.
1364:  Więc może docisnąć trzeba byłoby śrubę takim ludziom.
1368:  Może by coś zrobili ze sobą, może by opracowali nowy program, nowe scenariusze lekcji, napisali podręcznik albo zajęli się jakimiś badaniami naukowymi.
1377:  Ewidentnie za dużo czasu coś jest.
1380:  skoro mamy czas na robienie tego rodzaju bzdur i rozliczanie ludzi, robienie setek biurokratycznych tabelek.
1387:  Jeszcze raz, nie ma w polskim prawie, nie ma zapisu o konieczności wystawiania ocen cząstkowych.
1393:  A z zapisem o konieczności wystawienia oceny końcowej jesteśmy w stanie jeszcze polemizować, jeżeli oczywiście zmienimy ten system, ale nie możemy zmienić tego systemu, jeżeli ludzie nie zdają sobie sprawy z tak elementarnej kwestii jak to, że oceny są sztucznym konstruktem.
1408:  który został wprowadzony do naszej kultury tak szybko, że chyba jest to jedna z nielicznych rzeczy w społeczeństwie, która w takim tempie zdołała się zadomowić i jeszcze w dodatku nie wywołuje przesadnie sprzeciwu, bo jasne pojawiają się co już głosy, że może oceny są niepotrzebne i są doniesienia na ten temat różnego rodzaju prasowe.
1431:  Na przykład w szkole w sierpcu
1436:  Wprowadzono tego rodzaju eksperyment, mianowicie zniesiono całkowicie oceny.
1441:  W liceum ogólnokształcącym, żeby to nie było, że to jest podstawówka albo przedszkola, nie w żadnym razie.
1445:  I to jest news sprzed dwóch lat, więc to już jest eksperyment, który działa i co więcej zostali już wykształceni uczniowie, którzy właśnie w obrębie tego systemu już funkcjonowali.
1456:  Da się uczyć bez ocen?
1458:  Da się uczyć bez ocen.
1459:  Dyrektor szkoły mówi następująco.
1461:  Coraz więcej mówi się o tym, że uczniowie przestali się uczyć dla siebie, tylko że się uczą dla ocen.
1466:  A ja bym jeszcze dopowiedział, że uczą się dlatego, że rodzice wymagają, żeby się uczyli dla ocen.
1470:  To nie jest tak, że ta wiedza tak nam...
1473:  Pojawia się w głowie nagle, że byśmy chcieli dostać 6, a nie 5 na przykład.
1477:  Nie, to jest tak, że rodzice wykształceni w tym systemie i całkowicie uniewrażliwieni na jego krytykę wymagają tego od uczniów, bo zdaje im się, że to jest dla dobra ich dzieci.
1487:  To nie jest dla dobra ich dzieci.
1489:  I zaraz też do tego wrócę i wyjaśnię dlaczego.
1492:  Także na podstawie ocen, które są maksymalnie wysokie.
1496:  Z-dyrektor zapragnął ten stan rzeczy zmienić.
1498:  Nie powinno być tak, że ocena jest najważniejsza w szkole, a inspiracją było dla nich prawo oświatowe, bo gdy zaczął wnikliwą lekturę tych rozporządzeń, to się okazało, że właśnie nie ma wymogu wystawiania ocen.
1509:  No i oczywiście najwięcej obaw tutaj mieli rodzice, którzy tego nie chcieli, żeby zostało to wprowadzone.
1515:  Więc tak, to nie jest tak, że tylko nauczyciele oporują w takich sytuacjach, ale bardzo często rodzice i uczniowie.
1520:  Ale to nie jest tak, że robią to dlatego, że, nie wiem, ze złej woli, tylko z tego względu, że nie zastają sobie sprawy z tego, że istnieją alternatywy.
1528:  Alternatywą dla oceny wyrażonej numerycznie w tabeleczce w dzienniczku zawsze, zawsze, zawsze będzie ocena opisowa.
1543:  I to ocena opisowa, która jest złożona.
1547:  To znaczy, po pierwsze, ocena opisowa nie powinna wartościować.
1550:  To znaczy, porzućmy od razu myślenie dobry, dopuszczający, dostateczny, to nic nie mówi.
1555:  To są konstrukty sztuczne, wytworzone relatywnie niedawno, które nie komunikują nam absolutnie nic poza jedną rzeczą, która jest bardzo szkodliwa.
1567:  I teraz ten wątek, o którym mówiłem.
1569:  Po pierwsze...
1570:  że ci, którzy nie udaje się dostatecznie szybko opanowywać materiału, są gorsi.
1577:  A ci, którzy nie mają tego rodzaju problemów, są od tamtych lepsi.
1584:  I z tym wiążą się systemy nagród.
1586:  Paseczek na świadectwie, śliczny pasek, biało-czerwony, taki patriotyczny, dobry, polski, fantastyczny pasek, który sprawia, że z taką dumą orła nosimy na piersi i będziemy bronić naszej Rzeczypospolitej krwawiącej pod ranami zadanymi przez zaborców.
1608:  A jak nie ma tego paska?
1611:  to będzie skórzany pasek w domu.
1613:  Czyli zobaczcie, dwie pieczenie na jednym ogniu.
1618:  Uczymy i promujemy kary cielesne.
1621:  Fenomenalnie!
1622:  Stare dobre czasy się przypominają.
1626:  Mówię to jako uczeń, który zawsze miał świadectwo z czerwonym paskiem, nigdy nie miał na świadectwie niższej oceny niż dobra.
1635:  I w dalszym ciągu to krytykuje.
1637:  Wiecie dlaczego to krytykuje?
1639:  Ponieważ widzę, jak myślenie w tych kategoriach potrafi zniszczyć.
1643:  I wiem to ze swojego doświadczenia.
1645:  Bo jak dostanie się wiele razy dobrą notę, typu właśnie celujący, bardzo dobry, i potem nagle wpadnie niższa,
1655:  O, to to czuć, bardzo to czuć.
1657:  No tak samo jak ktoś ma nieustannie noty niższe i nagle dostaje notę wyższą, też to odczuwa w dwójnasób, ale zwykle właśnie nie jest w ten sposób honorowany, nauczyciel nie wzraca na to jakiejś specjalnej uwagi, no chyba, że jest dobrym pedagogiem, ale to wiemy, zdarza się bardzo rzadko.
1674:  Natomiast i w jednym, i w drugim przypadku te skrajności są bardzo negatywne.
1678:  W zasadzie najbardziej komfortowa teoretycznie sytuacja byłaby taka, gdyby się jechało cały czas na trójach, ale prawda jest taka, że to też prowadzi do złego wniosku.
1688:  Jestem przeciętny, nie jestem ani dobry, ani zły z żadnej kategorii życia, ja nic w życiu nie osiągnę.
1695:  Zauważcie, że wszystkie oceny z tego spektrum, z tego przedziału,
1700:  prowadzą za każdym razem do takich autocierpiętniczych, albo wręcz przeciwnie, samopochwalczych wniosków.
1708:  Albo wbijamy się w sztuczną dumę, że nie wiadomo kim jesteśmy i co zrobimy i potem czeka nas gorzkie rozczarowanie, albo wręcz przeciwnie, tormentujemy się i mamy sobie za złe to, że nie byliśmy dość dobrzy i w rezultacie jest ryzyko, że nigdy nie będziemy w stanie pokonać swoich własnych ograniczeń, bo sami je na siebie narzuciliśmy.
1729:  przejmując się ocenami.
1731:  No i oczywiście ten paseczek czerwony to nie jest jedyny system nagród, który funkcjonuje w szkole.
1737:  Dobrze wiemy, że są jeszcze nagrody rzeczowe dla najlepszych uczniów.
1741:  Dobrze wiemy, że na studiach pojawiają się stypendia przeze mnie wspomniane i nigdy nie zapomnę wytycznych do stypendiów, jakie miałem na studiach.
1749:  Tutaj musi być artykulik, tu musi być książeczka, tu wyjaźnik na konferencję i to się wszystko sumowało.
1754:  Nie ma tam, że ktoś wyjechał na konferencję do Kanady, a ktoś do Sieradza.
1759:  Jest konferencja?
1762:  Jest konferencja!
1763:  Tyle samopunktów!
