RADEK RAK z nagrodą Nike! | Dla każdego coś przykrego #1
🔗 https://www.youtube.com/watch?v=7I-nYXRsLBA

1:  Co roku o tej porze przeżywam ten sam koszmar.
265:  No i to jest jakby taka mądrzejsza, najbardziej doniosła myśl, jaka się pojawiła w takiej literaturze.
271:  No i naprawdę uważam, że ktoś, kto spędzi cały dzień na fejsie albo na TikToku, spędzi go z większym pożytkiem intelektualnym niż mi trężąc czas na przeczytanie 600 stron takich kocopołów.
284:  Ale...
285:  Coś takiego jest w tych nagrodach literackich, a w szczególności w Nagrodzie Literackiej Nike, że życzone powieści nam się poleca.
293:  Oczywiście na początku mieliśmy jeszcze takie jasułki, co wiosny nie czyniły w postaci Myśliwskiego, Miłosza, Barańczaka i Różewicza, a nie więcej od 2001 roku, od czasu kiedy
306:  Jerzy Pilch napisał książkę o tym, o czym Jerzy Pilch nigdy nie pisał, to znaczy o alkoholu, no to wtedy wiadomo...
319:  No, to jest wybitne, rozumiecie.
323:  Później to by poszło.
324:  Jeszcze Jarosław Marygrym.
325:  Kiewicz, widzę, dostał nagrodę za nim przez to być wstrętnym Jarosławem Markiewiczem, pierwszym pieśniarzem PiSu.
332:  Wojciech Kuczok dostał za powieść Gnój.
334:  Powieść Gnój, zresztą tak, większość polskiej kinematografii jest o biedzie, o patologii.
341:  Wspomniałem biedę?
343:  A, jeszcze o patologii.
344:  To jest
345:  To jest taki też nurt w polskiej kulturze, który ma sprawić, że ludzie będą, jak wrócą już z tego swojego kubika w korporacji, będą chcieli się oderwać trochę od rzeczywistości, to wtedy jeb, dostaję takim kafarem, nie, nie, żadnego eskapizmu, masz patologia, duński dramat społeczny, to jest to, czym masz się teraz zajmować.
367:  Wystawaj z tej kanapy, nie odpoczywaj, proszę bardzo, tutaj dzieciaki łoją pasem,
374:  Obejrzyj to sobie.
376:  Będzie ci lepiej.
377:  Zobacz, ty chodzisz do korpo, zarabiasz, pasem cię nikt nie leje.
381:  Cześć się.
383:  Generalnie rzecz biorąc, jako człowiek, który musiał to wszystko przeczytać,
388:  Naprawdę najgorszemu wrogowi nie życzyłbym tego, żeby musiał to zrobić, albo nawet, żeby chciał to zrobić, a już na pewno, żeby ktoś mu wmawiał, że to zrobić należy.
398:  No i oto mamy rok 2020 i ja z przerażeniem dni temu parę wszedłem na stronę z informacją o nagrodach Nike i widzę takie rzeczy, jak na przykład Jaremianka Agnieszki Dałkszy,
412:  znanej chyba z tego, że jest Agnieszką Daukszą, bo nie słyszałbym o niej nigdy w życiu, gdyby tak się nie złożyło, że pojawiała się czasem na korytarzu wydziału, na którym studiowałem jeszcze jako doktorantka.
425:  No i znowu, to jest profesoren Roman, prawda?
428:  To znaczy, jest to biografia, ale biografia popularnonaukowa.
432:  Czy to jest to coś, co należałoby rekomendować do lektury w czasach, kiedy podobno czytelnictwo umiera, nikt nic nie czyta, co szósty Polak, czy w ogóle nikt z 10%, jedną książkę rocznie, oczywiście pomijamy fakt, że ludzie bez przerwy czytają, bo się nie da inaczej surfować po sieci,
450:  albo grać w gry wideo, bo tam też trzeba mnóstwo czytać, albo czytać, bo oczywiście czytanie nie dotyczy komiksów czy magii, to rozumiecie, tak samo czytanie nie dotyczy kryminałów, już na pewno jeżeli ktoś czyta piracko albo ściąga z komika, to wówczas również nie czyta, ponieważ nie mamy statystyki, w związku z powyższym nie możemy ich przekazać do instytutów książki, instytut książki nie może się skomunikować z Biblioteką Narodową, bo ona też nie ma takich statystyk i dziennikarze, którzy później piszą te artykuły, którymi się przejmujecie, że nikt nic nie czyta,
474:  korzystać ze statystyk, które są dysfunkcyjne i nie obejmują przynajmniej 3-4 rynku książki, ale to nie jest ważne, ponieważ nie chodzi nam o to, żeby ludzie zaczęli czytać książki, tylko chodzi nam o to, żeby ludzie czytali książki konkretne.
485:  To znaczy, żeby czytali rzeczone biografie, żeby czytali na przykład reportaże.
493:  To jest akurat dobry reportaż, ale zresztą został nominowany przez czytelników, a ja zawsze bardziej ufam nagrodom czytelników.
501:  Niemniej reportaż.
501:  W Polsce mamy wydawnictwa, które nawet specjalizują się w wydaniu wyłącznie reportaży, zresztą założonych przez babkę, która jest żoną człowieka, który dostał nagrodę Nike i zresztą dzisiaj też była nominowana, czy teraz była nominowana do nagrody Nike.
513:  Następnie co mamy?
514:  Kolejny doktor habilitowany Piotr Maciejewski, kolejna profesora Roman, napisana przez kolejnego profesora.
519:  Znowu niewątpliwie książka, która z pewnością jest warta lektury.
523:  Zastanawiam się, czy do nagrody literackiej Nike należy rekomendować książki, które zostały napisane przez naukowców dla naukowców.
531:  I jeszcze w dodatku nie z myślą o czytelnikach w sensie popularyzacji nauki, tylko jest to esej naukowy, tak należałoby to określić.
542:  No i wreszcie mamy pierwszą powieść.
544:  Te, która, spoiler, dla wszystkich, którzy jakimś cudem nie usłyszeli wczorajszej informacji, wygrała.
550:  Znaczy powieść Radka Raka, pisarza fantastycznego, w obydwu znaczeniach tego słowa, bo i twórcy fantastyki, i znakomitego prozejka, baśni o wężowym sercu, którą zresztą miałem przyjemność przeczytać, zanim dostała nagrodę.
562:  I tutaj się zatrzymajmy nad tym opisem, jest bardzo ciekawe.
566:  Pomijając oczywiście nagrody i standardowy onanizm biograficzny, tu oto mamy Robin Hooda.
575:  Postać popkultury się pojawia w streszczeniu książki nominowanej do nagrody Nikkei, tej, która wygrała.
584:  Nieprawdopodobne.
587:  Ale komentarz od razu jest inny, prawda?
590:  Mamy mitologię, która jest bardzo słowiańska.
592:  To już powinno nam coś powiedzieć, bo słowo mitologia będzie patronować dzisiejszemu odcinkowi.
597:  Dla każdego coś przykrego, tak?
598:  Właśnie pierwszy raz padła nazwa serii.
601:  tych moich wypowiedzi, które prawdopodobnie będą kontynuowane, jeżeli będzie mi się chciało je kręcić.
606:  I oto mitologia będzie czymś niesamowicie ważnym, dlatego, żeby przypadkiem nie nazwać tego fantastyką.
614:  I to jest komentarz, który was zostawię później, bo rzeczywiście to się okazuje bardzo istotne.
620:  Ale do Radka Radka jeszcze wrócimy, bo przecież trzeba wspomnieć o Płuczkach i Poszukiwaczach Żydowskiego Złota, również książce nominowanej na nagrodę Nike.
628:  Znowu, reportera.
629:  Przypominam, że istnieje nagroda imienia Ryszarda Kapuścińskiego, gdzie można nominować książki reporterskie.
635:  Oczywiście wiem, że istnieje duża tradycja interpretowania książek reporterskich czy powieści reporterskie jako odmiany literatury, ale wydaje mi się, że jeżeli mówimy o prozie, to jednak szukamy w niej
647:  czegoś innego zazwyczaj, albo chcielibyśmy szukać w niej czegoś innego.
653:  No i wreszcie mamy Monikę Schneiderman.
656:  Tak, to jest dyrektorka wydawnictwa czarnego, który wydaje reportaże.
661:  Tak, to znowu jest kolejny naukowiec, trzeci już nominowany do nagrody.
667:  I znów jest to reportaż.
669:  Oczywiście wydany w wydawnictwie czarnym, to jest wygodne, jak wiadomo, żeby wydać w tym wydawnictwie własną książkę.
680:  Nie, żebym oczywiście twierdził, że jest ona zła, ale po prostu odnotowuję to jako interesujący fakt, bo bardzo często się tego rodzaju kwestie przywołuje, jak trzeba na przykład skrytykować vanity publishing.
690:  I wreszcie Filip Zawada rozdeptałem czarnego kota przez przypadek.
694:  To też jest powieść.
695:  Bardzo mnie to zdziwiło, ponieważ pierwsze...
697:  Usłyszałem nazwisko tego autora i sądzę, że wiele też osób, które przeglądało nominacje do nagrody Nike, jak zwykle miało opatr szczęki, zastanawiało się w ogóle, czy coś ze mną jest źle, że ja nie znam tych ludzi, nie wiem, no bo może nie jestem takim erudyto, jak myślę, że może coś jest ze mną nie tak, nie, nie, wszystko jest z wami w porządku.
715:  Ja sobie przeczytałem, to jest bardzo dobrze wydana książka, tu muszę pochwalić wydawnictwo Znak, ponieważ postanowili odpowiedzieć na zarzuty wszystkich tych ludzi, którzy mówią, nie ocenia się książki po okładce.
727:  Oczywiście powiedzenie, nie ocenia się książki po okładce, pochodzi mniej więcej z tego samego czasu, co powiedzenie, że czyta się od deski do deski.
736:  Haha, bo...
739:  Dzisiaj okładki jednak stanowią taki istotny element tego komunikatu całościowego, który się składa na opakowanie produktu będącego książką.
747:  Zresztą tak samo jest w wypadku i filmów, i gier wideo, z jakiegoś powodu ludzie konselekcjonują steelboxy, prawda?
753:  W każdym razie, tutaj na okładce mamy fragment książki, więc profit podwójny.
757:  Po pierwsze, ja mogę ocenić teraz książkę po okładce, co z radością uczynię, a po drugie, możemy przeczytać fragment i stwierdzić, że absolutnie nas to nie interesuje.
766:  No i tutaj czytamy sobie, że pani Steffi ze sklepu trzeba jej przekazać szatana, bo nowe dziecko musi się kimś opiekować od małego, żeby kiedy będzie stare, nie zapomniało jak to się robi.
780:  Po drugie, prosi, to już wiemy, że to jest testament, żeby mój kostium superbohatera włożyć pod garnitur do trumny.
787:  Rozumiecie, superbohaterowie, Marvel, nie?
791:  Następnie mamy roll credits, bo tytuł rozdeptałem czarnego kota przez przypadek.
796:  Po czwarte, pod łóżkiem mam zaoszczędzone pieniądze, które dostawałem od różnych osób za to, że jestem biedny i fajny jednocześnie.
805:  Proszę je przekazać Błażejowi, największemu szczęściarzowi na świecie, który pewien raz pewnie ma wszystko zapewnione, bo jego nowa rodzina jest bardzo bogata, ale nigdy nie wiadomo, co się stanie, kiedy w jego nowo domu pojawi się kolejne dziecko.
819:  Ja już na tym etapie robię coś takiego zazwyczaj, masuję czoło, doznaję pierwszych objawów migreny i stwierdzam, że jestem niesamowicie znudzony.
829:  Tutaj jest coś, co chciałbym, żeby wybrzmiało.
832:  To znaczy, to nie jest złe, jeśli literatura, która jest nazwana wybitną, prestiżową,
843:  wybitną i arcydzielną, jeżeli ona was nudzi.
847:  Literatura, jak każde inne medium, służy rozrywce.
851:  Sztuka służy rozrywce.
854:  Działalność artystyczna służy rozrywce.
858:  Aktorzy teatralni, którzy dostali pian na ustach podczas pandemii, że jak my będziemy grać, przychodźcie do teatru, zarażajcie się od nas, bo my musimy mieć monety za wystąpienia.
873:  Nie ma internetu, nie ma Mickiewicza, nie ma Miłosza.
876:  Koniec kultury polskiej.
878:  No mnie śmieszą, ponieważ jakimś cudem kultura cyfrowa się rozwija i ma się dobrze.
883:  Z tą różnicą oczywiście, że nie jest na przykład wpuszczawa właśnie na deski teatrów, na wystawy muzealne, bo przecież to jest wstrętny i wraży internet, to nie będziemy tego promować.
893:  I teraz wydaje mi się, że w momencie, w którym kogoś to po prostu nudzi, to naprawdę nie oznacza, że jest z nim źle.
900:  Wręcz przeciwnie, myślę, że może się okazać, że jest z nim bardzo dobrze.
903:  No więc cieszę się strasznie, że nie dostała żadna z tych książek nagrody Nikkei.
908:  Nie dlatego, iż bym uważał, że są beznadziejne, a ich autorzy są grafomanami.
913:  Nie, bo do tego, żeby to stwierdzić, musiałbym pilnie śledzić te nurty literackie, które reprezentują, a naprawdę mam lepsze rzeczy do roboty, ponieważ te nurty literackie mnie nudzą i uważam, że absolutnie niczego nowego nam nie mówią o rzeczywistości.
925:  Niczego nowego do niej nie wnoszą.
928:  Dlaczego?
929:  Mam takie wrażenie, że faktografia, biografistyka, dokumentalizm to jest bardzo ważna część kultury, ale tylko wtedy, jeżeli stanowi 1-2%.
937:  To znaczy wypełnia jakąś niszę, jakąś lukę, daje nam możliwość dowiedzenia się czegoś o świecie, ale w większości wypadków ludzie, którzy są zapracowani, wydaje mi się,
947:  chętniej będą chcieli się rozerwać albo oderwać od rzeczywistości, niż jeszcze się zastanawiać nad tym, jaka ona jest skomplikowana i potworna, zwłaszcza, że mamy media społecznościowe, zwłaszcza, że mamy cyfrową prasę i inne media pozwalające nam wiedzieć, co jest na świecie w każdej sekundzie dnia.
966:  Więc naprawdę nie musimy czytać Jacka Hugo Badera reportażu Biała Gorączka, który jest nawiasem mówiąc zerżniętym reportażem innego autora, przed czym Jacek Hugo Bader się długo wzdragał, żeby to przyznać, potem jednak powiedział, że były te inspiracje i tak dalej.
981:  Oczywiście, że one będą, dlatego że na tym polega literatura faktu, że czymś się inspirujemy i to przetwarzamy później.
988:  Ale dokładnie na tym samym polega też fikcja literacka.
992:  I dlatego dobrze, jeżeli ona jest reprezentowana przez kogoś takiego jak Radek Rak, który jest pisarzem fantastyki, twórcą fantastyki.
1000:  I zresztą, co mnie bardzo ucieszyło, jest twórcą fantastyki, który o tym wprost mówi.
1006:  Bo jak sobie przeczytamy jego wypowiedź dla prasy, bardzo go cieszy, że została zauważona książka, która jest książką przygodową, fantastyczną.
1016:  To nie jest przypadkowy wybór słów u Raka.
1020:  Z tego względu, że właśnie książki przygodowe, fantastyczne, służące rozrywce, odrywające nas od rzeczywistości,
1028:  zaprowadzające nas do jakiegoś innego świata, pozwalającego nam odkryć jakąś nową przestrzeń i co ważne, spotkać się w niej z innymi ludźmi bez względu na to, jakiej są narodowości, seksualności i tak dalej.
1039:  Dlaczego?
1039:  Dlatego, że fantastyka jest o obcym świecie w związku z powyższym
1044:  wyobcowuje wszystkich porówno.
1046:  Niezależnie od tego, czy ktoś jest homoseksualnym Australijczykiem, czy jest konserwatystą rosyjskim, czy wyborcą Trumpa, czy cesarzem Japonii.
1057:  Wszyscy oni będą w równym stopniu wyobcowani.
1060:  Dlatego to właśnie w fantastyce jesteśmy w stanie się rzeczywiście ponadnarodowo i ponad wszelkimi uprzedzeniami spotkać i ze sobą porozmawiać.
1069:  Natomiast
1070:  Ten aspekt rozrywkowy, który podkreśla Rak, jest kluczowy właśnie dlatego, że zazwyczaj jest to zarzut.
1075:  Jeżeli coś służy rozrywce, to na pewno nie jest wysoką kulturą, na pewno nie służy temu, żeby w jakikolwiek sposób się dowartościować, że oho, tak, to jesteśmy mądrzy, to czytamy, tutaj mamy sobie na półeczce, no, zobacz, co mam na półeczce, tak, to jest ważne i to są książki na półeczce, nie tam żadne okładki filmów albo gier fitel, nie, to są książki, no.
1099:  No więc cieszę się strasznie, że Rak też jest pierwszym twórcą fantastyki, który nie tylko został nagrodzony taką nagrodą w Polsce, tej rangi, nagrodą nie pochodzącą w żadnym stopniu ani od specjalistów zajmujących się badaniem fantastyki, tak jak to jest w wypadku
1117:  nagrody Żuławskiego, ani też od samych fanów, którzy fantastykę czytają, jak to jest w wypadku nakrót plebiscytowych, jak nagroda Zajdla i inne tego typu, tylko przez nagrodę przyznawano przez krytyków, którzy stronią od czytania fantastyki, którzy nie nauczają jej na uniwersytetach, bo nie.
1133:  To jest argumentacja, z którą się spotkałem na mojej macierzystej uczelni, gdzie szefowie Katedry Krytyki Literackiej nie wspominali o fantastyce nawet na wykładach, które nosiły tytuł Literatura po roku 1989.
1145:  To jest mniej więcej tak, jakby chemik powiedział, zajmuję się wszystkimi pierwiastkami,
1151:  Ale wyłączając ten przeklęty azot, żadne związki azotu na moich zajęciach takich bezecenstw nie będzie.
1162:  Zero tolerancji dla azotu.
1163:  Mniej więcej to samo.
1165:  Tylko, że w odniesieniu...
1166:  do czegoś, co jest o wiele miększe, to znaczy humanistyka i troszeczkę ciężej nam jest dostrzec tego rodzaju absurdy.
1172:  Ale dla mnie tak samo nieetyczne jest to, że poloniści, którzy wychodzą ze studiów polonistycznych, nie mają wiedzy na temat istotnych nurtów literackich i przez to nie są w stanie później uczyć dzieciaków w szkole odpowiednio, no bo sami nie mają takiej wiedzy.
1187:  To w jaki sposób mają wpaść nagle na pomysł na to, że ooo,
1191:  A może ja omówię fantastykę?
1193:  Bo wszyscy zawsze powtarzają, że w podstawie programowej lektury nadobowiązkowe.
1198:  Tak, którzy nauczyciele, którzy nie nadążają na tym, żeby zrobić tę podstawę programową, no z pewnością sięgną do tej podstawy ponadprogramowej.
1204:  Jeszcze w dodatku, nasłuchawszy się na polonistykach, że fantastyka i popkultura w ogóle i kryminał, to nie.
1211:  Nie należy tego czytać.
1212:  Kryminału to już powoli nie.
1214:  Bo są już tacy twórcy kryminału historycznego, że oni zostali już uznani
1220:  Więc kryminał nie.
1221:  Kryminał jest fajny.
1223:  Chyba, że to jest Agatha Christie, bo to jest wtedy popkultura.
1225:  Wtedy jest niefajny.
1226:  Albo jak Gro Robert Downey Jr.
1228:  w Sherlocku Holmesie.
1229:  Niefajny to Hollywood i popkultura.
1232:  Ale inne kryminały fajne.
1233:  W każdym razie to jest nieetyczne właśnie dlatego, że krzywdzi się nie tylko absolwentów tego rodzaju kierunków, ale także uczniów, czyli w perspektywie cały nasz naród i przyszłe pokolenia, bo będą święcie przekonane, że czytanie czegoś w tym rodzaju w żaden sposób nie rozwija.
1250:  Natomiast to, co mnie najbardziej zafascynowało, bo chyba oczywiste jest to, że polecam przeczytać Racka Raka, że i nie tylko oczywiście tę książkę, tylko także jego wcześniejsze powieści.
1261:  Fascynuje mnie to, że bywało już tak, że twórcy fantastyki bywali nominowani.
1267:  Tylko, że nie za powieści fantastyczne.
1269:  Na przykład Orbitowski, który zresztą pozwolił sobie na parę słów komentarza w sprawie tegorocznej Nike, ciesząc się z sukcesu Radka Raka i podkreślając, zwyciężyła powieść fantastyczna.
1279:  Jako pisarz od dawna nie uprawiam literatury fantastycznej, no to na wypadek, gdyby literackie chciało z nim rozwiązać umowę za tego rodzaju wypowiedź, ale chętnie ją czytuję i nie mam wątpliwości o jej doniosłości.
1291:  Doskonale za to pamiętam czasy, kiedy fantastykę bez przecinka przed kiedy traktowano jako literaturę drugorzędną, bzdury o smokach i gwiazdach.
1298:  No.
1298:  Chyba, że z niewłaściwym przecinkiem przed że Dukaj z Tokarczuk coś napisali.
1303:  Mam nadzieję, że... Nie przesadzałbym z tą Tokarczuk.
1305:  Tokarczuk napisał opowieści bizarne i to jest w zasadzie jedyna jej powieść, która... Bo nie, nie dom dzienny, dom nocny.
1313:  Na pewno nie.
1314:  Eee...
1316:  która kwalifikowałaby się jakoś do nurtu z jednej strony bizarro, a z drugiej do weird fiction czy do new weird, który rzeczywiście jest jednym z nurtów fantastyki, ale poza tym nie.
1330:  I ma nadzieję, Boże, Łukasz Orbitowski, że Nike dla Radka Raka przyczyni się do tego, że literatura fantastyczna zyska na rangę, na którą zasługuje.
1339:  Wszyscy mamy taką nadzieję.
1342:  I wreszcie, i tutaj się w pełni zgadzam, nagrodę otrzymał pisarz oryginalny, wierny sobie i tematom, które zgłębia.
1348:  Te tematy, które zgłębia, nawiasem mówiąc, są dość istotne, bo jakbyśmy przejrzeli sobie i wspomnieli jeszcze raz, jaka jest wspólna dominanta dla wszystkich tekstów, które były kiedykolwiek nagrodzone w ramach nagrodnika, to najczęściej jest tak, że one dotyczyły bardzo określonego tematu, prawda?
1367:  Już o tym temacie trochę wspomniałem.
1371:  Polskość, rozliczenia z polskością, bieda, powstania, bieda, szydzi, wojna, więcej powstań, niedola...
1389:  To jest literatura o. Ja myślę, że można byłoby stworzyć, Mieciu Mieczyński stworzył masochistę, żeby oglądać tego rodzaju filmy.
1396:  Można byłoby z pewnością stworzyć też paralelny kanał masochistyczny o czytaniu tego rodzaju literatury.
1403:  Myślę, że podobne byłyby wrażenia.
1405:  Niemniej...
1406:  Ten temat książki Radka Raka jest ważny.
1410:  No bo to nie jest tak, że Radek Rak napisał książkę fantasy o smokach i dżedajach, którzy walczą z tymi smokami.
1417:  No nie.
1419:  I o tym, w jaki sposób Żirinikę to ograło,
1423:  żeby jednak ci wszyscy stentorowi, krytycy, literaccy nie dostali zawału serca i nie wypadły im sztuczne szczęki z przerażenia, no to wiemy się, jak to zrobił właśnie Paweł Próchniak, profesor, historyk literatury, żeby przypadkiem w tej laudacji, którą się wygłasza, jak ktoś otrzyma nagrodę Nike, w tym wypadku nasz sympatyczny Radek Rak, no nie padło brzydkie słowo na F. F-word.
1448:  Fantastyka.
1450:  Baśni o wężowym sercu, albo wtóre słowo o Jakubie Szeli i Radka Raka, nawiązuje do słowa o Jakubie Szeli i Brunona Jasińskiego.
1456:  Czytamy w streszczeniu, które robi wirtualne media, bo mi się nie udało dojść jeszcze do tekstu Laudacji Próchniaka.
1462:  Dostajemy standardowy biogram.
1464:  Paweł Próchniak w Laudacji ocenił, że ta książka to klechda.
1471:  Jak ostatnio patrzyłem na tytuł powieści...
1483:  No baśń, nie że klechda, ale spoko.
1488:  Znaczy klechda brzmi fajniej, bo to też taka baśń, która jest ludowa.
1493:  Czyli już mamy dobre skojarzenia, nie?
1496:  To jest chłopi, jest wesele i hamco miał złoty róg, a już nimo, nimo, bo nic nimo, nimo Mickiewicza, nima Miłosza, jesteśmy w domu.
1511:  A więc klechda.
1512:  Że jak każda klechda jest triumfem wyobraźni i dotyka twardej rzeczywistości prawdziwego świata.
1521:  Już wiemy.
1523:  Nie tam żadne kocopoły fantastyczne, ale twarda rzeczywistość.
1529:  Prawdziwy świat Ziemi.
1532:  Tej Ziemi.
1534:  Ale równocześnie snuje historię nie z tej Ziemi,
1543:  Nie z tej ziemi, tak?
1546:  Super.
1555:  Zdenerwowałem się.
1555:  Jednocześnie opowiada o czymś, co drzemie w realnej historii, w naszej wspólnej podświadomości.
1560:  W tym momencie otwierają nam się kody psychoanalityczne.
1564:  W podglebiu języka, o którym nie mówimy, znaczy nie wiem jak wy, ale jak ja słyszę hasło podglebie języka, mam taki ziemisty posmak.
1571:  Nie wiem, czy to jest dobre wrażenie.
1573:  Nie miałem takiego wrażenia, jak czytałem baśń, znaczy przepraszam, klechdę o wężowym sercu.
1583:  Zdaniem Próchniaka dalej, w tym paśmie realności, bo umówmy się, że nie chodzi o fantastykę, bo przecież pisarz nie może mieć racji.
1597:  Z tym paśmie realności, z którym mierzy się baśń nagle o wężowym sercu, jest coś poruszającego i okrutnego zarazem.
1605:  Coś, co powinno zostać opowiedziane i być może nie ma na to innego języka niż inna, nie dzisiejsza, no przecież wczorajsza, dykcja poetyckiej klechdy.
1618:  Gdy, gdy, gdy, gdy.
1621:  Radek Rak napisał, przepraszam, nie napisał.
1626:  Zapisał!
1628:  Wtóre słowo Jakubie Szeli można powiedzieć, że jest to wtór.
1637:  Znaczy, ja nie wiem, mam... Pies szczeka.
1639:  Mam ogromną nadzieję, że jednak to jest literówka i że był twór w oryginale, ale wtór powierzchowny w czytaniu rzeczywistej grozy wydarzeń, którą wziął za swoją kanwę,
1654:  Myślałem, że za kanwę swojej twórczości i że realny Szela jest tu wydmuszką, zaznaczył profesor Paweł Próchniak.
1661:  To prawda, ale nie historia z jej dramatyzmem i ukrócieństwem gra w tej kledzie pierwsze skrzypce.
1670:  Dalej czytamy, że siłą książki Radka Raka jest sam akt snu kacia opowieści.
1674:  To jest siła każdej książki.
1676:  To już jest lanie wody.
1679:  Snucia i tkania.
1681:  czyli jak mówił, tkania z rozbieganych ech i pogłosów, z lotnych pasm uwolnionej wyobraźni, z refleksów światła odbitego od gór, może odbije trochę światła, bukowych liści łusek węża.
1698:  Wunsz.
1700:  Wunsz się pojawił.
1703:  W laudacji zaznaczono, że Radek Rak świetnie panuje nad sobą.
1706:  No tu się nie sposób nie zgodzić.
1708:  Nad różnymi tonacjami polszczyzny, nad innymi możliwościami, nad tym, co żyje pośród słów.
1712:  To jest jakby coś, czego jeszcze się spodziewamy w krytyce literackiej.
1715:  Jest konkretno, ale oczywiście profesor Paweł Pruchniak musi już ulecieć w swoje przestworza i nieboskłony przy dźwiękach i echach prawie niesłyszalnych.
1725:  A baśń o wężowym sercu dalej znowuż jest świetna.
1728:  świadomie staroświecka i zarazem równocześnie groteskowa.
1731:  To jest po to, żebyśmy wszyscy przypomnieli sobie prozę Vita Szostaka, która była nagradzana wielokrotnie przez krytykę literacką, która bardzo odeszła od fantastyki do tego stopnia, że o Szostaku, Orbitowskim i innych tego rodzaju twórcach mówi się jako postfantastach, zresztą często o Jacku Dukaju też się tak już mówi, no ale oczywiście Jacek Dukaj nie dostanie nigdy nagrodę Nike, ponieważ w przeciwnym wypadku prawdopodobnie
1753:  doszłoby do zbiorowego samobójstwa polskich krytyków literackich i polonistów, nie znieśliby po prostu takiego blamażu i despektu.
1762:  Zdaniem jury powieść ta wiele zawdzięcza literaturze.
1765:  W odróżnieniu od innych powieści.
1766:  Tutaj należy się wyjaśnienie dla wszystkich, którzy nie czają o co chodzi.
