OCENY SZKODZĄ. Wszystkim | Dla każdego coś przykrego #36
🔗 https://www.youtube.com/watch?v=yi4I_ARnys8

0:  Nie, w ogóle nie mamy problemu jako społeczeństwo z ocenianiem.
375:  W liceum w Świętokrzyskim na taki pomysł dyrekcja ochoczo zareagowała tylko w łefistka.
380:  Oceny szkolne większości szkodzą, straszą, zabierają radość z nauki, uczą oszukiwania, co a raczej kto jest hamulcem tego systemu.
388:  No i tutaj jest opisany cały ten odważny eksperyment pedagogiczny, żeby dawać oceny opisowe zamiast ocen cząstkowych.
394:  Ja wielokrotnie już na łabach tego kanału mówiłem, że jestem zwolennikiem wystawiania ocen opisowych.
399:  Jeżeli ktoś mi mówi, że jest to niemożliwe, to ja mogę tylko parsknąć śmiechem, ponieważ są naprawdę różne sposoby przekazywania ocen opisowych i nie, nie wszystkie muszą być pisemne.
409:  Ocena opisowa nie musi być pisemna.
410:  Ona może być pisemna, oczywiście może być utrwalona w jakiś sposób, ale w jej filozofii nie leży pisemność, medium, tylko w jej filozofii leży to, żeby wyjaśnić, co zostało zrobione dobrze, a co zostało zrobione nie tak, jak powinno być.
425:  I w tym miejscu musimy się dopiero właśnie namęczyć i napocić nad argumentacją, bo najprościej jest kogoś pochwalić.
432:  To, co jest trudne, to pokazać, gdzie popełnia błąd.
436:  i nie za pośrednictwem minusików i plusików, czy punkcików, czy procencików, czy ocenek, bo to jest dokładnie to samo i daje nam dosłownie żadny feedback, czyli żadną informację zwrotną, tylko za pośrednictwem tekstu.
449:  Przepraszam w tym momencie wszystkich, którzy ukochali w sobie świat cyfr i liczb, bardzo szanuję takich ludzi,
455:  Są oni niezawątpliwie potrzebni w naszym społeczeństwie, ponieważ jest bardzo wiele różnych nauk, które wymagają syntetycznego myślenia i jak najprostszej formy komunikacji.
463:  Ale przepraszam najmocniej, ludzie od wszechwieczy komunikują się nie za pośrednictwem 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 1, tylko wypowiadają złożone lub mniej zdania, za pośrednictwem których dochodzi do komunikacji, bo to się uczymy języków, generalnie rzecz ujmując.
483:  I póki ludzie komunikują się w ten sposób, to jest naturalny i przyrodzony nam sposób konceptualizowania jakichkolwiek uwag.
491:  Nie procenty, nie gwiazdeczki w serwisach, nie lajki i inne tego typu durne systemy, które wszystkie mają to jedną rzecz wspólną, że są szkodliwe dla naszej psychiki, tylko słowa.
502:  To jest podstawowa formuła komunikacji naszej.
504:  I to zresztą teraz ja robię, mimo że korzystam z medium elektronicznego, które zapośrednicza to w język binarny i zapośrednictwem tego sygnału przesyła do Was, to wciąż moja pierwotna forma komunikacji pozostaje taka, a nie inna.
518:  I tak też powinno wyglądać nasze ocenianie.
521:  Problem natomiast polega na tym, że jak czytamy w tym artykule,
525:  W wielu miejscach oceny wywierają jednoznacznie negatywny wpływ, uczniowie nie patrzą co zrobili źle, patrzą ile mają punktów i czy ocena się zgadza, co prowadzi do dalszych patologii.
536:  Po pierwsze, całego tego systemu zbieracko-łowieckiego w szkołach, że zbieramy sobie punkciki i oczywiście jesteśmy za to oceniani i bawimy się w myśliwych,
545:  Wybieramy spośród siebie najlepszych, robimy konkursiki, następnie konkursiki wojewódzkie, po to oczywiście, żeby mogły rodzice powiedzieć, o, a twoja Kasia to które?
555:  O, no pierwsze miejsce w konkursie wojewódzkim.
557:  Haha, widzisz, no moje pierwsze miejsce, Gosia, haha, ale w konkursie ogólnopolskim, ho, ho, ho.
564:  Czyli ja daję dziecku lepsze perspektywy i moje dziecko jest lepsze niż twoje, ho, ho, ho.
568:  wygrywam sobie w moim dziwnym snobistycznym rankingu.
571:  Oczywiście dzieje się to kosztem psykiki i Kasi i Gosi, która jedna i druga zresztą są w ten sposób zmuszane do wyścigu szczurów wzajemnego, ale rodzice się mogą uchachać, tak?
581:  Bo robią dokładnie to, czego zostali nauczeni w szkole, czyli porównują się ze sobą.
585:  To jest mój komentarz do tego problemu i tej zabawy w policjantów i złodziei.
591:  Porównywanie jest największym problemem edukacji.
596:  W edukacji nie chodzi o to, żeby się porównać.
597:  Nie chodzi o to, żeby być dobrym na tle.
599:  Chodzi o to, żeby być lepszą wersją samego siebie z wczoraj.
603:  Jutro.
604:  O to chodzi w edukacji.
605:  Zawsze.
605:  Nie chodzi o to, żeby być lepszym od kogoś innego.
607:  O to chodzi w durnych grach kompetytywnych i w grach zespołowych możemy sobie oglądać, możemy sobie czerpać z tego przyjemność.
613:  Ja nie czerpię z tego przyjemności.
614:  Mam wystarczająco kompetytywny zawód, niestety, z czym walczę, ale no właśnie, tak wygląda ta walka.
620:  żeby jeszcze do tego wszystkiego robić to dla przyjemności.
623:  Rozumiem, że dla kogoś może to być ucieczka od rzeczywistości i się tym będzie jarał, natomiast na pewno nie należy ludzi do tego zmuszać, ponieważ nie jest tak, że wszyscy czerpią z tego przyjemność i satysfakcję.
634:  Raczej myślę, że warunkuje się nas do tego, żebyśmy zaczęli czerpać z tego satysfakcję
638:  I rzeczywiście miej ten zastrzyk dopaminy, jeżeli zobaczymy więcej punkcików przy naszym nazwisku, albo jeżeli zobaczymy siebie na samym szczycie.
645:  I żeby nie było, dużo jest takich wzorców kulturowych niewłaściwych, z których czerpiemy inspiracje.
651:  Nawet w Potterze były te idiotyczne klepsydry, do których były sypane punkty i później Dumbledore, żeby hottusia pottusia wynagrodzić.
658:  A, to teraz dosypiemy do klepsydry mnóstwo kryształków dla Gryffindoru, bo go, go, Gryfonii!
664:  I przez to dzielni ludzie ze Slytherinu i Ravenclaw byli dyskryminowani, ponieważ oni się uczyli przez cały czas.
671:  No ale, przepraszam, nie mieli w swoim gronie wielkiego Pottera.
676:  No to sorry, sorry, przegrywacie w tym wyścigu.
680:  To jest właśnie przykład tego, jak w niewinny sposób może nam się komunikować coś, co jest absolutną patologią.
686:  I zauważcie również, że wykracza całkowicie poza ten fetysz obiektywizmu, do którego sobie jeszcze zresztą wrócimy i który jest całkowicie niezgodny z polskim prawem oświatowym.
694:  Tak będziemy dzisiaj do tego wracać, ponieważ w odróżnieniu od poprzedniego odcinka dla każdego coś przykrego poświęconego oceną, teraz już wiem, że te rozwiązania, które krytykuję są niezgodne z polskim prawem, ale co tam.
706:  W artykule dalej czytamy...
708:  że po pierwsze, niewiedza to nie jest nic złego, tak?
712:  W związku z powyższym cały system, który jest skoncentrowany na tym, żeby ukarać nas za to, że popełniliśmy błąd, już jest naganny.
720:  Co więcej, możemy się nie wywiązywać z naszych obowiązków z różnych powodów, prawda?
725:  Może być to brak wysiłku, może być to brak motywacji wewnętrznej, ale może być to jak cokolwiek innego, może być to dyskalkulia, prawda?
733:  Przez lata całe nie wiedziałem, dlaczego ja mylę ze sobą siódemkę, jedynkę i inne tego typu rzeczy i rozumiem, jaki powinien być wynik, ale on absolutnie nie wychodzi.
741:  Jakimś cudem, jak tego samego rodzaju obliczenia wykonywałem z wykorzystaniem kalkulatora, to problem znikał, bo nie zapisywałem tych cyfr.
748:  Dziwna sprawa.
749:  Z pewnością jest na to jakaś nazwa.
751:  ADHD i wszelkie inne dysfunkcje, które możemy mieć, a jest tego oczywiście sporo, ponieważ nauczanie powinno być za każdym razem indywidualizowane, a nie jest.
760:  Diagnoza jest ważna i to, z czego to wynika zatem.
762:  Jeżeli jest lenistwa i nudy, to wtedy interwencja rodziców jest skazana.
765:  W drugim wypadku trzeba pochwalić za starania, wysiłek, ale niestety polska szkoła ma kłopot w docenianiu wysiłku.
770:  I tutaj dochodzimy do czegoś, co polecę Wam bardzo, to znaczy długa rozmowa na kanale Healthy Gamer poświęcona temu, jaki problem mają tak zwane gifted kids, czyli dzieci zdolne.
783:  Ludzie, którym się chce, którzy są ambitni i którzy...
786:  Wbrew pozorom są przez system jeszcze bardziej niedoceniani niż ludzie z tak zwanymi rozpoznanymi już problemami.
792:  To są na przykład szkoły specjalne, prawda?
795:  Jest dodatkowy nauczyciel, który pomaga w procesie kształcenia.
798:  Natomiast jeżeli ktoś jest dobry i chce zrobić coś więcej, to najczęściej jest dociskany
803:  do ziemi, żeby była, wiecie, urawniłowka.
807:  Zawsze będę przywoływał wzorców sowieckich, PRL-owskich, wspaniałych, które w dalszym ciągu cieszą się poparciem polskich konserwatystów, którzy z PRL-em w innych okolicznościach walczą.
818:  Fuck logic!
820:  I prawo to mówi, że wszyscy muszą być równi, tak?
823:  Dorównujemy do najniższego, żeby nie było tak, że ktoś się za bardzo wybija, nie?
827:  Systemy anglosaskie zostały skonstruowane zupełnie w innym celu, to znaczy po to, żeby właśnie wyłuskać tego jednego, a nie całą resztę, co też swoją drogą prowadzi do patologii, ale o tym porozmawiamy w innych okolicznościach.
838:  Wracając do tekstu.
840:  Problem polega na tym, że te wszystkie oceny, którymi się rodzice tak przejmują i o które tak rozpytują, wywołują nieprawdopodobny stres i zresztą ten stres jest dobrze udokumentowany już w badaniach naukowych, ponieważ jak zobaczymy sobie chociażby na...
855:  Artykuł, który został opublikowany dosłownie w tym roku, znaczy nie, w zeszłym roku, w 2021, ale niedawno się o nim dowiedziałem, na łamach Journal of Education Policy, Konsequences of School Grading System on Adolescent Health, Evidence from Swedish School Reform.
873:  Zostało tam opublikowane szereg bardzo ściśle udokumentowanych badań i prób empirycznych na bardzo dużej grupie ludzi.
883:  Nie będę w tym momencie w to specjalnie zagłębiał, odsyłam was do tekstu, że istnieje bezpośrednia korelacja między ocenami i stresem z tego wynikłym, a różnego rodzaju symptomami psychosomatycznymi, o których zresztą wspomniano w tym artykule.
898:  Może to być brzul brzucha, mogą być to wrzody żołądka,
902:  które się potrafią pojawić w bardzo późnym wieku.
908:  Mogą być to bóle głowy, może być to
913:  jakikolwiek inny problem gastryczny, od nudności po wymioty.
917:  Można mieć do dużo różnych czynników i zawsze będę powtarzał, że tego rodzaju reperkusje i konsekwencje odczuwa się po raz pierwszy wtedy, kiedy dostaje się rachunek od lekarza, oczywiście lekarza prywatnego, ponieważ na przykład, nie wiem, gastrologowie przyjmują tak do dwóch miesięcy, do trzech miesięcy z NFZ-u, albo to i tak jest wtedy dobrze.
935:  No, no, no, więc wtedy człowiek zaczyna odczuwać to, jak słyszy od lekarza, że no, to proszę zredukować stres, ale ja nie mam już stresującej pracy.
943:  Ale organizm mówi co innego.
946:  No więc to jest pierwsza kwestia, która jest problematyczna, a druga, która jest równie niedobra, to jest life satisfaction, czyli poziom satysfakcji z życia, który zresztą jest bardzo zróżnicowany i genderowo, i wiekowo, ale jedna rzecz łączy wszystkie grupy wiekowe, to znaczy on spada.
962:  I autorzy tego rodzaju badań, pamiętajcie jeszcze, do tego wszystkiego odwołują się do kontekstu szwedzkiego, a w Szwecji mamy, czy było śmieszniej, bardzo podobny system jak to się dzieje u nas, to znaczy jak wejdziemy na stronę,
979:  Rządowe Szwecji, dowiemy się oczywiście tego, co zawsze się dowiadujemy ze stron rządowych, to znaczy, że edukacja jest bardzo ważna, że wszyscy kochają uczniów, dzieci i chcą ich dobra, ale jak zjedziemy sobie na dół i zobaczymy, jakie są oceny i jak one są wystawiane, to został stworzony nowy, od 2012 roku mniej więcej, później w 2011 zreformowany system oceniania,
1002:  który jest zgodny niestety z europejskimi standardami, to znaczy European Credit Transfer and Accumulation System, czyli ECTS, to znana rzecz studentom, koszmar absolutny, który miał na celu ujednolicić różne systemy oceniania, a przez uniwersytety został wykorzystany, wiecie do czego?
1016:  No nie zgadniecie do czego, że jak student wyjeżdża na Erasmusa i dostaje przedmiot, który ma na przykład przypisane apriorycznie trzy punkty ECTS i ma inny przedmiot, który go bardziej interesuje, jest zgodny z jego zainteresowaniami, ale ma dwa punkty ECTS,
1031:  Chyba już wiecie, do czego to prowadzi, prawda?
1033:  To znaczy, że jeżeli w programie mamy studiów trzy przedmioty za trzy ECTSy i jeden przedmiot za dwa ECTSy i ten jeden przedmiot za dwa ECTSy jest zajęty już w Polsce i na wyjeździe na Erasmusie mamy jakieś inne dobrać, no to tamtego za dwa już nie dobierzemy.
1046:  Ale on jest zgodny z moimi zainteresowaniami.
1048:  Haha!
1048:  Masz problem!
1049:  W ten sposób działają także uniwersytety.
1052:  Brawa, brawa, świetny pomysł, myślę, że to jest zgodne z ideałami akademickimi, które są pielęgnowane po Nowej Europie od czternastego stulecia.
1061:  Szkoda, że bardzo odchodzimy od tych ideałów akademickiego kształcenia.
1065:  Zaraz zresztą ktoś mi powie, że to jest z uwagi na masowe kształcenia, a do tego też sobie wrócimy, bo to jest równa bzdura.
1070:  W każdym razie problem polega na tym, że nawet w Szwecji, która jest częścią krajów skandynawskich, zawsze chwalonych za dobry system edukacji, przeprowadza się badania, które mówią o bezpośrednim wpływie oceniania i tego rodzaju stresogennych czynników jak oceny numeryczne, chociaż akurat w Szwecji są oceny literowe A, B, C, D, E i F, z czego jedynie F jest oceną negatywną, to w dalszym ciągu ma to reperkusje negatywne.
1096:  No to pomyślcie, co musi być w Polsce, gdzie oczywiście tego rodzaju badania na taką skalę nie są prowadzone, ponieważ po pierwsze są one bardzo drogie, a po drugie, któż by się w Polsce przejmował zdrowiem psychicznym uczniów, więc tak, mamy pewien problem, rzekłbym, z tym, żeby wdrożyć wyniki badań właśnie takiego autoramentu na terenie polskim.
1118:  To co, wracamy do artykułu, tak?
1119:  W artykule dalej czytamy...
1122:  że to, co zwykle powtarzam, to znaczy, że to jest system pruski, to możemy sobie radośnie pominąć, natomiast tu jest kluczowa rzecz, którą chciałem poruszyć.
1129:  Kto chce tych ocen, prawda?
1131:  Obecnie coraz więcej szkół czytamy, decyduje się na rozwiązania bezocenowe, na razie te niepubliczne.
1137:  W szkołach publicznych wydaje się, że są dwa hamulce, głosy są podzielone, który jest mocniejszy, czyli nauczyciele i...
1143:  Rodzice.
1144:  A rodzice skąd mają, myślicie, problem z ocenianiem?
1147:  A przepraszam, to dlatego, że kiedyś też byli uczniami i oczywiście zapomniał wół, jak cielęciem był.
1153:  Według profesora Śliwerskiego proces zmian zaczyna się od tej pierwszej grupy.
1156:  Gdy stoło oceny uczeń musi się uczyć, nie ma wyboru, bo inaczej nie zda.
1160:  Stopnie przynoszą więc odpowiedzialność procesu uczenia się z nauczyciela na ucznia.
1164:  Odejście od ocen wymaga radykalnej zmiany sposobu motywowania do uczenia się.
1169:  A do tego z kolei potrzeba poświęcenia i ogromnego nakładu pracy.
1172:  Łatwiej jest wejść do klasy i powiedzieć, otwieramy zeszyty, piszemy dyktando.
1177:  Łatwiej jest wezwać do tablicy i postawić ocenę.
1180:  To jest łatwe.
1183:  I teraz nie dziwcie się, drodzy nauczyciele, jeżeli ktokolwiek tego słucha, że uczniowie i rodzice będą krzywo patrzeć na postulaty, które są formułowane językiem przywileju i nieznośnych pretensji.
1197:  To znaczy, że ja uważam, że zawód nauczyciela to jest misja.
1203:  I ponieważ to jest misja, to jest zawód lepszy od innych zawodów.
1208:  Jest lepszy niż hydraulik, jest lepszy niż ten słynny kopacz rowów.
1211:  Pamiętajcie, że wszyscy zostaliśmy kopaczami rowów, ponieważ mieliśmy niskie oceny.
1217:  Ja myślę, że jesteśmy najlepiej zmelioryzowanym krajem w Europie, to znaczy rowy zostały tak wszędzie
1225:  zryte, że myślę, że pod Polską jest podimperium skawenów co najmniej, w którym szerzy się szczurzy lód i spiskuje przeciwko rządzącym.
1234:  Z pewnością tak jest, ponieważ jest tyle rowów wykopanych przez tych wszystkich ludzi, którzy mieli złe oceny.
1240:  Ta narracja precyzyjnie, którą jest bardzo często niestety wykorzystywana, że nauczycielom się należy bardziej, bo innym się należy mniej, jest fatalna w tym kontekście konkretnym.
1251:  To znaczy, jeżeli ludzie widzą, że są pewne rozwiązania, które są łatwiejsze i akurat przypadkowo one są wybierane.
1258:  I teraz druga rzecz.
1260:  Czy rzeczywiście tak jest z tym czasem, który jest poświęcany?
1265:  Bo widzicie, ja sobie przypominam taką rzecz.
1268:  Dostawałem te punkciki, dostawałem te ocenki, śmieszne i żenujące, oczywiście strasznie się tym przejmowałem na on czas, po czym nie rozumiałem, dlaczego dostałem taką ocenę.
1278:  Więc oczywiście była jedna lekcja poświęcona sprawdzianowi, następnie nauczyciel w swoim czasie poprawiał te 40 prac, więc no nie wiem,
1288:  długo to zajmuje, nie?
1290:  Ze 20-30 minut na jedną pracę, razy 40, robi się z tego sporo i nagle przypominamy sobie argumenty nauczycieli, którzy mówią, nie, etat to nie są tylko godziny przy tablicy.
1301:  Ale, ale...
1304:  Ale to ty chcesz, to ty dzwonisz, to ty zrobiłeś ten sprawdzian.
1310:  Jeżeli szkolny tego wymaga, to o czym sobie powiemy za moment, to można zmienić.
1315:  Jeżeli dyrektor tego wymaga, to rada pedagogiczna powinna protestować, bo ministerstwo tego nie wymaga.
1321:  Polskie prawo oświatowe tego nie wymaga.
1324:  Więc nie mów później, Kiepie, że masz dużo roboty, kiedy sam decydujesz o tym, żeby ją mieć.
1331:  Ale potem, baby, jeszcze następną lekcję zmarnowano, tak?
1334:  No bo przychodzi się z tymi sprawdzianami i jest słynna, ulubiona przez wszystkich, bo wtedy się nie realizuje podstawy programowej.
1352:  Tylko omawia się wyniki sprawdzianą.
1356:  Nauczyciel podaje wtedy poprawne odpowiedzi i ludzie podchodzą do...
1361:  biurka ze swoimi tekstami, ze swoimi wynikami i pytają o to, dlaczego tu mają minus albo dlaczego tu mają niemaksymalną liczbę punktów.
1376:  I wiecie, co wtedy dostają?
1381:  Jak spytają o to?
1382:  O cenę opisową!
1384:  O cenę opisową!
1387:  To jest ocena opisowa.
1388:  Dlaczego w takim razie ktoś wystawia oceny numeryczne i punkciki i procenciki, skoro potem i tak wystawia ocenę opisową?
1396:  Dlaczego nie można napisać jednego zdania uzasadnienia?
1398:  I nie, nie dotyczy to tylko nauczycieli szkolnych.
1401:  Krew we mnie wrzy, jak widzę prace licencjackie chociażby, czy magisterskie oceniane w ten sposób, że jest sobie jeden akapit, po czym komentarz STYL ŻYĆ GURT
1413:  Co to znaczy?
1413:  Jaki styl, jaki rzecz, jaki ord?
1415:  Napisz kiepie, co jest źle.
1417:  Przepisz to zdanie, pokaż, jak ono ma wyglądać inaczej.
1421:  Wskaż, gdzie jest błąd.
1422:  Daj link do definicji słownikowej.
1425:  Co mnie obchodzi nazwa tego błędu?
1427:  Zwłaszcza, że znam lepsze nazwy tego rodzaju błędów.
1429:  I co mogę powiedzieć, że coś jest na przykład... No nie wiem.
1435:  Non sequitur.
1439:  No i tak, za każdym razem jak piszę studentom non sequitur, to wyjaśniam, co to znaczy, że to jest błąd, w którym zakładamy, że coś wynika, a tak naprawdę nie wynika to z poprzedniego zdania.
1450:  Piszę taką pierwszą definicję, na czym polega błąd non sequitur, żeby człowiek wiedział następnym razem, o co chodzi i w jaki sposób można to poprawić.
1457:  Tak, zajmuje to trochę czasu, ale równocześnie wtedy poprawianie jest nauczaniem.
1464:  Czytanie swojej poprawionej pracy jest tożsame z procesem kształcenia.
1469:  Najwięcej nauczyłem się, przeczytawszy kiedyś ośmiostronicową recenzję mojego artykułu naukowego.
1475:  No nie, batożu, akapit po akapicie, że bredzę.
1479:  Mówię, źle byłem studentem, wydawałoby się, że złapałem Pana Boga za nogi, wiedziałem wszystko.
1483:  Pech chciał, że napisałem akurat o jakimś terminie angielskim, który wymyślił tenże recenzent, bo kierowałem artykuł do czasopisma obcojęzycznego.
1493:  I nauczyłem się z tych 9 stron negatywnej recenzji więcej niż w ciągu całych 10-letnich studiów, wyliczając to studia doktoranckie.
1502:  Myślicie, że nauczyłbym się czegoś, gdyby ten recenzent pisał mi RZECZ!
1507:  RZECZ!
1508:  RZECZ!
1509:  Bo były błędy rzeczowe?
1511:  I dał mi na końcu 1?
1513:  Nie, niczego bym się z tego nie nauczył, a tak się nauczyłem.
1516:  Na tym polega właśnie proces kształcenia i na tym polega również samokształcenie i przeraża mnie strasznie, że ludzie tego nie rozumieją, ponieważ to jest absolutnie kluczowe dla wdrożenia w nas samych mechanizmów samooceny.
1530:  Człowiek się nie uczy oceniać samodzielnie,
1534:  kiedy ktoś inny za każdym razem ma władzę wystawiania mu stopni.
1538:  I to on decyduje o tym, czy to będzie 1, 2, 3, 4, 5, 6, 7, 8, 15, B czy F, czy wszystko jedno, 25%.
1542:  No to wtedy co, będziemy sobie sami wystawiać 25%?
1552:  Jak można mieć pretensje do ludzi, że mają zaniżoną albo zawyżoną samoocenę, albo w ogóle nie umieją sami siebie sprawdzić, albo nie umieją napisać listu motywacyjnego do korporacji, albo nie umieją sami zdefiniować swoich słabych i mocnych stron, skoro nikt ich tego nie nauczył?
1568:  Skoro nikt nie nauczył ich mechanizmów samorefleksji najbardziej podstawowych?
1573:  A więc tak, to jest problem, moi drodzy, to w jaki sposób raportujemy błędy.
1578:  I ktoś tego musi się nauczyć.
1581:  Wykładowcy, którzy wykładają na uczelni i robią tego rodzaju fundamentalne błędy pedagogiczne, też się nauczyli tego od nauczycieli, którzy kiedyś im pisali na marginesie styl, rzecz, int, ort.
1592:  I oczywiście mieli tabeleczkę, jak są egzaminatorami maturalnymi, gdzie mieli, że dwa błędy ortograficzne to niezaliczone, a trzy błędy interpunkcyjne to to.
1602:  I wiecie, jest taki wykaz, tak jakby to była sprzedaż ziemniaków, albo przelicznik w kantorze, gdzie przeliczamy sobie liczbę błędów na punkciki.
1610:  Przecież to jest piramidalna bzdura, to po pierwsze, a po drugie potworna strata czasu.
1617:  Bo ja, żeby wystawić tego rodzaju ocenę, muszę zajrzeć do tego pieprzonego karkusika, sprawdzić w tym kantorze, jaki jest przelicznik aktualny dolara, czyli w tym przypadku błędu ortograficznego i zdecydować, czy faktycznie to występuje tutaj, bo oczywiście nade mną stoi urzędnik i będzie sprawdzał, czy ja to zrobiłem poprawnie.
