ŁACINA wraca do szkół. W 2023 roku 😆 | Dla każdego coś przykrego #41
🔗 https://www.youtube.com/watch?v=aJl49ch-56s

0:  Wybudowałem pomnik trwalszy niż ze Spiżu.
367:  A jeżeli jakiś system jest lepszy od człowieka w dostosowaniu się do numerków, procentzików, to zakładam, że jest to system, który w swoim DNA ma kod binarny i trochę to jest dla niego naturalne.
379:  Jest w stanie probabilizować odpowiedzi o wiele lepiej niż człowiek.
383:  I tak, tak, tak.
383:  Ten sam system, niech wam to nie umknie, jest wykorzystany przez magistraturę niełuki i szkodnictwa wyższego do udowodnienia tezy, że trzeba przywrócić łacinę do szkół.
392:  I nikt nie widzi w tym najmniejszego problemu, co więcej nikt nie widzi w tym absurdu, że sięgamy czegoś... Ja wiem, że to było zrobione w formie żartu, ale ten żart tak rykoszetował w kolano, że trudno się z tego nie zaśmiać.
404:  Ale ja pomyślałem, moi drodzy, że w...
407:  Konfrontacji z tak dobrze przygotowaną argumentacją, bo nie oszukujmy się, to jest ta argumentacja profesjonalna, która tradycyjnie jest przygotowana na nutę dobrze znaną w Polsce, ja mam skrzypkę, skrzypkę co nuci, o tym co było, co już nie wróci, że spróbuję zainscenizować taką dyskusję, w której ja ustąpię przed naporem takich argumentów.
428:  No i pomyślałem, że zaproszę do studia panią z łaciny.
432:  Pani z łacina będzie informować, dlaczego łacina jest najlepszym dobrem kultury i dlaczego jej wprowadzenie jest absolutnie konieczne.
441:  Wnusiu, ja uważam, że nauka łaciny jest istotna, bo dawniej, dawniej wnusiu uczono, ja wiem pani z łacino, że dawniej uczono łaciny, ja wiem, ale dawniej na przykład był również podział języka polskiego dla historii literatury.
459:  I język polski, tak było w dwudziestoleciu międzywojennym, w gimnazjum w Jarosławiu chociażby tak uczono.
464:  Kiedyś znalazłem takie świadectwo w gimnazjum w Jarosławiu, w Bibliotece Jagiellońskiej, jak jeszcze byłem na studiach i dowiedziałem się tamtego.
470:  No i pani Złacino, myślę sobie, dobra opcja, tak?
473:  Uczmy języka polskiego na przykład z kultury najnowszej, z gier wideo, z mang, z anime.
477:  I uczmy przede wszystkim ludzi poprawnie mówić, bo na razie mówią gorzej od czatu GPT, a piszą jeszcze gorzej.
482:  Więc chyba to powinno być priorytetyzowane ostatecznie języka angielskiego.
485:  Uczymy się w taki sposób, że no właśnie, ćwiczymy język, a nie czytamy od razu XVI-wieczną angielszczyzną.
491:  Prawda?
491:  Myślę, że to jest dobra opcja.
493:  I na tej zasadzie moglibyśmy argumentować, że nauka łaciny przydaje się do tego drugiego modelu z przywołanych, prawda?
500:  To właśnie do tego czytania XVI-wiecznych ramotek.
503:  A jakie ramotki wnosił?
505:  Kochanowski pisał po łacinie, biskup Krasicki pisał po łacinie.
510:  Ale pani z łaciną, biskup Krasicki również robił orgietki w swoim pałacu.
514:  Rozumiem, że wedle tej logiki mamy przywrócić robienie orgietek w pałacach biskupi.
518:  Jaś wynosi, jak możesz tak mówić, że biskup Jorgiet nigdy tak nie było, nigdy.
524:  I biskup Krasiwski jeno po łacinie pisał i ci musisz, musisz poznać, jak inaczej przeczytasz Kochanowski, jak inaczej przeczytasz Krasiwskiego.
533:  No pani z łacino mam
535:  innowacyjną ideę.
536:  No nie przeczytam, bo nie ma to najmniejszego sensu.
539:  Ludzie dzisiaj potrzebują nie nauki języków, zwłaszcza języków starożytnych i martwych, ba, powiedziałbym, że nawet nie potrzebują nauki tego drugiego i trzeciego i czwartego języka nowożytnego.
549:  Potrzebują raczej perfekcyjnie znać angielski i następnie 3-4 języki oprogramowania.
555:  Ciągle słyszymy od magistratury szkodnictwa i niełuki, że tak, że szkoła ma być innowacyjna, że ma się rozwijać, że kupimy tablety,
562:  Gdzie tu jest logika, że z jednej strony kupujemy tablety, a z drugiej strony będziemy uczyć rabotek XVI-wiecznych i łaciny?
568:  Może warto byłoby w zamian za to wprowadzić przedmioty opcjonalne, obieralne, tak?
574:  Też z maturą, jeżeli ktoś bardzo musi, ale z języków programowania.
578:  które wydaje mi się przydadzą nam się bardziej w konfrontacji z AI.
582:  No bo jeżeli przychodzą nowe modele sztucznej inteligencji, robotyzacja społeczna, to cóż mi da to, że ja się skonfrontuję z AI i powiem kanis longus o jamniku, skoro raczej powinienem się komunikować ze sztuczną inteligencją tak, żeby na przykład okarbować ją, tak, żeby nie rozwiła się w kierunku, w którym bym nie chciał, albo żeby nawet rozumieć po prostu jej funkcjonowanie.
605:  A w wynosie ty właśnie nic nie rozumiesz.
608:  bo łacina to jest, to jest serce bijące, ale martwe cokolwiek, bijące wciąż serce kultury Zachodu i Europy i musimy, żeby zaprowadzić święte cesarstwo narodu polskiego na ziemiach.
627:  europejskich i podbić wszystkich na wschodzie, na zachodzie, na północy i na południu.
635:  Musimy mieć język nowy, tak jak to on dziś bywało.
638:  Na uniwersytetach była łacina i wszędzie była i w kulturze była łacina.
643:  Przywróćmy to.
645:  Było wtedy dobrze, to będzie teraz dobrze.
647:  Pani Złacino, jest jeden problem.
649:  To znaczy, od tamtego czasu trochę się nam rozszerzył świat po tezat Europę.
654:  To znaczy, tak, na początku Europejczycy myśleli, że rozszerza się świat w ten sposób, że się go kolonizuje i podporządkowuje i zaprowadza się tam swoje języki wernankularne, czyli te języki, które są rodowite europejskie.
665:  Ale teraz wiemy, że na świecie są także inni ludzie.
668:  Ba, rzekłbym pani Złacino, że w Indiach i w Chinach samych, to znaczy, przepraszam, w zachodnim Tajwanie
674:  jest w tym momencie więcej ludzi niż w Europie i chyba tam nie uczy się łaciny, ba, rzekłbym, że w jednym z najlepiej rozwiniętych gospodarek świata, to znaczy w Japonii, w Korei Południowej, także nie ma łaciny, a jakimś cudem ludzie rozumują tam logicznie, jakimś cudem ludzie przeprowadzają innowacje technologiczne, o których nam się nie śniło na ziemiach Polski, ba, nawet w części Europy, czyli jednak ta łacina nie jest elementem i komponentem koniecznym do tego, żeby zrobić...
703:  To jest, moi drodzy, argumentacja, z którą człowiek się musi stykać, tak?
706:  Znaczy, mamy taką panią z łaciny, której nie
717:  przekonacie.
718:  Jeszcze byłoby wszystko w porządku, gdyby to była wyimaginowana i cokolwiek zwariowana staruszka, która sobie tak mówi, ponieważ ona dobrze wie, że dawniej było lepiej, ale niestety problem polega na tym, że w stylu pani z łaciny wypowiadają się nie tylko Ministerstwo Niełuki i Szkodnictwa Wyższego, ale wypowiadają się również moi uczeni koledzy i równie uczone koleżanki z Filologii Klasycznej i Studiów Śródziemnomorskich UMK, gdzie czytamy o
743:  ważnych faktach.
744:  Nauka łaciny nie jest obowiązkowa.
746:  Decyzja ministerstwa nie przybliża nas do średniowiecza.
748:  No nie, no nie do średniowiecza, przybliża nas do starożytności, nie do średniowiecza.
752:  Następnie, że łaciny nie będą uczyli księża.
754:  W ogóle co ma to do rzeczy, że nie będą uczyli księża?
756:  Wszystko mi jedno, kto będzie uczył czegoś, co i tak się w życiu nie przydaje, ponieważ potrzebujemy, jako się rzekło, czegoś zupełnie innego w szkolnictwie, gdzie
763:  Nie ma edukacji seksualnej, sensownej, ale będziemy się uczyć martwego języka jako opcji.
768:  Trzej, że nie ma nauczycieli łaciny.
769:  Oczywiście, że będą nauczyciele, ponieważ się pojawią.
772:  I co więcej, dyrektorzy z radością zaoferują już i tak przeciążonym nauczycielom wzięcie jeszcze jednego etatu i uczenie tej nieszczęsnej łaciny, która będzie nauczana dokładnie tak samo, jak mnie uczono łaciny.
782:  A wiecie, jak mnie uczono łaciny?
783:  Ach, powiem wam, jak mnie uczono łaciny.
785:  Mianowicie, Galia Estomis, Dywizja Inparte, Starostanów Unii Europejskiej, Belgia...
788:  I tak mógłbym mówić jeszcze długo.
789:  Pamiętniki wojny galijskiej Juliusza Cezara.
791:  Co mi z tego, że je znam?
801:  Umiem mówić po łacinie?
802:  Umiem się przedstawić po łacinie?
804:  Jedyne, co potrafiłem powiedzieć, to nazwać jamnika i to wciąż nie jestem pewien, czy słusznie.
808:  Nie ma, jest to operatywny język dla mnie, on wciąż jest martwy.
812:  Tak, pomaga mi w doszukiwaniu się na przykład, nie wiem, źródła słowu jakichś wyrazów, etymologii innymi słowy.
818:  Pomaga mi być może też w nauce języków, jeżeli bym kiedykolwiek chciał, ale akurat nie angielskiego, tylko prędzej niemieckiego, francuskiego czy włoskiego, które faktycznie się z łaciny wywodzą i mają znacznie więcej zapożyczeń niż język angielski.
831:  który jest jednak najbardziej rozpowszechniony na świecie.
834:  Jasna sprawa, gdybym chciał być historykiem, nie wiem, starożytności, to niewątpliwie płacina by się przydała.
838:  Ba, gdybym chciał być tłumaczem języków starożytnych, pewnie też, ale tylko w tych konkretnych przypadkach, więc jeżeli pracownicy Instytutu Filologii Klasycznej mówią coś takiego, to mówią to o sobie,
849:  o swoim ideale studenta erudyty i jeszcze na końcu dodają informację, która naprawdę powinna była być opatrzona przypisem, że rozpoczynanie łaciny w wieku 12-13 lat jest w porządku, ponieważ dzieje się tak w Belgii, Niemczech, Włoszech i Austrii.
862:  Gdzie jest przypis?
863:  Gdzie się dzieje?
864:  Czy zostało to prowadzone?
865:  Kiedy zostało to prowadzone?
866:  W szkołach publicznych?
866:  W szkołach wyznaniowych?
867:  W szkołach prywatnych?
868:  A z jakich powodów?
869:  Jak to było argumentowane?
871:  Czy mamy badania na temat tego, czy faktycznie uczniom to do czegoś pomogło i przydało się, czy nie?
875:  Czy wreszcie, nie wiem, na przykład mamy dowody w postaci tego, że
878:  Rekruterzy w HSBC, w dużych korporacjach mają, nie no, panie, pierwsza rzecz to język angielski, druga rzecz znajomość pakietu Office, no trzecia to łacina.
887:  Czy umówmy się, my nie przyjmujemy na stanowiska do HSBC ludzi, którzy nie znają łaciny.
893:  Wyobrażacie sobie, że ktoś przychodzi do banku, chce wypłacić pieniądze, załóżmy, ma fetysz wzięcia gotówki, nie wiem, ja miałem od 15 lat gotówki w rękach, ale może ktoś potrzebuje, no i wy jako bankier nie znacie łaciny?
907:  Jak wy sobie wyobrażacie obsłużenie takiego człowieka?
913:  Więc wiecie, zmierzam do tego, że tak, jest to opcja.
917:  Tak, jest to wprowadzone w podstawówce, możemy dyskutować, czy jest to słuszne, czy nie.
921:  Ale jest to wprowadzone dla ekstremalnie wąskiego przekroju społeczeństwa.
926:  I nie jest to tak, że ta opcja będzie, o nie wiem, finansowana z, no ja wiem, Funduszu Świętego Cesarstwa Rzymskiego Narodu Niemieckiego, którego już nie ma.
937:  Nie, to będzie finansowane z naszych podatków, tak samo jak i wszystkie inne eksperymenty w szkolnictwie.
942:  W związku z powyższym, jeżeli ja czytam, że zamiast wprowadzenia nauki programowania do szkół, poza tymi żenującymi lekcjami informatyki, tudzież w miejsce wprowadzenia np.
952:  informatyki,
952:  lekcji creative writingu, kreatywnego, twórczego pisania, które się przyda literalnie każdemu, niezależnie od tego, czy ktoś będzie w swoim życiu komponował ulotkę, ogłoszenie o pracę, artykuł prasowy, czy też cokolwiek innego w formie pisemnej, co będzie w stanie rywalizować z czatem GPT i innymi tego rodzaju modelami, w związku z powyższym będzie musiało być napisane naprawdę dobrze.
972:  to w miejsce tego wprowadzamy naukę języka martwego, które nawet mnie się nie przydaje w takim stopniu, ba, naukę języka martwego, który jest relewantny, właściwy i przydatny wyłącznie w konkretnym kręgu kulturowym.
986:  Ponieważ nie pomoże wam w żaden stopniu poznawać kultury wschodu, dalekiego wschodu również i równocześnie uczula nas na takie dość niebezpieczne przekonanie, że kultura europejska, zachodnioeuropejska z jej dziedzictwem kulturowym to ta najlepsza.
1002:  że macie znać tylko mitologię grecką i rzymską, nie na przykład mitologię starożytnego Sumeru albo japońską, co nie jest do końca słuszne, ponieważ żyjemy teraz w społeczeństwie globalnym.
1012:  Nie ma XIX wieku, już ja wiem, w szkołach wciąż jest, ale nie ma teraz XIX wieku, żyjemy w wieku XXI, gdzie jest internet, gdzie porozumiewamy się wszyscy i gdzie jednak trzeba mieć troszeczkę szerzej klapeczki otwarte niż pani z łacina, która wie, że dawniej tak było w duszu i tak trzeba...
1032:  Szerzej, tak?
1033:  Trzeba orientować się, że na przykład są takie Upanishady, chociażby, które też nie przeczytacie, nie znając sanskrytu, ale równocześnie jest taki Matrix wśród łaciowskich, gdzie pojawiają się wersety z Upanishad w piosence Neodamerung, czyli utworze Neodamerung na płycie z Matrixa.
1049:  No i co?
1050:  I nagle się okazuje, że ja bym mógłby powiedzieć, że nie, no każdy, kto chce studiować współczesną kulturę i istotne filmy, jakimi są kolejne części Matrixa, no musi znać sanskryt.
1060:  Umówmy się.
1061:  Pogrzeb Padme Amidali chociażby.
1063:  Minor spoiler w Gwiezdnych Wojnach.
1065:  Kompozycja Johna Williamsa.
1067:  Co jest śpiewane?
1068:  Wersety w sanskrycie.
1069:  Czyli co?
1070:  Znowu potrzebujemy sanskrytu?
1071:  No oczywiście, że nie.
1073:  Potrzebne jest to wariatom, nerdom, którzy po prostu chcą tego, którzy rzeczywiście będą się w jakiś sposób realizować,
1081:  ale nie na poziomie podstawówki.
1083:  Jeżeli ktoś się chce w tym kierunku realizować, pójdzie na studia filologiczne, humanistyczne albo do klasy humanistycznej w liceum i tam jak najbardziej taka opcja może być.
1092:  Natomiast w momencie, gdy robimy to na poziomie podstawówki i to jeszcze opcji w miejsce języka nowożytnego drugiego, mamiąc ludzi, że to jest po to, żeby lepiej poznawać inne języki nowożytne,
1103:  Darujcie, ale nie ma w tym żadnej logiki.
1105:  To znaczy jest właśnie logika.
1106:  To jest ta logika tej starej pani z łaciny, która cały czas powtarza to, co uwierzyła.
1112:  I tu wraca rzecz, którą bardzo często na łamach dla każdego coś przykrego poruszamy, że liczy się dla ludzi niewiedza,
1119:  Tylko wiara, tak?
1121:  Tak jak dla Instytutu Filologii Klasycznej na UMK, gdzie naukowcy nie uważają za stosowne dawać przypisu do danych, które podają.
1130:  I te dane, swoją drogą, są podawane po to, żeby skonfrontować się z krążącymi w sieci mnóstwem błędnych opinii dotyczących nauczania szkoły.
1138:  Aha, czyli konfrontujemy błędne opinie z autorytetu, jak zwykle, tak?
1142:  Ex-katedra.
1144:  żeby ludzie nam uwierzyli.
1146:  I na takiej samej zasadzie ludzie wierzą w system, dlatego że przeszli przez wszystkie etapy nauczania, dlatego że wmówiono im właśnie, że potrzebują takiej chociażby łaciny do tego, żeby czytać Kochanowskiego.
1159:  Tylko że wiecie, to się bardzo prosto demontuje.
1162:  Mówi się, tak jak w naszym eksperymencie, no ale co jeśli nie czytasz Kochanowskiego?
1167:  Wtedy nie potrzebujesz łaciny.
1169:  To jest trochę tak, kiedyś miałem taką dyskusję dotyczącą szafek w szkole.
1172:  No tak, szafki w szkole są ważne, tak, tak, ale z drugiej strony, no co zrobisz, jeżeli zostawisz podręczniki w szkolnej szafce, no co wtedy z zadaniem domowym?
1184:  No może nie róbmy zadań domowych, wtedy nie będziemy mieć tego problemu.
1188:  O, niesamowite.
1190:  I tu już jest pewien kłopot, to znaczy każdy z tym chorzy reformator, z tym będziecie rozmawiać, powie nie, nie, nie, nie, nie, to troszeczkę za dużo już teraz, woła, że o za dużo, tak?
1200:  To albo szafki, to spokojnie, tak?
1202:  A potem zadania domowe.
1203:  I tak samo tutaj.
1204:  No to, to, to, to, to, łacina, dobrze, okej, możemy dyskutować, ale nie likwidujemy Kochanowskiego.
1210:  W ten sposób nigdy nic nie zreformujemy i dlatego ja jestem przeciwnikiem reform i jestem zwolennikiem tego, żeby odbudować system na innych założeniach, ponieważ ten, który funkcjonuje w tym momencie jest zbiorem zbyt wielu naczyń połączonych, z których większość jest zasilana paliwem ideologicznym i równocześnie taką wiarą w dogmaty pruskiej edukacji, która jest całkowicie odporna na jakiekolwiek próby argumentacji.
1234:  Mam nadzieję, że pani Złacina nie będzie już wracać, ale coś mi mówi, że mentalność jej jeszcze na długo pozostanie.
1242:  Do następnego.
