ZADANIA DOMOWE muszą zniknąć | Dla każdego coś przykrego #51
🔗 https://www.youtube.com/watch?v=eYZLg-IYxuM

0:  Polski system oćmiaty ma szczególny stosunek do tego, co domowe.
275:  Natomiast ciekawe jest to, co słyszymy dalej, że 45 minut to za mało, żeby oprogramować materiał, bo jak wiadomo, szkoła nie służy do tego, żeby czegokolwiek nauczyć w wymiarze kompetencji czy umiejętności, tylko szkoła służy wyłącznie temu, żeby przyswajać podstawę programową, a pilnie i systematycznie
303:  No i w żadnym razie nie służy temu, żebyśmy na przykład wyszli ze szkoły z konkretnym warsztatem, który pomoże nam w pozyskiwaniu informacji samodzielnie.
311:  No bo wiecie, zadania domowe to chyba ten moment, kiedy musimy pozyskać samodzielnie informację, a nie czekać aż ktoś nam ją podsufluje.
322:  bo chyba o to chodziło z zadaniami domowymi, ale być może wciąż nie rozumiem.
326:  Nie chodzi o to, by zarzucać uczniami godzinami prac domowych lub materiałem, którego nie udało się zrealizować w szkole czy tam w następnym akapicie, co wchodzi w sprzeczność z poprzednim.
334:  Zadanie domowe ma przede wszystkim utrwalać, porządkować, doskonalić nowe umiejętności, także szansa, by... które aspekty wiedzy zostały już opanowane, a na które trzeba więcej czasu.
344:  No i przypomina następną moją sytuację, też anegdotyczną z mojego nauczania, mianowicie lekcje matematyki.
350:  Uwielbiałem to, że na lekcjach matematyki zazwyczaj mieliśmy, zupełnie tak w tutorialach do gier komputerowych, elementarne i podstawowe rzeczy tłumaczone.
360:  2 plus 2 równa się 4.
362:  Ale rozumiesz?
366:  Tu masz 2 i to razem daje... Ale rozumiesz to?
370:  Na pewno rozumiesz?
372:  Natomiast potem było oczywiście zadanie domowe.
374:  Pierwiastek z trzeciego stopnia, z n plus 1 nad 12 plus 40x i tak dalej.
384:  Wiecie dobrze, że tak to wyglądało.
386:  Wystarczy przyjrzeć się idei zadaniu z gwiazdką.
390:  Po co jest ta gwiazdka?
392:  Ona teoretycznie ma służyć temu, żebyśmy wiedzieli, że to jest coś trudniejszego.
397:  Prawidłowo skonstruowane zadanie, które rzeczywiście wzbudza kreatywność, nie byłoby oznaczone gwiazdką.
402:  Po prostu byłoby trudniejsze, jak człowiek by przeszedł i stwierdził, ojej, to jest trudniejsze zadanie.
406:  A może właśnie nie sugerowałby się tym, że to jest zadanie z gwiazdką i podszedł do niego kreatywnie.
412:  A ja za każdym razem, jak widziałem zadania z gwiazdką, to od razu już miałem taki, o Boże, tak, to nie jest dla mnie, to jest dla koła matematyków, to jest dla tych...
420:  To jest dla tej elity, która to robi, bo wiecie, te szkoła naukowe w szkołach nie służą oczywiście temu, żeby pomagać komukolwiek, tylko służą temu, żeby robić fabrykę olimpijczyków, ale to jest wtedy temat jeszcze na inną okazję.
432:  W każdym razie tak wyglądały te zadania najczęściej, to znaczy one nie miały szlifować moich umiejętności z lekcji, tylko przerzucały na zadania domowe tego, czego się nie udało opanować.
443:  I tego, czego się nie udało zrobić.
445:  Ja miałem to zrobić we własnym zakresie i dobrze wiemy, że to jest norma.
449:  W tym momencie tak są konstruowane podręczniki szkolne i tak wygląda gro lekcji.
454:  Niestety.
455:  Natomiast jakby słyszała polemikę nasza autorka, pisze w następnym akapicie już...
462:  że w domu prosi tylko, a uczy 6 lat, czytamy, o wykonanie dwóch, trzech, krótkich, pięciu ćwiczeń, które pozwolą utrwalić materiał poznany na lekcji i nie zajmą więcej niż 15-20 minut pracy.
475:  To jest przepiękne, to znaczy wszyscy znowu wiemy, że nauczyciele mają taką osobliwą predylekcję, skłonność, innymi słowy do tego, żeby uważać, że ich przedmiot jest jednym, jedynym.
488:  No więc...
489:  Droga Pani, jeśli z jednego przedmiotu mamy 15-20 minut, tak, zadania codziennie czytamy, no przepraszam, przepraszam, wyjąwszy sobotę i niedzielę.
504:  bo wtedy trzeba odpocząć.
505:  No, więc jeżeli mamy 15-20 minut z jednego przedmiotu, to ile jest tych przedmiotów w ciągu dnia?
512:  4?
512:  5?
513:  Tutaj by się przydało mnożenie, czyli trudniejsze działanie matematyczne niż dodawanie 2 plus 2 i z tego wychodzi, że aha, przypadkowo docieramy do dwóch, często trzech godzin, o których raportują uczniowie, że właśnie tyle im zajmuje czasu zrobienie wszystkich zadań domowych.
530:  Niespodzianka!
531:  Myślałem, że sobie to wymyślili autorzy raportów, którzy podawali te dane i o których mówiłem w filmie dotyczącym snu i tego, że polscy nastolatkowie śpią najmniej w Europie i wśród krajów rozwijających się.
542:  Oczywiście sobie te dane wymyślili, tak jak to jest z autorami wszystkich raportów, z którymi się nie zgadzamy.
547:  Jak się zgadzamy z jakimiś raportami, to wtedy nie podważamy metodologii.
551:  Natomiast jeżeli się nie zgadzamy z jakimś raportem, to wtedy nagle sobie przypominamy, że w ogóle istnieje coś takie jak metodologia pozyskiwania danych naukowych.
558:  i nagle podważamy różne raporty, tak?
561:  Uśmiecham się do wszystkich, którzy podważali badania IPSOS-u dotyczące molestowania w miejscu publicznym, natomiast nie podważali badań IPSOS-u dotyczących na przykład sondaży przedwyborczych, chociaż to jest dokładnie ten sam instytut i ja już myślałem, że on jest skompromitowany i na niego się nie powołujemy.
575:  No, więc tak to jest z tymi raportami, moi drodzy.
577:  Możemy sobie je robić, uczciwie mogą sobie mówić, ale i tak będziemy wiedzieć swoje, to znaczy nie, no ja wydaje mi się, że tylko 15-20 minut to jest w ogóle nic i żaden problem.
587:  Więc z tego wynika Clarice Verbis, moi drodzy, czysto i wyraźnie, że wprowadzenie zakazu zadań domowych to jest policzek wymierzony w kompetencje nauczycieli, podważa słuszność podejmowanych przez nich zadań, a poza tym w ogóle jest omawiany ten system pracy na początku roku szkolnego i dzieci nie protestują.
613:  Ja rozumiem, że gdybyśmy podpisywali kontrakt tutorski, który wygląda w ten sposób, że nauczyciel mówi, okej, ja wymagam od was tego i tego, a teraz wasza kolej, czego wy mi wymagacie ode mnie.
625:  Haha, tak się zaczyna proces tutoringu czy tutorialu, zarówno na poziomie szkolnym, jak i uniwersyteckim.
632:  Ja wtedy rozumiem, że uczniowie mogliby się czuć rzeczywiście sprawczy i że mogliby powiedzieć, nie no, my uważamy, że te zadania domowe to trochę przesada, tak codziennie po 20 minut.
642:  Ale oczywiście, że przecież nikt tego nie powiedział z tego względu, że nie spieszno mu na szafot, a poza tym dobrze wiemy, że z nauczycielami jest tak, że są dobrzy, przeciętni.
652:  Może się zdarzy jeden, dwóch wybitnych max na cały zespół, ale tak, to ludzie raczej oceniają nauczycieli między, no jest spoko, da się wytrzymać, a tragedia.
663:  W związku z powyższą siłą rzeczy, że jeżeli ktoś w ogóle się wybija jakoś na tym tle tragicznych nauczycieli, no to uczniowie dają mu spokój, machają ręką i robią swoje, potem się dopiero orientują, że nagle poświęcają na jakiś przedmiot strasznie dużo czasu.
677:  No i wreszcie, moja ulubiona rzecz, jak uczytam, zawsze w takich okolicznościach, że szkoła bez ocen i zadań domowych dla jednych brzmi jak spełnienie marzeń, dla innych to jest utopia!
691:  Nie byłbym taki...
693:  Nieprawdopodobnie kąśliwy za każdym razem, jak ktoś mi mówi o utopiach w dydaktyce i kształceniu, gdyby nie fakt, że rzeczonymi utopiami kiedyś się zajmowałem naukowo.
701:  Utopia to jest, moi drodzy, albo świat nieistniejący, wyobrażony, albo projekt polityczny, który nie ma w ogóle żadnych szans realizacji, to znaczy nie da się go zrealizować.
712:  Jest tak wyidealizowany, wydoskonalony, że nie ma na niego miejsca w naszym planie czasoprzestrzennym, w naszej rzeczywistości, okej?
721:  no to żeby przetestować tę hipotezę, że to jest utopia, wystarczy znaleźć jeden.
727:  Jeden przykład, gdzie coś zadziała.
729:  Jeden.
730:  Bo utopia to jest wielki kwantyfikator, czyli nie da się, niemożliwe, jest to idealistyczne i nie ma miejsca w naszej rzeczywistości żadnego.
739:  Dlatego zwykle jak w XVI-XVII-wiecznych narracjach opisywano podróż na wyspę Utopię,
744:  to zwykle ludzie nie mogli tam się dostać w żaden sposób, musiało się coś tajemniczego wydarzyć, tak jak burza u Szekspira w podróży na wyspę Prospera i tak dalej, i tak dalej.
753:  Zdawali sobie wtedy pisarze sprawę z tego, że ten wyobrażony świat w ogóle jest gdzieś indziej i to ma być pewna projekcja, ma być światło latarni, tak jak astronomikonu w uniwersum Warhammera 40000, które ma nas prowadzić przez galaktykę i przez chaos.
768:  No to jak przetestujemy tę hipotezę i na przykład wejdziemy sobie na profil budzącej się szkoły, czyli inicjatywy dr Marzeny Żylińskiej, która robi mapę budzących się szkół od jakiegoś czasu, nazywając tak szkoły, w których rezygnuje się z zadań domowych, rezygnuje się z ocen cyfrowych, rezygnuje się z wystawiania średnich arytmetycznych, które i tak są niezgodne z polskim prawem oświatowym, a już na pewno średnich ważonych.
793:  I generalnie robi się to wszystko, o czym ja mówię na tym kanale, o czym mówi Mikołaj Marcela, o czym mówi Anna Szulc, o czym mówi Starożytnie Umarłych Statutów, czyli wiecie, realizuje się Polską Misję Oświatową zgodnie z prawem, to nagle się okazuje, że tych utopii, moi drodzy, jest strasznie dużo.
806:  Popatrzcie, ile jest tych utopii.
808:  Ojej, ojej, jak dużo.
810:  To są takie...
811:  wyimaginowane zupełnie, a nie, no to nikt tego nie zdarza, w ogóle się nie da, no nie, w życiu to jest niemożliwe, no u mnie, gdzie, to w ogóle, to może nawet w jakiejś Finlandii, Norwegii się da, ale nie, nie tutaj, no u nas to, to u nas polska ziemia, bory na sypanie, chłopi, to jest ta ziemia, to za twarda, nie da się tego, ani tego zaoraż, ani to spulchnisz, nie da się, w ogóle się nie da, chociaż muszę powiedzieć szczerze, że
841:  Liczba budzących się szkół w Krakowie, no cóż, entuzjazmu nie budzi.
848:  I co znaczące, nie ma wśród tych budzących się szkół osobliwie szkoły rajskiej, w której to pracuje autorka naszego artykułu.
859:  No więc bardzo mi przykro, tzn.
861:  pani magister Karolina Pilawa.
864:  która, jak wspomniałem już wcześniej, studiowała na Uniwersytecie Jagiellońskim na Filologii Polskiej, to jest absolutnie przypadkowy szczegół.
870:  Absolutnie nie jest tak, że co już jak się spotka polonistę, to nagle się okazuje, że ma jakieś bardzo dziwne poglądy na temat edukacji.
879:  Ale zostawmy ten wątek, ponieważ tutaj jest o wiele więcej rzeczy do rozpakowania jeszcze.
884:  Najbardziej mnie martwi to, już mówiąc zupełnie serio, że sprzeciw, który tutaj jest wyrażany, wynika z tego, że potrzeba podobno rzetelnej edukacji młodych ludzi, którym nie będzie wmawiać się bzdur o tym, że nauka nie jest zabawą, tylko ciężką pracą.
899:  Wiecie dlaczego to jest przerażające?
900:  Dlatego, że rzeczona nauczycielka legitymuje się jako neurodydaktyczka, więc trochę mnie to martwi, że nie przyswoiła sobie pryncypiów neurodydaktyki, która między innymi właśnie mówi o tym, że powinniśmy
913:  studiować to, w jaki sposób funkcjonuje nasz mózg, jak się rozwija i wyciągać z tego wnioski dotyczące procesu uczenia się.
919:  No więc dowcip polega na tym, że nasz mózg na wczesnych etapach jest bardzo chłonny i najczęściej uczy się przez doświadczenie, przez zabawę, przez ruch, przez rozrywkę i wiecie, chłonie jak gąbka, tak?
935:  To my chłoniemy informacje, na przykład grając w jakąś grę i nie orientując się nawet, że ktoś nas czegoś nauczył w tle.
942:  albo jak sobie słuchamy jakiegoś podcastu i nagle chłoniemy coś i później przypominamy sobie te informacje, ponieważ byliśmy zrelaksowani i wypoczęci.
949:  Albo przeciwnie, ruszamy się dużo, prowadzimy aktywny tryb życia i przy okazji rozmawiamy na jakiś temat, będziemy tę rozmowę pamiętać później przez eony, ponieważ w naszym mózgu utrwalił się ślad pamięciowy, nie tylko dotyczący jakichś suchych informacji, przyswojonych dlatego, że mieliśmy w tym momencie tryb, o Jezu, teraz trzeba się nauczyć i nasz mózg tylko myślał o tym, że trzeba się nauczyć i stresować,
971:  Tylko pamiętałem po prostu przyjemne doświadczenie, które się z tym wiąże.
975:  Więc nie, to nie jest tak, że szkoła to jest poważna nauka, a poza szkołą jest głupia rozrywka, tylko właśnie idea dobrego nauczania powinna polegać na tym, żeby przynajmniej w 100 latach się łączyć te dwie płaszczyzny ze sobą.
987:  Co gorsza?
988:  Następnie czytamy, oczywiście pełen zestaw wszystkich uprzedzeń i stereotypów, które zawsze się pojawiają w takich sytuacjach.
994:  Współczesna ocena szkolna nie oznacza zliczania punktów zdobytych na sprawnieniu wyliczania procentów.
1000:  Przepraszam, myślałem, że oznacza.
1002:  Ma pełnić funkcję informującą o stopniu przyswojenia materiału, ale także motywować do dalszej pracy, wskazywać jakie informacje zostały opanowane i jakie pozostają jeszcze do powtórzenia.
1011:  Czyli tylko ja tutaj widzę wewnętrzną sprzeczność, to znaczy w jaki niby inny sposób mamy to zrobić, jak nie poprzez feedback i ocenę opisową, a przed chwilą przeczytałem, że jak jest 20 czy 30 osób w klasie, to się nie da tego zrobić i dlatego są konieczne zadania domowe.
1026:  Aha, czyli rozumiem, że każde to zadanie dostaje notę na stronę A4, aha, 30 osób codziennie,
1035:  I w tej nocie jest szczegółowo powiedziane, nad czym należy popracować, a nad czym nie.
1039:  Wcale nie jest tak, że są z tego punkciki, wcale nie jest tak, że są z tego ocenki bieżące, które następnie są rachowane, ponieważ nauczyciele pomylili misję dydaktyczną z misją rachmistrzów i buchalterów.
1052:  Wcale tak nie jest.
1054:  No chyba, że robimy feedback, to wtedy zadanie domowe nie ma żadnego sensu.
1058:  Wiecie dlaczego?
1059:  Dlatego, że robicie jakiś sobie projekt na lekcji i nauczyciel chodzi między wami, moderuje i pomaga na bieżąco.
1066:  I to jest ocena bieżąca, feedback.
1070:  Nie potrzebujemy do tego zadania domowego.
1072:  Możemy mieć jedną grupę, która będzie wspólnie coś realizowała i możemy mieć nauczyciela, moderatora, który będzie pilnował, żeby jedna osoba nie zapieprzała w grupie, a reszta się nie przyglądała, ponieważ zazwyczaj się do tego to sprowadza.
1083:  A jeszcze nie doszliśmy do tego, że przecież zadania domowe i tak nie są robione przed nikogo samodzielnie.
1088:  No ale kontynuujmy lekturę tego już męczliwego troszeczkę tekstu, bo jest tutaj piękny cymesik.
1093:  Dlaczego nie oburzamy się, gdy na kursach językowych dzieci i dorośli piszą testy potwierdzające im biegłość językową i również są oceniani?
1100:  Być może dlatego, że wówczas ocenę wystawia British Council albo Goethe Institut, a nie biedna, zacofana polska szkoła i przygłupi nauczyciel.
1109:  Międzynarodowe firmy wydające ocenę są OK, a polskie szkolnictwo B włoże kij w mrowisko i zaryzykuje tezę, że nie chodzi w tym wszystkim o dzieci, ale o prestiż, który w naszym przekonaniu nie może być polski.
1125:  klub japo-jeloński moment, ale tak ja rozumiem, że wszystko można sprowadzić do ojkofobii, do nienawiści wobec ojczyzny i tak dalej, i tak dalej, ale sprawa tutaj jest bardzo prosta, to znaczy ja w tym mogę powiedzieć, jak z katedra, że punkciki, które są
1141:  wyzdawane przez wydawnictwo naukowe Springer, GT Institute, British Council, jak również Polską Szkołę i Maturkę.
1148:  Wszystkie są jednakowo głupie, autorzy tego systemu są warci siebie i są równymi kretynami, a wszyscy ludzie, którzy sprzyjają temu systemowi, charakteryzują się tym, że mają trzy szare komórki.
1158:  Jedna tylko odpowiada za myślenie, a aż dwie za kolor włosów.
1162:  Więc przykro mi, ja akurat jestem po stronie tych osób, które nie są jakoś nęcone powabem zagranicznej instytucji, wręcz przeciwnie, uważam, że to co złe akurat, jeżeli chodzi o całą testozę, przyszło do nas ze Stanów Zjednoczonych i akurat tego trzeba się oczekiwać.
1177:  absolutnie wystrzegać, więc jeżeli nie chcemy być ojkofobami, proszę bardzo, tutaj jest ścieżka postępowania możliwa, jeżeli ktoś naprawdę musi sprawę sprowadzać do polityki.
1186:  A prawda ta jest taka, że to jest po prostu wykręt.
1189:  Wszyscy potrzebują w którymś momencie certyfikatu językowego z tego względu, że jest on wymagany w rekrutacji.
1194:  I tyle.
1195:  Można sobie zadać pytanie w takim razie, dlaczego w szkołach nie jest tak?
1198:  Ha, ha, ha, ha.
1200:  Że robimy sobie tego rodzaju certyfikat językowy.
1202:  Nie, będziemy mitrężyć czas na naukę pseudoangielskiego i pseudoniemieckiego, po którym nie dostaniemy żadnego certyfikatu i w większości przypadków nie będziemy znać tego języka.
1212:  Więc jeżeli rzeczywiście chcemy dokonać jakiegokolwiek postępu i synergii, to można zrobić coś takiego.
1217:  I moje ulubione.
1219:  Ocenianie wiąże się ze stresem.
1222:  To fakt.
1223:  Mało kto zauważa, że strategii radzenia sobie z nim i opanowania emocji uczymy się już przy okazji w szkole.
1229:  Dodawanie kolejnej warstwy do bańki ochronnej, do której wpychamy dzieci, nie działa na ich korzyść.
1234:  No to może ja jak zwykle powiem, sprawdzam i sprawdzę na przykład, jak faktycznie ten stres wpływa na młodzież.
1242:  No więc były raporty, m.in.
1244:  Zdrowa Szkoła, raport z badań, raport z 2022 roku, w którym mamy takie kwiatki św.
1250:  Franciszka, mianowicie...
1251:  Ponad połowa, znaczy prawie połowa z uczniów odczuwa stres związany ze szkołą i nauką.
1257:  Co trzeci uczeń nie lubi chodzić do szkoły.
1259:  33% uczniów czuje się źle lub nieswojo, a 35% przyznało, że w ciągu ostatniego roku więcej niż 5 razy nie chciał iść do szkoły.
1266:  To jest właśnie ten stres i efekt tego stresu.
1269:  Co więcej, jeżeli chcemy nie tylko bazować na raportach, ale badaniach naukowych, jest to taki cudowny tekst, który zbiera...
1278:  bardzo dużo, to znaczy 30 lat konkretnie badań nad związkiem między stresem i sytuacjami egzaminacyjnymi, ale przede wszystkim stresem chronicznym.
1288:  No i wychodzą z tego raczej nieprzyjemne rzeczy, to znaczy wiadomo, że tego rodzaju chroniczne wystawienie na stres, na przykład w postaci tych wielokrotnie zadawanych prac domowych, może wpływać na obniżenie odporności psychosomatycznej, więc to mówi nauka.
1305:  Na temat stresu chronicznego, zresztą co ja będę mówić jak główną diagnozą większości psychoterapeutów dzisiaj i lekarzy także od różnych chorób wewnętrznych jest, no proszę ograniczać stres, proszę redukować stres.
1318:  Mówienie o uodpornianiu na stres przez wystawianie na czynniki stresogenne, które są zbyteczne...
1326:  To jest kretynizm, bo mądre jest rzeczywiście uczenie odporności na sytuacje stresujące, no na przykład następujące.
1334:  Wychodzimy przed 20 osób i musimy mówić przez pół godziny.
1339:  Oj, oj, oj, oj, oj.
1340:  Czyżby nikt nie był do tego przygotowany po lekcji skądinąd języka polskiego, które jak wiadomo nazywa się kłamliwie, bo tak naprawdę to historia literatury, a jakżeby inaczej, ponieważ lepiej tłuc to, jaki był kolor rękawiczek Izabeli Łęckiej.
1354:  i lepiej tłuc do maturki, a wcześniej do egzaminu ósmoklasisty cały materiał, który musi zostać przerobiony.
1360:  Nie lepiej nauczyć ludzi radzenia sobie w sytuacji stresowej, która jest faktycznie nie do uniknięcia w życiu.
1366:  Piędzej czy później będziecie mieli do powiedzenia coś komuś w sytuacji stresowej.
1371:  To może być na wokandzie, w sądzie, to może być przed zarządem waszej pracy przyszłej, a to może być chociażby w szkole, gdzie będziecie jakimś nauczycielem i na przykład będziecie chcieli mówić do ludzi składnia szybko.
1383:  to może się w wielu przypadkach życiowych Wam przydać.
1386:  To jest odpornienie na sytuację mądrą, stresową.
1390:  Natomiast egzaminy i inne rzeczy, one się kończą.
1393:  W wieku 24 lat robicie ostatni egzamin w życiu, nikt później się w takie bzdury nie bawi.
1399:  ponieważ są skuteczniejsze metody nauczania i po żadnych szkoleniach, które ludzie sobie robią, nie ma żadnych egzaminów.
1405:  Idziecie na szkolenie, uczycie się rzeczy, jeżeli się nie nauczyliście, to jest wasz problem.
1409:  Więc to jest wprowadzanie sztucznej sytuacji stresowej, która jeszcze do tego wszystkiego, jak starałem się wam mówić w innym filmie, też postaram się go podlinkować,
1417:  a mianowicie tym, że nie należy się uczyć na czas, prowadzi do błędów pomiaru.
1421:  To znaczy bardzo często ludzie, którzy się stresują, myślą cały czas o tym, że się stresują, że jest stresująca sytuacja i tak dalej, zapominają najprostszych rzeczy.
1430:  I można to bardzo prosto redukować, na przykład wydłużając czas na zrobienie egzaminu, ale jak widzimy tutaj priorytetem było to, żeby zadanie zostało skończone w 15 lub 20 minut.
1438:  Wszystkie argumenty, moi drodzy, zawsze się da odwrócić.
1441:  ale wiecie, co jest najlepsze?
1442:  Najlepsze jest w tym wszystkim to, że ten tekst w samym swojej kodzie, w zakończeniu, przeczy wszystkiemu, co zostało wcześniej powiedziane.
1450:  Nie możemy bać się stwierdzeń, czytamy, potrafisz jedno, ale czegoś innego nie, lub wychodzi ci to, ale nie jesteś w tym najlepszy, lub w życiu nie można być dobrym we wszystkim, to nic złego, spróbuj na czymś popracować, inaczej doprowadzimy do sfałszowania obrazu samego siebie i paradoksalnie do wytworzenia postawy wstydu młodego człowieka, że czegoś nie potrafi.
1467:  Eee...
1470:  A w Polsce dochodzi tymczasem do paradoksów, tym oceniani będą jedynie nauczyciele.
1475:  Czy to jestem tylko ja, czy właśnie tutaj mamy do czynienia z podręcznikowym przykładem ocen bieżących, opisowych i feedbacku?
1486:  Czyli tego podobno, czego się nie dało robić wcześniej?
1490:  Jak może nauczyciel nie wiedzieć, że to, co napisał, tu, tu, tu, tu, tu, tu, w tym akapicie, to jest feedback?
1497:  To jest ocena opisowa.
1499:  Dokładnie coś takiego się pisze.
1501:  Że radzisz sobie już z tym dobrze, musisz popracować nad tym, nad tym i nad tym.
1504:  Tu masz takie, a inne źródło, to możesz przeczytać, tu możesz sobie obejrzeć film na YouTube.
1507:  To jest ocena, to jest ocena, która nam cokolwiek daje.
1511:  To jest też coś, usiłowałem wam tłumaczyć w filmie dotyczącym ocen, że jeżeli ktoś przychodzi wam do domu i maluje ściany, to nie będziecie mówili, że...
1520:  37%, albo 4 punkty w skali na 10.
1524:  To nie, tylko powiecie po ludzku, co jest dobre, co jest złe, nad czym należy popracować, co wam się podoba, co wam się nie podoba.
1532:  I przeraża mnie absolutnie, że nauczyciel może sobie z tego kompletnie nie zdawać sprawy i mówić, że za moment będziemy oceniać wyłącznie nauczycieli, a nie uczniów.
1540:  I żeby nie było, że tylko ja znalazłem ten tekst i z nim polemizuję, bo jest to nieprawda,
1546:  Całe szczęście znaleźli się tacy ludzie, którzy również powiedzieli, że coś jest tutaj mocno nie tak i nie należałoby w ten sposób sprawy rozpatrywać tak jednostronnie.
1555:  Konkretnie ten tekst na łamach więzi napisała pani Magdalena Kędzierska-Zaporowska.
1561:  To jest tekst bardzo niedawna, z 1 grudnia 1923, więc się cieszę w sumie, że zwlekałem z tym tematem aż do pojawienia się polemiki.
1568:  Mianowicie pisze ona, Pilawa w swoim artykule słusznie zwraca uwagę na wartość pracy własnej ucznia i na to, że bez indywidualnego wysiłku
1574:  Żadne osiągnięcie edukacyjne nie jest możliwe.
1576:  Problem jednak w tym, że obecnie zadanie domowe w polskim systemie edukacji nie pełnią w praktyce żadnej ze wskazanych przez autorkę funkcji.
1583:  Polski system szkolnej dyscypliny oparty na uwagach, odpytywaniu za karę, karnych kartkówkach dalej się kręci.
1588:  Czy nie stąd wzięło się zainteresowanie szkołą w chmurze i nauczaniem domowym, od którego nieprzypadkowo wyszedłem dzisiaj?
