Bale maturalne to PRUSKI wymysł | Dla każdego coś przykrego #52
🔗 https://www.youtube.com/watch?v=fa749pX4m6c

0:  Studniówki.
233:  Z osobą towarzyszącą 430-165, towarzysząca widełki 800-1000 się czasem też pojawiają, zaliczka wynosi niekiedy 500 zł, 1100 za parę itd., itd., a przecież do tego wszystkiego dochodzi nasze dobre polskie, sarmackie...
250:  Postaw się, a zastaw się, wydaj więcej pieniędzy niż masz, ale kup ten koniecznie markowy garnitur ze 100% poliestru, żeby po 15 minutach już spocić się i roztaczać wokół te wspaniałe miazmapy, ponieważ w ten sposób się oczywiście wszyscy będziemy dobrze bawili, a ważne jest, żeby to ubranie było markowe, po to, żeby każdy to zobaczył.
274:  Bardzo to wszystko jest polskie i smutne jest, że system oćmiaty w Polsce również temu sprzyja i uczy nas na mega wczesnym etapie życia najgorszych wartości jakie można.
285:  To znaczy, spiesz się w wyborze partnera, ważne żeby kogokolwiek mieć, nie żeby mieć właściwą osobę.
291:  Co więcej...
292:  Podejmuj te decyzje w szkole, a nie, nie wiem, w internecie, z którym jesteś połączony i za pośrednictwem którego jesteś połączony z całym światem zarazem i dzięki temu możesz rzeczywiście znaleźć osobę, która będzie podzielała twoje zainteresowanie, będzie wartościowym partnerem życiowym.
305:  Nie, nie, nie.
305:  Najlepiej w szkole znajdź, tak, ponieważ te
308:  w 100 losowo dobranych osób będzie dobre, potem jeszcze wpaja nam poklask wobec mamony i oczywiście prezentowania się, jaki tu mamy status ekonomiczny i wreszcie, moim zdaniem najgorsze z tego wszystkiego, uczy nas, że matura to jest jakiś przełomowy etap w życiu.
324:  Natomiast te wszystkie koszta, o których mówi się coraz częściej, wynikają głównie z tego, że mamy w Polsce mocno nieprzedefiniowany status studniówki.
334:  Nie wiadomo w zasadzie, kto odpowiada za organizację tej imprezy, w związku z powyższym też piętrzą się różnego rodzaju nadużycia, więc może w pierwszej kolejności sięgnijmy do publikacji, którą możecie już znać z tego filmu, który robiłem na temat nadużyć prawnych w statutach polskich szkołach.
351:  A mianowicie do raportu przygotowanego przez Stowarzyszenie Umarłych Statutów, który to raport niezbicie pokazuje, że uczniowie, jeżeli są pełnoletni, to sami o sobie decydują.
362:  Więc dziewiętnasty rok życia, matura, to wy decydujecie o tym, czy chcecie iść na studniówkę, czy nie chcecie iść na studniówkę, nie potrzebujecie do tego żadnych zezwoleń od rodziców, zgód i nie potrzebujecie usprawiedliwiać swoich obecności, nieobecności, okej?
375:  To ustalmy.
376:  W związku z powyższym mówimy o imprezie organizowanej przez dorosłych ludzi, bo najczęściej organizują to uczniowie, chociaż o tym za moment, dla dorosłych ludzi.
385:  A zatem nie ma tutaj zastosowania jakakolwiek restrykcja ze strony szkoły, że to jest nasza wewnętrzna impreza.
391:  Zresztą na ten temat bardzo dużo wypowiadało się już właśnie Stowarzyszenie Umarłych Statutów, które w moim przekonaniu bardzo słusznie zauważyło,
399:  że jeżeli mówimy o szkolnych imprezach, to musimy za każdym razem brać pod uwagę to, kto jest organizatorem.
405:  No po pierwsze, jeżeli to nie jest impreza szkolna, to prawdopodobnie będzie to organizator prywatny, więc w związku z tym szkoła nie ma prawa oceniać niczego, nie ma prawa oceniać naszego wyglądu na studniówce, nie ma prawa nam narzucać, z kim mamy przyjść, a z kim nie możemy przyjść na studniówkę,
418:  nie ma prawa mówić, czy możemy pić alkohol, czy nie możemy i tak dalej, i tak dalej.
422:  Wszystkiego tego nie może robić, jeżeli nie jest organizatorem tej imprezy szkoła lub jakikolwiek organ szkolny.
430:  Bo widzicie, jest jak zawsze mały haczyk.
432:  Mianowicie okazuje się, że jeżeli studniówka będzie uznana za imprezę szkolną, to zazwyczaj będzie to w takich sytuacjach, kiedy będzie organizować tę imprezę któryś ze statutowo zdefiniowanych organów.
443:  No na przykład może być to chociażby Rada Rodziców.
446:  W momencie, w którym taka impreza znajdzie się w kalendarzu szkolnym, będzie organizowana i wtedy już będzie zyskiwała prawa imprezy szkolnej, wtedy, moi drodzy, no na przykład będą działały takie rzeczy jak chociażby ustawa o ochronie w trzeźwości i wtedy, jeżeli mamy do czynienia z imprezą organizowaną w szkole, no to sorry, nie można wnieść alkoholu na takiej samej zasadzie, na jakiej nie można go promować na polskim YouTubie czy też w polskich mediach.
471:  ponieważ działa określona ustawa, którą skrępowany jest w tym przypadku organ prowadzący szkołę.
477:  Jak wiem, zrobiło się bardzo prawniczo, ale prawda jest taka, że powinniśmy o tym mówić z bardzo prostego powodu.
483:  Mianowicie jak na łamach artykułu nadchodzi czas studniówek i łamania przez szkołę prawa pisała już 4 lata temu prawie Alina Czyżewska,
492:  mamy do czynienia z gigantyczną liczbą różnego rodzaju nadużyć, które, szczerze powiedziawszy, mnie specjalnie nie zdziwiły, ponieważ pamiętam bardzo dobrze regulaminy studniówki, na którą ja oczywiście z radością nie poszedłem i wszystkim tego samego życzę, ponieważ stwierdziłem, że jeżeli będę chciał pójść na jakąś imprezę, to pójdę ze swoimi znajomymi, a nie na imprezę narzucaną mi przez szkołę, która oczywiście musiała być zorganizowana, no,
518:  W Wieliczce, tak?
518:  No bo jeżeli jest się, tak jak ja byłem w drugim liceum uczestniczącym w Krakowie, w ścisłym centrum miasta, no to nie korzysta się z infrastruktury ścisłego centrum historycznego i zabytkowego Krakowa, no tylko jedzie się do Wieliczki.
531:  No i oczywiście za jakiegoś tysiaka albo osiemstówek.
534:  Ja oczywiście powieślałem sobie, że nie, że podaruję sobie tę przyjemność i równocześnie nie będę się narażał na wszelkiego rodzaju formy dyskryminacji i nadużyć prawa, które się z tym wiążą,
544:  a są one liczne.
546:  Zdarza się mianowicie, że uczniowie zmuszani środą zapłacania obowiązkowej w opłatę za studniówkę, na którą nie mają zamiaru iść.
552:  To na ciasta, wodę, obiady, kwiaty dla nauczycieli podczas matur.
556:  Bo tak, bardzo często się zdarza w wojewili, że opłata studniówkowa jest łączona właśnie tak chytrze z opłatą maturalną, żeby można było jeszcze za to wszystko kupić rzeczy na fundusz szkolny, który zawsze jest niedofinansowany.
569:  Żeby było śmieszniej, to nie jest...
571:  Tyle.
572:  Czasami zdarza się nawet, że trzeba uiszczać, jak podniósł jeden z redditowiczów, opłatę za brak udziału w studniówce, ponieważ jest jakiś ogólny fundusz dla innych.
584:  I jak zresztą słusznie temu człowiekowi powiedziano w komentarzach, no nie no, takie rzeczy należy zgłaszać, więc nie, nie dajcie się nabrać, że jest tego rodzaju zapis.
592:  Trzeba wtedy, i zresztą powiem Wam o tym na samym końcu filmu, w jaką należy zastosować procedurę, walczyć o swoje i nie dać się w ten sposób do niczego zmuszać.
600:  Następnie nauczyciele bardzo często wyznaczają, z kim można pójść, a z kim nie.
604:  Z osobą tej samej płci nie wolno, z osobą poniżej 16 roku życia nie wolno, tymczasem znowu jest to dyskusyjne.
611:  Podkreślę jeszcze raz wtedy, kiedy to impreza nie jest organizowana przez szkołę lub którykolwiek z organów zdefiniowanych w szkolnym statucie.
618:  Zdarza się oczywiście także przymus tańczenia poloneza, zdarzają się sytuacje, w których oceny z WF-u są wpisywane, czasem negatywne, jeżeli człowiek tego nie umie.
627:  Dyrektorzy ustalają czasem w różnych regulaminach studniówkowych zasady, że nie wolno puścić budynku studniówki, kto wyjdzie się przewietrzyć lub na papierosa o zgrozo, a mówimy o osobach dorosłych, nie ma prawa powrotu, mimo że zapłacił za studniówkę.
639:  Czasami też przysługują uczniom minusowe pukciki za to, że osoba towarzysząca zrobiła coś, co było nieregulominowe w szkole.
649:  Więc...
649:  To jest nieprawdopodobne, jaka jest skala ingerencji, ale to nie jest oczywiście tyle.
655:  Problem polega na tym, że regulaminy studniówek, jak czytamy w innym artykule Karoliny Kozakiewicz,
662:  Zaczynają także ingerować w mocno prywatną stronę i sferę naszej osobowości, naszej tożsamości.
669:  Zdarzają się na przykład sytuacje, w których organizatorzy studniówki narzucają nam to, w jaki sposób mamy się ubrać, to znaczy narzucają, że oczywiście ma być ten strój golfowy.
683:  Oooo, kochałem to słowo, nawiasem mówiąc, uwielbiałem to, że nie można powiedzieć, żeby ubrać się, nie wiem, w garnitu albo w garsonkę, ponazywać to jakoś sensownie, tylko mówiono, że na galowo się będzie ubierać jak oficer marynarki wojennej.
698:  I tymczasem w ogóle nie ma to żadnego sensu.
700:  Ja osobiście jestem zwolennikiem tego, że należy się ubierać porządnie i tak, żeby człowiekowi było w tym wygodniej.
706:  Kupowanie garnituru ze 100% poliestru po to, żeby się w nim spocić nie ma absolutnie najmniejszego sensu, zwłaszcza, że jak dobrze wiecie,
715:  Więc biznes odzieżowy ma się bardzo dobrze, głównie z tego względu, że sprzedają nam bez przerwy tego rodzaju tkaniny, które nie oddychają, są złe i trzeba to wyrzucić po dwóch miesiącach, żeby kupić następne i następne i następne, przez co przemysł odzieżowy jest mocno nieekologiczny, dlatego też trudno się dziwić, że coraz więcej ludzi protestuje przeciwko temu, nie chce w to inwestować, a równocześnie dobrze wiemy,
737:  że zainwestowanie w porządnej jakości materiały w przypadku tego rodzaju strojów to jest kwestia kilku tysięcy złotych niejednokrotnie, więc nie, nikogo przy zdrowych zmysłach w Polsce nie przyjdzie do głowy, żeby doinwestować w ten sposób imprezę szkolną, no i przede wszystkim większości ludzi po prostu na to nie stać, więc jeżeli...
756:  Jest to impreza prywatna, to wtedy oczywiście możecie sobie taką umowę zrobić, no bo kupujecie bilet na imprezę prywatną i on tam definiuje Wam chociażby organizator, że musicie się ubrać tak, a nie inaczej.
767:  Szkoła tego nie może zrobić natomiast.
770:  I tłumaczę to zresztą, no...
772:  jak zawsze pomagające nam w takich sytuacjach Stowarzyszenie Umarłych Statutów.
777:  Organizacja studniówki w szkolnej sali gimnastycznej wykluczy z kolei podawanie alkoholu, co wynika z ustawy, jak wam wspomniałem, o wychowaniu w trzeźwości i przeciwdziałaniu alkoholizmu, więc są różnego rodzaju ograniczenia.
786:  Na przykład jeżeli ktoś będzie miał do was pretensje o to, że śpiewacie barkę, uwielbiam ten fragment artykułu, to nie, Stowarzyszenie Umarłych Statutów nie sądzi, że pieśń Barka nieśle ze sobą jakiekolwiek kontrowersje, może poza osobą jej kompozytora, który jest oskarżony o pedofilię.
801:  Bardzo dobry argument.
803:  Wreszcie, jeżeli szkoła jako instytucja publiczna będzie mieć tą mniejszą swobodę ustalania warunków uczestnictwa w imprezach, to dzieje się to właśnie z tego, że musi działać w granicach prawa oświatowego.
814:  Ale to również oznacza, że nie może nikogo dyskryminować, więc jeżeli studniówka jest zorganizowana przez szkole, absolutnie zapomnijcie o jakichkolwiek dyskryminujących zapisach ze względu na
823:  Płeć, orientację seksualną, sposób ubierania się, wygląd itd.
828:  W ciągu ostatnich lat zresztą, jak czytamy dalej w wypowiedzi Dominika Kuca z fundacji GoSpace, rośnie procent osób, które uważają, że nie mają do czynienia z dyskryminacją.
836:  W 2020 było badanie na skalę kraju, z którego wynikło, że 55% uczniów uważało, że nie ma problemu, by para jednopłciowa była na studniówce.
844:  Zwracam uwagę, że to równocześnie oznacza, że 40% przynajmniej ludzi miało z tym jakikolwiek problem, pewnie tam jakiś był nikły ludzi, którzy powiedzieli, że nie mają z tym żadnego problemu albo że nie mają zdania, wiecie jak to bywa, ale jakieś 40%, czyli jednak mimo wszystko połowa ludzi będzie blisko, ma z tym problem, co już jest problematyczne same w sobie i powinno być asumptem do następnej dyskusji, którą będziemy mieli może przy innej okazji, kiedy będziemy się zastanawiać,
871:  Czym w ogóle jest egzamin dojrzałości, jeżeli ludzie do niego przystępujący są na tyle niedojrzali, żeby mieć problem z tym, co robią ludzie ze swoim własnym życiem w związkach?
884:  To jest przerażające absolutnie.
885:  Jeżeli jest jakaś kompetencja, którą powinna szkoła kształcić, na przykład w ramach wychowania seksualnego, to właśnie ta...
891:  Ale oczywiście problem polega na tym, że lekcje wychowania seksualnego, tak samo jak inne przedmioty w szkole, jak na przykład język polski, który jest tak naprawdę historią literatury, albo godzina wychowawcza, która jest tak naprawdę godziną administracyjną, albo religia, która jest katechezą, a nie religioznawstwem, no nie ma czegoś takiego jak wychowanie seksualne, tylko jest wychowanie do życia w rodzinie.
910:  A wychowanie do życia w rodzinie jest już projektem ideologicznym i nie ma absolutnie nic wspólnego z wychowaniem seksualnym, więc trudno się dziwić, że w zasadzie ludzie mają tego rodzaju problemy.
918:  Problem natomiast polega na tym, że szkoła tego rodzaju światopogląd bardzo często wzmacnia.
924:  Wystarczy chociażby, że będzie na studniówkach w tych nieszczęsnych regulaminach ustalać, że chociażby nie mogą pary jednopłciowe się pojawić.
932:  Zresztą w ogóle ten temat jest podniesiony w innym tekście, który bardzo wam polecam, jak wygląda studniówka z perspektywy osób homoseksualnych Agaty Szczerbiek na ramach polityki.
940:  gdzie podkreślono to, że sprawa, od której wyszliśmy, to znaczy historyczne uwarunkowania studniówki, w istotny sposób wpływa na to, jak osoby nieheteronormatywne mogą się czuć na tego rodzaju imprezie.
954:  Polonez wyraźnie ustanawia relacje między chłopakiem a dziewczyną.
957:  Szarmancy mężczyźni pomagają przejść pod tunelem i dziewczyny w sukienkach, wsparte na męskich ramionach, czasem z różą w dłoni.
964:  Boże, jak ja się cieszę, że ja sobie podarowałem te farsy, jak ja się bardzo cieszę, że ja podarowałem sobie te farsy, ale jednocześnie, wiecie, nie wszyscy mają odporność psychiczną, nie wszyscy są asertywni, nie wszyscy mogą sobie powiedzieć, że mają w nosie relacje z rówieśnikami.
980:  Dużo ludzi będzie ulegać tej presji, zwłaszcza ludzi, którzy są na przykład przed coming outem, którzy dopiero odkrywają swoją tożsamość seksualną i ciężko jest im, dlaczego piętrzy się kolejny problem i konieczność dla takich osób chociażby dostosowania się do tego całego rytuału, to znaczy jeżeli chcemy w taki konserwatywny rytuał wejść, no to musimy go odtworzyć, czyli nawet jeżeli jesteśmy homoseksualni, to musimy zachowywać się heteroseksualnie i wchodzić w tego rodzaju rolę.
1010:  Oczywiście na tym problemy się nie kończą.
1012:  Jakkolwiek by były ubrane, komentarze, czytamy dalej, o lesbijskich parach na studniówce nie są jak w przypadku chłopców w okazywaniu obrzydzenia czy zniesmaczenia, bo są sprowadzane do obiektu seksualnego, słyszą o trójkąta albo żeby się pocałowały, bo to podniecające.
1026:  To nie jest problem, który byśmy mieli, gdybyśmy narzucali ludziom, którzy są różni, którzy mają różną orientację seksualną, różne światopoglądy, uczestnictwo i obowiązek uczestnictwa w tej samej imprezie dla wszystkich, z tymi samymi punktami.
1042:  To jest proszenie się o problem.
1044:  Jeżeli macie konserwatywne poglądy, to...
1048:  Proponuję na to spojrzeć w ten sposób.
1050:  Dlaczego w instytucji publicznej, czy za poruczeniem instytucji publicznej organizować imprezę, która będzie wiązała się z różnego rodzaju punktami zapalnymi?
1060:  Ludzie mogą to zrobić we własnym zakresie bez żadnego problemu.
1063:  Ale jeżeli instytucja publiczna lub jej część bierze na śmie taki obowiązek, to automatycznie, równocześnie musi wziąć na śmie obowiązek niedyskryminowania najróżniejszych potrzeb, zainteresowań, poglądów i tożsamości różnych ludzi.
1079:  Nie ma innego wyjścia.
1080:  Albo to, albo to.
1082:  I żeby nie było, że mówimy tylko o kobietach...
1085:  Inne uwagi słyszą chłopcy, mimo że nie eksperymentują ze strojem, są częściej niż lesbilki, piętnowani przez otoczenie jako zniewieściali, sfeminizowani, przegięci, doświadczają homofobicznej przemocy zarówno słownej jak i fizycznej, dużo częściej niż porównywane z nimi uczennice.
1099:  No i właśnie, gdyby nie to, że narzucamy pewnego rodzaju światopogląd od samego początku i charakter imprezy, która jest konserwatywna, pruska, która jest związana z heurezą szkolną, która ma celebrować maturę jako egzamin dojrzałości i oczywiście również określone układy i relacje społeczne, no gdyby nie to, to nie mielibyśmy tego rodzaju kłopotów i tego rodzaju problemów.
1123:  Więc wydaje mi się, że najsensowniejsze rozwiązanie byłoby następujące.
1127:  Skoro to są dorośli ludzie,
1129:  Niechże oni sobie sami zrobią to, co chcą.
1133:  Niech sami sobie zorganizują imprezę.
1136:  Niech ta impreza będzie prywatna, w prywatnym klubie, wtedy wszystko będzie jasne, okej, płacę 500 zł w prywatnym klubie, albo nie płacę i nikt nie będzie na mnie patrzył oceniająco, że ohoho, czy go stać, och, czy ma już partnera wybranego, och, dlaczego akurat jego nie było, pewnie dlatego, że go nie lubimy oczywiście, nie?
1155:  Po co się narażać na tego rodzaju stres dodatkowy przed maturą?
1160:  skoro i tak tego stresu jest już bardzo dużo.
1163:  I nie, nie przekona mnie absolutnie to, jak ktoś powie, że potrzebuje się wybawić.
1167:  To wybaw się we własnym towarzystwie.
1169:  Skrzyknij sobie ludzi, którzy tak jak ty, być może, nie mają żadnych problemów, czyli mają kasę, mają dzianych starych, mają partnerów, są szczęśliwi, nie są samotni, nie mają problemów z nauką, nie muszą korzystać z korepetycji przedmaturalnych.
1184:  I w tym...
1185:  fajnym gronie, fajnopolaków, którzy są już ogarnięci życiowo, zrób sobie swoją imprezę i co więcej, zaleta tego będzie taka, że możesz sobie tę imprezę zrobić w klubie techno, nie musi to być polonez, nie musi być galowy strój i nie musi być cały ten pusty ceremoniał w to zaangażowany, z tą jakąś śmieszną czerwoną bielizną i innymi rzeczami.
1203:  Jak zastanowicie się nad tym wszystkim i nad tym, ile w to idzie pieniędzy i pary, to szybko się zorientujecie, jak bardzo to jest wszystko bezsensowne.
1212:  Na każdą imprezę lepszą o wiele można sobie pójść i co więcej być potraktowanym tak jak normalny, dorosły człowiek, któremu nie będzie się broniło wnoszenia alkoholu, któremu nie będzie się broniło wyjścia z budynku, któremu nie będzie się regulowało stroju, któremu nie będzie się zaglądało pod pierzynę, którego nie będzie się weryfikowało za to, jaką ma tożsamość seksualną czy jakąkolwiek inną.
1231:  To jest całkowicie absurdalne.
1233:  Tylko żeby to sobie wszystko uświadomić, musimy pamiętać, że jedyna opcja jest taka, żeby te imprezy robić poza szkołą.
1240:  Jeżeli macie problem z tym, że szkoła organizuje studniówkę i mówi, że to jest impreza szkolna, to pamiętajcie o tym, że są regulacje prawne, które mówią o tym, co to znaczy, że wydarzenie jakieś jest zorganizowane przez szkołę.
1253:  Jeżeli szkoła robi sobie wydarzenie, które jest w jakimś klubie, hen albo w karczmie poza budynkiem szkoły, to trzeba bardzo pilnie przyjrzeć się temu, jak to zostało zorganizowane.
1263:  I teraz wróćmy do tekstu Aliny Czyżewskiej.
1265:  Pisze ona chociażby, że...
1267:  To, co wiąże się z organizowaniem przez szkołę, jest bardzo w prawie dokładnie opisane.
1273:  Szkoła, jeśli organizuje zajęcia, musi to robić w oparciu o przepisy.
1276:  Każde wyjście uczniów poza mury szkoły odbywające się w ramach działalności musi być odnotowane.
1280:  W rozporządzeniach do ustaw wyróżnia się grupy wycieczkowe czy wyjścia grupowe itd., itd.
1286:  Wyjścia grupowe należy umieszczać w rejestrze.
1288:  Bardzo, jak widzicie, to jest szczegółowo opisane.
1291:  I tylko pod tym warunkiem można jakąś imprezę potraktować jako imprezę szkolną.
1295:  Natomiast studniówka nie jest w żadnym wypadku wydarzeniem obowiązkowym, nie mieści się w programach nauczania, ba, rzekłbym nawet, że obowiązek uczestnictwa w studniówce nie jest częścią realizacji podstawy programowej.
1324:  A zatem dzisiaj możemy ewentualnie powiedzieć, że byłoby to uzasadnione w szkołach muzycznych.
1332:  To jest chyba jedyny typ szkół, gdzie widzę sens studniówki, której by częścią była nauka muzyczna.
1339:  tańcowania, poloneza.
1341:  W ogóle kto w XXI wieku tańcuje w ten sposób?
1345:  Nie jestem w stanie tego zrozumieć, ale bardzo, bardzo się staram.
1349:  I świetna jest analogia podana przez Alinę Czyżewską.
1353:  Załóżmy sobie, że spotykamy się dziesiątką dorosłych znajomych, tak?
1357:  Wyprawiamy sobie urodziny i wtedy organizujemy się w następujący sposób.
1361:  Kto składa się?
1362:  Ile?
1362:  Tyle, ile może wpłaca?
1364:  Nie tam żadna, wiecie, zryczałtowana kwota, bo każdy tyle samo, bo ludzie mają różne
1368:  możliwości, może ktoś będzie w stanie dać więcej, może ktoś przyniesie o jedno ciasto więcej, tak?
1374:  Na imprezę.
1374:  Wszystko jedno.
1375:  Jesteśmy w stanie w gronie dorosłych ludzi się w jakikolwiek sposób zorganizować.
1379:  Nie musimy narzucić kwoty, że o, że każdy z Was teraz zapłaci tysiąc złotych, ponieważ jesteśmy ludźmi, możemy negocjować i ze sobą rozmawiać.
1387:  Regulaminowanie i wprowadzanie różnego rodzaju wytycznych i zasad do naszego własnego życia, to już jest taki przerost biurokracji nad treścią, że się w głowie nie mieści, więc przynajmniej nie udawajmy, że jest to konieczne.
1398:  Te 10 osób w tym przykładzie, kontynuuje Czyżewska, to maturzyści, a goście to nauczyciele.
1402:  Tak, nauczyciele są gośćmi na studniówce, więc brakiem kultury jest na takiej imprezie urodzinowej, aby goście narzucali, jak mają się gospodarze ubrać, jak mają się zachowywać.
1412:  Zakazywali następnie gospodarzom czy komukolwiek pić alkohol na imprezie własnej, a szczytem absurdu byłoby tworzenie przez goście regulaminu zachowywania się gospodarzy podczas imprezy z obowiązkiem podpisania go przez gospodarzy, bo jak nie, to nie masz wstępu na swoje własne urodziny.
1426:  To jest absurd, moi drodzy, i do takiego absurdu doszliśmy w realiach, w których w chytry sposób włącza się jakąś imprezę w obręb życia szkolnego tylko po to, żeby roztaczać iluzję, do której tak są przywiązani różni nauczyciele i zwolennicy pruskiego systemu oświaty, a mianowicie, że szkoła jako instytucja i budynek jest potrzebna, bo tylko w ten sposób jesteśmy w stanie tworzyć relacje społeczne.
1452:  Otóż jest to tak zwana Tischnerowska trzecia prawda, czyli gównoprawda.
1457:  Nie.
1457:  Jest w tym momencie społeczność internetowa, mamy światy wirtualne, światy cyfrowe, jesteśmy połączeni w sposób bezprecedensowy, jeżeli chodzi o skalę jako cywilizacja.
1468:  I tak oczywiście ma to szereg różnego rodzaju wap, natomiast rozwiązaliśmy jeden problem.
1472:  Problem mianowicie tego, że jeżeli ktoś zostanie wrzucony do jakiegoś środowiska,
1476:  całkowicie losowo, 100 osób, czy 30 osób, czy 40 osób, to nie jest wskazane na wybieranie sobie partnerów życiowych spośród tego bardzo wąskiego grona ewentualnie znajomych znajomych.
1487:  Mamy wiele więcej możliwości.
1489:  Nie, nie musimy się spieszyć.
1491:  czasy się zmieniły.
1493:  W związku z powyższym sens takich imprez jest o wiele, wiele mniejszy i można sobie to robić także na mniejszą skalę i we własnym zakresie.
1501:  A zatem, jeżeli moi drodzy jesteście, i tutaj zmierzamy do konkluzji, zmuszani do udziału w takiej imprezie, pamiętajcie o tym, że możecie zawsze w trybie wnioskowania o informację publiczną napisać podanie do szkoły i zapytać o to, kto jest organizatorem, tak?
1518:  Macie na podstawie artykułu Konstytucji, możecie wnosić o informację publiczną,
1521:  i prosicie na przykład o umowę szkoły z podmiotem, którym organizowana będzie studniówka, umowy i faktury i tak dalej, szybko się okaże, kto jest organizatorem wtedy, jeżeli nie będziecie mieli pewności.
1531:  I powtórzmy, jeżeli organizatorem jest szkoła, nikt nie ma prawa wam zakazywać ubierania się w taki, a nie inny sposób, albo zakazywać przychodzenia z partnerem takim, jakiego sobie macie dokładnie, nie jest w stanie wywierać na was presji w zakresie zmieniania swojej tożsamości seksualnej,
1551:  rany boskie, na szczęście szkoła sobie nie uzurpuje jeszcze tych praw, chociaż jak widzicie, praktyka jest różna i oczywiście, równocześnie jest też wada, to znaczy może wam narzucić chociażby to, że nie możecie pić alkoholu, ponieważ ustawa o wychowaniu w trzeźwości.
1568:  Więc tak, są za i są przeciw strony, natomiast jeżeli organizowane jest to przez instytucję zewnętrzną, to oznacza to automatycznie, że wtedy szkoła absolutnie nie może już w nic ingerować, ponieważ to nie jest impreza szkolna i wtedy przyda się Wam na przykład zarządzanie dokumentacji szkoły związanej ze studniówkami.
1586:  W takich, a nie innych latach.
1587:  Kopia rejestru wyjść grupowych, bo w ten sposób jesteście w stanie zdefiniować, czy studniówka jest traktowana jako wyjście grupowe, czy wycieczka.
