Historia i teraźniejszość i zombie | Dla każdego coś przykrego #30
🔗 https://www.youtube.com/watch?v=O4IQ2mwN85Q

0:  Nudna, strupieszała lektura i ramotka?
168:  Zamiast, żeby oddać swobodę nauczycielom i przestrzeń, znieść hędorzone podstawy programowe i pozwolić na dynamiczne reagowanie na potrzeby uczniów i dostosowywanie programu nauczania do tychże, to nie, tworzymy nowy przedmiot, żeby jeszcze bardziej dociążyć ludzi, którzy więcej wyrabiają w szkole niż...
189:  pracownicy w kopalniach na Szychcie i jeszcze w dodatku za darmo i jeszcze kolejny przedmiot i nowa podstawa programowa.
200:  I nie byłoby w tym jeszcze nic prawdopodobnie złego, gdyby nie fakt, że mamy do czynienia z podręcznikiem, który został napisany, jak to delikatnie ująć, z tezą.
213:  Więc jak przyglądamy się mu i robili to już za mnie dziennikarze w niektórych mediach, oczywiście robili to w sposób niesłychanie tendencyjny, to z pozoru wszystko jest w porządku.
224:  45-79 to wprawdzie bardzo interesujące określenie teraźniejszości i bardzo wiele mówiące na temat tego, kim jest profesor Roszkowski i jakie ma pojęcie na temat teraźniejszości, czy faktycznie powinniśmy tym pojęciem my
241:  w roku 2022 się przejmować, ale wciąż treść podręcznika odpowiada przynajmniej jego tytułowi, choć wciąż uważam, że dopisek i zombie byłby bardziej atrakcyjny.
255:  W każdym razie,
257:  W zasadzie tym dopiskiem, który powinniśmy mieć, to byłoby historia i teraźniejszość i ideologia, bo ideologia jest ukochanym słowem profesora Roszkowskiego i w zasadzie o tym jest cała ta książka, a w każdym razie te z jej fragmentów, które udostępnił na swoich stronach Biały Kruk.
274:  Nawiasem mówiąc, bardzo mnie rozbawiło, ponieważ magister niełuki i szkodnictwa wyższego oznamił bardzo radośnie, że wszystko jest obiektywnie i naukowo, ponieważ do konkursu został zgłoszony tylko jeden podręcznik jednego wydawnictwa,
289:  W związku z powyższym, to on będzie dopuszczony.
293:  To nie jest tak, że stwierdzono, nie no, to wstrzymamy się z rozpisaniem konkursu, rozpiszemy go jeszcze raz, może w przyszłym roku będziemy podejmować się trudu powołania tego przedmiotu, żeby była większa konkurencyjność.
304:  Nie, nie, nie, nie, no to bierzemy ten...
307:  i startujemy z nowym przedmiotem, więc domyślacie się, że niezależnie od tego, czy on będzie dopuszczony do użytku, czy będzie recenzowany pozytywnie, tak czy siak będzie już tym podręcznikiem, co pokazuje tylko, jak iluzoryczne są procedury recenzenckie w Ministerstwie Edukacji i Nauki.
322:  Ale wracając do lektury tego uczonego dzieła,
326:  Czytamy mianowicie przede wszystkim na pierwszej stronie, dosłownie, od skutka II wojny światowej, już pomijam, że naprawdę nie pasuje mi to do teraźniejszości, że ostateczna klęska III Rzeszy rozegrała się na terytorium niemieckim, które uległo ogromnym zniszczeniom, dlatego starano się tam akcentować własną tragedię i straty, bez zastanawiania się, kto zainicjował wszystkie te nieszczęście i kto był ich sprawcą.
351:  Jest to wirutne kłamstwo, biorąc pod uwagę fakt, że w Niemczech do tego stopnia mamy paranoję na punkcie symboliki nazistowskiej, że nawet z gier wideotypów Wolfenstein usuwane są swastyki.
365:  Historia i jej nauczanie jest w odniesieniu do II wojny światowej nieprawdopodobnie rozwinięta właśnie w celu nazwiska.
375:  natykania młodych Niemców do refleksji nad tym, co się działo w ich historii.
379:  O czym wiem z tego względu, że rozmawiam z młodymi Niemcami, którzy są moimi kolegami i później działają w nauce.
387:  Tak działa środowisko naukowe, że ma się kontakty z ludźmi.
392:  którzy się uczą i podchodzą do tej nauki w poważny sposób, w związku z powyższym uzyskanie takiego dostępu nie jest trudne, zresztą można bez najmniejszych problemów otworzyć sobie podręczniki niemieckie i zobaczyć w jaki sposób uczy się tam tej winy, tej traumy narodowej, z którą się Niemcy borykają.
410:  W związku z powyższym takie zdanie nie poparte żadnymi źródłami, a nie popieranie te z źródłami jest charakterystyczne dla podręczników i
419:  jak dlatego tak nie znoszę podręczników jako pewnej idei, jest normą w tym podręczniku.
427:  Bez przerwy tutaj pojawiają się tezy, które nie są w żaden sposób udokumentowane.
431:  Dlaczego, powiedzcie mi, tutaj jest ilustracja, gdzie dokumentuje się zniszczenie Śródmieścia Warszawy w 1946, a nie ma udokumentowania podręcznika niemieckiego, który by coś takiego pokazywał?
442:  Wiesz...
443:  To bardzo proste jest, prawda?
445:  To znaczy, jeżeli chcemy dowieźć takiej tezy, możemy to zrobić w bardzo łatwy sposób.
449:  Jest XXI wiek, o, tutaj na przykład jest taki śliczny QR, bo wiecie, innowacja, nowoczesność.
458:  QR, skanowanie szmartfonami.
461:  No to zamiast, żeby skanować szmartfonem autora podręcznika, profesora Wojciecha Roszkowskiego, żebyśmy pamiętali, kto jest autorem tego podręcznika, który przedstawia kolejny rozdział w materiale wideo, to może byśmy przedstawili fragment takiej lekcji niemieckiego lub historii niemieckiej w niemieckiej szkole, który by pokazywał faktyczną rozpiętość problemu, skoro rzeczywiście jest taki doniosły, ale ewidentnie dowodu nie ma.
485:  więc go nie będzie i nie jest to opatrzone żadnym przypisem.
489:  Dlatego podręczniki są pseudonaukowe.
491:  W źródłach naukowych mamy przypisy po to, żebyśmy mogli konfrontować tezy z źródłami i sprawdzać, czy to są faktycznie tezy naukowe opatrzone argumentem, czy opinie.
502:  To jest opinia.
504:  I druga opinia pojawia się dosłownie.
506:  Tu jest strona 11, tu jest strona 18, parę stron dalej.
510:  Za wyjątkowo kłamliwe trzeba uznać określenie polskie obozy koncentracyjne.
513:  Pełna zgoda, wszyscy się z tym zgadzają.
515:  Pojawiające się na całym świecie, nawet w mediach, zdawałoby się bardzo szacownych.
519:  Zdawałoby się bardzo szacownych, to jest wartościowanie.
521:  Czy może być jednak inaczej, skoro w Niemczech, także w niektórych szkołach uczą o polskich obozach zagłady czasu II wojny światowej?
527:  Znowu, dlaczego tutaj nie ma fragmentu z...
532:  podstaw programowych, podręczników, czegokolwiek innego, tylko jest przegląd Hitlerjugend Hansa Franka.
539:  Kto odpowiada za te ilustracje?
542:  Albo jest winny wydawca, albo jest winny autor i jeden i drugi jest w takim wypadku idiotą, który jeszcze do tego wszystkiego marnuje okazję do tego, żeby udowodnić konkretną tezę.
554:  Ach...
555:  No i właśnie, dochodzimy do rozdziału drugiego, który wywołał tyle sprzeciwu i poniekąd słusznie i teraz sobie go troszeczkę rozbierzemy, dobra?
563:  Bo staram się nie wchodzić na grunt historii, nie znam się na tym, nie jestem historykiem, ale jeżeli na czymś się znam...
571:  to na konstruowaniu tez naukowych i na literaturze oraz kulturze.
576:  Na tym i języku, na tym się znam i nie umieszkam teraz z tej wiedzy skorzystać.
580:  O to czytamy.
582:  Słowo ideologia słyszymy bardzo często.
584:  Pojęcie to zawsze wybrzmiewa negatywnie.
591:  Mistrz Jedi Obi-Wan Kenobi powiedział kiedyś do Anakina Skywalkera, tak to drugie odniesienie do Gwiezdnych Wojen dzisiaj, Only a Sith deals in absolutes.
600:  Tylko Sith używa absolutów.
603:  I tego rodzaju tezy, jeżeli chcemy, żeby były naukowe, trzeba się bardzo postarać, żeby je udowodnić, zawsze wybrzmiewa negatywnie.
613:  No dobra, jeżeli to pojęcie zawsze wybrzmiewa negatywnie, moi drodzy, wiemy co zrobić.
618:  Sięgamy do źródeł, prawda?
620:  No więc mamy profesor Puzyniny artykuł Ideologia w języku polskim.
625:  Zobaczmy, jak to zawsze faktycznie funkcjonuje i czy rzeczywiście jest używane.
632:  Zawsze i wszędzie w języku polskim.
634:  Profesor Puzynina jest językoznawcą.
637:  Obok znaczenia ideologii jako nauki, jakie odnotowuje słownik wileński 861, jako jedyne, a encyklopedia powszechna 863 i słownik warszawski 902 na pierwszym miejscu, jeszcze na początku XIX wieku pojawia się negatywnie nacechowane znaczenie ideologii jako teorii niemającej związku z rzeczywistością wręcz rojenia i marzycielstwa.
656:  No więc możecie powiedzieć, nie no, profesor Rożkowski ma rację, negatywnie pobrzmiewa ideologia.
663:  Ale przeczytajmy dalej, okej?
665:  Ten sam akapit.
667:  Słowo to zawdzięcza pierwszy negatywnie nacechowany obraz Napoleonowi.
672:  Mmm, Napoleon, ja myślę, że to jest figura historyczna, która powinna być znana historykowi.
678:  No chyba, że oczywiście był kształcony w polskim systemie szkolnictwa, który uczy dat, uczy wydarzeń, uczy bitew, ale nie uczy myślenia.
687:  Napoleona irytowały mianowicie dążenia uczonych ideologów do pouczania władców m.in.
693:  jego samego, jak należy rządzić, jak tworzyć, jak stosować prawo.
700:  To nie chcę martwić profesora Roszkowskiego, ale wedle tej definicji historycznej skąd idą napoleońskiej, jest on ideologiem, ponieważ poucza on, w jaki sposób należy rządzić, w jaki sposób należy myśleć i nie zajmuje się tym, czym powinien się zajmować uczony, taki, który by nie wkurwiał Napoleona, a mianowicie siedzeniem w książkach, dokumentowaniem źródeł, tylko pcha się do polityki.
726:  W ten sposób jesteśmy w stanie odróżnić ideologa od naukowca.
730:  W związku z tym, skoro już wiemy, że profesor Roszkowski jest ideologiem, a nie naukowcem, możemy podążać dalej śladami odkryć językoznawczych profesor Puzyniny.
741:  i będzie coraz lepiej.
743:  Te ujęcia miały wpływ na nieprzychylny osąd ideologii jako filozofii, które się przypisuje myślom ludzkim, a nie warunkom materialnym.
750:  Istotne oddziaływanie na rozwój życia społecznego, osąd to wyrażony przez Marksa i Engelsa, m.in.
757:  w ich dziele Ideologia niemiecka.
772:  Czyli profesor Rożkowski nie dość, że jest ideologiem, to jeszcze jest marksistą.
778:  Wspaniała to wiadomość, ponieważ na ustach profesora Rożkowskiego marksizm pojawia się wyłącznie w jednym kontekście i zawsze jest to kontekst negatywny.
787:  W związku z powyższym już wiemy, że profesor Rożkowski jest człowiekiem niewysłowienie skromnym i uczciwym intelektualnie, to znaczy sam siebie batorzy jako ideologa i marksistę, którego absolutnie nie należy słuchać.
800:  No więc czytamy sobie dalej.
820:  że ideologia jest uproszczoną wersją filozofii na potrzeby różnych programów politycznych, a więc czymś zdecydowanie płytszym niż światopogląd czy zasady moralne.
829:  To, incydentalnie, jest prawie dosłowna definicja ideologii, jaką przytacza Karol Marx i Fryderyk Engels w ideologii niemieckiej, właśnie w taki sposób krytykując całą heglowską filozofię ducha i te nurty, które się z niej wywodzą, więc...
845:  Brawa, brawa, widać, gdzie pan profesor Roszkowski zasięgał języka, zanim zaczął pisać podręcznik dla prawicowego przedmiotu, czy inspirowanego prawicowymi wartościami.
858:  Co tylko powinno wam jeszcze z większą ostrością pokazać, jak bardzo głupia jest podstawa programowa i system oświaty.
866:  On się sam kompromituje.
868:  Wystarczy tylko trochę poczytać między wierszami.
872:  Najlepsze.
873:  Czytamy dalej, że cechą wyróżniającą ideologię jest utopijność, ponieważ usiłuje ona przekształcać świat na podstawie nierealnych kryteriów.
883:  Ideologię, wracamy do Marksa i Engelsa, atakują także sferę duchową człowieka.
887:  Mówiłem, że się oberwie filozofii ducha Hegla.
890:  Posługują się nimi inżynieria społeczna i socjotechnika, mające za cel przekształcenie społeczeństw dla potrzeb osiągnięcia i posiadania władzy.
898:  Nie mogę nie napomknąć równocześnie, że bardzo znaczące jest to, że tezy reformatorów edukacji, osobliwie tej edukacji polskiej, zwykle określane są mianem utopijnych i wiele razy wyśmiewałem się z tego, że Polska, także lewica, jest ewenementem na tle lewic ogólnoświatowych z tego względu, że używa kategorii utopii w znaczeniu negatywnym.
924:  gdy tymczasem cała lewica zachodnioeuropejska używa utopijności w charakterze czegoś bardzo pozytywnego.
930:  Rów Levitas w książce Utopia as Method, czyli Utopia jako metoda, mówi, że są właśnie dwa takie nurty myślenia o utopiach.
938:  Utopia, która jest utożsamiana z terrorem i totalitaryzmem i to jest charakterystyczne dla utopii.
943:  generalnie wszystkich republik posowieckich i Słowian, no i drugi nurt myślowy, w którym mówimy o utopii jako pewnym wyzwaniu intelektualnym, jako czymś, co ma nam wszystkim zapewnić szczęście, ale jest pewnego rodzaju eksperymentem, nie ma być zamordystycznym programem politycznym, który jest komuś narzucany.
960:  Ja na przykład mówiąc o tym, jak można byłoby robić i realizować edukację i jak nie warto tego robić,
967:  Ja niczego nikomu nie narzucam, nie mam władzy, jedynie mogę kogoś zainspirować do tego, żeby coś zmienił.
973:  W związku z powyższym używanie w takim odniesieniu hasła utopijności jest podwójnie krytyjskie i smutne jest to zarazem dlatego, że cementuje ten nasz polski problem, który diagnozował swoją drogą Aleksander Świętokowski w książce Utopię w rozwoju historycznym.
990:  Wiecie co mówił Świętochowski?
992:  Pozytywista, żeby było śmieszniej.
993:  Świętochowski powiedział, że Polacy są tak strasznie zagrzebani w historii, że nie są w stanie spoglądać w przyszłość i nie będą nigdy w stanie stworzyć żadnej utopii politycznej.
1004:  Więc jeżeli chcemy krytykować utopijność, to tak, to musimy krytykować także Świętochowskiego, pozytywistów i ludzi XIX wieku, którzy dobrze sobie zdawali sprawę z tego, że mądrze jest nie tylko patrzeć w tył, ale także w przód.
1017:  Gdybyśmy mieli patrzeć wyłącznie w tył,
1020:  dupę mielibyśmy zamiast twarzy.
1023:  No i najlepsze.
1024:  Wśród najbardziej popularnych obecnie ideologii politycznych, to jest już manipulacja, bo przechodzimy ładnie od ideologii do ideologii politycznej, która jest czymś zupełnie innym, należy scharakteryzować socjalizm, liberalizm, feminizm, ideologię gender...
1048:  współczesną chadecję czy chrześcijańską demokrację.
1054:  Ja myślę, że można byłoby również w ramach tych ideologii politycznych wymienić na przykład wodne robaki, laserowe polipropyleny,
1068:  a także niehałaśliwe głośniki, czyli inne nieistniejące rzeczy, tak?
1072:  Ideologia gender.
1074:  Bo tak, coś takiego nie istnieje, chyba że ktoś rozumie kategorię ideologia płciowości.
1082:  Ja nie rozumiem, co to może znaczyć.
1084:  ale długo musiałbym wam tłumaczyć, dlaczego ten termin jest kretyński, prawdopodobnie zrobię o tym cały osobny odcinek, ale tak, po pierwsze nie istnieje, nie jest używany nigdzie indziej poza bardzo wąską grupą polskich polityków i niektórych publicystów, nazwijmy ich wspaniałomyślnie prawicowymi, chociaż to obraza dla prawicy i nie znaczy nic.
1107:  Znaczy, żebyśmy zrozumieli, co ono oznacza, musimy zrozumieć bardzo wiele z dyskusji politycznej, która się wokół niego tworzyła.
1116:  I coś takiego Jean Baudrillard nazywa transpolityką.
1119:  Tak, wiem, jest trudno, ale jeżeli mamy do czynienia z tym, co kiedyś Herbert ładnie nazwał oszustwem intelektualnym, Herbert nazywał Adama Michnika oszustwem intelektualnym, to musimy niestety rozbrać to z wykorzystaniem subtelniejszych narzędzi niż tylko stwierdzenie, haha, kretyn.
1135:  W związku z powyższym, zamiast stwierdzić, haha, kretyn, musimy powiedzieć, że coś jest transpolityką.
1140:  Transpolityka w dużym skrócie oznacza manipulowanie znakami i symbolami w taki sposób, że nie wiemy, co one już pierwotnie oznaczają.
1149:  Więc transpolitycznie ideologia gender funkcjonuje w określonym środowisku.
1153:  Ludzie rozumieją, co to znaczy, bo rozumieją ten symbol, który on oznacza.
1157:  Tak samo jako symbol zaczęła funkcjonować katastrofa smoleńska albo zamach
1164:  jako nazwa na tę katastrofę, transpolitycznie, bo już nic nie znaczy, ona nie odwołuje się do żadnego zjawiska, które istnieje w rzeczywistości.
1174:  Jeżeli powiem na przykład woda, woda się odwołuje do czegoś, co istnieje w rzeczywistości, jesteśmy w stanie to posmakować, zobaczyć, sprawdzić.
1182:  Nie ma czegoś takiego jak ideologia gender, nie istnieje.
1185:  Funkcjonuje natomiast transpolitycznie.
1189:  Natomiast zażenująco uznaję próbę oczywiście dodania później chadecji czy chrześcijańskiej demokracji, bo jak domyślacie się jest to zrobione wyłącznie po to, żeby nadać temu zdaniu pozory obiektywizmu.
1202:  Nie ma ono ani pozorów obiektywizmu, ani nawet pozorów intersubiektywizmu.
1207:  Jest ono subiektywną demokracją.
1209:  głupawą i tępą opinią, która świadczy o kompletnym braku rozeznania w temacie i w zasadzie każdy mądry redaktor by takie zdanie wyciął, ponieważ niezaznaczone fragmenty tego podręcznika przeze mnie głupie nie są, tak?
1225:  Nie są fałszywe, nie są nieuczciwe intelektualnie, ale te fragmenty są i dobry redaktor naukowy jest od tego, żeby siąść z profesorem i powiedzieć mu, tak jak Luke Skywalker mistrzowi Jodzie, że panie, nie, nie należy sękatym kosturem walić w droida naprawczego, bo droid naprawczy służy do naprawiania X-Winga i mistrz Yoda wtedy mówi uuuu.
1247:  Wiedziałem nie, że to tak.
1250:  I profesor Rożkowski też może powiedzieć, nie wiedziałem, że nie ma czegoś takiego jak ideologia gender, że to tylko transpolityka.
1259:  I wszystko jest w porządku, tak może sobie być dalej historykiem, ale nie wychodzi na idiotę.
1263:  Natomiast w takim zdaniu, z perspektywy ludzi, którzy się na tym znają, wychodzi na idiotę, zupełnie niepotrzebnie i paradoksalnie brak właśnie redaktora naukowego doprowadza do tego, że tego rodzaju naukowcy się kompromitują intelektualnie i kompromitują również intelektualnie każdą formację polityczną, która będzie za nimi stała.
1282:  I zobaczcie, co się dzieje dalej.
1284:  Podobnie jak komunizm nie był wybrykiem zwyrodniałego umysłu Lenina i Stalina, taki nazizm nie był produktem opępania Hitlera.
1290:  Obydwa te nurty wyrastały z głębokich korzeni intelektualnych zafałszowań, nieraz nawet intelektualnych zboczeń europejskich.
1298:  To znowu nie jest język naukowy, nie jest to język popularnonaukowy, ale przede wszystkim jest to język haniebny, ponieważ konfrontuje
1308:  i chadecje, i badania nad genderem, czyli płcią kulturową dla tych z was, którzy nie wiedzą, czym jest gender, z nazizmem, i hitleryzmem, i stalinizmem.
1320:  I dlaczego mówię, że to jest haniebne?
1322:  Dlatego, że udowodniono zbrodniczym ustrojom totalitarnym, nawiasem mówiąc, totalitaryzm nie jest ideologią, jest systemem politycznym.
1331:  W związku z powyższym mamy kolejny błąd merytoryczny na koncie pana profesora.
1337:  Więc udowodniono tym zbrodniczym systemom zbrodnie przeciwko ludzkości.
1341:  Udowodniono, że doprowadziły one do ludobójstwa.
1345:  Można mieć dowolne poglądy polityczne.
1349:  Można mieć problem z tym, ja nie mam, że ludzie chcą celebrować miesiąc dumy.
1355:  Ale nikt nie ma prawa powiedzieć nigdy, że ktokolwiek, kiedykolwiek
1365:  reprezentujący nurty feminizmu, gender studies, queer studies, środowiska LGBTQ+, aktywistów.
1374:  Nikt nigdy nie popełnił zbrodni przeciwko ludzkości.
1377:  Żaden z przedstawicieli.
1380:  Nie wolno zestawiać ze sobą tego rodzaju rzeczy, nawet dla celów politycznych.
1385:  Bo być może właśnie dla ideologów to są tylko transpolityczne etykietki, bez żadnego znaczenia.
1392:  Ale dla ludzi nie.
1393:  I to, że prezydent
1396:  pewnego nadwiślańskiego kraju, potrafi powiedzieć o ludziach jako o ideologii, czego nierozumiała część osób, jest właśnie elementem transpolityki.
1405:  Bo niestety dla człowieka, który nie myśli i jest pozbawiony empatii, to jest słowo wytrych, słowo klucz, to jest znak pozbawiony znaczenia, pozbawiony odniesienia.
1417:  Nic nie znaczy.
1418:  Można sobie nim handlować i żonglować bez żadnego problemu.
1421:  I właśnie to prowadzi do tego rodzaju sytuacji, jest niesamowicie niebezpieczne, bo zauważcie, że wystarczy, że będzie to czytał człowiek, w liceum chociażby, nieuzbrojony w takie narzędzia, które ja muszę tutaj wytaczać.
1434:  i potraktuje tego profesora skądinąd zasłużonego dla nauk historycznych jako autorytet i nie będzie sprawdzał, czy on ma rację.
1442:  Nie będzie upewniał się, czy to aby na pewno nie jest manipulacja, ponieważ będzie zajęty tym, żeby wpruć to wszystko do kolejnego bezsensownego egzaminu, bo przedmiot to obowiązkowy, prawda?
1452:  Więc nie będzie się koncentrował na tym, żeby sprawdzić, czy to jest słuszne i dlatego to jest właśnie nieuczciwe intelektualnie i to jest oszustwo intelektualne albo, by użyć określeń samego profesora, zboczenie intelektualne.
1465:  Bo właśnie to doprowadza do krańcowych patologii w rodzaju tej, w której będziemy podążać ślepo za jakimś ideologiem.
1473:  Niesamowicie paradoksalne dla mnie jest to, że ktoś, kto tak krytykuje ideologię, sam jest ideologiem i to jeszcze mało wprawnym.
1480:  Bo wiecie, wprawni ideologowie doprowadzali do tego, że 40 milionów, 50 milionów, 60 milionów ludzi szło za nimi i nawet nie patrzyło, czy będzie na przykład doprowadzało do ludobójstwa.
1492:  A taką kiepską ideologię w pięć sekund się rozbraja, byleby tylko mieć oczywiście stosowne narzędzia do tego.
1501:  O boi, a my jesteśmy dopiero na drugiej stronie tego.
1503:  Dobrze, że nie ma całego podręcznika dostępnego.
1506:  Z kolei na stronie sześćdziesiątej mamy następujący Filipiki.
1513:  Trzeba wiedzieć, co to jest federacja.
1515:  No, nie sposób się nie zgodzić.
1517:  Trzeba wiedzieć, co to jest federacja na przykład wtedy, kiedy naszym sąsiadem jest coś takie jak Federacja Rosyjska.
1524:  Terytoria federacji posiadają tylko autonomię, mają tylko autonomię, drogi panie profesorze, posiadają autonomię, jest nieprawdopodobnie prewencjonalna językowo, a rząd jest jeden dla wszystkich.
1535:  Wobec tego w federacji poszczególni jej członkowie nie są suwerenni, co najwyżej autonomiczni.
1539:  Zakres tej autonomii zawsze określa jednak władza centralna i może być on zmienny.
1544:  Członkowie Unii Europejskiej nie posiadają, nie mają wspólnoty historycznej niezbędnej do zgodnego i sprawnego funkcjonowania planowanej federacji.
1551:  Nie istnieje też wspólnota językowa.
1553:  Bardzo różne są tradycje i obyczaje w krajach członkowskich.
1556:  Może wstrzymam tutaj ten potok myśli, ten strumień świadomości, a jak pamiętamy, wszystkie strumienie świadomości prędzej czy później trafiają do Rynsztoka, w którym teraz się o to nużamy.
1567:  Więc po pierwsze, istnieje coś takiego jak wspólnota językowa i ona jest w zasadzie globalna, bo w tym momencie lingwa franka, czyli język uniwersalnie używany, to jest język angielski.
1577:  Tak się składa, że jest on językiem używanym w Unii Europejskiej i w większości krajów tego świata.
1583:  Nie byłoby narracji fantastyczno-naukowych mówiących o przyszłości wspólnej ziemian pod szyldem jednego rządu, gdyby nie fakt, że istnieją przesłanki ku stworzeniu takiego wspólnego systemu językowego, więc to obalamy.
1596:  Druga kwestia, tradycje i obyczaje w krajach członkowskich są różne.
1599:  Hmm, zastanówmy się.
1600:  Wspomniałem o Federacji Rosyjskiej.
1603:  Hmm.
1604:  Rozciąga się za Ural.
1608:  Jej obrębie są ze trzy rasy, kilka różnych religii.
1612:  Muzułmanie funkcjonują razem z ludźmi prawosławnymi.
1617:  Przy okazji jeszcze będziemy mieć spokojnie kilkanaście, o ile nie kilkadziesiąt różnych kultur.
1623:  Największa, największy z krajów, czy to nie jest suwerenny kraj, ale powiedzmy z terytoriów tej federacji, bynajmniej
1631:  Nie jest rdzennie rosyjski.
1635:  Więc co tutaj się dzieje?
1637:  My mamy do czynienia z federacją, jak rozumiem, prawda?
1640:  I teraz trzeba się zastanowić, dlaczego potrzebna była profesorowita Filipika.
1644:  No oczywiście, że dlatego, żeby mógł swoje własne poglądy polityczne antyunijno-europejskie przemycić.
1652:  Przekształcanie 27 państw w jeden organizm może nastąpić tylko pod wpływem siły.
1656:  Chodzi głównie o siłę gospodarczo-finansową i polityczną, ale...
1660:  Trzeba się liczyć także z koniecznością użycia sił policyjnych lub nawet militarnych, czyli wiecie, wiecie, nie ma to tamto.
1667:  Jak nie będziecie chcieli być częścią wspólnej Europy, to wojsko przyjdzie, niemieckie wojsko, to od Tuska przyjdzie i z Wehrmacht przyjdzie ten sam, który uczy o obozach koncentracyjnych do dzisiaj, że są polskie i przyjdą i zmuszą nas do sfederalizowania.
1688:  Zobaczycie, będzie...
1691:  Można mieć oczywiście takie poglądy polityczne, tak samo jak można np.
1695:  odmawiać używania lodówek albo, nie wiem, stwierdzać, że człowiek będzie się poruszać wyłącznie pieszo i nie będzie korzystać z samolotów.
1701:  Można odrzucać dowolne zdobycze cywilizacji, nauki, nie ma żadnego problemu.
1707:  Ale nikt nie uprawnia nikogo do tego, żeby takie bzdury głosić w podręczniku, który ma być bezstronny.
1717:  I największym problemem szkół jest właśnie to, że przez to, że są państwowe, nigdy nie będą bezstronne.
1725:  Przez to, że są podstawy programowe, nigdy nie będziemy mieć do czynienia ze szkołami, które faktycznie zainteresowane są tym, żeby ludziom przekazywać rzetelną wiedzę, jak to się nazmami.
1737:  Nie!
1738:  Chodzi o to, żeby pod pretekstem mówienia o historii najnowszej przekazywać poglądy polityczne z dzieci niałego staruszka.
1746:  który kompletnie nie orientuje się w tym, co jest teraźniejszością.
1750:  Może świetnie się orientować w zakresie historii przeszłości, pewnie, ale nie w zakresie teraźniejszości, która, przypomnijmy, zamyka na roku 1979.
1759:  I jeżeli byście myśleli, że może przesadzam,
1764:  że nie ma to żadnego związku z wcześniejszym fragmentem.
1766:  Oczywiście, że ma.
1768:  Ideolodzy są przekształcenia Unii Europejskiej w superpaństwo, tak?
1772:  Dziś imperia stwarzają pozodyry demokracji, mają parlamenty, nie posiadają, tylko mają, ale te muszą być całkowicie posłuszne władzy centralnej, na przykład Chiny, Rosja.
1781:  Widzicie, jakie to są szkodliwe i czytelne analogie stwarzane.
1784:  Wewnątrz imperium egzystują różne ludy i narody, ale ściśle podporządkowane władzy centralnej.
1789:  Czyli już wiemy, że nie mamy do czynienia z Federacją Rosyjską, mamy do czynienia z Imperium.
1793:  I tak samo nie mamy do czynienia z Stanami Zjednoczonymi, mamy do czynienia z Imperium.
