Czego chcą nauczyciele? | Dla każdego coś przykrego #19
🔗 https://www.youtube.com/watch?v=NLXaJ-2B-Mc

1:  Co łączy szkołę oraz więzienie?
795:  Możemy mieć też mobbing wstępujący, to znaczy sytuacja, w której mobbingowany jest pracodawca.
800:  Takie rzeczy też się zdarzają.
801:  I mobbing poziomy, czyli coś, co w szkole znamy pod hasłem bullyingu, jeżeli jedna osoba dokucza innej albo ją nęka, albo dopuszcza się jakichkolwiek innych czynów, które są karalne.
812:  Natomiast nie o tym.
814:  Kluczowa kwestia jest taka, że ta sytuacja zastraszania, która nie jest tylko i wyłącznie ograniczona do, nie wiem, sytuacji, które kojarzymy jako typowo zastraszające, ale również obejmuje użycie, jak czytamy z kolei w kodeksie pracy, jakichkolwiek środków nacisku psychicznego przeciwko innej osobie lub grupie osób, która szkodzi fizycznemu, psychicznemu, duchowemu, moralnemu lub społecznemu rozwojowi.
841:  Przebadawszy zatem 1635 respondentów, na okoliczność tego, czy osobiście doświadczają mobbingu, były jego ofiarą albo świadkami, względnie nie doświadczył mobbingu i nie były świadkami, dowiedziano się następujących rzeczy.
858:  No bo pierwsze 70% respondentów to były kobiety.
862:  Jeżeli chodzi o stopień studiów, zasadniczo był to pierwszy stopień studiów, mniej na studiach drugiego stopnia, jeszcze mniej na studiach trzeciego stopnia.
870:  Jeżeli chodzi o lata studiów, najmniej przypadków na czwartym i piątym, najwięcej na pierwszym, drugim i trzecim, ale też sporo absolwentów tutaj się zainteresowało ankietą.
880:  I nauki społeczne i nauki inżynieryjno-techniczne wiodły tutaj prymcoć, interesujące nauki techniczne w mniejszym stopniu.
888:  To by się też zgadzało z tym raportem dotyczącym molestowania seksualnego, który omawiałem wam w poprzednim filmie, postaram się go tutaj gdzieś podlinkować w karcie i w opisie filmu także.
899:  Natomiast kluczowa kwestia jest następująca.
902:  Co wykazał ten raport?
905:  Wykazał mianowicie, że 40% w ogóle osób doznało mobbingu lub było jego bezpośrednim świadkiem lub znało też osoby, które doświadczyły zachowań mobbingowych, czyli znowu mamy taką sytuację, że ponad połowa danej grupy doświadcza sytuacji, która jest absolutnie karalna.
920:  Ale dlaczego wam to przywołuje?
922:  Mianowicie wpływ zachowań mobbingowych daje się zmierzyć występowaniem następujących stanów.
930:  Emocjonalny, strachu,
934:  Poczucia poniżenia, bycia obiektem nieprzyzwoitych komentarzy, a także możemy również doznawać pewnych konkretnych konsekwencji.
944:  Możemy mieć utrudnione zaliczenie przedmiotu lub egzaminu lub kartkówki lub czegokolwiek innego.
949:  Mogą oczywiście wystąpić też sytuacje znieważenia słownego, zachowania księksistowskie, krzyczenie.
955:  Tak, tak, tak, tak, moi drodzy, krzyczenie na zajęciach czy krzyczenie na lekcjach to jest mobbing.
962:  to nie powinno nigdy mieć miejsca, nie wolno wrzeszczeć na nikogo i przypominam, mobbing poziomy, pionowy itd.
968:  i wstępujący, czyli druga strona też nie powinna krzyczeć na stronę prowadzącą zajęcia czy lekcje, tak?
974:  To jest mobbing, bo chodzi o to, żebyśmy zachowywali jakiś dobrostan psychofizyczny.
980:  No i wreszcie przemoc fizyczna to jest najmniej, jak widzicie, czyli inne tego rodzaju zachowania.
988:  No i problem polega oczywiście na tym, że studenci przebadani, przypominam, grupa 1635 osób, które się zgłosiły do badania, nie podjęło 42% jakichkolwiek działań, nie uznało, że nic to nie zmieni, to aż 32%, albo że było niepotrzebne to 6%, 16% ledwie odważyło się cokolwiek z tym zrobić.
1014:  Dlaczego?
1015:  Skoro studenci są grupą świadomą, to są ludzie dorośli, a jednak wiedząc i zdając sobie sprawę z tego, że znajdują się w sytuacji, w której dzieje się im krzywda i w której ktoś nie traktuje ich podmiotowo,
1032:  jako część społeczności, tylko wyżywa się na nich, albo wyżywa swoje frustracje, albo wyżywa fakt, że nie zdołało zrobić w trakcie zajęć zdalnych tego, co miało zrobić i teraz musi nadrobić szybko podstawę programową.
1053:  I ci wszyscy ludzie postępujący w ten sposób dopuszczają się mobbingu, a mobbingowani boją się to zgłosić.
1062:  Teraz zadajmy sobie proste pytanie, okej?
1065:  Co w szkołach, w której nie mamy do czynienia z dorosłymi ludźmi, którzy są upodmiotowieni i są obywatelami, komu oni mają zgłosić tę sytuację?
1075:  Gdzie jest jakaś platforma, gdzie można o tym powiedzieć?
1078:  Gdzie są dyrektorzy, którzy mówią to, o co wspomniany dyrektor na samym początku materiału, który miał odwagę postawić się środowisku i
1086:  wstrząsnąć nim i spróbować powiedzieć, że coś się dzieje nie tak, że po raz pierwszy jest taka sytuacja, też padło takie zdanie w tym wywiadzie, że przychodzą do niego ludzie, którzy są kompletnie przeciążeni, bo mieli 15 bombilionów kartkówek i sprawdzianów, które sprawiały, że musieli się uczyć do późnych godzin nocnych.
1103:  Bo trzeba nadrabiać zaległości.
1106:  I nagle ludzie decydują się na to, że posyłają dzieci do szkoły prywatnej.
1110:  I dochodzi do sytuacji, która jest jeszcze bardziej patologenna, ponieważ to nie jest odpowiedź na uwiąd edukacji publicznej, żeby posyłać dzieci do szkoły prywatnej.
1121:  Ja to rozumiem jako decyzję rodzicielską.
1124:  Ale jest to patologenne, ponieważ edukacja na świecie, która jest prywatna albo która jest kosztowna, jest oceniana źle przez wszystkich absolwentów.
1132:  W Stanach zwłaszcza doprowadzono do sytuacji, w której studenci spłacają kredyty studenckie dłużej niż kredyty hipoteczne.
1138:  Jest cały nurt, o którym możecie zresztą posłuchać na YouTubie, Dark Academia, znaczy ludzi, którzy zaczynają się snobować na tą klasistowską wizję nauczania, w której nosimy sobie mundurki, nosimy sobie...
1149:  eleganckie ciuszki i chodzimy po kampusach, które wyglądają na XIX-wieczne.
1153:  Nawiasem mówiąc, Campus Yale w Stanach Zjednoczonych był specjalnie polewany kwasem, żeby wyglądały te mury na starsze.
1160:  To jest patologia pewna, tak?
1162:  Ta sprzedaż edukacji, sprzedaż prestiżu, handlowanie prestiżem edukacji i gatekeeping, czyli stanie na straży dostępu do edukacji i wprowadzanie różnych metod ograniczających dostęp do niej.
1178:  I nie może być takiej sytuacji, w której jeżeli będziemy chcieli, żeby dziecko nie doświadczało mobbingu w szkole, to będziemy je posyłać do szkoły prywatnej.
1186:  Ponieważ w szkołach publicznych wtedy się nic nie zmieni.
1192:  I doprowadzi to tylko i wyłącznie do tego, że będzie coraz więcej szkół prywatnych i coraz mniejsza szansa na to, żeby cokolwiek zmienić w szkołach publicznych, ale przypominam, że nie mówimy tylko o szkołach, tylko mówimy także o uniwersytetach.
1204:  Ba, mówimy także o zakładach pracy, tylko że w zakładach pracy jest, jeżeli to jest porządny zakład pracy, HR i jest możliwość interwencji w sprawach mobbingowania.
1212:  Oczywiście pojawia się również ten sam element, to znaczy strachu.
1217:  I to jest kluczowa kwestia.
1219:  Nadzór i kara
1222:  Działa tylko i wyłącznie dlatego, że ludzie boją się strachu i dają się nadzorować, ponieważ są zastraszani.
1229:  Strach jest centralnym elementem systemu.
1231:  Strach przed złą oceną, strach przed egzaminem, strach przed kartkówką, strach przed testem, strach przed egzaminem dyplomowym, który sprawia, że nie śpimy przed egzaminem dyplomowym, bo się boimy.
1243:  Strach, który paraliżuje nas do tego stopnia, że nie angażujemy się w edukację tak, jak powinniśmy, ponieważ myślimy tylko i wyłącznie o tych pierdołach w postaci ocen, egzaminów i testów, które warunkują nasz byt w szkole w taki sam sposób, w jakim w więzieniu warunkuje nas grafik dnia, który jest za każdym razem taki sam.
1264:  Bo i w jednym, i w drugim przypadku chodzi o złamanie indywidualności, złamanie człowieka.
1269:  Nie myślcie sobie, że ja proponuję tu w tym momencie jakieś proste rozwiązania, jestem utopistą, bo przecież to jest niemożliwe, żeby wprowadzić taką szkołę, w której się nie będzie łamało człowieka.
1279:  Ale rzeczywiście, że to jest możliwe i jak widać są tacy pedagodzy, są tacy edukatorzy, są tacy dyrektorzy szkół, którzy mówią coś podobnego.
1288:  Czyli nie jest tak, że odwarstwiony od szkół Krzysztof, który sobie siedzi na uczelni, może sobie eksperymentować, ma dziwne pomysły, tylko nauczyciele, pedagodzy zaczynają też to zauważać.
1300:  I wspomniałem wam o książce Michela Foucault, nadzorowa dzikaraś, nawiasem mówiąc lewicującego filozofa, więc zapewne prawa strona internetu by powiedziała, że to jest marksista i postmodernista i nie należy go czytać.
1311:  Tylko, że problem polega na tym, że filozofowie tego rodzaju upominają się za krzywdą człowieka.
1317:  I żeby wam pokazać, co tkwi tak naprawdę niebezpiecznego w szkole, tak niebezpiecznego, że możemy porównać tę instytucję z instytucją więzienia, pozwólcie, że przytoczę wam fragment książki Nadzorować i karać.
1330:  Konkretnie w rozdziale drugim pod tytułem Sposoby dobrego tresowania.
1335:  w którym czytamy, dyscyplina produkuje indywidua, tak?
1339:  Fabryka, prawda?
1341:  Równo dla wszystkich tak samo, każdy ma numerek, każdy jest identycznie traktowany, każdy jest umądrowany, wygląda tak samo.
1352:  Oczywiście, chyba że się ustawi, tak, i w szkole, i w więzieniu, nie?
1356:  I będzie miał układy z ludźmi, którzy trzymają władzę.
1360:  Jest specyficzną owa dyscyplina techniką władzy, która czyni z jednostek zarazem przedmioty i narzędzia swojego działania.
1367:  Foucault używa nawet w którymś momencie takiego określenia assujetissement, czyli up...
1373:  Ujarzmienie, pisane z akcentem na ja, tak samo jak angielskie subjugation zawiera w sobie podmiot, tak samo assujetisme zawiera sujet, czyli też podmiot po francusku.
1385:  Ujarzmienie zawiera to ja.
1387:  We wszystkich przypadkach dąży ta strategia do eliminacji jednostki, eliminacji podmiotowości.
1393:  Ujarzmienia, czyli pozbawienia tożsamości, pozbawienia indywidualności.
1402:  To już nie władza triumfująca zatem, która ze względu na własny nadmiar może polegać na swej superpotędze.
1408:  Ta władza jest skromna, zapobiegliwa, kieruje się wykalkulowaną, ale konsekwentną ekonomią.
1415:  Niepokaźne to modalności, drobne procedery, gdy porównywać je z majestatycznym rytuałem suwerenności albo potężnym aparatem państwa.
1426:  który na przykład wyraża się w możliwości inkarcerowania obywatela, wtrącenia go do więzienia, ale również w przymusie szkolnej, wtrącenia do szkoły.
1436:  Choć to one krok po kroku opanują owe wielkie formy, zmienią ich mechanizmy i narzucą im swoje metody, aparat sądowniczy również nie uniknie tej dokonywanej po cichu inwazji.
1447:  I najważniejsze, main takeaway, który chciałbym, żebyście wzięli z tego materiału,
1452:  Sukces władzy dyscyplinarnej należy zapewne przypisać wykorzystaniu prostych instrumentów, hierarchicznego spojrzenia.
1461:  Ten moment, w którym nauczyciel na was patrzy i daje wam do zrozumienia, że jesteście nikim.
1467:  Ten moment, w którym wykładowca każe wam przyjść na kolana na dyżur i daje wam do zrozumienia, że jesteście nikim.
1474:  Ten moment, kiedy dyrektor szkoły albo rektor przywołuje pracownika naukowego albo członkinie czy członka grona pedagogicznego i daje im do zrozumienia, że są nikimi.
1486:  Potem momenty hierarchicznego spojrzenia normalizującej sankcji, czyli kary, która jest tak oczywista, że nawet nikt jej nie kwestionuje i która staje się częścią niepisanego kodeksu zasad.
1501:  Przyzwyczaja się nas wcześniej do takich kar.
1503:  W szkole podstawowej miałem czarne kółko dla niegrzecznie zachowujących się dzieci, które to kółko należało nosić na piersi przez cały czas.
1511:  W sex education pojawiają się podobne stygmatyzujące tabliczki, które muszą nosić uczniowie, którzy albo mają niewłaściwe ubiory,
1525:  albo nie są w stanie podporządkować się binaryzmowi płciowemu i są niebinarni, więc też nie pasują do pewnego schematu i trzeba ich napiętnować.
1536:  To jest właśnie ta normalizująca sankcja, obrzydliwa technika nadzoru i kary.
1542:  I nareszcie kombinacja wszystkich tych technik, czyli normalizującej sankcji, hierarchicznego spojrzenia w specyficznej procedurze tej władzy.
1556:  W egzaminie.
1561:  Tak, w tym egzaminie, który staram się zawsze krytykować.
1565:  W tym egzaminie, który jest retroaktywną, wsteczną legitymizacją tego wszystkiego, co się dzieje w edukacji.
1574:  Mówiąc prościej, to egzamin maturalny sprawia, że w liceum jest podstawa programowa.
1582:  To liceum
1584:  sprawia, że nie w gimnazjum, tylko teraz już w podstawówce jest egzamin, są kartkówki, bo jest podstawa programowa.
1595:  I dlatego też są wcześniejsze formy nauczania, typu przedszkole, zerówka, bo jest później szkoła podstawowa.
1602:  Ale wszystko zaczyna się w tym geście, w tej sankcji,
1606:  w tej dyscyplinującym nakazie prowadzenia egzaminów, który wychodzi z centrum, który wychodzi z władzy.
1613:  Bez tego możliwa jest dopiero zmiana.
1616:  Bez przeświadczenia, że egzamin, na którym oceniamy, jest jedynym sposobem na to, żeby stwierdzić, czy ktoś się do czegoś nadaje.
1625:  I oczywiście każdy może wtedy powiedzieć, że przecież nikt nie wymyślił niczego innego.
1631:  Ale to jest nieprawda, ponieważ egzaminy to jest wynalazek późny, oceny to jest wynalazek późny.
1637:  Wcześniej sobie ludzie jakoś radzili i rzekłbym, biorąc pod uwagę to, jaki mieliśmy postęp technologiczny przez tyle lat, wszystko wskazuje na to, że jakimś cudem tacy ludzie jak...
1648:  Pernik, jak wcześniej, Arystoteles i nie wiem, Platon, ktokolwiek inny, Tomasz Zakwinu, skąd się wzięli?
1655:  Oni nie wzięli się znikąd, wzięli się stąd, że mieli mistrza, który wskazywał im błędy.
1660:  I na tym powinna polegać ta formuła.
1663:  Na feedbacku, sprzężeniu zwrotnym, pokazaniu, to robisz źle, zrób to inaczej, to wtedy będziesz robić to dobrze.
1671:  Tyle.
1672:  5,0 albo 45,7 punkcika albo 13% nic mi nie mówi na temat moich umiejętności.
1681:  Gdyby mi mówiło cokolwiek na temat moich umiejętności, to wiedziałbym później na studiach, co robić dobrze, żeby unikać tego rodzaju sytuacji.
1688:  Gdyby cokolwiek szkoła mówiła nam w zakresie tego, co robimy źle i jak to naprawić, to ludzie nie przychodziliby z błędnym spojrzeniem na studia i w ogóle nie wiedzieli, co się dzieje, ponieważ nikt wcześniej ich nie sfidbekował.
1701:  Nikt im nie powiedział, co robią źle.
1705:  Bo egzamin nie służy i strasznie bym chciał, żebyście spróbowali przetestować tę hipotezę na własny rachunek.
1713:  Nie służy temu, żeby sprawdzać wiedzę wyłącznie.
1716:  On służy dyscyplinowaniu, on służy nadzorowi, on służy karze dla tych wszystkich, którzy nie powiodło im się, mieli zły dzień.
1728:  I nie napisali tego egzaminu, nie zdali go.
1731:  I wtedy pojawia się w nas jeszcze większy, bardziej paniczny strach.
1735:  Boże, co się teraz stanie?
1737:  Przecież ja nie zdałem egzaminu.
1738:  Przecież ja nie obroniłem pracy dyplomowej.
1741:  To kim ja teraz w ogóle jestem?
1744:  To jest ten sam strach, który czuje więzień, któremu się mówi, że przedłuża się mu wyrok o następne 5 lat.
1750:  To nie jest normalne.
1752:  Nie jest to normalne, że stworzyliśmy taki system.
1755:  I może wreszcie należałoby coś z tym zrobić.
1758:  A nie tylko powtarzać za każdym razem, że jak ktoś wskazuje na problem i patologię i mówi WHAT THE ACTUAL FUCK? !
1768:  to łatwo jest krytykować, to zaproponuj coś lepszego.
1772:  Nie!
1773:  Nie ma lepszego systemu i gorszego systemu.
1777:  Każdy system jest zły.
1780:  Edukacja to jest coś, co się powinno odbywać wyłącznie pozasystemowo i wtedy będzie miała sens.
1786:  I niestety zła informacja dla wszystkich, którzy by chcieli widzieć we mnie egalitarystę,
1792:  który chce dobrego dla wszystkich.
1794:  Nie, edukacja nie jest dla wszystkich im jest wyższa i bardziej zaawansowana.
1799:  Podstawowa jest dla wszystkich, jasne, ale potem nie każdy musi iść do liceum.
1805:  Można zacząć się trenować już w zawodzie, założyć sobie firmę, iść gdzieś na staż.
1811:  I tym bardziej studia nie są dla wszystkich.
