Lista lektur do matury? Zlikwidować | Dla każdego coś przykrego #11
🔗 https://www.youtube.com/watch?v=ZjD-SPSYuS8

1:  Co roku mniej więcej o tej porze system edukacyjny ponosi klęskę.
719:  Sapkowski zdaje sobie sprawę z tego, że kanon nie jest listą, tylko jest narracją i taką narrację tworzy, czego dowodem jest zakończenie tego listu.
727:  Krótkiego wstępu, nawiasem mówiąc, kanony właśnie powinny być poprzedzane tego rodzaju wstępami, żebyśmy znali intencje polityczne osób je układających.
736:  Wracamy jednak do kanonu, pisze Sapkowski, do 85 kanonicznych książek.
740:  Znajomość wszystkich podanych poniżej czyni mistrzem.
742:  Magister Magnus i uprawnia do przedstawiania się takim tytułem.
746:  Znajomość co najmniej 65 pozycji z listy kanonu uprawnia do noszenia tytułu Magister Fantasticus.
752:  Znajomość mniej niż 65, ale więcej niż 55 tytułu Illuminatus.
757:  Znajomość co najmniej 55 pozycji czyni znawcą, ekspertus, co najmniej 50 oczytanym fanem, 49 fanem drugiej gildii, mniej niż 30, ale więcej niż 15 fanem trzeciej gildii, fanowi trzeciej gildii, dalej Szydzi Sapkowski.
772:  O fantasy nie wolno zabierać głosu i musi on natomiast biegać po piwo, gdy starsi od niego rangą tego zażądają.
779:  Znajomość 15 pozycji i mniej czyni laikiem stultus, to bardzo łagodne tłumaczenie łacińskiego stultus oznaczającego debila,
787:  znajomość mniej niż 10, co oznacza zarazem automatyczną nieznajomość, którego jest dzieło pierwszej kanonicznej dziesiątki, czy nitempakiem, czyli ignorantus.
795:  Zobaczcie, co tutaj robi Sapkowski.
798:  Sapkowski daje do zrozumienia, że to wszystko jest pewna gra, pewna zabawa, pewien element takiej salonowej gry towarzyskiej właśnie, gdzie przekwytujemy się w tym, prześcigujemy się w tym, kto zna więcej, kto zna lepiej, kto da więcej.
815:  Ale równocześnie
818:  Sapkowski daje tutaj coś do zrozumienia, że wykonał pracę za nas i ułożył listę książek, które jego subiektywnym zdaniem warto znać.
827:  I sam fakt, że bardzo dużo ludzi w internecie właśnie dopytuje o tego rodzaju kanony fantastyki.
834:  i rzeczy, które chcieliby zobaczyć na Netflixie, albo chcieliby zobaczyć na HBO Go, albo chcieliby zobaczyć na Crunchyrollu, jeżeli chodzi o anime.
842:  To świadczy o tym, że jest zapotrzebowanie na tego rodzaju listy, ale nie listy, które będą sprzęgnięte z systemem oceniania i przede wszystkim z maturami oraz egzaminami, które naprawdę nic nam nie dają ponad to, że utwierdzają niektórych w przekonaniu o tym, że cały czas jest realizowana pewna linia polityczna.
863:  No i wreszcie, pamiętajcie, że podstawy programowe, które są podstawą matur, to jest dokładnie to samo, co plany pięcioletnie układane w Rosji Radzieckiej.
872:  I nic nie mają wspólnego z edukacją, nic nie mają wspólnego z erudycją, za to bardzo dużo wspólnego mają z kształtowaniem w młodych ludziach takiego przeświadczenia, bardzo iluzorycznego o tym, że ten egzamin cokolwiek w ich życiu zmieni.
887:  Spoiler alert.
889:  Nie zmieni.
891:  Bo nie musicie iść na studia.
893:  Możecie iść na studia.
894:  Warto na nie pójść.
896:  Bo już jest to czas w życiu, kiedy można eksperymentować i dostać takiego boosta kreatywnego i przede wszystkim wreszcie pouczyć się samemu.
904:  Ja z 10 lat spędzonych ponad w szkole nie pamiętam literalnie nic.
909:  Ze studiów.
910:  Pamiętam tylko i wyłącznie to, czego sam się nauczyłem i dalej dzisiaj pamiętam tylko to, czego się sam nauczę.
916:  Jak idę na jakieś webinarium czy szkolenie, pamiętam może 1-2%.
921:  Wyciągnijmy z tego wnioski i wyciągnijmy wnioski też z tego, w jaki sposób dzisiaj pochłaniamy informacje.
927:  Przez vlogi, przez filmy na YouTubie, przez dokumentalne produkcje na Netflixie.
934:  Nie tylko i wyłącznie czytając książki.
937:  I nie tylko i wyłącznie, a już na pewno nie tylko i wyłącznie czytając historyczne ramotki, które być może miały znaczenie dla ludzi w XIX wieku czy na początku XX, ale naprawdę nie mają żadnego znaczenia w wieku XXI.
954:  No i dla wszystkich maturzystów przyszłych, którzy mnie słuchają, moje najwyższe wyrazy współczucia.
959:  Mogę tylko i wyłącznie zaapelować do Was o jedną rzecz.
962:  Nie stresujcie się tym, bo ten egzamin nic w Waszym życiu nie zmieni.
967:  Nikt nie spyta o jego wynik poza komisją rekrutacyjną na studiach, a na studiach nawet, jeżeli będziecie się stresować kiedykolwiek wynikami egzaminów i oceną na dyplomie, nikt Was o nią nie spyta.
981:  z rekruterów w firmach i korporacjach.
983:  Ich będzie interesowało, jeśli w ogóle, to logo jakiejś uczelni.
988:  A żeby zdobyć logo uczelni na Linglinie, możecie się zapisać na kurs wakacyjny na Stanforda na trzy miesiące, gdzie nie będą pytać Was o wynik matury.
997:  Tylko zawołają pieniądze.
1000:  Więc prawda jest taka, że jesteśmy zakładnikami systemu, który sami stworzyliśmy.
1004:  Systemu edukacji, który jest bezpłatny, ale jak każda
1009:  Gra freemium ma swoje mikropłatności, których dywidendy bardzo często spłacamy do ciężkiej i późnej starości.
1018:  Na pozytywnej, jakże pozytywnej i optymistycznej nucie kończymy dzisiejszy odcinek dla każdego coś przykrego.
1025:  Ja się z Wami żegnam i do następnego.
