Stracone pokolenie?! Dlaczego szkoła jest po nic | Dla każdego coś przykrego #9
🔗 https://www.youtube.com/watch?v=_LyvL0wfO5M

1:  Stracone pokolenie.
577:  Bo jeśli ktoś naucza dla pasji, to naprawdę nie potrzebuje niczego więcej i tak będzie to robił niezależnie od systemu.
584:  Ja mówię to natomiast w odniesieniu do tych, którzy tego nie robią z pasji.
588:  Czyli niestety do większości.
590:  A mianowicie, jeżeli będziemy się skupiać tylko i wyłącznie na realizowaniu podstawy programowej i ocenianiu i przygotowywaniu do egzaminów, zawsze będzie źle.
599:  Niezależnie od tego, czy jest pandemia, czy nie ma pandemii.
602:  Natomiast fakt, że pandemia wystąpiła i zmusiła wielu nauczycieli do przewalczenia i przezwyciężenia swojej technofobii, przejścia na nauczanie zdalne i no niestety zaakceptowania także tego, że internet okazał się
615:  głównym źródłem wiedzy, mimo że przez lata ostatnio usiłowali udawać, że tak nie jest i spychać internet wyłącznie do tej sfery rozrywki i tego odmurzacza albo czegoś, co odciąga uczniów od pracy, no to wyobraźcie sobie, co to musiało zrobić w umysłach ludzi, którzy boją się nowych technologii.
637:  Albo po prostu ich nie znają i nie są do tego przygotowani.
643:  No ja myślę, że poczyniło to spustoszenia i w tym momencie ta paniczna chęć powrotu za wszelką cenę, bo zwróćcie uwagę, za jaką to jest cenę?
651:  To jest za cenę zagrożenia zdrowia ludzi.
655:  Jaki to wysyła komunikat?
657:  Ano wysyła to następujący komunikat i taką naukę.
661:  Niezależnie od tego, co się będzie działo w życiu, czy będziesz chory na raka, czy będzie umierać ci żona, czy będzie wojna w sąsiednim kraju, ty musisz chodzić?
677:  Wyrabiać normy i zapierdalać w robocie, żeby zarabiać, żeby rosły słupki, żeby rosła Twoja wycena na rynku, żeby rosły Twoje kwalifikacje, żeby stać Cię było na większy kredyt, żeby było więcej zer na koncie.
692:  Tego uczymy, pokazując, że liczą się słupki na egzaminach, oceny, wartościowanie, a nie zdrowie ludzi i ich dobrostan.
703:  I zmierzam tutaj do tego, że tak się nie dzieje wszędzie.
707:  To znaczy, jeżeli sobie zerkniemy za granicę chociażby i zobaczymy, w jaki sposób tam podchodzi się do tej sprawy, to sytuacja jest zgoła odwrotna.
718:  Mianowicie...
719:  Jak czytamy chociażby w tekście w BBC opublikowanym, nauczyciele przez tamtejsze Ministerstwo Edukacji, jego odpowiedni, zostali poinfestruowani, że mają unikać jakiejkolwiek narracji, która by wywierała na uczniach presję, że teraz muszą coś nadrobić, bo wrócili oto do szkół w niektórych wypadkach.
741:  No to tak, no to ten stracony czas pandemiczny teraz trzeba nadrobić, żeby z powrotem te słupki z zeszłego roku były takie jak słupki z tego roku.
750:  I da się zwrócić uwagę na to, że jednak dobrostan psychofizyczny ludzi jest ważniejszy i że trzeba spokojnie wykorzystać ten czas i wykorzystać te szanse do tego, żeby zreformować nie tylko edukację znowu i kolejny system zastąpić nowym systemem, ale zreformować sposób myślenia.
769:  Bo tutaj naprawdę nie zależy od tego, kto nami rządzi, jaki mamy aktualnie system, tylko cały czas o to samo zgniłe myślenie, że egzaminy są ważniejsze od tego, w jaki sposób ludzie się będą komunikowali ze sobą, w jaki sposób będą nauczali siebie i innych, w jaki sposób będą sami siebie nauczali, sami się uczyli, sami...
793:  dochodzili na przykład do wniosku, że zaraz potrzebuję, żeby dostać się do wymarzonej pracy, jednak nauczyć się trochę programowania albo pouczyć się tego języka hiszpańskiego i tak trochę retroaktywnie, wstecznie zaczynamy sami siebie napominać, okej, to ja powinienem
809:  się tego douczyć i wtedy mamy zupełnie inną motywację niż taką sztuczną, związaną z jakimiś ocenkami, z jakimiś procentami, wyznacznikami, które tylko grywalizują nas i zmuszają do właśnie ciągłej rywalizacji, takiej pogoni za czymś, co szczerze nie ma większego sensu, tak mi się przynajmniej wydaje.
830:  I myślę sobie, że to jest dobry czas w tym momencie, żeby zerknąć na to, w jaki sposób można wykorzystywać sieć.
838:  Przecież jest skillshare, gdzie możemy nauczyć się dowolnie...
844:  Czegokolwiek, co jest nam aktualnie potrzebne, niezależnie od tego, czy to będzie rzeźbienie dłutem, czy właśnie programowanie w JSON-ie, a może nauka języka, a może nawet nauka na skrzypcach.
855:  A może będziemy chcieli bardziej teoretycznych kursów, to te znajdziemy chociażby na Khan Academy.
862:  albo w takim serwisie streamingowym, który jest tworzony m.in.
867:  przez content creatorów materiałów edukacyjnych z YouTube'a, czyli Nebuli.
871:  A jeśli to nam nie wystarczy, to jest Coursera, czyli coś, co ja na swój użytek nazywam najbliższą konkurencją dla uniwersytetów.
880:  No bo zastanówcie się, co jest dla pracodawcy w CV bardziej nęcące?
885:  Takie logo UJ czy UW, które jest kompletnie nieznane za granicą, czy logo Stanforda, Penn State University of Pennsylvania, Illinois, Duke, IBM, Google?
896:  Co się liczy bardziej dla pracodawców?
899:  Wydaje mi się, że właśnie zadałem pytanie retoryczne roku, nie?
903:  Dla wydawców bardziej się będzie liczyło i dla pracodawców i dla jakichkolwiek usługodawców i zleceniodawców to, co jest najbardziej znane na świecie.
916:  Logiczne, tak?
918:  Nikt nie wie po LinkedInie, czy ktoś się uczył 15 lat na jakiejś uczelni, czy to był dwumiesięczny kurs na Stanfordzie.
927:  Wreszcie, jeżeli ktoś umie programować, to mało który pracodawca zapyta, a gdzie się pan tego nauczył?
932:  Albo gdzie się pani tego nauczyła?
934:  Tylko raczej będzie zadowolony, że ktoś umie programować i go zatrudni.
939:  Więc nazywanie internetu tylko i wyłącznie czymś, co jest zagrożeniem i co sprawia, że uczniowie ściągają i oszukują, a ta narracja cały czas powraca, ponieważ tylko w ten sposób jesteśmy w stanie uzasadnić powrót do stacjonarnego trybu nauczania, pozostaje w całkowitej sprzeczności z tymi źródłami, które są dostępne i o których się po prostu nie mówi.
959:  No i wreszcie pozostaje w sprzeczności także z tym, jaki jest sposób postępowania w polskiej edukacji.
965:  Bo jeżeli przez cały czas zrzucaliśmy odpowiedzialność za nauczanie na korepetytorów prywatnych, na rodziców, albo na samych uczniów, którzy musieli w domu pracować nad zadaniami domowymi, nadrabiać to, co nie zostało zrobione w szkole, ponieważ wiecznie nie ma czasu, ponieważ wiecznie jest podstawa programowa niedostosowana, to teraz mówić, że jak wrócicie do szkół, to wtedy się wszystko zmieni?
988:  To jest hipokryzja takiego rzędu, że ja poddaję się w próbach jej zrozumienia.
994:  I tym razem w cyklu dla każdego coś przykrego przykro jest głównie mnie.
999:  Dlatego mi jest przykro, że nie jestem w stanie zrozumieć, dlaczego moi koledzy i moje koleżanki, którzy zajmują się nauczaniem, ale mam coraz większe wątpliwości, czy rzeczywiście robią to z pasji i z sercem,
1012:  cały czas pozostają całkowicie ślepi na to, co jest w nauczaniu najważniejsze, a mianowicie to, żeby wzbudzić w ludziach ciekawość świata.
1025:  Tylko tyle i aż tyle.
1026:  I naprawdę nie potrzebujemy do tego żadnych egzaminów, ocenek, słupków, wykresów kołowych i słupkowych.
1034:  Nie potrzebujemy i nigdy nie będziemy potrzebowali tego.
1038:  Po czego potrzebujemy to wykorzystanie tej sytuacji do tego, żeby ewoluować, bo nauka zawsze polega na tym, że uczymy się na swoich błędach, wykorzystujemy niesprzyjające okoliczności.
1052:  Pokolenie, które teraz w trakcie pandemii przeżywa to, co przeżywa i przezwycięża te trudności, które przezwycięża dzielnie każdego dnia, albo nawet siedzi i nic nie robi, bo wypoczywa.
1065:  jest pokoleniem raczej szansy, szansy na to, żeby coś zmienić wreszcie w naszym kraju, w podejściu do edukacji, na przyszłe lata, żebyśmy wreszcie odeszli od tego, w co uwikłaliśmy się przez ostatnie kilkadziesiąt lat i czego pandemia w żadnym stopniu nie przyspieszyła, ona tylko to pokazała i obnażyła.
1089:  Żadne nowe patologie się w polskiej edukacji nie pojawiły.
1092:  Dowiedzieliśmy się tylko, ile było tych starych.
1095:  Tak więc nie mówmy o młodzieży dzisiaj, że to jest stracone pokolenie, a już na pewno zastanówmy się trzy razy, zanim zaczniemy porównywać
1104:  te sytuacje do sytuacji z okresu wojennego, bo fakt, że mamy dzisiaj do dyspozycji to, co mamy, czyli sieć, która jest ucieleśnieniem ideału encyklopedystów XVIII-wiecznych, powszechnego, egalitarnego, równego dostępu do wiedzy dla wszystkich, grzechem jest z tego nie korzystać.
1126:  Do następnego.
