Musimy porozmawiać o egzaminach | Dla każdego coś przykrego #12
🔗 https://www.youtube.com/watch?v=6nuc2WYITn8

1:  Co ma wspólnego gra wideo z kiepsko zaprojektowanym otwartym światem i polski system edukacji?
640:  Kiedyś matura z języka polskiego wyglądała na przykład tak, że była po prostu rozprawka.
645:  Co więcej, rozprawka na wolny temat, więc jeśli ktoś chciał sobie pisać o grach wideo, wtedy to może akurat nie było aż tak rozpowszechnione, bo powiedzmy, że one jeszcze raczkowały, ale gdyby dzisiaj był taki wolny temat, to wyobrażam sobie, że bardzo dużo ludzi mogłoby pisać o Warhammerze, o anime, o mandze, o komiksach, o grach wideo właśnie i wielu, wielu innych materiałach.
667:  cokolwiek, czym się interesujemy, co jest częścią naszej kultury.
671:  I co więcej, tego rodzaju wypowiedź pisemna pozwala sprawdzić bardzo dużo rzeczy.
676:  Po pierwsze, czy ktoś rozumie kulturę, czy ktoś umie pisać.
679:  To jest ważna rzecz w obszarze nauki języka polskiego.
684:  Ostatecznie ten przedmiot nazywa się język polski, a nie historia literatury polskiej, ani nawet nie literatura polska.
690:  Mamy nauczyć się posługiwać językiem także w odniesieniu do praktyk interpretacyjnych.
696:  A zatem wolny temat to sprawdza.
698:  Tylko wiecie, jaki jest problem z wolnym tematem?
700:  Taki malutki...
701:  Tyci, tyci, tyci problemik, otóż taki jest problem, że ktoś musiałby to czytać i nauczyciele i egzaminatorzy musieliby siąść na dupie, wziąć długopis do rąk i przeczytać to, a się nie chce.
716:  Prościej przecież mieć taki arkusik gdzie jest napisane prawda fałsz gdzie są napisane również gdzieś to jeszcze mam sposoby oceniania jeżeli mamy do czynienia z czymś co proszę bardzo jest bardziej skomplikowane niż prawda fałsz.
734:  Przykładowe odpowiedzi mamy, żeby nauczyciel i egzaminator wiedział, jak wygląda przykładowa odpowiedź i nie musiał się zastanawiać nad tym, bo to przecież takie trudne jest.
748:  Więc nauczyciele i egzaminatorzy nie są bez winy, bo ktoś ten system zaakceptował w takim stanie, w jakim on jest.
755:  Nauczyciele nie wyszli na ulicę i nie protestowali przeciwko testom, nie protestowali przeciwko temu, to było jeszcze w czasach, kiedy ja pisałem maturę, że były takie
764:  Nie wiem, czy dalej jest w ten sposób.
766:  Takie kwadraciki, które trzeba było wypełniać ołóweczkiem, tylko ślicznie ten kwadracik, żeby maszyna potem mogła odczytać to.
775:  Bo nawet człowiek już nie jest zdolny do tego, żeby sobie sprawdzić A, B lub C lub D. Jeżeli ktoś zaznaczył tam krzyżek, a nie tylko wyściubił ten kwadracik, to już oblewał.
785:  Więc tak, egzaminatorzy, naukowcy,
789:  Akademicy także, którzy też nie protestowali i nauczyciele wreszcie są współwinni temu, jak ten system w tej chwili wygląda.
798:  I wreszcie kluczowa kwestia, do której chciałem dotrzeć, jeżeli chodzi w ogóle o egzaminowanie i ocenianie.
804:  Tak się składa, że ja też egzaminuję.
806:  Tak się składa, że robię to na uczelni wyższej.
809:  I tak się składa, że na moich egzaminach zawsze można mieć notatki.
815:  Tak się składa, że nie na moich egzaminach, ale na wielu innych egzaminach u innych prowadzących na wielu uczelniach są wcześniej podane zagadnienia do tych egzaminów, żeby ludzie mogli się z nich przygotować.
828:  A tymczasem w Polsce rokrocznie mamy taki problem, że ktoś się zasadził i zhakował system, żeby się dowiedzieć, z której z tych pięciu lektur będą pytania.
840:  I to zjadujemy się na 24 godziny przed maturą, że będzie lalka.
845:  Wszystko zmienia.
847:  Mamy jeszcze siedem godzin, to można przygotować ściągi.
851:  Zauważcie, nie byłoby tego problemu, gdyby te zagadnienia były znane wcześniej, ale gdyby były znane wcześniej, to by trzeba było umiejętnie ułożyć pytania.
861:  One już by się nie układały tak prosto, żeby była prawda i fałsz.
864:  Maszyna może odczytać i sprawdzić, czy jest prawda, czy fałsz.
868:  Nie byłoby już takie proste, że ten pogłów byle z kartą do oceniania może się sprawdzić.
874:  O tak, ta wypowiedź przypomina tę, która jest jako przykładowa, to dajemy punkt, a ta nie przypomina, to dajemy zero punktu.
882:  No nie, trzeba byłoby niestety troszeczkę się wysilić, kreatywnie do tego podejść.
888:  No i przede wszystkim, bo nawiązałem do mojego własnego modus operandi i tego, jak ja postępuję, uważam, że w dzisiejszych czasach, w XXI wieku, umiejętność rozwiązywania problemów powinna być wyceniana wyżej niż umiejętność memoryzowania, zapamiętywania wiedzy, bo od tego są smartfony, komputery, encyklopedie i źródła.
910:  Nie ma żadnego powodu, dla którego na egzaminie nie należałoby korzystać ze źródeł, ponieważ jak pójdziecie do korporacji i będziecie pracować,
920:  to zawsze, za każdym razem jest tak, że dostajecie zespół i ten zespół dostaje problem i w zespole się dyskutuje.
929:  Na rynku pracy jest wyceniana umiejętność współpracy zespołowej w rozwiązywaniu problemów w oparciu o źródła.
936:  Nikt nikogo nie egzaminuje, nikt nie będzie zakładał, że ktoś będzie mieć wszystko zmemoryzowane.
940:  Jasne, jeżeli jakiś grafik pracuje sobie w premierce, to w którymś momencie będzie starał się zapamiętać maksymalnie dużo skrótów klawiszowych, żeby sobie porobić makra, tak?
950:  ale równocześnie zrobienie testu na studiach albo w ramach jakiegoś szkolenia ze znajomości wszystkich skrótów klawiszowych w Adobe Premiere, tak?
959:  jest absurdem.
961:  Bo nie na tym polega znajomość programu Adobe Premiere.
964:  Ona będzie polegała na tym, że będziemy umieli zmontować film i zrobimy to sensownie i kreatywnie i angażująco.
972:  A to, czy będziemy klikać po menu, czy będziemy używać skrótów klawiszowych, to jest wyłącznie efektywność.
979:  I my mamy oddolnie
981:  ewentualnie uświadomić sobie, no okej, w sumie fajnie byłoby nauczyć się na pamięć tych skrótów klawiszowych, a być może nawet to przyjdzie nam po prostu w czasie z praktyką, ale nigdy nie jest tak, że jeżeli ktoś wam narzuci,
993:  daną pulę informacji do zapamiętania, to ją zapamiętacie na całe życie.
999:  To po prostu takie zjawisko nie istnieje.
1001:  I nie mówię tylko to dlatego, że moja niepamięć jest absolutnie legendarna, tylko mówię dlatego to, że jest udowodnione naukowo, że człowiek zapamiętuje średnio 20-30% z przeczytanych informacji, niezależnie od tego, czy to jest artykuł, czy książka na 500 stron.
1015:  Więc nie jesteśmy w stanie zapamiętać wszystkiego, co się nam wrzuci do mózgu, a poza tym po to był rozwój technologiczny,
1022:  Żebyśmy właśnie nie musieli tego robić.
1024:  Przecież encyklopedyści w XVIII wieku stworzyli wielką encyklopedię nie po to, żeby nauczyć się jej na pamięć i żeby każdy musiał to robić, tylko właśnie po to, żeby ludziom ułatwić docieranie do wiedzy.
1035:  I to internet jest absolutnym ideałem, do którego dążyli encyklopedyści w XVIII wieku.
1041:  Fakt, że z niego się nie korzysta podczas matur, że można ze słownika ortograficznego skorzystać jedynie.
1047:  No dziękuję, no to zaszczęść, dziękuję, no słownika mogę skorzystać.
1053:  Popłaczę się ze szczęścia.
1055:  A prawda jest taka, że gdyby pytania były umiejętnie skonstruowane, to można byłoby korzystać ze wszystkich źródeł, wliczając w to internet.
1062:  Wystarczy tylko się postarać i zapytać na przykład o jakąś książkę, która była wydana niedawno i dać z niej nowy przykład do analizy.
1069:  i sprawdzić rzeczywiście, czy ktoś jest w stanie interpretować na żywo i poradzić sobie z problemem kreatywnym.
1076:  No i ostatnia kwestia, naczelna.
1080:  od której w sumie zacząłem przywołując wam we Finning.
1082:  Zauważcie, że ten biopolityczny, opresywny system, który tam został stworzony do zarządzania kapitałem ludzkim, redukujący ludzi do numerków i procencików i punkcików, został stworzony w bardzo określonym celu.
1097:  To znaczy, on został stworzony po to, żeby ludzie byli zastraszeni i żeby można było nimi łatwo kontrolować.
1106:  Macie 160 minut
1109:  I limit czasu.
1111:  Nikt nie jest kreatywny jak ma limit czasu.
1115:  Zawsze widzę wtedy ten obraz Dolores Umbridge na tle tego wielkiego wahadła podczas egzaminu w Hogwarcie.
1122:  Nikt nie jest wtedy spokojny.
1124:  Jeszcze
1124:  do tego wszystkiego dochodzi stresująca atmosfera samego egzaminu, sytuacji egzaminacyjnej, tego, że trzeba ubrać się w sposób, który jest dla nas niewygodny, czujemy się z tym niezręcznie i ktoś nam każe, niezależnie od tego, czy chorujemy, czy się dobrze czujemy, czy źle czujemy, czy mamy zły dzień, czy mamy dobry dzień, tego dnia!
1142:  Tego dnia ma się rozstrzygać nasze życie na przykład.
1144:  Tego dnia ma się rozstrzygać nasz byt.
1146:  Czy dostaniemy stypendium, czy nie dostaniemy stypendium?
1149:  Czy dostaniemy się do pracy, czy nie dostaniemy się do pracy?
1151:  Czy pójdziemy na studia, czy nie pójdziemy na studia?
1154:  Czy będziemy obywatelem klasy A, czy obywatelem klasy B?
1157:  I informuję wszystkich, którzy są zwolennikami tego systemu, że to nie jest sprawiedliwe, że to nie jest demokratyczne i to naprawdę absolutnie niczemu nie służy.
1170:  Zwłaszcza jeśli się potem okazuje, że ludzie, którzy są ekspertami w danej dziedzinie, nagle tych egzaminów nie zdają.
1177:  Zwłaszcza jak się potem okazuje, że egzaminami na prawo jazdy manipuluje się tak, żeby inkasować za nie najwięcej kasy.
1184:  Zwłaszcza jeśli potem okazuje się, że wyniki matur również można manipulować, oczywiście pod warunkiem, że się ma odpowiednie dojścia do tego i oczywiście pod warunkiem, że umie się nagiąć system dokładnie tak samo, jak to robili politycy w filmie The Finning.
1200:  Po co to wszystko mówię?
1201:  Mam utopijną, idealistyczną nadzieję, że to się zmieni i przede wszystkim, że nauczyciele, wykładowcy, akademicy, ludzie nauk i kultury zrozumieją, że ten system jest do zaorania.
1214:  To nie jest tak, że on jest do reformy.
1216:  On jest do zaorania.
1217:  Stany Zjednoczone rezygnują z testów, którymi myśmy się zachłysnęli za jeszcze profesorem Huntkem i poprzednimi ministrami edukacji.
1226:  To nie jest tak, że to za ministra Czarnka albo poprzedni Piątkowskiego i tak dalej zostało prowadzone.
1230:  Nie, to jest bardzo stare.
1232:  I pokutuje już latami.
1235:  I mam ogromną nadzieję również, że wszyscy, którzy się przejmują egzaminami, a jeszcze się uczą lub planują się uczyć, nie będą się nimi przejmować, bo one naprawdę nic nie znaczą.
1246:  To jest tylko i wyłącznie cyferka w rubryczce.
1249:  Nie jesteście cyferką w rubryczce, jesteśmy wszyscy ludźmi.
1252:  I mamy prawo być traktowani jak ludzie, a nie jak Delty 503 w systemie, który nas weryfikuje binarnie, niezależnie od tego, kim jesteśmy, odbierając nam tożsamość i zmuszając nas do tego, żebyśmy wykonywali zadania, a nie kreatywnie myśleli.
1272:  Jeśli będziemy tak przygotowywać i uczyć nowe pokolenia, to tak,
1278:  W którymś momencie będziemy mieli sytuację taką, że 40-50% zawodów albo specjalistów będzie mogło być absolutnie wymienionych na maszyny, bo one też potrafią wykonywać binarne polecenia, rozstrzygając co jest prawdą, a co jest fałszem.
1294:  Do następnego.
