Mania tytułowania | Dla każdego coś przykrego #46
🔗 https://www.youtube.com/watch?v=4q8dHng_K0w

0:  Ludzie utytułowani dzielą się na dwie grupy.
705:  I teraz to jest dość ważne, ponieważ sporo osób myśli sobie, że jeżeli w dyskusji internetowej na przykład ktoś przywoła autorytet doktora, czyli kogoś, kto zrobił doktorat w danej dziedzinie, żeby było kontrowersyjnie, powiemy sobie nauki medyczne, no i na to ktoś mówi, że...
720:  a ty się wywyższasz, bo mówisz, że masz doktorat.
725:  Nie, ptysiu różowy, nie wywyższa się, tylko mówi fakt, wyraża oczywistość.
733:  Doktorat jest informacją, czyli stopień naukowy również jest informacją w dyskusji.
739:  O co w tej informacji chodzi?
741:  Chodzi o to, żebyś wiedział, wiedziała, wiedział, jak z kimkolwiek rozmawiasz,
745:  że to jest człowiek, który poświęcił minimum 10 lat swojego życia na zgłębianie zagadnienia, w sprawie którego ty, internetowy beserwizerze, czyli gościu, który myśli, że wie najwięcej, uważasz, że zjadłeś wszystkie rozumy.
762:  Otóż nie.
763:  Otóż jeżeli ktoś 10 lat poświęcił jakiemuś zagadnieniu, to minimalną przyzwoitością ze strony dyskutanta jest przynajmniej się o tym dowiedzieć,
772:  przynajmniej zapoznać z częścią jego dorobku i przynajmniej spróbować zrozumieć absolutne podstawy jakiejś dyscypliny, a jak się to już zrobi, zastanowić się czy jesteśmy w stanie po pięciu minutach researchu być tak samo kompetentni jak człowiek po dziesięciu latach.
789:  Więc doktorat czy stopień naukowy doktora nadawany przez Radę Dyscypliny w danej jednostce akademickiej, która zyskał je do tego uprawnienia, bo to nie jest takie proste, to jest informacja.
801:  Tylko.
802:  Więc jeżeli ktoś ma ten doktorat i wy od razu czujecie potrzebę czapkowania, Panie Doktorze, Panie Doktorze, to nie rozumiecie problemu.
812:  To nie o to chodzi.
813:  To jest informacja.
815:  W Stanach Zjednoczonych na przykład, jak piszecie do kogokolwiek list, to jest profesorem czy doktorem, to piszecie Dear i imię i nazwisko.
822:  W ten sposób wyrażacie szacunek, po prostu.
825:  Nie jest ważne, czy ten człowiek jest profesorem, czy ma habilitację, czy ma doktora, nie jest to ważne.
830:  Jest naukowcem, tak?
832:  I nie wymusza na nikim tego, żeby mówić do kogokolwiek per Mr. Doktor.
837:  Już sobie wyobrażam, jakby miał pole w ktoś, kto pracuje na Princeton, czy Stanfordzie, czy Oxfordzie, byście napisali Mr. Doktor,
844:  Albo Mr. Professor.
847:  Ja dlaczego to wiem?
848:  Ponieważ byłem kiedyś studentem, który właśnie napisał tak do profesora Fredricka Jamesona z Uniwersytetu w Durham, którego tekst tłumaczyłem.
856:  I ja oczywiście Mr. Professor.
858:  O, wielki panie profesorze Jamesonie.
862:  A tymczasem on na moje pytanie, czy mogę przetłumaczyć jego artykuł i czy daje mi prawa autorskie do tego i licencję i tak dalej, i tak dalej, odpowiedział Dear Chris,
873:  Yes!
875:  Cheers, Frederick.
878:  I to jest wciąż ten wybitny profesor, filozof, do którego pisałem.
882:  Czy on stał się mniej wybitny przez to, że tak napisał?
886:  Nie, on zyskał jeszcze większy szacunek.
889:  To jest prosta psychologia, bo odbieramy takiego człowieka automatycznie, że jest skromny, że zdaje sobie sprawę z tego, że doktorat czy profesura to jest po prostu informacja dla użytkownika,
901:  ale równocześnie on zmniejsza ten dystans, żeby pokazać nam, że mamy się czuć dobrze w jego towarzystwie.
909:  I na tym polega ta subtelna różnica, że w Polsce będziemy mieli oczywiście to podejście na zasadzie takiego, masz nazywać profesorem, bo inaczej minus 20 punktów zachowanie.
923:  A tymczasem, gdyby tenżeż profesor powiedział do nas milej coś, albo włączył nas w obręb swojej społeczności, a nie kazał nam czapkować, klękać, całować w sygnet feudalny, to nagle by się okazało, że zyskałby o wiele większy szacunek słuchaczy.
942:  No i właśnie, skoro już mówiliśmy tyle o profesorach, jak to jest z profesorów w Polsce, no sprawa jest bardzo prosta.
947:  To znaczy, jeżeli ktokolwiek pisze w Polsce habilitację, to zyskuje...
952:  stopień naukowy doktora habilitowanego.
955:  I ten stopień naukowy doktora habilitowanego również przyznaje w tym wypadku Rada Doskonałości Naukowej w oparciu o opinie albo Rady Wydziału, albo Rady Dyscypliny z danego uniwersytetu.
965:  Jak widzicie, ani jeden stopień naukowy, stopień akademicki nie brzmi w Polsce profesor.
973:  A zatem o co chodzi z profesurą?
976:  Profesura, dokładnie tak samo jak w przypadku profesory oświatowej nadawanej nauczycielom, to jest tytuł honorowy, który albo nadaje senat uczelni i rektor dla pracownika, który ma szczególne osiągnięcia, właśnie dla doktora habilitowanego już, który ma tę nieszczęsną habilitację i wtedy w uznaniu jego różnych zasług dostaje tytuł profesora.
998:  No i oczywiście profesor, który ma klasę, nie będzie mówił swoim studentom, że...
1003:  Wiecie, bo Senat nadał mi tytuł profesora, to... Od razu wiemy, że jeżeli ktoś tak mówi, to nie ma klasy.
1020:  To jest też dla nas jakiegoś rodzaju informacja.
1022:  Informacja z gatunku następującej.
1025:  Uciekaj z tych zajęć gdziekolwiek indziej, ponieważ najwyraźniej nie masz do czynienia z człowiekiem, który jest pewny siebie.
1033:  Bo człowiek pewny siebie nigdy czegoś takiego by nie powiedział.
1035:  A już na pewno nie człowiek pewny swojego dorobku, a już na pewno nie człowiek, któremu faktycznie ten tytuł się należał.
1043:  A zatem wniosek nam płynie z tego wszystkiego następujący.
1048:  Jak zawsze,
1050:  Chodzi tutaj o to, żebyśmy nie czuli bojaźni przed autorytetem i to jest jedna z tych technik, które wam teraz sprzedaję, pozwalająca zredukować to poczucie lęku czy strachu w rozmowie z kimś, kto właśnie w taki sztuczny, paskudny sposób usiłuje to zrobić, a sposób ten niezmiennie przypomina mi satyrę Krzysztofa Łapalińskiego, tak, to będzie ten moment, kiedy Krzysztof zacytuje starą literaturę,
1075:  ale ten fragment jest pyszny i bardzo dobrze opisuje takiego profesora albo nauczyciela, który chce, żeby do niego tak mówić.
1082:  A mianowicie...
1105:  Chodzi o gorączkę.
1107:  Indyk najeżony albo dudy na dętę.
1110:  Pchniesz, aż dudy psykną.
1114:  I te całe powietrze, które się zgromadziło w tym gąsiorze, w tym odętym worze, jak półtora nieszczęścia.
1124:  I nie będzie nadętego balonika ego już.
1128:  To to należy sobie zrobić myślowo, jak macie do czynienia z kimś takim, kto właśnie w nieuprzejmy sposób, bez klasy upomina was co do tego, w jaki sposób ma być tytułowany.
1141:  I teraz na koniec jest jeden jeszcze problem, moi drodzy, to znaczy ile osób uważa, że warto jest pójść na studia albo nie dajcie bogowie, warto jest zrobić doktorat właśnie po to, żeby se móc wstawić takie na...
1157:  logo na LinkedInie, że magisterium tutaj, licencjat tam, doktorat gdzieś indziej i jeszcze najlepiej, żeby wstawić sobie koniecznie w nagłówku w mediach społecznościowych doktor.
1173:  No to wtedy już wiemy od razu i momentalnie, że mamy do czynienia z człowiekiem, który ma osiągnięcia.
1180:  Znaczy tak, bo to jest jego jedyne życiowe osiągnięcie najwyraźniej, skoro jest tak eksponowane.
1186:  I to prowadzi nas do paradoksu, który jest związany w Polsce ze studiowaniem, gdzie wedle różnych statystyk od 40 do 50% to się różnie waha w różnych latach.
1197:  Mamy w Polsce magistrów, to jest dużo za dużo.
1201:  Obecnie według rankingu OECD, wszystko Wam jak zawsze podlinkuję w źródełkach w opisie filmu, jest jakieś 30-40%.
1207:  Czyli 1 trzecia Polski ma wykształcenie wyższe i możecie sobie odpowiedzieć na pytanie, czy faktycznie potrzebujemy tak wielu osób z wykształceniem wyższym w współczesnych czasach, gdy jest bardzo dużo, coraz więcej zawodów z sektora kreatywnego, w których tytuł
1225:  Na przykład doktora, czy nie wiem, jakikolwiek inny, będzie traktowany jako bycie przekwalifikowanym, a nie kwalifikowanym do wykonywania jakiegoś zawodu.
1237:  Ha!
1238:  I to jest pewien kłopot.
1239:  Tak samo jeżeli chodzi o tytuły zawodowe, które otrzymujecie na uczelni.
1242:  Tytuł zawodowy licencjata.
1244:  który dzisiaj jest z jakiegoś dziwnego względu wzgardliwie traktowany, mimo że to jest jeden z najstarszych tytułów, to znaczy w jeszcze średniowiecznych uczelniach było coś takiego jak licentia docendi, czyli licencja na zabijanie, znaczy na nauczanie, przepraszam, na nauczanie i licencję na nauczanie otrzymywał bakałasz po tych dwóch latach.
1265:  Stąd licencjat to bacalaureat, bo bakalarstwo, bakałasz, tak?
1270:  No dzisiaj mówimy licencjat najczęściej z uwagi na to, że taka forma się przyjęła, ale nie zmienia to faktu, że po mniej więcej właśnie tych trzech, dwóch latach, różnie bywa w zależności od uczelni, w Polsce po trzech latach zyskuje się tenżeż tytuł.
1283:  W angielszczyźnie odpowiednikiem jest BA, czyli Bachelor of Arts, bakałasz sztuk.
1289:  To jest właśnie ta stara formuła jeszcze nawiązująca do sztuk wyzwolonych, o to chodzi w tym arts angielskim.
1294:  Potem macie Master of Arts w angielszczyźnie, po polsku magister, czyli ten, jak pamiętamy, który wie więcej od ministra, haha.
1302:  I magister w tym przypadku jest już w wielu zawodach tytułem zawodowym,
1307:  który świadczy o przekwalifikowaniu, na przykład na stanowisko juniorskie.
1311:  Tak jasne jest wciąż dużo firm, które wymagają starego tytułu magistra, ponieważ historycznie w Polsce, w PRL-u konkretnie, magister był jedynym tytułem zawodowym, jakie się dostawało oprócz inżyniera na uczelni, więc mieliście magistra po ukończeniu studiów albo magistra inżyniera, jak to była politechnika lub uczelnia techniczna.
1333:  I ludzie, którzy dzisiaj są buberami zatrudniającymi pracowników w różnych januszeksach spółka bez żadnej odpowiedzialności, pamiętają jeszcze te czasy i mają zakodowane, że magister to ten, który z wyższym wykształceniem, gdy tymczasem wyższe wykształcenie historycznie dotyczyło już bakałaża, tego licencjata, który dostawał licencję do cendi.
1353:  Nawiasem mówiąc, powinno się wieszać wszystkich promotorów na gałęzi, jak Odyna, żeby rozdziobały ich kruki i wrony następnie,
1361:  którzy puszczają sobie tak tych licencjatów z uczelni, bo to oho robimy sobie fabrykę,
1368:  Bo powinni pamiętać, że to jest ta licencja docendi, tak?
1371:  Że to jest ten człowiek, który może zostać nauczycielem.
1374:  Więc jeżeli napisze licencjat, w którym jest pisany łamaną polszczyzną, to raczej ciężko te kwalifikacje nauczycielskie tam zoczyć.
1381:  Albo jeżeli ktoś machnie sobie ręką i to puści, no to macha ręką i puszcza kolejnego nauczyciela, który, co ciekawe właśnie, ogarnięty tytułomanią,
1391:  Bardziej moim zdaniem będzie łacny upominać się o te wszystkie tytuły, bo on głęboko w sobie wie i czuje, że na to nie zasłużył.
1401:  I to jest ten paradoks, który jest związany z tytulaturą.
1404:  Zazwyczaj jest wymuszana ona przez ludzi, którzy głęboko w sobie czują, chociaż nigdy się przed sobą do tego nie przyznają, a już na pewno nie przed innymi, że absolutnie na ten tytuł nie zasługują.
1415:  Tytuł zawodowy nawet, a już nie wspomnę o tytułach honorowych, profesorskich, które są przyznawane.
1421:  A zatem to, na co bym zwracał uwagę, to stopnie naukowe.
1425:  Kto ma stopień doktora, kto ma stopień doktora habilitowanego.
1428:  Możecie to sprawdzać w bazie Nauka Polska, możecie sprawdzać to w Google, w Google Scholar.
1435:  Jest film, podlinkuję go tutaj na wszelki wypadek, jak wyszukiwać Google Scholar, jak sprawdzać te wszystkie tytuły i jak nie zgubić się w tym gąszczu informacyjnym właśnie, w którym...
1444:  Tak się bardzo myli tytuł naukowy ze stopnień naukowym, że ja w ciągu tego odcinka dwa razy też to zrobiłem.
1450:  Bo na tym polega właśnie to nasze przyzwyczajenie.
1453:  Jesteśmy od samego początku uwarunkowani przez szkołę do czapkowania przez ludźmi, którzy mają jakąś tytulaturę.
1460:  i potem to zaczyna eskalować.
1462:  Uważam, że dużą szkodą jest to, co robi część komentatorów, która mówi, że to jest kwestia savoir-vivre, na przykład mówi to Wojciech Wocław.
1473:  O, bo panie profesorze, to nauczyciela, że to piękna tradycja, że zachowajmy te, pielęgnujmy tę piękną tradycję.
1481:  Pielęgnować to se możemy, tę piękną tradycję, wtedy jak nauczyciele sobie na to zasłużą.
1486:  I wiecie, na czym polega paradoks?
1488:  Ludzie sami znajdą sposób, żeby wyrazić szacunek.
1492:  Nie jest ważne, czy ktoś to robi mówiąc proszę pana, czy w jakikolwiek inny sposób.
1497:  To jest nieistotne.
1499:  Ważne jest, żeby przez dobrze wykonywaną pracę budzić szacunek u kogokolwiek.
1506:  I przede wszystkim, żeby wreszcie zerwać z tą tradycją rezerwowania tytułów wyłącznie dla ludzi, którzy mają władzę jakokolwiek.
1514:  Niezależnie od tego, czy są snoblistą, wyżywającym się na czytelnikach i wyzywającym ich od idiotów, czy też są wicepremierem, który do końca życia każe się tytułować premierem.
1524:  To jest nieistotne.
1525:  Zwróćmy raczej uwagę na to, że ludzie, którzy mają fach w ręku, 20 lat, są mistrzem krawiectwa.
1532:  Czy oni nie zasługują na to, żeby powiedzieć do nich per mistrzu?
1536:  Jeżeli ktokolwiek z was się uśmiechnął, usłyszawszy to, to znaczy, że mamy w Polsce problem klasowy.
1542:  Bo gdyby rzeczywiście chodziło nam o oddawanie szacunku innym ludziom z uwagi na pracę, jaką włożyli w to, żeby zdobyć poszczególne stopnie kwalifikacji, to mówilibyśmy tak do wszystkich.
1555:  A nie tylko do osób, które są medialne, typu panie redaktorze, albo do osób, od których zależy nas byt, typu prawnik, panie mecenasie, albo do osób, do których jesteśmy przyzwyczajeni, że nawet jeżeli nie powiemy do nich z szacunkiem, to oni się będą o ten szacunek upominać, czyli nauczyciele i profesorowie.
1573:  Więc myślę, że to jest do zmiany.
1576:  dostrzeżenie szacunku w innych formach językowych, w formach grzecznościowych, które możemy użyć, w dziękuję, w proszę pana, w proszę pani, tak?
1587:  I w innych formach, które w jakikolwiek sposób mogą transmitować nasz szacunek i także w mowie niewerbalnej, która będzie świadectwem tego, że rzeczywiście kogoś szadujemy.
1596:  Natomiast jeżeli ktoś uważa, że
1600:  tytuły i stopnie zdobią, to najwyraźniej nie przyswoił sobie pięknego opowiadania Hansa Christiana Andersena pod tytułem Dom, które wprowadza przepiękny dwuwiersz, dedykowany przeze mnie niniejszym wszystkim, którzy się za bardzo przejmują tytułami, bo złota zniknie na ścianie, a świńska skóra zostanie.
1622:  Do następnego.
1625:  Chrum, chrum.
