W ogniu krytyki hartują się poglądy | Dla każdego coś przykrego #22
🔗 https://www.youtube.com/watch?v=oYiKtajKNl4

0:  W ogniu krytyki hartują się poglądy.
243:  Jak zajrzymy sobie do słownika etymologicznego, okazuje się, że słowo krytykować, czy w ogóle krytyka,
248:  w ogóle pochodzi z francuskiego i angielskiego, ale oczywiście jak większość słów w kręgu europejskim wywodzi się z łaciny i z greki, gdzie odpowiednio znaczy sztukę krytyczną, ale co właśnie znaczy ta sztuka krytyczna?
260:  Otóż oznacza ona najczęściej sądzenie, osądzanie kogoś, wydawanie opinii na czyjś temat zatem, ale także, jak czytamy dalej w definicji, komentowanie jakichś elementów wątpliwych,
277:  dzieła sztuki.
279:  A zatem tego, co właśnie budzi ciekawość, tego, co wzbudza wątpliwość i nieprzypadkowo angielskie criticism użyte w sensie naukowym oznacza dokładnie to samo, co polska interpretacja.
293:  I critical theory oznacza właśnie taką teorię, która się namyśla interpretacyjnie nad otaczającą nas rzeczywistością.
302:  Nie, nie, to nie jest żaden neomarksistowski spisek, jak się czasem mówi w YouTubach i w mediach.
308:  Nie, critical theory oznacza po prostu to i tylko i wyłącznie.
312:  mianowicie osądzanie rzeczywistości, interpretowanie jej, bo interpretować można nie tylko dzieło i przypominam, że interpretacja ma być zawsze swobodna, nie ma czegoś takiego jak narzucona interpretacja albo jedyna poprawna interpretacja.
325:  Interpretacja to jest zawsze nasz własny osąd krytyczny nad konkretnym dziełem.
330:  I jeżeli pozwolicie na jeszcze jedno odniesienie, to w kontekście naukowym, już ściśle antropologicznym,
336:  sformułowania critical czy krytycyzmu używa się także w nieco innym kontekście.
343:  Mianowicie mówi się o, niech znajdę cytat, tym, że critical thinking, myślenie krytyczne innymi słowy jest skorelowane ze sposobem wychodzenia poza własny kontekst.
357:  w nabierania dystansu do siebie i refleksyjności, spoglądania na rzeczywistość i nas samych w niej zanurzonych z no właśnie takiego komfortu dystansu, nazwijmy to.
370:  To jest rzecz, która pochodzi z artykułu Critical Anthropological Thought.
373:  Podlinkuję go wam w opisie, jeżeli będziecie chcieli sobie przeczytać to w kontekście.
377:  Potrzebne mi to jest w jednym i podstawowym celu.
379:  Jeżeli krytyka to wychodzenie poza nasz własny kontekst, to dlaczego jest tak, że ona jest dla nas taka dotkliwa?
388:  Myślę, że to jest głównie z tego powodu, że sam duch krytyczny w Polsce został w pewien sposób zaprzepaszczony.
395:  Nie rozwinęły się u nas nigdy do takiego stopnia satyry, takie inteligentne czy złośliwe recenzje.
400:  Pamiętam, jak usiłowałem w czasach szkolnych i jeszcze na studiach pisać właśnie polemiki czy złośliwe recenzje negatywne,
409:  ale mimo wszystko pokazujące w merytoryczny sposób jakość komentowanego utworu artystycznego.
417:  No i oczywiście, co mogłem usłyszeć?
420:  Krzysztof, dlaczego ty jesteś taki negatywny?
423:  Krzysztof, a nie możesz napisać, co jest dobre w tym utworze, zamiast mówić, że jest złe?
428:  Krzysztof, ale po co tobie te złośliwości?
431:  Przecież nie czuję się komfortowo, jak to czytam.
435:  Nie mamy się czuć komfortowo słysząc krytykę.
439:  Na tym polega jej dotkliwość, na tym polega to dotknięcie, ten sztych rapierem, który wykonujemy.
445:  On ma pozostawić ślad, ma pozostawić krwawienie, tak?
449:  Po to, żebyśmy zapamiętali dobrze ten problem.
452:  I dlaczego w ogóle o tym dzisiaj mówię?
454:  Dlatego, że w okresie świątecznym, kiedy też się mniej mówi o tematach politycznych i szkolnych, które zwykle goszczą na łabach tej serii, naczytałem się recenzji negatywnych, różnych i sam takie tworzyłem, m.in.
465:  Wiedźmina czy Koła Czasu.
467:  I jak zobaczyłem wywiady z producentami serialu Wiedźmin m.in., to pojawiło się tam takie słowo, które zawsze pojawia się w takich kontekstach, mianowicie...
480:  Hejt, bo tylko hejtujecie ten serial i taki hejt to jest i taka nienawiść, jakby się nie można było cieszyć tym.
496:  Bo przecież odpoczywasz oglądając serial, nie szuflujesz węgla, tylko siedzisz sobie na kanapie i serial oglądasz.
505:  To ciesz się!
508:  Albo co tak krytykujesz tę grę, w którą... Przecież odpoczywasz, nic tylko byś krytykował grę wideo, w którą grasz.
518:  Dlaczego tak krytykujesz?
520:  To nie podoba się, to nie graj!
526:  Tego rodzaju logorę i strumienie świadomości, a jak wiadomo istotą wszystkich strumieni świadomości jest to, że lądują prędzej czy później w rynsztoku, bardzo często mogą być także redukowane do prostszego sformułowania, to znaczy, uchu, jak dupa pęka, tylko ten trzask pękających życi słychać, ha, ha, ha, jaki to wcip.
552:  I w jednym i w drugim przypadku mamy do czynienia jednakże, więc niech nie zwiedzie nas forma, z dokładnie takim samym poziomem intelektualnym rozmówcy.
560:  A może nie, może właśnie nie z poziomem intelektualnym rozmówcy, tylko z nawykami, które wynosimy ze szkoły, które później sprawiają, że wychodzimy w rozmowach na buca.
572:  Bo tym nawykiem właśnie jest to, że jeżeli ktoś nas krytykuje, to nie robi tego dla naszego dobra.
579:  Bo nie ma takiej siły na niebie i na ziemi, która by spowodowała, że nawet ja, przyzwyczajony do sytuacji edukacyjnych, pomyślę, że puszczenie kogoś pod pręgierz 30 czy 40 osób i wmawianie mu, że robi coś źle, jest czymśkolwiek zmierzającym ku doskonaleniu czy jego rozwojowi.
602:  Absolutnie nie.
603:  Tutoring rozwojowy nie bez powodu, a powie raz Krzysztof o dobrej metodzie dydaktycznej, jest indywidualny.
610:  Odbywa się jeden na jeden i rozmawiamy tak jak terapeuta z uczniem czy ze studentem i staramy się pomóc mu w wyborze na przykład ścieżki życiowej.
620:  I jakby to się odbywało w obecności 30 osób, nikt w życiu by nie pozwolił sobie na jakąkolwiek szczerość.
626:  Wyobraźcie sobie, że terapia się odbywa.
628:  Tak, no 30 osób w sali audytoryjnej, tak?
631:  Kiedyś były audytoria operacyjne, to tak, wpuśćmy tam, tak, w szkodliwym szpitalu Lemoniego Snicketa, nawiasem mówiąc, polecam serię niefortunnych zdarzeń, wpuśćmy 30 osób do takiego audytorium, piękna aula, schodkowe...
644:  i niech patrzą na tę psychoterapię.
646:  Zobaczymy, czy pacjent będzie szczery.
648:  No na pewno.
649:  I to przecież oczywiście służy jego rozwojowi i dla jego dobra to robimy.
653:  No nie, nie robimy tego dla dobra człowieka, ponieważ właśnie potem zostaje w nas, jeśli nie trauma, bo nie wszyscy kończą szkoły z traumami, nie oszukujmy się, to zostają w nas różne stereotypy i rezydua tego głupiego myślenia, które prowadzi do sytuacji, w której postrzegamy
671:  faktyczną krytykę służącą naszemu rozwojowi jako krzywdę, którą ktoś wyrządza temu, do czego jesteśmy przywiązani.
679:  Bo jeśli ktoś tworzy serial, tworzy grę wideo albo w ogóle pracuje nad jakimś projektem kreatywnie, no traktuje to jednak jako metaforycznie swoje dziecko.
689:  I bardzo przywiązany jest do kształtu tego utworu albo tego projektu.
693:  albo tego dzieła.
694:  I trudno jest zaakceptować na przykład fakt, że redaktor jest współautorem naszej książki, jest przyjacielem autora, a nie złośliwym impem, który nic innego tylko marzy o tym, żeby autorowi zrobić na złość, wycinając mu te sto nudnych stron.
711:  Tak samo docenić możemy nauczyciela, tylko takiego, który postępuje odpowiednio, ponieważ on również pokazuje błędy po to, żebyśmy uczyli się na ich przykładzie i nie popełniali ich w przyszłości.
723:  Ba, nawet taka gra w Dark Souls, której sam się oddawałem na streamach niedawno, też uczy bardzo boleśnie wyciągania wniosków z porażki, o czym, swoją drogą, też pisał Jesper Juhl w retoryce porażki jednej z książek o grach wideo.
738:  Popełnianie błędów zatem jest
742:  Dobre w tym sensie, że służy naszemu rozwojowi.
745:  Ale co jeśli nie uświadamiamy sobie, że popełniamy błędy?
749:  No od tego jest krytyk.
750:  Od tego jest krytyka, żebyśmy sobie uświadomili, a nie żebyśmy byli w tej naszej banieczce.
755:  Oj, oj, jaki zrobiliśmy piękny serial.
760:  I on jest taki, oj, to jest taka różnorodność polityczna w nim.
766:  I pisarz się o nim dobrze wypowiedział.
768:  No jak wspanial...
770:  I hejterzy psują wszystko i minusują, minusują na pomidorometrach w serwisie zgniłe pomidory Rotten Tomatoes, tak?
784:  I obrzucają tymi zgniłymi pomidorami, tak jak na scenie on dziś bywało.
789:  I wstrętni są i paskudni jak mogą.
794:  To właśnie ta sytuacja, którą się usiłuje portretować przed nami, że to jest jakiś dziki tłum rozjuszony, który obrzuca z gniłymi pomidorami i dzgawidłami tylko dla samego fanów szczynania burdy.
808:  A tymczasem bardzo często jest tak, że ta krytyka jednak, nawet jeżeli jest wokalizowana nieumiejętnie przez niektórych, coś oznacza.
818:  Na przykład, że gdzieś popełniliśmy błąd.
822:  i zniknięcie łapki w dół na YouTubie.
825:  oczywiście jest sposób na to, żeby ją przywrócić, ponieważ ona tak naprawdę nie zniknęła, tylko została zasłonięta, więc możecie pobrać sobie wtyczkę, która ją przywraca, jest właśnie przejawem tej tendencji do osłaniania nas, immunizowania na krytykę.
841:  Tylko wiecie, na czym polega problem z systemami immunologicznymi, czyli odpornościowymi?
845:  Że musimy je zaatakować wirusem, żeby się nauczyły go rozpoznawać.
849:  Nie możemy się immunizować w ten sposób, że będziemy przez całe życie chodzić w kondomie.
855:  to w tej sytuacji, w tych okolicznościach życiowych akurat nie działa.
860:  Więc musimy być narażeni na ataki różne z zewnątrz, żeby się w jakiś sposób na nią odpornić.
867:  Żeby nasz organizm nauczył się rozpoznawać krytykę i rozróżniać ją od krytyki, która jest wyłącznie właśnie jakimś nienawistnym atakiem ad hominem, czyli przeciwko konkretnemu człowiekowi.
880:  I tutaj nie ma żadnych wątpliwości, że kategoria hejtu, czyli nienawiści, nazwijmy rzeczy po imieniu, jest całkowicie adekwatna.
888:  W momencie, w którym na przykład byśmy powiedzieli, że najnowszy film Lejny Łaciowski czy Wachowski, jak kto woli, jest beznadziejny, ponieważ dokonała ona korekty płci, to jest to transfobiczna układa ad hominem,
903:  I należy się za taką uwagę pręgierz, najlepiej publiczny i złośliwy.
908:  Natomiast jeżeli powiemy, że najnowszy film Matrix, Lejny Łaczowski, jest beznadziejny z tego względu, że najwyraźniej brak drugiej siostry Zwachowskich sprawił, że tylko pół mózgu pracowało nad tym filmem, to jest to złośliwa krytyka, dotkliwa krytyka, ale nie jest ad hominem i jest uprawniona.
927:  I możemy się z nią zgadzać, możemy się z nią nie zgadzać, ale jest jakiś obszar do polemiki, ponieważ można spytać, ale dlaczego tak uważasz?
933:  I możemy w ten sposób to rozwinąć, ponieważ oceniamy intelektualne kwalifikacje scenarzysty, który spaprał całkowicie film i zrujnował franczyzę wielu zagorzałym fanom.
943:  To brama mojej recenzji Matrixa, której nie było.
946:  A zatem krytyka musi...
949:  Być czymś, na co będziemy narażeni, bo inaczej nie nauczymy się rozpoznawać dobrej krytyki i odróżniać jej od krytyki złej i zwłaszcza od jakiegokolwiek napastliwego ataku na nas samych.
962:  I boleję nad tym strasznie, ponieważ z obawy przed krytyką w formie pręgierza
969:  Bardzo często jest tak, że studenci boją się powiedzieć cokolwiek, ponieważ no właśnie nie tylko prowadzący może ich skrytykować, ale również współstudenci, współstudiujący.
981:  I tu się pojawia kłopot.
983:  Szkoła bowiem nas nauczyła tego, że możemy się spodziewać wyłącznie chłosty śmiechem w momencie, w którym popełnimy błąd.
991:  A tymczasem popełnianie błędów, jeszcze raz to powtórzę, bo jest to istotne, jest istotnym elementem ważnym i kluczowym naszego rozwoju.
1000:  Bez błędów nie byłoby żadnego odkrycia naukowego.
1003:  Zawsze się trzeba pomylić, żeby...
1007:  przede wszystkim rozpoznać własne słabości i przezwyciężyć naturalny dla wszystkich, chociaż oczywiście proporcjonalnie, narcyzm i przekonanie o własnej wielkości.
1016:  I z mojej własnej, z mojej własnej autopsji, z moich własnych doświadczeń, jedna anegdota.
1022:  Widzisz, jaka jest najbardziej przydatna rzecz, jaką kiedykolwiek w życiu usłyszałem?
1026:  Nie, nie była to pozytywna recenzja, nie były to recenzje z wyróżnieniem moich tekstów, doktoratu i tak dalej.
1032:  Nie!
1033:  Nie.
1034:  Mówiąc ironicznie, ja już wiem, że jestem wspaniały, więc polerę mi taka opinia z zewnątrz.
1040:  Żart.
1041:  Ale, co było dla mnie dobre, dostałem kiedyś dziewięciostronicowy elaborat na temat tego, jak bardzo krytyńsko zrozumiałem jakieś pojęcie.
1050:  Pech chciał, że ten elaborat napisał recenzent mojego artykułu, który wymyślił rzeczone pojęcie, którego używałem.
1058:  Nauczka dla mnie na całe życie, doczytać teksty człowieka, który wymyślił rzeczone pojęcie.
1063:  Spłoniłem się, spaliłem raka, a potem...
1067:  wróciłem do źródeł i douczyłem się i do dzisiaj te dziewięć stron recenzji, które ktoś poświęcił, nawiasem mówiąc, za darmo, ponieważ recenzenci artykułów naukowych nie dostają wynagrodzenia, jest dla mnie jedną z najcenniejszych rzeczy i lekcji, jakie kiedykolwiek otrzymałem od kogokolwiek.
1084:  Nie żaden pręgierz w szkole, kiedy ktoś mi udowodnił, że się myliłem.
1087:  Wiecznie się myliłem na matematyce, potem się okazało, że mam dyskalkulię i myliły mi się cyferki w jedną i w drugą stronę.
1094:  Rozumiałem, na czym polega zadanie, wiedziałem, że
1097:  wszystko powinno być okej, ale nie widziałem, gdzie popełniłem błąd i słyszałem, o, tutaj zamienił Ci się plusik z minusikiem.
1102:  Tylko, że w moich tak zwanych czasach nie mówiło się o dyskalkuli, tylko nazywało się człowieka kretynem.
1108:  I w niczym mi nie pomogło to.
1110:  Nie nauczyłem się niczego ponad to, że panicznie bałem się każdej lekcji, na której miałem odpowiadać z matematyki.
1118:  To było tym bardziej uzasadnione, że akurat w gimnazjum uczyła mnie kompletna psychopatka.
1123:  Serdeczne pozdrowienia, jeżeli kiedykolwiek to do niej dotrze.
1127:  I problem polega na tym, że...
1130:  Jedyne, z czym może to pozostawić kogoś, kto, nie wiem, ma słabszą psychikę, inne problemy życiowe, to jest dotkliwa trauma na całe życie.
1138:  A w najgorszym, znaczy w najmniej szkodliwym przypadku, nie w najgorszym, zostanie was właśnie takie przeświadczenie, że krytyka to jest coś złego, że będzie się nam to źle kojarzyć.
1150:  I przede wszystkim, że będziemy za każdym razem potrzebować jakiegoś usprawiedliwienia dla faktu, że byliśmy krytyczni.
1157:  Częstokroć jak czytam komentarze, a czytam wszystkie pod odcinkami, to widzę właśnie przy próbach polemiki, które witam zawsze ochoczo,
1166:  usprawiedliwienie, że ja się wprawdzie zgadzam z tym, co mówisz, ale... No tak, oczywiście, ale przepraszam, że coś... Nie przepraszajcie!
1176:  Polemika jest dobra.
1178:  W ogniu krytyki hartują się poglądy.
1181:  Świetnie!
1182:  Ja się mylę wiele razy i będę się mylić i dlatego zawsze wam mówię, że nie jestem wyrocznią.
1188:  Zresztą...
1189:  Co już YouTuberzy popularnonaukowi, ostatnio Dawid Myśliwiec wcześniej, Kurtzgesagt, kręcą filmy pod tytułem Nie ufajcie temu filmowi, tak?
1198:  Czy mogę ufać temu filmowi?
1201:  Słusznie, ponieważ nie jest tak i nigdy nie będzie, że osoba, która do was mówi, nieważne czy mówi z ekranu YouTubia, czy mówi ze stroni z podręcznika, czy też mówi z mównicy sejmowej, ma placet na rację i patent
1217:  To nie jest tak.
1218:  To nie jest tak, że człowiek jest w stanie nawet osiągnąć taki poziom doskonałości intelektualnej i umysłowej, żeby za każdym razem mieć słuszność.
1228:  Po to między innymi podpieram się tekstami naukowymi i wam cytuję, nie po to, żeby się fleksować, o jaki Krzysztof mądry i zna, tylko po to, żeby dać wam szansę, żebyście zweryfikowali to, czy ja nie mówię bzdur, czy na przykład nie wyciągnąłem z kontekstu tego cytatu, który widzieliście przed chwilą na ekranie.
1246:  Po to to jest.
1248:  I dlatego jak widzicie gdziekolwiek kogokolwiek cytującego, to powinno być źródło właśnie po to, żebyśmy byli w stanie to zweryfikować i skrytykować.
1257:  I jest bardzo złą rzeczą, że nie pojawiają się artykuły krytyczne w prasie naukowej mówiące o tym, że ktoś jest debilem i że ta teoria jest do wycofania.
1268:  Dlaczego?
1269:  Dlatego, że miernikiem jakości naukowej tekstów są cytowania.
1273:  No i zgadnijcie, kto może mieć dużo cytowań?
1276:  Na przykład autor książki, w której powiedziano sporo bzdur i wszyscy specjaliści z danej dyscypliny się zlecieli, żeby powiedzieć, że ten człowiek powiedział mnóstwo bzdur.
1287:  Było chociażby z modnymi bzdurami Alana Sokala, który jest matematykiem i na matematyce się zna, ale na socjologii nie.
1296:  Natomiast niestety stwierdził, że napisze taką książkę i
1299:  Została zjechana przez absolutnie wszystkich, bo Sokal parę razy oczywiście miał rację wytykając błędy, ale wyciągnął wnioski, które były całkowicie nierelewantne i nieadekwatne do całego tematu sporu.
1309:  Więc to, że coś jest wiele razy zacytowane, nic nie zwiedzia.
1314:  Brakuje właśnie, zwłaszcza przy gorętszych tematach, bo tam socjologia i humanistyka, nie oszukujmy się, od tego nikt nie umrze, ale już w artykułach, na które powołują się antyszczepionkowcy prawem cytatu i które mają tysiące cytowań, no tam troszeczkę brakuje takiego wielkiego czerwonego napisu pod tytułem ten artykuł został obalony, zobacz gdzie.
1337:  I tu jest wina środowiska naukowego i nauczycielskiego, że nie uczy tego rodzaju rzeczy.
1342:  Ale z drugiej strony my nie uczymy się właśnie w szkole takiej formy jak polemika, satyra, krytyczna recenzja.
1349:  Nikt nas nie uczy formułować myśli w taki sposób, żeby właśnie nie obrazić drugiej osoby, ale żeby złośliwie...
1358:  mieszać z błotem nawet dzieło, ale bez tykania twórcy.
1363:  Żeby pokazać równocześnie, jeżeli chcemy sobie wybrać mniej dotkliwą, mniej złośliwą formę, żeby pokazać mimo wszystko, gdzie ktoś się myli.
1371:  I nigdy to nie będzie łatwe, bo nie jest łatwe nam przyznawać się do winy, ani nie jest tym bardziej łatwe przyznawać się, że popełniliśmy błąd.
1380:  Ale wiecie, co w tym się właśnie przejawia największa mądrość?
1383:  W powiedzeniu.
1384:  Nie wiem.
1386:  Nie miałem racji.
1388:  Nie zdawałem sobie z tego sprawy.
1391:  Ja na przykład mogę powiedzieć, świeże moje doświadczenie, nie miałem racji krytykując serię Dark Souls.
1397:  Nie miałem racji mówiąc, że w grach wideo liczy się tylko narracja i światotwórstwo.
1401:  Są takie gry wideo, w których się liczy mechanika i gameplay, rozgrywka.
1405:  I ta rozgrywka może być misterium śmierci.
1408:  Może być czymś wzniosłym, katartycznym, oczyszczającym.
1411:  Nie zdawałem sobie z tego sprawy, póki nie zagrałem w Dark Souls 3.
1416:  Wcześniejsze oglądanie ludzi grających nic nie zmieniło w moim nastawieniu.
1421:  I tak, nie miałem racji.
1424:  I co z tego, że jestem groznawcą?
1426:  Nie miałem racji, myliłem się w odniesieniu do jednej z najbardziej kultowych gier wideo.
1430:  Czy to znaczy, że jestem głupi?
1432:  W szkole taki byłby wniosek, prawda?
1435:  I niestety bardzo często jest tak, że mamy takie opory i wahamy się przed przyznaniem się do błędu.
1443:  Bo to może nas napiętnować.
1445:  W oczach innych, którzy też odebrali taką edukację jak my, też są przyzwyczajeni do tego, że krytyka czegoś albo kogoś za każdym razem będzie się sprowadzać do tego, że robimy to niekonstruktywnie.
1459:  Tymczasem krytyka nie zawsze musi coś budować, czasem krytyka może coś zburzyć i to do osoby skrytykowanej należy obowiązek tego, żeby to odbudować, nie do krytyka.
1471:  To nie jest dobra riposta i nie stosujcie jej, jeśli się przejmujecie tymi moimi radami oczywiście, że no jak tylko krytykować umie gry, to niech zrobi swoją.
1480:  O, tylko te seriale krytykuje, tak łatwo, zrób sam.
1485:  No niekoniecznie, właśnie niekoniecznie, to znaczy w momencie, w którym kupicie stół w Ikei i ten stół będzie się chybotać, tak, i macie, rozlewa się herbata, to idziecie do Ikei, mówicie, panie albo pani, stół mi się chybocze, rozlewa mi się herbata, no...
1503:  Stolarstwo ukończone?
1505:  Magisterium, mam nadzieję, zrób sam, zanim zaczniesz krytykować.
1509:  Nie, krytykowanie też jest przywilejem osoby, która używa danej rzeczy, używa czyjegoś projektu, używa czyjejś aplikacji, używa czyjegoś serialu, używa czyjejś gry.
1521:  Może dla jej własnych, indywidualnych potrzeb nie jest ten obiekt, przedmiot, projekt, medium dostosowane optymalnie.
1531:  I może ta krytyka przyda się komuś, który jest like-minded, jak mawiają Anglosasi, myśli podobnie.
1538:  I ta krytyka się mu przyda, może jest co trzy takie osoby na świecie, a może trzysta, a może trzy tysiące, ale nie oznacza to, że ta krytyka będzie nieuprawniona.
1547:  Sztuką więc jest rozpoznawać to, kiedy krytyka jest nieuprawniona i moja sugestia jest taka, żebyście zawsze byli podejrzliwi wobec wszystkich krytyków, którzy wybierają najłatwiejszy, najbardziej prymitywny sposób zarabiania,
1563:  na czyimś wizerunku np.
1565:  osoby, która jest od nich sławniejsza albo bardziej znamienita i wezmą sobie ją na warsztat i zaczną jechać personalnie.
1574:  Po dealach reklamowych, które ubija, po orientacji seksualnej, po narodowości, po kolorze skóry, po sytuacji domowej albo np.
1585:  po wypominaniu różnych traum.
1588:  To jest najłatwiejsze.
1589:  Taka krytyka jest nieuprawniona, bo nie jest krytyką.
1592:  To nie jest interpretacja.
1594:  To nie jest sytuacja, w której zdobywamy się na dystans wobec siebie samego i świata, tak jak w tym artykule antropologicznym było to opisane.
1603:  To jest sytuacja, w której wyciągamy widł i dźgamy na ośle.
1606:  I co więcej, dźgamy tam, gdzie zaboli najbardziej.
1609:  Bo zdajemy sobie sprawę z tego, że ktoś, kto jest znany z jakichkolwiek tego rodzaju działań, które są pozamerytoryczne i nie dotyczą jego twórczości, zapewne nie może się z różnych względów powstrzymać przed ich eksponowaniem.
1623:  Może to są względy finansowe, może są to względy rodzinne, może to są względy zdrowotne.
1628:  Nie wiemy tego.
1631:  I po co ryzykować z traumatyzowaniem drugiego człowieka,
1637:  dla celów właśnie takiego prostackiego argumentu ad hominem.
1641:  Lepiej zdecydowanie wziąć na warsztat to, czym on się zajmuje i skrytykować, i pokazać, że tu są błędy.
1648:  w wytykanie hipokryzji, że z jednej strony postępujesz tak, a z drugiej strony robisz co innego.
1655:  Czasem ma sens, na przykład w przypadku Jeana Jacques'a Rousseau, który napisał traktat o wychowaniu, a równocześnie dzieci oddał do przytułka.
1663:  No to Jacques Derrida się po nim przejechał i powiedział, no panie, no ogarnij się, tak?
1668:  Ściep do ludzi.
1670:  W takich sytuacjach, owszem, jest to uzasadnione, ale wciąż
1675:  Radzę, by uważać i stąpać ostrożnie.
1679:  Jest taka piękna scena w ekwilibrium Kurta Wimera.
1683:  I've spread my dreams before you.
1685:  Tread carefully, you treat on my dreams.
1689:  Stąpaj ostrożnie, stąpaj po moich snach.
1691:  Tak moglibyśmy to sparafrazować.
1693:  I stąpajmy ostrożnie, jak krytykujemy.
1697:  Nie bez powodu, za każdym razem, kiedy zdarzało mi się w cyklu dla każdego coś przykrego, krytykować konkretną postać.
1705:  to za każdym razem robiłem to na podstawie jakiegoś tekstu, który popełniłam.
1709:  Nie śmiałem się z wyglądu narodowości, chyba że ta osoba śmiała się z wyglądu i narodowości innych.
1718:  Dlaczego?
1719:  Po to, żeby pokazać dotkliwość tego rodzaju problemu i po to, żeby posmakowała taka istota własnego lekarstwa, które zapodaje w formie trucizny.
1729:  Więc są uzasadnione przypadki, w których możemy się pokusić o tego rodzaju argument, ale tylko z towarzyszeniem setki innych argumentów merytorycznych dotyczących twórczości danego człowieka.
1741:  Nigdy nie pozwólmy, żeby ta sytuacja szkolna, w której naśmiewamy się z kogoś,
1747:  która nazywa się bullyingiem, w Polsce nibaby nawet na to określenie, nie wiem, nękanie, nie pozwólmy, żeby ona się przedostawała do naszego życia późniejszego, dorosłego, bo to jest patologia.
1759:  Bulling w szkole, nękanie ze strony nauczycieli czy uczniów jest patologią i jest jedną z przyczyn, dla których ta instytucja jest do zaorania, ponieważ dopuszcza tego rodzaju zachowania od lat i przyzwala na nie i stwarza...
