Szkoły łamią prawo?! TO NIEMOŻLIWE! 😱 | Dla każdego coś przykrego #43
🔗 https://www.youtube.com/watch?v=CEqkCMUCqnc

0:  Oczywiście, że w edukacji są różnego rodzaju problemy, ale to są wyjątki.
150:  naszego vloga, między innymi chociażby Andy Szulc, która ma taki bardzo ciekawy artykuł, rola oceny w szkole, rys historyczny, to na wypadek, gdyby ktoś uważał, że mój system oceniania, jak również moje poglądy na temat oceniania są nierealizowalne w szkole, bo mam źródła, no mówię ci, no mówię ci, to są moje źródła, że no ja kiedyś miałem coś wspólnego z edukacją, bo ją kiedyś
181:  miałem, no, no, no, więc, więc moje zdanie jest mojsze.
186:  No to nawet w wszelki wypadek, gdybyście mieli taką osobę w otoczeniu i moja argumentacja nic nie dała, to Anna Schulz jest praktyczką, zatrudnioną w szkole publicznej, uczy matematyki, możesz sobie przeczytać ten esej, jest bardzo pouczający i to też sprawia, że bardzo mi się ta publikacja podoba, bo ona ma rangę faktycznie studium naukowego, a nie tylko
205:  prostego raportu socjologicznego, który zbiera naprawdę bardzo dużo swoją drogą danych.
210:  Całość to zaczyna się od też wstępu prawnika Łukasza Korzeniowskiego, który zbiera wszelkiego rodzaju doświadczenia z prowadzenia fundacji czy stowarzyszenia konkretnie umarłych statutów,
221:  i równocześnie doświadczenia dotyczące poszczególnych interwencji szkolnych.
225:  Jest źródłem numer jeden w Polsce, jeżeli chodzi o prawne ekspertyzy dotyczące skali i statusu łamania szkolnych praw ucznia, ale również praw człowieka.
236:  To sobie pominiemy w tej chwili, bo zbyt długi by się zrobił ten film.
240:  Idziemy do crème de la crème, do mięsa tego raportu, to znaczy świadomości naruszeń i reakcji na wszelkiego rodzaju patologie związane z prawami ucznia w szkole i ich nieprzestrzeganiem, a przede wszystkim tym, w jaki sposób wygląda to w szkolnych statutach.
254:  Nawiasem mówiąc, w 90% praktycznie rzecz bazuje na szkołach publicznych.
259:  więc nie ma tak, że to są szkoły prywatne, w których oczywiście jest jakaś idylla, tylko tutaj chodzi po prostu o to, że szkół publicznych w Polsce jest większość, w związku z powyższym chodziło też o to, żeby to badanie było reprezentatywne, dlatego też tutaj są nie tylko brane pod uwagę szkoły w miastach powyżej 100 tysięcy mieszkańców, ale także w szkoły wiejskie, czy też szkoły w miałych miasteczkach, więc rzeczywiście jest to przygotowane tak, żeby ten przekrój społeczny był możliwie pełny, chociaż oczywiście jest tak, że zazwyczaj będą dominować te największe województwa.
287:  I to ciekawe również, że raport uwzględnia ludzi pełnoletnich i od tego się wszystko zaczyna.
292:  Bo tak moi drodzy, paradoks szkolnych statutów polega na tym, że w wieku 18 lat, czyli wtedy kiedy jeszcze jesteśmy w liceum, możemy już odpowiadać prawnie w sądzie, ale wciąż na przykład...
304:  Nie możemy opuścić szkoły bez zgody.
309:  Tego nie możemy zrobić.
310:  Możemy być dosłownie sądzeni na wokandzie, natomiast niestety nie jesteśmy w stanie opuścić na przykład terenu szkoły w trakcie przerwy, nawet jeżeli jesteśmy w stanie siebie jako osoba pełnoletnia zwolnić, bo to my wtedy za siebie odpowiadamy.
325:  Zresztą raport też jest udekorowany różnego rodzaju wypowiedziami uczniów, którzy potwierdzają ten stan rzeczy.
331:  Jeżeli chodzi o zastrzeżenie dostępu do ocen wobec rodziców, to chodzi o to oczywiście, żeby uniknąć różnego rodzaju scysi, sytuacji konfliktowych, do czego też pełnoletni człowiek ma pełne prawo.
344:  W 30% tylko jest to możliwe, czyli w 70% szkół w ogóle nie jest to możliwe.
349:  Były problemy u ucznia pełnoletniego, jeżeli chodzi o samodzielną zgodę na wycieczkę nawet, moi kochani.
355:  Ale jeśli dobrze pamiętam, ja nie dawałem rodzicom do podpisania.
358:  Jeśli pełnoletni uczeń chciał usprawiedliwić swoje obecności samodzielnie, to albo mu się udawało, albo zostawał poinformowany, że nie może tego zrobić.
365:  Bo tak, i wiecie, za każdym razem jest ta sama argumentacja.
369:  Nie możemy.
370:  Nasze ręce są związane.
374:  Popatrzcie, jak te ręce są związane.
377:  Minister zabronił.
380:  Dyrektor zabronił, imperium ludzkości zabroniło, i ordo inquisitorum, to nie jest nasza wina, my byśmy chcieli... Tak, oczywiście, bo to wcale nie jest tak, że szkoła ustala sobie statut sama.
399:  I wcale nie jest tak, że absolutnie w ustawie prawo oświatowe nie ma ani słowa na temat tego, że uczeń pełnoletni nie może czegokolwiek usprawiedliwić z tego prostego powodu, że pełnoletność jest statusem prawnym w Polsce.
413:  W związku z powyższym nie może być tak, że ustawa by naruszała porządek prawny w odniesieniu do jednej tylko grupy społecznej.
419:  Byłoby to całkowicie absurdalne i to, moi drodzy, dotyczy również
423:  słynnego problemu samodzielnego usprawiedliwiania nieobecności.
427:  Więc macie teraz akt prawny, który potwierdza, że jak najbardziej mogą w świetle polskiego prawa, i to jest opinia prawników, nie moja, samodzielni, pełnoletni uczniowie usprawiedliwiać swoje nieobecności.
440:  Przy czym problem polega na tym, że w 40% szkół z wywiadowanych nie jest to możliwe, czyli w 40% szkół jest łamane polskie prawo.
451:  Fajnie, prawda?
452:  To samo dotyczy oczywiście zwalniania się z zajęć.
456:  wartość, więc należy domniemywać, że i w jednym i w drugim przypadku jest to w równym stopniu utrudniane.
461:  Bo a mowa o tym, że jak rodzic poprosi, to pełnoletni uczeń dalej nie będzie mógł usprawiedliwiać się sam.
468:  Albo statutowo uczniom zabraniane było pod jakimkolwiek względem opuszczanie budynku szkoły, jednocześnie każdy nauczyciel na to przyzwalał, nie zwracając uwagi na statut.
475:  Więc to jest jeszcze bardziej hitowe.
477:  Jeżeli statut coś takiego nie reguluje, to i tak można statut złamać.
482:  W związku
483:  bo w wyższym, niezależnie od tego, co się będzie działo, czy będziemy mieli ustalony trefny statut, czy też nauczyciel będzie go łamać, w jednym i w drugim przypadku uczeń ma przerąbane, to znaczy jego prawa są mu nieradośnie odbierane i przypominam, że w tym momencie nie mówimy o prawach ucznia, tylko mówimy o prawach obywatela Rzeczypospolitej Polskiej, więc ciupinkę bardziej problematyczna to sprawa.
505:  Następnie to samo dotyczy tego słynnego wyjazdu na wycieczkę i zgody na nią.
511:  W przypadku 58% szkół na szczęście jest tak, że nie jest to konieczne, tak żeby była zgoda od rodziców, no ale w przypadku 40% szkół jest to konieczne, co jest absolutną abstrakcją.
524:  I nawiasem mówiąc, to jest inny temat i kiedy indziej go poruszymy, przypomina mi się, jak w stypendiach socjalnych na studiach wyższych uwzględniano...
533:  dochody rodziców.
534:  I żeby było śmiesznie, jak jeszcze w przypadku stypendiów socjalnych jestem w stanie to zrozumieć, to w przypadku stypendiów naukowych już nie, a też były takie zapisy.
542:  Ale i w jednym i w drugim przypadku zauważcie, że uzależnia się pełnoletniego człowieka od innych pełnoletnich ludzi, którzy już nie sprawują nad nim bezpośredniej opieki.
552:  Jakie to jest absurdalne.
554:  I dlaczego na przykład ktoś, kto, nie wiem, z jakichś względów musiał zerwać stosunki ze swoimi rodzicami, musi być w ten sposób penalizowany.
561:  To jest
562:  dziwne.
563:  Tylko, że problem ze statutami uczelnianymi polega na tym, że uczelnie mają autonomię prawną, a szkoły nie.
569:  W związku z powyższym do obowiązków dyrektorów szkół i szkół należy przestrzeganie polskiego prawa.
575:  Nie mogą uchwalić sobie statutu, który będzie niezgodny z ustawą.
578:  Uczelnie niestety mogą kombinować i nie ma możliwości nacisku takiego, jak w przypadku Stowarzyszenia Umarłych Statutów, dlatego nieustannie mówię Wam, żebyście zgłaszali tam wszelkiego rodzaju patologię
590:  Na końcu filmu jeszcze powiem, w jaki sposób robić to najskuteczniej.
593:  To samo, jeżeli chodzi o udział w studniówce, dyskotece lub innej prezie szkolnej.
599:  W przypadku 20% szkół było to konieczne, to już jest mniejsza wartość, ale wciąż jedna piąta uczniów musiała mieć zgodę rodziców, jak była pełnoletnia, czy może iść na dyskotekę, bo oczywiście każdy chce pójść na szkolną dyskotekę, żeby móc
613:  ćwiczyć różne pozycje podpierania ściany.
616:  Równie ważna jest oczywiście studniówka.
618:  Błogosławię się za decyzję, nie pójście na studniówkę, to było absolutnie genialne.
621:  Nie dajcie się presji społecznej, że trzeba, bo w ogóle jeżeli się tego nie zrobi, to życie jest zmarnowane całkowicie, w stu procentach jest zmarnowane.
633:  Następnie, o to już jest ciekawe i znowu zahacza o wątek, który już 30 tysięcy razy wam powiedziałem, że poruszę, to znaczy lekcji religii w polskich szkołach, a ściślej mówiąc religii w polskich szkołach, bo ona nie ogranicza się tylko do lekcji katechezy.
660:  Jeżeli chodzi o uczęszczanie, no to w przypadku 80% szkół na szczęście pełnoletni uczniowie już mogli podejmować takie decyzje, ale znowu w przypadku 20% nie, co mnie absolutnie przeraża.
673:  To samo jeżeli chodzi o zwolnienia z WF-u.
676:  Można było w innych przypadkach zwalniać się z lekcji religii lub usprawiedliwiać nieobecności przy wyrażeniu pisemnej zgody ze strony rodziców, znowu nielegalne.
684:  Pełnoletni uczniowie, wreszcie kolejne pytanie, czy mogą samodzielnie decydować o uczęszczaniu na zajęcia wychowania do życia w rodzinie?
690:  No i w przypadku 80% uczniów tak, natomiast w przypadku 17% uczniów nie, w związku z powyższym, jeżeli ktoś ma pecha urodzić się w rodzinie, która jest, no delikatnie rzecz ujmując, zaprzańska pod względem naukowym czy ideologicznym i ma inne poglądy polityczne, jest człowiekiem dojrzałym i pełnoletnim, chce decydować o swojej przyszłości, to nie może,
711:  Ponieważ w instytucji publicznej uzależnia się go od innej osoby dorosłej wbrew polskiemu prawu.
716:  To jest absolutna abstrakcja.
718:  I zauważcie jeszcze, że to jest totalnie wbrew temu, wobec jakich idei powoływano szkołę.
723:  To znaczy szkoła miała być właśnie tym miejscem, w którym człowiek się może wyzwolić spod kurateli rodziców.
728:  która jest na przykład toksyczna w niektórych wypadkach i fizycznie tego człowiek młody wtedy potrzebuje.
734:  Chce się odciąć, a nie może, ponieważ w publicznej placówce podlegającej państwu polskiemu uzależnia się go na powrót od tego rodzica, który, no nie każdy ma dobrą sytuację taką, żeby mieć wspaniałych rodziców i w związku z powyższym polskie prawo powinno jak zawsze, jak każde zresztą inne prawo, zwracać uwagę na tego rodzaju przypadki szczegółowe.
756:  Jeżeli chodzi o zwania nieusprawiedliwianie obecności, u mnie w zasadzie to zależy od ucznia, ponieważ w klasie są lepsi i gorsi w opinii wychowawcy.
763:  Ci lepsi mają pewne uprzywilejowania i mogą to robić samodzielnie.
771:  W klasie równoległej, gdzie chodzi moja dziewczyna, samowychodca, klas już całkowicie zabrania tej samowolki, ale widzicie, zawsze tak jest w takich instytucjach opresywnych, że tworzą się koterie.
783:  Tworzą się grupy ludzi uprzywilejowanych i tych, którzy przywilejów nie mają.
788:  Tworzą się oczywiście one wyłącznie dlatego, że to zależy od indywidualnych decyzji nauczycieli.
796:  Wcale nie jest tak.
799:  że rankingi, że oceny, że systemy rywalizacyjne sprzyjają takim zachowaniom.
809:  To są tylko wymysły pedagogów jajogłowych i wykształciuchów, którzy oni nie wiedzą tego.
817:  Co my wiemy, bo my rozumujemy racjonalnie i wiemy, że skoro ten system był od zawsze, to znaczy od stu lat, czego nie wiemy, ale nie musimy, no to oznacza, że jest właściwy i wcześniej po prostu ludzie się nie rozwijali, to były inne realia.
842:  Teoretycznie zgody na wycieczki, wyjścia i tak dalej nie są wymagane.
845:  Kolejna relacja.
846:  Natomiast w praktyce niektórzy nauczyciele mówią, że woleliby je mieć.
849:  To też jest bardzo często powodowane tym, że nauczyciele będą się usprawiedliwiać, że wolą mieć papier.
855:  No to niech ten papier to będzie na przykład konstytucja albo akty prawne, dobra?
859:  Nie trzeba produkować papierów, które są sprzeczne z polskim stanem faktycznym.
863:  No i tutaj przechodzimy, moi drodzy, do tego, czy w ogóle można się zapoznać z tym statutem.
867:  Na szczęście pod tym względem jest troszeczkę lepiej.
869:  Dzięki działalności stowarzyszenia na poziomie 86% szkół jest dostępny statut na stronie internetowej.
875:  Wcześniej one były gdzieś zagrzebane zupełnie w pokoju dyrektora, zamknięte w szufladzie.
879:  Zresztą na konferencji, na której byłem, wspominał szef tego stowarzyszenia, że w ogóle nikt nie wiedział o tym.
885:  Nauczyciele oczywiście stosowali takie miękkie techniki zastraszania.
888:  No dlaczego?
889:  Dlaczego chcesz ten statut?
892:  Czemu chcesz zobaczyć ten statut?
893:  Co, coś masz za kołnierzem?
895:  Co się ukrywasz?
897:  Co potrzebujesz?
897:  Jakoś chcesz polemizować z dyrektorem, nauczycielem?
900:  A co?
900:  Może złe ocenki masz i co?
902:  Może teraz chcesz walczyć?
903:  No to są takie, wiecie, miękkie techniki, które oczywiście nie są w żaden sposób możliwe do udokumentowania, do zgłoszenia, bo jak to bywa z miękkimi technikami władzy i z mikrofizyką władzy, jak to się ładnie nazywa,
916:  No niestety nie da się w żaden sposób tego udowodnić.
919:  To są po prostu takie mechanizmy, którym prawo może sprzyjać, jeżeli jest dziurawe, a z tego wynika, że szkolne ustawodawstwo i szkolna jurysprudencja jest potwornie dziurawa.
931:  Jeżeli chodzi o te rzeczy związane ze statutami, przede wszystkim się skupiono na legalności różnych systemów weryfikacji wiedzy i postępów nauczania.
940:  Przede wszystkim jest kwestia naczelna związana ze sprawdzianem i tym, czy statuty to regulują, czy nie.
947:  Nauczyciele o to, kolejne pytanie, zapowiadają sprawdziany inne prace pisemne z odpowiednim przeceniem wynikającym z statutu szkoły.
953:  50% osób napisało, że zazwyczaj, 32% że zawsze, więc oznacza to, że tutaj jest w porządku.
959:  Tylko, że jest
960:  Jeden walusieńki problem, prawda?
963:  To znaczy, po pierwsze, zaczynają się schody, jeżeli chodzi o udostępnianie prac.
967:  Tutaj już się okazuje, że nie zawsze one są udostępniane na życzenie uczniów, chociaż wciąż te procenty raczej są okej.
976:  Problemy natomiast zaczynają się wtedy, kiedy jest jakiś właśnie limit na te sprawdziany i o tym bardzo często pisaliście w komentarzach.
983:  Tylko, że wiecie, ja nie mogłem tych komentarzy uwzględniać, bo to nie były dane naukowe.
989:  to teraz MOGĘ!
991:  Bo jest w statucie, bo jest w wszystkich dokumentach, bo jest w badaniach naukowych, bo jest w raporcie.
998:  Więc teraz będzie można to wszystko cytować.
1000:  Czyli co?
1000:  Strategia Krzysztofa, żeby empatycznie przejmować się świadectwami i historiami uczniów, chyba jednak została zweryfikowana jako właściwa.
1009:  Nie może być.
1010:  To jest na pewno jakiś spisek.
1012:  Nauczyciele więc traktują sprawdzian jako kartkówkę, nie wpisują do dziennika, bo wówczas przekroczono tygodniowy limit sprawdzianików, dozwolony według statutu.
1019:  Hahaha.
1020:  Więc chytrze nazywamy to sobie, a to będzie taka kartkóweczka, a to będzie no nie zapowiedziana weryfikacja, a to będzie o, o,
1030:  arkusz maturalny lub próbny arkusz egzaminacyjny, których nawiasem mówiąc też nie wolno oceniać, ponieważ idea próbnych matur i próbnych egzaminów polega na tym, że mają one zredukować stres, a nie być kolejną kartkóweczką, którą oceniamy i wpisujemy do średniej.
1046:  To też swoją drogą nakryło Stowarzyszenie Umarłych Statutów w wielu szkołach i to też jest częsta praktyka, co wynika z Waszych historii komentarzy.
1054:  Nauczyciele również stosują kary, które nie są przewidziane w statucie szkoły.
1058:  I teraz się zaczyna, nie?
1059:  Rzadko, czasem, zazwyczaj i zawsze, nie?
1062:  I ten odsetek osób, które są absolutnie pewne, że to się nigdy nie dzieje, to jest 1 trzecia.
1068:  Reszta jest albo niezdecydowana, albo wie, że coś takiego się dzieje.
1071:  Swoją drogą, ten raport też jest o tyle wzorowo przygotowany, że pytania zadawane uczniom
1076:  Nie miały takiego charakteru pytań z tezą, to znaczy pytano faktycznie, jak widzicie, o konkretne zachowania, czy nauczyciel coś robi, czy nie robi, a nie mówiono, co jest zgodne z ustawą, czy nie.
1085:  To zaczęło wynikać wtedy ze wszystkich odpowiedzi uczniów, więc to jest porządnie przygotowany kwestionariusz, bo gdyby na przykład powiedzieć, że to, to, to, to, to i to, i to, i to, i to jest nielegalne, a teraz zacząć pytać ludzi, no to wtedy byśmy mogli ustawić cały kwestionariusz i wtedy ludzie by odpowiadali, no wiadomo, tak, żeby...
1101:  pogrążyć szkołę, z którą mają bifa, bo wiecie, zawsze jest takie podejrzenie, zawsze, że osoba, która jest bezsilna, która jest bezradna i która naprzeciwko siebie ma system, w którym są zatrudnieni ludzie mający wpływy, władzę i pieniądze, taka osoba
1118:  Ona tak skrycie jest bardzo groźna.
1123:  Wy sobie myślicie, że to jest taka Małgosia.
1125:  Kucyki, 12 lat.
1128:  Ale Małgosia... Małgosia, ona dypie.
1132:  Ona chce zniszczyć swojego nauczyciela.
1137:  Ona chce zniszczyć placówkę oświat.
1141:  Ona w ogóle...
1142:  W perspektywie chcę skontaktować się z innymi Małgosiami i wspólnie zrobić kontrrewolucję, która opali polską oćmiatę.
1154:  Myślicie, że to jest jakiś spisek, ale mnie się to objawiło pod prysznicem i to jest prawda.
1161:  I pytania, które zadawano uczniom, z drogą super sprawa, dotyczyły tego, czy właśnie statutu uzależniają np.
1169:  ocenę zachowania średniej ocen nieegalne, czy wskazują, że uczeń musi się wykazać wiedzą ponadprogramową, żeby uzyskać ocenę celującą.
1175:  Bardzo mnie to zdziwiło, ale okazało się, moi drodzy, że polskie prawo oświatowe mówi, iż wbrew wszelkim pozorom, żeby uzyskać ocenę celującą, po prostu trzeba znać,
1186:  Podstawę programową, która w tym przypadku jest naszym zbawieniem.
1203:  Bo, jak się okazuje,
1206:  Wykraczanie poza nią nie jest absolutnie wymagane do tego, żeby uzyskać ocenę celującą, więc ktoś, kto opanował to wszystko, teoretycznie właśnie ową szósteczkę, jeśli mu na tym zależy i go to podnieca, może uzyskać.
1220:  Haha, ciekawy jestem, czy znacie w ogóle jakąkolwiek szkołę, w której taka praktyka jest...
1226:  Ja we wszystkich, w których byłem, z którymi miałem do czynienia, zawsze widziałem praktykę zgoła odwrotną.
1233:  To znaczy celująco oznacza robienie czegoś ekstra.
1236:  Jedziesz na konkurs, dostajesz olimpiadę, zwolniony jesteś z lekcji, dostajesz wtedy tę ocenę celującą.
1242:  A okazuje się, że polskie prawo oświatowe tego nie wymaga, bo w ogóle w polskim prawie oświatowym macie uzależnienie ocen od stopnia przyswojenia materiału.
1249:  Dlatego też wystawienie oceny z zachowania za to, że ktoś jest zły z matematyki jest nielegalne, bo...
1255:  Oceny mają mierzyć wyłącznie przyrost wiedzy.
1258:  Wystawienie oceny za brak zeszytu jest również nielegalne.
1262:  Tak samo jak wystawienie oceny za brak zadania też nie jest regulowane przez polskie prawo.
1267:  Polskie prawo mówi tylko, że możemy ocenić czyjś postęp w przyroście wiedzy lub brak tego postępu.
1273:  Natomiast jeżeli ktoś nie ma przyborów szkolnych jakiś, jeżeli ktoś, nie wiem, wygląda w sposób, który się nie podoba szkole, no to się okazuje, że to są wszystko rzeczy, które absolutnie nie powinny zachodzić.
1285:  Tak samo wszelakiego rodzaju kary w postaci pozbawienia pełnienia funkcji w samorządzie itd.
1289:  z wybierania telefonów.
1290:  Zaraz przejdziemy do szczegółów.
1291:  No więc pierwsza kwestia.
1293:  Czy zdarzają się takie sytuacje, że uczeń może być nieklasyfikowany, jeżeli jego frekwencja na zajęciach jest niższa niż 50%?
1301:  75% takich przypadków!
1303:  Nielegalny zapis!
1304:  Haha!
1305:  Następnie.
1306:  Czy statut szkoły zawiera przepisy, które wskazują, że uczeń musi się wykazać wiedzą publiczną?
1310:  ponadprogramował, żeby uzyskać uznanie celującą, 61,9% wskazuje na to, że będziemy mieli prawie ¾ szkół, w których taki stan rzeczy jest.
1323:  Natomiast tylko 12% osób mówi nie wiem, a 25, czyli w tym przypadku ¼ twierdzi, że nie.
1331:  Mamy 1 czwartą polskich szkół, w których faktycznie jest tak, że można dostać tę ocenę celującą, czyli najwyższą, jeżeli ktoś mistrzowsko opanuje wszystko to, czego się od niego wymaga.
1341:  Następnie minimalna średnia ocen.
1344:  Ach!
1345:  wymagana do uzyskania poszczególnych ocen klasyfikacyjnych.
1351:  61,6% osób mówi, że jest wymagana i wiecie, co jest najzabawniejsze?
1356:  Mówiłem o tym już w odcinku o ocenianiu, ale to trzeba powtarzać, aż wsiąknie.
1362:  To znaczy, średnia ocen nie jest wymagana w polskim prawie.
1365:  Polskie prawo wymaga jedynej oceny końcowo-rocznej.
1369:  Dlatego też, jeżeli ja na przykład mówię, wystawiajcie oceny opisowe i nauczyciel na to mówi, że ja nie mam czasu,
1375:  to przykro mi bardzo, ale jeżeli ktoś mówi, że nie ma czasu, to dlatego, że robi fąfnaście bumblionów albo pipsztylion kartkówek w ciągu jednego tygodnia, następnie w ciągu drugiego tygodnia robi dwa pipsztyliony, ponieważ zbliża się matura, potem, no wiecie, wraca, tak jak nauczyciele wielokrotnie powtarzają w różnych grupach, można wykorzystać ten argument bardzo łatwo przeciwko nim, że no tak, godziny tablicowe godzinami tablicowymi, ale ja muszę poprawiać sprawdziany, ale ja muszę poprawiać kartkówki, ja muszę poprawiać test, nic nie musisz.
1405:  Sam sobie to robisz.
1407:  Sam sobie nakładasz na siebie ten obowiązek.
1409:  Nie musisz tego robić.
1411:  Możesz, ale nie musisz.
1413:  Jeżeli twoja szkoła to robi, to wtedy statut jest do zaskarżenia, ponieważ nie reguluje coś, czego nie ma w polskim prawie.
1421:  I od tego jest m.in.
1422:  Stowarzyszenie Umarłych Statutów, żeby wtedy interweniować.
1424:  Więc teoretycznie każdy miałby czas na to, żeby wystawić tę ocenę opisową.
1429:  O Boże drogi, ileż może trwać wystawienie oceny opisowej nawet porządnie?
1433:  Godzinę?
1434:  Dwie?
1435:  To wciąż będzie mniej, jeżeli sobie przemnożymy 30 osób czy 40 w klasie razy 2 czy 3 razy w tygodniu kartkówki i jeszcze powiedzmy w miesiącu jakiś większy test plus odpowiedzi ustne.
1448:  Zauważcie, ile tych ocen jest.
1450:  To jest nadpodaż ocen, która się do niczego nie przydaje.
1453:  Oczywiście poza jednym, to znaczy poza ułatwieniem roboty, tempogłowowi, który się nie nadaje do nauczania i który umie wyłącznie rachować numerki.
1464:  I nie umie wystawić porządnej oceny, nie umie indywidualnie podejść do człowieka i jak powiedziałem już brutalnie wiele razy, takich ludzi...
1471:  z powodzeniem zastąpi dowolny model językowy AI, ponieważ on charakteryzuje się tym, jak zresztą powiedział pięknie sam Altman, to jest prezes czata GPT, przywrócił trochę niuansu do naszej debaty publicznej i w ogóle do naszej komunikacji międzyludzkiej, bo sami zrezygnowaliśmy z tego zniuansowania w takich konkretnych okolicznościach.
1490:  Wreszcie, niemal połowa ankietowanych w sumie wskazała, że w statutach szkół znajdują się przepisy, które przewidują możliwość odebrania uczniom telefonu.
1499:  Odsetek ten jest niepokojący wysoki, to czytam w całości, bo dla nas ważne, gdyż problematyka odbierania uczniom telefonów i wskazywanie przy tym, że jest to praktyka niezgodna z prawem nie jest w debacie publicznej nowa.
1509:  Warto też odnotować, że respondenci byli pytani o przepis statutowy, a więc sformalizowane zasady, które przewidują odbieranie telefonów wbrew polskiemu prawu.
1517:  Badanie odzwierciedla zatem pełni skali zjawiska, nie uwzględnia bowiem sytuacji, w których telefony zabierane są uczniom, ale dzieje się to pomimo braku odnośnych przepisów w statucie szkoły.
1528:  50%, moi drodzy, połowa osób potwierdza, że są przepisy sformalizowane, że można Wam odebrać własność.
1538:  Nie odpowiada jedna trzecia babanych, nie wiem cała reszta.
1544:  Nie wydaje mi się, żeby to było coś, nad czym można byłoby przejść do porządku dziennego.
1549:  To jest alarmujące, że poziom technofobii, poziom wstrętu wobec włączania nowej technologii do nauczania jest tak wysoki, że reguluje się statutem szkoły to, że można komuś odebrać własność.
1563:  co jest okropnym kretynizmem, ponieważ prowadzi to do tego, patrząc na to zupełnie z zewnętrznej perspektywy, że tworzy się nam w mózgach asociacja.
1572:  Aha, telefon do zabawy, szkoła nie do zabawy.
1576:  I to jest bzdura, ponieważ najlepsze modele edukacyjne opierają się na grze i zabawie.
1582:  Dlatego też m.in.
1583:  mechanizmy gamifikacyjne, czyli gamification, są wprowadzane w tak wielu firmach do zarządzania ludźmi, bo jest to diablo skuteczne.
1592:  Dlatego mechanizmy gamifikacyjne funkcjonują także w aplikacjach, bo fajnie jest przeglądać sobie TikToka, to jest dobra aktywność, fajnie zaprojektowana, nie wymaga zbyt wiele pomyślunku, po prostu wykorzystuje nasze bazowe odruchy, nawet
1609:  Umieszczenie lajka pod kciukiem jest dokładnie w takim miejscu, żebyśmy nie musieli centymetr go przenosić dalej.
1615:  Wszystko jest nastawione na fun, na zabawę.
1618:  Więc jest to skuteczne.
1619:  I jest to skuteczna również metoda edukacji, co wie każdy, kto się nauczył historii z gier typu Civilization albo Rome Total War i tak dalej, i tak dalej.
1627:  Wszyscy to wiemy.
1629:  No, oprócz szkoły oczywiście, która uważa, że w szkole nie ma tej przestrzeni zabawy.
1633:  Naturalnie szkoły prywatne Montessori czy demokratyczne szkoły fińskie uważają całkowicie inaczej.
1638:  Naturalnie jest dużo szkół publicznych w Polsce, gdzie stosuje się metody projektowe.
1643:  No ale nie jest to standard, ponieważ większość ludzi uważa, że zabawa to jest poza szkołą i właśnie szmartfon to jest to miejsce, w którym mamy ośrodek zabawy, przez co ludzie nie umieją używać nowych technologii w ogóle do pozyskiwania informacji, zwłaszcza zaawansowanych, odfiltrowywania informacji, dlatego między innymi staram się kiedy tylko mogę na kanale tego typu rzeczy wprowadzać, nawet jeżeli to jest coś tak prostego jak to, że wspominam Wam, że istnieje Library Genesis, gdzie można
