🔴 Kiedy posłuszeństwo jest złe? (ft. Mikołaj Marcela) | ROZMOWA #3
🔗 https://www.youtube.com/watch?v=jnF68qvleqw
MM (Mikołaj Marcela)
KMM (Krzysztof M. Maj)

5:  S01 - muzyka
777:  MM - I myślę, że tutaj pod tym kątem warto by było powiedzieć, że my w ogóle mamy takie założenie społeczne, kulturowe, że nie możemy funkcjonować bez hierarchii, że jeśli porzucimy hierarchię, jeśli porzucimy ten taki nasz typowy sposób porządkowania rzeczywistości, to właściwie ten nasz świat się zawali, podczas gdy jednak
800:  MM - Mamy wiele dowodów na to i wiele przykładów rozmaitych projektów i rozmaitych sposobów urządzenia rzeczywistości, o których też piszę w książce, które pokazują, że hierarchia niekoniecznie jest czymś niezbędnym.
812:  MM - Jest oczywiście jakimś rozwiązaniem, ale niekoniecznie musimy za każdym razem ustawiać swoje relacje
820:  MM - w takiej perspektywie góra-dół i że ktoś może popatrzeć z góry ze względu na jakieś swoje kompetencje czy osiągnięcia, może traktować innych w sposób lekceważący.
839:  MM - Zresztą
840:  MM - Pewnie antropolodzy dużo lepiej by się wypowiedzieli w tym zakresie niż ja, ale były i do dzisiaj istnieją społeczności, w których na przykład zbytnie wywyższanie się, czy zbyt duże opowiadanie o swoich właśnie kompetencjach, jaki to jestem wspaniały i ile dokonałem itd.,
859:  MM - jest od razu jakby z automatu podstawą do tego, żeby kogoś pośmieszyć, żeby on wrócił na swoje miejsce i żeby był na równi z nami wszystkimi.
869:  MM - Że to raczej nie jest powód do tego, żeby kogoś wychwalać, żeby właśnie pozwalać traktować siebie z góry, tylko raczej jest to powód do tego, żebyśmy zastanowili się, czy to nie będzie groźne w dłuższej perspektywie i czy właśnie zbytnie obdarzanie kogoś autorytetem tylko ze względu na jakieś kompetencje czy tylko ze względu na jakieś osiągnięcia
888:  MM - w dłuższej perspektywie nie obróci się przeciwko nam.
891:  MM - Myślę, że dzisiaj bardzo często o tym zapominamy.
894:  MM - Tym bardziej, że my w ogóle żyjemy w takiej kulturze, nie bez powodu znów zacznę od Matrixa.
899:  MM - Także z jednej strony Matrix wiele rzeczy nam tłumaczy i to jest jeden z filmów, do którego lubię bardzo powracać.
906:  MM - Ale mój główny zarzut względem Matrixa to jest to, że Matrix jednak cały czas podtrzymuje tą taką kulturę oczekiwania na wybawiciela.
916:  MM - Także my cały czas zakładamy
918:  MM - że musimy czekać na kogoś, kto za nas rozwiąże wszystkie nasze problemy, kto nas wyzwoli z systemu itd.
924:  MM - Te wszystkie narracje, że ktoś musi zmienić ten system.
929:  KMM - Przepraszam, że Ci wejdę w słowa, ale akurat jest ten fragment na ekranie.
932:  KMM - Mówisz o tej filozofii kynizmu, czyli
935:  KMM - oswojonego cynizmu, ironiczny gest podważenia systemu, to znaczy, to jest też taka bierność, że się zgadzamy na to pat pat, tak, jest źle, jest bardzo źle, ale będziemy zaciskać zęby i cierpieć, tak jak wielu naszych kolegów i koleżanek uczonych w piśmie, tak, cierpi i zaciska zęby, no tak, tak, są punkty na uczelni, no tak, nie zgadzamy się, no tak, źle się uczy, no tak, ale dobrze, ale nic z tym nie zrobimy, prawda?
961:  KMM - I powstaje zawsze pytanie, to znaczy jak można z czymś takim walczyć, bo ty proponujesz taką metodę walki, która do mnie też bardzo przemawia, to znaczy troszeczkę jak Slavoj Zizek, przez czytanie kultury współczesnej i przez pokazywanie w jaki sposób właśnie ona może nas poinformować, co jest nie tak ze światem, który nas otacza.
981:  MM - Tak, no bo ja przyznaję, że tutaj pod tym kątem wiele zawdzięczam Stawowi Rewiziszkowi i myślę, że pisania... W ogóle uczyłem się od niego tak trochę.
992:  MM - Przypomina mi się koniec moich studiów.
995:  MM - Trafiła do mnie bardzo krótka książeczka wydana przez krytykę polityczną, czyli dla... przewodnik krytyki politycznej.
1004:  MM - I pamiętam, że to było dla mnie w pewien sposób jakieś objawienie, że tutaj dostaję opis bardzo wielu kluczowych dla mnie zagadnień, ale za każdym razem Żiżek przywołuje mi filmy, przywołuje mi książki, jakieś teksty kultury, które kojarzę i robi to w sposób przystępny, jak na studenta czwartego, piątego roku studiów.
1033:  MM - I przyznam szczerze, że Żiżek jest jednym z takich autorów, których najchętniej czytam z różnych względów.
1045:  MM - Lubię go dlatego, że on jest trochę takim filozofem od czapy, ale takich ludzi nam potrzeba i ja bardzo lubię dziwaków, jakoś zawsze do mnie przemawiali.
1056:  MM - Natomiast rzeczywiście staram się opowiadać o współczesnym świecie w taki sposób, żeby on był jednak dostępny czytelnikom.
1067:  MM - Myślę, że jednym z problemów współczesnej nauki jest to, że jednak my też bardzo często jako czytelnicy doświadczamy problemów,
1076:  MM - w ramach nauki pewnej przemocy symbolicznej.
1078:  MM - Mierzymy się z tekstami, do których absolutnie nie mamy możliwości dostępu pod kątem takim językowym, definicyjnym.
1091:  MM - Chcielibyśmy coś zrozumieć, ale tego się po prostu nie da zrozumieć, bo żeby to przeczytać, musisz mieć przeczytaną, no nie wiem, na przykład całą, żeby przeczytać jakiś jeden losowy tekst, musisz mieć przeczytaną całą historię marksizmu, naprawdę dobrze przerobioną i usystematyzowaną, żeby zrozumieć wszystkie wątki, które pojawiają się w danym tekście.
1109:  KMM - Cała historia literatury na języku polskim, który nie jest językiem polskim, bo powinien się nazywać historia literatury jako przedmiot, właśnie na tym polega.
1116:  KMM - To znaczy ładujesz do głowy ludzi mnóstwo różnych danych po to, żeby mogli zrozumieć teksty ważne dla starszych pokoleń.
1124:  MM - Dokładnie.
1124:  MM - I myślę, że tutaj jakąś próbą wyjścia z tego jest z jednej strony oczywiście tłumaczenie tej kultury w sposób prosty, to da się robić, właśnie przy udziale czy przy użyciu rozmaitych narzędzi, na przykład właśnie jakichś przedstawień w popkulturze.
1145:  MM - Z drugiej strony to, co dla mnie, kiedy pytasz, co można zrobić i jak można wyjść z tej sytuacji, w której jesteśmy,
1153:  MM - Na koniec też książki przywołuje bardzo ciekawe podejście z zakresu socjologii, czyli architekturę praktyki.
1161:  MM - Zdaję sobie sprawę z tego, że bardzo często mówimy o rodzinie, o szkole, o państwie.
1167:  MM - o rozmaitych rzeczach, jako właśnie o rzeczach czy o rzeczownikach, podczas gdy bardzo często, właściwie na ogół powinniśmy o tym myśleć, jako o czasownikach i o czymś, co się tworzy, że właściwie szkoła nie istnieje jako taka, tylko szkoła jest tworzona poprzez bardzo konkretne praktyki, bardzo konkretne zachowania,
1185:  MM - które podejmujemy jako aktorzy w ramach codziennych działań.
1192:  MM - Tak samo jest z kapitalizmem, tak samo jest z państwem, tak samo jest z rodziną.
1197:  MM - I właściwie np.
1199:  MM - na gruncie badań dotyczących rodziny bardzo często nie mówi się, że rodzina jest, tylko że rodzinę się robi, czy właściwie rodzina cały czas jest w
1208:  MM - pewną formą praktyki i zmiana poszczególnej praktyki może wpłynąć na to, czym ta rodzina się staje.
1216:  MM - Więc w momencie, kiedy np.
1218:  MM - pozwalamy dzieciom zabierać głos, rozmawiać, decydować czy współdecydować, podawać jakieś rozwiązania problemów,
1230:  MM - Wtedy ta rodzina zaczyna funkcjonować w zupełnie inny sposób.
1234:  MM - To jest oczywiście coś, co dla mnie jest dość oczywiste, kiedy porównuję mój sposób funkcjonowania w rodzinie i zestawiam to ze sposobem, w jakim funkcjonowali moi znajomi.
1247:  MM - bardzo często, ponieważ ta książka jest zadedykowana mojemu tacie i też planuję niebawem jakiegoś posta takiego, może większego, bo myślę, że to też bardzo istotna historia.
1261:  MM - Ja na przykład zawsze byłem w takiej sytuacji, że mój głos zawsze się liczył w domu.
1267:  MM - Zawsze mogłem się sprzeciwić, mogłem wyrazić opór, mogłem
1274:  MM - też wesprzeć moich rodziców w jakiejś decyzji.
1278:  MM - I pod tym kątem dla mnie takie bardzo autorytarne traktowanie rodziny i traktowanie w ogóle rodziny jako coś stałego, w którym jest bardzo konkretna hierarchia, bardzo konkretne relacje i to jak funkcjonujemy ze sobą jest czymś absolutnie nienaturalnym, tylko czymś konwencjonalnym i czymś, co zawsze można zmienić.
1321:  MM - Przysztofie czy mnie słychać?
1323:  KMM - Teraz mnie nie było słychać.
1326:  KMM - Nie, jak raz, jak raz mnie.
1329:  KMM - Przepraszam was jeszcze raz.
1330:  KMM - Więc czytałem fragment, że Mikołaj pisał, że z perspektywy socjologicznej bardziej rozsądne się wydaje powiedzenie, że rodzina się robi, a nie, że po prostu jest się rodziną.
1340:  KMM - I w perspektywie tego jest pytanie od Pełcio.
1344:  KMM - Czaty teraz pojechały po mnie strasznie za niewłączenie mikrofonu.
1348:  KMM - To wszystko dlatego, że chciałem wcześniej, żeby nie słychać, bo klawiatury...
1352:  KMM - czy uległość wobec nadopiekującego rodzica, który upośledza nasze kompetencje i samooceny również jest formą patoposłuszeństwa.
1359:  KMM - I wyobrażam sobie, że także mówimy tutaj o wszystkich sytuacjach, w których ktoś usiłuje bardziej kontrolować nas, albo w których dzieli bardzo wyraźnie obszar, który jest dla dorosłych od obszaru, który jest dla dzieci.
1373:  KMM - Pamiętam, jak moi rodzice reagowali alergicznie, jak ich
1377:  KMM - znajomi mieli stolik dla dzieci.
1380:  KMM - W stoliku dla dzieci rozmawiają się o rzeczach dziecięcych, a przy stoliku dla dorosłych rozmawiają się o rzeczach dorosłych.
1387:  MM - No tak, ja zawsze siedziałem przy stoliku dla dorosłych od najmłodszych lat i nie było stolika dla dzieci u nas nigdy w domu, tylko wszyscy siedzieli razem i dyskutowali i te perspektywy się zdarzały i to w ogóle dla mnie jest, wiecie, tak na marginesie.
1402:  MM - Nie wiem, czy wiecie, że szkoła właściwie jest jedynym miejscem, w którym my w ogóle wpadliśmy na taki pomysł, że grupujemy ludzi w tym samym wieku,
1409:  MM - I ci ludzie w tym samym wieku, którzy mają tyle samo lat, przez 12 lat cały czas są ze sobą w tej małej grupie i nie ma tam nikogo innego w innym wieku.
1419:  MM - To jest zupełnie nienaturalne.
1421:  MM - To jest sytuacja, która już się właściwie nigdy nie zdarza w życiu, bo zawsze konfrontujemy te perspektywy i właśnie konfrontacja perspektyw, potrzeb, spojrzeń jest twórcza i pozwala nam rozwiązywać problemy.
1434:  MM - Więc ja w ogóle nie rozumiem takiej segregacji wiekowej.
1437:  MM - Natomiast wracając do tego pytania,
1441:  MM - Tak, to jest kultura posłuszeństwa.
1443:  MM - Dodatkowo możemy oczywiście tutaj powiedzieć o jeszcze innym wymiarze tego, czyli np.
1449:  MM - alienacji rodzicielskiej, o której dopominał się jeden z moich czytelników na Facebooku, czyli o takiej sytuacji, w której z kolei jeden z rodziców nastawia dziecko przeciwko drugiemu rodzicowi.
1463:  KMM - Albo nauczyciel jednego ucznia przeciwko drugiemu uczniowi.
1467:  MM - No właśnie, więc tutaj jakby pod tym kątem oczywiście mamy do czynienia po pierwsze z posłuszeństwem, a po drugie mamy do czynienia oczywiście z przemocą symboliczną.
1477:  MM - Jakbyś wyjaśnił też dla widzów, jak rozumiesz przemoc symboliczną?
1484:  MM - Oczywiście przemoc symboliczna, bo tylko tak dopowiem, ta książka jest o kulturze posłuszeństwa, patologicznego posłuszeństwa, ale jest też o różnych formach przemocy, które stoją za tym posłuszeństwem.
1498:  MM - I to są na ogół formy przemocy, której my nie dostrzegamy.
1503:  MM - Przemoc fizyczna jest dość prosta do dostrzeżenia.
1506:  MM - Mamy napastnika, mamy ofiarę,
1508:  MM - i wiemy, że doszło do aktu przemocy.
1512:  MM - Natomiast w przypadku przemocy symbolicznej czy przemocy systemowej, o której piszę, ona po pierwsze nie jest dla nas widoczna na ogół, jeśli nie zdajemy sobie sprawy z tego, że istnieje, a nikt nam o tym nie mówi na ogół w życiu, że o proszę tutaj
1528:  MM - przychodzisz do szkoły i cię pouczają, czy mówią ci o tym, że uważaj na przemoc symboliczną albo przemoc systemową.
1534:  MM - Przemoc symboliczna to jest przemoc, w której my podlegamy tej przemocy, uznając za naturalne coś, co jest kwestią konwencji, czy kwestią pewnego ustalenia.
1550:  KMM - Naturalne, oczywiste, przyrodzone, bezdyskusyjne.
1555:  MM - Tak, na przykład prostym przykładem takim z jednej strony to jest na przykład VIP, że istnieją w naszym społeczeństwie osoby, którym określamy VIP i dla nich jest zawsze szybsze wejście, mogą wejść gdzieś bez kolejki, mają swoje strefy specjalne itd., itd., dlatego że to są osoby,
1573:  MM - bardzo ważne osoby, ale tak naprawdę to jest kwestia pewnego ustalenia w ramach naszego społeczeństwa, że te osoby z jakiegoś powodu są lepsze od nas i dlatego mogą korzystać z pewnych udogodnień czy z pewnych rozwiązań, które są zaprojektowane tylko pod nich.
1590:  MM - Z drugiej strony przemoc symboliczna na przykład często się zdarza na konferencjach naukowych dla osób, które nie bywają na konferencjach naukowych,
1600:  MM - że bywają profesorowie, którzy nie rozmawiają np.
1602:  MM - z doktorami albo z doktorantami, czy z kimś, kto nie ma odpowiedniego tytułu czy stopnia naukowego, dlatego że uznają, że nie ma właściwie po co dyskutować, że to nie jest partner do dyskusji i to wynika z pewnej hierarchii stopni i tytułów naukowych i że jak ktoś otrzymał profesora, to on właściwie jest tak wysoko,
1625:  MM - że może rozmawiać tylko z innym profesorem, no bo to będzie dla niego partner do dyskusji.
1630:  KMM - No ja pamiętam, jak byłem doktorantem, kiedyś zrobiłem konferencję o obcości w wykluczeniu i była zaproszona profesor Magdalena Środa, o której byśmy oczekiwali właśnie, że będzie otwarta, ale postąpiła dokładnie tak, jak ten profesor, o którym mówisz, to znaczy przeszła koło mnie jak powietrze, poszła do pani profesor, która była w komitecie organizacyjnym, bo ja byłem
1649:  KMM - Ja nie istniałem, prawda?
1650:  KMM - I to jest właśnie ta hierarchia, której nie kwestionujemy, ale wiesz, jak już rozmawiamy o tym, to krucyferer już się dobija z pytaniem dotyczącym struktury, w której chyba jest to jeszcze bardziej oczywiste, to znaczy wojska.
1663:  KMM - Posłuszeństwo jest tam kluczowe, by realizować pewne zadania i jak się zapatruje na to autor, a ja tu powiem coś do tego, to znaczy miałem okazję rozmawiać z felietonistą Rzeczpospolitej niedawno, który mówił, że na przykład zjawisko fali w wojsku zostało wprowadzone za PRL-u.
1678:  KMM - Bo wojska kongresówki w ogóle czegoś takiego nie miały, był tam szacunek dla żołnierza.
1682:  KMM - Natomiast teraz się pojawia takie przekonanie właśnie, że musimy tego człowieka przeczołgać, upodlić tak jak Full Metal Jacket.
1689:  KMM - Czy to też jest patoposłuszeństwo?
1691:  KMM - Czy możemy inaczej sobie wyobrazić posłuszeństwo w takich nawet strukturach jak wojskowe czy kościelne?
1701:  MM - Dla mnie kluczowe, jeśli chodzi o posłuszeństwo, to jest tak, po pierwsze, czy my podlegamy temu posłuszeństwu, czy godzimy się na to posłuszeństwo z własnej woli.
1714:  MM - Zakładamy, że niektóre osoby będą wykonywać pewne polecenia, możemy takie struktury wprowadzać, natomiast
1721:  MM - Problem zaczyna się wtedy, kiedy one są przymusowe na przykład, kiedy mamy pobór do wojska powszechny i zakładamy, że człowiek po prostu musi przyjść do tego wojska i musi wypełniać pewne polecenia swojego dowódcy, dlatego że on jest po prostu dowódcą i nie mamy na to żadnego wpływu.
1741:  MM - To dla mnie jest absolutnie rzecz nie do przejścia.
1745:  MM - Z drugiej strony to, co dla mnie jest istotne, to jest to,
1750:  MM - Czy my zakładamy, że jest to coś naturalnego, czy że my zakładamy, że jest to pewna jednak cały czas konwencja i że istnieje taki moment, w którym czasami trzeba wypowiedzieć posłuszeństwo nawet w wojsku?
1762:  KMM - Otóż to jest bardzo aktualna sytuacja w odniesieniu do tego, co się dzieje w Ukrainie.
1768:  KMM - I tego, że żołnierze nawet wedle konwencji, które obowiązują w sytuacji, gdy ktoś im zleca ludobójstwo, oni mogą się zbuntować.
1777:  KMM - My już przeszliśmy te doświadczenia i wydawało się, że to jest oczywiste dla wszystkich.
1782:  KMM - Więc to, co mówisz o wypowiedzeniu posłuszeństwa, myślę, że to jest fundamentalnie ważne, żebyśmy nauczyli się rozpoznawać, kiedy człowiek przestaje nas traktować jak człowieka, a zaczyna nas traktować jak rzecz, jak przedmiot.
1794:  KMM - I jest fenomenalny fragment twojej książki o tym, jest o tym absurdzie tej sytuacji i w moim ulubionym serialu Rozdzielenie, o którym rozmawialiśmy z Filipem Malinowskim na Bez Schematu, jak ktoś jest zainteresowany, to mega polecam rozmowę, się pojawią na Apple TV i ci ludzie zajmują się tam, i to uwypukliłeś, rafinacją makrodanych.
1814:  KMM - Oni nawet nie wiedział, co to jest, tak?
1815:  KMM - Ale robią to dlatego, że...
1819:  KMM - Zostało im to przedstawione w taki, a nie inny sposób.
1822:  KMM - Stali uwarunkowani do tego nawet w procesie fizycznym, to znaczy oddzielając sobie jaźni, tak żeby mogli się skoncentrować wyłącznie na pracy.
1830:  KMM - Piszesz, że rozdzielenie proponuje bardzo radykalną wizję work-life balance.
1833:  KMM - Po wyjściu z pracy osoby poddane tytułowemu zabiegowi nie są w stanie przypomnieć sobie, co działo się w pracy, jakie obowiązki wykonywali.
1839:  KMM - Masz wrażenie, że to jest ideał właśnie, do którego dąży nasza rzeczywistość?
1844:  MM - Tak, to jest ideał, do którego dąży nasza rzeczywistość i dlatego bardzo mocno trzeba się przeciwstawiać temu, dokąd dąży nasza rzeczywistość w obecnym modelu.
1855:  MM - I myślę, że to też wynika właśnie z tego, że my od najmłodszych lat bardzo często jesteśmy warunkowani do takiego funkcjonowania.
1863:  MM - My cały czas
1865:  MM - Gdzieś jednak jesteśmy rozdzieleni, idziemy do tej szkoły i szkoła jest takim miejscem, w którym my absolutnie nie jesteśmy na ogół sobą, która nas całkowicie alienuje od siebie, każe nam zupełnie zapomnieć o naszych potrzebach, potencjale, zdolnościach.
1883:  MM - wszystkim tym, co moglibyśmy ofiarować światu, że tak powiem, a potem w pracy bardzo często mamy dokładnie to samo.
1895:  MM - To jest strasznie dużo wątków do poruszenia, bo kiedy ja na przykład piszę w tej książce, bo tutaj jest też dużo jakichś rozwiązań czy pomysłów na to, w jaki sposób możemy zmieniać naszą rzeczywistość.
1912:  MM - I ostatnio też nad tym się zastanawiałem, na ile my właśnie dopuszczamy do tego takiego rozdzielenia, czy godzimy się na to rozdzielenie, dlatego że bardzo często w naszym życiu nie mamy w ogóle takiej przestrzeni do tego, żeby podjąć jakieś mądre decyzje, takie decyzje, które byłyby
1931:  MM - rzeczywiście zgodne z tym, czego nam potrzeba, a to wynika z tego, że my właściwie bardzo szybko jesteśmy wtłaczani w rozmaite schematy właśnie poprzez z jednej strony przemoc symboliczną, z drugiej strony poprzez przemoc systemową, czyli taką przemoc, która jest rezultatem działania czy funkcjonowania w rozmaitych systemach, instytucjach, które tworzą te systemy, jeśli się nad tym zastanowimy.
1952:  MM - No to tak, my idziemy do szkoły, potem idziemy do jakiejś szkoły ponadpodstałowej i na etapie już decydowania o szkole ponadpodstałowej teoretycznie powinniśmy wiedzieć, co chcielibyśmy robić, ponieważ wybieramy już bardzo często na przykład w liceum jakiś profil.
