🔴 Co zrobić, gdy szkolny statut łamie prawo (ft. Dopamina Lab) | ROZMOWA #5
🔗 https://www.youtube.com/watch?v=PClVgzFe-b0
KMM (Krzysztof M. Maj)
AD (Anna Dęboń, Do!Pamina Lab)
RS (Robert Strzała, Do!Pamina Lab)

11:  S07 - Muzyka Muzyka
729:  KMM - Więc też podpytuję was nie dlatego, iżby to było pytanie czysto retoryczne, tylko bardzo często ja z kolei spotykam się z zarzutem, że moja perspektywa, zresztą nie tylko ja, Mikołaja Marcela, także jest odrealniona, ponieważ patrzymy na to z perspektywy akademickiej.
743:  KMM - Więc dla mnie też jest mega ważne, że wnosicie tutaj perspektywę
746:  KMM - nauczycielską.
748:  KMM - Moi kochani, więc teraz, without further ado, pozwolę sobie przejść do creme de la creme tego naszego dzisiejszego spotkania.
757:  KMM - To znaczy do komentarzy uczniów, studentów, widzów kanału, które zostały zgromadzone.
763:  KMM - Jest tego trochę.
764:  KMM - Jeżeli chodzi o sam raport jeszcze, to pamiętajcie, jeżeli jesteście zainteresowani, wszystkie linki będą w opisie tradycyjnie, zarówno do Dopaminy Lab, jak i do raportu.
773:  KMM - Dajcie maksymalnie dużo wsparcia.
775:  KMM - Jeszcze od siebie mogę dodać, że cały czas zachęcam także do...
780:  KMM - odwiedzania strony Stowarzyszenia Nieumarłych Statutów i jeżeli chcecie coś zrobić ze statutami, to jest wzorzec Statutu Nieumarłego, który jest skonsultowany z prawnikami i teraz jeszcze była prośba ze strony Stowarzyszenia, którą też przekazuję dalej, jeżeli możecie wesprzeć druk tego statutu, macie takie możliwości, to jest zrzutka.
802:  KMM - więc bardzo, bardzo do tego zachęcam, a teraz już skoro wszystkie te rzeczy mam za sobą, to przechodzimy może do tego obiecanego creme de la creme, to znaczy naszych pytań.
814:  KMM - Pozwolę sobie tak nie po szkolnemu, to znaczy nie będziemy czytać tych, które są najwyżej i są najbardziej plusowane, tylko będę czytać od samego końca te komentarze od tych, które się pojawiały na samym końcu i być może
830:  KMM - nie zostały przeczytane przez tak wiele osób.
832:  KMM - Oczywiście też pamiętajcie, kochane czaty, jeżeli macie jakieś pytania na bieżąco, ja będę starał się je wychwytywać, ale z uwagi na formułę naszej rozmowy, bardzo proszę, żeby mnie tam oznaczyć małpą, dobra?
841:  KMM - Jeżeli to będzie pytanie dla mnie, to wtedy będę się postarał je wychwycić, ale pamiętajcie, że przede wszystkim zaczynamy od tych, które się tutaj pojawią.
850:  KMM - Więc po pierwsze, Przemko pyta, może nie tyle szkoła, co uczelnia, to jest pytanie, które możemy wspólnie zaadresować, czy na zaliczenie kierunku artystycznego wykładowca może żądać drukowania plansz za 40 złotych per przedmiot i oddawania swoich prac jako dokumentacja?
864:  KMM - Przeformułuję to tak, żeby też was uwzględnić, to znaczy czy
867:  KMM - Jakiekolwiek zapisy, które wymuszają nakłady finansowe po stronie uczniów w statutach czy w dokumentach urzędowych są dopuszczalne.
875:  KMM - Ja osobiście stoję na stanowisku, że nic, co wymaga, jest do zaliczenia mojego przedmiotu, nie wymaga żadnych nakładów finansowych po stronie studentów.
884:  KMM - A believe me, mógłbym robić tego rodzaju rzeczy, biorąc pod uwagę to, że zajmujemy się grami wideo i 90% aplikacji do projektowania gier jest płatnych.
892:  KMM - No więc pracujemy na tych bezpłatnych, mimo że to jest naprawdę niewygodne.
898:  KMM - Jak to jest z waszej perspektywy, jeżeli chodzi o te nakłady finansowe?
900:  AD - Nie można oczekiwać, że ktoś będzie ponosił pewne nakłady finansowe, dlatego że
908:  AD - żeby coś zaliczyć, czy też... To są też częste takie przykłady, nawet w szkole podstawowej, że trzeba coś kupić na technikę konkretnego.
918:  AD - Często nauczyciele wskazują, że to ma być to i tamto dokładnie.
925:  AD - No jakby trzeba brać pod uwagę, że nie każdy musi mieć zasoby finansowe takie, które może zainwestować.
931:  AD - Nie można tego... Nie ma żadnej podstawy prawnej, która
936:  AD - obowiązkowo i obligatoryjnie zmuszałaby do tego, żeby uczeń, uczennica czy też student, studentka swoje środki własne przeznaczała na tego typu celi.
949:  RS - To jest tak samo jak z tymi słynnymi radami rodziców, które też nie są, te wpłaty też nie są przecież obowiązkowe.
958:  KMM - Prawda?
958:  RS - Ale w niej działam.
960:  RS - No proszę.
961:  RS - No nie są.
962:  RS - One są dobrowolne, wpłaty na radę rodziców.
966:  RS - Też wiadomo, jak są szkoły dofinansowane i tak samo, gdybyśmy powiedzieli np.
973:  RS - o WOŚP-ie, że nie powinien istnieć, bo ja uważam, że nie powinien istnieć WOŚP.
978:  RS - tak naprawdę, ponieważ powinny te pieniądze brać się zupełnie skądinąd.
982:  RS - Ale to jest trochę też inna kwestia.
984:  RS - Słyszę?
986:  KMM - Aha, bo ja tu wstałem nogami, przepraszam.
988:  KMM - Nie szkodzi, nie wyłapuje nic z tego.
990:  KMM - Idzi pisze na czacie, że miała tak w plastyku swoim.
994:  KMM - Rozumiem, że chodzi o te kwestie finansowe.
996:  KMM - Ja jeszcze od razu jedną rzecz zahaczę, to znaczy to mnie bardzo zaniepokoiło, bo dostawałem często takie komentarze od widzów,
1002:  KMM - że szkoła wymagała wykupienia swojej pracy dyplomowej, która była na przykład na zakończenie właśnie roku w szkole plastycznej.
1010:  KMM - Spotkaliście się z takimi rzeczami?
1011:  RS - Ja wam powiem tak, bo ja pracuję w plastyczku, ale tam jest kwestia trochę złożona.
1016:  RS - Powiem tak, że
1017:  RS - Okej, nie jest, Rada Radzieców oczywiście nie jest obowiązkowa, ale z drugiej strony weźmy sobie właśnie pod uwagę na przykład zakupy, nie wiem jak jest tam w szkołach, do których tutaj ta osoba pytająca chodzi, ale dajmy na to, u mnie w szkole na przykład jest pracownia witrażu i musimy zakupić te materiały do tej szkoły.
1038:  RS - I teraz, jeżeli uczeń musiałby sobie kupić sam taflę szkła, to go po prostu na to
1045:  RS - zwyczajnie nie będzie stać.
1047:  RS - Jeżeli będziemy to finansowali z rady rodziców, albo z jakichś innych sponsorów, albo z jakichś innych akcji charytatywnych, no to wtedy kupuje się to w kurcie i każdy może z tego korzystać.
1057:  RS - Więc ja bym tutaj... Okej, z jednej strony jest to dobrowolne, ale z drugiej strony to jest coś w rodzaju takiego, nie wiem, dobra wspólnego, które wszyscy możemy wykorzystywać.
1067:  RS - Ja bym się mimo wszystko nie zapeżał w tym.
1071:  RS - Oczywiście nikt nikogo nie zmusi,
1073:  RS - ale też pomyślmy o dobru wspólnym.
1076:  RS - Powiem to jeszcze raz, to jest podobnie trochę jak z WOŚP-em, że nie musimy wpłacać na WOŚP, ale jak nie wpłacimy, to wiecie, co będzie w szpitalach.
1083:  KMM - Bo jest swoją drogą z nami też nauczycielka z jasnej strony mocy, rozpoznajemy to po tym, że jest u nas, żartuję, tak naprawdę to nie,
1092:  KMM - Ale Agnieszka Brzozowska pisze, że jako nauczyciel prosi o papier, gdy już dużo kseruje dla dzieci na własnej drukarce, bo od szkoły nic nie dostaje.
1099:  KMM - To jest stały problem i powiem, że znowu to nie jest coś, co się kończy na poziomie szkolnym, bo na uniwersytetach różnych, na których pracowałem, jest dokładnie ten sam kłopot.
1109:  KMM - Nie ma papieru do flipcharta, nie ma pisaków, więc ja już się przyzwyczaiłem od lat.
1114:  KMM - Na szczęście teraz już nie muszę, bo Agiech ma trochę inne standardy.
1118:  KMM - ale na uczelniach, na których pracowałem wcześniej, po prostu nosiłem pęk własnych pisaków, ba, w krytycznym momencie nosiłem swój prywatny rzutnik, bo tylko on działał.
1130:  RS - No przecież teraz nie czytaliście jakaś akcja, że w szkole którejś tam wydziela się dzieciom papier toaletowy.
1136:  RS - To o czym to jest?
1137:  RS - Nie no, to jest straszne.
1140:  AD - Tylko podkreślmy, że to o czym mówimy, jeżeli się na coś umawiamy, jeżeli nie oczekujemy obowiązkowo, jak nie pewnie od każdego, że
1149:  AD - da tam swoją cegiełkę i dołoży określonej wartości, to jest okej, tak?
1154:  AD - Bo się tak umawiamy i ten kto może, kto chce, na zasadzie dobrowolności to w to wchodzi.
1160:  AD - Ale to pytanie, które było na początku, czyli czy można nie dostać zaliczenia dlatego, że się nie zainwestuje w pewnych środków finansowych, no to nie.
1171:  KMM - To jest po prostu nieetyczne i od razu jeszcze powiem dla studentów, którzy tego będą słuchać.
1176:  KMM - Jeżeli jest wykładowca, który mówi, że musicie kupić jego książkę, żeby zaliczyć przedmiot,
1184:  KMM - to się to zgłasza do dziekana do spraw studenckich, ok?
1187:  KMM - Minimum.
1188:  KMM - Bo nie ma prawa czegoś takiego powiedzieć.
1190:  KMM - Nawet nie ma prawa tego wpisać do sylabusa.
1193:  KMM - Cóż dopiero tego wymagać?
1194:  KMM - A to się notorycznie zdarza, niestety.
1197:  KMM - A przypominam, że książki akademickie to jest paręset złotych.
1200:  KMM - Muzyka trochę za głośno, już przyciszam.
1202:  KMM - Dawajcie mi znać, kochani, na bieżąco, bo różne ścieżki, które mam na dzisiaj przygotowane, mają różny poziom głośności.
1210:  KMM - Domcia Chlebek pyta następująco.
1213:  KMM - W jaki sposób uświadamiać nauczycieli, kiedy robią lub każą nam robić coś, co nie jest zgodne z prawem, ale jest zapisane w statucie?
1220:  KMM - Na co się powołać?
1221:  KMM - Jak to tłumaczyć?
1222:  KMM - Też niektórzy widzowie pisali wprost, że zdarzało im się z odwagą wstawać w szkole i mówić, że nie, że to jest niezgodne z prawem, że dlaczego jest taki zapis i tak dalej.
1232:  KMM - No i byli na najróżniejsze sposoby uciszani, więc domyślam się, że to jest takie pytanie o...
1238:  KMM - strategie retoryczne, techniki i to, w jaki sposób w ogóle ten temat adresować, tak żeby właśnie nie prowadzić do tej eskalacji jakichś napięć, które mogą się na tym tle pojawić?
1246:  S03 - Zaczynaj.
1249:  RS - Zaczynam znowu?
1250:  RS - No to jest ten problem, który jest chyba tak naprawdę, moim zdaniem, to jest ten problem, który jest największy, bo okej, doprowadźmy do takiej sytuacji, że wszystkie statuty będą zgodne z przepisami, że tam wszystko będzie, wiecie, idealnie,
1263:  RS - ale wciąż przecież będą tacy nauczyciele, że będą tacy ludzie, którzy po prostu będą to w sposób jawny łamać, bo zwyczajnie będą posiadać władzę i ja tak zawsze, no nie wiem, to o czym pisaliśmy tutaj, mówię Ania, pisaliśmy w raporcie, że na przykład średnia ważona jest nielegalna, ale ja tak zawsze robiłam i tak już będzie i koniec, kropka.
1287:  RS - No i teraz właśnie, ja wiesz, to jest ogromny problem,
1291:  RS - bo wydaje mi się, że w jakiś sposób rozmawiać, przekonywać, kurczę, to jest problem chyba ze wsparciem, bo myślę sobie, że nie można w tym zostawać, że trudno jest w takiej sytuacji zostać samemu, bo nie wiem, jak jest sobie uczeń, uczennica i samemu próbuje rzecz rozwiązać i nie ma wsparcia jakiegoś, nie wiem, albo grupy, albo właśnie, nie wiem, rodzica, bo mówimy też przecież o dzieciach w szkole podstawowej, no tam w ogóle nikt nie fiknie,
1320:  RS - No to jest na straconej często często pozycji, ale ale generalnie zaczynałbym zawsze od rozmowy mimo wszystko.
1331:  KMM - Ale rozmowy z nauczycielem bezpośrednio, czy z rodzicami?
1334:  RS - Powiem wam tak, że z nauczycielem, bo ostatnio też miałem taką sytuację, z uczniami rozmawiałem i oni mi powiedzieli tak, co mają zrobić, jak mają uderzyć, żebym ja gdzieś tam poszedł.
1343:  RS - Ja mówię, idźcie, że najpierw porozmawiać.
1345:  RS - Idźcie, może się okaże, że wszystko jest w porządku i da się rozmawiać.
1350:  RS - Jeżeli nie, no to gdzieś tam, gdzieś tam potem z innej strony się uderza, ale no i co, poszli, porozmawiali, pani zrozumiała, dało się z nią po prostu porozumieć, także...
1362:  RS - To jest ten punkt tak naprawdę wyjścia.
1364:  RS - Bo też często jest przecież tak, że ci nauczyciele z wielu rzeczy, myśmy też jak zaczynaliśmy, z wielu rzeczy nie zdawaliśmy sobie sprawy.
1372:  AD - Dlatego powstał raport, który jest teraz taką swego rodzaju podkładką, którą można wykorzystać w rozmowie.
1380:  AD - Nie trzeba go drukować, można sobie go otworzyć na telefonie i go użyć w tej rozmowie.
1392:  AD - I tak jak Robert mówi, w pierwszej kolejności polecamy rozmowę, w drugiej kolejności
1399:  AD - pisanie, interweniowanie.
1404:  KMM - To jest coś, co zawsze ja polecam, żeby był ślad w papierologii.
1407:  AD - Dokładnie.
1408:  AD - Jeszcze opracowaliśmy też wspólnie zresztą z umarłymi statutami takie proste ulotki, które też zawierają pewne najważniejsze, opisują pewne najważniejsze sytuacje szkolne, które się zdarzają.
1427:  AD - No i
1428:  AD - Wolno czy nie wolno, z podstawą prawną jest to tam wyjaśnione.
1433:  AD - Tam, gdzie nie ma tej odwagi, żeby porozmawiać, polecamy taką ulotkę.
1437:  AD - Można zostawić na biurku na początek.
1439:  AD - Może to jest jakieś wyjście do rozmowy i do pokazania, że jednak nie do końca
1448:  AD - to co pan czy pani robi jest zgodne z prawem i tak nie wolno.
1453:  AD - Jest też raport, który można wykorzystywać przy wszelkich rozmowach i interwencjach, można się na niego powoływać.
1460:  AD - No i tak jak mówię, kolejna droga, czyli to jest pisanie.
1464:  AD - My też zalecamy, jeżeli korespondujemy z nauczycielem, to żeby tą naszą korespondencję wysyłać również do wiadomości dyrektora, psychologa, pedagoga, innych osób, które w szkole
1477:  AD - też są, działają, żeby po prostu więcej osób było włączonych w temat, w tą korespondencję.
1483:  KMM - Ciężej jest wtedy zignorować pismo, jeżeli ma w nagłówku kilku adresatów.
1489:  AD - I to, co Robert mówił, szukanie sojuszników w rówieśnikach, w innych nauczycielach, bo też często się okazuje, że mamy po swojej stronie dorosłych w szkole, po stronie właśnie nauczycieli i nauczycielek, no i rodziców.
1505:  AD - Ale też my wciąż podkreślamy, że bardzo byśmy chcieli, żeby te zmiany były takim wspólnym namysłem, naprawdę.
1516:  AD - Siądźmy razem, ustalmy razem, jak chcemy, żeby to wyglądało, ale też to, co też Robert mówił, że my na początku też nie mieliśmy świadomości, jak bardzo prawo oświatowe sprzyja takiej wolnościowej, wspierającej, dobrej szkole.
1533:  KMM - Tak, to jest pewien paradoks.
1534:  KMM - Zresztą nawet teraz widzę na czatach, mamy pytania dotyczące tego, a co to jest nie tak ze średnią ważoną?
1540:  KMM - Więc pokazywałem bardzo wymownie przez ostatnie trzy minuty, jak odpowiadaliście, że są zapisy w Prawie Oświatowym, które przytłaczacie zresztą, które mówią o tym, że
1549:  KMM - mamy sprawozdawać na temat postępów człowieka, a nie wyciągać średnie numeryczne, arytmetyczne i ważone.
1555:  KMM - I to jest jakiś koszmar absolutny.
1557:  KMM - I muszę powiedzieć, że ja się trochę poddaję w takich dyskusjach bardzo często, jak napotykam na opór ze strony ludzi, którzy mówią, że to jest obiektywne, właściwe itd.,
1567:  KMM - I zastanawiam się, gdzie jest jakby podstawa tego, jeśli nie ma podstawy prawnej, nie ma podstawy logicznej, nie ma podstawy humanistycznej, nie ma podstawy etycznej, to gdzie ona jest szukana?
1576:  KMM - No i oczywiście, że znajdywana jest ona w tradycji, prawda?
1578:  KMM - Jeżeli coś było wcześniej, to na pewno działa i będzie też teraz.
1582:  KMM - Jeszcze jest parę pytań, które teraz wybiję z czatów.
1585:  KMM - To znaczy, jedno z nich jest odplesia, co jest w przypadku, gdy zostanie zarejestrowana taka sytuacja, która jest uznana za wykroczenie, jak rozumiem, kamerą lub telefonem.
1600:  KMM - To jest częste pytanie, co robić w takiej sytuacji i często też jest takie przekonanie, że jeżeli ktoś robi, ale to mówimy oczywiście o sytuacjach złych, prawda, nagannych, które potrzebne są jako materiał dowodowy i też poważnych typu nie dajcie bogowie molestowanie albo mobbing.
1614:  KMM - I najczęstszy argument, jaki słyszę i który też pojawił teraz w pytaniu na czacie, to jest to, że ludzie się boją to udokumentować, ponieważ ktoś może ich oskarżyć wtedy o, no nie wiem, na przykład naruszanie wizerunku czy cokolwiek innego.
1629:  KMM - Jak wtedy radzicie robić?
1632:  RS - Z naruszaniem wizerunku, to myśmy się za nią zastanawiali właśnie tu chwilę przed tym live'em, bo to też sobie, wiecie, tak naprawdę, tak jak mówimy, rzeczy sobie sprawdzamy też na bieżąco i tak jak Ania tutaj rozmawialiśmy wcześniej, to tam są dwie wykładnie, że można nagrywać albo nie można nagrywać.
1651:  RS - Oczywiście w sytuacjach takich zagrożeniowych, patologicznych, nazywajmy je po imieniu, to jest zupełnie inna kwestia.
1661:  RS - Istnieje przecież coś takiego jak komisja dyscyplinarna, rzecznik dyscyplinarny nauczycieli.
1670:  RS - No i w tym wypadku to jest dowód w sprawie jakiejś tam.
1677:  AD - Na pewno trzeba podkreślić, że nie można takich nagrań rozpowszechniać i udostępniać.
1685:  RS - Nawet tych przemocowych?
1689:  AD - Jeżeli podlega to kodeks karny już wtedy, to zgłoszenie i do dyrektora, i do rzecznika, i na policję,
1701:  AD - I wtedy nawet jeżeli mamy takie nagranie, to o tym, czy ono może być dowodem sprawy, decyduje sąd.
1707:  AD - Według mojej wiedzy i tego, co sprawdziłam przed zapoznaniem się z tym pytaniem wcześniej.
1715:  AD - Także najważniejsze w tym wszystkim jest to, że jeżeli to są sytuacje, że chcemy sobie coś nagrać i potem wiadomo, dla beki wrzucić to w internety,
1725:  AD - No to niekoniecznie.
1727:  AD - Koniecznie nie.
1729:  AD - Koniecznie nie.
1731:  AD - Natomiast jeżeli to są takie sytuacje, o których mówisz, czyli dokumentowanie przemocy, warstwowania seksualnego, mobbingu, no to też to samo nagranie to nie wszystko, tak?
1747:  AD - Tak, oczywiście.
1747:  AD - Bo jakby też cała droga
1752:  AD - własnej interwencji, ale to jest też tak umówmy się, że ktoś może nie mieć takiej odwagi, czy też nie być w stanie tego sam podjąć.
1760:  AD - Są organizacje, które się tym specjalizują i do których można się zwrócić o pomoc w takich sytuacjach, które podejmą tą interwencję za nas.
1769:  RS - Cały czas żyjemy w takim przeświadczeniu, że to tak jest trochę, że ta szkoła jest całkowicie oderwana od rzeczywistości.
1778:  RS - To jest taka przestrzeń, w której w ogóle zupełnie się dzieją dziwne rzeczy, w których wielu rzeczy nie wolno, a w których wiele rzeczy wolno robić itd.
1789:  RS - Ale jakbym to przełożył taką sytuację na...
