🔴 Co robić, gdy nauka i praca nas przytłacza? (ft. @BezSchematu) | ROZMOWA #4
🔗 https://www.youtube.com/watch?v=eueWEwF4KCo
BFP (Bartosz Filip Malinowski, Bez/Schematu)
KMM (Krzysztof M. Maj)

6:  S05 - Muzyka Muzyka
259:  KMM - Ale przede wszystkim Filip zajmuje się też rzeczami, które mogą być bliskie nam w perspektywie tych tematów, które poruszyliśmy i które w zasadzie wyście poruszyli w komentarzach pod ostatnim vlogiem dotyczącym przepracowania sposobów radzenia sobie ze stresem i mojego naiwnego wdrożenia metodologii, którą ja wykorzystuję jako praktyk, natomiast Filip się zna też na tym jako teoretyk, jako praktyk, jako strateg, jako szkoleniowiec, człowiek, który doradza ludziom.
286:  KMM - I dlatego też dzisiaj, tuż po tym jak usłyszycie od samego Filipa, kim jest, czym się zajmuje i co chciałby wam powiedzieć, przejdziemy do waszych historii, które będziemy tradycyjnie czytać.
296:  KMM - A pod sam koniec zagramy sobie w grę, która testuje najbardziej umiejętność zarządzania chaosem.
301:  BFP - Tak.
302:  BFP - Ja też nie dajcie się zwieść ludziom, i nie mówię tu o Krzysztofie, którzy mówią, że posłuchajcie tego człowieka, który ma jakąś praktyczną wiedzę i doradza innym.
312:  BFP - W takim temacie, który dzisiaj będziemy omawiali, zweryfikujcie taką osobę zadając jej pytanie, a czy pomogłeś sobie?
319:  BFP - Czy rzeczywiście wiedza, którą próbujesz sprzedawać innym, czy wyczytałeś w jakichś książkach, czy nabrałeś doświadczenia skądś, zastosowałeś w swoim przypadku zarządzania sobą w czasie, zarządzania swoją uwagą, kreatywnością, stresem i czy to przyniosło jakiś skutek?
332:  BFP - Dlatego, jeżeli pozwolisz, przyjacielu, ja tylko szybko taki wstęp... Lecisz.
337:  BFP - Przeczytałem wszystkie komentarze, tak naprawdę pytania i krótkie historie, którymi się podzieliliście i gratuluję wszystkim tym z was, którzy zdecydowali się nimi podzielić i tymi, którzy jeszcze to zrobią prawdopodobnie na czatach, ponieważ wiem, że często wymaga to pewnej odwagi, bo chodzi o wasze życie i chodzi o waszą codzienność i po prostu nazywacie pewne problemy i przeczytałem je wszystkie z uwagą i macie moje słowo, że spróbujemy odpowiedzieć na nie wszystkie, a nawet jeżeli nie,
367:  BFP - to mam nadzieję, że będziemy w stanie jakkolwiek pomóc, po prostu odpowiadając na pozostałe z tych pytań i dając jakąś praktyczną wiedzę do wykorzystania także dla pozostałych.
376:  BFP - A ma to dla mnie o tyle duże znaczenie, że miałem bardzo podobne problemy i mam trzy lata studiów zmarnowany, bardzo późno zacząłem pracę zawodową, czułem, że już się chyba, nie wiem, czy czegoś będę jeszcze nadawał, a również miałem duży problem z prokrastynacją, więc to ma znaczenie.
396:  KMM - No, a o prokrastynacji to ja chętnie to sam ciebie podpytam jeszcze, ale na sam początek jeszcze chciałem wam powiedzieć, że jeżeli jakimś cudem jeszcze nie subskrybujecie kanału Bez Schematu, to zachęcam was do tego serdecznie.
410:  KMM - I to nie dlatego, że ja się tam pojawiam właśnie, ponieważ ja subskrybuję kanał Bez Schematu od...
415:  KMM - ile, to znaczy od momentu, kiedy natrafiłem na materiał dotyczący imersji i Blade Runnera i to było wtedy, kiedy ja z kolei pracowałem na studiach nad swoją pierwszą książką o allotopiach i o światotwórstwie i pomyślałem sobie, boże, wreszcie w polskim internecie jest coś takiego, co dotychczas miałem na zachodnim YouTubie, więc tutaj bardzo serdecznie do tego zachęcam.
437:  KMM - Jeszcze od siebie taką rzecz dorzucę, że akurat dzisiaj jak wlazłem na kanał Filipa, to zobaczyłem transmisję wczorajszą z
444:  KMM - God of War, 5 godzin, 24 minuty i 15 sekund i uśmiecham się dlatego, że mówiłem Filipowi, Filip, Filip, ale streamuj, a Filip mówił, nie, nie będę streamować, no i po czym streamuję 5 godzin, więc zachęcam was do tego mega serdecznie, zwłaszcza, że Filip ma też swoją formułę streamowania, byś krótko wzmianknął na ten temat.
464:  BFP - Tak, znaczy zaznaczę, widziałem gdzieś na czatach, że jestem trochę za cicho, ale teraz podbiłem siebie u siebie na swojej konsoli, więc mam nadzieję, że będzie okej.
472:  BFP - Jesteś nie tylko niezwykle uprzejmy, ale jak zawsze bardzo skromny.
476:  BFP - Zaznaczmy, że Krzysztof, czy to wiecie, czy nie, część z Was wie, jest także współtwórcą Bez Schematu, tzn.
483:  BFP - jakieś 30% rzeczy, które są robione na Bez Schematu, jest robione we współ z Krzysztofem i naszym przyjacielem Grzegorzem,
489:  BFP - Pewnie jeszcze to będzie dzisiaj wracało odnośnie zarządzania sobą w czasie i zarządzania projektami.
495:  BFP - Ale tak, jeżeli chodzi o streamy bez schematu, na które naprawdę bardzo Was zapraszam, to po pierwsze przecudowna społeczność bez schematu.
502:  BFP - Jakby Discord bez schematu jest miejscem, w którym ja jestem na ostatnim miejscu, a na pierwszym miejscu są wszyscy.
509:  BFP - którzy mają niezwykłe pomysły, talent do żartów, ciekawych historii, także twórczości.
516:  BFP - Więc wczorajszy stream o God of War był tak naprawdę przemianowany już przeze mnie w tytule na Twój stary początek, ponieważ wszystko, co działo się w tej grze nawiązywało do memów o Twoim starym.
526:  BFP - I Kluchen Muchen, którą z tego miejsca serdecznie pozdrawiam.
529:  BFP - Karolina, czyli Kluchen Muchen jest mistrzynią tekstów o Twoim starym, bo jak sama wczoraj powiedziała,
534:  BFP - Znam memy o twoim starym, bo twój stary to jest mój stary.
537:  BFP - To jest ten stary z memów, tylko jest bardziej poczciwy niż ten z memów.
540:  BFP - Więc bardzo polecam.
542:  BFP - I jutro też raz na jakiś czas robimy tak zwane streamy tematyczne.
546:  BFP - To są streamy, na których ja staram się opowiedzieć wam pewne historie, opowiedzieć o pewnych doświadczeniach, ale angażuję was w dyskusję i trwa prawdziwa debata na czatach.
555:  BFP - I tak już było w przeszłości, kiedy robiliśmy stream trochę nawiązujący do tego dzisiejszego.
560:  BFP - a mianowicie stream o tym, jak można wyjść z trudnego momentu czy z trudnego położenia w swoim życiu i stanąć na nogi.
569:  BFP - Opowiadałem całą swoją historię o tym, jak zmarnowałem bardzo wiele lat studiów, ale ostatecznie skończyłem z tytułem naukowym i nie wiem, czy było to tego warte, ale na pewno jest to success story.
580:  BFP - Czyli innym razem rozmawialiśmy o snach i koszmarach.
582:  BFP - Jutro będziemy rozmawiali o cnotach moralnych i o wartościach.
586:  BFP - I o tym, dlaczego generalnie, jak powiedział ktoś znacznie mądrzejszy ode mnie, dlaczego może nie zawsze opłaca się być poczciwym, ale naprawdę warto.
595:  BFP - Więc naprawdę warto, zachęcam was do tego, żeby do nas dołączyć jutro o godzinie 20.00.
600:  KMM - A jak jesteście jeszcze bardziej zainteresowani tą tematyką, to ja jeszcze polecam od siebie podcast Filipa, który robi na Spotify.
607:  KMM - I tutaj akurat wrzuciłem wam temat, który jest trochę pod to, o czym będziemy dzisiaj wiele razy rozmawiać, jak checklisty ratują nam życie i wszystko upraszczają.
615:  KMM - Tutaj gościem jest Maciej Sasin, ale Filip jest spiritus movens całości tej inicjatywy i dzieli się tam też swoim doświadczeniem.
622:  KMM - Co powiedziawszy, myślę, że możemy spokojnie już przejść płynnie do tego, co jest dzisiaj creme de la creme naszego spotkania, a zatem zgodnie z tradycją, którą mamy na naszym kanale, jak jest mi jakiś gość, ja zwykle proszę was, żebyście napisali o swoich problemach, swojej historii i staramy się w ten sposób na nie bieżąco reagować i trochę wam pomóc też, żeby to nie była taka wsobna pogadanka.
644:  KMM - Na wstępną pogadankę pójdzie czas, jak zagramy sobie.
647:  KMM - Tak, ujawniam już, będziemy grać w StarCrafta pod sam koniec, w co-opie, więc będzie radośnie.
652:  KMM - Kto wie, czy to nie będzie pierwszy odcinek takiej serii.
656:  KMM - Ale to powiedziawszy, moi drodzy, przejdźmy może do komentarzy.
661:  BFP - Formuła następującą proponuję, ja będę czytał... Przepraszam, czytałem, że Krzysztof troszkę głośno.
665:  BFP - Nie wiem, czy to chodzi o to, że wszyscy jesteśmy za głośno.
667:  KMM - Mogę się przyciszyć, nie ma problemu.
671:  KMM - Więc formuła będzie taka, że ja będę czytał komentarz i wodzę później będzie przejmował Filip.
676:  KMM - Ja oczywiście będę dorzucał swoje trzy grosze w ramach nośnej rozmowy.
679:  BFP - On też tu jest burżuje mimo YouTube Premium.
683:  KMM - To jest po to, żeby można było słuchać YouTube'a w formie podcastowej.
686:  KMM - Bardzo polecam swoją drogą.
688:  KMM - Opcję, którą ja mam, opcja krakowsko-poznańska.
691:  KMM - Opcja krakowsko-poznańska polega na tym, że jak wiadomo, Krakusi są niewysłowienie skąpi.
696:  KMM - W związku z powyższym zrzucają się razem z innymi, żeby mieć za 9 zł YouTube Premium, a nie tam za te więcej, ile jest normalnie.
703:  KMM - Co powiedziawszy, przechodzimy do komentarzy.
707:  KMM - Będę czytał je po kolei, co jakiś czas przechodził do innych, ale zaczniemy od Michała Stanawskiego, który pyta.
713:  KMM - Jeden problem organizacyjny ode mnie.
715:  KMM - Jak poprawnie estymować i szacować czas swoich zadań?
718:  KMM - W pracy kreatywnej niekiedy może być to trudne do określenia i zawsze spędza mi sen z powiek, że tak się wyrażę.
724:  KMM - Mnie zresztą też.
727:  BFP - Pozdrawiam przede wszystkim na start Michała, ponieważ to jest nasz znajomy i wiem, że jest osobą kreatywną, która pracowała, bądź jeszcze częściowo pracuje w gamedev, czyli zajmuje się produkcją gier, ale też jest pisarzem i blogerem.
744:  BFP - Tematowi zarządzania osobą w czasie versus tematowi zarządzania kreatywnością można by zupełnie poświęcić inny odcinek, tak samo jak warsztat czy prelekcje, ale ze swojego doświadczenia.
757:  BFP - Praca kreatywna jest o tyle trudna, że rzeczywiście ciężej jest ją estymować, bo jakbyście spojrzeli chociażby na produkcję w branży gier, to skąd się biorze crunch?
766:  BFP - Skąd się bierze zjawisko zarywania nocek i zacierania granicy między życiem zawodowym, a życiem domowym, rodzinnym, prywatnym hobby, czego nigdy nie polecam robić.
776:  BFP - To tak, żeby była jasność, to jest jakby moim zdaniem jedno... Jeden z paradygmatów szczęścia w życiu to jest zachowanie zdrowych proporcji, szczególnie w tych sferach.
785:  BFP - Ale w przypadku pracy kreatywnej to jest dość trudne.
787:  BFP - I teraz tak, zacznę bez schematu.
791:  KMM - Skrytny product placement.
792:  KMM - Tak.
793:  BFP - Wspaniały scenarzysta, który zrobił m.in.
797:  BFP - fabułę do filmu The Social Network, robił taki serial West Wing, niedawno zrobił film Molly's Game, zrobił też film Steve Jobs.
806:  BFP - I facet jest naprawdę znakomity w swoim fachu.
810:  BFP - I on ukłuł takie proste stwierdzenie, żeby zgasić wszystkich, którzy mówią, to czym ty się tak naprawdę zajmujesz, bo są tacy, pomimo że jest scenarzystą, on powiedział, to co ty nazywasz prokrastynacją, ja nazywam myśleniem.
825:  BFP - I pisanie scenariuszy, czy w ogóle pisanie to jest praca kreatywna.
830:  BFP - Ja oglądałem masterclass Arona Sorkina i zaskoczyło mnie to, że on powiedział, że pisze, siadając do komputera i klawiatury, przez 20% czasu.
840:  BFP - Przez 80% czasu pisze w swojej głowie, najczęściej biorąc prysznic.
845:  BFP - On bierze 5 razy dziennie prysznic, bo potrzebuje wyczyścić trochę swoją głowę.
851:  BFP - Więc odpowiadając na twoje pytanie Michale i z mojego też doświadczenia, czasem więcej pracy kreatywnej wykonujesz nie wtedy, kiedy wyestymowałeś sobie czas na tzw.
863:  BFP - deep sessions czy sesje pogłębione pracy intelektualnej przy tablicy, przy monitorze czy współpracy z innymi ludźmi, tylko kiedy idziesz na rower,
871:  BFP - Kiedy bawisz się ze swoim dzieckiem, kiedy idziesz na spacer, kiedy bierzesz kąpiel albo stoisz w kolejce w aptece.
880:  BFP - I wtedy wykonuje się pewną nieuświadomioną pracę intelektualną.
883:  KMM - No dobra Filip, ale trochę bullshit check ode mnie.
887:  KMM - Co zrobić, jeżeli jesteś wynauczony czegoś dokładnie przeciwnego?
891:  KMM - To znaczy i szkoła, i uniwersytet uczy cię, że myślisz i pracujesz tylko wtedy, kiedy dostajesz wyznaczone ramy czasowe.
898:  KMM - Potem praca i management, zwłaszcza kiepski management, uczy cię dokładnie tego samego.
902:  KMM - To znaczy jesteś 8, 12, 8, 16, 8, 17, wszystko jedno w jakim trybie zmianowym, etatowym i tak dalej.
908:  KMM - Jesteś w biurze i wtedy pracujesz, wychodzisz z biura, przestajesz pracować.
912:  KMM - To jak przestawić się na takie myślenie, że...
915:  KMM - które nawiasem mówiąc też mnie jest bliskie, że pracujesz de facto cały czas, ale odpoczywasz także cały czas i starasz się iść zgodnie z tym flow, jak mawiają psychologowie, tak?
924:  KMM - Pływem takim.
926:  BFP - Jasne.
928:  BFP - Nie będę tutaj wprowadzał tego poziomu złożoności na zasadzie, czy pracujesz dla siebie i u siebie, czy pracujesz dla kogoś, ale co do zasady polecam wszystkim książkę, która zatytułowana jest Getting Things Done Davida Allena.
944:  BFP - Jak spojrzycie na okładkę, to powiecie, ja nie chcę mieć z tym nic wspólnego, bo wygląda dokładnie jak takie wszystkie książki stare, książki biznesowe typu Jack Welch rekomenduje najlepsze zabiegi liderskie ever.
955:  BFP - I jest bardzo odstręczająca przez swoją okładkę, ale ma naprawdę zweryfikowaną naukowo metodykę, w której David Allen powiedział, że żeby...
963:  BFP - mieć spokój, żeby nie unosiła się nad wami ciemna chmura, kiedy wracacie do domu z pracy, a ja to przeżyłem kilka razy, to kosztowało mnie związek, to kosztowało mnie szczęście przez jakiś okres mojego życia i być może pewne stany lękowe to tylko wzmagały, to trzeba poradzić sobie z tak zwanymi otwartymi pętlami.
982:  BFP - Otwarte pętle to jest sytuacja, w której, i znacie ją doskonale, kiedy próbujecie zasnąć i nie możecie, bo wasz umysł nie chce się wyłączyć.
989:  BFP - Bo wirują cały czas i cały czas pewne sprawy, które są niedomknięte.
993:  BFP - To może być egzamin, na który musicie być jutro przygotowani i będziecie go zdawali.
999:  BFP - To może być jakaś sprawa do załatwienia w urzędzie.
1002:  BFP - To może być jakiś projekt niedomknięty w pracy, gdzie gonią was deadline.
1005:  BFP - Ale to jest coś, co cały czas wiruje i nie daje wam spokoju.
1008:  BFP - Jest kilka sposobów na to, żeby sobie z tym poradzić, ale najlepszy sposób to jest trzymanie rzeczy w systemie zewnętrznym.
1015:  BFP - Wasz umysł to jest system wewnętrzny.
1019:  BFP - Krzysztof mnie zna na tyle, że wie, że ja mam aplikacje, w których trzymam rzeczy, o których nie muszę pamiętać, w przeciwieństwie do niego.
1025:  BFP - On po prostu nie pamięta.
1028:  BFP - Te aplikacje same mi przypominają o tych rzeczach.
1031:  BFP - To może być kalendarz Google, to może być notatnik osobisty, to może być aplikacja Todoist, to może być Asana bądź Trello.
1036:  BFP - Krzysztof mówił o Trello w swoim eseju.
1038:  BFP - Pewnie kilka z tych narzędzi jeszcze się dzisiaj pojawi.
1041:  BFP - Ale sztuką jest mieć takie poczucie,
1043:  BFP - że zamykacie dzień swojej pracy jakąś cezurą, że zamykacie drzwi za sobą w pracy.
1050:  BFP - A zamknięcie drzwi nie chodzi o to, żeby zrobić to fizycznie, tylko odhaczyć zadania, które zostały zrobione świadomie, przenieść je na kolejny dzień, zmienić ich termin,
1060:  BFP - Bo wiecie co, wasz umysł, wasza podświadomość musi mieć poczucie komfortu i tego, że została zachowana kontrola nad pewnymi zdarzeniami w waszym życiu.
1068:  BFP - Czyli jeżeli przeniesiecie pewne rzeczy na jutro, część odhaczycie, a nie zostawicie tego samego sobie, to wyślecie swojemu umysłowi sygnał, że to jest pod kontrolą.
1077:  BFP - Spokojnie, możesz iść spać, bo przynajmniej wiesz, z czym zaczniesz jutro i każdy kolejny dzień.
1082:  BFP - I to jest niezwykle istotne.
1084:  BFP - Ale przepraszam, bo chciałem jeszcze odpowiedzieć na to pytanie Michała a propos pracy kreatywnej.
1090:  BFP - Magdalena Cielecka, nie ta aktorka, tylko moja koleżanka, która jest producentką, a więc musi zarządzać chaosem na co dzień, jest producentką w firmie Anshar Studios, pracuje w branży gier, powiedziała mi kiedyś taką rzecz, która bardzo zapadła mi w pamięć.
1106:  BFP - Powiedziała,
1107:  BFP - W branży kreatywnej i w ogóle w pracy kreatywnej plan jest niczym, ale planowanie jest wszystkim.
1114:  BFP - Więc sam akt planowania, to że wykładacie wysiłek w to, żeby coś zaplanować, żeby przyjąć pewne założenia, procentuje bardziej niż to, że macie na pewno wszystko na sztywno spisane i na pewno zrealizujecie plan roczny albo pięcioletni.
1128:  BFP - I Michale, to jest istotne, żebyś przynajmniej przyjmował jakieś założenia.
1132:  BFP - My w sferze mentalnej musimy poruszać się w jakiejś przestrzeni, która ma właśnie wśród tych kilku wymiarów jakieś granice.
1140:  BFP - Czyli tak, przykładowo, można sobie narzucać deadline, można rzeczy timeboxować, czyli na przykład można założyć, ok, piszę książkę.
1149:  BFP - I mam taki, a taki deadline na zdanie jakiegoś tam pierwszego manuskryptu, ale muszę zrobić research.
1156:  BFP - I muszę sobie założyć, okej, ten research zajmie mi kilka tygodni, ale załóżmy, że nie zajmie mi później niż wtedy, czyli stanowią jakąś granicę progową z terminem i zakładam, muszę się z nim wyrobić 4 tygodnie, ale jeżeli...
1169:  BFP - tam jeszcze o dwa tygodnie się przeciągnie, to coś wykombinuje.
1171:  BFP - Natomiast czynię jakieś założenie w czasie.
1174:  BFP - Ponadto muszę czynić jakieś założenie co do zakresu pracy.
1177:  BFP - Zakładam to, co ja właściwie mam zrobić.
1179:  BFP - Okej, mam napisać książkę.
1181:  BFP - Czy to jest duży task do zrobienia?
1183:  BFP - Tak, to jest wielki task.
1184:  BFP - Czy można go podzielić na mniejsze?
1186:  BFP - Tak.
1186:  BFP - Czy mogą wydarzyć się rzeczy niespodziewane?
1188:  BFP - O Jezu, z pewnością.
1190:  BFP - I wreszcie to, o czym mówił Krzysztof słusznie w swoim eseju.
1194:  BFP - Kawałkowanie na mniejsze elementy.
1197:  BFP - I tu również jest rzecz, którą mówi fajnie David Allen.
1200:  BFP - Jak mamy, będę trzymał się na przykład tego tematu książki i Michała.
1205:  BFP - Jeżeli mam napisać książkę, to muszę zdefiniować sobie, co jest celem ostatecznym tego, co robię.
1209:  BFP - Wydanie książki?
1210:  BFP - Nie.
1211:  BFP - To jest złożenie pierwszego manuskryptu.
1213:  BFP - Czyli to, kiedy trafi to do wydawnictwa, będzie można to przejrzeć, zobaczyć, czy to ma sens.
1218:  BFP - Jak mam do tego dotrzeć?
1219:  BFP - Mogę sobie rozbić to na konkretne kroki, rozporcjować, ale bardzo ważne i to jest niezwykle ważne z perspektywy Waszej motywacji, żeby wskazać sobie od razu tak zwany pierwszy actionable point, pierwszy krok do wykonania, który przy niewielkim wysiłku, niewielkim nakładzie czasu i energii już nas zaprowadzi w stronę tego głównego celu.
1239:  BFP - W przypadku pisania książki to może być, to przynajmniej sobie gdzieś spiszę ten plan, który doprowadzi mnie do stworzenia manuskryptu.
1246:  KMM - Albo cytaty, tak?
1247:  KMM - Znaczy to jest też coś, co ja przywołuję zawsze przy pisaniu prac dyplomowych albo esejów.
1251:  KMM - Tak, każdy ma syndrom pierwszej strony i migającego kursora, prawda?
1255:  KMM - Który jarzy, po prostu wypala nam się w głowie, a w momencie, w którym zrzucimy sobie do dokumentu parę cytatów, tak?
1262:  KMM - Graficy robią z refkami, które mają ich zainspirować na moodboardzie, nie wiem, jak to przetłumaczyć na język polski.
1268:  KMM - czyli w takiej powiedzmy mapie myśli, która gromadzi różnego rodzaju graficzne inspiracje.
1274:  KMM - O, tak by można było przetłumaczyć.
1275:  KMM - Dokładnie.
1276:  KMM - Dokładnie to można zrobić też w tekście.
1278:  KMM - Jeszcze szybko powiem, bo muszę nadrabiać super czaty.
1281:  KMM - Mianowicie bardzo dziękuję za wsparcie Bartoszewi Staszewskiemu, który pisze, że Filipowi już to naświetlą na bez schematu, ale może Krzysztof chciałby pogadać o książce od strony projektowej i troligatorskiej.
1290:  KMM - Odezwij się na Instagramie, bo to jest na pewno warto do pociągnięcia temat.
1293:  KMM - Jeszcze raz ci dziękuję za wsparcie.
1296:  KMM - Ludzie też piszą, że ten problem związany z...
1303:  KMM - zapomnieniem o tym, że pracujesz, prawda?
1306:  KMM - I przeniesieniem się nawet do innego otoczenia.
1307:  KMM - Spacer albo przysłowiowa śmieszna toaleta to dużo zmienia.
1311:  KMM - Ja jak przypisałem swoją książkę, autentycznie wiem, że to zabrzmi źle dla niektórych, którzy myślą, że to jest taka prosta rada, ale ja najlepsze pomysły wpadłem na basenie.
1321:  KMM - Ale to nie jest dlatego, że bujałem sobie w obłokach, tylko tak jak Filip mówi, miałem pewien zarys w głowie i już miałem takie...
1329:  KMM - pudełka, pojemniki i wypełniałem już je sobie później treścią, ale wpierw musiałem mieć te pudełka.
1334:  BFP - Dokładnie.
1335:  BFP - I dlatego jeszcze chciałem zaznaczyć, tu powiedzieliśmy o mapie myśli, a ja powiem o konspekcie.
1340:  BFP - Bardzo niewielu pisarzy siada i tworzy książki tak, że siadam, nabieram powietrze i tak robię przez 8 godzin.
1348:  BFP - To Stephen King jest w stanie tak robić, przynajmniej jedno dzieło 700-stronicowe wypuszczać rocznie, ale większość pisarzy ma jakiś konspekt i ma jakiś koncept i ma jakieś założenia.
1357:  BFP - I w przypadku screenwriterów i scriptwriterów,
1362:  BFP - czyli tych, którzy piszą do teatru, do telewizji i do kina, scenarzystów, nie ma takiej opcji, żeby oni nie mieli wcześniej najpierw poprzyklejanych żółtych karteczek, sticky notes, w których mają rozpisane tak zwane bity, bo oni mi sobie je tam szafują, zmieniają je i teraz bardzo ważne właśnie w takiej założeniu pracy kreatywnej jest to, że jak się stworzy te ramy, ty nazwałeś to koszykami czy pudełkami, ale jak się stworzy te ramy,
1386:  BFP - To jest wystarczające dla umysłu, żeby pobudzić właśnie to myślenie, które włącza się, uwaga, bo ja tu mam ze sobą tą książkę Mózg się myli, Henninga Becka.
1394:  BFP - On mówi o bardzo ciekawym zjawisku, którym jest tak zwany default mode network, to jest stan wzbudzeń podstawowych umysłu.
1402:  BFP - To jest ten moment, w którym tak luźno nam się zbijają myśli, nie mamy nad tym większej kontroli.
1408:  BFP - Ale to jest pozorne, ponieważ jeżeli stworzyliśmy sobie takie pudełeczka, w których chcemy się obracać, czyli na przykład dla mnie takim pudełeczkiem jest, co może być kolejnym odcinkiem na Bez Schematu, w którym ja z Krzysztofem zrobimy jakąś fajną dyskusję.
1420:  BFP - To mi wystarczy.
1421:  BFP - Ja nie siedzę nad kartką papieru i myślę, co to może być, tylko wystarczy, że sformułowałem to pytanie.
1426:  BFP - To już jest takie pudełeczko.
1428:  BFP - Idę na rower i pomysły zaczynają pojawiać się same.
1431:  BFP - To jest bardzo ważne w pracy kreatywnej.
1434:  KMM - absolutnie jeszcze nawiążę do tego, bo myślę, że ten temat się nam troszeczkę łączy z tym, o czym w tej chwili opowiadasz, a mianowicie ludzie na czatach pytają o syndrom impostora.
1445:  KMM - I o ile mnie pamięć nie myli, tym razem chociażby, to chyba mieliśmy takie pytanie, ale oczywiście nie jestem w stanie go teraz znaleźć na szybko.
1452:  KMM - Tak, tak.
1453:  KMM - Ale gdzieś było, w każdym razie z jakiegoś względu kompletnie nie działa wyszukiwanie
1460:  KMM - W związku z powyższym pozwolę sobie przejść po prostu losowo do innego, a później pamiętajmy o tym wątku impostora, bo on się nam jeszcze przyda.
1468:  KMM - Mianowicie w duchu takiego elastycznego myślenia o edukacji bardzo często się mówi o przejściu na edukację domową, która w zasadzie z całego tego systemu,
1477:  KMM - narzuconych nam ram, a nie tych, które wypracowujemy sami oddolnie, zostawia tylko egzamin.
1482:  KMM - Czyli ten fact check, który jest na samym końcu, który jest wymagany przez państwo.
1487:  KMM - A edukacja domowa luzuje nas z wszystkiego tego, co jest tym balastem, ale w zamian wymaga od nas pewnej dojrzałości, żebyśmy to sobie sami zaprojektowali.
1496:  KMM - I mamy tutaj komentarz od Franka Selaka, który pisze,
1501:  KMM - Mam 16 lat, jestem na edukacji domowej i zajmuję się rzeczami kreatywnymi.
1505:  KMM - Tworzę muzykę, gram na instrumentach, rysuję i piszę opowiadania.
1508:  KMM - Brakuje mi jednak uporządkowania w życiu , a każda próba uregulowania mojego systemu pracy i rozwoju kończyła się fiaskiem.
1516:  KMM - Moim celem jest regularny rozwój w każdej z tych sfer, ale jednocześnie poczucie w tym jakiegoś uporządkowania.
1522:  KMM - Tak jak w szkole są lekcje i dzwonki, ale bardzo słaba skuteczność prowadzenia zajęć, tak u mnie brak jakiegokolwiek usystematyzowania pracy, ale za to są wymierne efekty moich działań.
1534:  BFP - Tak, to ponownie odwołam się do książki Davida Allena, Getting Things Done, która naprawdę buduje pewien system, czy proponuje wam zaprojektowanie swojej takiej architektury, aparatury do przechwytywania spraw przechodzących.
1550:  BFP - Sprawy przechodzące to są te maile, które dostajecie, to są zadania domowe, które macie, to są...
1557:  BFP - Życzenia, prośby, ale także te rzeczy, które wychodzą od wewnątrz was, czyli właśnie to, że chcielibyście coś napisać, że chcielibyście właśnie stworzyć jakiś kawałek.
1566:  BFP - I to jest jedyny sposób na to, żeby zacząć budować uporządkowanie.
1570:  BFP - Ty nie potrzebujesz żadnych dzwonków, ty nie potrzebujesz superwizji łamanej na opresję.
1578:  BFP - którą masz w szkole, ty możesz stworzyć tę dyscyplinę samemu.
1582:  BFP - Jakkolwiek to nie brzmi jak mówca motywacyjny, ale to wymaga pewnych określonych
1590:  BFP - i sprawdzonych nawyków.
1591:  BFP - I teraz jeden z nich jest następujący.
1594:  BFP - Nigdy nie polegajcie... O Jezu, ja już myślę po prostu o uśmiechu Krzysztofa.
1598:  BFP - Nigdy nie polegajcie na swojej pamięci.
1600:  BFP - Nigdy.
1601:  BFP - Naprawdę.
1604:  BFP - Niech nie będzie tak... Ja nawet mam duży problem z zapamiętywaniem... Znaczy duży problem.
1608:  BFP - Ja w ogóle nie pamiętam, kiedy kto ma urodziny.
1610:  BFP - Ja mam od tego Facebooka, żeby mi przypominał.
