🔴 Największy koszmar Niedomaga Iamnixa — ELDEN RING: SHADOW OF THE ERDTREE Livestream #6
🔗 https://www.youtube.com/watch?v=X80bC_wf5vI

34:  Iście.
931:  No sporo ludzi, którzy chcą gadać o Eldenku.
936:  Możemy też zrobić taki, wiecie, nasz tutaj stream, gdzie tylko ja nawijam.
941:  Możemy też tak zrobić.
942:  Filip, nie skończę Eldena do listopada.
944:  A, to jest akurat słuszny argument.
947:  Właśnie Funko Wiedźmina.
948:  Jezus, Funko Wiedźmina napisała, że tutaj trzeba włączyć jeszcze celowanie manualne, żeby nie przeskakiwał nam automatycznie.
958:  Ale jeśli tak jest, to jest to kompletny kretynizm.
964:  To zniknie, czy nie zniknie?
966:  Znika i tak, ale chyba nie będzie nam przeskakiwał automatycznie na następny cel?
973:  Chyba?
973:  Tak?
973:  Nie, nie wiem.
976:  Bo to było strasznie głupie, ale wiecie co jest jeszcze głupie, głupsze, że musimy ustawić jednocześnie wyłączenie auto nabierzania i włączenie auto namierzenia manualnego, znaczy włączenie namierzenia manualnego.
988:  To jest bez sensu, to są, to jest jak dwie strony jednej monety.
992:  Jak nadrobić nierealny termin do promotora?
994:  No przede wszystkim dlaczego był nierealny Lepre?
997:  To, to jest martwiące, nie?
1000:  Mam do połowy lipca oddać dwa rozdziały na zaliczenie, ale to zacząłem pisać, ale to strasznie dziwny termin powiem Ci.
1008:  Ooo!
1014:  I dowiedziałaś się o tym dopiero teraz?
1015:  Dramat absolutny.
1018:  Słuchaj, no ciężka sprawa z pisaniem takim na szybko.
1021:  Od razu Ci mogę powiedzieć, że w takiej sytuacji się trzeba salwować wszystkimi możliwymi narzędziami AI-owymi, bo jak napiszesz jeszcze w sposób, który, wiesz, będzie, no nie wiem, no taki jak się pisze, jeżeli się pisze na szybko, to wtedy tylko może się promotor zdenerwować, ale to zależy, jaki to jest promotor, nie?
1037:  Czy to jest promotor typu daje Ci feedback i robi dużą redakcję, czy też nie, nie?
1043:  Bo może być tak, że to jest typ promotora, który...
1047:  Mówi, a okej, jest, git.
1051:  Grycerz pisze, że solo taka dyskusja, rozmowa z czatem.
1056:  Możemy tak zrobić.
1057:  Możemy tak zrobić, moi drodzy.
1059:  Czy Filip się wziął w końcu za Plague Tale rekwiem?
1062:  Chyba nie.
1063:  Chyba nie.
1065:  A szkoda.
1065:  Filip w ogóle teraz sobie robi odpoczynek.
1067:  Bardzo słusznie, ponieważ ja już się zaczynałem niepokoić o jego pracoholizm.
1075:  Czemu ja zapomniałem, że to jest gra Miyazakiego?
1077:  Czemu ja o tym zapomniałem?
1079:  Krzysztof, to jest gra Hidetaki Miyazakiego.
1082:  To nie jest gra tego typa od Studia Ghibli.
1084:  To też jest Miyazaki, ale to jest inny Miyazaki.
1087:  Tamten Miyazaki to jest słoneczko, chmurki i radość.
1092:  to nie.
1093:  Właściwie zwykle nie robię recenzji, wiesz, Sleeping Dead, bo nie chcę robić recenzji, bo ja bym wszedł wtedy w taki ton akademicki za bardzo.
1100:  Boję się tego, więc wolę się wypowiadać na tematy, które mnie żywo nie zajmują, bo i tak widzicie, że sporo takich groznawczych rzeczy wstawiam na streamy.
1108:  Jednym to się podoba, innym to się nie podoba.
1110:  Różnie bywa.
1111:  No i jedni lubią, jak powiem, że coś jest złego w designie, a inni uważają, że ja
1117:  Więc ja się boję, że taka recenzja mogłaby po prostu nic nie dać.
1123:  To znaczy, że albo bym mówił do bańki, albo nie przekonałbym i tak nieprzekonanych.
1129:  To taką mam obawę, więc dlatego wywalałem zwykle mówić o rzeczach, które są poza moją działką zawodową.
1136:  To też jest problematyczne o tyle, że jeżeli bym zrobił recenzję teraz na przykład Elden Ringa,
1141:  to n plus jeden moich znajomych w gamedev'ie powiedziałoby Krzysztof, a zabiliście na kanał, wiecie, no i... No ciężko wtedy.
1154:  Czekajcie, Lepra jeszcze miała kontynuację tego wątku promotorskiego, no to chciałem przeczytać.
1161:  Nie widzę.
1162:  Oj nie, niedobrze.
1166:  Jeszcze sprawdzę uważniej.
1169:  Było dużo komentarzy.
1170:  Widzę.
1170:  Promotor zmienił nagle terminy.
1172:  Dawał możliwość do końca sesji poprawkowej.
1173:  On w ogóle nie daje nic, albo każe czytać na głos.
1176:  Nie daje uwag.
1178:  Co chwilę zmienia zdanie i ciężko jednak zmienić jego z kolei, bo to dyrektor instytutu.
1183:  Strasznie ci współczuję, Lepre, bo to wygląda na paskudną sytuację.
1187:  Może w razie czego zawsze wnioskować o promotora pomocniczego.
1190:  To jest taka opcja, wiesz...
1195:  dyplomatyczna, że z jednej strony nie rezygnujesz z promotora, bo wiesz, dyrektor instytutu, ale z drugiej strony masz promotora pomocniczego i z nim się głównie dogadujesz.
1203:  Ja generalnie na twoim miejscu poszedł do tego człowieka i powiedział mu, jak sprawy się mają i zrobił to retorycznie następująco, że chcesz to zrobić porządnie, nastawiałaś się na wrzesień i możesz oczywiście mu oddać w lipcu, ale wtedy istnieje duże ryzyko, że nie będzie to taka jakość, jaką chcesz mu ze względu na szacunek do niego dostarczyć.
1221:  Wiesz, jak tak to sformułujesz na okrągło, to jest spora szansa, że go udobruchasz.
1230:  Dobra.
1234:  No ja też uważam, moi drodzy, że to jest taki styl streama, że sobie gadamy o różnych rzeczach, takich około designowych i ja mam z tego też fun, nie?
1241:  Tylko, że...
1242:  Zawsze mam trudność w wytłumaczeniu różnym ludziom, że no ja faktycznie mam z tego fun i to nie chodzi o to, że ja w tym momencie na przykład mam jakąś żywą potrzebę tłumaczenia swoich różnego rodzaju niedociągnięć, których mam świadomość.
1256:  Ale wiecie, niedociągnięcia niedociągnięciami, a o mój Boże, właśnie a propos niedociągnięć, a walka trzygodzinna z bossem, gdzie ja się nie uczę niczego, to jest inna sprawa.
1265:  I to było coś, co mnie potężnie zaniepokoiło.
1270:  Proszę, Dominik Gajewski siedzi w GameDevie 20 lat, uwielbia wywody groznawcze, bo GameDev lubi wywody groznawcze.
1276:  Strasznie miło to czytać.
1278:  Generalnie lubi.
1280:  Nigdy nie zapomnę, jak myśmy się ogniście pokłócili kiedyś o environmental storytelling.
1287:  Z kim to było?
1287:  Nie będę rzucał nazwiskami, ale to było na pewno z ludźmi z... Wtedy jeszcze Ansza z Bloobera ktoś był i jeszcze był ktoś z...
1299:  Nie pamiętam.
1299:  Jeszcze jakieś jedno studio.
1300:  Aleśmy się pokłócili wtedy i wiecie, co jest najzabawniejsze?
1303:  Oni mówili, Krzysztof, ty się nie możesz wypowiadać na temat projektowania narracji, musisz w Daxos zagrać.
1310:  No i zagrałem, nie?
1311:  I mieli kuźwa rację.
1313:  No, mieli rację.
1314:  To jest inny styl doświadczania narracji.
1318:  No nie wytrzymał Krzysztof Jeldenuje dzisiaj, wiem.
1320:  O nie, nie, nie, nie, nie.
1322:  Nie będziesz mnie w trakcie rozmowy, nie będziesz mnie w trakcie rozmowy
1328:  odrywać od rozmowy.
1331:  Możesz mnie odrywać od rozmowy poza rozmową.
1337:  Bluebertyn to Dominik, proszę bardzo.
1339:  Chcesz, żebym ja pamiętał, kto to był.
1342:  Wiem, że to była kobieta.
1343:  Jezus, to jest przerażające z tą moją pamięcią do nazwisk.
1348:  Ej, to Dominik w fajnym studiu, moi drodzy.
1351:  Kurczę.
1352:  Layers of Fear 1-2, The Medium.
1356:  To była narrative designerka z The Medium.
1359:  Tyle ci mogę powiedzieć.
1363:  Kiedy niedomag dobywa oręża, to wie, że coś się dzieje.
1366:  Tak, tak.
1368:  Co uważasz o pracach Lema w kontekście narastającej popularizacji solarpunka?
1372:  A Lem się w ogóle wypowiada na temat solarpunka, myślicie?
1375:  Znaczy, ja kojarzę jego wypowiedzi w fantastyce i futurologii na temat utopii.
1381:  Na temat Solarpunka nie.
1383:  Coś pisał o Stanley'u Robinsonie jeszcze.
1387:  A już sobie przypomniałem, że gram w grę Miyazakiego.
1390:  A, i to jest ten typiarz, który nas atakował z oddali.
1394:  Zobaczcie, on ma jakiś spamiący atak dziwny.
1404:  Co to jest?
1405:  Patrzcie, to... Ja myślałem... Aaa... Co to jest?
1414:  Co to jest?
1416:  Kiedy Steam z Hollow Knight?
1417:  No, Hollow Knight wróci.
1418:  Jak James Bond, ale nie wiem kiedy.
1420:  Heh, jak Warhammer.
1424:  Mam nadzieję, że Silent Hill 2 będzie miał taką samą jakość mechaniki, co Alan Wake 2?
1429:  Silent Hill 2?
1431:  Mam wrażenie, że Silent Hill 2 już wyszedł dawno temu, ale wiecie, jestem stary i pamiętam to.
1435:  Wzbierający oszalały płomień, czyli to jest, moi drodzy, zużywalny przedmiot.
1444:  Ale dziwne.
1444:  Czyli to jest to, czym bylibyśmy ostrzeliwani.
1447:  Janomin, dzięki serdeczne za wsparcie i dołączenie do gra wspierających.
1455:  Bloober właśnie robi remake Silent Hilla 2.
1458:  Nie wiedziałem tego!
1459:  Łoooł!
1461:  Jakie masz stosunki do usilnego promowania idei patriotyzmu narodowego w szkołach?
1466:  Usilne promowanie nigdy nie jest dobre.
1468:  Ja jestem po stronie inteligentnego patriotyzmu, to znaczy zwalczania ojkofobii, pokazywania siły Polski w pozytywny sposób, natomiast absolutnie nie lubię takiego narodowo-wyzwoleńczego polonocentryzmu.
1480:  O, na przykład powiedzenie, że mamy fajne firmy projektujące gry wideo.
1484:  O, to jest mądry patriotyzm.
1487:  Albo, nie wiem, uczenie postawy obywatelskiej.
1490:  To jest mądry patriotyzm.
1492:  A mówienie, że Polska antymurale christianitatis, to nie jest zbyt mądry patriotyzm.
1497:  No tak delikatnie rzecz ujmując.
1500:  Krzysztof Olej, hitboxy hipotata.
1502:  Mela kulpa jest bardzo zły.
1504:  Dziękuję, Mak!
1507:  Ja mam wrażenie, że moim błędem było to, że ja się zasugerowałem, bo ja myślę nad tym intensywnie.
1519:  Mianowicie zauważcie, że jak się rozpoczyna grę w Eldenka, to jest podział na klasy.
1525:  I teraz ten podział na klasy wydaje się wam wiążący, prawda?
1529:  Ale to jest błąd.
1530:  Bo w tej grze nie są ważne klasy, w tej grze są ważne buildy.
1534:  I teraz, gdyby gra nam po prostu dawała postać, która jest goła i wesoła wyłącznie, a nie sugerowała, o, tu masz jakiegoś astromancera, tu masz jakiegoś, nie wiem, paladyna, tu masz kogoś jeszcze innego, to wtedy git.
1548:  Ale mam wrażenie, że przez to właśnie, że jest ten dziwny podział, to sporo ludzi, w tym ja, mogło sobie stwierdzić, okej, to ja chcę sobie grać magiem, nie?
1558:  Albo ja chcę sobie grać w ten sposób i zlokowało się przy jednej klasie postaci.
1564:  Co jest zasmucające.
1566:  W równym stopniu jak fakt, że nie miałem światełka.
1571:  Mam wrażenie, że można było na samym początku zrezygnować z tego podziału na klasy postaci, nie?
1577:  I po prostu powiedzieć graczom, okej, róbcie buildy sobie.
1582:  Ja wiem, że ten sam podział klasy jest w Soulsach, tylko że zauważcie, że w Soulsach macie jednak zupełnie inny styl rozgrywki.
1589:  Czy to nie jest tak, że jak w Soulsach wam nie idzie z bossem, to jest argument, ok, to zmień build.
1594:  No nie.
1596:  Tam jest, jak nie idzie z bossem, get good, nie?
1600:  To jest ta różnica.
1604:  Macie wrażenie, że to jest za dużo szczurów?
1606:  O, jednego szczura za dużo.
1614:  Czy grałem lub rozważałem granie w D&D?
1615:  Ludzie próbowali mnie namówić na to, nigdy to się nie udawało.
1618:  Przez to był cenny przemysł, dlatego czas na dół?
1622:  Co?
1626:  Uważaj dziura, czyli to jest na pewno bait.
1630:  To jest bait.
1632:  To już tutaj, tu właśnie można... A nie, czekajcie, rzeczywiście.
1639:  Tam rzeczywiście coś było.
1676:  Właściwie jakaś osoba na zewnątrz miała najlepszy komentarz, jaki mogłem sobie wyobrazić.
1682:  Lepszy niż cokolwiek, czym ja was uraczę.
1684:  Widzicie, jak brzmiał ten komentarz?
1686:  Jachy!
1688:  Mianowicie ktoś bardzo potężnie kichnął.
1694:  Miłosz, dziękuję za wczorajszą radę.
1695:  Dzięki wam zabrałem się za pracę nad pitchem lokalizacji dla studia.
1698:  Founder Lotus, jak poszła obrona.
1700:  Ej, Miłosz pytał rzeczywiście wczoraj, gdzie poćwiczyć tłumaczenie.
1706:  To jest epickie, powiem ci.
1707:  Strasznie się cieszę, że się udało.
1709:  I Boże, zobaczcie, 24 godziny później niecałe.
1715:  Gratulacyjne jamniki dla Miłosza, poproszę.
1717:  Czy pojawi się na jakiejś inwentarz w Krakowie w lipcu?
1719:  Nie, ja lipiec sobie robię off.
1723:  Żadne eventy, moi drodzy.
1725:  Żadne wyjazdy.
1727:  Dopiero w sierpniu.
1732:  Dopiero w sierpniu jadę na Dni Fantastyki.
1736:  Łasunia!
1737:  Tam jest łasunia!
1741:  Czas na badanie.
1747:  Wiecie co?
1748:  Nie.
1750:  Teraz tak, tu się jakoś
1752:  Przełącz format wiadomości.
1754:  O!
1756:  Ło!
1760:  Uważaj.
1764:  Uważaj.
1770:  Niepojęta osoba.
1773:  Szczerze mówiąc.
1780:  Szczerze mówiąc.
1785:  Pojęcia.
1788:  Cierpienie.
1793:  To jest mój komentarz na temat badań naukowych.
1798:  A Kafiri dzięki serdeczne za wsparcie Wenzanta i za oferowanie njuch jabników.
1805:  Więc moi drodzy, mamy finalną konstrukcję.
1808:  Uważaj niepojęta osoba, szczerze mówiąc cierpienie.
1813:  Tak właśnie.
1814:  W każdym momencie możesz zrobić respect w Akademii.
1816:  A to wiem, wiem, ale jak już się człowiek zdecyduje na klasę postaci i jest mną, to nie chce jej zmieniać.
1821:  Właśnie na tym polega problem.
1823:  O, tutaj coś jest.
1825:  That's a bait.
1828:  To ja może, ja może wpierw ogarnę łasunię i potem tam wrócę, wiecie?
1837:  Jezu.
1838:  Dziwna osoba.
1842:  Curse you, Bale!
1843:  Jeszcze było jakieś pytanie wcześniej, ale wtedy się śmiałem z badań naukowych.
1849:  Ono, mam wrażenie, było ważne.
1856:  Jakieś porady dla kogoś, kto chciałby pisać wideoeseje i eseje o grach.
1861:  Mam dla Ciebie jedną poradę, Reddy, to znaczy...
1866:  Myślę, że możesz dużo zdziałać, jeżeli będziesz wplatał w wideoessay o grach jakieś informacje z tekstów naukowych, ponieważ bardzo mało ludzi to finalnie robi.
1876:  Wiesz co, troszeczkę tak ludonarrator, ale z drugiej strony radziłbym Ci, żeby to było w taki bardzo przystępny wizualnie sposób, żebyś maksymalnie dużo w rolce B miał kontentu na temat gier i starał się to robić tak, żeby wytłumaczyć ludziom jakieś problemy i pojęcia w większym stopniu niż koncentrować się na jakichś tematach.
1897:  Myślę, że to może być ciekawe.
1899:  No i wiesz, wiadoma sprawa.
1901:  Okej.
1903:  Wiadoma sprawa, jak wiesz, teraz trenduje Elden, no to Elden.
1908:  Jak potem będzie trendowało coś innego, to się po to podpinasz.
1910:  Czyli myślisz problemowo, ale podpinasz się pod to, co trenduje tematycznie.
1917:  Kiedy można cię zobaczyć na AGH?
1919:  Dzisiaj byłem!
1921:  Cały dzień!
1927:  Myślę, że po przejściu dodatku bardzo pożądany będzie ranking najgorszych bossów.
1930:  O właśnie, na przykład...
1933:  Nie, to jest autentycznie dobre.
1934:  Ludzie myślą, że robienie contentu sprowadza się do tego, że międlimy tematy, które są nośne.
1940:  No można to oczywiście robić, ale można też zrobić w taki sposób, żeby spróbować powiedzieć o jakimś problemie, ale podpiąć się pod nośny temat.
1950:  Nie, że bym jakoś, wiecie, szczególnie pokazywał swoją metodę jako właściwą, ale to jest to, co ja robię od trzech lat i to działa.
1958:  A obawiam się, że jeżeli by, wiecie, nastawić się, okej, będę robić ambitne wideoeseje o grach, tak, wiecie, Filip na bez schematu robi bardzo ambitne wideoeseje, no i...
1969:  Powiem wam to, co powiedziałem Filipowi na Priwie, więc to nie jest tak, że robię coś nieuczciwego.
1974:  To jest edukacyjne.
1975:  Zauważcie, że Filip wypuścił dojebany esej o Wiedźminie.
1979:  Prawdziwy Wiedźmin.
1980:  świetnie zmontowany, idealny, materiały z audioteki unikatowe, ze słuchowiska, które jest kultowe, o opowiadaniu, które jest kultowe, o Sapkowskim, które jest kultowe, o Wiedźminie, który jest kultowy, tylko wypuścił to wtedy, kiedy trenduje Elden Ring.
1995:  I teraz wyobraźcie sobie, że ten sam wideoesej jest wypuszczany w momencie, w którym pojawia się informacja w necie na temat tego, że kolejny sezon Wiedźmina zsie.
2003:  I robicie tytuł tego filmu
2007:  nawiązujący jakoś do tego, że czwarty sezon zsie.
2013:  I nagle wideoessay ma tyle wyświetleń.
2017:  No niestety, no to po prostu tak to wygląda, ale naprawdę mega Wam polecam ten wideoesej.
2022:  Robię teraz, skoro już skończyłem aspekt edukacyjny, to teraz Wam polecę ten wideoesej, bo Filip rzeczywiście zrobił materiał o Wiedźminie, o opowiadaniu Wiedźmin i jest to rzecz, przy której ja miałem sporo wzruszu, no bo ja jednak Sapkowskiego to kocham.
2038:  Zwłaszcza opowiadania wiedźmińskie.
2039:  Uważam, że opowiadania wiedźmińskie są o wiele lepsze od sagi.
2043:  I zobaczcie, to mi się nawet nie pokazało.
2044:  O, dopiero tu mi się pokazało.
2046:  Pierwszy Wiedźmin brutalny i przewrotny.
2048:  Kopiuj adres linku.
2050:  Wrzucam.
2052:  I no niestety, czasem tak jest, czasem tak jest, że trzeba się podpiąć.
2055:  Zobaczcie, Rud Smoka, omawiamy drugi sezon, 19 tysięcy wyświetleń, tutaj 16.
2061:  To jest tylko dlatego, że to trenduje.
2064:  YouTube niestety jest wredny.
2066:  I teraz najważniejsze jest to, żebyście jako twórcy, jeżeli chcecie cokolwiek robić, nie ładowali w siebie, ojej, to pewnie ze mną jest coś nie tak, o nie, czyli ten film nie był dość dobry.
2077:  Nie.
2078:  To nie jest to.
2078:  Winny jest system.
2080:  W większości przypadków, w przeważającej większości przypadków.
2084:  I mogę to powiedzieć dlatego, że w naszym systemie edukacji wszystkich się nas szkoli tak, że my zawsze szukamy winy w sobie.
