Niedomag Iamnix cierpi na niestrawność | ELDEN RING Livestream #10
🔗 https://www.youtube.com/watch?v=4ZUALCepF2g

77:  Dzień dobry.
1352:  Okej, zaoferuję jeszcze dzwonki kuliste.
1356:  Okej.
1358:  My chyba tutaj nie możemy nic sprzedać.
1360:  Najgorzej.
1361:  A zatem musimy zdobyć 3 tysiące.
1369:  Jak to będzie 10 tysięcy... 3 tysiące równo!
1375:  I to rozumiem!
1376:  Dobrze, i kupmy sobie kamień pamięci.
1379:  Świetnie.
1380:  Znakomicie.
1382:  Doskonale.
1383:  1200 run to jest coś, co jestem w stanie wytrzymać.
1389:  Runy u kowala sprzedawać.
1391:  Mądre, mądre.
1395:  Ale nie chcemy już więcej run.
1398:  Więc wizerunków będę obronił.
1400:  Tak, wizerunki to będzie ostatnia desperacja przed ostatnim bossem, jak będziemy je powielać, sprzedawać i robić rzeczy.
1406:  Okej.
1407:  Jestem przygotowany psychicznie na wielokrotną śmierć.
1413:  Pieniądze albo śmierć!
1416:  Co zrobiłeś?
1416:  Nie wiem, śmierdziałem.
1418:  Mogli już podać bezpośrednio ile te runy dają, to jest irytujące.
1421:  Dokładnie, zgadzam się.
1424:  Bananomanta podrzuca magiczne skórki po bananach, by przed nimi upadali.
1427:  Tak jest.
1428:  One są magiczne dlatego, że upuszcza je mag.
1431:  Jaki jest sens banana?
1434:  Mavis Valeria writes in English.
1438:  Thank you for the stream.
1440:  Happy Easter.
1443:  It is you who should be thanked.
1447:  Idziemy dalej, moi drodzy.
1451:  Dalej jest chyba tu, a w każdym razie tędy, tak mi się wydaje.
1455:  Na wieki wieków spaczeń, Łukaszu, witaj na czatach nam.
1458:  Popatrzcie, tutaj jest dużo ludzi.
1460:  Oni wszyscy są zdesperowani tym, co ujrzał.
1463:  Każdy z nich myśli... Boże drogi!
1466:  Nie!
1468:  Co ja sobie zrobiłem?
1469:  Tylko nie to!
1471:  O nie!
1472:  I mówicie dlaczego?
1474:  Otóż dlatego!
1480:  Dobra, idziemy tu z Altem na razie.
1486:  Czy to jest przeciwnik?
1491:  Czemu, czemu wszyscy przeciwnicy nas nienawidzą?
1494:  Macie, macie teorię?
1496:  Chciałbym wiedzieć.
1497:  Manek cały czas liczy na Steamers Horizon Zero Dawn albo Forbidden West.
1500:  Karta graficzna już nam na to pozwala, tak teoretycznie przynajmniej.
1505:  Ale nie wiem, czy moja cierpliwość do łuczników nam na to pozwala.
1508:  Ciach!
1516:  Kto?
1516:  Ktoś tu gra.
1518:  Ej, ale słuchajcie, tutaj nie musimy cały czas... Ja myślałem, że będzie trzeba tu spadać.
1525:  Lore, handlarze należy kiedyś do wielkiej karawany, pisze Sam, ale przez heretyckie więżenia zostaje zrzuceni przed miasto i zamurowani żywcem.
1532:  Zobaczcie, ile antygon!
1535:  Dużo antygon!
1537:  FRS849 pisze, że przekonał się do trylogii wspomnienia o przeszłości Ziemi.
1541:  O, jak fajnie!
1542:  Ludzie zachwalają problemem trzech ciał, ale właśnie czy tam ciemny las jest o wiele lepszy według mnie?
1545:  To się rozwija.
1546:  Absolutnie.
1551:  Dobra, dobra.
1553:  Przygrywają nam.
1556:  Świetnie.
1558:  To miło.
1560:  Złoty run.
1561:  Dobrze.
1563:  Czy tu są jeszcze przeciwnicy?
1566:  Dużo ludzi spadało.
1568:  Dziura, może spróbuj tego.
1570:  A może nie?
1572:  Dobra, teraz tak.
1576:  Tak!
1581:  Może ja z tego wszystkiego nauczyłem się po tym chodzić.
1583:  Okej, on tu... Okej, okej, okej, to jest pułapka.
1586:  Okej.
1596:  Robię tak zawsze, jak spotykam skrzypków.
1601:  Tak naprawdę to nie.
1606:  Ani mi się wąż!
1612:  Eee... Co teraz?
1622:  Ojej, nie, nie, nie, nie, nie, nie, nie, nie.
1624:  Nie.
1625:  Nie.
1627:  Nie.
1629:  Nie.
1632:  Ej, no czekajcie, czekajcie, czekajcie.
1636:  To się, to się da zrobić.
1638:  To się da zrobić.
1642:  Tak!
1652:  Czekaj, tu już nie wskoczymy.
1655:  I może nie musimy?
1660:  Tak, uda się, uda się.
1665:  W operze Tuwima był taki fragment.
1667:  Uda, uda, dami, dami, gene orde dzwoni rami.
1669:  Uda, uda, dami, dami, gene orde dzwoni rami.
1672:  Tak, tak, tak!
1675:  Bardzo dobrze.
1677:  Ten jeden, jeden raz, kiedy Tuwim w czymś pomógł.
1688:  Nie... Okej.
1691:  What now?
1699:  Ups.
1701:  Ups.
1703:  From Software go nienawidzi, zobacz jak.
1707:  Tak!
1715:  Zebrałem przez chwilę książkę z przepisami Szaleństwa 2.
1718:  To doktor Ziemia napisał następną część Ukrytych Terapii.
1720:  Będzie dla naukowego bełkotu za rok, absolutnie.
1724:  Tu w imię szczególności lokomotywa pomaga w zasypianiu.
1727:  Nie ma to jak sobie posłuchać troszeczkę radosnego fat-shamingu na dobranoc.
1732:  Generalnie chodzi o to, że musisz zejść wystarczająco nisko, by upadek cię nie zabił.
1743:  Co ja bym zrobił bez pomocnych uwag, czatów?
1752:  Jestem wzruszony.
1758:  Mam jeszcze jedną radę, to znaczy trzeba klikać odpowiednie przyciski, żeby nie zginąć.
1765:  To też jest rada, którą się kierowałem od dawna.
1770:  Więc tak, moja teza jest taka.
1772:  Strategia, planistyka, taktyka.
1776:  Strategia jest następująca.
1778:  Tutaj, powiedział Krzysztof, wskazując palcem, którego nie widzicie, tu, tu, o, tu, jedziemy w czarnej dupie.
1786:  To znaczy stamtąd nie zeskoczymy nigdzie, ale tu, już nie.
1792:  Z drugiej strony, jak tam przeskoczę na 1200 milionów procent, ale Krzysztof, nie ma tylu procentów, umrzemy.
1804:  Trzeba w pewnym momencie spaść z bardzo wysoka i to nieintuicyjnie, nie?
1807:  Okej, okej sam, okej.
1808:  Wycofuję się ze swoich paskudnych szyderstw.
1811:  Gdy twoje życie spadnie do zera, umrzesz.
1814:  Przy okazji, witaj Elgion na czatach.
1818:  No, na samym dole odpala się teren, na którym nie można walczyć, jak w Tears of Stone, ale to, kiedy spadniesz z samej osienki do góry, to cię nie zabije, okej, okej.
1829:  Dobra, tutaj na środek się boję wskoczyć.
1833:  Ale może to błąd.
1835:  Dobra.
1842:  Chcę do domu.
1843:  Nie jesteś sam!
1846:  Okej.
1847:  Czyli jest to, jak myślałem, stąd nie jesteśmy w stanie zeskoczyć.
1852:  Czy udało mi się zapomnieć moje imię i nazwisko?
1854:  Nie, ale znam takich, którym się udało.
1856:  Kiedyś mi się udało zapomnieć nazwisko gościa, o którym miałem wykład, przez cały wykład.
1861:  W związku z powyższym pisałem, mówiłem chytrze autortyja tej publikacji.
1867:  Mam 367 śmierci.
1869:  Coś średnio ci idzie to klikanie, tak żeby nie umrzeć, pisze Mika, słusznie.
1875:  Chate, nie możesz tu zginąć w grze, masa plam krwi.
1879:  Data urodzenia?
1880:  Nie, to kochani, takie rzeczy to jak Krzysztof zapomina od razu.
1883:  Daty urodzenia i inne.
1884:  Pesele.
1885:  Jak?
1885:  Kto wymyślił pesel?
1887:  Nie no, ale tak serio?
1889:  To my tam nie przeskoczymy, nie ma szans.
1901:  Nie no, okej, okej.
1902:  Ja nie chcę nic mówić, ale idzie dobrze.
1905:  Słynne ostatnie słowa.
1923:  AHAHAHAHAHA!
1932:  NIEEEEEEEE!
1932:  NIEEEE!
1937:  NIEEEE!
1941:  Co to jest?
1944:  To są wszyscy ludzie, którzy... TO JAMNIK BIŁ MNIE!
1951:  A nie ja Jamnika.
1953:  Widzisz, że ciężko jest powiedzieć szybko, a nie jajamnika?
1957:  A nie jajamnika, a nie jajamnika, a nie jajamnika?
1960:  A nie jajamnika?
1965:  A!
1965:  A!
1966:  Zapomniałbym!
1967:  Zapomniałbym!
1968:  Gdzie jest moja chytra... Gdzie jest moja chytra aplikacja do liczenia śmierci?
1973:  Tutaj. 388.
1979:  Jak smakuje pokonanie przez grawitację?
1981:  Haha!
1983:  To dobrze znany smak.
1986:  Jest jeden smak, który znam lepiej, jest to smak Nutelli.
2000:  So it begins.
2002:  So it begins.
2005:  So it begins.
2006:  Teraz nie zabijemy skrzypka.
2011:  Teraz nie zabijemy skrzy... Koniec!
2017:  Koniec!
2018:  To już koniec rzekł Soliter wyglądając z czterech liter.
2029:  Dlaczego chcecie, żeby niedomag Jamnix się rozebrał?
2032:  Czy nie dość wam upokorzeń, biednego niedomaga Jamnixa?
2036:  Nie dość wam upokorzeń, chcecie jeszcze, żeby Niedomagiamniks był... Patrzcie, jaki kątem to jeszcze jest, żeby gracze pewniej spadali.
2044:  Nie dość wam już niedoli Niedomagajamniksa?
2047:  Nie dość wam jej?
2050:  Dobra, i teraz tak, bo ja nie pamiętam, w jaki obraliśmy szlak.
2055:  Tego nie pamiętam.
2059:  Tego absolutnie nie pamiętam.
2068:  Okej, już wiem.
2070:  Już wiem, już wiem, już wiem.
2071:  Byłem chytry, byłem sprytny.
2076:  Skrzypek zostanie na dachu.
2082:  Krzysztof, nie zebrałeś run?
2085:  Trochę bawi mnie to, że pisze Jakub, że przy śmierci od upadku jest ten sam dźwięk umierania, co przy obrywaniu z mieczem agii wszystkiego.
2090:  To chyba jest po to, żeby było mimicznie.
2093:  O nie, 1220 run.
2097:  Co my zrobimy?
2099:  Nigdy już nie osiągniemy upragnionego levelu!
2104:  Nigdy!
2108:  Nic nie widzę.
2111:  To było niesprawiedliwe.
2119:  Wesoły Wędrowiec ma pytanie.
2121:  Uczelnia dopuszcza zaliczanie praktyk.
2123:  Jeśli ktoś pracuje zarobkowo, jednakże wymaga podania konkretnych zarobków za te prace.
2127:  Czy to legalne?
2130:  Nie wydaje mi się, żeby to było coś, o co uczelnia powinna móc prosić.
2134:  Nie.
2135:  To jest przedmiot umowy.
2136:  Nie, nie, nie.
2137:  Absolutnie walczyłbym z tym.
2140:  Absolutnie bym z tym walczył.
2141:  Dobra.
2142:  Wiecie co?
2143:  Skróćmy sobie tę drogę.
2144:  To powiedziało tutaj wielu graczy.
2147:  Jak znam życie...
2150:  i bardzo, bardzo ucierpieli przez to.
2156:  Ale wydaje mi się, że to jest słuszna strategia.
2160:  To była słuszna strategia.
2169:  O, o, okej, okej, okej, okej, okej!
2173:  Okej, let's go!
2175:  Teraz tak, co dalej?
2180:  Krzysztof nie wie.
2181:  Okej, mam pewien pomysł.
2182:  Ten pomysł brzmi następująco.
2184:  W tę stronę będzie nam łatwiej skoczyć, ponieważ tutaj jest półka przy krawędzi.
2189:  Dobrze, dobrze, dobrze.
2191:  Teraz tak, teoretycznie moglibyśmy spróbować skoczyć tam, ale w praktyce łatwiej będzie na środek chyba.
2208:  Tak, dobrze.
2211:  Okej, i teraz co?
2212:  Co dalej?
2219:  Dobra, teraz na wprost.
2221:  Przeszkadza mi strasznie to, że nie do magii Amnix zajmuje dokładnie cały ekran!
2238:  Okej, i myśmy tutaj ostatnio.
2239:  Zobaczcie, jakie to wredne.
2242:  Wydaje się, że to jest przy ścianie, ale to nie jest przy ścianie.
2246:  Wredne!
2252:  Próbowałeś nie otrzymać obrażenia upadku.
2254:  Wtedy powinno łatwiej to przyjść.
2256:  Tak.
2264:  Widzicie?
2265:  Nie byłem jedyny.
2269:  Nie byłem jedyny.
2272:  Teraz tak.
2275:  Moja teza jest taka, że tutaj powinniśmy zrobić rolę.
2298:  Taaaak!
2300:  Zrrrrrrręczny niedomagiamniks!
2305:  Hmm, tylko co dalej?
2308:  Okej, dalej możemy skoczyć tu chyba.
2316:  Tak, albo tam.
2318:  Tu i tam!
2319:  Gdyś pomyślałem, że będzie bardzo zabawne, jak zatytułuję tak rozdział swojej książki i tak zrobiłem.
2331:  Tam nie dolecimy tak daleko.
2334:  Nie ma szans, musimy w tę stronę.
2336:  Musimy w tę stronę.
2338:  Dobra, przeczytaj wiadomość.
2339:  Tutaj, dlatego teraz przewrót.
2342:  Przewrót?
2344:  Przewrót?
2348:  Medalion zmniejszający obrażenia od upadku niestety nie zadziała tutaj, obawiam się.
2357:  Kompletnie nie ufam tej Radzie.
2360:  Kompletnie nie ufam tej Radzie.
2366:  Tam na dole jest kładka.
2379:  Przypomnijcie mi... Przypomnijcie mi...
2384:  choćbym nie wiem, co miał zrobić, udamy się na tę kładkę ponownie tylko po to, żeby negatywnie ocenić tę radę.
2398:  Tylko po to.
2399:  Nie mamy żadnego innego celu obecnie, poza dostaniem się w tamto miejsce, po to, żeby ocenić tę radę jako nieprzydatną, jako skambaliczną.
2417:  Zrobimy to następnym razem.
2419:  Nie mam pojęcia po co ten... Byłem przekonany, że ta... Byłem przekonany, że ta rada jest słuszna.
2427:  Zemsta to nie jest dobry materiał na szatę dla maga.
2431:  Watch me.
2432:  Watch me!
2434:  Zobaczycie, zginiemy tu więcej razy, niż przy najtrudniejszym z bossów.
2439:  Tak będzie.
2440:  Moja chirurgiczna precyzja, z jaką klikam, nic nie daje.
2454:  Ale Krzysztof, jak możesz nie zgadnąć, gdzie należy kliknąć?
2459:  Dobra, i teraz tak.
2470:  No, pewien pomysł.
2474:  Tak się kończy wiele złych pomysłów.
2479:  Dobra, idziemy bezpiecznym szlakiem.
2485:  Kompletnie tego nie planowałem, ale się udało.
2504:  Może skakać po wysuniętych... Trumna, a nie na sam dół.
2507:  Dobre.
2508:  Czy próbowałem pokonać mylanie?
2509:  Jeszcze nie, jeszcze nie.
2511:  Bardzo możliwe, że dzisiaj.
2512:  Chociaż nie wiem.
2512:  Nie, raczej jutro.
2514:  Dzisiaj?
2514:  Jutro?
2514:  Nie wiem.
2517:  Zobaczymy.
2518:  Mam plan, a jaki kurwa sprytny, tak, tak będzie.
2521:  Krzysztof, jak możesz się tam mówić, kurwa.
2539:  Gdyby nie ten skrzypek, to byłoby strasznie, muzyka jest kojąca.
2545:  Let's agree to disagree.
2553:  Ciężko jest strasznie w tym momencie, mam wrażenie, rozróżnić, kiedy jest dobry rol, a kiedy skakanie.
2560:  Totalnie nie wyczuwam różnicy między nimi.
2568:  Okej, a gdyby zrobić... Gdyby sobie ułatwić życie... Aaa!
2575:  Sprytnie!
2576:  Teraz żebym tylko zapamiętał, że tak należy zrobić następnym razem.
2581:  Okej, okej, okej.
2583:  Teraz tak.
2594:  Dobra.
2597:  Tutaj ostatnio zginęliśmy.
2603:  Ciężka sprawa.
2607:  Dobra, teoretycznie wtedy mamy podwójną szansę.
2613:  O tak.
2617:  To nie był ten komunikat, który musimy zminusować.
2622:  To nie był ten komunikat.
2628:  Dobra.
2632:  Okej, okej, nie jest źle.
2636:  Dlaczego w ogóle tam schodzę?
2637:  Bo eksplorujemy wszystko!
2640:  Dlaczego miałbym nie schodzić?
2642:  Chcę do domu.
2643:  Ja też.
2644:  Dobre.
2648:  Poparłem tę wiadomość.
2650:  To jest wiadomość w zasadzie.
2653:  Musimy rozróżniać między wiadomościami i wiadomościami od tej pory.
2657:  Okej, widzę, gdzie byliśmy ostatnio.
2661:  Tak, tak, tak, tak, tak.
2663:  Tutaj jest zła pochylnia.
2667:  Tu jest zła pochylnia.
2670:  Teraz tak.
2675:  Kusi mnie coś.
2677:  Wiecie, co mnie kusi?
2681:  O Boże, to jest zły pomysł.
2687:  Tutaj był rol chyba, nie?
2688:  Tak mi się wydaje.
2689:  Tak, tu był rol.
2690:  Tu zrobiliśmy rol.
2694:  Mhm.
2697:  Morne!
2700:  Morne!
2704:  To było morne!
2707:  Marność nad marnościami!
2715:  Jak według mnie powinna zostać napisana bohaterka, która na starcie przychodu jest inteligentna, odważna i waleczna, by nie przypiętej później łatki Mary Sue?
2723:  Mary Sue, jak każda innych z łatek, dotyczy postaci, które są sztuczne.
2728:  Po boku, na samym dole są dziury w ścianach, do których się można dostać, jest tam unikatowa ta... Nie.
2734:  Mam w dupie unikatową tarczę.
2736:  All due respect, ale ja tutaj się staram przeżyć.
2748:  Okej.
2749:  Tu jest dużo plam krwi, co oznacza, że nie jest to prosty segment.
2754:  Ojojoj.
2756:  I wiecie, co jest przerażające?
2757:  Przez te plamy krwi ja nic nie widzę.
2775:  Dobra, tutaj rol.
2776:  Moim zdaniem rol.
2783:  Moim zdaniem rol.
2784:  Dobra.
2803:  Jaki słaby wróg.
2812:  Nie do magiam niks nie może tu przejść.
2818:  Mam pewien pomysł.
2832:  Czemu nie płoniesz?
2835:  Nie mam hasła do fortu.
2842:  Ewidentnie.
2846:  W te namioty musi strzelić przeciwnik?
2849:  A, okej.
2851:  To słabo, bo nie mamy przeciwnika.
2854:  Ej, chaty, to jest koniec?
2865:  Okej, to jest zbyt piękne, by było prawdziwe.
2881:  Czy ja tu mogę zeskoczyć?
2892:  A tam itemki!
2895:  Zabiłem przeciwnika, który miał to rozwalić?
2912:  Tak!
2912:  Tak!
2912:  Tak!
2913:  Tak!
2913:  Tak!
2914:  Yes!
2914:  Yes!
2914:  Udało się!
2920:  Udało się!
2921:  Mamy to!
2923:  Zbliża się tunel?
2927:  Co się dzieje?
2931:  Sam pisze, że też spędził tutaj 30 minut, okej.
2936:  Proszę bardzo.
2939:  Nagroda.
2941:  Ocena dobra.
2942:  Krzysztof, przecież jesteś przeciwko wystawianiu ocen.
2947:  Bóg runiczny jest śliczny.
2956:  What the fuck?!
2957:  Dobra, tu są rzeczy.
2960:  Krzysztof osiągnął platformowy sukces.
2962:  Zdumiewające, prawda?
2963:  Dobra, zobaczmy, co jest tutaj.
2969:  Okej, to nie wygląda dobrze.
2971:  Okej, to nie wygląda dobrze.
2974:  Okej, to nie wygląda dobrze.
2976:  Okej, to nie wygląda dobrze.
2977:  Eee... Eee...
2992:  Nie wchodź przez dziwne drzwi.
3007:  Okej.
3008:  Okej.
3009:  Okej, spokojnie.
3010:  Ja nie chcę żadnego endingu.
3012:  Krzysztof nie chce endingu.
3015:  Krzysztof idzie do ukrytej lokacji.
3022:  Ukryta lokacja nie jest endingiem.
3024:  Ukryta lokacja jest ukrytą lokacją.
3027:  Skąd można się dowiedzieć, jak tam wejść?
3030:  Gdyby nie tutoriale, to ponownie nie miałbym pojęcia.
3032:  Ja też.
3033:  Koń może spróbuj tego, szkielet!
3036:  Podziemia, a to niespodzianka.
3038:  Marika, a to niespodzianka.
3041:  Na cycki mariki!
3044:  Ja by, ja by co?
3046:  Ja wpadłem na ten pomysł.
3051:  To jest oficjalny, lore'owy idiom.
3054:  Witamy Urszulę!
3055:  Jak wam mija wieczór, kochani?
3061:  Moderatorzy na czatach.
3064:  Prostuję się już.
3065:  Nie będzie, nie będzie obelżywych określeń, obiecuję.
3068:  No chyba, że wobec Olgi Arczuk.
3070:  Nie żartuję, tak naprawdę to nie.
3074:  Okej, mam wrażenie... O Boże, znowu są mrówcy.
3081:  Głębiny.
3082:  Czemu to zawsze muszą być głębiny?
3085:  Okej, to jest wielkie jajo.
3099:  Jesteśmy w jakiś wielki run.
3100:  Run Numenna.
3108:  Co to jest run numena?
3111:  Dlaczego tu zawsze musi być jasny teren?
3115:  Jezus, kocham ten mroczny ambient podziemny, jest wspaniały.
3120:  Gdyby to był film... Gdyby to był film Leslie Nisena, to gdybyśmy się tutaj obrócili, byłby to taki chórek, który by robił... Run numena to jest w piździu run?
3133:  Świetnie.
3135:  Teraz poproszę o wyjaśnienie mi tego liczebnika.
3138:  Czy to jest powyżej stu tysięcy?
3141:  Mam pewne wątpliwości, jak tam zejść.
3145:  Ta mrówka lata.
3153:  Dwanaście tysięcy pięćset?
3155:  To jest bardzo niewiele.
3158:  Ta mrówka już nie lata.
3165:  Okej.
3167:  Czy to jest znowu ten moment, kiedy będzie źle?
3171:  Numenowie to lud długowiecznych ludzi, ale rzadko się rodzą.
3174:  Podobnie sama Melika była Numenką.
3178:  Hmm, Marika.
3182:  To jest ta, która nas ratuje, jak są bossowie.
3185:  No dobrze.
3188:  Okej, mam złe przeczucia.
3191:  Mam bardzo złe przeczucia.
3194:  Mam dobre przeczucia.
3201:  Gdzie my zdążamy?
