Niedomag Iamnix jest szczęśliwy | ELDEN RING Livestream #5
🔗 https://www.youtube.com/watch?v=b-IJ3UyPu6w

26:  Dziękuje.
1193:  To prawda.
1194:  Niech zdrowie bierze do tego, kto napisał tę ostrzegawczą wiadomość.
1202:  Nie odmawia się tulusiów od złodupców, pisze wikew.
1205:  Ostatnio zrobiłem pierwszy od pół roku film, pisze Barczyński, bo mogłem koleżance zmontować, to mój pierwszy poważny materiał, pokazałem to znajomemu, który profesjonalnie montuje i powiedział, że to najlepszy debiut.
1213:  Graty wielkie, Barczyński!
1216:  Podziwiam wszystkich, którzy montują.
1218:  Ja za każdym razem mam to robić, wpierw szlocham przez pół wieczoru.
1222:  Na szczęście nie muszę tego robić często.
1224:  Kacper pisze, że przeze mnie ogląda Arkane.
1226:  Bardzo, bardzo się cieszę z tego tytułu.
1227:  Czy to jest następny przeciwny na turze przeciwnik?
1231:  Dlaczego nasze zaklęcia grawitacyjne nie działają tak, bym chciał?
1236:  Ojej, jeszcze coś w nas strzela niedobrze.
1239:  Oczywiście.
1240:  To jest zaprojektowane po to, żeby... Ooo!
1243:  Nie!
1244:  Żeby nas osłabić.
1248:  Ciach!
1250:  Kto jest śmiesznym monstrum?
1253:  Istnieją malinowe dobre kalorie z orzechami?
1255:  Naprawdę?
1256:  Nie wiedziałem o tym.
1257:  Zostaw mnie za obrzydliwy typ.
1261:  Co za... To są dwa obrzydliwe typy.
1268:  Jak tam z naszym życiem?
1270:  Wiedziałbym, że niezbyt dobrze.
1274:  Wiecie co, nie będziemy się pchać na razie tutaj.
1284:  Przeciwnik.
1287:  Wiecie co, przełączymy się może na błyskamienne pociski dla oszczędności.
1294:  Ale wredne, ale wredne i paskudne.
1308:  Przestań we mnie rzucać jakimiś żenującymi... Ciach!
1316:  Ciach, ciach!
1317:  Harad!
1319:  Przestań!
1320:  Nie wolno, nie rusz!
1328:  Marnotrawstwo magii.
1331:  Doberek Taboret, na razie eksplorujemy straszliwe podziemia, których przestaliśmy eksplorować ostatnio.
1339:  W których to podziemiach wysysają nam całą manę.
1343:  Zostało jej bardzo niewiele, to znaczy 4 buteleczki.
1357:  2317 runów!
1357:  So close!
1358:  Witaj, Obciu, przy okazji.
1359:  Witaj, Jadwigo!
1363:  Co tutaj mamy, moi drodzy?
1365:  Co tutaj mamy?
1367:  Okej, to jest kolejna komnata.
1369:  Aaa, myśmy ją widzieli wcześniej, dobra.
1371:  Przed... Tak.
1372:  Dobra, łuk, łuk, łuk, łuk, łuk, łuk, łuk, łuk, łuk, łuk, łuk.
1383:  O nie!
1384:  Więcej ich!
1385:  Więcej!
1386:  Więcej!
1387:  Pułapka!
1390:  O nie, o nie, o nie, o nie, o nie, o nie.
1392:  Nie mam mamy.
1405:  Fuck.
1405:  Jest niedobrze.
1407:  Jest bardzo niedobrze.
1408:  To jest pułapka.
1418:  Nie mamy życia.
1419:  Nie mamy many.
1420:  Ja się pytam, co się dzieje.
1427:  Tam są jeszcze dwa.
1430:  Strasznie, strasznie niebezpieczni przeciwnicy.
1433:  Nikt mnie nie ostrzegł, oczywiście.
1442:  Oczywiście, że czapka jest fajna.
1443:  To jest czapka bananowa.
1446:  Ja właśnie użyłem najpotężniejszego zaklęcia przez przypadek.
1449:  Jaki jest sens banana?
1454:  Przyjdzie kiedyś czas, że przestanę... Czy znowu nas coś atakuje?
1458:  Boże, znowu nas coś atakuje.
1460:  Przecież to jest niesamowite.
1461:  Ha!
1462:  Dziń!
1468:  Ile tu tego?
1471:  Ile tu tego jest?
1474:  Dobra, to teraz tak.
1477:  Mamy mało runów i tak, więc plan jest następujący.
1483:  Będziemy bogami starcia z bossem.
1486:  Tak, tak będzie, nie zmyślam.
1489:  Czy tutaj jest... A nie, to w ogóle nie jest... Dlaczego to nie jest... To nie jest boss arena!
1494:  Nie!
1498:  Tu można użyć klucza.
1501:  O!
1503:  Dobra, ale tu to będzie na 1000% pułapka.
1507:  Ależ mnie denerwuje to, że... Denerwuje mnie to strasznie, że są te wiadomości, które sprawiają, że nie można czarować, tylko trzeba je wyłączyć wpierw.
1523:  Jest bardzo niedobrze.
1525:  Czy ktoś jeszcze nam tu zagraża?
1529:  Na pewno ktoś nam jeszcze tu zagraża.
1531:  Nie ma siły, żeby ktoś nam tutaj nie zagrażał.
1536:  Uciekamy stąd, natychmiast stąd uciekamy.
1539:  Bardzo niebezpieczne miejsce.
1541:  Co to za posążek?
1542:  Te posążki są dość istotne, ponieważ zwykle tutaj są takie dwa mieczyki, które można wrzucić.
1548:  Tu się wsadza klucz kamiennego czegoś, miecza, chyba tak to się nazywa, i w ten sposób można otworzyć sekretne przejście.
1557:  Wpływ Windmill Village.
1559:  Ten hełm to dosłownie foliowa czapeczka odbija wpływ The Greater Will na umysł.
1564:  Czy to dobrze?
1565:  Czy to dobrze?
1566:  Zobaczmy sobie, co to za hełm w ogóle.
1570:  Ten kiedyś mieliśmy.
1572:  Lustrzany hełm Noxu.
1575:  Hełm ze szkła przypominającego kryształ, jeden z radywalnych narzędzi z Wiecznego Miasta.
1579:  Łatwo pęka i słabo amortyzuje uderzenia.
1581:  Świetnie.
1583:  Nożona przez zdrajców stanu, chroni przed interwencją wyższej woli służącej jej palców.
1588:  Do zobaczenia, Alkun, za trzy godziny!
1590:  Cóż za precyzyjny, a nieodmierzony czas!
1593:  Popatrzcie, zostawiliśmy za sobą stertę trupów, a i tak przegramy to starcie, bo zostało nam żenująco mało zdrowia i wystarczy wpaść na jakąkolwiek pułapkę.
1602:  O, na przykład na tę.
1607:  I będzie bardzo niedobrze.
1610:  Będzie gorzej niż myślicie.
1613:  Dół może spróbuj tego.
1617:  Mowy nie ma.
1631:  Nie dba o zdanie innych.
1632:  Właśnie tak jest.
1632:  Tak należy żyć.
1639:  Tutaj na pewno będzie jeszcze jeden przeciwnik, no na 1000% będzie.
1643:  Co więcej, podejrzewam, że jeżeli tutaj zeskoczymy, to będzie źle.
1648:  Patrzcie go, broń biała go obraża, klucz kamiennego miecza mu nie śmierdzi.
1652:  Witaj Mateuszu, dziś mija fantastycznie.
1654:  Dużo Elden Ringu.
1656:  Niedomagiamnix ma wprawdzie twarz naznaczoną krwią, której mu puszczono, ale Niedomagiamnix odważnie zeskoczy.
1667:  Dobrze, to był chyba jeden przeciwnik, który tutaj jest.
1677:  O nie!
1683:  O nie.
1691:  Dobra, to się skończy źle.
1696:  Tam nie idziemy.
1697:  Dlaczego zawsze mi się coś takiego przytrafia?
1701:  Niedomagi Amnix jest nieszczęśliwy, powiedział Krzysztof, wykluczając to, co napisał wcześniej.
1724:  Przestań gastować!
1727:  O nie!
1729:  To był drugi!
1731:  O nie!
1734:  Potrzebujemy więcej magii na to.
1737:  O nie!
1739:  O nie!
1740:  O nie!
1742:  Tutaj trzeba mieć jakiś milion mikstur, żeby przetrwać ten... To koszmar!
1747:  Dobra, ale teraz wiemy, co zrobić.
1749:  To znaczy, niezwłocznie należy udać się na sam dół.
1752:  Tu.
1759:  Teraz w ogóle tutaj jest tak, że się zastanawiam nad jedną rzeczą, ale to za moment.
1766:  Witamy Dominikę Jamnikotwórczynię.
1768:  Wiecie, co robić, trybutariusze, jak zjawia się Dominika Jamnikotwórczyni.
1774:  Tutaj można chyba zaskoczyć, nie?
1776:  O, tutaj można zaskoczyć chyba.
1779:  Ale...
1794:  Dobra, musimy otworzyć te drzwi do bossa, na pewno.
1808:  Nie do magii amniks, zachowuje się jak idiota i nie uważa na wroga.
1824:  Przestań.
1824:  Natychmiast przestań mnie atakować.
1830:  Co za skandal.
1832:  Dobrze, jesteśmy względnie bezpieczni.
1837:  Czy to było tutaj?
1838:  Tak.
1840:  Tak!
1841:  Dobrze.
1842:  To teraz błyskamienne pociski.
1849:  YouTube prześmiesznie zbugował i pod streamem są komentarze z innego filmu?
1852:  No nie żartujcie.
1854:  Witaj, Łukaszu, swoją drogą.
1858:  Nędzny przeciwnik.
1861:  Ustaw się tak, żebym mógł w ciebie strzelać!
1869:  Dobrze, poczekajmy, aż się ustawi w odpowiednim.
1874:  Teraz się pojawiły dwa.
1880:  A może nie?
1882:  To chyba było coś innego.
1886:  Gdzie jest przeciwnik?
1889:  Ja się pytam, gdzie jest przeciwnik?
1892:  Jak teraz tutaj zeskoczymy, to nas czeka pewna śmierć.
1905:  Albo i nie.
1905:  Dobrze.
1910:  Runy są nasze.
1911:  Teraz tak, będziemy sprytniejsi.
1914:  Od razu będziemy używać tych szybkich zaklęć, bo one są chyba lepsze.
1918:  I teraz jeszcze, będziemy jeszcze sprytniejsi.
1921:  O właśnie.
1922:  Większe obrażenia!
1925:  To on taki skoczny!
1940:  Chyba nie chcę tu być.
1948:  Dobrze, chcę tutaj być.
1953:  Przestań!
1954:  Przestań mnie obłapiać!
1957:  On też obłapia!
1964:  Wszyscy dzisiaj obłapiają!
1971:  To są omeny, mówicie?
1975:  Nie znam, nie znam... I have no memory of this place.
1980:  Nie znam nazw tych potworów.
1989:  Gdzie jest trzeci?
1992:  O, o, o. Gdzie jest trzeci?
1996:  Wraży wredny monstrum.
1998:  Gdzie jesteś?
2001:  Chyba, że on się jeszcze kryje tutaj w korytarzach, to jest możliwe.
2005:  To jest możliwe.
2007:  Mam wrażenie, że ostatnim razem też tutaj ginęliśmy.
2010:  Chyba taaaak!
2012:  Dlaczego on ma nadwątplone życie, to mnie ciekawi.
2021:  Nie marnuj mojej many!
2025:  Witamy pojawiającego się na chatach Diabła Tomsmańskiego!
2032:  Omenem był też Magritte?
2035:  Krzysztof nie wiedział.
2037:  Krzysztof nie wiedział również o tym, że jest pułapka oczywiście na podłodze, tuż po to dokładnie, żeby nas zmiażdżyć.
2046:  Wróg nie stoi na twojej drodze.
2048:  Kłamstwo.
2050:  To musi być kłamstwo.
2051:  Co tu się dzieje się?
2057:  I widzicie, jakie są tego efekty?
2059:  Witamy Dori i witamy Johanna Wattermana również.
2061:  Ups.
2061:  Okej, potrzebujemy czegoś, co będzie w niego...
2084:  Bardzo mocno napierdzielać.
2098:  Co to była za szarża?
2099:  Nie znam tej szarży.
2101:  Ej!
2101:  Ej!
2101:  Ej!
2102:  Co?!
2110:  To są straszne podziemia!
2114:  straszne są!
2122:  Co za koszmar, nigdy stąd nie wyjdziemy.
2126:  Omeny to ogólnie przeklęci, najpewniej przez guajnożerców, wciąż nie wiem kto to jest.
2129:  Ludzi, których dusze nie mogły się dostać z powrotem do Eartree, czyli tego drzewa.
2133:  Nie mogli się ponownie zreinkarnować.
2135:  Mój pech polega na tym, że nie mogę oglądać jeszcze wciąż lore videos, bo nie chcę sobie zaspoilować niczego.
2143:  Znaczy najgorsze jest to, że są tutaj te obrzydliwe maleństwa.
2153:  Najważniejsze, żeby uniknąć wszystkich ataków.
2158:  Tutaj będzie kolejny.
2161:  Dobra, uniknięty.
2165:  Ale jego musimy...
2173:  Jest.
2176:  Kurczę, aż było tak blisko.
2178:  Dobra.
2180:  Wielki odłamek błysk kamienia się sprawdził.
2193:  Obrzydliwe maleństwa.
2195:  No, to zabrzmiało groźnie.
2196:  One są obrzydliwe, przysięgam.
2199:  Dobra.
2200:  Teraz tak.
2203:  Najgorsze jest to, że jak zawsze jest tak, że ja się boję przeciwników, z którymi walczę.
2213:  Dziura.
2214:  Może spróbuj tego, a potem leczenie.
2217:  Dziura.
2226:  Co za skoczny gałgan!
2231:  Z pozdrowieniami dla Gałgana Mietczyńskiego.
2236:  Za każdym razem piszę, zdarza mi się, kiedy czytam nazwę tych simów, czytam Niedomaglamiks.
2241:  Bardzo pasuje.
2247:  Niedomaglamiks.
2250:  A co to jest?
2252:  Nie wygląda to dobrze.
2255:  Popatrzcie, jak niedaleko wylądowaliśmy.
2258:  No ale teraz tak.
2261:  Dobra, jest.
2261:  Mam pewien pomysł.
2266:  Magiczna strzała.
2267:  Magiczna strzała ma bardzo długi czas kastowania.
2271:  Bardzo długi.
2273:  I nie jest to, myślę, w tym momencie dobry pomysł.
2276:  Rozentuzjazmowana Konstantynopolitaniczka Wianeczka pyta, when Red Dead is coming back?
2281:  Dziękuję ci za trybut in due course, na pewno po Elden Ringu teraz już, bo nie będę przerywał.
2289:  O, tacy będziemy chytrzy, widzicie?
2291:  Tak zrobimy.
2294:  Aaa... Jezus Maria!
2295:  Przestań!
2296:  Nie!
2296:  Nie!
2297:  Nie!
2297:  Nie!
2298:  Nie!
2298:  Nie ma!
2299:  Nie ma!
2299:  Won!
2301:  Jak... Jakie wredne!
2304:  Małe wredne... Wiecie co?
2306:  To jest mała mi!
2308:  Małe i wredne!
2310:  Mała mi!
2315:  Coś przerażającego.
2319:  Napisałem kiedyś pracę w LaTeXu, czy korzystam z MS Worda.
2322:  Ja LaTeXa nazywam złośliwie edytorem do pisania dla ludzi, którzy nie umieją składać książek w InDesignie.
2330:  Bo LaTeX trochę jest takim, znaczy służy do tego, żeby tak idealnie wyformatować tekst, a do tego służą programy typograficzne, więc dla mnie, ja używam Worda, można używać dowolnego edytora tekstu, moim zdaniem.
2341:  W Wordzie, jeżeli człowiek się przemęczy i ustawi sobie style, to jest idealnie.
2347:  W LaTeXu jest o tyle prosto, że można sobie też tyle kodować, więc jeżeli ktoś woli kodować, to w ten sposób.
2351:  Zawsze powtarzam, że program do pisania to jest tylko narzędzie, nie?
2354:  Natomiast złości mnie taka dyskusja na temat wyższości LaTeXa nad Wordem, na przykład czy OpenOffice'em, czy LibreOffice'em, bo, no tak jak mówię, jak ktoś chce sobie złożyć coś, to InDesign.
2366:  Podpalony w chłodny dzień, ja bym chciał, żeby ten dzień był chłodny.
2368:  Dobra, musimy zużyć jedną mixturę many, ponieważ on się tak łatwo nie podda.
2377:  Czy rzeczywiście jest tak, że jak ja pieprznę teraz zaklęciem, to ona będzie... Nie.
2385:  PRZESTAŃ SUSZYWAĆ MOJĄ MANĘ!
2391:  Zachamstwo.
2395:  Playlist ambientowy, który sprawdzałeś nie tylko do pracy, ale również do złego humoru?
2398:  O, jak się cieszę!
2399:  Jak się cieszę!
2402:  Prochy pazia otrzymaliśmy w nagrodę za walkę z tym przeciwnikiem.
2405:  Jest to niesatysfakcjonująca nagroda.
2408:  U mnie czasem jest tak, że za pracę w lateku było z góry do pół oceny.
2413:  No tak, tak, oczywiście.
2415:  Nie, jak ja nie znoszę czegoś takiego... Ach, jak?
2417:  Dobra.
2420:  Myśmy tutaj byli, bo ktoś zginął, tak.
2424:  Teraz tak, pytanie.
2426:  Czy ja raz w życiu pójdę dobrze?
2431:  Okej, moja intuicja mówi mi, że tędy.
2437:  Tymczasem czaty.
2438:  Aha, idzie źle.
2440:  A nie.
2441:  A nie!
2445:  Dobrze poszedłem!
2450:  W celit w jednej z jaskini są prochy z kawena do zdobycia i walka z bossem, która mi się bardzo spodoba.
2454:  W celit nieprędko będziemy Tarraelu.
2460:  Rób odwrotnie, niż mi sugeruje intuicja.
2461:  Właśnie tak zrobiłem!
2463:  I jest dobrze!
2465:  Jak myślicie, czy to będzie ciekawa walka?
2470:  Zróbmy sobie od razu tak, chytrze, że walniemy sobie procą.
2477:  Przed... Pies!
2479:  Przed nami pies!
2492:  Przestań, tylko ja mogę używać... To jest czarujący jamnik!
2499:  Psz, jak śmiesz... Natychmiast zorzy... Ten jamnik nas atakuje!
2514:  Co za skandal!
2517:  To jest potrójny jamnik!
2518:  To jest jamnik Cerber!
2524:  Przestań mnie atakować halabardą, jesteś jamnikiem!
2529:  Come on!
2531:  O nie, o nie, o nie, o nie, o nie, o nie, o nie, o nie!
2534:  O nie!
2535:  O nie!
2545:  Zdrajca!
2550:  Zdrajca!
2553:  Zdrajca!
2558:  Dlaczego nie zadziałał pociąg Mariki?
2561:  Grit to prawda.
2562:  Chciwość zgubiła.
2563:  Grit isn't good.
2565:  Dlaczego posąg Mariki nie zadziałał?
2567:  To jest pytanie.
2569:  Przecież tam był posąg Mariki.
2573:  Co to za skandal?
2577:  To nie był kot, Aśku!
2578:  To był jamnik!
2580:  Dziabyk!
2584:  Jamnik jak byk ciekawie brzmi.
2586:  Dobra, musimy się pozbyć i szybko.
2598:  No nie jest to dobrze.
2599:  Dobra, ale ewidentnie proca była okej.
2609:  Tyle w temacie.
2627:  Jamnik sieje ogniem!
2643:  Niewiele brakowało.
2645:  Trzeba zawsze przyzywać śmiesznego trepa, żeby nam pomagał w takich sytuacjach.
2657:  Zresztą widząc kota na chodniku, jaki piękny jamnik.
2661:  To kot ma w domu kota, wiem, jak to wygląda, pisze purpurowy jamnik.
2665:  No nie wiem, purpurowy jamniku, no nie wiem.
2668:  Dobrze, ruszamy naprzód.
2671:  Nie zwiedziliśmy ostatnio kompletnie nic tutaj i tutaj jest interesująca wieża.
2675:  Chcę przejść do interesującej wieży, chyba że to jest bez sensu.
2678:  Druga opcja, którą możemy zrobić, to zwiedzić te wszystkie elementy, znaczy te wszystkie miejsca, których tutaj nie zwiedziliśmy, a jest tego sporo, mam wrażenie.
2690:  I trzecia opcja to jest zwiedzenie tego miejsca.
2694:  Czwarta opcja to jest zwiedzenie...
2698:  Czy myśmy byli w studni rzeki Einzel?
2702:  Nie chcesz iść do tej wieży.
2704:  Idź teraz do ruin oczyszczenia na wschodzie jeziora.
2706:  W piwnicy będzie ukryte winogrono.
2708:  Ruiny oczyszczenia.
2709:  Ruiny Lasker na wschodzie jeziora.
2712:  Krzysztof się skupia.
2714:  Wschód.
2717:  Wschód będzie tu.
2719:  Czy to są ruiny Lasker?
2720:  Nie byliśmy chyba w ruinach Lasker, jest jeszcze Podgrodzie Akademii, w którym na pewno byliśmy, ale tutaj gdzieś jeszcze, w ogóle na tym jeziorze był... Uuu, Różany Kościół, tutaj też nie byliśmy.
2731:  W wielu miejscach nie byliśmy, mam wrażenie.
2734:  No to są te ruiny, jak byk.
2741:  Jak Radan, zrobione to koniecznie do Rani?
2742:  Piii, Taraelu, Rani jest również pokonana.
2754:  Na prawo od Lasker.
2755:  Ach, te ruiny!
2757:  Te ruiny.
