🔴 Niedomag Iamnix w Królestwie Cienia(sów) — ELDEN RING: SHADOW OF THE ERDTREE Livestream #2
🔗 https://www.youtube.com/watch?v=cyUdPUnJe74

1:  Taki jest sens banana.
635:  Konrad, Simbashini, Sebulba, Jan Gołębiowski, Oliwia i Armii, Alizan, Imperium, Ruwa, Emilia, Kamil, NR, to jest dużo dzisiaj, Gaston, Bartłomiej oraz Posolona i Vanguard20, Sara Gawrońska, Szelmutka raz jeszcze, Magda M1, Sebulba wspierająca 23 miesięcy, Mikrojamnik lubi mikroparówki, twierdzi Sebulba i być może ma rację, THW, Venzant oraz...
664:  Akinek, Juliusz i reszta naszych wspaniałych moderatorów Knurr, Maciek, Paula, Mieksyks, Altair, Ibn La'ahad.
671:  Jak ja szanuję za to odniesienie.
673:  Kto dziś pamięta Assassin's Creed'a pierwszego, czyli najlepszego?
677:  Dobra, dwójka jest najlepsza.
678:  Z Ezio Auditore da Firenze oczywiście, Emil TV, Brontos, Kari San, Jakub Fiss, Onufry, Justyna Neko.
686:  Tak, moi drodzy, Krzysztof Siemiewa, jak zarwie noc, co w tym miejscu oznacza, funkcjonuje dokładnie tak samo jak zawsze, ponieważ ja w ten sposób pracuję.
694:  Różnica polegała na tym, że zrobiliśmy sobie stream.
697:  Filipa też witam, Uchatsa najserdeczniej, Funcie, Jakuba Fis i Karis San, moi drodzy.
704:  Ja z przykrością, przepraszam, ja wiem, ja wiem, ta muzyka jest epicka, ale mam dla was lepszą muzykę.
711:  Mam dla was muzykę z Elden Ringa, moi drodzy.
713:  I mam dla was informację dotyczącą naszej wspaniałej gildii.
718:  Niestety zmieściło się tylko trzy nana, więc jest bananana.
726:  Bananana.
727:  Bananana.
729:  Manamana.
732:  Bananana.
735:  Widzicie?
736:  Wszystko się zgadza.
737:  Everything is connected.
738:  Everything is connected.
739:  Wszystko, wszystko jest ze wszystkim połączone.
741:  Lecimy dalej, moi drodzy.
742:  Jesteśmy naszym bananomantą w samym środku niedoli.
747:  Pola niedoli, otóż są to.
749:  Osiągnęliśmy je skręciwszy za bramą.
753:  Kto by przypuszczał, że trzeba było skręcić za bramą, która oczywiście jest niezaznaczona na mapie, bo po co?
759:  Więc tutaj jest taka duża brama i trzeba było przejść o prawdopodobie w tych okolicach.
763:  I tu, tu, tu, tu, tu, tu, tu trzeba było potuptać.
766:  Krzysztof Makatar, oj straszny, tak, i mówiłem wam, że będę mieć zatkany nos.
770:  Będzie mi jęków słuchać, tak będzie.
773:  Co ty masz na głowie?
775:  To jest klasyczny strój bananomantów.
780:  Więc moi drodzy, zrobiłem pewne usprawnienia buildu jeszcze wczoraj, bo tak jeszcze grałem po skończeniu streamu.
787:  Mianowicie, założyłem odłamek Aleksandra, który zwiększa siłę ataku umiejętności.
793:  Zostawiłem dziedzictwo astrologzki.
796:  No i to są wszystkie modyfikacje, które...
801:  które poczyniłem.
806:  Więc tak.
808:  Jakie wczoraj?
808:  Wczoraj.
810:  Wczoraj było przed tym, jak poszedłem spać, a dzisiaj było po tym, jak się obudziłem.
814:  Oczywista sprawa.
817:  No, więc... Więc tutaj nie byliśmy, nie walczyliśmy z tym cholerstwem.
826:  Ciężko się połapać w tych zmianach buildu, ja wiem.
830:  Były bardzo znaczące.
832:  Kilka godzin spania i dalsze giro szkolenia.
834:  Oczywiście!
835:  Ja mówiłem, że ja wezmę urlop.
838:  Ja wziąłem specjalnie urlop dzisiaj w robocie.
843:  Nie żebym jakoś miał dużo rzeczy w robocie, bo i tak jest sesja, ale na wszelki wypadek, ponieważ wiedziałem, że to będzie weekend Elden Ringowy.
853:  Czy pokażesz statystyki postaci?
854:  Kamerka zasłania.
858:  Status.
862:  Przestała zasłaniać.
864:  Te statystyki na pomarańczowo, na których Wam macham teraz, to jest coś, co musimy zwiększać w dodatku, wiecie, więc trzeba teraz szukać popiołów.
872:  Musimy się nażreć popiołu i wtedy będzie dobrze.
876:  Jestem zielony, jeżeli chodzi o sosla.
877:  I bardzo prosta sprawa, ocelotka.
880:  Strzelasz do wszystkiego, co chce cię zabić.
882:  Koniec.
883:  A, i trzeba unikać ataków tak długo, aż się nauczysz.
889:  Tyle.
891:  I żeby wygrać z bossem, trzeba mu zbić HP do końca.
895:  To ważne.
899:  Więc myślałem, że ci przeciwnicy będą straszniejsi.
904:  Ale nie są.
905:  To jest tak, że niedomagiamnik spokonuje wszystkich bez żadnego problemu, którzy nie są bossami.
910:  Jak są bossowie, to zaczyna być problem.
913:  Swoją drogą, a propos bossa, Dominik opowiedział mi na Pyrkonie, Dominik Boss, że też miał problem z zasilaniem kamery Sony.
926:  W związku z powyższym kupił taką specjalną ładowarkę, która ma cztery baterie.
933:  Być może pamiętacie.
935:  To było zanim odkryłem, że normalne ładowarki na USB działają do kamer Sony.
939:  Kupiłem taką za 2,5 tysiąca złotych i nie jestem ostatnią osobą, która się złapała na chłód marketingowy Sony.
948:  Biedny Dominik.
949:  Dominik został zawizowany przez Sony.
952:  Taka prawda.
954:  Nie poleciłem właśnie, znaczy ja poleciłem alternatywę, ale nie polecałem tej za 2,5 tysiąca.
959:  Ja nie jestem, ja nie jestem złym kolegą, moi drodzy.
962:  Nie robi się takich rzeczy.
964:  Krzysztofie, odłamek Aleksandra nie działa na czary, pisze Damian Kajm.
969:  Jesteś absolutnie pewien, że nie działa na czary?
973:  Możemy przeprowadzić test ludologiczny, moi drodzy, i sprawdzimy na jakimś przeciwniku.
978:  Sprawdzimy bez odłamku Aleksandra i potem sprawdzimy z odłamkiem Aleksandra.
984:  Więc tutaj jest jakiś przeciwnik, który jest relatywnie niedaleko, tak?
987:  Użyjemy komety, bo to jest najprostsze, z odłamkiem Aleksandra.
994:  1050.
994:  Zatrzyma się.
1007:  A, 1050.
1008:  Akurat mamy tutaj miejsce łaski.
1011:  Zdejmiemy.
1012:  O Boże, zapomniałem o liczniku.
1018:  A czekajcie, nie!
1025:  Ja po prostu nie zmieniłem sceny na właściwą.
1029:  Dobra, dobra, ile było śmierci wczoraj, czat?
1032:  Zobowiązuje was, ile było śmierci?
1037:  Teraz potrzebuję... Teraz potrzebuję waszej pamięci.
1045:  2137.
1045:  Bardzo zabawne.
1048:  A ja tymczasem... Ja tymczasem zrobię odłamek Aleksandra.
1052:  120.
1052:  Jak ja zobaczę dwie te same liczby, albo trzy te same liczby, to wtedy spoko.
1059:  69.
1060:  69 jest dobre, w razie czego.
1063:  410 na pewno, nie?
1064:  Bo to jest z poprzedniego Solslike'a.
1066:  Muszę zresetować.
1076:  Teraz klikam.
1081:  Damy 69 memiczne.
1086:  Dobrze.
1088:  W śmierci były wszystkie, aha.
1092:  Dobra, i bez łodołamku Aleksandra teraz, tak?
1094:  Sprawdzamy.
1097:  W tej czapce wyglądasz jak nawigator z Gildii Kosmicznej.
1099:  Nie, nie, nie, Wiktor Winter, masz literówkę.
1102:  Z Gildii Komicznej.
1105:  Ehehehe.
1107:  Szkoda, że nie można się przybliżyć, ale można zrobić coś innego, co jest równie zabawne.
1118:  Nie wiem, jak jamnik znajdę, jak się kłania, to jest zabawnie.
1119:  Dobra, 1050 było, tak?
1122:  Ile było śmierci?
1123:  Tak.
1134:  Dumam, jak Aleksandra nie działa na czary.
1137:  A wiecie, co jest najsmutniejsze?
1139:  Najsmutniejsze jest to... Znacząco zwiększa cechy, ale także otrzymywane obrażenia.
1147:  Najsmutniejsze jest to, że nie mam jednego amuletu.
1149:  I nie mogę mieć, ponieważ nie zrobiłem tego questu.
1152:  I to jest zasmucające.
1154:  Zwiększa siłę ataku.
1156:  Trafienia krytyczne przywo... Nie wiem, co możemy wybrać.
1160:  Nie mam żadnych magicznych, sensownych rzeczy.
1163:  To jest smutne.
1164:  Chciałbym bardzo, żeby tutaj były jakieś talizmany dla magów w tej grze.
1167:  Bardzo, bardzo pięknie proszę, dobrze?
1170:  Pięknie proszę.
1171:  Dobra, zróbmy też znaczące zwiększenie cech.
1174:  Bolesna, Pieczyń, Mariki albo... Możemy też Amulet Radagona, będzie skracał czas rzucania zaklęć i elo.
1183:  I znowu będziesz zmieniał bilety.
1184:  Złetwo połapałem się ze zmian poprzednich.
1186:  No ja wiem, ja wiem.
1187:  Dobra, jaki jest plan, moi drodzy?
1189:  Plan jest taki, to jest to, co kocham w Soulslike'ach, że ja widzę, gdzie mam iść, nie?
1193:  Są fajne rzeczy na horyzoncie.
1199:  Dokładnej liczby śmierci nie jest w sposób określić, ponieważ czat na koniec nie liczył.
1203:  E, e, e. Good.
1206:  Bardzo dobrze.
1208:  Kto jest żenującym ptakiem?
1211:  Otóż ten.
1216:  Krzysztof, co z twoim głosem?
1217:  No, mój głos jest w stanie permanentnego zakatarzenia, dlatego też nie mogę robić za bardzo filmów.
1224:  Powiedział Krzysztof, który tak naprawdę wyłącznie gra w Elden Ringa.
1228:  Dosłownie pisze, że wymiękł wczoraj o 3.
1232:  No to jest taka godziwa godzina do wymiękania.
1238:  Kometa Shura?
1240:  Nie, nie będzie potrzebna.
1243:  Pa, pa!
1247:  Coś z niego wypadło.
1248:  Sznurek.
1249:  Po co mi sznurek?
1251:  Obudziłem się o 5.30, byłem w szoku, że strumyk nadal trwa przy Leprei.
1255:  Wiesz co, ja też, ale tak wsiąkłem!
1258:  Jak ja wsiąkłem!
1259:  Wspaniałe to było.
1263:  Zobaczmy, jak Mistrzostwo Loretspy z nim poradzi.
1271:  Kiepsko.
1272:  Zrób DLC.
1274:  Daj przeciwniku posługując się inkantacjami krwi.
1276:  Nie daj nowych inkantacji krwi.
1278:  Kocham From Software, pisze Adam Orzeł.
1281:  To co, w tej grze są w ogóle jakieś inkantacje krwi?
1285:  Nawet nie wiedziałem.
1288:  Szunek jest do robienia garnków do rzucania, które można naciskać za siebie, wyjaśnia Tarael.
1292:  O Boże, drogi.
1293:  To brzmi jak największa nuda.
1296:  Jan Guzek odnawia wsparcie, za co serdecznie dziękuję.
1299:  Czy ty pamiętasz wymiary własnego biurka?
1301:  Jak minie własne, podnoszone?
1303:  160 na 90 wydaje mi się strasznym potworem.
1305:  No ja taki mam.
1311:  Więc 160 szerokości to jest akurat tyle, żeby pomieścić wszystkie jamniki, klawiaturę, żeby było też estetycznie, wiecie, bo to o to chodzi, żeby biurko było estetyczne, żeby nie było zagracone, tylko żeby było minimalistyczne.
1323:  Ale możecie oprócz tego sobie dać po jednej i po drugiej stronie rzeczy, więc ja na wyciągnięcie dwóch rąk mam.
1329:  No i jeżeli chodzi o głębokość natomiast biurka, to też jest ważne, no bo w ten sposób można mieć takie poczucie, po pierwsze przestrzeni, a po drugie ekran jest do odpowiedniej odległości od wzroku.
1341:  Blatu nigdy za mało, nie inaczej.
1345:  Nauczyć typiarza to chodzi i na parze.
1357:  Okej, okej, zaraz tego pożałuję.
1359:  To ja może, to ja może wrócę do Księżycowego Ostrza.
1363:  To ja może wrócę do... Księżycowego Ostrza.
1370:  Jak śmiesz używać zaklęć wobec mnie?
1380:  Tylko ja mogę być tutaj magiem.
1384:  Ktoś jeszcze?
1386:  Tak.
1389:  To był cmentarz dla zwierzaków.
1392:  Nie wiem, czemu po prostu widać, że grałeś od północy do piątej przed cyklu dni.
1395:  To jest dziwne, co mówisz, ponieważ ja zwykle pracuję w takich godzinach, wiesz, i tego nie widać wtedy, haha.
1402:  Nie rozmawiamy, Just Whitely, o Genshinie.
1405:  Ja w tym momencie nawet nie robię daily.
1407:  Kompletnie.
1409:  Tylko Elden Ring, nic innego się nie liczy.
1412:  Czy tu jest jakiś przeciwnik?
1414:  Powiedział strachliwie Krzysztof.
1417:  Nie wiem fenomenu tej gry.
1419:  Nie jest dla mnie, choć kupiłem ją na twoje polecenie, pisze ojca Znosław.
1423:  Co ci nie pasuje?
1425:  Wyjaśnijmy.
1427:  Nie no, tak serio zupełnie, to wiecie, no... Są różnego rodzaju RPGi.
1434:  To jest Action RPG, nie?
1436:  Więc jeżeli ktoś woli RPGa, gdzie jest sporo fabuły,
1442:  gdzie jest sporo wyborów moralnych i to dla niego definiuje RPG-kowość, co ma dużo sensu, to całkowicie rozumiem.
1452:  Ale jeżeli ktoś szuka w RPG-u wyzwania, o, jeżeli ktoś szuka w RPG-u emocji, o, jeżeli ktoś szuka w RPG-u jakichś sytuacji, które się ładnie nazywa liminalnymi, krańcowymi, o,
1472:  Widzicie, i to jest styl walki, który ja lubię, to znaczy... Ataki, które są telegrafowane i dają wam przynajmniej tę sekundę na zareagowanie.
1482:  Przed tobą przedmiot.
1483:  Łuk, może spróbuj tego?
1486:  Jaki przedmiot?
1488:  Jaki przedmiot?
1491:  Aaa... Jakieś człapanie słyszę.
1501:  A gdyby zrobić tak?
1511:  Kto potrzebuje łuk?
1514:  Kto potrzebuje łuku, jak jest potężnym magiem?
1519:  Czy jest szansa na Warhammera w World of Warcraft Trader?
1521:  W tym momencie zawieszam wszystkie gry.
1523:  Nie no, w Warhammera będziemy grali w Space Marine 2.
1527:  Może dzisiaj nawet obejrzymy sobie, moi drodzy, zróbmy to może, obejrzyjmy sobie trailer fabularny, co?
1536:  Znaczy gameplayowy, pardon.
1540:  Trailer gameplayowy Warhammera to jest coś, co już wczoraj wyszło i ludzie mnie namawiali, żebym to uczynił.
1546:  Trailer jest piękny, pisze Sardukar.
1547:  Znaczy, ja oświadczam, tak NerdRotic oświadczył, że zmieni swój kanał w miejsce, w którym się będzie wyłącznie szkalowało Rings of Power i faktycznie to zrobił.
1558:  Jeżeli Władca Pierścieni, jego ukochany, zostanie zmasakrowany i tak się stało, ja to samo przyrzekam odnośnie do Space Marine 2.
1566:  Dlaczego to zawsze musi być urwisko?
1568:  Nie wiem.
1570:  Więc jeżeli Space Marine 2 zostanie zepsuta i jeżeli tam będą mikrotransakcje, które będą psuły gameplay, to ja, jak nie robię recenzji gier wideo na tym kanale, to zrobię rant na ten temat.
1582:  I uczynię z tego asąd do pojazdu po całym gamedevier stosującym tego rodzaju praktyki.
1588:  Niecne praktyki Czarego Baryki.
1591:  Fisiek pisze, że od tygodnia walczę ze zmuszeniem się do stosu, bo klimat mnie kupuje, jestem za głupi na tę grę.
1595:  Eee, Fisiek, nie mów tak.
1599:  Ja cię bardzo proszę.
1600:  Raczej to gra może być za głupia.
1604:  Poza tym, pamiętajcie, jeżeli niedomagiamniks był w stanie pokonać Eldenbeast,
1611:  Znaczy, nie oszukujmy się.
1613:  Jeżeli ktoś taki zaatakowałby was, zwinęlibyście się ze śmiechu.
1618:  Więc jeżeli niedomagiamnik zdoła pokonać Eldenbeast, każdy pokona.
1621:  Corvux Corax, dzięki za wsparcie od 8 miesięcy.
1623:  Obejrzymy Warhamza, please.
1624:  Obejrzymy.
1625:  Dominiku, dziękuję za wsparcie od 27 miesięcy.
1627:  Pośród wszechobecnej piłko-kopaczoży tutaj oddech.
1630:  Oj tak, tutaj nie będzie tego.
1632:  Moje obecne top 5 gier, co nie jest z Warhammera.
1635:  Nie robię topek, ale mogę Ci powiedzieć tak.
1637:  Bardzo lubię Warhammera Mechanicus.
1638:  Uważam, że jeżeli ktoś się chce wciągnąć w czterdziestkę, to Warhammera Mechanicus jest chyba najlepszym gateway dragiem w tym momencie.
1645:  Czyli takim sposobem na wejście do tego świata.
1648:  Chaos Gate z kolei o wiele gorszy.
1650:  I moim zdaniem to był straszny flop.
1655:  Space Marine 1 już się zestarzał, ale Dawn of War 1 może jest stary, ale to jest strategia i strategie się tak nie starzeją, więc wiecie.
1663:  Spoko, można.
1665:  I co jeszcze mamy z Warhammca?
1668:  Jeszcze coś było.
1669:  Na pewno jeszcze coś było.
1670:  No Rogue Trader jest bardzo polecany też, ale nie grałem.
1672:  Jak się czuje?
1673:  No chrypie tylko.
1674:  I wiesz, mam straszny katar.
1678:  a Wish of Souls był poziom trudności fabuły jak w Star Warsach.
1680:  Tylko, że wiesz, ja ci to wyjaśnię, spróbuję to wyjaśnić w każdym razie.
1685:  Gdyby w tej grze wprowadzić poziom trudności łatwy, to mamy problem z tak zwaną pętlą rozgrywki.
1693:  Pętla rozgrywki polega na tym, że jest to taka sekwencja powtarzalnych części gameplayu w ramach ludotopii, czyli świata gry.
1701:  Polega to na tym, że
1703:  Możesz sobie wymienić takie najbardziej powtarzające się rzeczy i weźmy sobie, każdy kojarzy Hack'n'Slasha, tak?
1710:  Jest hub, później eksplorujesz, sieczesz potwory, lootujesz, wracasz do hubu.
1716:  Sieczesz potwory, lootujesz, wracasz do hubu.
1718:  Ewentualnie jeszcze możemy do tej pętli rozgrywki dodać crafting w hubie.
1721:  Więc zauważ, że jest cały czas powtarzalna sekwencja, pętla.
1724:  W RPGach, takich z otwartym światem i tak dalej,
1727:  tych elementów byłoby tak strasznie dużo, żebyś miał kilkanaście albo kilkadziesiąt części pętli rozgrywki, one byłyby różne w zależności od gracza.
1734:  A w Souls-like'u umieranie jest częścią tej pętli rozgrywki, więc jak zmienisz mindset i przestaniesz myśleć, że umieranie to jest coś złego, jak potraktujesz to, że tak, potrzebuję pętli 45, 70, 80, żeby zrozumieć move set bossa, to w ten sposób inaczej zaczynasz patrzeć troszeczkę na Souls-like i to jest taka moja rada, więc
1755:  Gdyby wyeliminować ten poziom trudności, to nie byłoby tak częstych śmierci w pętli rozgrywki, skutkiem czego nie moglibyśmy zdefiniować tej gry przez wzgląd na jej wysoki poziom trudności.
1767:  To jest bardzo ciekawe, bo zauważcie, że taka sama pętla rozgrywki była w dawnych grach platformowych.
1772:  Dlatego ludzie czasem czują, że Hollow Knight jest Souls-like, bo czują, że jest podobna rzecz, nie?
1779:  Ale...
1780:  niewłaściwie podchodzą do gatunku.
1782:  Znaczy, gatunek Sosnaku ma jeszcze inne elementy, których nie ma na przykład Hollow Knight, ale jedno i drugie ma właśnie w pętli rozgrywki umieranie częste.
1791:  O, znów kimś, że Mechanicus odrzucił?
1793:  Ło Jezu, żartujesz?
1795:  Brak nadalanych dialogów?
1796:  No tak, no bo to wiesz...
1798:  Sam krytykuję brak dialogów, sam krytykuję, byłbym nieuczciwy, gdybym nie zrozumiał cię, ale powiem tak, że bardzo sprytnie rozwiązali jakoś ten problem, to znaczy tam mamy takie dziwne, robotyczne dźwięki wydawane przez członków ad mechu, co ma pewien sens.
1815:  Dobra.
1816:  Chyba tutaj... Chyba tutaj już na wszystko mamy, więc idziemy naprzód, moi drodzy.
1821:  W to miejsce.
1822:  I tu jest jeszcze jakiś las.
1823:  Ja to sobie zaznaczę, żebyśmy do tego lasu poszli.
1826:  Ciekawe jestem, czy na tę wyspę można się jakoś udać, ale byłoby super.
1828:  W ogóle ona wygląda jak Skellige.
1832:  Proszę o wsparcie od niedomagania.
1834:  W środę bronię inżynierkę cykutniku.
1836:  Nie mogę doczekać tortu, pisze cykutnik.
1838:  Jakiś coś zamówiłem w nagrodę, ale nauka z całych studiów boli.
1840:  A, czyli Ciebie nie martwi obrona, tylko Ciebie martwi bardziej egzamin dyplomowy.
1845:  No tak, to ja Cię rozumiem.
1848:  Co do egzaminu dyplomowego mam jedną radę.
1851:  Skrzyknijcie się jako studenci i miejcie po prostu ze sobą odpowiedzi na pytania.
1859:  Jako cały rok.
1860:  I uczcie się z nich wspólnie.
1863:  No naprawdę nie widzę innego rozwiązania.
1865:  Wydaje mi się to najlepsze.
1869:  No co jest?
1869:  Czemu nie chcesz kastować?
1870:  Głupi niedomagu.
1872:  Dobrze.
1872:  Te pieski są straszne, bo one zarażają szkarłatną zgnijizną.
1876:  Oj, co?
1877:  Znostaw jeszcze pisze, że w Eldenningu mapa go przeraża.
1879:  Jest za duża i gubie się w niej.
1881:  Mam stwierdzone ADHD i nie lubię błądzić.
1883:  Bardzo mnie to wkurza.
1884:  Jest taki sposób na to.
1886:  Ja to robię często.
1887:  To znaczy...
1888:  Zoomujesz sobie, możesz sobie nawet do Paint'a to wrzucić i na telefonie wyświetlić, whatever, i weź sobie taki mały fragment mapy i potraktuj to jako swoje zadanie, że ten mały fragment eksplorujesz.
1900:  Jak zeksplorujesz go, to przechodzisz do następnego i do następnego i do następnego.
1903:  W ten sposób można troszeczkę nad tym zapanować.
1909:  Ja tak zwykle robię, jak gram w Gęzina.
1912:  Moja tam mapa strasznie przytłacza.
1918:  Gram na klejaturze, zawsze fisiek, zawsze, zawsze.
1920:  Wszystkie soulslajki ograne na klejaturze.
1923:  Trochę, trochę też już z przekory, ponieważ ludzie twierdzili, że to jest niemożliwe.
1927:  No i widzicie, jest możliwe.
1931:  Czuje się celebrytą, pisze na nul.
1933:  Wiesz co, nie, ja zawsze uważałem, że celebryta jest znany z tego, że jest znany, a pochlebiam sobie, że jestem znany z paru innych rzeczy.
1946:  Tak.
1950:  Pies!
1951:  Niech będzie chwała!
1955:  Pies!
1957:  Pies!
1963:  Okej.
1964:  Ja nie mogę zaryzykować, że nikt tego nie napisze.
1982:  Niestety pies jest pod przeciwnikiem.
1988:  Czy to pies?
1991:  Stwórz tę wiadomość.
1994:  Wiecie, co zrobić.
1995:  Jak tutaj przybędziecie, wiecie, co zrobić.
1999:  Pod koniec streama wrócę i sprawdzę, ile jest polubień.
2005:  Czy grałem w Cupheada?
2006:  Jeszcze nie, ale wiecie, co kusi, żeby na live'ach ograć?
2017:  Pamiętajcie, że o 21.37 idziemy do Żółwia.
2024:  To ważne.
2024:  O!
2025:  Wiecie, co to jest?
2027:  To jest potęga, to jest moc, to jest siła, to jest radość.
2032:  Prochy Trzcigodnego Ducha to jest właśnie to, za pośrednictwem czego levelujecie, moi drodzy.
2036:  Ooo, Eldeński Krąg, niech będzie chwała!
2042:  Wiecie dlaczego jest M teraz na pochwalenie wiadomości?
2045:  Ponieważ FromSoft być może zmienił możliwość bindowania mapy pod M, ale tak się składa, że ten sam przycisk wywołuje mapę i ten sam przycisk wywołuje również pochwalenie wiadomości.
2060:  Czyli wiecie, FromSoft, gdyby powiedzieć,
2064:  Hidetaka Miyazakiemu.
2066:  Hidetaka, słuchaj, jakbyś mógł chwycić się za lewe i prawe ucho, no to wiecie, każdy by zrobił tak.
2076:  Hidetaka Miyazaki zrobi tak.
2079:  Więc to jest ta różnica.
2083:  Za to go kochamy, ale nie zmienia to faktu, że to jest strasznie kretyńskie.
2094:  Co tutaj jest?
2095:  Powiedzcie mi, że tu jest coś więcej.
2096:  Okej, nie.
2099:  No to torrent, no to torrent.
2101:  Torrent Tides of Numenera.
2105:  Pozdrowienia dla fanów gry.
2107:  Cekutnik pisze, że na seminarium prowadzący w ramach zaliczenia da nam prezentowanie opracowań?
2112:  A w węższym gronie teraz sobie jeszcze raz opracowywaliśmy.
2114:  A, okej, opracowań egzaminacyjnych.
2116:  Ej, to sensowny promotor.
2118:  Tylko, że trochę szkoda czasu na seminarium, nie?
2123:  Ja jednak na seminariach cały czas pracowałem nad tekstami i wiecie co?
2127:  Tak szczerze, ja sobie nie wyobrażam, jakby to się skończyło inaczej.
2133:  Myśmy się tyle wspólnie nauczyli, jeżeli chodzi o pisanie tekstów,
2137:  Ja się znowu nauczyłem od studentów w tym roku, w jaki sposób redagować teksty, bo zawsze jest jakiś challenge nowy.
2145:  Powiem wam, że jestem strasznie smutny, bo ludzie mi już coraz częściej mówią, że bardzo by się chcieli nauczyć pisać, a nie mają kiedy i gdzie.
2152:  I coraz bardziej widać rozdziew między tym poziomem, który jest wymagany na pracach dyplomowych, na seminariach dyplomowych, pardon, w odniesieniu do prac dyplomowych,
2160:  a tym, czego uczy maturka.
2161:  Znaczy, jest coraz gorzej.
2163:  Niestety.
2164:  Zwłaszcza, jeżeli chodzi o źródła.
2165:  Zresztą, zbawiło mnie to, bo autentycznie jakiś nauczyciel się ze mną pokłócił w komentarzach i wiecie, co on mi powiedział?
2173:  Nie, nie powiedział tego.
2174:  To są pioruny i one mnie niepokoją.
2176:  Powiedział mi, że mam fetysz źródeł.
2183:  Witamy w nauce.
2187:  Znaczy ja rozumiem, że nie wszyscy mają fetę źródeł, co pokazują decyzje Instytutu Socjologii PAN na przykład, ale no cóż.
2194:  Czy to jest dosłownie wielka krowa?
2199:  Czy to jest krowa?
2205:  To mnie atakuje?
2208:  Dlaczego mnie atakuje krowa?
2213:  Gdzie ja jestem?
2215:  Co się tutaj dzieje?
2217:  Damianie Kejmie, dzięki Ci serdecznie za trybut.
2219:  Krzysztofie, czy sukces kanału, jakkolwiek tu na Twoją pracę na około, czy postrzeganie przez środowisko?
2223:  Nie wiem, czy to jest sukces, moi drodzy.
2227:  Nie lubię o tym tak myśleć.
2228:  Po prostu sobie działam spokojnie.
2231:  Rozwija się.
2232:  Mogę tylko powiedzieć jedno.
2233:  To znaczy, że moja sumaryczna obecność w mediach społecznościowych na pewno bardzo pomaga w cytowaniach.
2242:  To znaczy obserwuję wzrost cytowań moich prac, co jest bardzo proste, po prostu więcej ludzi się dowiaduje, że istnieje, w związku z powyższym więcej ludzi wyszukuje moje prace naukowe.
2250:  I w tym momencie, jak zaczynałem kanał, miałem jakoś, nie wiem, koło 200 cytowań w Google Scholar, a... Nie, nie, jak zaczynałem?
2256:  W zeszłym roku, przepraszam, miałem koło 230, teraz mam jakieś 350 czy coś takiego.
2261:  To jest bardzo duży wzrost.
2263:  W nauce nie ma takich wzrostów, w humanistyce przynajmniej.
2266:  W humanistyce cytowania są raczej wprost proporcjonalne do wieku badacza.
2271:  Tak.
2273:  Ojej, teraz jest na hita ten ptaszor, super.
2279:  Najlepsze źródła to stary, mówię ci, że absolutnie.
2282:  No i widzicie, to jest to, co ja kocham w Eldenku, jak odświeża się mana za zabijanie przeciwników, a zauważyłem, że w niektórych lokacjach tak nie ma.
2290:  W niektórych lokacjach, zwłaszcza zamkniętych, ta mechanika jest zerowana.
2295:  Nie wiem, czy mi się to podoba tak do końca.
2298:  No ale pewnie to jest jakaś zachęta do tego, żeby w bardziej taki modularny sposób projektować lokacje zamknięte.
