🔴 Baśń o dwóch Rannich, co ukradły księżyc — ELDEN RING: SHADOW OF THE ERDTREE Livestream #5
🔗 https://www.youtube.com/watch?v=K2IKluPDI78

144:  Dzięki za uwagę!
1092:  To jest problem mechaniczny tej gry, to nie jest problem z bossem, to nie jest problem z HP.
1097:  Problem z HP nakłada się na ten problem i... I wielokrotnia go.
1109:  Jakie są kryteria oceniania na rozmowach kwalifikacyjnych?
1111:  Oceniają wygląd, sposób mówienia, nie zdałam, a jestem najbardziej wygadana osobą na świecie, nie rozumiem.
1114:  Zapytaj ich o to.
1116:  Ja to zrobiłem po rozmowie kwalifikacyjnej, której mnie uwalili.
1118:  Zapytałem, wg jakich kryteriów mnie ocenialiście, kogo poszukiwaliście, co zrobiłem nie tak, jak mogę poprawić się na następny raz.
1127:  Jeżeli Ci nie dadzą oceny opisowej, właśnie takiej, w sumowanej formie kompetentnego feedbacku, to wiesz co znaczy?
1133:  Oznacza to, że in the first place nie warto było się zatrudniać w tej firmie.
1144:  Może sześć razy, może sześć razy, a nie, przepraszam, zapomniałem, że z konia mam inny zasięg.
1155:  Jesus Christ, naprawdę.
1159:  Spokojnie, dopiero się zaczął stream, ale problemy, które trafią w ten dodatek, się nie skończyły.
1168:  Geez.
1170:  Spieprzaj mi z tymi runami, bezużyteczne są po prostu.
1173:  Po co mi są te runy w tym dodatku?
1174:  Przestanę się w ogóle nimi przejmować, może to jest... może to jest dobre rozwiązanie w takiej sytuacji.
1181:  Drugie dobre rozwiązanie?
1183:  Spamić czymkolwiek.
1184:  Unik i spamić unikami.
1188:  Zaklęcia?
1189:  Spamić zaklęciami.
1191:  Nieważna faktyka, nieważny moveset.
1195:  Nieważne.
1196:  Przeciwnik będzie tym spamił, to ty też musisz spamić.
1200:  Widzicie?
1208:  Ale, ale, wow, ale taktyka.
1211:  Musisz spamić, będzie dobrze.
1215:  po to, żeby ulepszać bronie i sam one są runy.
1217:  Do ulepszenia broni potrzebujesz max jakieś, nie wiem, 20 tysięcy.
1222:  To masz z jednego mobka.
1223:  Dalej nie mam wyjaśnienia, dlaczego tutaj są runy wypadające z bossów w takim razie.
1228:  Jeżeli ten dodatek miał nas zachęcić do alternatywnego systemu levelowania, powinien być, no nie zgadniecie, alternatywny system levelowania po zabijaniu bossów.
1240:  I tu jest ten talisman Błogosławionej Błękitnej Rosy, po którego przybyłem.
1244:  I on jest podobno dobry do dungeonów, moi drodzy.
1246:  To znaczy ten... Ten talisman mianowicie umożliwia nam... Oczywiście, okej, jest.
1253:  Dobra.
1254:  Powoli przywraca punkty skupienia.
1256:  Czyli on regeneruje nam punkty skupienia non-stop, więc będziemy go wyposażać sobie w dungeonach, tam gdzie był problem z maną.
1261:  I faktycznie to mi się podoba akurat, ponieważ to problem z maną rozwiązuje.
1266:  W jakiś tam sposób.
1268:  I to było dosłownie tyle?
1269:  A nie, popatrzcie.
1275:  A nie, to jest po prostu chyba przejście do szopy artysty, tak mi się przynajmniej zdaje.
1280:  Prawdopodobnie niepojęta osoba, zbliża się skakanie.
1284:  Widziałem gameplaya z Mongolda z ostatniego bossa, generalnie boss spamuje atakami na okrągło, niespodzianka.
1291:  Czy grałem w Gęślinie na streamie?
1292:  Tak, jest cała playka na kanale, możesz obczaić.
1295:  Nefuzo.
1298:  Lubię sobie wracać do Gęślina.
1301:  Wbrew pozorom, na niskich poziomach walka w Gęślinie potrafi mieć sporo wspólnego z walką w Solsach.
1311:  Sporo wspólnego nie oznacza, że jest identyczna, ale oznacza, że trzeba kombinować, trzeba bardzo dobrze obczajać movesety, jeżeli oczywiście chce mieć się wyzwanie, no bo można sobie wyzwanie całkowicie strywializować tam.
1321:  Tylko, że problem z Gęślinem polega na tym, że tam trywializujecie wyzwanie, rzucając w to pieniędzmi.
1325:  No nie ma dobrego rozwiązania.
1328:  Ale tak, chyba eksploracja i walka to jest to główny powód, dla którego grałem w tamtą grę.
1334:  I uważam, że od Gęślina Impactu też się można czegoś nauczyć.
1337:  Na przykład można się nauczyć kompetentnego projektowania mapy, można się nauczyć fajnego systemu magii łączącego żywioły ze sobą, absolutnie bardzo ciekawy system.
1346:  Czego jeszcze się można od Gęślina nauczyć?
1349:  i przemyślanej eksploracji, że rzeczywiście jakieś tam są zagadki w terenie, które sprawiają, że chętniej zwiedzacie sobie, są bardzo różnorodne tryby eksploracji.
1358:  Wyobraźcie sobie na przykład, że w Eldenku w dodatku jest dodawany obszar podwodny, który sobie zwiedzamy nurkując i są inne w ogóle, inny typ bossów, inne ataki i inne taktyki.
1368:  Wiesz, to byłaby rewelacja absolutna.
1371:  Więc tak, z każdej gry się można, od każdej gry się można czegoś nauczyć.
1374:  Na przykład z Legend of Zelda można się nauczyć wykorzystywania przewagi terenie.
1378:  Hehehehehe.
1380:  Lost of the Fallen, co złego w tej grze?
1381:  Wszystko to, co tutaj, z tą różnicą, że jest gorzej wykonana pod względem technicznym.
1389:  Oj tak, teraz się zemszczę za spamień.
1392:  Ooo!
1393:  Ktoś tu używa magii!
1398:  Proszę, proszę.
1401:  Żałuję nie uświadczyć Las Bossa w oryginalnej wersji, ale co masz na myśli Jogol, że nie uświadczę w oryginalnej wersji?
1406:  Nie rozumiem.
1409:  Czemu nie uświadczę w oryginalnej wersji?
1411:  Myślisz, że będzie spatchowane do tej pory?
1414:  Czekajcie, w ogóle dlaczego mam czat, który jest strasznie wielki?
1417:  Nie chcę mieć wielkiego czatu.
1428:  A przed patchem w sensie.
1430:  A tutaj już poszedł patch na ostatniego bossa?
1434:  A, naprawdę?
1437:  Nie wiedziałem!
1438:  No widzę, że jakieś nowe zaklęta ma.
1445:  Dokonamy go kometą teraz.
1471:  Napalony na godowo Ragnarok na pecety?
1472:  Łooo, jak!
1474:  I to jak.
1475:  W ogóle wrzesień gamingowy się zapowiada bardzo dobrze, moi drodzy, tylko żebym ja nie powiedział tego w złą godzinę, dobra?
1481:  Okej, idziemy do tego miejsca.
1483:  Zwiedzamy.
1486:  Myślę, że dzisiaj wreszcie o 21.37 zdążymy do żółwiowego papieża, chociaż pytanie, czy ja będę grał do tej pory.
1493:  Mam nadzieję, że tak.
1495:  Michu Brc pyta, jak sobie pokonać strach przed igłą i pobieraniem krwi.
1499:  Mam badania do medycyny pracy i strach paraliżuje.
1501:  Moja strategia jest taka, że myślę o...
1507:  najbardziej rozerotyzowanych momentach mojego życia w sytuacjach medycznych, pobierania krwi albo wyrywania zębów, działa.
1518:  Ewentualnie można najdzikszą fantazję sobie uruchomić wtedy.
1522:  Działa.
1524:  Naprawdę działa.
1526:  Trzeba krótko mówiąc stymulować inny obszar mózgu.
1530:  Przysięgam, zawsze to robię.
1534:  Trzeba tylko pilnować, żeby nie przesadzić w drugą stronę, wiecie, o czym mówię.
1538:  Ooo... Klucz Farosa.
1542:  Dawno tego nie było.
1546:  Zużyto, klucz nasyconego miecza.
1547:  Ciekawy jestem, gdzie prowadzi ten portal, portal.
1551:  Przed tobą talizman.
1552:  No shit, Sherlock.
1555:  Idziemy, nie?
1563:  Pobieranie krwi trzeba traktować jak quest i nagrodzić się po.
1565:  Wylałem wiele litrów krwi i zawsze nie przepadam, pisze Oskar Draus.
1569:  Widzicie?
1571:  Nie jesteście sami.
1574:  Jesteśmy w oazie.
1577:  W oazie jest pięknie.
1579:  Popatrzcie, jak tu ślicznie.
1581:  Jesteśmy w miejscu, które jest dalej.
1589:  O co zakład, że tu będzie boss.
1596:  Na razie nie ma bossa.
1613:  Co? !
1641:  Jeszcze nie Apache'a poprawił Jogler, okej.
1646:  Gdzie to było?
1648:  Okej, tam.
1655:  Oczywiście stały problem tego dodatku.
1657:  Zauważycie jakiś atak.
1660:  Nie możecie rolować, bo on jest za szybki.
1665:  Rolowanie jest dla słabych.
1674:  Trzeba zrobić morfologię, pisze Froget.
1676:  W ogóle, moi drodzy, badajcie się regularnie, ja was bardzo proszę.
1681:  Czuję się do tego podwójnie zobowiązany, biorąc pod uwagę fakt, że wiem dobrze, że mamy z dużą częścią ludzi tutaj na czacie synergię, jeżeli chodzi o sposób spędzania wolnego czasu, a jak człowiek siedzi długo przed kompem, to zapomina o swoim zdrówku.
1697:  Taka fantazja DLC, która pozwala w Eldenie wybierać czary przyciskami 1, 2, 3, 4, do tego konfigurowalne klawisze.
1703:  Powiem lepiej, Piotrze, dziękując Ci niezmiernie za trybut.
1706:  Wciskasz Q i pojawia się okno wyboru czarów i... Zatrzymuje się czas.
1716:  Powiem Wam więcej.
1718:  Jak zmieniacie oręż, walczycie melee.
1721:  Też się zatrzymuje wtedy czas.
1725:  Nikt na to nigdy nie wpadł.
1733:  A ja wiem, to byłaby trywializacja wyzwania.
1738:  Oczywiście opcja toggle on, toggle off, nie?
1741:  Żeby ktoś, kto sobie robi challenge, mógł sobie dalej robić challenge.
1746:  Mój challenge teraz polega na tym, że zabijam tego człowieka.
1750:  I nie daję mu szansy na uczciwą walkę.
1754:  Tak, on nie dał mnie.
1759:  Tu widzisz, otwierasz menu, gra się pauzuje.
1760:  W ogóle aktywna pauza w grach to jest coś, co powinno być wymuszone konwencją genewską.
1768:  Nigdy się nie zgodzić.
1769:  Nie, nie.
1770:  To są pewne rzeczy, w których nie jestem odporny na argumentację.
1773:  To jedna z nich.
1775:  Czy myślisz, że tutaj będzie gdzieś łasunia?
1776:  Po pierwsze chciałem powiedzieć, że bardzo mi się podoba to miejsce, wyjąwszy wrogów, którzy się w nim znajdują.
1780:  Chyba tu jest łasunia.
1785:  Okej, to nie jest łasunia.
1788:  To jest wielkie pobiuście.
1793:  Dysk z Verdigrisu.
1794:  Czym jest ten dysk?
1798:  Zwiększa obro... Świetnie.
1803:  Ja dzięki Krzysztofowi odkryłem EMS i polecam wszystkim.
1806:  Bardzo mi pomógł na kondycję w cukrzycy.
1807:  O, jak się cieszę.
1808:  EMS, moi drodzy, to jest elektrostymulacja mięśni.
1811:  Nie ma się czego bać, bo to są te same sygnały elektryczne, które są wysłane do naszych mięśni, a EMS służy zwłaszcza pomocą osobom w rehabilitacji, sportowcy, którzy nie chcą stracić kondycji, a nie mogą trenować, chodzą na EMS, tak samo aktorzy, którzy chcą szybko zbudować masę.
1828:  i formę, raz za razem, dobra sprawa, naprawdę.
1831:  Tylko droga trochę, no to jest ten minus.
1834:  Mokarne na siłownię to jest ile, nie wiem, stówa miesięcznie, 120.
1838:  Na EMS potrafi kosztować stówę tygodniowo, a są cztery takie zabiegi tygodniowo, znaczy zabiegi, treningi.
1845:  20-minutowy intensywny trening.
1847:  To oczywiście zależy od miasta, ale wiecie, Kraków, Warszawa będą mieć największe kwoty, niestety, jak zawsze.
1854:  Fajnie się mówi, badajcie się, szkoda, że większość badań przysiewowych jest dla seniorów.
1858:  Znaczy, są badania okresowe jednak.
1861:  Nawet można się zapisywać, moi drodzy, na NFZ, tylko się czeka strasznie długo, no co poradzić?
1868:  Tutaj nic nie ma?
1875:  Tutaj nic nie ma.
1876:  Lice of Pin na Xboxie nie zatrzymuje się, nawet jeżeli wyjdziesz z gry do innej aplikacji?
1880:  Zostałem zbity, gdy otworzyłem Spotify, ale głupie.
1886:  100 na miesiąc, siłownia, ostatni raz byłeś pod pandemią.
1889:  Gorzej, ostatni raz byłem przed złamaniem ręki, która uniemożliwiła mi trening.
1893:  I to był główny powód, dla którego zacząłem chodzić na MSy.
1897:  I to było ile lat temu?
1901:  Ja wtedy jeszcze nie streamowałem, więc to musiało być więcej niż 3 lata temu.
1907:  Gra wzbudza mój niepokój, pisze Oskar.
1910:  Przypomina okres covidu, gdzie się namiętnie zagrywałem.
1913:  Nieprędko wrócę.
1914:  Krzysztof, niech się męczy.
1916:  No męczy się, męczy.
1917:  Na razie nie mogę znaleźć drogi.
1918:  Czy ktoś jest zdumiony?
1922:  Nie, ale atak autentycznie.
1925:  Nie jestem jedyny chyba.
1929:  Prawdopodobnie dół?
1934:  To jest wierutne kłamstwo.
1939:  Czekajcie, czekajcie, co tu się dzieje?
1942:  Przed tobą cenny przedmiot.
1944:  Czy to jest bait?
1944:  To jest bait na pół kilometra.
1947:  Tu nie ma drogi, jest ślepy zaułek?
1950:  Aha.
1952:  Ja myślałem, że tutaj jest obelisk, do którego mogę podejść.
1958:  Tak, te wieże w podstawce.
1959:  No tak, ale z tych wież mogliśmy dojść do Liendel wcześniej.
1963:  Czekajcie, jeszcze tutaj sprawdzimy.
1965:  Na wszelki wypadek.
1966:  Ale nie, nie, nie.
1967:  Wszędzie, wszędzie jest ślepa uliczka.
1969:  Wszędzie.
1970:  Wszędzie sprawdziłem.
1971:  Dobra.
1972:  No czyli trzeba się tepnąć.
1974:  Co to są katakumby mgliste i szczeliny?
1982:  Właśnie zobaczyłam shorta, nie wiem jak to skomentować.
1984:  Kółeczko śmieszków, które to wymyślał, powinno zostać z automatu wywalone.
1986:  Tak?
1987:  Zgodzę się z tobą.
1989:  Ja tutaj byłem w tych katakumbach.
1992:  Czyli wszystko jest bez sensu.
1994:  Cała nasza podróż jest bez sensu.
1999:  Aktywna pauza jest na bakier z grami z trybem PvP?
2003:  Innowacyjne rozwiązanie.
2005:  Gdy włącza się tryb PvP, masz nieodpalany tryb inwazji, tak czy nie?
2008:  Tak.
2010:  I w tryb inwazji, then aktywna pauza nieaktywna.
2015:  Słuchajcie, ja się nauczę programować na grach FromSoftu.
2025:  Polecam jakąś placówkę, gdzie można zrobić kompleksowe badania krwi.
2029:  W Krakowie.
2031:  Ja zwykle chodziłem... Gdzie ja wchodziłem?
2033:  Ja zwykle do kliniki krakowskiej chyba chodziłem.
2035:  Tak mi się wydaje przynajmniej.
2036:  I tam było na NFZ.
2038:  Na 100% mają umowę.
2041:  I moja uczelnia... Wiesz, jest tak, że moja uczelnia ma umowę z Polmedem bodajże i tam robi obowiązkowo już.
2050:  No ale to wiadomo.
2051:  Zakłady pracy miewają umowy z prywaciarzami.
2061:  Dobra.
2062:  Przyjmijmy herbatę z e-herbaty, ma się o siedzibie w Krakowie wyśmienite herbaty.
2066:  Raz się nadziałem niestety na herbatę, która nazywała się New York, a nie miała nic wspólnego z New Yorkiem.
2071:  Czekajcie, słuchajcie, tu jest obelisk, tu jest obelisk, tu jest obelisk.
2075:  Wiedziałem, wiedziałem, że to rozpoznaje ten kształt.
2079:  Ale Krzysztof, to jest po prostu duży menhir.
2084:  Have fun with maps.
2086:  Jestem z Łodzi.
2086:  To wpadnij do Filipa na stream, na bez życia, nefuzo.
2092:  Filip z Łodzi.
2095:  Ej, ładna ta mapa.
2096:  No powiedzcie, mówcie co chcecie, ale ładna mapa jest, nie?
2100:  Ładna, no ładna mapa.
2103:  Uważam, że każda gra FromSoftu powinna mieć taką mapę, włącznie z DS-ami.
2108:  Bo zauważcie, ona niewiele pomaga, ona jest estetyczna.
2111:  Wyrzuciłbym wtedy oczywiście z DS-ów teleporty, wiadoma sprawa.
2116:  Tu jest jakiś pałac.
2118:  Wartpac pałaca, pałac pałaca.
2119:  Tu jest jakaś katedra znowu dla odmiany.
2122:  Jedyne, czego mi tutaj brakuje, to takiego cienia, czyli mgły wojny, który by pokazywał, co zwiedziliśmy, a co nie.
2128:  No ale cóż, to już byłoby zbytnie ułatwienie.
2131:  Idziemy wpierdol do tej katedry, a potem sobie pokonamy tego minibosa, który się gdzieś tam na horyzoncie pojawiał.
2137:  Mam za dużo znaczników.
2138:  Czy kogoś to zdumiewa?
2140:  Wyeliminujmy część znaczników.
2141:  Znacznik wyeliminowany.
2143:  Znacznik wyeliminowany.
2145:  A nie, to jest ważny znacznik, bo tam pójdziemy dzisiaj też.
2148:  Filip z Łodzi, Yennefer z Wengerbergu.
2150:  Tak jest.
2151:  Najgorsza mapa jest w cyberpunku.
2152:  O, absolutnie nefuzo.
2154:  Jesteś zgodny z wszystkimi groznawcami, z którymi rozmawiałem na ten temat i z paroma level designerami.
2160:  W zasadzie jedyni ludzie, którzy uważają, że ta mapa była dobra są ludzie z CD Projektu Red.
2171:  O, taki ataczek masz.
2173:  Ładny ataczek masz.
2174:  Pokwal się swoim ataczkiem.
2181:  Ooo... Pa, pa.
2185:  Okej, tam jest typiarz, z którym będziemy walczyć, więc będzie trzeba ten obóz wyczyścić.
2189:  Gram w PE?
2191:  Właśnie wlazłam do Gniazda Pająków.
2192:  Czym jest PE ze Zerin?
2193:  I dzięki za wsparcie od tak długiego czasu, to 20 miesięcy już.
2204:  Wszystkie ataki, wszystkie ataki nas staggerują.
2207:  Wszystkie po prostu.
2208:  To jest niesamowite wręcz.
2214:  Najbardziej przeciętne ataki.
2218:  Czy może być PM?
2219:  Może Path of Exile?
2224:  Może.
2226:  O!
2226:  O!
2235:  Dobre wiadomości są dobre, ale głupie jest to, że trzeba siadać z koń, żeby z nimi walczyć, nie?
2243:  Dla zainteresowanych po prostu nasze zaklęcie nie działa wtedy.
2247:  Okej, zregenerowane, zdrówko, bardzo dobrze, podoba mi się.
2252:  Co będzie w tej katedrze?
2254:  Jak wejdziesz do ekwipunku klikasz menu explanations, nie wiem jak po polsku, defaultowo chyba G to powinno zapauzować grę.
2261:  A jeżeli to istnieje, to tym bardziej jest głupie, że odpala się to tak dziwnie.
2267:  No dobra.
