Ordo Iamnicorum | WARHAMMER CHAOS GATE: DAEMONHUNTERS Livestream #4
🔗 https://www.youtube.com/watch?v=SAfx6T20tlU

219:  Fitam!
579:  I wiecie, wiedzą to fani, a nie wiedzą tego twórcy.
583:  No to wy się dziwiście później, dlaczego ja podchodzę sceptycznie do wszystkiego, co pochodzi spod obrzydliwej ręki Kathleen Kennedy.
591:  To jest szefowa Lucas, Art obecna.
594:  Wąpisz we mnie dowód, co rezonans psjoniczny pokrywający każde ziarno pozostawia trop, którym mogę podążać.
599:  Im więcej próbek zgromadzimy, tym wyraźniej widoczny będzie szlak do neksusa.
603:  Jak myślisz, czym jest ten neksus?
611:  Nie wiem, dokąd zawiedzi nas ten psjoniczny ślad.
613:  Jeszcze, gdzie ziarna kiełkują jednak od jakiegoś czasu, potrzebują bezpiecznego miejsca, gdzie osnowa przenika już do materium.
620:  Z im materium, haha.
621:  Miejsce, które nie trafi w łatwy sposób pod naszą kuratelę i w którym ziarna będą mogły spoczywać w pokoju przez setki lat.
628:  Setki lat!
630:  Na pewno kilka setek, powiem wprost, choć lordowie chaosu rzeczywiście są potężni, to nie mogą zupełnie bezkarnie funkcjonować w materium.
637:  Ta zaraza była planowana od bardzo dawna.
641:  Już po raz pierwszy współpracuję z Szarymi Rycerzami, to my.
644:  Szczerze mówiąc, do niedawna wątpiłam nawet w istnienie twojego zakonu.
648:  Najwyraźniej stare pożegnania się mylą w dyskrecji siła.
652:  To wciąż mowa o Szarych Rycerzach w wersji Warhammer Chaos Gate, którzy padają od dwóch strzałów randomowych kultystów.
661:  Czy stream Warhammerowi będzie?
663:  Jest.
663:  W tej chwili.
666:  Dżem dobry, a konfitura lepsza.
667:  Jest, jest!
668:  Dzięki Mikas za wsparcie od 7 miesięcy i za słuszne tezy o konfiturach.
672:  Konfitury są zawsze lepsze od dżemu.
677:  A!
678:  Skąd zatem dowiedzałaś się, Inkwizytorko, o Szarych Rycerzach, czyli nas?
683:  Gdy Astropatka zreferowała mi twój przekaz, skontaktowałam się z Ordo Inkwizytorum i poprosiłam o wsparcie militarne.
690:  W odpowiedzi otrzymałam jedynie zbiór współrzędnych.
692:  Przybyłam we wskazane miejsca, a krótko potem pojawił się edykt.
695:  Wyobrażasz sobie moje zaskoczenie?
697:  Nasz powrót na Totana nie był planowany.
699:  Skąd wiedzieli...
700:  Gdzie byliśmy?
700:  No skąd?
701:  To była Inkwizycja, come on!
703:  Do końca nie wiem.
704:  Ordo dysponuje wybitnymi prognostykami, którzy potrafią doskonale odczytywać imperialnego tarota.
709:  Są też inne metody przewidywania, które Ignorant nazwałby zapewne herezją.
712:  Ważne jest to, że Imperator wyraźnie chciałby, żeby nasze drogi się przecięły.
715:  Zaraz, a nagle musimy zostać powstrzymana.
718:  Przypis dla niezorientowanych.
719:  Imperialny tarot, jeśli mnie pamięć nie myli, to jest zbiór przypuszczeń prognostycznych robiony przez...
728:  żeby to ująć, namiestników, doradców bliskich z kręgu imperialnego, ponieważ przypominam, że imperator siedzi uśpiony na złotym stolcu.
735:  Jedyne, co robi, to podtrzymuje swoją psjoniczną wolą astronomiką, czyli taki rodzaj latarni morskiej, powiedzmy, która sobie jest w immaterium psjonicznej i kieruje statki z piekła, z immaterium do materium.
748:  Te grze są dialogi, jak najbardziej, Adamie.
751:  Niestety część jest voice-aktorowana, a część muszę voice-aktorować osobiście.
758:  Jeśli musimy rozmawiać, rozmawiamy dalej.
760:  Jak oceniasz nasze postępy, Inkwizytorko?
762:  Nie wszyscy, którzy służą Inkwizycji, są tego warci.
765:  Z mojego doświadczenia wynika, że jakość działań twoich sprzymierzeńców była różna.
768:  Skandal!
769:  Twoi szarzy rycerze udowodnili swoją wartość.
771:  Mam nadzieję, że w przyszłości będą równie skuteczni.
772:  Jeśli musimy... Tak, dostaliście wystarczająco mojego czasu.
778:  Chodźmy, porozmawiajmy o tym, w jakim problemie jesteście.
788:  Inkwizytorka chce, byśmy zebrali więcej ziaren.
791:  To koszt współpracy z Inkwizycją.
795:  Wakir żąda, byśmy stłumili słuszny gniew i zebrali materiał do badań, zanim nie umrę, ponieważ jestem stary.
801:  Nie pochwalasz tego?
802:  Nie, wlałbym skąpać poddanych Nergla w świętym ogniu, ale metody Inkwizytorki okazały się skuteczne.
809:  Niech odprowadzi nas do Nexusa, a my na miejscu okażemy słuszny gniew samego Imperatora.
816:  Porozmawiajmy o czymś innym.
818:  Jak?
818:  Czy walczyłeś już ze sługami Boga zarazy?
821:  Tak, zabiłem niezliczoną liczbę zakażonych istot w swoim życiu, ponieważ jestem stary, które zaraz po mojej śmierci, która nastąpi szybko, ponieważ jestem stary, powstały z martwych jako demony.
833:  Nagel jest potężnym i niezwykle przebiegłym przeciwnikiem.
836:  Przebiegłym?
838:  Pan zarazy nie pożąda po prostu śmierci i zniszczenia.
842:  Igra z życiem zmienia je, przekształca w wynaturzony, plukawy wytwór własnej wyobraźni.
848:  A jego obrzydliwe dzieła za wzięcie przystosowują się do panujących warunków, by przetrwać.
854:  Musimy doszczętnie wyplenić tę plagę zanim umrę.
857:  W innym przypadku przerodzi się w coś nowego i znów zacznie rozprzestrzeniać.
863:  Krzysztof, jak to jest pracować w voice hackingu?
865:  Dobrze czy niedobrze?
867:  Wolę grać.
870:  Czy to Top Gun był oglądany?
873:  Film o tym, że Tom Cruise biega i lata samolotami.
877:  No może, ale zwykle w tygodniu chodzę do kina, nie chodzę do kina w weekend z definicji, a w tygodniu cały czas siedzę nad licencjatami, w związku z powyższym nieprędko to obejrzę.
888:  Chyba, że wjedzie na jakiś streaming.
894:  Według wiki Tarot Imperatora to 78 krystalicznych, psychoaktywnych płytek połączonych na stale z Psychoimperatora.
899:  Tak, tylko ktoś te płytki odczytuje i nie pamiętam, czy to byli doradcy, czy to byli prognostycy.
903:  Diabli wiedzą.
904:  Jeżeli ktoś z lormistrzów wie, to niech sprecyzuje.
907:  Imperium potrafi planować całe krucjaty i przewidzieć ataki wroga przy ich pomocy.
910:  Tak.
912:  Weekendy drogo w kinach i dużo ludzi.
914:  Zwłaszcza problematyczne jest to, że jest dużo ludzi.
916:  Gdybym mógł zapłacić za to, że było mniej ludzi, zapłaciłbym.
922:  Proszę, proszę, zaimponowaliśmy bratu Ektarowi, który jest stary.
927:  Witamy Sukolfi i Bartka Maliszewskiego, nie wiem, czy witałem jeszcze.
933:  Nie, nie witałem, na wieki nie uspatrzyłem Bartku.
935:  I Lucyfera666, takoż witam.
939:  Krzysztof pyta Torii, co byś polecał, aby poćwiczyć wypowiadanie się.
943:  Nawiązuje trochę odcinek do odcinka o egzaminie ósmoklasistym.
945:  Mam wrażenie, że mam trochę problem z ubieraniem myśli w słowa.
948:  dużo mówić do siebie i ćwiczyć przed lustrem.
950:  Nie żartuję, to naprawdę pomaga.
953:  Ponadto nagrywać się i odsłuchiwać siebie samego.
955:  Jeżeli siebie samą znudzisz,
959:  Jest wniosek, nie?
961:  Żeby to zadziałało, to trzeba nagrać siebie, porzucić nagranie i odsłuchać na przykład za miesiąc.
965:  I w ten sposób można też sprawdzać swój progres.
967:  Ja tak nie ćwiczyłem, od razu mówię, ale usiłuję wyobrazić sobie, co mnie pomogło i na pewno mnie pomogło usłyszenie siebie, jak mówię.
975:  Tak samo pomogło mi mówienie przez bardzo długo, dużo, dużo, dużo czasu.
981:  Znaczy im więcej chociażby wygłosiłem wykładów półtora godzinnych,
985:  tym łatwiej było mi wygłaszać teksty, które były na 20 minut na przykład.
989:  Znaczy teksty, mowy.
992:  Nie mówiąc już o tym, że im więcej wygłosiłem z kolei referatów 20-minutowych, tym łatwiej było mi mówić przez 5 minut w sposób skondensowany.
999:  Na przykład ja ćwiczę ze studentami zawsze takie 5-minutowe wypowiedzi.
1003:  5 minut na prezentację całej pracy licencjackiej chociażby.
1005:  Napiszeliście 60 stron, teraz 5 minut, ale esencja.
1009:  To jest cholerę trudne, ale to jest warta umiejętność ćwiczenia z uwagi na to, że się może w robocie przydać.
1016:  Magda Miedem, cześć Magdo, pisze, że u niej w kinie jak coś nie jest premierą, to są może zwykle trzy osoby w kinie.
1021:  Zazdroszczę niesamowicie.
1024:  Nieumiem w ludzi też pisze, że ostatnio jak jest w kinie, to prawie nikogo nie ma.
1028:  No w Krakowie niestety po tym jak zlikwidowano IMAXa i parę innych kin, no to multiplexy są nawet bardzo wypełnione.
1037:  Dziwnie się słucha swojego głosu.
1039:  Znaczy inny jest tembr głosu, inna jest barwa na pewno, jak się słyszy swój bus nagrany.
1046:  To tak, tak.
1047:  Cześć Łukasz, witamy.
1054:  Czemu wypowiadam Edgarowi, że jest stary?
1055:  Bo nic innego o nim nie wiadomo.
1057:  Tak nawiasem mówiąc też, rozmawialiśmy o tym troszeczkę na Discordzie wczoraj po...
1062:  Red Dead Redemption 2, że są takie postaci, które się zapamiętuje, są takie postaci, które się gorzej zapamiętuje.
1067:  Mam parę teorii na to.
1068:  Między innymi jedna jest taka, że fajnie jest, jeżeli postaci się bardzo różnią charakterologicznie.
1073:  Możemy sobie o to zadbać, jeżeli na przykład tworzymy fikcyjny świat i populujemy go fikcyjnymi postaciami.
1078:  Wtedy jest w porządku.
1080:  Gorzej, jeżeli każda z nich ma zbliżone cechy charakteru.
1083:  Tak to jest w życiu realnym.
1087:  To nie dziwi nas, ale w fikcji, niezależnie czy to jest literacka, czy growa, czy filmowa, chodzi o to, żeby postaci były jak najbardziej wyraziste i zapamiętywalne.
1096:  Więc jeżeli cechą postaci jest na przykład tylko to, że jest stara, albo tylko to, że jest lesbijką, albo tylko to, że jest czarnoskóry, to to nie jest dobra charakterystyka postaci.
1105:  O, jest jeszcze szarym rycerzem, to prawda.
1107:  Możemy jeszcze porozmawiać z lunetą.
1109:  To jest Adepta Mechanica.
1113:  Siostrzyczka z Admechu, moi drodzy.
1116:  Protokół wymaga pozdrowienia na początku rozmowy.
1118:  Możesz uznać, że to wymaganie zostało spełnione.
1121:  Te odłamki to więcej niż tylko zwykłe ziarna.
1124:  Fragmenty starożytnej archeotechnologii nasycone energią osnowy.
1128:  Wstępa na analiza wskazuje, że pochodzą z czasu przed Wielką Herezją, chociaż ich źródła zostają nieznane.
1133:  Konieczne dalsze badania, jednak priorytet mają rozkazy inkwizycji.
1137:  Ostatnio nie umiem zrobić syntetycznego głosu.
1140:  Jaki odłamek archeotechnologii może rozprzestrzeniać tę chorobę?
1143:  Osnowa może skazić duchy maszyn podobnie jak dusze.
1147:  Heretycy rozprzestrzeniają złomo szyfr.
1154:  Niegdyś szlachetne duchy służą teraz mrocznym siłom poprzez szkodliwe algorytmy.
1159:  Czy spotkałaś już takie byty?
1161:  Tak, kilka razy.
1163:  Miałam kiedyś okazję zbadać czołg Predator, który służył Czarnemu Legionowi.
1167:  Jego duchy były zepsute i nienawistne.
1169:  Za wszelką cenę starały się rozprzestrzeniać swoją skazę, nawet na moje błogosławionej maszyny.
1174:  Było to pouczające doświadczenie, ale musiałem je zniszczyć, zanim udało mi się zaobserwować, do czego są zdolne.
1181:  Jesteś serem, szarym żołnierzem, nosisz zbroję, więc patrz, jesteś imatłem, spalonym wiadrem.
1188:  Nadia Lewi przechodzi samą siebie.
1190:  Lucefer pisze, że kiedyś pisał fanfiction, gdzie u nich bohaterowie byli wzorowani na jego kolegę, a pierwszy zarząd był taki, że są zbyt podobni do siebie.
1196:  Dokładnie tak.
1198:  To jest ten problem, który mamy.
1199:  Jurka prosi o trzymanie kciuków, bo ten tydzień będzie dla niej decyzyjny.
1202:  Tu są kciuki i tu są trzymane.
1204:  Witamy Aśku na czatach.
1208:  Powiedziałem ludziom, którzy grają w takie gry, a Warhammer ja bym się znudził, pisze Szymon.
1210:  Poczekaj, aż będziemy mieli bitwę potężną.
1213:  Na razie są dialogi, czyli książka.
1216:  Dba się o ten okręt, jednak nie jest on własnością kapłanów maszyny.
1220:  Kwestia własności statków floty Imperium i Astartes jest tak stara jak pakt między Imperatorem a Marsem.
1226:  Mars to jest siedziba Ad Mechu, czyli Adeptus Mechanicus.
1230:  Dowódco, służę statkowi bez względu na to, do kogo należy.
1233:  Tomaszu, dzięki za wsparcie od pół roku.
1234:  Krzysztof, dlaczego mówisz jak polski aktor?
1236:  Ponieważ dubbinguje w tym momencie cybernetycznie augmentowaną siostrzyczkę z Admechu.
1240:  Trzeba w ten sposób wtedy.
1243:  Troszysz się o ten statek bardziej niż o załogę.
1246:  To oczywiste.
1247:  Przydzielono mnie do edyktu wieki temu przed twoim poczęciem.
1251:  Na tym statku służyło wcześniej kilku wielkich mistrzów.
1254:  Jego chwalebna historia przećmiewa historię każdego z obecnych na pokładzie i dołożę wszelkich starań, aby nie stała mu się krzywda.
1262:  Reaktor znajdował się w części edyktu , która była celem zmasowanego ataku Kedium, zapewne w celu doprowadzenia do zniszczenia statku.
1273:  Zastosowałam formularz reagowania, próbując go ratować.
1276:  To wyczerpujący, ale skuteczny środek tymczasowy.
1279:  W cewkach pozostały pęknięcia i trzeba je uszczelnić, ale to wymaga czasu.
1286:  The interaction is over.
1288:  The interaction is over.
1289:  Piękne.
1290:  Dobrze, moi kochani.
1291:  To oznacza, że płyniemy.
1294:  Podróżujemy do centrum galaktyki i czekamy na następne misje.
1299:  Siostra Lunette powinna czytać Iwona.
1301:  To prawda.
1302:  I Iwona teraz jest coraz lepsza tak swoją drogą.
1306:  Witamy Mateusza, gdzie mogę wstawić własne badania.
1309:  Julka i w ogóle wszyscy, którzy jesteście tym zainteresowani, Akademia Edu albo Research Gate, ja polecam bardziej Research Gate, bo Akademia Edu strasznie spamuje reklamami.
1318:  Wykup wersji premium, chcemy zarabiać, więc niech wpadają.
1322:  Research Gate pozwala na wgranie czegoś, co się nazywa preprint.
1326:  Preprint to jest niepublikowane badanie.
1329:  przed recenzją naukową, tylko trzeba to oznaczyć jako preprint.
1332:  Witaj Milorda Mariusza i Ona Grusa, quickly, swiftly, biegniemy już, już!
1337:  Wiem, czekacie, aż brat
1344:  Zajebus, brat Apapiusz, brat Ignatius Jeremiasz i brat Justytiusz Kalmar, jak również brat Shitstorm będą w akcji, ale są w tym momencie krytycznie ranni.
1354:  18 dni musimy aż poczekać, moi drodzy.
1357:  W tym czasie ulepszymy statek.
1360:  Napęd osnowy.
1363:  O tak.
1365:  O tak, chcemy.
1367:  Chcemy.
1370:  Czy ochrzcimy dzisiaj jakiegoś nowego brata?
1372:  Pewnie.
1374:  jakieś porady na czwartkowy egzamin, a z czego egzamin Mateuszu?
1412:  Eksterminatus!
1414:  Jest dostępny!
1417:  Gdy uznasz, że dla jakiejś planety nie ma już nadziei na odkupienie, możesz sprowadzić na nią Eksterminatus i wyplenić z niej całe zepsucie.
1429:  Razem z wszystkimi mieszkańcami.
1431:  Najpierw musimy jednak przeprowadzić zaawansowane rytuały, aby przygotować torpedę z popielacza atmosferycznego dla bezpiecznego użycia!
1440:  Ulepsz!
1441:  Od razu!
1442:  Bierzemy!
1444:  Bierzemy!
1446:  Oczywiście!
1448:  Zabawnym normalnie eksterminatusem zajmuje się cała flota.
1451:  Nie psuj zabawy!
1452:  Nie psuj!
1452:  Cicho, cicho!
1454:  Eksterminatus mamy!
1456:  Tak.
1460:  Osiemnaście dni, oj, czekamy na to.
1462:  Ciekawy jestem, jak oni to zrealizują i boże, żeby była animacja, to będzie wspaniałe.
1468:  Tak zwana gwiazda śmierci, w sumie tak.
1473:  Obecnie misja ostatnia jest albo załatwiona, albo nie do przejścia, ponieważ portal się buguje i wzrokowie się nie pojawiają.
1478:  No, musimy poczekać na Patcha.
1483:  Nie robimy nic, dopóki nie będzie Exterminatusa.
1487:  Good spell, good!
1489:  Tak, tak.
1490:  Chaty wiedzą, co dobre.
1493:  Nasz chór prognostyku wykrył obecność trzech nowych erupcji.
1501:  Nie jest dobrze, bo możemy nie zdążyć do wszystkich trzech, więc skoro nie zdążymy do wszystkich trzech, wybierzemy najłatwiejszą.
1511:  Nie chcę, żeby drugi raz było tak, jak w zeszłym razem.
1514:  O, niski poziom, świetnie.
1516:  Że na samym początku mieliśmy właśnie misję, która była nieprawdopodobnie trudna.
1521:  Ale jak jest z naszymi braćmi?
1522:  To jest pytanie.
1528:  Od tym, że Chaos Gate dostała jakieś właśnie łatki?
1531:  Wydaje mi się, że jedną tylko.
1532:  Mało, mało.
1539:  Interceptor będzie dodatkowy.
1543:  Czy my chcemy Interceptora?
1544:  Kto był Interceptorem?
1546:  Brat zajebus.
1549:  Dziesięć dni krytycznych ran jeszcze.
1551:  Mmm, nie będziemy.
1553:  Po prostu wybierzemy sobie szlak, który i tak wytraci sporo czasu.
1569:  To nie ja.
1575:  Czarny wzrok serca i innych marków fizjologicznych.
1580:  Wszystkie nieoglądalne.
1583:  To typycznie oznacza czy głęboki dystres emocjonalny, czy psychiczny.
1586:  Tak, tak.
1586:  To było ciężkie, Dominus.
1588:  Ale to nie jest mniejsza liczba moich limitów.
1591:  Komandant, Inquisitor ukończył swoją pracę.
1595:  Dokładnie.
1596:  I okazało się to wyjątkowe poza moimi umiejętnościami.
1600:  Kiedy teoretyzowałam, rośliny wymyślały samotny sygnał z tego samego miejscu.
1606:  Konkluzja.
1607:  Nie widzisz?
1608:  Taka moc wyświetla się w górach warpu.
1610:  Śpiewając o miejscu urodzinowym, źródłem ich mocy.
1613:  Wierzę, że odpowiedź do każdego pytania znajdzie się tam.
1617:  Inquisitorze!
1618:  Słuchacie głosów w Słowie Światów?
1620:  Obiecujecie moich metod, król?
1622:  Byłeś tylko człowiekiem.
1624:  Chodzisz na niebezpieczny drogę.
1627:  Jestem zamkniętym inkwizytorem Ordu Malleus.
1630:  Ta mała dźwiękowość jest nieproduktywna, inkwizytorze.
1633:  Znalazłeś to miejsce?
1635:  Nie mówię o tym.
1637:  Węgiel energii wchodzi tutaj, w sercu Eldarii Craftworldu.
1641:  Craftworldu Usaria.
1644:  W tłucznych okręczeniach widziałam wizje, które zostały zniszczone.
1648:  Wszyscy mieszkańcy zostały zablokowani przez serców Bógów.
1657:  Śmierząc błyskawiczną energię od odczuwania.
1659:  Taka błyskawiczna widoczność nie będzie bezwzględna.
1661:  Istniejące archiwum sugestuje, że świat krawtów jest niebezpieczny.
1666:  Szybka wstrzymanie mogłoby wywołać wartościowe dane.
1670:  Twój tekstur jest, jak zawsze, na miejscu, komanderze.
1674:  Kiedy czas przyjdzie, i chcę, żebyś to zrobił wkrótce... ...zastanowię się z twoimi księdzami przez ruiny świata krawtów... ...i odczuwam prawdę ze swoich samych ręków.
1686:  Tu się jakieś rzeczy dzieją, moi drodzy.
1688:  Słusznie napisaliście, że jadę oczywiście do złej misji, w związku z powyższym źródło wykwitu.
1695:  Aaa!
1697:  A może w dobre miejsce jechaliśmy finalnie?
1701:  Poziom zagrożenia ekstremalny.
1708:  Mowy nie ma.
1713:  Nie jesteśmy gotowi na ekstremalny poziom.
1718:  Pozostało dni nie wiadomo ile.
1722:  I tyle nas widzieli.
1724:  BOMBIT!
1725:  Właśnie, problem polega na tym, że jeszcze w manufaktorium nasza najwspanialsza broń jest w toku, 7 dni jeszcze.
1735:  Dajcie spokój.
1736:  Eldarzy, złe rzeczy się dzieją.
1739:  Giliader pisze, że witamy na czatach przy okazji, że Exterminatus nie musi zajmować się cała flota, ponieważ wszystko zależy od użytej broń.
1744:  Można go przeprowadzić przy pomocy artylerii pokładowej, wtedy potrzebna jest flota lub wystarczy specjalna broń.
1748:  Chyba to jest ta specjalna broń.
1752:  Ta inkwizytorka koniec końców będzie się taplać w fekaliach Nergla, sugeruje Stalowy Guziec.
1756:  To jest możliwe.
1757:  Witaj Stalowy Guźców przy okazji na czatach.
1760:  Czy miano dla kompanów dostaje się już z urzędu, czy wybiera samemu?
1763:  Już wyjaśniam.
1764:  Niestety, dwojako.
1766:  To znaczy, po pierwsze, my możemy tylko nadać imię pierwsze, ale następne jest nadawane przez grę.
1774:  Ciężka sprawa.
1778:  Moja idea jest następująca.
1780:  Potrzebujemy nowego brata, na wszelki wypadek, który będzie wyposażony w coś interesującego.
1789:  Thorak, Storm, Tharn, Techeos, Tharn, Thule, Thor, Trevan, Tides, Valda, Vaan, Rhaun, Vurima, Zabez,
1819:  Wortimer.
1820:  Zabez.
1820:  Adanto.
1820:  Alva.
1820:  Aurelus.
1821:  Basque.
1821:  Bors.
1822:  Cajulon.
1822:  Corwin.
1823:  Crassus.
1824:  Dalma.
1825:  Dekren.
1855:  Bardzo mi się nie podoba to, że nie można dostosować nazwisk.
1858:  O!
1859:  To było genialne!
1863:  Milord Mariusz ma bardzo dobry pomysł na Thora.
1865:  W ten sposób!
1880:  Będziemy mieli pierwszą siostrzyczkę bitwy!
1885:  Exterminę!
1887:  Exterminator!
1890:  Tak!
1891:  Tak!
1892:  Bardzo dobrze!
1895:  Ponieważ to jest siostrzyczka, to musimy ukryć jej płeć.
1899:  To oznacza, że będzie musiała mieć pełen hełm.
1903:  Właśnie w ten sposób.
1905:  Bardzo dobrze!
1907:  Gratulacje dla czatów!
1911:  Teraz musimy mieć porządne, porządne regalia.
1916:  To są porządne regalia.
1920:  Bardzo dobrze, bardzo dobrze.
1927:  Dumne miecze.
1930:  Eternal!
1931:  Dobrze, niech i będzie eternal.
1935:  Thor musi zostać.
1936:  Świetnie, są nawet insygnia.
1937:  Bardzo dobrze.
1939:  Bardzo dobrze.
1941:  Jestem content.
1943:  Lewa nagolennica.
1946:  Doom!
1951:  I ciasteczka z wróżbą.
1954:  To są specjalne, to są ogłoszenia, które można odrywać, jeżeli ktoś chce zostać eksterminowany.
1962:  Absolutnie.
1963:  Głos.
1965:  Musimy mieć jakiś przytłumiony najbardziej.
1977:  Chyba cztery jest najlepsze.
1985:  Kupony na eksterminację, właśnie.
1990:  Tak, cztery.
1992:  Cztery zdecydowanie.
1995:  Witamy dygresyjnego Wilka i Szymona Steczka.
2000:  Female Space Marine.
2001:  Bardzo kontrowersyjny temat w kręgach fandomu.
2003:  Świetnie!
2004:  Im bardziej kontrowersyjne, tym lepiej.
2008:  Cztery jest najbardziej kobiece, absolutnie.
2010:  Świetnie!
2012:  Dobrze.
2014:  Kolor włosów?
2015:  Oczywiście, że rudy.
2020:  A ponieważ rudy, to będzie trzeba najbielszy odcień skóry dla równowagi.
