🔴 WIEDŹMIN (SEZON 3) — odcinek 3-5 | Recenzja ze spojlerami #2
🔗 https://www.youtube.com/watch?v=Wiw-Gb3mWek

196:  Wiecie co, w sumie odcinek trzeci nie jest taki zły.
490:  Mowę elficką wziął z celtyckiego.
492:  Nieważne.
492:  Sapkowski sam mówił, że jemu chodziło o fabułę.
495:  Dlatego u niego, jeżeli coś jest najlepsze, to do ciężkiej cholery dialogi.
498:  Więc jak ja zobaczyłem, że Radowid jest łyżką...
501:  Ja już nic więcej nie potrzebowałem, moi drodzy.
503:  Mało czy dużo?
504:  To jest dobre pytanie.
505:  Jeżeli to byłaby mała łyżka, to byłaby wtedy łyżeczka, moi drodzy.
509:  I wtedy to, co się będzie między Jaskrem działo, a Radowidem, nazwalibyśmy łyżeczkowaniem.
515:  Może oddalmy już w tym momencie te metafory, ponieważ zaprowadziły nas do niebezpiecznych rewirów.
519:  Radowid jest inny, mówi nam dalej Jaskier, co ustanawia jeszcze raz relację, która się między nimi pojawi, ponieważ tak jest to ten odcinek, w którym się ona pojawia.
527:  Natomiast od razu spieszę z wyjaśnieniem, że problemem tego serialu bynajmniej nie jest fakt, że Jaskier jest homoseksualny, a Jaskier mógłby być panseksualny.
535:  Jaskier byłby w stanie, przynajmniej ten wiedźmiński, Geraltowy Jaskier prawdziwy, albo z CD Projektu Red Gear, albo z sagi Andrzeja Sapkowskiego, Jaskier byłby w stanie w całkowicie uzasadniony sposób
547:  i uwiarygodnić nam swój romans z drewnianym krzesłem.
551:  Jaskrowi by to się bez problemu udało, więc to nie jest kłopot.
554:  Kłopot jest w tym, że jest to tutaj wciśnięte bez żadnego powodu.
557:  Cała ta scena praktycznie początkowa niczemu nie służy.
559:  O, i swoją drogą pamiętacie, co mówiliśmy ostatnim razem, że wszystkie sceny seksualne, które są w Wiedźminie, mogłyby być tak samo wyreżyserowane, jak sceny, które mamy w Grze o Tron, prawda?
570:  Jak Petr Bejlisz się pojawiał i spiskował coś w swoich przybytkach, tudzież powiedzmy sobie szczerze burdelach, to zwykle towarzyszyły temu jakieś zakulisowe dyskusje polityczne, czegoś się dowiadywaliśmy.
586:  Falezy ubolewa to w końcu Radovid jest łyżką czy nie, bo serial zaprzeczył sobie w 10 sekund.
591:  Jest to prawda.
593:  Jednym part jakiego należy szanować to Scanlan z Legend of Vox Machina.
595:  Czy ja mogę poprosić na czatach o nieprzewoływanie wybitnych produkcji, takich jak chociażby Legend of Vox Machina, w jednym bodaj zdaniu, na jednym live'ie z tą abominacją, którą jest Wiedźmin Dziękuję uprzejmie.
607:  A zatem, moi drodzy, ta scena niczemu nie służy i to już sobie ustaliliśmy, ona jest bardzo długo, potem oczywiście dochodzi do miłosnych uciech, jak zawsze w tym serialu, w tym odcinku zwykle chyba są ze trzy albo cztery takie sceny, każda nie ma żadnego sensu, chociaż z drugiej strony możemy się dowiedzieć, w jaki sposób źle napisać scenę seksu, bo gdybym na przykład wam wziął...
626:  Mój ulubiony narrentur, gdzie jest opisana taka scena i ona jest opisana bardzo pikantnie.
632:  Mam nadzieję, że mi się to uda przytoczyć.
634:  Rzeczywiście, że mi się uda przytoczyć.
635:  W tym momencie, moi drodzy, będziemy mieli demonetyzowany live.
639:  Mianowicie, jeżeli dobrze się umiem napisać tego rodzaju sceny, jest się Andrzejem Sapkowskim i robi się coś takiego na przykład.
647:  Ach, ach, mon amour, jęczała Adela von Stercza, oczywiście Stercza całkowicie przez przypadek, lgnąc do dłoni Reinevana całym swym burgunskim krajobrazem.
656:  Reinevan, nawiasem mówiąc, miał 23 lata i świata poznał raczej niewiele.
660:  Znał bardzo mało Czeszek, jeszcze mniej Ślązaczek i Niemek, jedną Polkę, jedną Cygankę, jeśli szło o inne narodowości, to tylko raz doszło kosza o Węgierki.
667:  Jego eksperiencje erotyczne w poczet imponujących zaliczane, więc być nie mogły żadną miarą, ba, były, szczerze powiedziawszy, dość mizerne, zarówno ilościowo, jak i jakościowo.
678:  Ale i tak wbiły go w pychę i zadufanie.
682:  Reynvan, jak każdy buzujący testosteronem młodzik, miał się za wielkiego uwodziciela i miłosnego eksperta, przed którym ród niewieści nie ma żadnych tajemnic.
691:  Prawda jednak była taka, że dotychczas 11 schadzek zadeleł von Stercza,
696:  Nauczyło Raynevana więcej o ars amandi, czyli sztuce kochania, niż całe trzyletnie studia w Pradze.
703:  Raynevan nie połapał się jednak, że to Adela uczy jego.
705:  Pewien był, że w grze ujawnia się jego samorodny talent i potem się pojawiają psalmy łacińskie, żeby było jeszcze radośniej.
712:  Tak się pisze dobre sceny seksu, tak?
715:  Zgodnie ze starą zasadą przytoczoną przez Umberta Eco w eseju jak rozpoznać film pornograficzny.
722:  Na czatach jest strumień bąków.
724:  Mianowicie, Umberto Eco powiedział w eseju, jak rozpoznać film pornograficzny, że rozpoznaje się go po długiej przedakcji, tak?
732:  I po tym się rozpoznaje.
733:  W związku z powyższym, ewidentnie, moi drodzy, mamy tutaj do czynienia z pornografią, tylko że taką kiepską.
739:  W odróżnieniu od innych przykładów, które sobie przytoczyliśmy.
742:  Następna scena, moi drodzy, muszę sobie przypomnieć, czego dotyczy.
745:  A, pamiętacie może tę półelfkę, która została uratowana z wyspy doktora Moro, a ściśle mówiąc jaskini, w której łączyło się różne dziwaczne rodem z Bloodborna, amalgamaty ciał, elfie, dziewoje i robiło się to nie wiadomo dlaczego.
762:  Otóż wiadomo już dlaczego, moi drodzy, bo są srebrne.
764:  Spiski, bo są rzeczy, bo magowie, nie pamiętacie?
768:  Bardzo dobrze, ja też nie pamiętałem i dlatego obejrzałem to jeszcze raz.
772:  Mianowicie magowie spiskują, a wiecie, kto konkretnie spiskuje i chce tworzyć takie poczwary, chce takie mutanty, wiecie kto?
780:  Wiecie kto?
782:  Ano Stregobor, a wiecie dlaczego to jest bez sensu?
784:  Bo Stregobor jest kuźwa w kowirze i go nie ma prawa być w czasie pogardy w żadnym miejscu tej rzeczpowieści.
790:  Dawidzie dziękuję za trybut dla Krzysztofa Hajku od Nowego Trybutariusza.
794:  Netflix nie dowiózł do źródła powrócić czas sagi wiedźmińskiej.
799:  Przepiękne, Hajku.
801:  Więc tak, moi drodzy, oczywiście ja wiem, że nie Stregobor, tak, tylko że tak naprawdę to nie, ale może nie uprzedzajmy faktów, dobrze, bo to jest ten wielki plot twist, który będzie w odcinku, do którego dzisiaj nie, haha, dojdziemy.
814:  W każdym razie to jest ta elfka, moi drodzy, która to elfka, imaginuję sobie, że jest Cirillo, spoiler alert, nie jest.
821:  Jaskier razem z Geraltem ubolewają nad tym faktem.
824:  zwłaszcza, że ona odzyskuje świadomość, ale tylko na krótko, zobaczcie, jak są kiepsko napisane dialogi, to można je włączyć w dowolny moment mojej narracji.
831:  I później oczywiście dochodzą do jedynego, haha, dochodzą wniosku, a mianowicie tego, że muszą się udać do chatynki wiedźmy.
838:  Co jest bardzo ciekawe, to to, że rzeczona wiedźma jest po pierwsze druidką, więc nie wiedźmą, mimo że w sadze jest czarodziejką, natomiast tutaj się pojawia tylko i wyłącznie z imienia i nie zdołałem dociec, czy to jest rzeczywiście ta osobistość, która się tam pojawia, czy też nie.
852:  Więc to jest, moi drodzy, nasz wspaniały początek rzeczonego, którego już trzeciego odcinka trzeciego sezonu.
860:  To jest ta elfka, tak jest, moi drodzy.
862:  O Boże, drogi.
864:  O właśnie, i teraz tak, czy ja jestem w stanie zapamiętać, jak ona się nazywa?
867:  Nie, bo widzicie...
868:  jeden problem, mianowicie w tym serialu jeden, jedyny raz, teraz mogę to udowodnić, mianowicie jeden, jedyny raz się pojawiają imiona postaci w takim pierwszym wprowadzającym dialogu.
877:  I nic więcej.
878:  Nigdy.
879:  Więc jeżeli za jakimś cudem zapomnicie, jak się ktoś nazywa, to jest koniec absolutny.
884:  W każdym razie ja jestem bardzo oburzony, ponieważ
888:  Jest ona grana przez białoskórą aktorkę i uważam, że to jest bardzo rozczarowujące i powinno się podjąć inne wybory castingowe.
895:  Jeszcze nie mieliśmy nikogo o azjatyckiej karnacji.
897:  Uważam, że na druida idealnie pasuje.
899:  Wiecie, Celtowie się kojarzą idealnie Brytania, Merlin.
904:  Myślicie sobie od razu, proszę bardzo, Warhammer, Kataj, Cesarstwo...
909:  Trzy Królestwa.
910:  Jeszcze idźmy dalej.
911:  Samurajowie.
912:  Ja bym chciał zobaczyć wreszcie druidkę, która jest równocześnie z Samurajessą.
917:  To byłoby absolutnie przepiękne.
918:  Swoją drogą jest akurat o tym animka na Netflixie i dlatego mi się to skojarzyło.
921:  Wracając.
922:  Czy ten koń to płotka?
923:  Każdy koń Geralta to płotka.
925:  To jest jedna jedyna rzecz, którą im się udało nie spieprzyć.
927:  Po co idą do druidki?
928:  A, po to, żeby była tutaj rozmowa z wilkołakiem, to ma nas naprowadzić na trop tej pani z sagi, nie pamiętam cały czas, która to jest, a ponieważ niestety nie ma jej w liście płac, to nie jestem w stanie szybko do tego dotrzeć.
940:  W każdym razie, rzeczony wilkołak nie jest wilkołakiem tylko dlatego, że ma amulet i Geralt go ponoć uratował w jakiejś okolicznościach.
947:  Mnie się wydaje, mgliście pamiętając, że to jest nawiązanie do opowiadania, coś się kończy, coś się zaczyna, ale poprawcie mnie, jeśli się mylę.
955:  Jaki anime ma tytuł?
956:  Widzicie, my już idziemy w inną stronę.
959:  Ja wiedziałem, że tak będzie, moi drodzy.
961:  Byłem absolutnie i stuprocentowo przekonany, że tak będzie.
964:  Czy ja gdzieś mam na podręczniku Netflixa?
965:  Nie, mam na podręczniku Netflixa.
967:  Zaraz wam sprawdzę tytuł tej animki.
968:  Widzicie, już nie rozmawiamy o Wiedźminie.
970:  Wiedziałem, że tak będzie.
971:  Troll niekulturalny, dziękuję ci za trybut, ale czemu nie podba ci się scenariusz z tłumaczeniem in your face?
975:  Przecież Olga Ryskarczuk lubi to.
976:  Jak możesz hejtować?
978:  Wiecie, twoją drogą dotrzemy do tego, bo specjalnie wyciągnąłem tekst naukowy, żeby nikt nie mógł powiedzieć, że Krzysztof robi to, co...
984:  Na przykład jacyś bieda recenzenci z zachodu, nie, nie, nie, nie, nie, moi drodzy, o, o, o, może mi się uda znaleźć, czy to będzie, czy to będzie niedawno oglądanek, oczywiście, że nie, o, już wiem, Oku Inne Chambers, Chambers, moi drodzy, czyli wewnętrzne komnaty, czy ja jestem w stanie wam chociażby to pokazać, proszę bardzo, lepszy serial, lepsza animka, Focus, dziękuję, dziękuję.
1006:  Nie dziękuję.
1007:  Focus nigdy nie działa.
1008:  Pozdrowienia dla Sony, a tak naprawdę to nie.
1010:  Więc wracamy do Wilkołaka.
1011:  Wilkołak się nie przemienia, dlatego że ma amulet na cholerę drążyć temat.
1015:  Spokojnie jeszcze dojdziemy do bardziej obelżywych słów.
1017:  Muszę zostawić ich zapas na ostatni odcinek, o którym recenzenci mówili, że jest wybitny, nie jest wybitny, tak nawiasem mówiąc.
1023:  Co, co, jesteś?
1024:  Tak, tak, jestem Wilkołakiem.
1027:  Bał się również trzyraków i zesrania na śmierć, a zapomniał o Wilkołakach.
1030:  Fantastyczne dialogi, niezmiennie będę je przywoływał, jak akurat dzisiaj.
1034:  A zatem, po co są droidki?
1037:  No, moi drodzy, tutaj popatrzcie, o, kto jest w kadrze, w tym pięknym wermerowskim kadrze, a tak naprawdę to nie, jest mianowicie ta nasza elfka i trzeba teraz dociec, wysądować ją, rzucić Rictusempra na nią, a nie, przepraszam, nie Rictusempra, trzeba Legilimencję rzucić na nią w tej właśnie kolejności, potem można Rictusemprę i dzięki temu dowiemy się, co tam jej w głowie drzemie, moi drodzy.
1057:  Oku we inne czembe, pisze Karneval Mephisto, tak to da jak najbardziej.
1060:  Ta dziewczyna to będzie pewnie fałszywa Ciri, którą w ligę Ford dostarczy Emirowi, plus wypłyną właśnie trailer drugiej połowy sezonu.
1065:  Tak Dawidzie, widziałem ten trailer, nic z niego nie wynika, poza tym, że będzie dużo wybuchów i pościgów.
1070:  Natomiast muszę powiedzieć, że przynajmniej ta chatynka im się udała jako tako w zestawieniu z całą resztą scenografii, więc moja teoria jest taka robocza, że to kręcili w naturze, natomiast całą resztę mieli CGI-ową, moi mili.
1081:  Tak mi się wydaje, zwolnij, bo typ 0.25 nie wyrabia.
1084:  Magnaci i czarodzieje mają lepsze dialogi niż Wiedźmi od Netflixa, większość rzeczy ma lepsze dialogi niż Wiedźmi od Netflixa, ale zobaczcie jaki tu jest piękny dekogt, zobaczcie na te charakteryzacje wspaniałe, zobaczcie jaki tu jest artefakt cudowny, od razu widzicie, że to jest serial fantasy, a nie jakaś klepawa produkcja w stylu Królony Królów, ale Korona Królów będzie też, nie bójcie się.
1101:  W każdym razie po dekogcie się dzieją, moi drodzy, rzeczy.
1104:  A tymczasem, tymczasem Cirilla jest ekspediowana do Aretuzy, ale zanim trafi do Aretuzy, to jeszcze będzie jakiś krasnoludzki bank, w którym się z kolei znajdzie Yennefer i to będzie następnie.
1115:  Proszę bardzo, Yennefer widzicie?
1116:  Krzysztof pamiętał.
1117:  Mówicie, że był trybut, przepraszam, że pominąłem.
1122:  EFRS, dziękuję ci serdecznie.
1123:  Filkułak jest z sezonu Bush.
1124:  Nie cierpię tej książki, oprócz rozwinięcia lore o energumenów czy eksperymenty w Risbergu.
1130:  Również nie cierpię tej książki.
1131:  Czy ja mam, moi drodzy, skoro mówimy już o sezonie Bush i niech się troszeczkę też oberwie Andrzejowi Sapkowskiemu, czy ja mam artykuł, który bym chciał wam bardzo chętnie teraz podrzucić, mianowicie Tomasza Majkowskiego, który bardzo mnie cieszy i raduje za każdym razem, jak ktokolwiek wspomina o sezonie Bush.
1146:  Chodź do mnie, artykule Tomasza Majkowskiego.
1149:  Oczywiście mam artykuł Tomasza Majkowskiego, mianowicie, moi drodzy, i Szezon Busz, tak, powieść, której nie było, o sezonie Busz Andrzeja Sapkowskiego.
1158:  No niestety nie jest to jakieś bardzo zaufane źródło, ale sam artykuł dobry, Tomasz Majkowski to jest baza, więc bardzo polecam, świetny tekst, podlinkuję wam zresztą wszystkie teksty, które będziemy sobie dzisiaj wrzucali do opisu tegoż naszego live'a.
1173:  Szezon Busz sprawił, że zacząłem czytać Wieśka, nie był aż tak tragiczny, a wiadomo, najsłabszy.
1176:  Wiesz co, Samuil, powiem ci, że rzeczywiście, jeżeli ktoś zaczął od tego, to spoko, absolutnie.
1180:  Natomiast Andrzej Sapkowski pisał to jako interquel, czyli coś, co ma być pomiędzy tomami sagi, nie?
1184:  Sezon zbóż.
1186:  A zatem, po co Yennefer się udaje do tego banku?
1188:  Moi drodzy, sprawa jest bardzo prosta, mianowicie potrzebuje pieniędzy.
1193:  Więc po to jest ta scena.
1196:  Również jest po to, żeby nam zarysować to, że Cirilla zostanie wyekspediowana do Aretuzy, gdzie to w Aretuzie się będzie uczyć.
1203:  Czyli wiecie, sprawy są bardzo poważne, to znaczy na początku Cirilla była na szlaku wiedźmińskim, a teraz będzie na szlaku...
1210:  do Węgorzewa, bo jak wiadomo, Arestuza to jest tak naprawdę Węgorzewo.
1214:  Węgorzewo z tego się bierze, że są tam Węgorze, które zostały wprowadzone prawem geniuszu Loren Hissrich, którą wiekuiście będziemy nazywać Fistech, oraz jej scenarzystów, którzy stwierdzili, że czegoś brakuje w tym takim dziwnym, słowiańskim...
1229:  tworzę od Andrzeja Sapkowskiego i tam jestem tu, że takie strzygi są jakieś, są wąpierze, jest jakiś Regis, za Regisa to sobie wykastujemy, myślę, że Eddie Murphy będzie znakomitym wyborem castingowym, no i oprócz tego, no takie dziwne rzeczy, takie słowiańskie, ale dajmy tam Węgorze.
1249:  Węgorze są odpowiedzią, zdecydowanie, bo wiecie, węgorz mężczyzny wpływa do jaskini kobiety i oto mamy piękną metaforę.
1255:  Swoją drogą jest to cytat z wyznań gejszy, który jest znacznie lepszym filmem, nieźle to, co teraz oglądamy.
1260:  Milky Way, dziękuję serdecznie za dołączenie do grona, trybutariuszy.
1263:  Ciri została za tym list, co gwartu dziękuję za podsumowanie.
1266:  A za tym idziemy, moi drodzy, dalej.
1268:  Adam Sandler byłby lepszym regisem?
1269:  Macie rację, ale pamiętajcie, że jednak Adam Sandler nie jest dobrym wyborem castingowym z uwagi na jego uwarunkowania etniczne.
1275:  Nie pakuj się w kłopoty, żegna tymi słowy Jennifer Cirille i trafiamy, moi drodzy, do bardzo ważnego miejsca, to znaczy jest już pierwszy crossover, witamy Dawida z Naukowego Bełkotu, który mówi, żeby nie szkalować węgorzy.
1289:  Dawidzie bez obaw, węgorz to jest prawie jak jamnik, jest też długi, ale to jest niestety koniec podobieństw i zalet.
1295:  Więc moi mili, na czym polega problem z tymi scenami u Radowida?
1299:  Problem główny ze scenami u Radowida polega na tym, że wmawia nam się, że tutaj jest polityka Królestw Północy, gdy tymczasem jest to polityka jednego Królestwa Północy.
1307:  I jeśli się zastanawialiście nad tym, po co będą wszystkie te sceny w tym odcinku, otóż z bardzo prostego powodu.
1313:  Należy zabić postać, która w sadze nie ginie.
1316:  Pytacie się jeszcze dlaczego?
1317:  Otóż to jest wystarczający w zupełności powód.
1320:  I generalnie tutaj będzie cały czas nam się zacieśniały relacje pomiędzy właśnie Radowidem, pomiędzy Wizimirem Redańskim, którego Radowid oczywiście pamiętajmy jest bratem, nie jest synem, ponieważ to jest jakieś kłamstwo wymyślane przez Andrzeja Sapkowskiego, no i oczywiście Filipu Eilhart, który już wreszcie się nauczyłem rozpoznawać, oraz Dijkstro, który w dalszym ciągu wygląda chyba najlepiej, chociaż cały czas przypomina mi tego króla z Podróży Pana Kleksa.
1344:  Wiecie, to jest tuż przed tą sceną z wilkami.
1347:  Wiii!
1349:  To właśnie, straszne to było.
1352:  W każdym razie, cała ta przydługa scena niczemu nie służy, poza ustanowieniem właśnie tych relacji między wszystkimi postaciami i poza bardzo dziwną sekwencją szermierczą.
1362:  I cóż, nie pamiętam, jak się ta scena już kończy.
1365:  O właśnie, ona się kończy cudownie, moi drodzy.
1367:  Mianowicie, to jest najpiękniejszy element scenografii, jaki widziałem kiedykolwiek.
1371:  To jest dosłownie kadr, który mógłby być z Korony Królów.
1374:  Dosłownie i absolutnie.
1375:  Spiskuje oto Dijkstra z Radowidem, żeby Cyrillę zwabić do Redanii, ponieważ powody, ponieważ polityka, ponieważ intrygi królewskie, moi drodzy.
1384:  Krzysztof, nie przywołuj starych traum z dzieciństwa.
1387:  Jest to prawda.
1388:  O, i tutaj jest taki piękny portyk.
1390:  Chciałem go wam pokazać.
1391:  O, o, to jest bardzo, bardzo ładny element scenografii.
1395:  Więcej się nad scenografią wiedźmińską znędza, moi drodzy, Marcin Łukański we wspaniałym kanale Na Gałęzi, który wam bydne wieku iście polecał.
1402:  Więc tam możecie bardziej fachowym okiem zobaczyć, jak to jest wszystko oceniane.
1407:  Ja tylko zaznaczam to, co zaznaczałem już wcześniej, że to jest teatralne.
1411:  I bardzo dobrze to widać, i to wiem akurat z materiału Marcina Łukańskiego, w tych zbliżeniach, w takich charakterystycznych, stabilnych, stałych, monotonnych kadrach, które się w żaden sposób nie ruszają.
1424:  Cora przykład robi sukcesja i to jest dobre, mianowicie też macie niby przepych,
1428:  podglądanie arystokracji, powiedzmy, współczesności, tylko że kamera się trzęsie cała, prawda?
1434:  Że pokazać, że to jest, wiesz, takie, no, szalanskie, że po prostu ktoś tam wszedł i sobie nagrywa, jak iPhone'em praktycznie.
1440:  I to budźduje takie poczucie realizmu, mimo że tam naprawdę wszystko mogło być wcześniej przyniesione na set filmowy oczywiście, tak?
1448:  Zwykle to bywa z kostiumami.
1449:  Natomiast tutaj, przez to, że tak nie jest zrobione, i teraz już wiem dzięki Marcinowi Łukańskiemu dlaczego, to jest takie wrażenie właśnie teatralności.
1457:  Wilki u Pana Kleksa miały lepsze zbroje niż Nilfgaard u Netflixa.
1459:  Przypominam, Igniwus, że Nilfgaard ma upgrade'owane teraz zbroje.
1463:  To już nie są troglodyci, tylko przeklęci troglodyci, mówiąc językiem Heroesa 3.
1468:  I teraz już nie są to mosznozbroje, tylko to są plastikowe zbroje z konwentu.
1471:  Ale nie z Pyrkonu, bo na Pyrkonie jest bardzo dobry cosplay.
1474:  Myślę, że trzeba byłoby taki mały, dziesięcioosobowy konwent wybrać raczej dla porównania.
1478:  Po czym, moi drodzy, poznajemy?
1480:  Że Radovid coś knuje.
1487:  Radowid je jabłko.
1491:  I będę mówił za każdym razem jabłko, a nie będę mówił jabłko, ponieważ zawsze będę mówił jabłko.
1496:  Tyle w temacie.
1496:  To jestem tak samo jak Loren Hissrich, którego będziemy nazywać Fistech.
1500:  Mianowicie, chcecie powody, to są moje powody.
1502:  Przenosimy się tutaj do sekwencji w aretuzie znowu i zwracam uwagę ponownie na to, że mamy dwa zupełnie różne wnętrza aretuzy.
1510:  Jedno jest takie ciemne, mroczne, które było w pierwszych sezonach, w pierwszym i w drugim,
1515:  a drugie to jest to dziwne, wzięte niemalże z Red Keep w King's Landing, prawda?
1520:  I ono się pojawia w innych sekwencjach.
1521:  Ja byłem święcie przekonany, że my się tam przenosimy między Szkołą Czarodziejek na Aretuzie, pamiętajcie, że Aretuza to jest... czy w Aretuzie na Wyspie Tanet, bo wyspa Tanet ma nie tylko Szkołę Magii, tylko ma też inne rzeczy.
1534:  Ja byłem przekonany, że tam jest kilka budynków przez to.
1537:  Tak, zresztą wsadzę, ale okazuje się, że nie, że w serialu cały czas jesteśmy w szkole czarodziejek, więc to jest po prostu inna sek... nie wiem, może to są podziemia aretuzy, w których są, moi drodzy, gromadzone garnki ze złotem, ponieważ tutaj sięga tęcza, na końcu której jest garnczek leprekonusa.
1552:  Pamiętacie leprekonusy, które tańczyły w Heroesach?
1554:  Trzymam nadzieję.
1555:  Tam była taka bardzo charakterystyczna muzyka.
1557:  Ta-dam, ta-dam, ta-dam, ta-dam, ta-dam.
1562:  Przepiękna sprawa, uwielbiałem Leprokonusy.
1564:  Ja bym się jeszcze dostawało złoto w Heroesie, tak, absolutnie.
1568:  Trybut, dziękuję wam za informację, bo umyka mi.
1571:  Do tego spektaklu porażki zjem sobie parówkową, pisze pan Remix, dziękuję za wsparcie od 21 miesięcy, przy okazji dziękuję też Jamnikułajom, a mieliśmy dwoje Jamnikułajów, Jacka79100, który podarował wsparcie.
1582:  oraz RRB.
1583:  Dziękuję serdecznie i wracam, moi drodzy, do naszych odcinków.
1585:  Mam ich dzisiaj trzy, jest strasznie dużo do omówienia.
