Na ratunek Ciri wszyscy się rzucili — WITCHER 3 Livestream #25
🔗 https://www.youtube.com/watch?v=agVyy0IDZ2I

3:  Ostatni raz.
646:  Tak, dwie łodzie wyskoczyli na wybrzeże, natłukli czarnych, wsi napalili i nawet kurwa siniaków nie przyjęli.
652:  Taki łeb olbrzyma nad kominkiem, to dopiero zdoba.
657:  Arczipita, dwa uniwersytety oferują podobny certyfikowany kurs.
660:  Którego uniwerku warto zapłacić ten certyfikat?
662:  Jakie kryteria warto wziąć pod uwagę?
665:  Jeżeli to są zagraniczne uniwersytety, to liczbę noblistów, liczbę zadowolonych opinii studenckich, liczbę fajnych naukowców, którzy tam się pojawiają.
677:  Trzeba na tego podejść takim rachunkiem ilościowym, nie?
681:  I też spojrzeć na programy studiów, nie?
685:  Jeżeli są podobne kursy, to tak, ale może autorzy tych kursów są inni, mają lepszy dorobek, więc tutaj bym się troszeczkę wgryzł.
691:  No i standardowo, podpytałbym o opinię studentów, nie?
697:  Natomiast nie patrzyłbym na miejsca rankingowe.
699:  Te kryteria, które wymieniłem, one wpływały na miejsca rankingowe, ale nie wszystkie.
706:  Nadia pisze, że Arkane jest wybitne.
707:  Absolutnie się zgadzam.
710:  Rozmawiamy z Helmarem.
711:  Teraz powinno być słychać świetnie.
713:  Co tam, Geralt?
718:  Pamiętam, że ty i Ciri przez jakiś czas wychowywaliście się razem.
723:  Tak, pół dzieciństwa spędziła na wyspach i zawsze trzymała się ze mną.
728:  Takie było z niej chuchro, ale na łyżwach skakała lepiej niż my wszyscy.
733:  Kiedyś pocharatałem sobie gębę na skałach, bo próbowałem ją prześcignąć.
738:  A potem oświadczyliście Krachowi, że się pobieracie.
741:  Słyszałeś o tym?
742:  Tak, mieliśmy wtedy po 12 lat.
745:  Ojciec rzemieniem wytłukł mi wtedy te amory z głowy.
751:  Taka dobra metoda wychowawcza!
753:  Jakby to było teraz ją spotkać.
758:  Świetna metoda wychowawcza.
759:  A propos, Monke pyta, Krzysztofie, gdybyś cofnął się teraz do momentu, gdy chodziłeś do czwartej klasy szkoły podstawowej, co zrobiłbym inaczej?
766:  Namówiłbym rodziców na edukację domową, nie żartuję.
770:  I gdybym teraz się uczył, to po prostu rodzice by coś takiego zrobili, myśmy...
775:  Chcieli to, ale nie było to możliwe w sensie prawnym, nie było takiej opcji, jak ja się uczyłem, więc to jest ta jedna rzecz, którą bym zrobił.
782:  Ja nie miałem problemów z uczeniem się i niczym nie przeszkadzała atmosfera w szkole, przeszkadzało mi to środowisko, przeszkadzało mi to, w jaki sposób nauczyciele podchodzili do nauczania.
791:  Zgubia to, na co narzekam w filmach, nie?
793:  To mi bardzo przeszkadzało i wszystkie te problemy zostały rozwiązane, bo dla mnie nauczenie się do egzaminu to byłaby kwestia, nie wiem, kilku tygodni może, a zyskałbym parę miesięcy.
803:  Ja szybko pracuję.
805:  Zawsze szybko pracowałem.
806:  Robiłem w jednostce czasu więcej niż inni, więc to jest na pewno coś, co bym zrobił.
810:  Dzięki temu mógł więcej się bawić.
813:  W pięknym momencie.
814:  Grabka kupił wieśka w edycji Gry Roku i to był świetny zakup.
817:  Jak się cieszę.
818:  Jak się cieszę.
819:  Wybierasz się na kolejną wyprawę?
820:  Pewno.
821:  Lodowy gigant to dopiero początek.
823:  Zresztą różni tacy już zaczynają opowiadać, że wcale nie był taki wielki.
827:  A co z ludźmi z Undvik?
829:  Mieliście im pomóc wrócić na wyspę i odbudować Urskar.
833:  Cerys się tym zajmie.
836:  Proszę bardzo.
837:  Dzielny, skelicki wuj, który jeszcze chwilę... Wuj?
840:  Woi.
842:  Wojownik, który jeszcze chwilę temu zachwalał przemoc wobec dzieci, teraz zrzuca wszystko na kobietę, która jest u władzy.
847:  Jakie to jest piękne.
848:  Moje serce się cieszy.
852:  Jak długo mogłyby Pita Borówka działać w szkoły, zajmując się papierologią i innymi ważnymi sprawami, by z dnia na dzień zniknęli wszyscy uczniowie?
858:  Myślę, że nauczyciele mogliby tego nie zauważyć.
863:  Lecimy dalej, moi drodzy.
865:  Dziki Gon szykuje się do ataku na Kaer Morhen.
868:  Potrzebuje twojej pomocy.
870:  Upiory zaatakują wasze wiedźmińskie siedliszcze?
873:  Jesteś przyjacielem mego rodu i nie mogę ci odmówić.
876:  Szczególnie, że jeszcze żaden Uncraid nie wsławił się walką z takim nieprzyjacielem.
881:  Wyruszam natychmiast.
882:  Dzięki.
882:  Nie zapomnę ci tego.
883:  Bardzo dobrze.
884:  Bardzo dobrze.
886:  Coraz więcej dzielnych wojowników będzie pomagać nam w tym, żeby trzymać pierwszą linię przed dzikim gonem, podczas gdy będziemy rzucać kule ognia.
897:  Co się stało takiego, że padło na Dark Souls, a nie Red Dead Redemption?
901:  Ależ, moi drodzy, zobowiązałem się, że Red Dead Redemption będzie, jak Wiedźmin się skończy.
908:  Wiedźmin się nie skończył.
911:  Więc stwierdziłem, że na razie Dark Souls i jeszcze Krach.
915:  Cały czas nie mogę dotrzeć do Kracha, to jest całe zabawne, ponieważ ja do niego szedłem i nie jestem w stanie.
921:  To są Komnaty Cerys.
927:  Niech topór twój nigdy nie pęknie.
929:  Miotkiem ci już dupę posmarowali?
960:  Aaa, jest krach!
961:  Chciałem porozmawiać.
969:  To była bardzo dziwna i długa pauza.
971:  Witamy Taraele na chatach.
977:  Jakie mamy podejście do internetowych, dobrowolnych zbiórek na komputery?
980:  Jak ktoś chce dawać pieniądze na cokolwiek, to super.
982:  Osoby i organizacje są nazywane pasożytami.
984:  A to jest zabawne, biorąc pod uwagę to, że Jeff Bezos pasożytuje na swoich pracownikach, a on jest nazywany skutecznym biznesmenem, nie?
991:  Mimo że jemu dobrowolnie nikt nie oddaje swoich pensji.
995:  A co nowego na Skaligę?
997:  Ostatnio widujemy coraz więcej okrętów ze znakiem słońca na żablu.
1002:  To jest dziki gon.
1003:  Nie pojmaliśmy jeszcze nikogo z ich załogi, ale tylko głupiec nie zorientowałby się, że coś szykują.
1012:  Co sądzisz o masakrze na zamku w skali 1 do 10?
1015:  Wiadomo coś więcej o masakrze w Kartrolde?
1019:  Dzięki Cerys i tobie wiemy, kto za tym stał.
1022:  Mnie to wystarczy.
1023:  Nie próbowałeś pojmać berserków?
1025:  To były tylko narzędzia.
1027:  Zawsze wolę odrąbać rękę, która ściska miecz, niż niszczyć stal.
1035:  Twoja córka to pierwsza kobieta, która zasiadła na tronie Skellige.
1038:  Będzie dobrą królową.
1040:  Wie, czego chce.
1042:  No właśnie.
1043:  Czego chce?
1044:  Zjednoczyć wszystkie klany na Skellige.
1047:  Trudne to zadanie.
1048:  Jeszcze nigdy nikomu się nie udało, ale Cerys jest uparta.
1052:  Plany dalekosiężne.
1054:  Udaje się?
1056:  Ma potężnego sprzymierzeńca.
1058:  Mnie.
1061:  I ja piszę, że też ją bierze przeziębieni w idaklu w klubie.
1064:  Wiecie, ja się przez moment, przez chwilę się zastanawiałem.
1070:  Dlaczego?
1072:  I czemu jest tak, że ją bierze przeziębieni?
1074:  Przecież przez półtora roku, jak pracowałem z domu wyłącznie, to było wszystko w porządku.
1081:  A potem sobie przypomniałem, że przecież poszedłem do miejsc, bo musiałem podpisać dokumenciki, bo przecież nie można podpisać zdalnie do miejsc, gdzie są denajaliści covidowi, którzy nie noszą maseczek, a nawet jeśli, nawet jeśli nie są denajalistami covidowymi, to mają taką synapsę w mózgu, która łączy
1100:  Masz masz masz masz masz masz masz masz masz masz masz masz masz masz
1119:  W związku z powyższym zaraziłem się od kogoś genialnego, prawda?
1123:  Mój system immunologiczny świetnie sobie radził przez cały rok.
1127:  Okrugludki roczek, wszystko było w porządku.
1130:  Raz nie kiknąłem, starczyło, że parę razy wyszedłem.
1133:  Ja od razu.
1134:  A, jak ja uwielbiam swoich rodaków.
1136:  A!
1139:  To dość delikatna sprawa.
1141:  Chcę cię prosić o wielką przysługę.
1144:  Mów, przyjacielu.
1146:  Wiem, gdzie jest Ciri, ale wiem też, że kiedy do niej dotrę, dziki Gon natychmiast się o tym dowie.
1152:  Będą nas ścigać, zaatakują nas, a my będziemy musieli odpowiedzieć siłą.
1157:  Mogę na ciebie liczyć?
1160:  Najpierw czarni, teraz upiory.
1164:  Cóż to robić?
1165:  Przywieź ją tutaj, a wydamy im bitwę.
1171:  Absolutnie nie będziemy tutaj wydawać nikomu bitwy.
1176:  Wspomniałeś coś o Nilfgaardczykach.
1178:  Ostatnio widujemy coraz więcej okrętów ze znakiem słońca na żaglu.
1184:  Nie pojmaliśmy jeszcze nikogo z ich załogi, ale tylko głupiec nie dowiedział mi się, co się dzieje.
1191:  Ale bez obaw.
1193:  Przegnamy i czarnych, i dziki gon.
1196:  Dwie pieczenie na jednym okno.
1201:  W Kertrolde Ciri będzie bezpieczna.
1206:  Tuż!
1237:  Łóż!
1239:  Co z ciebie za skelicki zwojownik?
1241:  Gdyby był magiem, pomógłby nam!
1245:  Nie ja.
1246:  Król Erlend Ancreid.
1250:  Erlend Kamienna Pięść?
1252:  Czyli to jest Ostrze Zimy?
1254:  Myślałem, że nie istnieje.
1255:  O tak, miecz nam dał.
1257:  Kuty w Mahakamie, hartowany w Smoczym Ogniu.
1260:  Należał do rodu Ancreid od stuleci.
1264:  A teraz należy do ciebie.
1266:  Świetnie, dorzucę sobie trzeci miecz do tej kolekcji, którą mam na plecach.
1273:  Nie mogę tego przyjąć.
1275:  Możesz i musisz.
1277:  Pozwól mi zrobić choć tyle.
1280:  Jeśli tak stawiasz sprawę, dzięki.
1284:  Dlaczego nie ma opcji?
1285:  Wypchaj się swoim mieczem, głupi Jarlu.
1299:  Niech ci dobrze służy.
1307:  Poślij te upiory tam, skąd przybyły.
1310:  Taki mam zamiar.
1312:  Bywaj.
1316:  Czy to jest wszystko?
1317:  Jeszcze myszowór.
1318:  Gdzie jest myszowór?
1320:  Czy ja stąd wyjdę kiedykolwiek?
1323:  Okej, wyszedłem w totalnie losowe miejsce.
1332:  Ok.
1333:  Myślę, że jest o wiele więcej dobrych sposobów na to, żeby nie mieć męża, niż akurat zostawanie kapłanką.
1340:  Biorąc pod uwagę to, co się dzieje z kapłankami w Sadze Wiedźmińskiej, nie polecam.
1344:  Ciekawostka ze świata Warhammca pisze w Tarajal.
1346:  Jednym z tytułów, do których można przybrać kapłan maszyny, Adeptus Mechanicus Division Biologis, po osiągnięciu ranki Magosa, jest wielki pasożyt.
1357:  bardzo ponura ciekawostka Taraelu.
1360:  Nie, na jutro, kochani, jest przygotowany specjalnie po to, żeby ulżyć czatom w efach i będzie licznik śmierci.
1368:  Wreszcie te pytajniczki odkryjemy, swoją drogą.
1371:  Zostały nam dwa ostatnie na Skellige, bo tak, dla tych z was, którzy nie byli na streamach Skelligsy, ich wszystko mamy odkryte.
1376:  Absolutnie wszystko.
1378:  Wszystko.
1381:  Najgorsza lektura szkolna, jaką przeczytałem?
1383:  Ciężko powiedzieć.
1384:  Mogę powiedzieć, jaka była najgłupsza na przykład.
1388:  Najgłupszą książką, jaką przeczytałem, było bez dwóch zdań dowolna powieść Żeromskiego.
1394:  To jest człowiek po prostu głupi, który nie ma nic do powiedzenia o świecie, jeszcze do tego wszystkiego jest grafomanem i nie umie tworzyć historii poprawnie.
1401:  Po prostu głupie powieści.
1403:  Ich wymowa polityczna była głupia, wszystko w niej było głupie.
1409:  Tak jest, SoyWitch, będzie licznik śmierci.
1411:  Będzie dyskretny i minimalistyczny, bo wiecie, że ja nie lubię, jak jest nieimersyjny stream z różnymi napisami typu... Wiecie, tak?
1419:  Jak jest z Twitcha, jak są nagrania.
1421:  Lecą wszystkie... Lecą czaty na ekranie.
1423:  Hej, YouTube!
1425:  Hej, YouTube!
1427:  Hej, YouTube!
1429:  Hej, YouTube!
1431:  To mi... Od razu mi się przypomina ta scena z facetów w rajtuzach.
1434:  Hej, Abad!
1436:  Welcome, Abad!
1437:  Hej, Abad!
1442:  Więc będzie minimalistycznie.
1445:  Gdzie jest... Gdzie jest druid?
1451:  Gdzie jest druid?
1453:  Czy ja w dalszym ciągu nie umiem trafiać w tej grze nigdzie?
1462:  Tak, w dalszym ciągu nie umiem nigdzie trafiać w tej grze.
1465:  Zastanawiam się... Nie, ja się zastanawiam, moi drodzy, o jak... Niezależnie od tego, o jaki profil psychologiczny pytacie, nie zastanawiam się nad tym, ponieważ ja nie profiluję ludzi.
1473:  Zwłaszcza siebie.
1477:  Dobrze, raz w życiu posłucham minimapy.
1480:  Raz w życiu.
1481:  I zobaczycie, że to się źle skończy.
1484:  On jest w jakiejś jaskini.
1490:  Czemu szkaluje Żeromskiego?
1491:  By się czytać nie dla tego człowieka przecież.
1493:  Jeżeli chcecie przeczytać rzecz Żeromskiemu, która się względnie mu udała, to jest to nawracanie Judasza.
1499:  To przynajmniej jest taka mroczna, modernistyczna powieść w stylu trochę Grabińskiego.
1503:  Da się to przeczytać.
1505:  Myszowór!
1506:  Ja się regularnie gubię w swoim mieszkaniu.
1512:  Absolutnie regularnie.
1516:  Co sądzę o dziadach, pomijając niezdrowy kult, jaki się utrzymuje wokół Mickiewiczka skupiając się na samych utworach?
1525:  Trudno mi powiedzieć, bo ja nie pałam sympatią do tego.
1528:  Obawiam się, że nie jestem w stanie już oddzielić tych wszystkich interpretacji, które wzbudzają we mnie obrzydzenie od samego utworu.
1533:  Więc powiem tylko, że mam taki zwyczaj, mianowicie nie oceniam nigdy dzieł, które są nieskończone.
1541:  Dlatego też nie recenzowałem jeszcze na przykład koła czasu amazonowego, prawda?
1546:  Bo nie jest skończone, więc nie mogę się pytać naddziałów, bo nie są skończone.
1551:  Tak wybrmę z tego.
1552:  Ciekaw jestem twojego zdania na temat wojny.
1555:  Cóż, myślę, że Emhyr wygrał na nią zły moment.
1560:  Moim zdaniem trudno było o lepszy teraz, gdy północ jest rozbita.
1564:  Co tu się dzieje?
1565:  To fakt.
1566:  Ale mam wrażenie, że cesarz ma wiele problemów wewnętrznych.
1571:  Zbyt wiele, żeby rozpoczynać wojnę.
1575:  Radomid jest przebiegłym szaleńcem i na pewno to wykorzysta.
1579:  Okładanie się kocodrzewiną pomaga, odblokowuje pory i poprawia pH skóry.
1587:  Nie mam zielonego pojęcia ani co oznacza odblokowywanie porów, ani pH skóry, ale zaabsorwowałem to z reklam.
1594:  Zostałeś kierofantem?
1596:  Moje gratulacje.
1597:  Dziękuję.
1599:  Skeliski krąg wybrał mnie lata temu, akurat gdy zaogniły się dawne spory między klanami.
1606:  Dużo polityki, co?
1608:  Akurat nigdy mi to nie przeszkadzało.
1611:  Od wieków druidzi wędrują między klanami i trzymają w ryzach tę wiecznie kłócącą się rodzinę.
1618:  Troska o równowagę nie polega tylko na kontrolowaniu populacji w strągach strumienia.
1624:  Na szczęście Jarlowie zawsze cenili nas jako doradców.
1630:  Cykl demoniczny Bretta znany.
1631:  Co więcej, uważam, że Brett wymyślił jeden z fajniejszych i lepszych systemów magii runicznej.
1636:  Bardzo mi się on podoba i bardzo wam polecam.
1638:  Jeżeli na przykład się podobał Wegener, to myślę sobie, że cykl demoniczny jest... Znaczy, trochę na niższym poziomie literackim, ale na pewno na takim samym wysokim poziomie światotwórczym.
1649:  Jak druidzi zapatrują się na nowego władcę Skellige'a?
1651:  Ankreid to dobra krew.
1654:  Problem w tym, że Cerys to pierwsza kobieta na tronie Skellige.
1659:  Nie wszyscy są zadowoleni?
1660:  Na Skellige jest siedem klanów i każdy chciałby, żeby król wywodził się z ich rodu.
1667:  Ale Cerys sobie poradzi.
1669:  Nie jest tak porywcza jak Hjalmar.
1672:  Najpierw myśli, a potem działa.
1674:  Mając doradcę w postaci Krecha, może być dobrą królową.
1680:  Co sądzę o magii natury?
1681:  Rozumiem, Kacper, że to jest w nawiązaniu do kosodrzewiny, która łechce Geralta po podbródku.
1688:  Najlepsza jest w Warhammerze, zdecydowanie.
1690:  Magia natury ma jedną potężną funkcję, mianowicie uzdrawia.
1695:  To jest dobra rzecz.
1699:  Aaa, dobrze!
1701:  MrJulie90 mnie złapał na jednym, że co do oceny nieskończonych dzieł było Arkane polecane.
1707:  Tak!
1708:  Ale oceniałem tam świat, to znaczy to nie była recenzja de facto, tylko to było... Nie ma na to dobrego słowa, tak?
1714:  Znaczy ja najchętniej bym to nazywał impresjami światotwórczymi, ale wyobraźcie sobie, ile osób kliknie na YouTubie w film, który się nazywa Impresja Światotwórcza.
1723:  Ja wymyślam różne terminy naukowe także, ale znam limity.
1728:  Kiedyś usiłowałem przełożyć retcon, który wszyscy kojarzą, wiedzą, czym jest retcon, w narracjach fanowskich, na retroakcję światotwórczą.
1736:  No cóż, nie przyjęło się.
1738:  No więc dlatego ja...
1740:  Oceniam świat i konstrukcję świata zwykle w fantastyce, natomiast z braku lepszego określenia mówi się o tym recenzja bez spoilerów.
1747:  Ale tak, nie lubię się wypowiadać na temat czegoś, co się nie skończyło.
1750:  Przy Arkainie jest to tyle dobrze, że niezależnie co by się tam zdarzyło fabularnie, to i tak to nie zmieniło specjalnie mojego zdania.
1758:  Byliśmy z Yen na Hindarsfjall.
1760:  O, i czego się dowiedzieliście?
1763:  Ciri była w Lofoten.
1765:  Trafiła tam ranna.
1766:  Miejscowi się nią zaopiekowali.
1769:  Niestety dziki Gon trafił na jej ślad.
1772:  Ciri udało się uciec, ale mieszkańcy wioski... Wiem, nie musisz kończyć.
1779:  Rozmawiałem później z tymi, którzy ocaleni.
1783:  Cóż, dobrze, że Ciri uciekła.
1785:  Mam nadzieję, że szybko ją odnajdziecie.
1790:  Przepraszam, zawsze będę się usprawiedliwał tak samo.
1792:  Uczyni mnie na biologii budowy pierwotniaka i ameby.
1795:  Niestety wszystkie bardziej wysoko rozwinięte organizmy nie były w podstawie programowej, więc nie wiem.
1805:  Czy możemy spalić ten krzak?
1806:  Bardzo bym chętnie to zrobił.
1807:  Bardzo bym chętnie to zrobił.
1813:  A, pytacie... Szymon pyta o mądre słownictwo i tak dalej.
1817:  Trzeba używać w zależności od okoliczności.
1819:  Nie.
1820:  O!
1820:  Stary druid?
1843:  Stary druid ma więcej w sobie krzepy niż skelikijski wojownik.
1847:  Jeszcze jeden dowód na to, że magowie zawsze są lepsi.
1853:  Cykl Zmroku, najlepsza następna seria od Bretta.
1855:  Tak, ja się czekam, aż ją skończy, ponieważ Brett pisze w taki sposób, że każdy utwór kończy cliffhangerem i ja tego nie wytrzymam.
1862:  Więc ja muszę to przeczytać w całości.
1864:  Już się przekonałem co do swojej pamięci, że nie ma co czekać.
1867:  Z Sandersonem jest tak, że nie jestem w stanie się powstrzymać, jak wyjdzie nowy tom i już nie pamiętam, o czym były rytmy wojny.
1873:  Nic.
1874:  Nie wiem nic o rytmach wojny.
1876:  Absolutnie nic.
1876:  A czytałem to jakieś, nie wiem, dwa miesiące temu.
1881:  No więc co do tego słownictwa, no to tak jak zawsze mówię, jestem zwolennikiem używania wszystkich słów, ale postawię przecinek i dopowiem w zależności od okoliczności i odbiorców, bo gdybyśmy na przykład zrobili w ten sposób, żeby wygłosić taką popularną naukowo prelekcję o grach komputerowych do grona boomerów i profesorów,
1900:  to w ten sposób to by nic nie dało.
1902:  Moglibyście równie dobrze się rozebrać, wskoczyć na monocykl i jeździć naokoło, klaszcząc jak małpka i śpiewając tu dwa ucha, tam dwa ucha, a tu dupa, która słucha.
1912:  Mniej więcej tak samo bylibyście traktowani.
