Tańczący z wilkami — WITCHER 3 Livestream #8
🔗 https://www.youtube.com/watch?v=9gKMBfSbQ4s

4:  Witam Was wszystkich serdecznie.
432:  Tutaj, wiecie, tutaj się coś dzieje.
434:  My podchodzimy tutaj do tej sytuacji emergentnej.
439:  Jestem, ale nie krzycz do mnie, jestem tuż obok ciebie debilu!
445:  O nic, idź swoją drogą.
447:  Zamknij się, Goddard!
448:  On nam może pomóc!
451:  Maska jest cudowna.
452:  Na Bertramie chcą się zemścić.
455:  Wiele nie mamy, ale zapłacimy, jeśli nas ochronicie.
457:  Witam Arkanu Iwaniewskiego.
462:  Tak należy grać w Wiedźmina, absolutnie tak!
466:  Co to za wilczyca?
468:  Podobno z wilkami się hęduszy, a człowieka gołymi rękami rozszarpać potrafi.
472:  Potworzyca w ludzkiej skórze, choć niektórzy mówią, że wielkiej urody.
478:  Przewodzi zgrają dezertyrów, niedobitków z różnych armii.
481:  Takich, co to i na zabijaniu, i na grabieży dobrze się znają.
488:  Czemu chcą się na tobie mścić?
492:  Bo... bo ich łowcom szanownic wydałem.
495:  Od kiedy łowcy czarownic interesują się bandytami?
498:  Banda wilczy, czy na rzekę nadała?
500:  A nikt wam bronić nie chciał.
502:  W końcu Bertram do łowców poszedł o ochronę prosić.
507:  No i jak się łowcy nimi zajęli, to był chwilę spokój.
509:  Ale teraz się wilczyca o wszystkim dowiedziała i chce Bertrana zabić.
513:  Pomóżcie, bo krucho będzie.
518:  Sądzę o wyśmiewaniu Ricku Morty z Pearl Harbor 9-11.
521:  Wiecie co, byłem na miejscu, gdzie są dwie wieże i jest to tak wstrząsające przeżycie, że szczerze nie umiałbym się z tego śmiać.
533:  Jest przepiękny pomnik, swoją drogą.
534:  Znaczy, po prostu są takie dwie dziury w ziemi, w których jest sadzawka.
537:  Oczywiście w Polsce wiemy, co to by było, byłby jakiś urzędnik państwowy wypięty dumnie, albo jakiś socrealistyczny pomnik strażaków, którzy wchodzą na skałę z sikawką i walczą z żywiołem, a tam jest szczędny, postmodernistyczny, piękny pomnik, który daje do myślenia, to znaczy on mówi, tego już nie ma.
557:  Nie lubię wyśmiewania się, generalnie lubię wyśmiewania się z tragedii, w których zginęło bardzo dużo ludzi, bo to jest słabe.
564:  Wesoły Pan Szkielet, to nie a propos, pisze, to u nas w gimnazjum był totalny zakaz używania telefonu, bo kiedyś uczeń zadzwonił i powiedział, że w szkole jest bomba.
574:  Ale nie sądzę, żeby tylko dlatego zabraniali korzystania z telefonów.
576:  Ja myślę, że to jest jeden z, może być jeden z powodów, ale jakby, no nie wyeliminujemy tego, że ludzie zrobią tego rodzaju rzeczy przez banowanie, nie?
585:  No bo na takiej samej zasadzie w instytucjach publicznych powinno się to zrobić, a tak nie jest.
590:  Przypominam, że nauczyciele korzystają ze smartfonów.
594:  Samo dotyczy wykładowców.
596:  Zapomniałem dać linka do streama na Discordzie.
599:  Przepraszam, jeżeli byłaby dobra jakaś dusza spośród was, która by to zrobiła, to się nie obrażę.
605:  Zajmę się bandytami.
607:  Schowajcie się w domach i zareglujcie drzwi.
610:  Uważaj na nich, Wiedźminie.
612:  Są naprawdę groźni.
615:  Ja uważam, że banowanie telefonów jest dokładnie tak samo sensowne, jak banowanie łopat.
620:  To znaczy łopatą kogoś można zdzielić po głowie i pogrzebać, prawda?
623:  Ale nie są banowane łopaty.
627:  Ale jeszcze lepszy przykład to jest średniowieczny skryba, tak?
630:  Któremu zabroniono używać pióra.
632:  No litości.
634:  Musimy poczekać do zmierzchu.
637:  Co to jest zmierzch?
638:  Zmierzch to chyba nie jest północ, nie?
642:  Czy to już dodatek?
643:  Dodatek.
644:  Znaczy, my gramy z dodatkami oczywiście, ale jeszcze nie jesteśmy ani w TuSą, ani... A w ogóle serca z kamienia zrobimy na sam koniec.
653:  Czy słyszałem o zapowiedziach nowego tywilu Nolana?
655:  Nie, od was się dowiaduję.
661:  Dobrze, może o 22 jest zmierzch?
662:  Tak, o 22 jest zmierzch.
678:  Sebastian pisze, że według niego odcinek o szkole jest najlepszy, najbardziej emocjonujący.
682:  Cieszę się bardzo, bo też nie ukrywam, że to jest rzecz, która mi siedziała w głowie.
688:  Bandyta.
693:  Chce chronić mieszkańców wioski.
696:  Dziś ratujemy jaskra.
702:  Jakie mam zdanie o nurcie ludowej historii Polski, pyta Szymon Skalski, który teraz jest widoczny w wielu publikacjach.
709:  Ja nie lubię PRL-u, nie znoszę wręcz, więc może dlatego, że się jeszcze w nim urodziłem, załapałem się na ostatni miesiąc i pamiętam ten szary, brudny, brzydki Kraków, w którym nic się nie działo.
721:  Okropność.
722:  I nie znoszę też filmów o PRL-u.
725:  Wynajęli, żebym ich bronił przed potworami i ludźmi, którzy mogą się w potwory zamienić.
732:  A ty uwierzyłeś, że ja to potrafię.
734:  A potrafisz?
736:  Możesz się przekonać, jeśli chcesz.
738:  Albo możesz mi wydać Bertrama i nikomu innemu nie stanie się krzywda.
743:  Pomnik Katastrofy Smańskiej w Warszawie w kształcie schodów do samolotu jest postmodernistyczny?
747:  Nie, jest po prostu głupi i tandetny.
752:  Czy oglądałem recenzje filmów Tomasza Raczka?
753:  Tak, wiele razy.
755:  Od dawna go... Jeszcze go czytałem, zanim zaczął robić na YouTubie.
758:  Dobre, podoba mi się, chociaż czasem pretensjonalne.
761:  Co takiego zrobił ten Bertram, że chcesz się na nim ścić?
765:  A więc tego już ci nie powiedzieli?
767:  No to słuchaj.
768:  Przyszedł do mnie pół roku temu.
770:  Miał wskazywać, kogo warto złupić w zamian za udział w zyskach.
774:  Ale po jakimś czasie zrobił się zachłanny.
778:  Chciał więcej, ale mu odmówiłam.
780:  Wtedy napuścił na nas łowców czarownic.
783:  Przez niego połowa moich ludzi nie żyje.
787:  Odsuń się, Wiedźminie.
788:  To nie twoja sprawa.
789:  Chcemy tylko Bertrama, nikogo więcej.
791:  Masz moje słowo.
801:  A wiecie co?
802:  Pozwolimy jej nogę.
804:  Krzysztof słucha dialogów.
808:  Nie myślcie sobie, że Krzysztof nie słucha.
810:  Krzysztof ma podzielną uwagę.
813:  Idziemy, panowie!
819:  Algorytm YouTube'a jest dziwny, wyświetla mi teraz reklamy Joanny Bator.
822:  Bardzo ci współczuję.
824:  Oczywiście musimy znowu znaleźć statek, który zmierza na Skellige, ale w zamian za to teraz sobie wyczyścimy pytajniczki, a potem już lecimy do Jaskra.
832:  Dlaczego tutaj nie ma więcej pytajniczków?
835:  Co za oszustwo, tu jest tylko jeden pytajniczek, a tam nie będziemy podróżować, bo jest za daleko.
840:  Idziemy tak czy siak.
846:  Pytacie, doktor, doktor Akali pytała, witam doktora, kolega po fachu, pytał o odczucia względem drugiego LO w Krakowie.
856:  Kończyłem drugie LO w Krakowie.
859:  Spoko była tam łaciniczka, bardzo ją lubiłem, mieliśmy sztamę, pani Sobańska i... chyba koniec.
874:  Jeszcze dyrektor był fajny, bo miałem z nim układ.
876:  Uuu, wodnica!
878:  Mmm!
892:  Miałem mianowicie z nim taki układ, że dwa lata z liceum prawie byłem zwolniony, bo się przygotowywałem do olimpiady.
898:  To było fajne.
900:  Więc dyrektor Stępski dostaje też ode mnie pozdrowienia.
906:  To jest taki typ elastyczności, który cenię w nauczycielach.
919:  Pomoc, jakiego wierzchowca?
921:  Pyta profesor Volant.
922:  Coraz wyższe te tytuły na czacie w nowym Pathfinderze.
924:  Wielka Stonoga, Triceratops, Mammut czy Velociraptor?
928:  Oczywiście, że Velociraptor.
930:  Co za pytanie.
932:  Co ja tu słyszę?
936:  Ooo!
938:  Przeci... Godny przeciwnik!
943:  Kuroliszek!
959:  Ja myślałem, że będzie niebezpiecznie.
962:  Tak, w ogóle generalnie rzecz biorąc ratujemy Jaskra po to, żeby biec do Su Cong.
969:  Jaż tu są, to tu są, aha.
971:  Tam nie tylko wam upierze, ale tam jest też wspaniały składnik, który jest nam potrzebny do mutagenów.
979:  Ja nie chcę nic mówić, ale jeszcze nie dałem wam okazji do F-ów na czacie, to jest dopiero coś.
985:  Więc może będzie przy tych pytajniczkach, obiecuję, że ostatnie przed Jaskrem.
988:  Dalej, Płocka, dalej!
994:  Coś jesteśmy zbyt potężni, będzie trzeba podkręcić poziom trudności.
998:  Powiedział Krzysztof, jak w okolicy nie było wilków.
1002:  Ja najbardziej szanuję nauczycieli, piszę o takim, którzy są wymagający, ale przy tym potrafią szanować człowieka.
1007:  No tak, generalnie to jest słuszne podejście.
1012:  I nie tylko u nauczycieli, ale także, nie wiem, pracodawców?
1019:  Pracodawca nie wymaga, to można nie dopiąć deadline'u, jak na przykład pewna firma projektująca gry komputerowe.
1025:  W przypadku gry zaczynającej się na cyber, a kończącej się na punk.
1053:  Koń!
1060:  Masz rację, Krzysiu.
1061:  15 minut, a ty nie ubrałeś.
1064:  Nie umarłeś.
1064:  Nie ubrałeś.
1066:  Nie ubrałeś?
1066:  O nie!
1067:  Ubrałem, ubrałem.
1068:  Ale umarłem.
1069:  Nie umarłem też.
1073:  Jakiś podrabiany napój zamiast herbatki.
1075:  Zaraz dokończę to pić!
1081:  Odstawiłem poza kadr.
1084:  Wracamy do herbatki, nie martwcie się.
1089:  Herbatka po soku pomarańczowym smakuje jeszcze lepiej.
1094:  Jak prowadzący widzą wyniki ankiet, które wypełniają studenci na koniec semestru?
1097:  Widzą tylko i wyłącznie statystykę.
1099:  Nie mam możliwości podejrzenia kto co pisał.
1102:  Nawet jeżeli wpiszę komentarz, to widzę tylko i wyłącznie listę komentarzy.
1107:  Jedyna osoba, która technicznie ma możliwość sparowania wyników ankiet ze studentem, to administrator systemu.
1115:  Który najczęściej nie ma na to czasu, więc się nikt tym nie przejmuje.
1118:  Więc nie ma się co bać, że ktoś kiedyś... Uuu, więcej Endriak!
1123:  Że ktoś zobaczy wasze wypowiedzi.
1126:  Oczywiście mówię o jednym systemie, to znaczy USOS.
1129:  Jeżeli macie inny system, no to wtedy gorzej.
1132:  Jaka nazwa herbatki?
1135:  Teraz wam nie powiem, bo wiem, że to jest zielona porzeczkowa.
1139:  Chyba.
1141:  Ale nie pamiętam, jak się nazywa.
1151:  Łóżklanka z taliskerem, pięknie.
1154:  Szanuję, ja wczoraj piłem kulajlę dwunastoletnią.
1159:  Boże, jakie to było pyszne.
1168:  Jedźcie na skaligę, tam jest dużo wilków.
1170:  Kiedy najbliższy odcinek?
1171:  Pyta Sebastian.
1172:  Dla każdego coś przykrego.
1173:  I o czym?
1173:  Zła wiadomość, ja nigdy nie wiem kiedy będzie i nigdy nie wiem o czym.
1177:  Strzeżony skarb.
1178:  Serio, znaczy ja się nie kryguję, nie robię scenariuszy nigdy.
1181:  Co to kurwa jest?
1188:  Zaatakowało mnie... Zaatakował mnie owoc morza!
1193:  To żyje!
1201:  Owoce morza najlepsze podpiekane.
1204:  Co to jest?
1207:  Znaczy, ja wiem, że to jest opancerzony krabopająk, ale... Kiedy Warhammer?
1216:  Przyszły tydzień.
1217:  I skaweni wracają, moi drodzy.
1219:  Haha!
1221:  Tym razem naprawdę, no.
1225:  Ślimaczysko.
1225:  Drapieżna krewetka!
1227:  Hahaha!
1230:  Tak jest.
1230:  No, powiem wam, że jak tak dalej pójdzie, to rzeczywiście będziemy musieli coś zrobić z tym poziomem trudności, aż sam jestem zdziwiony.
1238:  Najwyraźniej Geralt jest już mocno dopakowany.
1241:  Hahaha, that's what she said!
1243:  To wszystko dzięki synergii, którą ma Stris Merigold.
1248:  Kiedy Mass Effect?
1249:  Nie wiem.
1249:  Szczerze powiedziawszy, zbyt dobrze mi się gra w tej Fif Wiedźmina, żebym tam wracał, bo Mass Effect strasznie... Znaczy, strasznie się opornie w niego gra.
1258:  Dla mnie przede wszystkim.
1259:  Mnie przede wszystkim z tego względu, że nawigować mi ciężko po tym świecie.
1263:  Przez większość streamów błądzę.
1265:  Ale na pewno wrócimy.
1266:  Powiedz, jak skończymy Wiedźmina.
1270:  U... U... U... Golem.
1274:  Myśmy nie walczyli jeszcze z Golemem chyba.
1276:  Czy walczyliśmy?
1277:  Nie pamiętam.
1282:  Dobra, koniec tego dobrego.
1290:  Czas na olej.
1292:  Haha, that's what she said.
1295:  Reliktom?
1295:  Nie, nie reliktom, istotom magicznym.
1299:  Czy trailer Matrixa było oglądane?
1301:  Tak, zaraz o tym sobie porozmawiamy, okej?
1303:  Bo to jest poważna sprawa i jest bardzo źle.
1308:  Owoce może jedynie z białym winem, potwierdzam.
1313:  Trzeba przyznać temu golemowi, że... Oj!
1318:  Oj, golem!
1320:  Bo ci wsadzę w tył głowy karteczkę z napisem Aleph i będzie problem!
1328:  Znaczy, z glifem Aleph konkretnie.
1338:  Głupi golem!
1347:  Z Luciferem czekam... Nie wiem, czy Lucifer jest w całości dostępny, bo coś nie jest w całości dostępne.
1351:  A nie, La Casa del Papel nie jest dostępne w całości, więc po pierwsze czekam, aż będzie dostępne w całości.
1357:  Okej, standardowo potrzebujemy pochodni.
1360:  No, mamy to chodnie nawet.
1371:  Armaniaki i Bimber lepszy od Armaniaki?
1373:  A nie, Armaniak.
1374:  W questie Skyro był golem, macie rację.
1376:  I żywiołach Ziemi.
1378:  Dobra, po kolei.
1379:  Trailer Matrixa.
1382:  Zrobimy sobie klimat do rozmawiania o trailerze Matrixa, o. Proszę bardzo.
1391:  Otóż trailer Matrixa jest chujowy.
1395:  Koniec tego, co mam do powiedzenia.
1396:  Nie, żartuję.
1397:  Chodzi o to, że z Matrixem jest ten problem, że ten trailer wygląda dokładnie tak samo, jakby to był trailer Johna Wicka 5.
1404:  To nie jest trailer Johna Wicka 5 i jeszcze w dodatku zobaczyłem Johnny'ego Silverhanda.
1408:  Mam trochę dość Johnny'ego Silverhanda, nie chciałem go więcej oglądać na oczy.
1412:  i on był nakręcony tak, jak każdy generyczny zwiastun filmu Marvela, nie zobaczyłem tam ani jednej z tej sceny kojarzącej się z Matrixem, wyjąwszy pigułki i unikanie kul, ale nie było tego charakterystycznego filtru, który powinien być, nie czułem tego świata, nie było powłóczystych płaszczy skórzanych i czarnych okularów i przede wszystkim nie było tego klimatu, tej muzyki charakterystycznej dla filmu Sióstr Wachowskich, więc a, bardzo jestem rozczarowany.
1441:  Czy oglądałem najnowszy film z uniwersum Fate, czyli Ground Order Camelot Wondering?
1444:  Uuu, nie, ale muszę.
1446:  Skoro już jesteśmy przy owocach morza, dlaczego ośmiolice śmierdzą rybą bardziej niż ryba, ponieważ są dłużej w wodzie?
1455:  Gdzie była ta iluzja?
1460:  Kiedy ja się nauczę, że interakcja jest... A właśnie, że mogę teraz to zrobić, ponieważ chcę medytować, chcę odpocząć i nie mów mi, Gro, co mam robić?
1470:  Z MOBDSM-u w Matrixie.
1472:  Znaczy, no tak, i tego charakterystycznego emo-punkowego stylu, nie?
1477:  Matrix był punkowy.
1479:  Cała narracja jest punkowa, to jest rewolucja wolnościowa, nie?
1484:  Walka z maszynami, to jest cyberpunk jak w pysk strzelił.
1489:  Nie było tego w tym zwiastunie, ja naprawdę myślałem, że to jest nowy Marvel albo Disney.
1494:  Na jedno wychodzi.
1496:  Co to jest?
1498:  Co tu jest?
1499:  Gdzie myśmy trafili?
1504:  Pusta butelka, owoc berberki.
1508:  Okej.
1509:  Szkielecik.
1512:  Skrzyneczka.
1514:  Dobrze.
1518:  I tyle?
1519:  Aha, mam umierać z rozkoszy.
1524:  Co to jest?
1525:  Jak myślicie, co to jest?
1529:  Czy to się da wysadzić?
1533:  Aaaa!
1540:  Aaaa!
1541:  Więcej rzeczy.
1544:  I tyle?
1546:  Tyle.
1548:  Art powiadać, tak.
1550:  Kianu powinieneś ściąć włosy i się ogolić, no wystarczyłoby to, nie?
1553:  Zwłaszcza, że Matrix jest takim sterylnym światem, brakowało mi tego bardzo.
1559:  Arcymagos nie odróżnia smaku pożyczki i truskawki, jak to możliwe?
1563:  Co to za spekulacje?
1565:  Co to za obrzydliwe spekulacje?
1571:  Martyna, rozprzestrzenia pogłoski na mój temat, niepokojące.
1576:  Czy umieranie z rozkoszy równa się F?
1579:  Zależy, jak rozwiniemy sobie tę literkę.
1586:  W ogóle przy okazji filmu o szkole przypomniała mi się Batalia Piszemenów, jaką musiałem stoczyć z apologetami bicia po opublikowaniu przeze mnie artykułu o przemocy wobec nieletnich.
1594:  Jeśli chodzi o artykuł, nie obrażę się, jak go podlinkujesz na Discordzie.
1598:  Mamy tam taką osobną sekcję dla naszej twórczości.
1605:  Ja uważam, że absolutnie bardzo dobrze, że to zrobiłeś, bo nie mówi się o tym, a...
1611:  Przemoc jest normalizowana w domu i w szkole, prawda?
1615:  Uderzenie dziecka nie jest dopuszczalne.
1617:  W ogóle.
1619:  W żadnym cywilizowanym kraju europejskim nikt nie twierdzi, że to jest uzasadnione.
1631:  Press F to feel pleasure.
1633:  A to przefiemy, co przynosi znakomitą przyjemność.
1638:  Zobaczcie na ten wyrzut magmy.
1644:  Płoń!
1647:  Co to za odgryzanie się?
1656:  Przepraszam na emocje, ale bogurówkę od jagody akurat bardzo trudno odróżnić.
1659:  Jedno i drugie jest fioletowawe.
1662:  Dopiero po smaku można odróżnić.
1674:  Łotka, do mnie.
1680:  Press F to Gerard Magos Ognia, tak jest.
1683:  Dobrze, idziemy do tego jaskra, bo mówicie cały czas o jaskrze.
1686:  Pójdziemy do jaskra, znaczy wiem dlaczego mówicie cały czas o jaskrze, bo to jest w tytule.
1689:  Sam się, sam, sam sobie to zrobiłem!
1692:  Idziemy.
1693:  Nurzę, borówka jest większa.
1697:  Wiecie, wiecie co jest większe?
1698:  Śliwka jest większa, okej?
1700:  Jedno ma fil takie, a drugie ma fil takie, no bez przesady.
1705:  Ja... Ja nie wiem.
1707:  Ja odróżniam po etykietach.
1708:  Jeżeli pójdę do sklepu, będę mieć napisane borówka na pożeczce, to kupię to jako borówkę i będę zadowolony!
1714:  I nie będę narzekał!
1715:  Gdzie my jesteśmy?
1717:  Zgubiłem się.
1720:  Co to jest?
1720:  Co to jest za miejsce?
1721:  Nie byliśmy tutaj.
1723:  To jest jakieś dziwne miejsce.
1728:  Jestem pewien, że tutaj nie byliśmy.
1732:  Ja się pochwalę, że właśnie kupiłem sobie ebooka Selekcje Marcelli.
1735:  Ooo, cieszę się strasznie.
1739:  Mam nadzieję, że się będzie podobało.
1741:  Moi drodzy, pożeracze.
1744:  Dobrze, że tu wpadliśmy.
1749:  Nowe jamnicze emotki.
1750:  Tak jest, Ayena, tak jest.
1756:  Dominika miała wenę niesamowitą.
1759:  i zrobiłam mnóstwo emoji.
1764:  Teraz pozwalają one zgodnie z nazwą wyrażać emocje.
1768:  Dobrze, żeby nikt na mnie nie krzyczał, tak, aksi, uspokoimy Algula, tak.
1775:  Żeby nie miał kolców, jak jeżyk.
1779:  Dokąd tupta nocą Algul?
1782:  Witaj Tomku, witajcie wszyscy nowo przybywający na czat.
1788:  Nie, nie, nie, nie!
1805:  Ja wiedziałem.
1808:  Wiedziałem, wiedziałem, że tak się to skończy.
1819:  Pokaż, co umiesz.
1849:  Wszystko przez to, że użyłem akcji.
1870:  Geralt cofający się z tym dziobem z pewnością pędza potwory w przerażenie.
1876:  No F jest przepiękne, Dominice bardzo wyszło.
1879:  Czy wolę kanapkę z miodem czy z nutellą?
1881:  Krzysztof pyta na czacie.
1882:  Bardzo ważne pytania na czacie.
1885:  Bardzo lubiłem kanapki z nutellą, ale muszę wam wyznać jedną rzecz.
1890:  Nutellę je się z bułeczką.
1892:  To jest najlepszy, najbardziej prototypowy sposób jedzenia nutelli.
1896:  A kanapeczkę można z miodem.
1899:  Ale nutella tylko z taką małą, pszenną bułeczką.
1902:  Mniam, mniam.
1903:  Jak już jemy kalorie, to jedzmy na, jak mawia Food Emperor, pełnej piździe, a nie na półpizdy.
1913:  Tak jest, Piotrze.
1914:  Wszystko wskazuje na to, że niespodziewana śmierć jest już naszą tradycją.
1917:  Musimy się z tym pogodzić.
1919:  Jesteśmy przy Pramie Oksenfurckiej.
1921:  Udało się.
1923:  Masło, a potem nutella.
1928:  Nutellę też można jeść z talerzyka.
1930:  Oczywiście, tak?
1931:  Zalecał mój logopeda.
1933:  Tak, nie laryngolog.
1935:  Człowiek z kurwiela juniora.
1940:  Człowiek z kurwiela juniora, jak wielu...
1944:  Polityków polskich na przykład ma bardzo ograniczony wokabularz.
1950:  Dobrze.
1951:  Nie kierunek Skellige.
1954:  Co pierwsze.
1956:  Ring.
1957:  Będziemy się napieprzać pięściami.
1962:  Czy grałem w Outer Worlds?
1963:  Nie.
1964:  Jeszcze nie.
