Noc Długich Pazurów — WITCHER 3 Livestream #22
🔗 https://www.youtube.com/watch?v=J4cSjj_WcAQ

1:  Witajcie w Królestwach Północy.
160:  Nauczyciele fizyki, którzy przyszli na uniwersytet specjalnie po to, żeby dowiedzieć się czegoś o nowych technikach nauczania, którzy są zdeterminowani na tyle, żeby w wolnym swym czasie, piątkową porą,
178:  poświęcić swe cenne godziny, te nieliczne pozostałe, po odjęciu czasu na godziny tablicowe, godziny na poprawianie kartkówek, godziny na przygotowywanie kart pracy, godziny na troszczenie się o uczniów, z którym się zcął spotkać twarzą w twarz, godziny na dyżury, godziny na sprzątanie klasy, godziny na kupowanie kredy.
200:  I poświęcili, poświęcili ten oto cenny czas, żeby przyjść i dowiedzieć się czegoś,
205:  na temat na przykład wykorzystania doświadczeń fizycznych w nauczaniu.
209:  I pech chciał, że Krzysztof też był.
213:  I Krzysztof mówił o projektowaniu gier wideo, do którego to projektowania gier wideo może się przydać.
219:  Fizyka.
219:  Wiecie, dlaczego się może przydać?
221:  Wy wiecie przecież, ale nauczyciele nie wiedzą, więc powiedzmy im, o, oto wicher szumi na horyzoncie, słońce świeci, trawka się porusza pod wpływem wiatru i cienie, cienie się pojawiają, bo jak światło pada na przeszkodę, to wtedy generuje cień.
248:  Ale moi drodzy...
250:  fizycy szkolni, między innymi reprezentujący piąte liceum w Krakowie, najwyższe w rankingach, najwięcej olimpijczyków, z wszystkich przedmiotów ścisłych, technicznych, jakich chcecie, takie słupki tak wysoko idą, tak wysoko, że ranking, ranking perspektyw nie wytrzymuje i wybucha.
271:  Takie wielkie są te słupki, takie dobre są te oceny i tak świetni są ci nauczyciele.
279:  No i ja oczywiście do tego momentu myślałem, że my się dogadamy, prawda?
284:  No bo przecież jedyna rzecz, która dłamsi nauczycieli, to jest ten system, tak?
288:  Ten system szkolny.
290:  I oni przez ten system nie są w stanie wyzwolić swojej kreatywności.
296:  Pierwsze pytania, jakie się posypały z sali, oczywiście przerywające mój wywód, ponieważ jak wiadomo, nauczyciel wymaga tego, żeby uczeń mu nie przerywał, ale jak jest na uczelni i słucha pracownika szkoły wyższej, to może mu przerywać, no więc...
310:  Wypowiedzi te brzmiały, eee, ale gryp witeło zabijają, tu się zabija.
316:  20 minut chodziliśmy i wiecie, tak sobie o płotko wsiadaliśmy na konia, Geralt gwizdał, wsiadał na płotkę i sobie ruszał w jakimś kierunku, bo trochę ciężko wykład walnąć przy czymkolwiek innym, na przykład przy walce z upiorem, co już wiecie.
331:  ale nie, gry wideo zabijają!
333:  I później się tłum taki zgromadził w osobie dwóch nauczycieli, którzy szturmowali wywód i nie byłem w stanie dokończyć nawet tego, co chciałem powiedzieć, ponieważ musiałem na przykład tłumaczyć w którymś momencie, że gry wideo nie służą do tego, żeby zabijać za pomocą joysticków ludzi w Afganistanie, no bo tak, na początku to się zaczyna prosto, jest myśl i klawiatura, potem panie, potem już jest dron i pocisk ziemia-powietrze albo powietrze-ziemia, to już panie, no nie w kij pierdział!
361:  A zaczyna się niewinnie.
362:  Zaczyna się od myszy i klawiatury.
365:  To jest science!
366:  Twardy!
373:  To był ciężki wieczór.
376:  Bardzo ciężki wieczór, ale chciałbym, żeby to wybrzmiało na początek tego naszego streamu, na wypadek, gdyby wszyscy, którzy mówią, bo Krzysztof to taki negatywny jesteś, daj szansę nauczycielom, daj się im wypowiedzieć, tylko tak krytykujesz, a oni tylko jakby ten system odjąć, aby ten minister Czarnek nie był jak taki Palpatine z tyłu i groził im, to oni byliby tacy zajebiści.
398:  Oto, sorry, jeżeli przedstawiciele nauk technicznych nie rozumieją, że jest coś takiego jak niemylenie związku następstwa z przyczynowością, że jeżeli sobie Andrzej Brejwik pykał w Call of Duty, a potem strzelał do ludzi, to nie nauczył się strzelać do ludzi w Call of Duty.
413:  Jeżeli nauczyciele, przedstawiciele nauk ścisłych nie są otwarci na cytowanie badań naukowych, ba, nawet nie znają metody argumentacji korzystającej z badań empirycznych, z formułowania tezy, podawania argumentów,
427:  Co więcej, przychodzą na dane wystąpienie i oni już wiedzą.
431:  Oni już wiedzą.
432:  Wcześniej.
433:  Zanim się dowiedzą.
434:  No i skutek tego był taki, że była samosprawdzająca się przepowiednia.
437:  Musiałem w połowie ten wykład przerwać.
439:  Jak jesteście zainteresowani tym, to na Discordzie, w kolistycznej agencji eskapistycznej jest linczek.
444:  Musiałem w połowie wykład przerwać i odpowiadać na tego rodzaju pytania.
452:  Teraz sprawdzam czaty.
454:  Więc dziękuję serdeczne wszystkim tym, którzy byli i w ramach nagrody za to, zanim przejdziemy do właściwego wątku, pokażę Wam jedną rzecz, to znaczy pokażę Wam, w jaki sposób można z łatwością wyżyć się, walcząc z upiorem.
473:  Bo tak, znalazłem sposób na pokonanie upiora w tak zwanym międzyczasie.
482:  Witamy nowych trybutariuszy, nawiasem mówiąc.
485:  Daretsuki witamy w gronie trybutariuszy.
488:  I, i, i. Niech zerknę, bo to było wcześniej.
491:  Istoty żyjąco witamy w gronie trybutariuszy.
494:  Niech będzie podpalony, tak, tak.
498:  Big Brain Time, pisze Taral, jeśli ktoś jeździł w Euro Truck Simulator 2 na podstawie kierownicy oczonym do symulatorów, a potem spowodował wypadek Tirem, to grze Krywileo były winne.
505:  Oczywiście.
506:  Nie miejmy co do tego najmniejszej wątpliwości.
508:  Dobra, kochani.
509:  Ja jestem człowiekiem, który stara się dawać też konstruktywne rozwiązania.
513:  Narzekałem strasznie.
514:  narzekałem potwornie, że nie umiem pokonać upiora i czaty podpowiadały, co należy zrobić, żeby pokonać upiora.
521:  Niestety wszystkie strategie zawiodły, jest jedna strategia, jedyna słuszna w tym konkretnym przypadku, to znaczy jedyna słuszna strategia brzmi następująco, należy wyeliminować wszystkie możliwe zdolności, które dotyczą magii,
533:  płomienia, niestety.
534:  Więc tak, nie mylicie się, należy wszystko wyeliminować, absolutnie wszystko, co istnieje.
538:  Wszystko, wszystko.
540:  To jest nieważne, nieistotne, nieistotne, nieistotne.
544:  To też jest nieistotne.
545:  Następnie należy dodać czerwone mutageny koniecznie.
548:  czy te konkretnie, zamiast niebieskich mutagenów.
551:  Jak dodacie czerwone mutageny zamiast niebieskich mutagenów, sugestie też możemy sobie wyciepać.
557:  Zostawiamy wyłącznie te rzeczy, które są do QN-u.
561:  Z tego, co widziałem, było to najbardziej skuteczne.
564:  Naładowanie glifu, tarcza Yrden zostaje również i dorzucacie do tego wszystko, co istnieje, jeżeli chodzi o umiejętności walki mieczem, absolutnie wszystko, co jest możliwe, wszystko, co zostało wykupione, skupienie, tak jest, oczywiście, że to chce cały miecz.
581:  Mimo, że oczywiście to jest stream arcymagowski, zdaję sobie z tego sprawę, ale wierzcie mi, jedynie miecz, nic innego, nic innego nie przyda się w walce z upiorem.
590:  Z przykrością to stwierdzam, zostało to przeze mnie przetestowane.
594:  Naładowanie glifu bierzemy jak najbardziej, to jest glif Yrden, tutaj mamy jeszcze Igninie.
599:  Tarcza się przyda jak najbardziej.
602:  Tak i jeszcze, jeszcze tak i jeszcze tak.
607:  I tak przygotowani moi drodzy, nawet z tym setem, który mamy, z tym uzbrojeniem, które mamy, nakładamy sobie radośnie olej na nasz miecz, jak tylko go znajdziemy.
619:  Olej oczywiście musi być na upiory.
622:  Niech ja go znajdę.
623:  Olej przeciwko upiorom, nakładamy.
625:  Następnie bierzemy sobie grom i wbijamy.
638:  Tak jest.
639:  To jest jedyna, jedyna walka, gdzie siła mózgu da wam więcej.
643:  I to absolutnie.
645:  Chytrze i sprytnie.
647:  Jest już wycięty tutaj.
648:  A, i ważna jeszcze rzecz.
649:  Maksymalny QN, żeby upiór... Właśnie, dostawał jeszcze większych obrażeń w momencie, w którym do niego podchodzimy.
662:  Teraz cały numer polega na tym, że jesteśmy w stanie zadawać paradoksalnie większe obrażenia, niż było to wcześniej.
671:  Teraz sobie wyobrażamy, że to jest jakiś nasz antagonista, z którym sobie bardzo nie zgadzamy.
678:  Ostatnim razem jak walczyliśmy z Upiolem była taka sytuacja, niestety bardzo ponura, że regenerował się szybciej niż byliśmy w stanie mu zadać jakiekolwiek obrażenia.
688:  Cała kwestia jest teraz taka, żeby... Jeszcze rdzeń.
699:  Ten korytarz do walki z bossem jest straszny, absolutnie macie rację.
703:  W dalszym ciągu jedno, co mnie bardzo denerwuje, to to, że nie da się szybko podskoczyć do tych no właśnie rzeczy.
710:  No.
711:  Nie będę was dręczył tą walką oczywiście, ale zaznaczam, że jest to możliwe, sprawdzone i się udało.
717:  Tyle!
718:  Wracamy do głównej linii fabularnej.
720:  Gdzie jest główna linia fabularna?
721:  Zapis użytkownika, wino rzecz święta.
724:  Tak jest.
724:  I uma.
725:  Odczarowanie umy nie było łatwe, ale powiodło się.
729:  Nie, przy tym to jest już kwestia wyłącznie eliksirów.
731:  Jeszcze można sobie zażyć eliksir na mocniejsze obrażenia mieczem i lecieć.
735:  Więc da się.
746:  Nie, ta walka przy Noe'im Bildzie zajęła mi jakieś 20 minut, więc nie będę was dręczył tą walką po raz drugi jako dowód, że się...
758:  Dlaczego jesteśmy... Dlaczego jesteśmy w innym miejscu, niż myślałem?
761:  Dlaczego jesteśmy w innym miejscu, niż myślałem?
764:  Chciałem... Chciałem być w lepszym miejscu.
766:  Chciałem być w tym miejscu.
767:  Po raz trzeci usłyszycie umę.
772:  Jakie tam spoilery, Taraelu?
773:  O ile pamiętam, pisze istota żyjąca, że oglądałeś Fullmetal Alchemist's Brotherhood.
776:  Jeśli tak, to co sądzisz o roju mustangu i jego mocy?
778:  Ten, który pstryknięciem zapalał wrogów.
780:  No uwielbiam, absolutnie.
781:  Wspaniała sprawa.
783:  Udostępnię wam tego save'a, jasne.
790:  Adam potrzebuje wsparcia moralnego ze względu na trzy kolosy, którego czekają we wtorek, w środę i w czwartek.
794:  Wiecie co robić!
796:  Widzę, że już kolejne miesiące wspierania.
798:  Dziękuję serdecznie.
801:  Witam jeszcze Agnieszkę i Sojłicza i Ona Grusa.
804:  Proszę, proszę.
806:  Arkane, część trzecia obejrzana?
807:  Tak.
808:  Jestem absolutnie zachwycony.
810:  Jesteśmy gotowi do zasadzki.
812:  Dla dowodu, że się udało.
813:  Znajdź odpowiednie miejsce na pokrówek Iris.
816:  Udało się.
817:  Więc będziemy mogli postępować tak, że jak skończymy sobie ten wątek, ze sercami z kamienia.
824:  Bo proszę bardzo, dziękuję za wsparcie jamnicze dla Adama.
827:  Bardzo dziękuję.
830:  Trzeci raz słuchamy umy, a Arcymagos nie efnął ani razu.
832:  Popatrzcie, popatrzcie.
834:  Kontynuujemy zatem.
837:  Moi ludzie są gotowi.
839:  Powiedz tylko słowo i ruszamy do warowni Astrę.
842:  Czas złapać tych złodziei wina.
844:  Witamy Basię na czatach.
847:  Możemy zaczynać.
848:  Nie wiem, co się teraz stanie.
849:  Nie ma na co czekać.
850:  Zaczynajmy.
852:  Co, sądzę o Uniwersytecie Wrocławskim?
853:  Pojedziemy przodem i obstawimy teren.
855:  Kiedyś tam były fajne badania nad popkulturą.
858:  Robili je ludzie ze stowarzyszenia Trickster.
860:  Czekajcie na mój znak.
863:  Wsłanie fizyków nie było łatwe.
865:  Tak, to prawda.
867:  Fizyków szkolnych, dodajmy.
869:  Fizycy akademicy, dobrze.
870:  Fizycy szkolni, źli.
873:  Kilka godzin później, w ruinach warowni Astrę,
880:  To jest zbroja gryfa, najwyższa.
883:  Arcymistrzowska.
885:  Arcymagowska, nie oszukujmy się.
888:  Spokojnie.
890:  Teraz czekamy.
898:  Ja bym był jeszcze bardziej zadowolony, gdyby to nie było krew i wino, tylko whisky i wino.
901:  Świeczunia się pali, oczywiście.
903:  Tam gdzieś jest.
906:  Zapomnienie.
908:  Więc teraz będę zapominał częściej.
913:  Ojej!
914:  Monika też ma kolosy w poniedziałek i we wtorek.
917:  Zajamniczajcie tutaj czaty!
934:  O!
935:  O!
935:  Wspaniale!
939:  Co tu się dzieje się?
941:  Zasadzka!
944:  Czy będziemy mogli wypalać?
946:  Mam... Mam żar w sobie, który chcę wyrzucić.
949:  Rant na początek to nie było wystarczająca rzecz, absolutnie.
953:  Teraz!
954:  Teraz bowiem!
955:  Nasz Geralt używa znaku Yrden dla wszystkich z was, którzy zdumiewają się.
960:  Dlaczego tak się dzieje?
962:  Otóż oto dlatego.
965:  Tak!
966:  Tak!
967:  Brakowało mi tego!
970:  Brakowało!
974:  Ta zasadzka jest na mnie straszna.
978:  Ojej, nawet nie zdążyłem zażyć wszystkich mikstur, które sprawiają, że jesteśmy jeszcze potężniejsi.
985:  Kto w nas śmie?
986:  Kto w nas śmie strzelać?
992:  Hajda na wroga!
995:  Tak jest, beczki, beczki są niebezpieczne, beczki mogło zdradziecko wybuchnąć.
1006:  Dobrze, że nie oglądają tego stereotypowi nauczyciele fizyki, albowiem wtedy powiedzieli, że no i co się nauczy, że się wypala, a lu-lu-luć się nie pali tak szybko, luć się nie pali, nie ma magii w świecie, źle uczy gra.
1024:  Taki był plan, ale... Świetny strzał.
1028:  Dobrze, że zareagowałeś.
1030:  Joan Papi zapieszcza czaty.
1034:  Podoba mi się.
1035:  Udało nam się złapać jednego z tych drani.
1038:  Chodźmy, zadamy mu kilka pytań.
1042:  Wiedźminie, jeszcze jedno.
1044:  Myliłem się co do ciebie.
1047:  Jestem magiem?
1048:  Powiedz!
1049:  Powiedz teraz!
1050:  Myliłem się co do ciebie.
1051:  Jesteś magiem.
1052:  Wcale nie wymachujesz mieczem.
1056:  Nie musimy się lubić.
1057:  Ważne, żebyśmy robili, co do nas należy.
1060:  Jeżeli tak stawiasz sprawę, w każdym razie widzę, że naprawdę próbujesz pomóc.
1067:  I doceniam to.
1069:  Chodźmy do jej miłości.
1071:  Czeka nieopodal.
1075:  Ta gra uczy rzucać morderczy znak Igni.
1077:  Tak, zobaczcie, zobaczcie, zobaczcie, czego się nauczyłem.
1087:  Widzieliście?
1088:  Widzieliście?
1089:  Magia!
1090:  Nie, nie widzieliście, bo magia nie istnieje w świecie rzeczywistym!
1094:  Ale mam nadzieję, że to zrozumiały był pokaz dla wszystkich, którzy odbyli studia nauczycielskie z zakresu fizyki i uczą w prestiżowych liceach krakowskich.
1106:  Zaraza, to ona tu jest?
1109:  Chyba nie myślałeś, że puszczę was tutaj samych.
1112:  Zwłaszcza, że liczyć się może każda godzina.
1114:  Już mi się monitor fajczy teraz.
1116:  Przeprowadźcie tego waszego jeńca.
1118:  Trzeba mu zadać kilka pytań.
1123:  Szybko dajcie gaśnicę.
1124:  Arcymagos podpalił swoje ściany.
1128:  Oj, oj, oj.
1132:  Kapitanie, czyni honory.
1134:  Witamy Perdjuka.
1135:  Niech będzie podpalony.
1137:  Kto was przysłał?
1140:  Nazywają go pies i mówią, że jebał twoją matkę.
1144:  To jest dobra odpowiedź.
1146:  Jeszcze raz, kto was przysłał?
1151:  Narzeczony twojej starej.
1154:  Poczekaj.
1159:  Jego wola, jak nie chce, pomoże nam w inny sposób.
1164:  Wiedźminowi na pewno przyda się przynęta na bestię z Bokler.
1170:  Że co?
1172:  Wilki.
1174:  Wilki.
1174:  Wilki.
1175:  Słyszę wilki.
1182:  Oczywiście, że się przyda.
1186:  W takim razie jest twój.
1188:  Kapitanie, niech wasi ludzie znajdą mi mocny sznur.
1192:  Taki, żeby przypadkiem się nie zerwał, jak podwiesimy... To brzmi, że przypomina Marsz Wilków z Pana Kleksa.
1198:  Żywa przynęta dobrze działa na potwory.
1201:  Pod warunkiem, że mogą poczuć zapach jej krwi.
1204:  Ale o to już zatroszczę się sam.
1207:  Co?
1208:  Nie, kurwa nie!
1209:  Nie pozwólcie!
1211:  Nie drżyj się i oszczędzaj siły.
1214:  Przed tobą długa noc.
1217:  Nie, nie pozwólcie!
1218:  Powiem!
1224:  Gdzie miały trafić beczki?
1225:  Porozmawiajmy!
1226:  Nie mieliście zawieść te beczki.
1229:  Nie wiem.
1231:  Kapitanie, jednak będziemy potrzebować tego sznura.
1235:  Naprawdę nie wiem, to Hożnic dowodził i tylko nam wiedział, gdzie mam jechać.
1241:  Ale teraz leży martwy.
1243:  O tam!
1244:  Ostatnio wieźliśmy beczkę do magazynu portowego.
1250:  Ale gdzie teraz?
1252:  To nie wiem.
1254:  Naprawdę, uwierzcie.
1258:  Nils Shusterman jest, widzę, polecany na czatach.
1260:  Czy słyszałem o wykluczeniu, dziękuję za trybut, Mariusz M., Rowling z udziału w produkcji odcinka specjalnego HBO Max?
1267:  Co myślisz o tej całej arfeże z Rowling?
1269:  Nie słyszałem o wykluczeniu, musiałbym poznać jakieś szczegóły, ale czy rozumiem, że to chodzi o jakąś podterowską produkcję czy inną?
1275:  Bo jeżeli inną, to rozumiem czemu nie słyszałem.
1277:  Jeżeli podterowską, to wstydzę się i posypuję głowę popiołem.
1281:  Kto cię wynajął?
1282:  On mnie zabije.
1285:  Mam bardzo dużo popiołu, bo wiecie, spaliłem wszystko.
1287:  Na razie bardziej powinieneś martwić się mną.
1290:  Co to za on?
1292:  No już, gadaj.
1296:  Mówią na niego Cintryjczyk.
1298:  Nigdy go nie widziałem, ale wiem, że to on werbował ludzi na akcję.
1304:  Tak się mówiło, że pracujemy dla Cintryjczyka.
1308:  Więcej nie wiem.
1310:  Przysięgam.
1317:  Zabrać go i zamknąć w lochu.
1319:  Tam poczeka na sąd.
1324:  Kapitanie, jedziemy do miasta.
1326:  Zbierz ludzi i szukajcie tego Cintryjczyka.
1328:  Na pewno ktoś jeszcze go widział.
1331:  Tak jest, wasza miłość.
1332:  Jak tylko będę coś wiedział, stawię się w pałacu.
1336:  Nie wracam do pałacu.
1337:  Nasza misja się jeszcze nie skończyła.
1339:  Razem z Wiedźminem poczekamy na ciebie na posterunku przy porcie.
1344:  Dobra, nadrabiacie przede wszystkim, po kolei, dziękuję za trybut Natalii Mielnikow, serdecznie dzięki, level up, będzie, będzie.
1352:  Mam nadzieję w każdym razie.
1353:  Rowling została oskarżona o transfobiczne komentarze, ale to już któryś raz ją oskarża o transfobiczne komentarze i wykluczyli ją z obchodów dwudziestolecia pierwszej części Pottera.
1362:  To jest trochę głupie, ponieważ gdyby nie Rowling, to nie byłoby pierwszej części Pottera, więc uważam, że jedno z drugim nie ma nic wspólnego.
1369:  Ale to nie oznacza na przykład, że nie należałoby napiętnować tych wypowiedzi w inny sposób.
1372:  Ja jestem zdania takiego, że jeżeli rzeczywiście ta praktyka cancelowania ma zostać unormowana jakoś, a nie być takim dziwnym przykładem,
1384:  wiecie, tłumu wieśniaków, który podchodzi pod zamek i pali, krzyczy, to zrobił swoją drogą o tym bardzo dobry materiał Tom Nicholas o cancel culture właśnie.
1393:  Jeżeli chcemy, żeby to rzeczywiście działało jako narzędzie przeciwdziałania wybrykom różnych ludzi, zwłaszcza celebrytów w social mediach i mówieniu bzdur, to należy to piętnować w inny sposób, a nie wykluczać ich z tego obszaru twórczości, z którego się stali znani.
1407:  Myślę, że to jest jedyne rozsądne rozwiązanie.
1409:  Witamy MX w gronie Trybutariuszy.
1410:  Dzięki serdeczne.
1412:  Jak się zajamniczyło na powitanie.
1413:  Cieszę się, że tworzy się taka mała tradycja już.
1418:  Ruszajmy do miasta.
1420:  Czy chciałbym przeżyć doświadczenia Wiedźmińskiej z pierwszej osoby?
1422:  Pyta Barczyński.
1423:  Nie.
1424:  Nie znoszę gier z pierwszej osoby.
1425:  W Skyrimie zawsze przełączałem na trzecią.
1428:  Toma Nikolasa bardzo polecam kanał.
1430:  Tak, to jest jeden z mądrzejszych youtuberów.
1433:  Spokojnie.
1434:  Przyjdzie.
1437:  Chciałabym już coś wiedzieć.
1439:  Jak możesz być tak nieludzko spokojny?
1443:  To efekt uboczny mutacji.
1445:  Wiedźmini rzadko się dają.
1447:  Nie mógłbym być wiedźminem.
1449:  A jeżeli coś mu się stało?
1452:  Kapitan wygląda na takiego, który potrafi o siebie zadbać.
1455:  Może i potrafi, ale ten cintryjczyk to nie byle jaki przeciwnik.
1462:  Udało mu się wykraść książęce wino sprzed nosa moich gwardzistów.
1467:  Gdyby nie przypadek, nigdy byśmy się o tym nie dowiedzieli.
1472:  A przede wszystkim to on wyznaczał wampirowi kolejne ofiary.
1477:  Trzeba nie lada tupetu, żeby szantażować takiego potwora.
1483:  Dominik pisze, że właśnie instaluje Citavi, pozdrawia serdecznie, aby obsługiwał APA, które jest na stosunki wymagane.
1487:  Wszystkie style obsługuje, musisz sobie zainstalować wnętrza programu, dodaj styl cytowania i tam można sobie wybrać.
1493:  Jest komplet absolutny, a nawet jeżeli by coś nie działało, to jest edytor CSS, który pozwala to zmienić.
1498:  Piszecie, że Dishonored jest z pierwszej osoby, ale zauważcie, że w Dishonored jest to uzasadnione narracyjnie.
1504:  To znaczy my nie wiemy jak wygląda Corvoattano do późnych aktów całej serii, jest to postać tajemnicza i co więcej ta magia, która sprawia, że możemy się poruszać działa na tyle dobrze, jest tak zoptymalizowana, że ta pierwsza osoba nie razi.
1519:  Natomiast jeżeli mam jakąś grę, w której się walczy mieczem albo puszcza zaklęcia tak jak w Skyrimie, to jest to tragedia z pierwszej osoby.
1525:  Oczywiście pierwszyosobowy widok jest naturalny dla shooterów, nie?
1528:  I tam jest nieintuicyjny widok z trzeciej osoby, więc też rozumiem tę decyzję przez cyberpunku.
1534:  Ale w takich sytuacjach najlepsza jest opcja taka, żeby dać dwie opcje, to znaczy albo TTP, albo FTP.
1541:  Wciąż nie wiemy, czy to Cintryjczyk stoi za porwaniem i szantażem.
1544:  Mógł zajmować się tylko kradzieżą wina.
1548:  Nawet jeżeli tak było, to potem sprzedawał je szantażystom.
1552:  Jak dla mnie to czyni go współwinnym.
1555:  Bez względu na to, czy to Cintryjczyk jest odpowiedzialny za te morderstwa, musimy go znaleźć.
1562:  Nawet jeżeli nie jest to jego sprawka, to może wiedzieć, kim jest nasz szantażysta.
1568:  Poza tym jest jeszcze jedna kwestia, równie ważna jak to, kto zlecił zabójstwa.
1573:  Dlaczego to zrobił?
1576:  Słyszysz?
1577:  Ktoś idzie.
1580:  Kto to jest?
1581:  Naprawdę nie wiem, bo nie pamiętam.
1591:  Co tak długo?
1592:  Powinieneś tu być już kilka godzin temu.
1594:  Okazało się, że Cintryjczyk nie pracuje sam.
1598:  Walczymy nie z jednym człowiekiem, a z całą grupą.
1602:  Nasłał na nas kilku bandytów i wywiązała się walka.
1605:  Jeden z gwarzistów ma złamaną rękę, a drugi strzaskane kolano.
1609:  Będzie kuleć.
1611:  Za twoją głowę, Wiedźminie, też podobno wyznaczył niemałą nagrodę.
1617:  O, Agnieszko, jak to zły tydzień.
1619:  Mam nadzieję, że teraz dobra herbatka, pledzik, będzie lepiej.
1624:  Dobra, nadrabiam czaty.
1626:  Witam bardzo złośliwego człowieka i Wileda jeszcze, i Mateusza już chyba witałem, i Elgiona witam serdecznie, i wszystkich przybywających.
1635:  Piszecie, piszecie, piszecie, piszecie, czy łatwo mnie wyciągnąć z równomagi, jakie to są sytuacje.
1640:  No właśnie ta sytuacja, która była wczoraj, teraz już trochę poważniej o niej powiem.
1644:  To jeżeli sobie zobaczycie na dyskusję, to był przykład tego, że byłem bardzo wytrącony z równowagi i zły, bo wyobraźcie sobie, że na przykład jesteście fizykiem teoretycznym, chcecie się zajmować, no nie wiem, horyzontem czarnej dziury, a na sali jest człowiek, który mówi, ale matematyka to skam!
1662:  2 plus 2 równa się 5!
1664:  I wiecie, jak macie 584 wystąpienie z tego tytułu i chcecie już mówić o tym horyzoncie zdarzeń czarnej dziury i cały czas jest na sali, ale matematyka to skam!
1674:  no to serio, wtedy się można wytrącić z równowagi.
1678:  Natomiast ja oczywiście tego nie okazuję, no bo w momencie, w którym bym to okazał, to bym przegrał dyskusję.
1684:  Czy Thief dobra gra, czy nie?
1686:  Ja lubię to wznowienie, ale nie dokończyłem, więc chyba nie jest aż tak dobre.
1690:  Wspominałem kiedyś o narracji szkatułkowej, pytam The Mass Mixu, czy mógłbym podać jakąś książkę, dwie z tym motywem.
1695:  Pewnie, Imię wiatru Patryka Rothfusa i to jest jeden z lepszych przykładów realizacji narracji szkatułkowej.
1701:  Bardzo, bardzo polecam.
1704:  Adam pisze, że gdyby wiedział wcześniej o menadżerze bibliograficznym, to pisanie pracy zajęciowej z WF-u trwałoby dwa dni, a nie cztery.
1709:  No, tak samo i moich.
1711:  Oj tak, oj tak.
1713:  I tak, będzie, będą dzisiaj serca z kamienia też, absolutnie.
1716:  I, i, i, i, i, per diuk, jak chcesz się dowiedzieć, co się wydarzyło, jest link do streamu Agiechowskiego na Discordzie naszym.
1727:  Ojej, Agnieszka pisze, że są z mężem chorzy i do tego zadzwoniła do lekarza po poradę i leki usłyszała, że mam test zrobić na COVID, bo to na pewno to paranoja.
1735:  Trybutariusze, wiecie co zrobić, spuśćcie jamniki ze smyczy dla Agnieszki i męża.
1739:  Pozdrowienia serdeczne.
1741:  I ostatnia kwestia, zaadresujmy to, zaadresujmy to, żebyśmy mieli to za sobą.
1745:  Kochani, Arkane...
1746:  Trzeci odcinek całej serii jest doskonały, jest świetny.
1754:  Genialnie zamyka cały łuk fabularny serii.
1757:  Natomiast mnie zdenerwował, ponieważ pozostawia nas z gigantycznym cliffhangerem.
1761:  I teraz będę musiał czekać nie wiem ile na kolejny odcinek lub kolejny installment w tej serii.
1767:  I to mnie tylko martwi.
1768:  Natomiast absolutnie, jeżeli podobał się wam początek,
1771:  oglądajcie.
1772:  Ci wszyscy z was, którzy mówili, że jest za mało fabuły i character developmentu, oglądajcie absolutnie.
