Pół wieku eksploracji później — WITCHER 3 Livestream #12
🔗 https://www.youtube.com/watch?v=2a46pkxu55E

2:  Witajcie serdecznie
406:  Wielkie nieba, co tu się dzieje?
410:  Nawet mi się nie chce wypalać tych zwierząt.
413:  To jest świadectwo najwyższego zmęczenia.
416:  Jamnik Wody Podajnik, witam niezmiennie serdecznie.
421:  O!
421:  Bardzo dobry pomysł, żeby do pakowania byli zaganiani profesorowie UJ-tu.
425:  O!
427:  Bardzo dobrze.
427:  Albo jeden profesor, który napisał ostatnio tak obelżywy felieton odnośnie do studentów, że ostrzę sobie na niego zęby.
435:  Bardzo możliwe, że w przyszłym tygodniu wleci nowy odcinek.
439:  Dla każdego coś przykrego, ale z cyklu raczej commentary niż jakiegoś szerszego vloga, bo gość mnie tak wkurwił, że muszę się zająć tą sprawą.
450:  Na razie mówię kryptycznie, wiem, ale nie będę zdradzał, co to za artykuł.
453:  Pirat!
454:  Gin!
456:  Gin!
466:  Dobry wieczór, Taraelu.
468:  Czy przewidywane są pokazy pirotechniczne?
470:  Come on!
472:  Pamiętajmy, na jakim vlogu jesteśmy.
476:  Jesteśmy na vlogu człowieka, który opanował magię ognia.
479:  Już oficjalnie.
485:  Proszę, Geralt przebił naraz dwóch piratów.
490:  Dobry wieczór, Bartku.
491:  Geralt spotyka się o skrzynię.
496:  Ooo, tak mi przykro.
500:  Strzelamy z łuczku, tak?
502:  Jest odpowiedź na strzelających z łuku.
512:  Ciach, ciach!
517:  Kefir na kacu.
519:  Wiecie, aby to się skończyło dla mnie?
520:  Ja prawdopodobnie żygnąłbym tak spektakularnie, że wszystkie moje ściany zabarwiłyby się na wszystkie kolory tęczy.
530:  Tylko nie siwy.
532:  Jestem w pełni... w kwiecie wieku, jak to się mawia.
541:  Użyto klucza do otwarcia.
542:  Świetnie.
544:  No oczywiście, że nakaca maczek albo cokolwiek innego tłustego.
549:  O... Powiem wam też, że jestem o tyle zadowolony, że wreszcie po 3,5 miesiącach czekania przyjechał mój fotel, dlatego nie ma już za mną oparcia, bo to oparcie jest chytre i sprytne.
562:  Boże, jaki jestem szczęśliwy.
565:  Dlaczego ten kowal od nas ucieka?
569:  A, on idzie do Ferlund.
572:  Co to za czary, jak się barwi ściany we wszystkich kolorach?
577:  Proszę bardzo, aktywność dla czatu.
579:  Wykrzykniczek!
580:  Oczywiście, że tam idziemy.
582:  Natychmiast.
585:  Stream w urodziny?
586:  Życzenia najlepsze składam Colorful Me i zachęcam czaty do przyłączenia się do życzeń dla Colorful Me.
593:  Niech ci się darzy!
598:  Witałem mi dziesiątkę.
601:  Co to za fotel?
602:  Herman Miller Embody.
607:  Z regulowanym oparciem pod krzywiznę kręgosłupa, moi drodzy.
611:  To jest coś, co mnie zachwyciło.
614:  Czy to są wilki?
615:  Nie, niedźwiedź.
616:  A, to sobie poradzimy.
619:  Pryzmatowy oddech.
621:  Ładny.
623:  O wiele ładniej brzmi pryzmatowy oddech niż zarzygiwanie ścian w barwach tęczy.
634:  Głośny jest mikrofon w stosunku do gry?
638:  Mamy tak, zwykle.
642:  Mogę jeszcze ewentualnie ciutkę bardziej przygłośnić grę, ale to już będzie najbardziej.
649:  No powiedzmy, że tak.
651:  Muszę sobie wreszcie sporządzić taki sympatyczny mikser, żeby nie musieć tego robić cyfrowo, bo to jest trochę irytujące.
661:  Dwudziesty siódmy level.
665:  Stare dzieje.
668:  Come on, come on, mieliście wprawiać mnie w dobry humor, a nie w ponury.
672:  Wnoszę o nowego jamnika, jamnik imprezowy.
674:  To prawda, jeśli jest z nami Dominika, to wie, co robić.
681:  Bardzo mi się podoba, naprawdę bardzo mi się podoba krajobraz muzyczny Skellige.
685:  W puszczy jest przepiękna muzyka.
687:  Czemu idziemy pieszo?
690:  O, Paweł spytał o Apple'ową reinkarnację fundacji.
694:  Glad you ask.
696:  Właśnie przed 10 minutami skończyłem drugi odcinek.
699:  Uważam, że to jest dzieło na miarę gry o tron.
702:  Sezon 1-6, nie żartuję.
705:  Jeżeli to się będzie tak rozwijało,
708:  Ja nie potrzebuję nic więcej.
710:  Jest to rewelacyjna adaptacja Asimowa.
713:  Ludzi, którzy narzekają, że to przypomina starożytny Rzym.
717:  I mean, that's the point, bo Asimow inspirował się historią starożytnego Rzymu.
723:  To jedna kwestia.
724:  Druga kwestia, widać, że Apple nie oszczędza na scenografii i na efektach specjalnych, a o to chodziło.
729:  Moi mili, ja nic nie mówię, ale obejrzyjcie te dwa pierwsze odcinki, chociażby dla bombardowania planetarnego, okej?
739:  A potem uświadomcie sobie, że bombardowanie planetarne, czyli najlepsza rzecz, jaka istnieje na świecie, to wciąż nie jest najlepsza rzecz, jaką zobaczycie w tych dwóch odcinkach.
750:  Ja jestem zachwycony.
753:  Więc zanim zginę z łap wilków, powtórzę raz jeszcze, oglądajcie Fundację.
760:  Bardzo możliwe, że zrobię jakieś pierwsze wrażenia na kanale, choć zwykle tego nie robię.
771:  Powiedziałem?
773:  Powiedziałem?
775:  Powiedziałem.
777:  Bombardowania planetarne, tak.
778:  Znaczy jest, po prostu jest jebnięty sensowny eksterminatus.
782:  Tyle, tyle powiem.
786:  I wciąż, powtarzam, to jest druga najlepsza rzecz, jaką zobaczycie, jeżeli chodzi o skalę.
792:  Nie wiem, czy to nie będzie tak, że to był pilot, w związku z tym pokazali wszystko, co mają najlepsze i teraz będziemy mieli tylko i wyłącznie rozmowy w kuluarach.
801:  Mam nadzieję, że nie.
804:  Nie wiem, gdzie byłem.
806:  To jest pierwsza śmierć.
808:  Byliśmy na drodze do Pytajniczka i zaatakowały nas wilki.
810:  Jak myślicie, jak się mogło to skończyć?
813:  Tak jak zawsze.
815:  Co dzisiaj będziemy robili, muszczku?
817:  BĘDZIEMY KINĄĆ OD WILKÓW!
825:  Dzień dobry, Jakubie.
826:  Cieszę się, że wpadłeś akurat, jak jest zgon.
831:  Zgon jest podwójny, bo jeszcze kacyk, więc moi mili, nie dziwcie się, nie dziwcie.
838:  Ale powiedzcie mi tak szczerze, szczerze i empatycznie, jak można nie mieć kacyka?
845:  Jak przychodzą fizycy i zatapiają w ciekłym azocie bitą śmietanę z dodatkiem wódki.
855:  No nie, no to nie jest możliwe.
858:  Co tu się dzieje?
859:  Co tu się dzieje?
861:  Musimy zacząć używać miecza, niestety.
863:  Przepraszam.
869:  Więc jakby co?
869:  Polecam bitą śmietanę z wódką w ciekłym azocie.
873:  Bardzo.
893:  To będzie długi stream.
898:  To będzie bardzo długi stream.
900:  Po prostu to wszystko dlatego, że ręce mi się jeszcze trzęsą.
905:  Dobrze, dobrze, dobrze.
907:  Wyśmienity północny wiatr zatem.
909:  Jeżeli 4 eliksiry to jest za mało na wilki, wyśmienity północny wiatr powinien wystarczyć.
920:  Albo i nie.
922:  Za dużo tych bydląt jest.
933:  Litości.
938:  Ja... Wiecie, to nawet nie jest... Gdybym ja to chciał zrobić specjalnie na początek streama, to by się na pewno nie udało.
945:  Jakie to szczęście, że CD Projekt Red zadbał o to, żeby wilki spawnowały się co... Właśnie!
950:  Słyszałem, że jak Redzi projektowali Wiedźmina, to mieli zasadę 30 sekund, okej?
955:  Że co 30 sekund w świecie ma się coś przydarzyć.
958:  Ja myślę, że ta zasada brzmiała inaczej.
961:  Co 30 sekund mają się spawnować wilki!
968:  Alkohol plus migrena?
969:  Uuu.
970:  Uuu.
970:  Niedobrze.
971:  Uuu.
971:  Uuu.
981:  Bo się kurwa stało, że spadłem i roztrzaskałem sobie nogę!
999:  Nie jęcz, Peter, bo masz wstyd słuchać.
1001:  Weź się w garść.
1004:  W najgorszym razie Henryk wystruga ci drewnianą nogę.
1007:  Stary Ole ma taką i nie narzeka.
1011:  Stariole ma wszy, ślini się i śmierdzi i na to też nie narzeka.
1015:  Pomożecie mi czy nie?
1020:  Chcieliśmy rozpalić ognisko tam na ramieniu posągu na chwałę swoją i przodków.
1037:  No to się chyba udało.
1039:  Udało.
1039:  Tylko ogień buchnął tak szybko, że Peter odskoczył i stracił równowagę.
1044:  I tak miał szczęście.
1045:  Upadając z tej wysokości mógł skręcić kark.
1048:  Kacper pyta, czy lubię Johnego Olivera.
1051:  Oczywiście, że tak.
1052:  Bardzo sympatyczny format i też bardzo sympatyczny człowiek.
1056:  Marcin Zwierzchowski kiedyś zrobił z nim chyba wywiad mały, jak był na Comic-Conie, więc stąd wiem, że sympatyczny też prywatnie, a nie tylko jak mu napiszą scenariusz.
1065:  Choć jakby jego afiliacja polityczna jest dość oczywista, więc jeżeli kogoś razi to, że jego humor jest jednostronny, umiem to zrozumieć.
1071:  Co to za posąg?
1073:  Ołtarz ku czci Boga wojowników.
1076:  Każdy, kto odważy się na niego wspiąć i zapalić ognisko, zyskuje przychylność bogów, sławę i... I wyjątkową szansę na obcięcie nogi przy samej życi.
1085:  Pomożecie mi w końcu, czy będziecie dalej rozprawiać o religii?
1090:  Dobrze, dobrze, dobrze, już dobrze, pomożemy.
1093:  Zbucze ziele powinno pomóc.
1095:  Noga ci się od tego nie zrośnie, ale przynajmniej będzie trochę mniej bolało.
1098:  Dzięki, masz naszą wdzięczność po grób.
1101:  W moim przypadku to już niedługo, więc nie ciesz się za bardzo.
1106:  Zamknij się i pokaż tę nogę.
1109:  Dzięki jeszcze raz i niech cię bogowie prowadzą.
1112:  Chcecie mi powiedzieć... Aha.
1116:  No powiem wam, że ekscytujące questy.
1118:  Jak na to, ile nam zajęło dotarcie tutaj.
1122:  Mało nie wykopertyliśmy się na łono Abrahama przy okazji.
1128:  Ale skoro już tu jesteśmy, ogarniamy pytajniczki.
1131:  Czyli jedziemy w stronę Holmstein.
1141:  Więc fundacja mi się bardzo podoba i...
1147:  Oczywiście fakt faktem jest, że musimy dać czas temu serialowi, żeby się rozwinął, nie?
1152:  Bo ocenianie na poziomie dwóch odcinków jest trochę bez sensu.
1156:  To, co możemy zrobić na poziomie dwóch odcinków, to stwierdzić tylko, czy to jest na tyle interesujące, by dać temu szansę, czy nie.
1162:  Ja nie jestem w stanie jeździć po Skellige.
1170:  Płotka dostaje w ściku.
1173:  W ściku pęcin.
1174:  Tak nazywam tę rzecz, która się dzieje z płotką.
1177:  Chyba po prostu musimy przejechać... O nie, tutaj widzę następną chmarę wilków.
1181:  Jamnik z wszystkich rodzajów czekolady.
1184:  To by się rzeczywiście przydało, Sebastianie.
1191:  Nie przejedziemy tędy, nie ma szans.
1194:  Jak daleko trzeba tędy pojechać, żeby...
1197:  A, bardzo daleko.
1199:  No to dobrze, to w sumie możemy zrobić i tak, że ominiemy ten łańcuch górski.
1208:  To jest chyba pierwszy serial, gdzie jest bombardowanie planetarne.
1211:  No oczywiście najsłynniejsze bombardowanie planetarne, jakie mamy na srebrnym ekranie, to jest gra Endera, nie?
1219:  Chociaż dlaczego tu się nie da jeździć?
1224:  Widzę, że… Trzeba za drogą, Krzysztof, za drogą!
1227:  Nie zbaczaj z drogi w grze z otwartym światem!
1231:  Za dróżką!
1232:  Aaa, nie znoszę takich sytuacji!
1237:  O!
1238:  Lubię takie sytuacje.
1251:  Ten moment, kiedy Wiedźmin jest bardziej rozczarowujący niż gęśni impakt powyżej levelu 55... By... Nic... You say no more.
1264:  You say no more.
1270:  Człowiek tu się cieszy, że znalazł skrzynię na uboczu, w obozowisku.
1274:  Cóż tam może być?
1275:  Może tam będzie jakiś list, który nas poprowadzi?
1278:  A chuja!
1279:  Świecznik!
1281:  I wilki!
1282:  Świetnie!
1283:  Świetnie!
1289:  Rzucimy ten północny wiatr czy nie?
1291:  Mmm, pięknie.
1296:  Nie mamy dekoktora farda białego!
1298:  Ja pierdziele, uciekamy!
1301:  Umknęło mi to totalnie.
1308:  Aha.
1309:  Wilk nie płonął.
1314:  To jest niesamowite, one są szybsze od nas.
1324:  Dobra, jeden zginął.
1329:  Co to jest?
1330:  Czemu on ucieka?
1332:  Akurat jak wygrywamy, to ucieka?
1335:  Przestań wyć.
1336:  Natychmiast.
1338:  Giń!
1340:  Tak jest, odseparowany od stada, samotny.
1343:  Świetnie, łatwy łup.
1351:  Nie!
1353:  Musimy, musimy wypocząć.
1355:  Rzucanie się na wilki bez dekoktu Rafarda Białego jest jak granie w Dark Souls.
1361:  Na harmonijce ustnej zamiast padzie.
1366:  Co tu się dzieje?
1371:  Nie, nie, nie, nie, nie, nie, nie, nie, nie.
1375:  Wszystko walczy z wilkami.
1378:  Nawet potwory postanowiły się przyłączyć do Wiedźmina.
1388:  Do Wiedźmina Geralta.
1394:  Tak, tak.
1396:  Tak.
1416:  Tak, ewidentnie dziś jestem w formie.
1426:  Gubią mnie te same błędy.
1429:  Może czas medytować.
1432:  Jak wspomniałem, rzucanie się na poziomie 76 na Watahę Wilków bez 17 eliksirów, czterech petadrd i zapasu dekoktura Farda Białego, od którego można byłoby ućpać całe Kermoren, nie ma żadnego sensu.
1450:  I tak wiem, że pojechałem w złą stronę.
1453:  Brawura się kłania.
1454:  Masz rację, Adamie, niestety.
1457:  Jestem winny brawury.
1462:  Kto tu nie zrobił save'a?
1464:  Tak, Marto, tak, tak.
1465:  Właśnie tak było.
1468:  Tak było, nie zmyślam.
1470:  Ktoś mi ostatnio zepsuł tę piękną muzykę, która jest w tle i uświadomił, że co jakiś czas słyszy i wieśniaki.
1477:  Więc teraz w ramach zemsty za podrwiwanie z biednego Magosa na czacie sprzedaję wam i to, żebyście teraz słyszeli i wieśniaki.
1490:  To wygląda jak quest.
1492:  A bo to kiedyś był quest.
1493:  Może na statek chce się zaciągnąć?
1505:  Nie chce się zaciągnąć na statek.
1506:  Absolutnie niewykluczone.
1512:  Czyli jest szansa, że my tutaj przejedziemy... Nie, jest szansa, że przejedziemy.
1516:  Dobrze, bo już się bałem, że tędy nie przejedziemy.
1518:  I pamiętajmy, trzymamy się dróżki, ponieważ jest to gra z otwartym światem.
1523:  Nie no, nie będę się naśmiewał, bo to jest gra z otwartym światem w odróżnieniu od takiego cyberpunka.
1531:  Już wiemy, żeby nie otwierać tej skrzyni.
1534:  Wszystko przez tę skrzynię.
1544:  Zemsta!
1545:  Zemsta na wroga!
1553:  Najzabawniejsze jest to, że jak jest kilku przeciwników z różnych stron, to nie działa uskok, co zaobserwowałem.
1563:  O właśnie.
1564:  Ja ult spamuję non-stop, a jednak czasem nie działa i to jest bardzo denerwujące.
1572:  Jeszcze bardziej niż to, że jak rzucam igni, to tylko jeden wilk się zapala, zamiast żeby wszystkie się zapaliły.
1580:  Po co trenuję?
1583:  Po co trenuję wirtualu i realu rzucanie ognia, skoro nic nie płonie?
1589:  Ten wilk uderzył w nas jak lokomotywa rozpędzona.
1596:  Mam wrażenie, że białe wilki są jeszcze gorsze.
1598:  Haha, Geralt, haha.
1603:  Drugi dekog Trafarda Białego.
1607:  Podsumujmy.
1608:  Filtr Petriego, Puszczyk, dwa dekog Trafarda Białego.
1616:  Ale Krzysztof... To chodzi o to, żeby walka była realistyczna.
1622:  Z chmarą Nekkerów to samo, ale nie, chmara Nekkerów jest przyjemna.
1630:  Michał Arcymakos odkrył, że jak się jest okrążonym, to uniknie działa 2021 koloryzowane.
1635:  Tak, to prawda.
1640:  To prawda.
1642:  Dzisiaj poziom lamienia wskoczył na wyższy... Nie, nie.
1652:  Fascynujące.
1657:  Czy zdołamy rzucić chociaż... Nie, nie zdołamy, bo ta jedna sekunda, którą zużywam na to, żeby rzucić petardę, sprawia, że atakują mnie trzy wilki.
1670:  Mamy zbroję uszkodzoną.
1673:  Płotka, uspokój się!
1675:  Dolewasz oliwy do ognia!
1677:  Dziś to niewskazane!
1682:  Płoń się!
1684:  Wstrętne wraże wilki!
1690:  Co się stało?
1691:  Czemu się dzieją takie rzeczy?
1693:  Stop!
1694:  Stop!
1694:  Missclick!
1697:  Byłem na drugim monitorze z jakichś względów.
1700:  Dobra, następny decok, bo nie damy rady inaczej.
1707:  Te wilki mają lepszy unik niż ja.
1709:  To jest dobijające.
1719:  Dobra, mam nadzieję, że to tyle, bo muszę naprawić jedną rzecz.
1722:  O, już naprawiłem.
1725:  Jeszcze syrena do tego wszystkiego.
1727:  Wielkie nieba.
1729:  Wiecie, to jest tak, że jeżeli wilki mnie zaatakują, to ja potem mam silną potrzebę zemsty.
1738:  Ach, to była ta syrena, która nam wcześniej pomagała.
1746:  Dobra.
1747:  Czas się naprawić.
1753:  Dobrze, tutaj są zestawy partnerskie.
1756:  Ale nie te.
1760:  Dobrze.
1762:  Zapisu dawno nie było.
1763:  Słusznie, słusznie przypominasz...
1766:  Słusznie przypominasz jamniku wody podajniku.
1768:  Boże, jak kocham ten nick!
1772:  Dobrze.
1775:  W tym tempie myślę, że powinniśmy się zbliżyć do najbliższego znacznika w ciągu najbliższej godziny.
1781:  Aaa!
1782:  Czy to nie jest czasem gniazdo?
1785:  To jest gniazdo syren pewnie.
1788:  Myślę, że moje zdolności detektywistyczne w tym momencie są niesłychanie wysokie.
1796:  A może, a czekajcie, a może to jest jaskinia?
1801:  Dobrze, poważna sprawa, bo ja nie wiem, jak tutaj zejść.
1806:  Kiedy wojenny młot, wojna totalna.
1808:  Jutro.
1809:  Jutro jest Warhammer.
1813:  Strzeżony skarb.
1829:  Jeżeli to będzie Srebrny Świecznik... Nie było wcale lepiej.
1839:  Myślicie, że tutaj wejdziemy?
1842:  Czy będzie tak jak zawsze?
1843:  Nie będzie tak jak zawsze.
1848:  Tak, jutro Warhammer.
1850:  Nie wiem tylko co, czy Krasnoludy, czy Imperium.
1853:  Może zrobimy małą sondę jak raz.
1856:  Biedna Płotka, zostaw Płotkę!
1859:  Wstrętna echidna.
1870:  Geralt strzelił za siebie.
1880:  Czas na herbatkę.
1883:  O, tak.
1886:  O, od razu się lepiej czuję.
1894:  Okrążamy dalej nasze góry.
1897:  Eee... Co to?
1898:  Uuu, tu jest jakaś sadyba.
1900:  To będzie chatka leśnego dziadka.
1903:  Pozdrowienia dla wszystkich, którzy pamiętają ten cudowny epizod z sagi.
1910:  Absolutnie całe szczęście, że Skellige jest ognioodporne.
1913:  Wypaliłbym wszystko do żywej ziemi inaczej.
1921:  Szkoda, że nie ma więcej tych wilków.
1922:  Ja myślę, że jakieś 80 byłoby... To byłoby satysfakcjonujące wyzwanie.
1929:  No tak, to... Ja nie czuję, żeby było wyzwanie.
1933:  O, jeszcze duch!
1934:  Okej.
1938:  To brzmi zdecydowanie jak coś, co się mi może przydarzyć.
1944:  O!
1944:  Wilki są tak potężne, że atakują upiora.
1949:  I take this chances.
1965:  Za mały zasięg ma to Igni w stosunku do pola uskoku tych wilków.
1969:  Nie no, to jest jakiś żart.
1976:  Nie będziemy walczyć z tymi wilkami.
1977:  Nie ma takiej możliwości.
1979:  W jedynce też był leśny dziad.
1980:  Był!
1981:  Na bagnach koło Kalksteina.
1982:  Był!
1984:  To jest ta słynna herbatka z biało czekoladą.
1986:  Absolutnie tak.
1991:  Czwarta śmierć.
1995:  Ja zaczynam rozumieć, dlaczego grałem na secie niedźwiedzia.
2000:  Wiecie, ja chętnie bym te wilki zostawił, ale one są akurat... A nie, tutaj nie jest ten znacznik.
2004:  Znacznik jest dalej, dobrze.
2006:  To spieprzamy.
2013:  Dobrze, to jest... Z takimi potworami możemy walczyć, nie ma problemu.
2024:  Ale to jest interesujące, że wilki walczą z potworami.
2030:  Pewnie jakiś zatarg koniunkcyjny.
2035:  Absolutnie brakuje wyzwania.
2036:  Nie, znaczy mnie... Wiecie, mnie strasznie denerwuje projektowanie gier pod głupie wyzwania.
2041:  To znaczy, jeżeli jest jakiś potwór, boss, i walka z nim zajmuje pół godziny, tak jak ta nasza pamiętna walka z Ekkimą w podziemiach.
2050:  To było coś, co denerwuje, ale to jest inny rodzaj wyzwania.
2054:  To znaczy, ja mam wtedy poczucie, że to ma jakiś sens.
2056:  A jak projektuje się durne wilki, które atakują chmarami... Nie.
2064:  Po prostu nie.
2066:  A. Widzę, że Syrena ma problem psychologiczny.
2073:  Uwolnimy ją od tego problemu psychologicznego.
2080:  Mamy manę?
2081:  Mamy.
2082:  Zawsze mamy manę.
2083:  Dobrze.
2087:  Ale oczywiście walka mieczem jest bardziej OP.
2096:  Nie, ja uważam, że wilki są po prostu źle zaprojektowane, znaczy nie, nie, spokojnie, znaczy jak ocenić siłę wrogów w grze wideo?
2105:  Dość proste, po skali obrażeń.
2107:  Jeżeli Echidna, Syrena, Wampir Wyższy zadaje nam, nie wiem, jedną dziesiątą paska zdrowia, a pierdzielony wilk zadaje nam trzy czwarte paska zdrowia, to przepraszam bardzo, ale to jest błąd projektantów.
2124:  Nie ma innej opcji.
2129:  Co tutaj jest?
2132:  Hmm.
2133:  Tu jest gniazdo potworów, ale nie wiem, czy my możemy wyjść.
2137:  Słuchajcie, zapiszę, bo zbliżamy się do niebezpiecznej rzeczy, to znaczy potwory, drabiny.
2142:  O właśnie, o właśnie.
2146:  Dobrze, tutaj jest skrzyn... Nie Geralt, skrzynka!
2149:  Skrzynka Geralt!
2154:  To nie glitch, tylko feature.
2156:  Wilk wilkowi wilkiem.
2158:  Witamy Godzia i Roberta Górskiego witamy.
2165:  Bardzo dziwne to jest.
2168:  Nie Geralt, druga drabina.
2171:  Tak Geralt, ta drabina, dobrze, dobrze Geralt.
2175:  Wygląda na to, że ta skrzynia zdezaktywowała nam znacznik.
2179:  Myślałem, że tu jest siedlisko potworów.
2186:  Uuu.
2187:  Na wysepce, gdzie przepłynął dziki gon podczas burzy, spalni się kilka dziesiąt ogarów gonu.
2191:  Uuu.
2192:  Uuu.
2193:  Która to jest wysepka?
2195:  Może bym ja to pamiętał oczywiście.
2196:  Ooo.
2198:  Tu jest bardzo dużo różnych wysepek, ale na nie nie idziemy na razie, bo będziemy musieli pływać naszą kruchą łódeńką.
2204:  Teraz zmierzamy w stronę Holmstein.
2209:  Wampir Syrena, tak jest, jest zdecydowanie mniej groźna od wilka, a wilki są zdecydowanie mniej groźne od drabin.
