Każdy. Pytajnik. Na. Skellige — WITCHER 3 Livestream #16
🔗 https://www.youtube.com/watch?v=4pCo34gbPZU

3:  Moi drodzy, witajcie.
220:  Ja jestem nieprzyzwyczajony, nie mam jeszcze wszystkich ruchów opanowanych, tych, które są konieczne do walki z tymi przeciwnymi naturze przeciwnikami.
229:  Znaczy one nie są przeciwne naturze, one w zasadzie są bardzo związane z naturą, jako to wilki.
236:  Coś nam, moi drodzy, podejrzanie dobrze idzie.
240:  Ja myślę, że... To są słynne ostatnie słowa, swoją drogą.
246:  Wilki na Skellige to jest nieodłączny obraz i nieodłączny widok.
252:  Oj, moi drodzy, będę musiał sobie, zapomniałem oczywiście o tym, wyłączyć Discorda, bo inaczej będę mieć co 15 sekund jakieś powiadomienia.
259:  Nie dajcie bogowie, ktoś zadzwoni.
261:  Ostatnio miałem taką zabawną sytuację na zajęciach, jak zaczął dzwonić Discord i studenci facepalmowali, ponieważ ja oczywiście nie wiedziałem, co to jest za okropny dźwięk, bo zwykle mam to wyłączone!
276:  Dobrze, czas wyposażyć się w kłen po raz kolejny, bo nie podoba mi się ten widok.
282:  Nie podoba mi się widok aksji.
285:  Nie podoba mi się widok pełnego zatrucia.
287:  Wiedźmin w walce z wilkami po pięciu minutach zażył już wszystkie eliksiry, które mógł.
294:  Obiecuję wam, że nie będzie wielu tych wilków, ale nie mogłem się powstrzymać, by tradycji nie uczynić zadości.
301:  Nie!
306:  Wielkie nieba, jak one walą mocno.
313:  Owszem, szlak.
314:  Proszę mnie uleczyć wilczki natychmiast.
318:  Jak ktoś na przykład obejrzał pierwszy stream z tej serii i wszedł teraz, to mógłby stwierdzić, że się absolutnie nic nie zmieniło.
326:  I miałby dużo racji.
329:  To znaczy, w dalszym ciągu wilki kontra mag...
333:  No, no, no, moi drodzy.
336:  Słaby Uncharted będzie, pisze Olga.
338:  Oj, to mnie zmartwiliście.
339:  To niedobrze, że słaby będzie Uncharted.
341:  Wszystkie eliksiry zużyte, trzeba medytować.
344:  Nie zdradzałem pytajniczków, absolutnie, moi drodzy.
347:  Biegniemy do pierwszego z nich.
349:  Ło lolo!
350:  Ło lolo!
352:  Nie wiem, dlaczego mi się przypomniało kapłan z Age of Empires.
357:  O dziwo, Krzysztof I, Wilki Zero.
359:  O dziwo, istotnie.
362:  To jest tak, to jest odwieczna wojna, absolutnie.
364:  Eternal War.
367:  Był taki temat muzyczny z Eternal War.
370:  Dlaczego ja o niego nie pamiętam?
371:  Skąd to było?
372:  O, o!
374:  Ciężkie sprawy.
375:  Czy ja na pewno idę w dobrą stronę?
380:  Ojej, Paweł pisze, że w czwartek na swoim live'ie Dawid Myśliwiec stwierdził, że jestem dla niego odkryciem roku i planuje mnie zaprosić do podsumowania.
390:  O, jak mi strasznie miło.
392:  Dziękuję już teraz Dawidowi, a podziękuję jeszcze osobiście, jak się taka okazja nadarzy.
397:  Ale pamiętajcie, że to jest wszystko wasza zasługa, bo szaleńczo subskrybujecie kanał, przybywacie na te chore live'y, trybutujecie, rzeczy robicie różne, które wlewają ciepło do mojego serducha, jakby nie było go tam już za dużo, biorąc pod uwagę magię ognia.
412:  Czy możecie mi wyjaśnić, jak tam kuźwa dotrzeć?!
416:  A już było tak dobrze, a już było tak miło, już było tak fantastycznie, jakby powiedział FootEmperor, i co?
423:  Jak mam tu przejść?
425:  F5.
427:  Po skałach trzeba?
429:  Mówicie.
431:  Chodzi skacząc po górach.
432:  Był taki poemat dziwny.
435:  Pójdziemy, pójdziemy to w takim razie skacząc po górach.
438:  Co to było?
439:  Chodzi skacząc po górach.
441:  Ktoś to napisał.
442:  Jakiś nudny poeta.
443:  Nie pamiętam.
444:  Dlaczego mojej głowy się trzymają takie rzeczy?
446:  Wytłumaczcie mi to.
450:  Po skałach albo po domu?
451:  Po domu.
451:  Po domu.
453:  Po domu.
455:  Po domu.
458:  Okej.
459:  Czy Geralt jest w stanie tu wskoczyć?
464:  Geralt nie jest w stanie tu wskoczyć.
467:  Geralt prawie jest w stanie tu wskoczyć.
469:  Dobrze.
471:  Czy będę ogrywał God of War'a na PC?
473:  A to nie jest zły pomysł.
476:  Czy jesteście absolutnie pewni, że dookoła... Jesteście absolutnie pewni, że tędy się da przejść?
482:  Sprawdźmy tutaj.
483:  Mówi się...
499:  Mhm.
499:  Mhm.
500:  Tak.
501:  Tak właśnie.
504:  Tak właśnie.
504:  Znaczy, wiecie, ja absolutnie w 100% wam wierzę, że weszliście po dachu lub w jakimkolwiek innym miejscu.
511:  Ja jednak wiem, że jeżeli da się w grze coś spieprzyć, ja to na pewno zrobię.
518:  Ja to na pewno zrobię.
520:  Dobrze, spróbujemy pokonać durną mechanikę zjeżdżania.
524:  Nie jest to absolutnie niemożliwe.
526:  Dobrze, myślę, że jeżeli chodzi o wszystkie pytajniczki na Skellige, jest to do dopracowania zdecydowanie.
535:  W tym momencie mam ochotę się poddać.
536:  Zrobimy jeszcze jedną próbę.
539:  Mistrz Gervant z Ceku Żurawia powinien startować w zawodach snowboardingowych.
543:  Szydzi Tarael i ma wiele słuszności.
546:  Tak, Geralt zdecydowanie nie współpracuje ze mną dzisiaj, ale dobrze wiemy, że to jest nie tylko dzisiaj.
552:  Jeszcze zobaczymy tutaj, naprawdę te ślizgi doprowadzą mnie w którymś momencie do szału.
558:  Jest dróżka za domem, ale tam, gdzie do tej dróżki nie da przejść, wiecie, znaczy pewnie się da, tylko ja tego nie widzę.
566:  Okej.
567:  Znalazłem prawie sposób na przechodzenie, to znaczy trzeba wciskać frenetycznie spację i wtedy się udaje.
576:  Dróżka za domem.
581:  Geralt zawisł bezradnie.
584:  Dobrze, moi drodzy.
585:  Podejście numer dwa.
588:  Podejście numer dwa.
592:  Znaczy, ja tędy nie przejdę.
594:  Nie ma szans, żebym tędy przeszedł, ponieważ tutaj jest to wzgórze strome, z którego Geralt spada.
599:  Tego nie zrobimy.
601:  Czy jest jakieś inne miejsce, gdzie można wskoczyć?
608:  Trzeba w domku przez okno wyskoczyć?
612:  Ooo, czaty podpowiadają, dobrze, dobrze.
617:  Przez okno, znaczy nie wiem, czy to jest okno.
619:  Czy wyżej?
620:  Może wyżej, bo tutaj, tutaj to są za małe okienka dla mistrza Gerwanta.
624:  Tutaj się nie podskoczymy, nie ma szans.
627:  Dlaczego?
628:  W drugą stronę, z drugiej strony domu!
630:  Już, już, już biegnę, moi drodzy, już biegnę, już biegnę.
635:  Wielkie nieba.
636:  Myślałem, że to będzie proste, że będzie taka spokojna eksploracja, będziemy sobie gawędzić w trakcie.
641:  Oczywiście, że tak się nie da.
643:  Jestem z drugiej strony domku.
644:  Nie ma tutaj żadnego okna.
646:  Obejść z lewej.
649:  To jest lewa.
652:  Tu jest lewa, moi drodzy.
653:  I tu jest jakaś dróżka mała, ale ja przez nią nie przejdę.
663:  Które raz przychodzę Wiedźmina?
665:  Ostatnio musiałem skorygować swoje obliczenia, bo okazało się, że było sporo razy podzajęcia, więc wychodzi mi na to, że szósty okno jest w pokoju.
675:  Ja jutro się wybieram na Dunę, nie znając żadnej książki.
678:  To dobrze, Stefanie, nic nie będzie problematycznego.
681:  Z lewej strony domu trzeba spróbować wejść na skały.
684:  To jest lewa strona domu, moi drodzy.
687:  I...
689:  Próbujemy wejść na skałę.
690:  Znaczy, wiecie, znacie moją cierpliwość, ja... I can do this only this much.
695:  Jeżeli to się... Udało się!
698:  F5!
699:  F5!
700:  F5!
701:  F5!
701:  Właśnie, że mogę zapisać!
703:  Właśnie, że mogę zapisać!
704:  Właśnie, że mogę zapisać!
705:  Dobrze, udało się.
707:  Tak!
708:  Tak!
709:  Teraz tylko, żeby nie wpaść... F5.
716:  Zwycięstwo!
718:  Nagroda dla czatów za pokonanie mojej... Jak to się nazywa?
723:  Czy to się nazywa agorafobia?
725:  Strach przed przestrzenią, której nie można eksplorować?
727:  Powiedzmy, zmodyfikowałem definicję tego słowa.
730:  Geralt, nie waż się, nie waż się wchodzić w ślisk snowboardingowy, ponieważ skończy się to źle.
736:  Witamy Frederica Julio i Miss Jesionka, jeżeli mi mignęła, i Gazowane Mleko.
741:  Witajcie wszyscy przybywający.
746:  Czy ja dobrze widzę?
749:  Czy ja dobrze widzę?
756:  Czy to był znak Igni?
758:  TAK!
759:  Moc znaku Igni została zw... TAK!
767:  TAK!
769:  Warto było!
771:  Nigdy nie jest warto eksplorować, ale dla takiej sytuacji warto eksplorować i się męczyć.
775:  Znaczy zawsze jest warto eksplorować, ale eksplorować i się męczyć nie warto.
779:  Wspaniale!
781:  Tak, po 12 minutach streamu pierwszy pytajniczek odhaczony w rurze.
790:  Sukcesy dzisiaj wielkie.
793:  Eliksiry uzupełnione jak najbardziej.
795:  Jak najbardziej.
797:  Dobrze.
797:  Gdzie teraz idziemy?
798:  Idziemy teraz zakosić naszą małą łódeńkę i płyniemy, hen, daleko.
804:  Będzie się trzeba wyposażyć, wiecie co?
807:  Wiem, w co się będzie trzeba wyposażyć.
808:  To znaczy absolutnie
810:  Nie, nie, nie i jeszcze raz nie.
813:  Nie chcemy magicznego kaganka oświaty.
817:  Ja oświaty mam dość po tygodniu już ostatnim i po tym wszystkim, co się w niej dzieje, więc kaganka oświaty nie chce, chce róg, który będzie zabijać syreny.
835:  Nie, nie, nie, dzieją się, dzieją się złe rzeczy.
840:  My nigdy, nigdy nie przybędziemy do małej, klepawej łódeńki.
846:  Udajmy się, udajmy się bezpieczną stroną.
850:  Teraz mi, teraz, czy teraz się nie będzie tutaj dało wejść?
855:  Czy teraz, czy teraz, czy tutaj się nie da wejść?
859:  Dobrze, da się wejść.
861:  F5, dobrze, jest dobrze, jest dobrze.
864:  Wilki 01, grawitacja 10, rachunek nam się o ciupinkę wyrównał, ale wiecie, co można zawsze zrobić w sytuacji, w której grawitacja płata nam figlę?
876:  Można wezwać napęd antygrawitacyjny w postaci płotki.
882:  Napędzie antygrawitacyjne, przybywaj.
885:  Skaweński alchemik poczęstował ostatnio swego nauczyciela angielskiego herbatku New York i stwierdził, że smakuje jak guma balonowa.
891:  Czy naprawdę potrzebujecie na tym kanale jeszcze raz usłyszeć, że nauczyciele to beznadziejni?
897:  Bo ewidentnie tak.
899:  Płotko?
900:  Czemu Płotka nie chce do nas przybyć?
902:  Płotka już nas nie kocha.
904:  Płotko?
905:  Płotko?
909:  Mam beznadziejną kuszę.
910:  Bardzo wam dziękuję za pochlebstwa na temat kuszy.
914:  Musimy ją wymienić przy najbliższej okazji, ale jesteśmy w górach i nie ma tu kowali!
919:  Jedyny kowal, który tutaj jest, to kowal losu.
924:  Nurzę do łódeńki.
926:  Jest łódeńka na horyzoncie, a Płotka nie chce do niej iść, bo Płotka już wie.
931:  Płotka jest najlepszą przyjaciółką, może dlatego, że jedyną Geralta, i nie chce go tam puścić, bo wie, do czego to wszystko prowadzi.
942:  Geralt, liczę na to, że będziesz umiał wejść do łódeńki.
946:  E!
949:  Wypływamy!
955:  What will you do with a drunken girl?
958:  What will you do with a drunken girl?
961:  What will you do with a drunken girl all day in the morning?
967:  Więcej szans potrzebujemy.
969:  Jaki poziom?
970:  Oczywiście, że krew, pot i łzy.
972:  Nie, korzej, droga ku zagładzie, czyli ten najwyższy.
980:  Piętnaście furbeczek na umrzyka rumie, jo ho ho i butelka chłopa.
986:  To jest wra... Aluzyjka... Czekajcie, muszę wyłączyć tego Discorda, bo inaczej oszaleję po prostu, zwariuję i dostanę palpitacji równocześnie.
995:  Dziękuję.
997:  Windows ze mną przynajmniej współpracuje, ale poczekajcie, przecież dobrze wiemy, że płyn... A nie, w dobrym kierunku płyniemy.
1003:  Wielkie nieba.
1006:  Och, absolutnie, Anela, prawda, że się przypomina Dishonored?
1011:  Pomysł na to, żeby szantę What Will You Do With A Drunken Sailor zamienić na What Will You Do With A Drunken Whaler, było genialne po prostu i to jeszcze w dodatku zobaczyłem jakąś znajdźkę zupełnie w randomowym miejscu, gdzie była zapisana cała ta szanta.
1026:  Boże, jaki to zrobiło niesamowity klimat.
1032:  Oczywiście, że zdacie maturę w ogóle.
1034:  Skaweński alchemiku, nie ma co nawet rozłożyć innego scenariusza.
1038:  Jaka była reakcja moja na wiadomość, że istoty fantastyczne istnieją?
1043:  Nie zdziwiłem się.
1051:  Nie chcę was martwić, ale mam... Aha!
1053:  Płyń szybciej!
1054:  Dobrze, odkryłem właśnie drugą mechanikę poruszania się łódeńką.
1059:  Płotka to inna przyjaciółka Geralta, tymczasem Shani... Shani Shadnois... Właśnie, jeszcze nie widzieliśmy się z Shani, ale to dlatego, że nie robiliśmy dodatku serca z kamienia.
1074:  Czy sądzę, że powstanie kontynuacja Duny, pyta Mateusz, bo dla mnie to było dzieło wybitne audiowizualnie i świat, który bym chciał poznać i wiedzieć jak najwięcej o nim.
1080:  Tak, na pewno powstanie.
1082:  Warner Brothers już z tego, co słyszałem, potwierdziło, że będą pracować nad sequelem, ale jedną sprawę strasznie spaprali, to znaczy powinni byli pracować nad rzeczonym sequelem dawniej.
1094:  To znaczy przynajmniej rozpocząć pracę wtedy, kiedy wtedy, kiedy wyszedł do kin film.
1102:  Dobra, czas zacząć używać naszej kiepskiej kuszy.
1107:  Ale nam nie jest potrzebna dobra kusza, ponieważ mamy filtr Petriego i będziemy wypalać Echidny, korzystając z lepszego znaku Igni.
1121:  Co to ma znaczyć?
1122:  Von Echidno.
1125:  Ciach!
1126:  Ciach!
1128:  Upokarzamy Echidnę, waląc ją mieczem, jak porządny magr.
1133:  No, Dizonen Maciej pisze, wspaniałe ostatnio zrobiłem linoryt przedstawiający wieloryba z tego uniwersum.
1138:  O rany, jak masz taką możliwość, to... Dlaczego Echidna wpadła do wody?
1143:  To wrzuć na kanał Holistyczna Twórczość na naszym Discordzie, czyli holistycznej agencji eskapistycznej, link w opisie.
1149:  Chętnie zobaczymy.
1153:  O, tak.
1155:  Walczymy z jedynym przeciwnikiem, moi drodzy, z którym będziemy przez najbliższe 4 godziny walczyć, więc brace yourself.
1163:  Znaczy, prędzej czy później będziemy musieli zrobić coś innego, ponieważ ja zwariuję, eksplorując wyłącznie pytajniczki.
1170:  Więc na pewno się wybierzemy do któregoś z miast na partyjkę Gwinta, to jest pewne.
1176:  I czemu nie do Nilfgaard?
1177:  Czemu nie?
1183:  Czy wszystkie echidny zostały wypalone?
1186:  Mam dla was fantastyczne wieści, tak.
1191:  Złap go w igni!
1192:  O, o!
1192:  To mi się podoba!
1193:  Mmm, jak wspaniale, że tutaj przypłynęliśmy!
1196:  Zobaczcie!
1197:  Zobaczcie!
1199:  Mamy bezużyteczne znajdźki!
1203:  Chaty mi mówiły, że można nie nurkować i znaleźć to, ale chyba tutaj trzeba zanurkować jednak.
1210:  Tak, trzeba zanurkować.
1211:  E!
1212:  E!
1212:  Geralt!
1213:  E!
1214:  E!
1221:  To potrwa.
1225:  Najgorsze jest to, że musimy zbierać to całe żelastwo.
1229:  Niezależnie od tego, czy nam się przyda, czy nie.
1230:  A nam się nie przyda.
1233:  Tak, wiem.
1234:  Orka na ugorze.
1236:  Ale nie widzę drugiego.
1238:  Czemu nie widzę?
1239:  Tu jest druga skrzyneczka!
1242:  Poprimodżemy!
1242:  Geralt, spiesz się!
1244:  Geralt!
1245:  Dobrze!
1247:  To nie wszystko?
1250:  Wielkie nieba.
1251:  Mógłbym wykupić umiejętność, że ze wzmocnienia punktów mocy nie schodzą i mieć wieczne wzmocnienie igni?
1259:  Gdzie jest takie ulepszenie?
1260:  O!
1261:  Świetnie, już mamy za dużo ekwipażu.
1264:  Fantastycznie.
1266:  Gdzie jest takie ulepszenie?
1271:  Czy ono jest tutaj?
1274:  To prawdopodobnie powinno być jednak w znakach, tak mi się wydaje, ale zapewne tak nie będzie.
1279:  Nie, to jest pod znak aksi.
1282:  Pamiętacie, gdzie jest to wzmocnienie?
1284:  Bo to jest bardzo interesujące.
1287:  Nie, nie.
1288:  To są techniki.
1290:  Kontrola metabolizmu, nie.
1294:  Jak można by zostawić pytajniki?
1296:  W życiu?
1297:  Absolutnie nie.
1299:  Nigdy tego nie znajdę.
1303:  Zawansowana pirotechnika.
1304:  Lewy dolny?
1306:  Faktycznie nie.
1311:  To jest bardzo dobry pomysł.
1314:  Kontrola gniewu.
1320:  Dobra, czego się pozbędziemy tutaj?
1321:  Na pewno nie niezabijalności.
1325:  Od szybkich ataków.
1327:  To jest dobry akurat.
1332:  O!
1334:  O!
1335:  Młynek zostawiamy, miażdżące ciosy zostawiamy.
1338:  Ciężko jest coś zdecydować.
1340:  Zwiększa szanse na trafienia krytyczne.
1344:  Rozładowanie QN też jest dobre.
1346:  Wszystko jest dobre.
1347:  Czemu nie możemy jeszcze mieć tych... To jest skandal.
1352:  Bardzo bym już chciał to mieć.
1353:  A musimy zbadać mutacje do tego, a nie mamy oczywiście surowców, ponieważ nie jesteśmy w tu są.
1358:  W taki sposób gra nas blokuje.
1360:  Wywalić to brązowe, mówicie?
1362:  Kontrola gniewu?
1365:  Wywalamy.
1366:  Będziemy mieli wieczny boost do QN.
1368:  Teraz tak, gdzie jest... Tu jest jeszcze jedna skrzyneczka.
1371:  Dobry wieczór wszystkim przybywającym jeszcze.
1374:  Cieszę się, że przybywacie.
1375:  Dzisiaj sobie gawędzimy i eksplorujemy.
1378:  Włątek fabularny główny poczeka.
1382:  Dobra.
1383:  Zdziku idzie do IMAXa 3D Night Dune.
1387:  Czytałem na fanpage'u Kulturalnego Człowieka, czyli Marcina Zwierzchowskiego, byłego redaktora Nowej Fantastyki, że nie jest to zbyt dobry pomysł.
1398:  To znaczy lepiej iść, jeżeli do IMAXa, to właśnie na 2D.
1404:  Jeśli macie taką możliwość, więc przekazuję dalej taką informację.
1407:  Tak wiem, wszyscy się przerażają, że można byłoby to sprzedać i zarobić pieniądze, ale mnie to kompletnie nie interesuje na ten etap.
1414:  Ale to kompletnie.
1416:  Chcę wrócić do naszej małej łódeńki.
1417:  Geralt, wracaj do łódeńki.
1423:  Więc co do Dune'y, okazuje się, że 2D i duży ekran może być lepszym wyborem, to znaczy coś się dzieje z obrazem dziwnego w 3D, robi się zbyt ciemny, ale powtarzam to po kimś, to nie jest coś, co ja sprawdziłem.
1440:  Bez technik gryfa na magu?
1442:  Nie mamy technik gryfa jeszcze.
1443:  Wiecie no, czekam, aż wreszcie zapełnią nam się te mutacje i będziemy mogli więcej mieć umiejętności.
1452:  Dobra.
1453:  Jeszcze jeden pytajniczek tutaj.
1458:  Dwa za nami!
1460:  Dwieście przed nami!
1462:  Czy oglądałem serial Outlander?
1464:  Tak, kiedyś tam kiedyś.
1467:  Teraz oglądam Expanse wreszcie, bo zabierałem się do tego jak sujka za morze.
1472:  Uuu, uuu, popatrzcie, tu jest jakiś fort.
1477:  Oczywiście, że podpłynę od złej strony.
1483:  Udało nam się wyhamować nawet łódeńko tak, że się nie uszkodziła.
1488:  Hmm.
1490:  Jak tam Jojo?
1491:  A, dajcie spokój.
1492:  Jojo, jak większość rzeczy, która jest na mojej liście, malazańska księga poległych, wszystko jest, tutaj chyba nic nie ma.
1499:  Wszystko jest niestety przede mną.
1502:  Jeszcze.
1503:  Tak to jest, jak ja się za coś zabieram i nie kończę.
1506:  Ja muszę zbingeować, wiecie?
1507:  Żeby coś skończyć, to muszę zbingeować.
1509:  Zasiąść do tego, że się tak przyzwyczaiłem do tego stylu,
1514:  Oglądania na Netflixie, nie wiem co Geralt robił, ale to było bardzo dziwne, że... O, jest skrzyneczka.
1521:  Płatki zimejki, warto tu było wejść, zdecydowanie warto.
1523:  Dziękuję level designerom CD Projektu Red.
1526:  Tak jest takie poczucie spełnienia po eksploracji tego statku.
1531:  Znaczy generalnie malazańską jest najlepiej czytać, to Krzysiek Kicma, świetny tłumacz swoją drogą i mój kolega powiedział mi, że tylko z mapą.
1542:  Wielą mapę sobie wydrukować, drugą i zacząć czytać.
1546:  Podobno działa.
1547:  Okej, chyba jednak zrobiłem coś nie tak.
1551:  Chyba jednak byliśmy w dobrym miejscu.
1554:  Duna 2D w Katowicach.
1555:  Właśnie też słyszałem, że w IMAX-ie w Katowicach jest wersja 2D.
1559:  Czy będziemy w stanie tutaj wskoczyć?
1561:  Oczywiście, że nie.
1564:  Muszę powiedzieć, że eksploracja w sytuacji, w której nie wiemy, gdzie co jest, nie jest sympatyczna.
1570:  Sons of Anarchy nie oglądałem.
1575:  Ardem drzwi na statku?
1577:  Mmm.
1578:  Art, och.
1580:  Już pędzę.
1582:  Dobra, czyli jednak tutaj trzeba było wejść, przeskakujemy i drzwi na statku aardem.
1588:  Gdzie tu macie drzwi?
1597:  Coś się stało.
1600:  Coś się stało, ale chyba tędy tam nie przejdziemy.
1603:  Czemu tutaj nigdy nie ma znaczników jakichś sensownych?
1606:  Chyba, że to jest tutaj.
1607:  Boże drogi, to jest tutaj.
1615:  Siodło jest nam absolutnie niepotrzebne, możemy je teraz wyrzucić.
1620:  Gdzie jest siodło?
1622:  Tu jest siodło.
1623:  Mamy najlepsze siodła jakie są, więc to jest niepotrzebne, tak samo zerikańskie klapy są niepotrzebne, kawaleryskie siodło nie jest potrzebne, zerikańskie siodło nie jest potrzebne i juki też nie są potrzebne, bo my mamy siodło z Bokler.
1637:  Zaraz, zaraz, zaraz, zaraz.
1640:  Dobra, 110 są yuki z Bokler, 100 są serii gańskiej yuki.
1643:  Już się przeraziłem.
1645:  90 wytrzymałeś, dobra.
1647:  Jeszcze te trofea moglibyśmy sprzedać.
1649:  Zrób to sam?
1652:  Chyba to kiedyś czytaliśmy.
1654:  Wracamy do naszej marnej łódeńki.
1655:  Co sądzę o huta, o zgęśnienia, będę na nią wiszował.
1658:  Na tym banerze.
1659:  Specjalnie dlatego pominąłem teraz tartalię, bo tartalia mi jest niepotrzebny.
1663:  O, kolejny łucznik do mojego zestawu magów.
1665:  Bardzo mi się przyda.
1668:  Więc podarowałem sobie to absolutnie.
1670:  Krzysztof Kisman tłumaczył Eskadę Alfabet.
1672:  Tak, tak, teraz siedzi przy książkach Star Warsowych.
1679:  O tak.
1680:  O tak, nasza łódeńka jest w całości.
1683:  Dobrze, bardzo dobrze, bo gdyby nie była, to mielibyśmy naprawdę przerąbane.
1688:  Jezus, co tu się dzieje?
1691:  To nie... Wiecie co?
1692:  Stwierdzam, że to nie jest pierwszy stream z pytajników na Skellige.
1696:  Nie wiem, czy będę miał dzisiaj odporność psychiczną, żeby wszystkie zobaczyć.
1708:  Odłożyć kamienie ruiniczne do schowka przy najbliższej okazji.
1710:  Zwolni się obciążenie.
1711:  W sumie racja.
1715:  Odwar, który zwiększa udźwig?
1717:  A jaki to jest odwar?
1719:  Nie oglądałem animacji Seven Scissors.
1721:  Luna von Ludendorff poleca wciągającą historię opowiadającą o trudnych tematach w prosty sposób.
1726:  Bardzo dziękuję, jak zawsze nie obrażę się za link na Discordzie.
1733:  Tydzień?
1735:  Tydzień był ciężki.
1738:  Tydzień był ciężki, ponieważ dopadły mnie rzeczy na uczelniach, które są najgorsze z możliwych, to znaczy terror rubryczek.
1743:  Trzeba było uzupełniać formularze.
1745:  Jak został uzupełniony już formularz K3, to okazało się, że formularz K3 został teraz wyparty przez nowszy, lepszy formularz K3-22A.
1754:  I teraz trzeba przepisać wszystkiego do formularza K3-22.
1758:  Okazało się, że to, co przepisywałem w formularzu K3, było zbyt obszerne względem ograniczeń objętościowych w formularzu K32A.
1767:  Więc trzeba było to zrobić jeszcze raz.
1768:  I w ten sposób zmarnowane były kolejne moje godziny na biurokratyczne pierypałki.
1772:  Tymczasem witamy Mentoksa w gronie trybutariuszy pierwszego tiru.
1776:  Bardzo dziękuję Mentoksie i zachęcam do używania mrowia, jamniczych emoji.
1782:  Czy ja widzę wyspę?
1783:  Czy ja widzę wyspę, a na niej utopce?
1786:  Tak jest.
1787:  Ale później okazało się, że była diuna i humor mi się bardzo poprawił.
1791:  Potem okazało się, że wyszedł drugi sezon serialu Lock and Key, który jest niezły.
1797:  Znaczy, po Dune'ie nic się nie wydaje tak dobre, ale jest niezły.
