Każdy. Pytajnik. Na. Południu. Skellige — WITCHER 3 Livestream #23
🔗 https://www.youtube.com/watch?v=2H4-hKZWIMM

3:  Witajcie.
137:  Onu44, moi drodzy, dzisiaj jest plan jak zawsze, to znaczy nie zginąć, a poza tym na sam początek będziemy eksplorować alternatywne zakończenie dodatku Serca z Kamienia, bo wczorajszy stream skończyliśmy
155:  No cóż, opowiadając się po stronie Czernoboga, zła przeciwko obrzydliwemu Olgierdowi von Ewerecowi, który zabił mi ćwieka nawet, a nawet parędziesiąt podczas najbardziej wyczerpującej walki, jaką pamiętam.
170:  Janko Muzykanta też witam, sama wita, i Fredrika Julio oraz Noberta i Artura.
176:  Jeszcze, a zaadresuję pytanie, które było od Aleksandry dotyczące tego, czy rektor może zmienić regulamin stypendiów na trzy dni wcześniej.
185:  Tak, może, ponieważ niestety uczelnie to jest takie miejsce, gdzie lex retro agit, czyli prawo może działać wstecz.
191:  Próbowałem z tym walczyć na Uniwersytecie Jagiellońskim, ale nie udało się.
198:  Odczarowanie umy nie było łatwe, ale powiodło się.
201:  Tak, Olgierd został zabity, Erin.
204:  Ale to w pierwszym wariancie.
205:  Teraz eksplorujemy drugim.
206:  Dobry wieczór, Pawle.
208:  Dobry wieczór.
209:  I Morciu.
209:  I Olgo.
213:  I Klarę witamy jeszcze.
216:  I Nemora.
218:  Już się zaczynam uczyć.
219:  Mojoko już się zaczynam uczyć imion stałych widzów.
225:  Przyjdzie kiedyś taki moment.
226:  I Rafała też witam.
227:  Przyjdzie taki moment, kiedy będę rozpoznała wszystkich.
229:  But it is not this day!
231:  Dobra.
231:  Nurzę ku alternatywnemu zakończeniu.
234:  Dla wszystkich, którzy nie wiedzą, o co kamon.
237:  We wczorajszym zakończeniu Olgierd von Ewerek, zwany też Ewerecem, niesłusznie, wziął
245:  do swej domeny duszę Olgierda.
247:  Znaczy nie, przepraszam, pan Lusterko wziął duszę Olgierda do swej domeny.
251:  Była taka przepiękna scena, jak podrzucał jego czaszką, pogwizdując.
254:  Coś niesamowitego, zobaczcie sobie.
256:  Teraz spróbujemy przechytrzyć pana Lusterko.
259:  Zobaczymy, czy to się uda.
262:  Zobaczymy.
263:  Zrobimy sobie taktyczny save.
276:  Witamy Taraela także.
278:  Witamy, witamy.
279:  Ciekawe miejsce wybrałeś.
282:  Zakładam, że nieprzypadkowo.
287:  To nie ja wybrałem to miejsce.
291:  Streamy Oliwio zwykle do 24.
293:  Zwykle.
297:  No, ale skoro już tu jesteśmy, to pewnie masz mi coś do przekazania.
304:  Wypełniłem trzecie zadanie.
307:  Skąd mam wiedzieć, że to właśnie ta róża?
311:  Mogłeś ją kupić godzinę temu na straganie w Oxenfurcie.
314:  Przypatrz się dobrze.
316:  Zwykle to kluczowe słowo, tak.
319:  Mam ją od Iris.
320:  To była ostatnia rzecz, która wiązała ją z tym światem.
324:  Co?
326:  I teraz w tym roleplayu będziemy starali się sympatyzować i empatyzować z Olgierdem.
340:  Myślę, że cię kochała i chciała ci ją dać w dowód miłości.
346:  Kochała mnie?
348:  Ja przechytrzyłem Odina w pierwszej swojej grze.
352:  Iris, w co myśmy się wpakowali?
357:  Gdybym wtedy wiedział, jak to się skończy.
362:  Co?
364:  Co się dzieje?
366:  Czuję się, jakby ktoś włożył mi w piersi płonącą żagiew.
372:  Wybaczcie, że kazałem na siebie czekać.
394:  Cieszę się, że jesteśmy już w komplecie.
399:  Jak się czujesz, von Everett?
401:  Nie jest ci jakby lżej na sercu?
405:  O, Deem.
407:  Czego chcesz?
410:  Jak to czego?
411:  Twojej duszy.
414:  Zapomniałeś o czymś.
416:  Cyrograf mówi, że możesz ją zabrać, jeśli wypełnisz trzy zadania i... I spotkamy się na Księżycu.
429:  No i jesteśmy.
435:  Co?
445:  Nie... Przecież... Mieliśmy umowę.
448:  Tam jest Księżyc.
450:  Tam, a nie... Tu?
453:  Dałem ci, czego pragnąłeś.
455:  Tutaj, na Księżycu, kończy się nasza umowa.
458:  Skurwysynu... Oszukałeś mnie.
465:  Ja nigdy nie oszukuję.
470:  Pomagamy Olgiertowi.
477:  Zaczekaj.
480:  Nie wtrącaj się.
481:  Pamiętasz, co zrobiłem z ostatnim głupcem, który mi przeszkadzał?
485:  Spełnisz życzenia, prawda?
487:  Więc spełnij moje i zostaw go.
490:  Musisz spłacić swój dług.
493:  Jeśli go zostawisz, ja zaciągnę u ciebie nowy.
497:  Chcesz oddać swoją duszę za jego?
500:  Nie, ale możemy zagrać o obie.
503:  Jeśli przegram, weźmiesz i moją, i Olgierda.
506:  Ale jeśli wygram, oszczędzisz nas obu.
509:  W co chcesz grać?
511:  W gwinta?
514:  Możemy się o coś założyć.
516:  Dałem ci kilka dowodów na to, że potrafię dokonywać niemożliwego.
524:  Hmm, dobrze.
526:  Ale zrobimy to po mojemu.
533:  Co się dzieje?
533:  Chciałeś ze mną zagrać?
534:  To grajmy.
551:  Zadam ci teraz zagadkę.
553:  Jeśli ją rozwiążesz, obaj z Olgierdem będziecie wolni.
557:  Przegraliśmy!
559:  Przegraliśmy!
560:  A jeśli nie?
563:  Wtedy obu was zabiorę ze sobą.
566:  Przecież sam to zaproponowałeś.
573:  Zrobiłbym to samo, co Geralt.
577:  Prawo cywilne!
604:  Kiedy płaczesz, ja szlocham.
607:  Gdy się śmiejesz, i ja chichoczę.
614:  Co to ma być?
616:  Ty mi powiedz, czym jestem?
623:  Jestem gotowy.
625:  Czym jestem?
625:  Jesteś gotowy.
631:  Czaty, czaty, jakby...
635:  Okej.
635:  Tak, pamiętam, że tutaj bardzo długo błądziłem.
640:  To pamiętam na 1000%.
663:  Na sam początek nie wiem, gdzie iść.
665:  Dlaczego mnie to kompletnie nie dziwi?
666:  Tutaj.
667:  Dlaczego... O Boże, nasza pochodnia ma creepy światło.
672:  Timer?!
673:  O nie!
674:  Tylko nie timer!
678:  Jaki timer?!
681:  Jaki timer? !
692:  Czy ja usłyszałem piosenkę dziecięcą teraz?
701:  Boże.
703:  Nie, nie, to jest ta piosenka.
721:  Wow.
722:  Dobra.
726:  Biegiem, biegiem, biegiem.
731:  Boże, ten timer idzie strasznie szybko!
735:  Jak to nie ma mapy?
743:  Co tu jest?
745:  Czy tu się da przejść?
745:  Nie, nie da się tu przejść.
749:  Won mi z tym, won, won, won, won, won, won.
752:  Czas, czas, czas, czas, czas.
753:  Jezus Maria, ja... Misja na czas to jest coś, co jest jeszcze gorsze niż od... niż walka z jakimkolwiek upiorem.
760:  Widzimy w jakimś dworku.
762:  Jaki tam schemat?
763:  Pieprzyć schemat!
766:  Czas, czas!
771:  Czas, czas, czas, czas.
773:  Po co nam miecz brzmi?
774:  Mamy miecze!
775:  Mamy najlepszy miecz w grze!
782:  Nie wiem, gdzie iść.
783:  Nie mam zielonego pojęcia, gdzie iść.
784:  Chyba tu.
788:  A, dużo czasu.
790:  Ja wam dam dużo czasu.
794:  Hop!
801:  Nie wiem, czy to tędy.
802:  Nie wiem, nie mam pojęcia.
803:  O, tutaj coś się dzieje.
806:  Tu się coś dzieje.
808:  Co tu jest?
810:  Podnieś.
811:  Oreny.
816:  Mam wrażenie, że to jest pułapka.
820:  Nie, nie, nie, nie, nie.
821:  Ja się po prostu zgubiłem.
823:  Tego się po tobie nie spodziewałem.
828:  A czas ucieka.
830:  Cicho!
830:  Nic nie ucieka.
832:  Boże drogi, na czas.
834:  Przypominają mi się wszystkie egzaminy.
836:  Pamiętaj, że możesz się poddać.
838:  Bo trzeba przetestować wiedzę uczniów.
842:  Jak szybko odpowiadają, to znaczy, że lepiej umieją.
846:  Szybciej, szybciej, szybciej, szybciej, szybciej, szybciej!
849:  20 minut, pół godziny!
850:  Szybciej!
854:  Jest dworek.
855:  Dobrze, jest dworek, jest dworek.
857:  Jest dworek... Ja wam dam tic-tac.
861:  Co tu jest?
861:  O!
863:  Wy zimski czempion.
864:  Missclick, missclick.
866:  Nic nie widzę.
867:  Pochodnia.
868:  O Boże, co to jest?
875:  Tak!
876:  Tak!
877:  Aaa!
886:  Czemu... Czemu się wszystko nisz... O Boże, co tu się dzieje?
891:  Co teraz zrobić?
895:  Nie możesz tego robić w nieskończoność.
897:  Założymy się.
898:  Okej, okej, okej, okej, okej, okej, okej, okej.
904:  I to padnę cię.
904:  Czekam i czekam i nic.
905:  Wciąż mnie nie znalazłeś.
919:  Okej.
920:  Tu jest fontanna!
922:  Ale ona nie działa!
923:  Tu nie ma wody!
925:  Spadaj, spadaj, spadaj.
926:  Była kiedyś woda.
928:  Może da się sprawić, żeby pojawiła się znowu.
931:  Jak się da sprawić, Geralt?
932:  Geralt jest... Wierzę w ciebie.
935:  Dasz radę, Geralt?
937:  Co to jest?
937:  To jest roślina?
938:  Czy ona jest hydropobowa?
939:  Nie, to jest lustro.
941:  Zaraz, zaraz, zaraz, zaraz, zaraz, zaraz.
950:  Nie.
951:  Art nie zadziałał.
955:  Jaka ściana za fontanną?
956:  Gdzie?
958:  Gdzie jest fontanna?
959:  Boże, ja się zgubiłem.
965:  Zgubiłem się.
971:  Boże drogi, zgubiłem się.
972:  Gdzie?
972:  Dobra, ściana za fontanną jest.
975:  Coś tu jest.
979:  Widzicie?
980:  Dlatego nie mogłem iść po miecz.
988:  Nasi kaśniak... There you are!
989:  ...tyko klasy młotki.
997:  Przegrałeś.
1024:  Właściwie miałem spytać jaki to jest język i mówicie, że gruziński?
1032:  Aśnasg durrbatuluk!
1038:  I jak?
1039:  Lepiej ci?
1042:  Lepiej.
1043:  Dzięki.
1044:  Twoje wino powoli stawia mnie na nogi.
1049:  Mam wrażenie, że... Tak, to się da przegrać!
1053:  Wyjątkowy sikacz.
1058:  Ale wiesz co?
1059:  Dobrze jest wreszcie posmakować czegoś prawdziwego.
1067:  No dobra, to opowiadaj, co się właściwie stało.
1072:  Twoje znamie zniknęło, więc chyba jest dobrze.
1079:  On mówi, że powróci po gruzińsku.
1081:  Jak ktoś na czatach może sprawdzić, co to znaczy, to super będzie.
1087:  A czy gry komputerowe mnie nie męczą, prawda?
1089:  Nie, ale dajcie spokój, znakomite.
1092:  Pytacie, czy się dało to przegrać.
1095:  Tak, ja przegrałem za pierwszym razem.
1097:  Czas się skończył, bo eksplorowałem tam tą lokację.
1102:  Bo to był mój pierwszy wybór.
1104:  Ja jak zobaczyłem, że jest możliwość oszukania diabła, to pierwsze, co zrobiłem od razu.
1109:  Najpierw ty mi powiedz, jak to jest mieć kamienne serca?
1111:  Na początku świetnie.
1111:  Nie czujesz strachu?
1112:  Niczego się nie boisz?
1131:  Ale też o nic nie dbasz.
1134:  Nie przejmujesz się niczym.
1136:  Bliskimi też nie.
1138:  I powoli ich tracisz.
1141:  Zresztą wiesz, jak to się skończyło.
1145:  No a co ze zmysłami?
1147:  Czułeś coś?
1148:  Oczywiście.
1150:  I to jak.
1152:  Na początku smakowałem świat o wiele mocniej i wyraźniej niż inni.
1157:  Ale jak to?
1159:  Pamiętaj, że mieć serce z kamienia nie było moim życzeniem.
1163:  To tylko skutek uboczny.
1167:  Chciałem zdobyć Iris i odzyskać majątek.
1171:  A potem żyć tak, jakby nie było jutra.
1177:  I żyłem tak, przynajmniej do czasu.
1180:  Bo potem nie czułem już nic.
1184:  Na szczęście.
1186:  To już za mną.
1187:  Bo jest za mną, prawda?
1189:  Opowiesz mi wreszcie, co się stało?
1193:  Chat znalazł już tłumaczenie tych słów.
1195:  Podobno to jest ormiański, arabski, gruziński.
1198:  You are primitive.
1199:  You think you've defeated me, but you are wrong.
1202:  I can't be killed and I will be back.
1205:  Czyli Geralt jest prymitywny i głupi.
1207:  Nie będzie w stanie go zabić i powróci jeszcze.
1210:  Ale to ciekawe, ciekawe.
1211:  Podoba mi się.
1214:  Podała mi się.
1216:  Gdzie Geralt podział brodę?
1217:  Proste.
1218:  Gra likwiduje znamie, więc resetuje w inny wygląd Geralta.
1225:  Lusterko postanowił się trochę zabawić moim kosztem.
1229:  Wymyślił grę, którą miałem przegrać.
1232:  Ale chyba nie wziął pod uwagę szkoły, którą dostałem od ciebie.
1238:  Wybacz.
1239:  Nie chciałem cię narażać.
1241:  Musiałem to zrobić, żeby się chronić.
1245:  Wiem.
1246:  Nie musisz się więcej o niego martwić.
1248:  Jesteś bezpieczny.
1249:  I wolny.
1253:  Dziękuję.
1255:  Chociaż nie wiem, co mam z tą wolnością zrobić.
1257:  Wszystko, co było mi drogie.
1274:  Nieprawda.
1276:  Zyskałeś serce.
1280:  Gorzkie zwycięstwo.
1281:  Teraz wreszcie mogę poczuć, jak wiele straciłem.
1287:  Mam serce.
1289:  I jedyne co czuję, to żal, smutek, rozczarowanie.
1295:  Moje życie jest w gruzach.
1300:  Geralt z uszami jest fantastyczny.
1302:  Szymon pisze, uwielbiam takich vilainów, których się nie da pokonać, dając im jedynie mordę, to są najpotężniejsi.
1307:  Tak, Marvel powinien częściej z czegoś takiego korzystać, patrząc na to, kim był Thanos, nie, i dlaczego był tak niesamowity.
1315:  Witamy Waniewskiego na czatach.
1318:  Brzydal z Geralta bez tego znamienia, no, coś w tym jest.
1321:  Kadriak z filmu o samurajach, no, no.
1327:  Witajcie, witaj Robercie.
1331:  Cóż, nie zazdroszczę ci.
1332:  Jak to mówią, uważaj, czego sobie życzysz.
1333:  Będę uważał, wierz mi.
1361:  Chociaż nie.
1362:  Mam lepszy pomysł.
1363:  Po prostu już nigdy więcej nie będę sobie życzył niczego.
1370:  Czas wziąć los w swoje ręce.
1372:  Zacząć żyć od nowa.
1374:  Tym razem naprawdę.
1377:  Brzmi jak dobry plan.
1380:  Dzięki, Wiedźminie.
1382:  Nie zapomnę tego, co dla mnie zrobiłeś.
1386:  Mam coś dla ciebie.
1391:  Nie mogę tego przyjąć.
1393:  Możesz i musisz.
1396:  Ta szabla była w mojej rodzinie od pokoleń.
1399:  Kiedy straciłem majątek, ją jedyną zachowałem.
1402:  Wiele dla mnie znaczy.
1405:  Tym bardziej nie mogę.
1407:  Uczyń mi ten honor.
1409:  Dla mnie to będzie znak rozpoczęcia nowego życia.
1413:  A tobie taki oręż może się przydać.
1416:  Dziękuję.
1422:  Wybacz.
1428:  Nie przejmuj się.
1435:  Jeszcze raz dzięki, Geralt.
1437:  Za wszystko.
1439:  Szczęśliwej drogi.
1441:  Wzajemnie.
1442:  Powodzenia.
1448:  Dobra, tym razem przewiniemy napisy, bo nużę do pytajniczków na Skellige, ale piękny kadr za to dla was.
1455:  Tak, powinna być opcja do Olgierda i idź pobiegać, nie martw się, zrób trochę pompek.
1462:  Co się martwisz?!
1464:  Przestań się smucić!
1469:  Mamy uaktualniony wpis o Gaunterze Odimie.
1473:  Aż sprawdzę, co tam się o nim dowiedzieliśmy dodatkowego.
1477:  Gaunter, Gaunter, Gaunter.
1483:  Słowa profesora Szesloka były prawdziwe, pan Lusterko, rzeczywiście można było pokonać jego własną bronią.
1489:  Okej.
1490:  Obawiam się, że jednak wróci tacy, jak on zawsze wracają.
1492:  Dobra.
1495:  Dotknij trawy, tak, tak.
1498:  Albo przytul się do drzewa.
1499:  To też świetny, sprawdzony lek na depresję.
1504:  Moi drodzy.
1506:  Moi drodzy.
1508:  Szturna Dantyn jest przed nami.
1511:  To jest jedyne zadanie, które nam zostało.
1513:  To jeszcze.
1515:  No to sobie to zrobimy, jak już jesteśmy w Nowigradzie.
1518:  Znaczy w Nowigradzie, w Welen siedzicie mówiąc.
1520:  Tylko nurzę do jakiegoś szybkiego znacznika, chyba tutaj będzie najszybciej.
1525:  I potem wypływamy na Skellige, tak?
1527:  Tak będzie, nie zmyślam.
1532:  A właśnie, czekajcie, czaty, czaty, zrobimy tak.
1536:  Ponieważ geneza mojego wczorajszego roleplayu była taka, że zdenerwował mnie pan, zdenerwował mnie Olgiert,
1551:  to zrobimy szybko sobie... Zrobimy szybko ankietkę.
1556:  Bo powiem wam tak.
1557:  Ja osobiście... Ja się łamię.
1562:  Wczoraj tętniły we mnie emocje burzliwe i chciałem bardzo... Chciałem bardzo zemścić się na Olgierdzie za to, że mnie tyle razy zgładził.
1572:  Ale teraz po tej scenie coś mi drgnęło w sercu.
1577:  Coś mi drgnęło w...
1579:  wstrętnym, zepsutym, arcymagowskim sercu.
1586:  I tak się zastanawiam, czy by nie kontynuować z tego sejwu.
1603:  Czaty widzę łaskawe dla Olgierda.
1614:  Miękkie buły.
1623:  Szkoda, że nie mam opcji zabić obu.
1625:  Dobrze.
1626:  Dobrze, kochani.
1627:  Dobrze.
1628:  Ja się przychylam w takim razie do waszego sądu.
1631:  Przychylam się.
1635:  Właśnie kanonizowaliście zakończenie.
1638:  Inaczej.
1638:  To był nasz fanon.
1641:  Czy my jesteśmy w stanie tędy przejść, czy nie bardzo?
1643:  Jak myślicie?
1655:  Eksploity!
1660:  Ser, ser, ser!
1662:  Dobrze.
1664:  F5, racja.
1669:  Gdzie jest, gdzie jest znacznik, którego szukam?
1671:  Proszę, jak szybciutko!
1673:  Jak szybciutko!
1675:  Tak, to jest racja.
1677:  Zrobimy sobie przystanek w Corvo Bianco i w ramach tego przystanku w Corvo Bianco zostawimy sobie tam też zbroję Stesza Mutny, która jest bardzo cenna, ale zanim to, zanim to, to rozwiążemy tę jedną rzecz w Nowigradzie, która mnie denerwuje.
1694:  Nam została.
1697:  Stefan, dziękuję za polecenie Arkane.
1699:  Popłakałem się na trzecim odcinku.
1701:  To jest, no, to jest mocny serial, jest przepiękny.
1703:  Tak się cieszę, że się podoba.
1706:  Widziałem palitkę o 7 metrów pod ziemią z nauczycielką, to jest mój najmniej ulubiony odcinek 7 metrów pod ziemią, ponieważ uważam, że ostatnie, czego potrzebujemy, to zapraszanie do jakichkolwiek mediów, nauczycieli, zwłaszcza takich, którzy chcą mówić nie o reformie edukacji, tylko o tym, że
1730:  Pienio... pieniąz... pieniądze, podwyżka, podwyżka pienie... chcę pieniądze, wie... będzie więcej pieniędzy, to będę lepiej pracować.
1741:  Czy wspomniałem o tym, że chcę więcej pieniędzy, bo nie ma... nie ma na kredę, nie ma na tablicy.
1746:  I dlatego tak źle uczymy, że nie ma na kredę, nie ma na tablicy.
1749:  Nie, dlatego tak źle uczymy, że... że myślimy, że gry wideo zabijają, tylko dlatego, że nie ma kredy na tablicy, dlatego źle uczymy.
1762:  Nie żyję od dawna.
1767:  Zaraza.
1767:  Łowcy mnie ubiegli.
1783:  I wiecie, najgorsze jest to, że ja wysłuchałem całej tej rozmowy, śmieję się oczywiście z niej, ale nie było mi dość miękko, jak oglądałem, ponieważ przez 25 minut obliczyłem z całej rozmowy, rozmawiano o finansach.
1795:  Nie została poruszona ani razu kwestia tego, że podstawę programową należy zlikwidować, że egzaminy są do likwidacji, że oceny są bezcenne.
1802:  Nie, to w ogóle nie są problemy polskiej edukacji.
1804:  Problem polskiej edukacji jest to, że nauczyciele są przeciążeni, że jest za duże pensum i że nie ma pieniędzy.
1810:  Nie ma innych problemów polskiej edukacji.
1812:  Żadnych.
1812:  W ogóle.
1813:  Nigdy.
1818:  Co tu jest, czego ja nie mogę?
1819:  To się świeci na czerwono.
1822:  Dziwne.
1824:  Dziwne, bardzo dziwne.
1826:  Mam wrażenie, że odszukaliśmy pozostałych wspólników.
1829:  List o skarbie.
1833:  Kluczyk.
1834:  Dobrze.
1839:  Tak, tam mydło też, że nie ma mydła w szkołach.
1842:  Oczywiście.
1844:  Nie, nie, nie, że nie ma go od zawsze, odkąd pamiętam, tak?
1847:  A problemy, które się teraz nasiliły, rzekłbym, wykraczały troszeczkę poza brak mydła.
1853:  Ja sam mówię o niedofinansowaniu nauki, jasne, ale to nie jest, to nie jest pierwsza kwestia.
1859:  Są rzeczy, które można robić bez zwiększenia finansowania na naukę.
1863:  Czy przygląd przenatokowa Margonem nie kojarzę?
1865:  Co to jest za gra przygląd przenatokowa?
1866:  Muszę wiedzieć.
1870:  Tak, tak.
1870:  Ktoś nam podziękował, a nie chciał na nas się wyrzygać?
1872:  Co to się dzieje?
1874:  Jestem chyba w złym miejscu.
1875:  Witamy pronoka kaczk!
1876:  I piodarka witamy!
1900:  I hefestion.
1905:  Ale wiecie, że to zamknięty krąg, pisze Tomek, bez pieniędzy nie ma woli nauczyciel, jak zostają samy niedojdy, może 5% pasjonatów, bez kasy nigdy nie będzie nacisku.
1913:  Tak, oczywiście, ale kasa spowoduje, że zostaną na przykład powołane nowe szkoły, a nie, że zatrudnią zamiast 50 nauczycieli nowych, 5 dobrych.
1924:  A prawda jest taka, że zatrudnienie pięciu dobrych i odzłocenie ich jest lepszą inwestycją niż zatrudnienie pięćdziesięciu średnich.
1930:  Na tym polega cały problem.
1931:  I obecny system nie kształci nauczycieli, którzy mieściłyby się w takiej grupie pięciu najlepszych.
1938:  Obecny system kształci wyłącznie średniaków, chyba że komuś odbije szajpa tak, nie wiem, no ludziom, którzy decydują się na alternatywne formy edukacji, zakładają własne szkoły, tak?
1951:  Jest niewiele takich osób, ale jednak są.
1955:  Więc problemem, moim zdaniem, jest w ogóle istnienie tego systemu.
1959:  Zaraz, zaraz, tu jest jakiś wykrzyknik, co tu się dzieje?
1968:  Co, co, co, co jest, co jest?
1981:  Czy myśmy właśnie oberwali kółakiem
1985:  Witamy Rainbow Unicorn w gronie Trybutariuszy.
1994:  Ponieważ w tym momencie czaty czczą moją śmierć radośnie, to tak, pamiętajmy, że dzisiaj nie giniemy.
2006:  Warto mieć level setny.
2008:  My też mamy level setny, żeby było śmieszniej.
2014:  Chaty, proszę zajamniczyć na powitanie Rainbow Unicorn.
2024:  Chory jestem na bidę!
2027:  O, to tak a propos niskich płac.
2029:  No więc, kontynuując nasz wątek, pytacie, czy to nie jest tak, że wtedy będzie motywacja większa.
2034:  Jeżeli ktoś idzie do edukacji tylko dlatego, że ma motywację finansową, to już ma problem i to duży.
2042:  Natomiast oczywiście, że tak, że ten zawód powinien być wynagradzany w większym stopniu i w krajach skandynawskich jest, ale jeżeli myślicie, że jest wynagradzany w nieprawdopodobnie większym stopniu, to się mylicie.
2056:  Te płace są wyższe, ale nie tak znacznie, abyśmy myśleli.
2065:  Więc teraz... teraz... ZEMSTA!
2076:  Do piekła?
2077:  Piekło jest tu!
2080:  Piekło!
2081:  To są inni!
2082:  Jean-Paul Sartre!
2097:  O!
2098:  O!
2099:  Polać palice.
2101:  Moim zdaniem podwyżki nauczycieli powinny być zależne od opinii uczniów, bo nikt lepiej nie zna od strony zawodowej ich niż uczniowie właśnie.
2108:  Tak.
2109:  Tak.
2111:  Tak.
2117:  Więc... Bo nie chcę, żeby ten temat nam umknął w fabule.
2121:  Moi drodzy, jeżeli rzeczywiście chcemy,
2126:  Jeżeli rzeczywiście chcemy, żeby nauczyciele byli wynagradzani za swoją pracę, to może nie róbmy tak, że bazowy poziom zostanie podwyższony, ponieważ wtedy będzie dalej napływ takich samych miernych ludzi do zawodu, jaki jest.
2142:  Ale jeżeli zrobimy system podwyżek motywacyjnych za dobre ankiety uczniowskie, za dobre osiągnięcia, za olimpiady i inne tego typu rzeczy, aaa, to się wtedy zmienia sytuacja, tak?
2154:  Wtedy wy nagradzacie najlepszych.
2156:  I o to chodzi w nauczycielskim zawodzie i w ogóle w byciu wykładowcą.
2159:  Niestety, to jest bardzo kompetytywne.
2161:  Jest powód, dla którego nie lubię gier kompetytywnych.
2164:  Mój zawód jest kompetytywny.
2166:  Więc jeżeli naukowcy potrafią rywalizować i wychodzą coraz najlepsi, znaczy lepsi, lepsi, lepsi, aż w końcu wyłaniają się z nich najlepsi, to tak samo musi być w obrębie nauczycielstwa.
2177:  Tutaj też musi być jakiś rodzaj konkurencji i samorozwoju.
2180:  Jeżeli dla kogoś taką motywacją jest tylko kasa, to nigdy się nie będzie sam rozwijał, tylko zawsze będzie chciał więcej kasy.
2187:  I będzie chciał najłatwiej to uzyskać.
2189:  A jak najłatwiej to uzyskać?
2190:  Lobbing za podwyższeniem płacy minimalnej dla nauczycieli.
2193:  Proste.
2196:  Już to się zdenerwowało.
2201:  Gdzie jest sejf?
2202:  Tak ponoć jakiś wiedźmński.
2208:  A co jeśli nauczyciel podrobi swoje ankiety uczniowskie?
2212:  Są systemy do tego.
2214:  Nie znam przypadku podrobienia ankiet studenckich przez wykładowcę.
2218:  Znam przypadki anulowania ankiet, jeżeli są wyniki nieprawomyślne.
2222:  To jest inny temat i podyskutujemy sobie o nim innym razem, ale nie znam przypadku podrabiania.
2227:  Wystarczy zrobić do tego dobry ogólnopolski system.
2235:  I wierzcie mi, że wtedy, gdyby były tego rodzaju podwyżki, uzależnione od oceny uczniów, to natychmiast by się bardzo dużo różnych problemów mogło rozwiązać.
2246:  Oczywiście, że nauczyciele wtedy by się starali podlizywać uczniom, ale szczerze, wolę nauczycieli, którzy się podlizują uczniom, niż nauczycieli, którzy wyzywają uczniów, nauczycieli, którzy traktują ich jak przedmioty i innych.
2259:  Wolę.
2259:  Nie mam siły.
2267:  Nie mówimy o drugiej klasie podstawówki.
2271:  W drugiej klasie podstawówki ludzie się zastanawiają na ten temat, czy będą rysować słoneczko, czy może chmurkę.
2276:  Problemy, o których rozmawiamy zwykle dotyczą czwartej klasy i wyżej.
2286:  Nauczyciele by wywierali presję na uczniach?
2288:  Tak, gdyby to oni realizowali tego rodzaju ankiety, to tak, dlatego musiałyby one być realizowane zewnętrznie.
2294:  Nie ma innej możliwości.
2295:  Na przykład uczelnie mają coś takiego, co się nazywa Państwową Komisją Akredytacyjną.
2301:  I gwarantuję, wszyscy dostają spazmów z przerażenia, jak przychodzi co do czego.
2308:  Aaa, i przychodzi Państwowa Komisja Akredytacyjna właśnie.
2314:  Gwarantuję.
