Kraina tysiąca waśni — WITCHER 3 Livestream #24
🔗 https://www.youtube.com/watch?v=DnHkIKiOKjE

1:  Wiedźmin i sobota.
451:  Byłoby jeszcze lepiej, gdyby niektórzy, oprócz pogaduszek, korzystali także z moich usług.
458:  A ja ci zdradzę, Klaro, jak to jest remontować film i równocześnie słuchać live'a.
464:  A, jak zwykle chciałbym za dużo rzeczy na raz robić.
466:  No widzisz, ja jestem zwolennikiem multitaskingu.
469:  Uważam, że słuchając live'ów i podcastów można zrobić znacznie więcej.
473:  Dla mnie takim hardkorem absolutnym było czytanie, równoczesne słuchanie podcastu i czytanie jeszcze drugiej rzeczy.
482:  W którymś momencie zaczęło mi się już mylić języki, w których to robię, tak.
488:  Z kolei Kinga musi zrobić pracę na praktyczne angielskie o Metaverse, jakkolwiek ma to związek ze sobą, ale znając życie zostanę do końca i zrobi jutro.
497:  Bardzo dobra decyzja.
499:  Te listy, które dostarczałeś mężczyźnie w surducie, pamiętasz?
504:  No pewnie, przecież ja młody jestem, na pamięć nie narzekam, ale... Jeśli zamierzałeś powiedzieć, że ta informacja mnie będzie kosztować, to nic z tego.
515:  Dzięki za pocisk, pucy bucie.
517:  Skąd te listy brały się u ciebie?
521:  Żebracy przynosili.
522:  Dzięki, dzięki.
524:  Nie ma to jak na początku streamu poczuć się staro?
528:  Dlaczego nie powiedziałeś nam tego, kiedy poprzednio rozmawialiśmy?
532:  Przecież o żebraków nie pytaliście.
537:  Witamy, cold is jeden.
538:  Witamy serdecznie.
540:  Festion właśnie obejrzała prawie cały pierwszy odcinek Hawkeye'a i magii nie było.
544:  Okej, pozamiatane.
545:  Ale piesek, uuu, i potężny Polak.
548:  Te wstawki Polski Adamczyka były wholesome, jeśli mogę tak powiedzieć.
553:  Czyli mówicie, że papież, który został aktorem, daje rady?
556:  Ci żebracy.
558:  Wiesz coś o nich?
559:  Ilu ich było?
560:  No, czterech.
565:  Było ich czterech, mieszkali w jeziorze.
567:  Piątego na pewno nie dostałeś?
569:  Witamy, Tomeks.
570:  No przecież umiem liczyć.
572:  Wiesz coś jeszcze?
574:  Coś łączyło tych żebraków?
576:  A co może ich łączyć?
577:  Przecież każdy jest inny.
579:  Niektórzy mają buty nie do pary, a inni wcale nie mają butów.
586:  A wiem już, co ich
589:  Mały, bo stracę cierpliwość.
594:  Wy też pamięć.
599:  Skąd ci żebracy mieli listy?
602:  Kto im je dawał?
603:  A skąd ja mogę to wiedzieć?
606:  Nie wiem.
606:  Przychodzili, dawali mi list i odchodzili.
609:  O nic się nie pytałem.
611:  Geralt, pozwól, że ja zadam pytanie.
615:  Posłuchaj, chłopcze.
616:  Chętnie przygotuję dla ciebie dodatkową beczułkę tego środka do polerowania.
622:  Ale skup się i odpowiedz najlepiej, jak umiesz.
626:  Wiesz, gdzie ich znaleźć?
629:  No jak to gdzie?
630:  Pewnie w przytułku.
632:  To nie jest łapówka, tylko dobrowolna darowizna.
634:  No, to przecież każdy wie.
636:  Tu niedaleko, tymi schodkami, a potem w prawo.
641:  Dzięki.
642:  Masz tutaj za fatygę.
647:  Musimy się rozejrzeć za tym przytułkiem.
651:  Czy powiem, SPGN pyta, jaką pracę można znaleźć po danym kierunku?
655:  Chodzi mi o różnicę między automatyką na mechanicznym, a na elektrycznym.
659:  Ja uważam, że nie ma żadnej korelacji między tym, jakie się znajduje prace po studiach, ale jeżeli potrzebujesz tego rodzaju informacji, osobiście doradzałbym zobaczyć, jakie są praktyki na jednym i na drugim, a ściśle mówiąc, pogadać na ten temat ze studentami, bo to, co oświadcza się w prospektach informacyjnych dla studentów, a to, co faktycznie się dzieje,
679:  To są dwie różne rzeczy, o czym wiem z tego względu, że ostatnio mnie studenci poinformowali, że lista praktyk, która jest na pewnej uczelni w jednym miejscu, no jest sprzed 10 lat i nie były one aktualizowane, więc warto spytać bezpośrednio.
695:  Przepraszam?
697:  O, nie, nie, nie, nie, tutaj są poważne rzeczy, my musimy się uzbroić, bo wiecie, co się teraz stanie.
702:  Ta gra robi to zawsze.
703:  Wpierw przebiera nas we frymuśne fatałaszki, a potem, potem jest Krzysztof, Krzysztof, walcz, walcz natychmiast i Anurze, Ajuści, mowy nie ma.
715:  Więc my tu jeszcze sobie odpoczniemy, żeby zregenerować eliksir.
719:  A biedny Regis będzie czekał godzinę na nas w tym samym miejscu.
723:  F5.
723:  F5.
725:  Witamy dopiój księdza krokodyla i palitkę i zdzicha istoty żyjącą.
733:  Środki.
735:  Środki to są też takie literki na końcu linii.
742:  Porozmawiać.
744:  Rozmawiać to się tutaj nie da.
746:  My już żeśmy próbowali, ale nic nie dociera.
749:  Teraz będziemy inaczej tłumaczyć.
751:  Panowie, spokojnie.
754:  Albo sam się wyniesiesz z tymi zawszonymi żebrakami, albo ci pomożemy.
758:  Skończyła się cierpliwość.
760:  Nie będzie tu żadnego śmierdzącego... Mówiłem?
762:  Mówiłem?
763:  Będzie walka.
764:  Będzie walka.
764:  Wynocha stąd.
765:  Tu porządni ludzie mieszkają.
769:  Mentus pisze, podesłałem twój kanał swojej prodziekan, bardzo zadowolona była.
773:  Pozdrowienie dla prodziekan Mentusa.
775:  Liwia musi się pochwalić.
776:  Kupiła w Tajgerze jamnika gniotkę.
779:  Wygląda jak urocza parówka z głową i z łapkami.
781:  Można ją wgnieść w każdą abominację, na przykład w wielbłądę.
784:  Jak można?
785:  Jak można?
788:  Jak można?
791:  Oczywiście, że będziemy się kłócić.
792:  No dobrze.
793:  Rozumiem, że przeszkadza wam przytułek.
796:  Tylko nie rozumiem czemu.
798:  No patrz na tego, Ballard.
800:  Następny obrońca biedoty się znalazł.
804:  Zróbcie przytułek, tylko nie obok mojego pięknego płota i obok mojej działeczki.
810:  I obok mojego domku.
816:  Tak, Kubo, uważam, że obecna sytuacja jest zła i nie tylko ja uważam i o tym trochę będzie jutrzejszy odcinek.
821:  Ci porządni ludzie, o których mówisz, to niby wy?
826:  A co, masz jakieś wątpliwości?
829:  Szczerze powiedziawszy, mam.
834:  Słyszałeś, Artois?
835:  On nas, kurwa, w biały dzień obraża!
836:  O nie, zaraz będzie ognisty dzień.
839:  Przejdźmy na stronę, dobry człowieku.
842:  Mój przyjaciel... Regis!
845:  A!
846:  Regis!
848:  Dobrze, dobrze!
850:  Żadnej bitki na pięści.
852:  Nie ma takiej możliwości.
857:  Dlaczego nie mogę tego zrobić?!
859:  Dlaczego nigdy nie mogę używać Igni?!
862:  Przecież ja sobie w życiu nie przypomnę, jak się parowało.
867:  Aaaah!
880:  I... Na zewnątrz wszyscy mieszkańcy Bokler.
885:  Siedzą, czekają na Geralta i grają na bongosach.
889:  Tak właśnie jest, nie zmyślam.
897:  Te emocje.
900:  Aaaa!
902:  Testujesz moją cierpliwość!
905:  Zmiażdżę cię za to!
909:  Chciałem z nimi negocjować, ale obawiam się, że gdyby nie wy, pobiliby mnie.
919:  Jestem niezmiernie zobowiązany.
921:  Czego ciebie chcieli?
938:  To sąsiedzi.
940:  Chcą, żebym przeniósł przytułek w inne miejsce.
943:  Nie podoba im się, że pomagam, że brakom.
947:  Ja bym się nawet mógł przenieść, ale nie mam dokąd.
950:  Dlaczego rozmawiamy z biedną wersją Caravaggio?
952:  Co mogę dla ciebie zrobić?
956:  Oczywiście, że zawsze sprawdzam, czy można użyć igni, ponieważ użycie igni sprawia, że nie trzeba się później bić.
962:  Dziękuję, Trzate, za samoistne zajamniczenie na powitanie ilti w naszym gronie.
968:  Patrzę, patrzę i popatruję, bo było jakieś pytanie od Kingi.
972:  Ogólnie mój dziekan stwierdził, że każda katedra, instytut może sobie sama ustalać zdalne i moja katedra stwierdziła, że filologowie angielscy nie mogą mieć zdalnego.
978:  To bardzo głupie?
979:  Tak, owszem, bo wyobrażam sobie, że jeżeli na przykład byłaby to katedra mechatroniki...
984:  no to chyba laborki czy warsztaty byłyby ważne, stacjonarda.
987:  W przypadku języka angielskiego, z całym szacunkiem dla filologów angielskich, ale... WSIO RAWNO, czy to robimy zdalnie, czy nie.
997:  Pamiętajcie, że każdy ma szefa w akademii, więc... Na uniwersytetach wszystkich, więc jeżeli dziekan coś myśli, to zawsze można iść do prorektora.
1006:  Co to jest za miejsce?
1008:  To dom żebraków?
1010:  Można tak powiedzieć.
1011:  Przychodzą tu, żeby odpocząć i zjeść coś ciepłego.
1016:  Czemu im pomagasz?
1020:  Bo tego potrzebują.
1023:  Bardzo dobra odpowiedź.
1025:  Przyszliśmy po informacje.
1027:  Poszukujemy człowieka, który miał się skontaktować z Pucybutem z Ridegarl.
1032:  Z Pucybutem?
1033:  Witamy, Paweł.
1034:  Znam go.
1035:  Miły chłopak.
1037:  Wiesz, kto z twoich podopiecznych miał się z nim spotkać w najbliższych dniach?
1043:  Przykro mi, nie mam takiej wiedzy.
1045:  Ale może cię tutaj zaczekać.
1048:  Niedługo wszyscy zaczną się schodzić na posiłek.
1051:  Sami z nimi porozmawiacie.
1055:  O, w Emasmixu mówi, że się pochwali.
1058:  Bardzo dobrze.
1059:  Czekamy.
1059:  Ja jestem wielkim zwolennikiem chwalenia.
1062:  Uważam, że się za mało chwalimy i że jest... Zresztą Andrzej Sapkowski kiedyś to mówił, że rzecz, której najbardziej nienawidzi, to jest polska fałszywa skromność.
1072:  Jesteś pewny, że zbiorą się tu wszyscy żebracy?
1075:  Prawda jest taka, że rzadko kiedy mogą znaleźć posiłek gdzie indziej.
1080:  Więc przeważnie przychodzą do mnie wszyscy z tej okolicy.
1085:  Okej.
1087:  Dzięki.
1088:  Zaczekamy tutaj.
1090:  To miło z twojej strony.
1100:  Witamy KacprzeTutruj.
1102:  Dziabowscy mówią, że niedawno Gargamel polecał kanał.
1106:  Serdeczne podziękowania i pozdrowienia Gargamela.
1109:  Cieszy się ogromnie.
1111:  E, dżentelmeni!
1113:  A, tak, przepraszam.
1114:  To o mnie.
1114:  A tego byśmy nie chcieli, prawda?
1126:  Wiem, że czterej z was w ostatnim czasie dostarczyli do Pucybuta zapieczętowane listy.
1132:  Muzyka tajemnicza jest śledztwem.
1135:  Wiecie, o co chodzi?
1137:  Jeśli tak, to powiedzcie.
1140:  Romain, ty coś wiesz?
1143:  A co ja tam się będę wyrywał?
1145:  Było mówione, żeby nikomu nie opowiadać o listach.
1149:  Ale mnie możesz powiedzieć.
1152:  Miałeś list i oddałeś go, tak?
1155:  Bardzo dobrze, Romain.
1157:  Ale scena jak z Caravaggia, dosłownie.
1175:  No, muzyka to jest dobre, ta Ilty, nie?
1177:  Dobra jest.
1180:  Witam Graffa, witam.
1183:  Muszę nadrobić czaty, moi mili.
1185:  Czy wolę wizerunek maga wojownika w zbroi na polu bitwy?
1188:  Pyta Żuwi, którego witam serdecznie na czatach.
1191:  Czy maga jako uczonego na dworze królewskim?
1193:  Chyba lubię w dwóch rolach, jak się one zmieniają w zależności od potrzeb.
1198:  Tak, to chyba jest optimum.
1199:  I to jest nawiasem, mówiąc to, w jaki sposób są magowie bitewni portretowani u Briana McClellana.
1204:  Mikaz pisze, u mnie nie ma połowy nauczycieli, jednego dnia miałem trzy przedsiębiorczości, cztery angielskie, pod koniec już myślałem, że będę po prostu spać i to by było bardziej angażujące.
1212:  Przeraża mnie to, co się dzieje, naprawdę, serio.
1215:  Klara chwali się Kluczykowska, po pierwsze swoim kanałem, który siłą rzeczy odwiedzę bardzo chętnie.
1222:  Nie obrażę się Klaro za linkę na Discordzie.
1225:  Film zrobiła o twórczości reżysera Quentina Dupier, ale nie wiem, czy się tak czyta, ale w każdym razie zabrzmiał zabawnie.
1232:  Tak, mamy nawet recenzję na kanale Bez Schematu, polecam wam serdecznie, jest link w kanale Społeczności.
1241:  Witamy Dawida Pławeckiego w gronie Trybutariuszy, wiecie co robić, wiecie co robić moi drodzy!
1247:  Wemasmixu zatytułował swoją prezentację dla zarządzania projektami w filmie Przestań mi być idiotes, zacznijmy być polites.
1252:  Szef był tak zdziwiony z sytuacją w filmie, że zostałem dyrektorem biura.
1255:  Proszę bardzo!
1257:  Jak się cieszę!
1258:  Gratulacje serdeczne Wemasmixu.
1260:  Witamy Radosława, Fultyna, także Pawła i kogokolwiek kto mi jeszcze umknął, bo teraz się dzieją, dzieją jamniki na czatach.
1270:  Dawaj ten list.
1272:  To sprawa wagi państwowej.
1274:  Nie będę się z tobą cackał.
1277:  Ale ja go muszę oddać do rąk własnych i nikomu nie pokazywać.
1282:  Tak powiedziała ta pani.
1284:  Groźna była.
1286:  Lepiej współpracować z osobami, które są prawe i uczciwe.
1290:  Ci ludzie bardzo pomogli nie tylko mnie, ale i wam wszystkim.
1294:  Jeżeli jakaś osoba ci groziła, to nie jesteś moralnie zobowiązany... Dlaczego dostajemy wykład umoralniający?
1302:  Dobra, to masz w takim razie.
1304:  I co?
1305:  Faktycznie piąte nazwisko?
1306:  Sam zobacz.
1330:  No, no.
1332:  Powiem ci, że nawet ja się tego nie spodziewałem.
1337:  Tym razem zajmiesz się księżną.
1339:  No, wygląda na to, że nie doceniliśmy syjany.
1345:  To znaczy, że Detlef miał dosłownie wyrwać jej serce.
1351:  Ale najpierw skręcisz jej karp.
1353:  Ale piękny temat wszedł.
1356:  Zastanawiające.
1362:  Nauczyciele gry nie uczą dobrych podstaw, tymczasem Wiedźmin 3, pisze Radosław, prawda?
1366:  Zip z kolei dopowiada, że mój nauczyciel od historii przestrzega obostrzeń bardziej niż kodeksu moralnego i własnego rozumu.
1372:  Czemu mnie to nie dziwi?
1372:  Więc poprosi, aby uczniowie podchodzili w masce po spędzeniu 45 minut z nią w klasie.
1378:  Fuck logic, innymi słowy.
1382:  Kuba pisze, że ostatnio miał okazję brać udział w konsultacjach dla młodych.
1385:  Co sądzę o takich inicjatywach?
1386:  Nie mam zielonego pojęcia, czym są konsultacje dla młodych, więc nie wiem, co o nich są dziś, ale w razie czego nie obrażę się za link.
1393:  Elden... Ja nie wiem, czy ja będę chciał ogrywać Elden Ring.
1395:  Na razie ja się muszę przyzwyczaić do Soulslike, wiecie?
1398:  Żeby w ogóle mieć szansę w tego rodzaju produkcjach.
1400:  Teraz twoja układanka jest kompletna?
1404:  Ta sprawa właśnie przestała być ciekawą łamigłówką.
1408:  Zrobiła się niezwykle poważna.
1410:  Mamy dowód, że w Toussaint planowano zamach... Jak się mogę przyłączyć?!
1415:  Anna Henrietta jest idiotką!
1417:  Jak się mogę do tego przyłączyć? !
1419:  To ona miała być ostatnim celem Detlaffa.
1423:  Sianna planowała to od początku.
1426:  Z pewnością.
1427:  To logiczne, Geralt.
1430:  Najpierw cztery pozornie przypadkowe trupy.
1434:  Akurat tyle, żeby ludzie uwierzyli w istnienie mściwej bestii.
1439:  Sianna dokonała zemsty, nie ściągając na siebie podejrzeń.
1443:  A ostatnią ofiarą...
1445:  Miała być księżna.
1448:  Gdyby udało się jej doprowadzić plan do końca, nikt nie kwestionowałby teorii, że Anna Henrietta padła ofiarą własnych postępków.
1457:  Przecież całe Bokler wiedziało, że Syjana została usunięta z dworu.
1462:  Łatwo powiązaliby Annę Henriettę z brakiem współczucia.
1467:  Krzysztof Mroczek pisze, żeby nie iść rozmawiać ze Sianą.
1470:  Pytanie.
1471:  Czy to jest słuszne?
1497:  Czemu Anna Henrietta jest idiotką?
1499:  Ponieważ wypowiada się jak taka stereotypowa arystokratka, a jak ja widzę takich stereotypowych arystokratów, to mi się otwiera gilotyna w kieszeni.
1512:  Tomeks, ja próbowałem grać na kontrolerze wiele razy, tylko jest prosta sprawa.
1516:  To znaczy, moja gra na kontrolerze wyglądałaby tak, że musiałem mieć nalepioną karteczkę na drugim monitorze z wyjaśnieniem, co znaczy konkretny przycisk.
1523:  Próbowałem, nie jestem w stanie się nauczyć.
1525:  Ja już, wiecie, ja już nie mam możliwości takiego uczenia się szybkiego, jakbym chciał mieć.
1530:  Jeżeli coś, czegoś nie ćwiczyłem przez całe życie, nie mam szansy być w tym...
1536:  Mistrzem, a w gruncie rzeczy w Dark Souls 3 trzeba być mistrzem, ale spokojnie, już upanowałem klawiszologię do tej gry.
1541:  W sumie chętnie poznam jej motywację.
1546:  Co ci się bardzo chwali.
1548:  Dobrze czasem zajrzeć w oblicze zła.
1552:  Czy aby trochę nie przesadzasz?
1554:  Wykorzystała mojego przyjaciela jako maszynę do zabijania.
1558:  To mi daje wystarczające prawo, by ją potępiać.
1562:  Ale popieram twój pęd do wiedzy.
1566:  Wszak według niektórych filozofów Empiria to jedyne źródło wiedzy.
1572:  Mówiłeś, że księżna trzyma Syjanę pod kluczem.
1575:  Dworzanie nalegali na znacznie ostrzejszą karę.
1578:  Myślę, że Anna Henrietta chciała w równym stopniu bronić siostrę przed samosądem, co swoich poddanych przed przestępczynią.
1587:  W każdym razie siedzi w zamkniętym skrzydle pałacu.
1590:  Oczekuje na oficjalny proces.
1592:  Tak, ja zawsze chyba szedłem z nią porozmawiać, teraz pamiętam.
1599:  Tak, jeżeli chodzi o to klikanie w kontrolerze, co leży pod palcami, to tak robiłem w Mortal Kombat, ale w Dark Souls nie da się tego zrobić.
1606:  Było pytanie ciekawe, czy gdybym miał poprowadzić zajęcia, które wymagają używania kontrolera, to bym odmówił.
1611:  Tak.
1613:  Ja zawsze odmawiam rzeczy, co do których wiem, że nie byłbym w stanie tego zrobić dobrze.
1619:  Polecam.
1622:  Czyli widzimy się już po wszystkim.
1625:  Rozumiem, że możesz nie mieć ochoty na kolejne spotkanie z Sianą.
1630:  Zgadłeś.
1631:  Poczekam na ciebie na Merlachess w towarzystwie wywarów.
1635:  Wreszcie wiem, jak to się czyta.
1638:  Merlachess, och.
1642:  Fajne jest to, że jest jedna zła linie dialogowa z nią w komnacie i nie przekonasz jej, żeby z niej zabiła siostry.
1647:  Okej.
1650:  A, zobaczmy.
1650:  Sądzę o Maleus Maleficarum.
1652:  Czytałem.
1654:  Częściowo jest to falsyfikat, częściowo jest to fakt.
1659:  Umberto Eco o tym kiedyś pisał, jeśli mnie pamięć nie myli.
1662:  I Andrzej Sapkowski na 1000% o tym gdzieś pisał.
1665:  I Andrzej Sapkowski strasznie się wyśmiewał z Maleus Maleficarum, bo Andrzej Sapkowski jest właśnie zwolennikiem teorii, że to jest w dużej mierze falsyfikat.
1673:  No.
1674:  Ale trudno powiedzieć, nie?
1675:  Biorąc pod uwagę to, co Claire potrafi wyczyniać, ja myślę sobie, że to jest całkowicie prawdopodobne.
1681:  I tak, rozmowa z Sianą jest zaznaczona jako opcjonalna.
1684:  Przejdziemy się tam.
1685:  Zobaczymy, czy jesteśmy w stanie przeskoczyć w taki sposób, żeby to było szybciej.
1689:  Aha!
1690:  Udało się.
1691:  Oprzednie Souls'y?
1692:  Nie, mówiłem wiele razy, że ja nie ogrywałem nigdy Souls'ów, natomiast nie zamierzam grać w gry, które się tak potwornie zestarzały graficznie, obejrzałem je sobie na YouTube.
1699:  Zresztą Souls'y 3 też obejrzałem, ale z całej trójki wyglądają mi na najbardziej dopracowane.
1705:  Bo ja jestem człowiekiem, który jeżeli widzi, że gra w jakimś aspekcie nie domaga, to po prostu nie będzie w nią grać.
1710:  Zresztą w Soulsom 3 też to groziło, ponieważ jest tam bardzo charakterystyczne opóźnienie między wydaniem jakiejkolwiek komendy, a tym, jak postać nasza ją wykonuje.
1720:  Jakieś pół sekundy mniej więcej.
1722:  To jest potwornym błędem.
1724:  I ciężko się w to gra topornie, jak człowiek jest przyzwyczajony do tego, że postać prawie natychmiast wykonuje w nowszych grach ruchy.
1730:  W jakimś sensie falsyfikat?
1731:  W tym sensie, że częściowo to było...
1734:  To nie jest raport z działań, to nie jest kronika historyczna, tylko to jest pewna opowieść o tym, jak te niektóre działania Inkwizycji wyglądały.
1743:  Więc jeżeli chodzi o działania Inkwizycji, tak, natomiast sposoby rozpoznawania czarownic i tak dalej, częściowo tak, częściowo nie.
1751:  Musiałbym o tym doczytać więcej, bo pamiętam, że się tym kiedyś interesowałem.
1758:  Gratuluję istotę żyjącą zrobienia zadania.
1760:  Cóż za wspaniała rzecz.
1761:  Jedna bzdura za tobą.
1766:  Bycie asertywnym pomaga, ja się ciągle tego uczę w pracy, pisze Olga.
1768:  Tak, absolutnie tak.
1771:  Umiejętność powiedzenia pracodawcy nie jest bardzo ważna, bo też świadczy o tym, że szanujecie siebie.
1778:  To jest najważniejsze, żeby szanować siebie.
1783:  Dzięki, Klaro, cieszę się, że ci się podoba.
1787:  Czy miałem jakąś grę, po której odgrywaniu czułem mocny wkurwy?
1791:  Ja dzisiaj musiałem odinstalować Hotline Miami, zaraz ja się wkurzałem.
