Wszystkie drogi prowadzą na Skellige — WITCHER 3 Livestream #10
🔗 https://www.youtube.com/watch?v=sIOwatSu__w

2:  Witajcie.
550:  Wiesz, że Priscilla nie była jedyną ofiarą?
553:  O, kochanieńki, pewnie, że wiem.
556:  To się nie zaczęło wczoraj.
557:  Inni już tak ginęli, żebrasy, dziewczynki, sieroty.
562:  No ale kto by się nimi przejmował, nie?
564:  Ludzkie śmieci.
566:  Tak o nas mówią strażnicy.
568:  Pamiętasz imiona tych ludzi?
570:  Oni nie mieli imion.
572:  Łysy, kudłaty, rybka.
573:  Tak ich wołali.
575:  Nie mieli rodziny ani przyjaciół.
577:  I dawno ich już spalili.
581:  Byj, byj, bywaj.
582:  Tak, zgadzam się, że w krwi i winie będzie dużo ciekawych rzeczy, to prawda.
596:  Ale co ciekawe, powiem wam, że jak rozmawiałem z Marcinem Blachą ostatnio, zresztą to było pytanie z czatu podczas jego wystąpienia, z którego questu są najbardziej dumni,
607:  Tu jeszcze coś jest?
608:  Tak, jest.
610:  W Wiedźminie III to wymienili właśnie serca z kamienia, a nie tusą.
614:  To ciekawe.
618:  Geralt zdumiewa się, widząc ślady.
620:  To mógł być morderca.
623:  Ludzko, cofał się.
624:  Okej.
627:  Okej.
628:  Morderca uciekł, zanim zjawiła się straż.
631:  Uciekał tędy.
633:  To jest dziwne.
635:  Nawet ja nie dałbym rady... Niezmiennie jak oglądam generalnie wszystkie college drama czy komedii, wszystko jedno, amerykańskie i patrzę na to, jak wyglądają tam szkoły i następnie konfrontuję to z tym, że Amerykanie narzekają na swój system edukacji, to ogarnia mnie pusty śmiech.
656:  Tutaj jeszcze coś powinniśmy zbadać.
657:  Te pytajniki są koszmarne absolutnie.
660:  Formalina.
662:  Co wymyślę o LOLa?
663:  Nie grałem nigdy w LOLa, jest zbyt kompetytywny jak dla mnie, ale miałem styczność z nim dlatego, że bardzo dużo ludzi wybierało właśnie LOLa do tego, żeby zdawać u mnie egzamin ze światotwórstwa.
674:  I dowiedziałem się sporo na ten temat dzięki temu, więc bardzo interesujący.
686:  O, tu jest znowu jakiś załeg, do którego Geralt będzie mieć trudność dotrzeć.
691:  Ale spokojnie, teraz po prostu będziemy ignorować kropki.
694:  I absolutnie nic to nie da.
698:  Chyba, że to tutaj.
701:  Czy my jesteśmy w stanie tu wejść?
702:  Nie.
702:  Nie wksy złupie.
708:  Dobra, tutaj.
710:  Zapukaj.
710:  To tu.
711:  Jest tam kto?
713:  Won, bo psa mi poszczuje!
715:  Czarny!
716:  Strzyga!
716:  To pana!
718:  Jak śmie obrażać psy?
719:  A co jeśli to są jamniki?
734:  Zdumiejąc.
762:  Urocze zwierzęta.
763:  Patrz, chyba żartujesz.
765:  Sam się bydlaków boję.
766:  No ale przykierstwoć, rzeka od złego człowieka.
770:  Nasz kapułek nie do narodzki?
772:  No, raczej.
773:  Sukinszyna, który załatwił Fabiana.
774:  Jak tylko zabrali stąd ciało, poszedłem do kolegi, co hoduje psy do walk i kupiłem te dwa kundle.
779:  Sprawiedliwość kosztowało srebra, ale przynajmniej śpię spokojnie.
786:  Z kim mam przyjemność?
788:  Z bratem Nieboszczyka.
789:  Goose mnie wołają.
790:  Prowadziliśmy razem warsztat Mayer i Mayer.
796:  Teraz będzie po prostu Mayer.
798:  Teraz będzie likwidacja.
801:  Jak tylko znajdę kupcę na tę budę, wracam do Mahakamu.
804:  Zawsze bliżej rodziny, czy tego, co z niej zostało.
808:  No, to co chcecie wiedzieć o Fabianie?
814:  Dla krasnoluda to jamnik groźny by ugryźł wyżej, prawda?
819:  Twój brat miał jakichś wrogów?
821:  Ktoś go nie lubił, groził mu?
824:  Nie, to on raczej groził takiej jednej.
828:  Fabian był dobry krasnolud, fachura jakich mało.
831:  Ale i straszny kurwiacz, co odłożyliśmy pieniędzy, mówiłem kupmy nowe narzędzia dobrego drewna, ale nie brał mieszek i jazda na dziwki.
841:  Potem chodził za taką jedną, wołał, to przez ciebie, trefna suko, ludzka szmato i inne takie bezeceństwa, ale o co im się rozchodziło, to nie wiem, może się zakochał.
852:  Wiesz, gdzie ją znajdę, tę trefną?
856:  Na cmentarzu.
858:  Umarła parę dni temu, ale spokojnie, w łóżku, jej Alfons mówił, że na grypę.
865:  Dwie rzeczy.
866:  Czy można zmienić level przebudzenia, pyta Robert, w podstawowych ustawieniach gry, bo widziałem taką opcję.
872:  Chodzi o level przebudzenia nekronów, jak domyślam się w Warhammerze Mechanicus, czy o Wiedźmina, bo nie nadążam.
881:  To wrócę do tego pytania wtedy.
882:  Jeżeli chodzi o Warhammera Mechanicus, tak, da się to zmienić w ustawieniach, w zapisie, w notatniku.
887:  Jeżeli sobie otworzysz plik notatnika w dokumentach, w grze, znaczy poza grą, w folderze, można tam zmienić level przebudzenia nakranów.
895:  Jest instrukcja w tej sprawie w sieci.
897:  Druga kwestia.
898:  Kamil pisze, że w kwestii przedstawienia liceów
900:  Powiedz, co wiesz o morderstwie, po kolei i ze szczegółami.
925:  To było tak.
927:  Wracam z robót w Ochsenfurcie i widzę nad miastem słup dymu.
931:  No, myślę, znowu przegapię, jak palą jakąś babeczkę szlagbeton.
935:  Ale czy nie na rynku był ogień, tylko u nas?
940:  Widzisz te ślady, Sadzy?
942:  Tam się paliły nasze rzeźby.
944:  Ludzie zlecieli się do pożaru i znaleźli Fabiana o, tu obok.
948:  Jak dotarłem, już go ładowali na wózek.
952:  Rozmawiałeś z sąsiadami?
953:  Widzieli wcześniej coś podejrzanego?
955:  Ktoś słyszeli?
957:  Mówili, że nie.
958:  A nawet jakby słyszeli, to i tak by nie pomogli.
960:  W Nowigradzie ludzie przejdą obok krwawiącego dziecka na ulicy, żeby trzewików nie pobrudzić.
966:  To co ich obchodzi, byle krasnolud?
972:  Kratak pyta o narzędzie do tworzenia template'ów fabularnych.
976:  Najbardziej podstawowym jest Twine.
977:  Pisze się to jak wino, tylko że z T na początku.
980:  A drugie narzędzie, bardziej skomplikowane, to jest RTC.
985:  I to jest coś, w czym tworzysz już złożone gry wideo.
988:  Wiem, że Anshar Studios w RTC na przykład zaprojektowało gamedeca, który premierował w piątek.
995:  Dobra, dość z gadania.
997:  Muszę się tu rozejrzeć.
999:  A proszę, tylko nie drażynicie psów.
1002:  Bardzo mi się podobały wasze teorie na temat M między Krzysztof i Maj.
1006:  Ja zawsze się waham między Maxentiusz a Magos.
1011:  Kazanie zatroskanego numer dwa.
1012:  Pomnijcie, dobrzy ludzie, że ogień może być dla was tak błogosławieństwem, jak i przekleństwem.
1017:  Herezja!
1021:  Co za... Co za oburzające.
1023:  Supozycje.
1025:  O wydatnych kształtach.
1028:  Disco Elysium ogrywałem, moi drodzy, ale za wcześnie, to znaczy zanim były nagrane kwestie dialogowe.
1039:  Ulei cieszy się, że się podoba.
1041:  Content, yyy... Jesteś content z contentu, to dobra wiadomość.
1046:  Hmm... Okej.
1052:  No z psem nie porozmawiamy raczej.
1054:  Nawet Wiedźmin tego nie potrafi!
1056:  Czy coś jeszcze omijam?
1061:  Coś tutaj się zaznaczyło radosnego.
1065:  Maruda proponuje Zgredek.
1068:  To jest też słuszne, tak.
1070:  Ja uważam, że z narzekania trzeba czynić sztukę.
1087:  Chcę być artystą tej dziedziny artystycznej, mam nadzieję, że się udaje.
1092:  Marudzenie to jest wspaniała czynność.
1094:  Witamy Włóczaka, jeśli dobrze czytam w gronie Trybutariusz.
1096:  Co za wspaniała rzecz do zlutowania!
1098:  Złamane grabie!
1116:  Meble powywracane.
1118:  Tu ślad jak po kopnięciu.
1120:  Okej, ale znowu się pojawia ta nieszczęsna formalina, nie?
1124:  Tutaj coś jeszcze widać.
1126:  Tak, tak, tak, zbadaj, zbadaj, zbadaj, zbadaj.
1127:  Aaa, zbadaj, zbadaj, zbadaj, Geralt.
1130:  Oczy, ludzkie, zgniłe do szczęku.
1132:  Przepraszam, co?
1133:  Tu są oczy?
1134:  Uciekamy stąd.
1138:  Ja wam dam Mickiewicza, ja wam dam Mickiewicza.
1141:  Mickiewicza nawet nie ratuje to, że jego nazwisko zaczyna się na M.
1148:  Jak tu jest pięknie.
1149:  Aż bym sobie rzucił jakieś małe igni.
1151:  Ale nie mogę.
1156:  Dzięki Krataku za trybut.
1157:  Dokładnie czegoś takiego nie trzeba było.
1158:  Dzięki stokrotne.
1160:  Paweł Mikołajów często kryje się pod pseudonimem Popek Monster.
1162:  A to lepiej, to bardziej kojarzę.
1168:  Okej.
1168:  Nie, nie, nie, nie, nie, tędy.
1169:  Głupi Geralt!
1171:  Tędy.
1175:  Krzysztof próbuje ukraść trupa.
1177:  Bardzo zadowolony.
1178:  To tylko grabie.
1179:  Krzysztof bardzo zły.
1180:  Ta prawda!
1181:  Dobre podsumowanie.
1182:  Co się dzieje?
1183:  Kto nas atakuje?
1183:  Porozmawiaj z Koronerem.
1200:  Dobra, to wpierd tutaj.
1203:  Eustachy.
1204:  Strasznie głupia okoliczność, w której można znaleźć Eustachego.
1209:  Szósty zmysł.
1211:  To ty przyniosłeś do kosmicy ciało Fabiana Mayera, zgadza się?
1214:  Fabiana?
1218:  A, ta, pamiętam.
1220:  Jeden z tych bez oczu i serca, nie?
1223:  Mieszka też nie miał.
1231:  Ewelina pisze, że jeszcze była czerwona chmura nad przedmiotem.
1234:  To był ten zapach formaliny.
1238:  Czytając Mickiewicza w szkole zawsze miałem wrażenie, że jest przerostem formy na treści, jest nadinterpretowany.
1242:  Tak.
1243:  Wiecie, kiedy ja znalazłem dowód na to?
1245:  Znalazłem kiedyś wydanie angielskie pana Tadeusza.
1249:  And I shit you not.
1251:  Jedna linijka wiersza, tyle przypisów wyjaśniających, dlaczego to jest wybitne.
1255:  O, jak kwikłem!
1257:  W żadnym wydaniu Szekspira na całym świecie nikt nie musi wyjaśniać, dlaczego to jest wybitne.
1261:  Po prostu jest, nawet w tłumaczeniu.
1264:  Jeden z tych?
1266:  Było więcej takich ofiar?
1268:  A było, było.
1269:  Żebracy, bezdomne dzieciaki i uliczne kurwy.
1271:  Pamiętam, jedna była taka gruba, że musiałem ją pokroić na kawałki, bo nie mieściła się do taczki.
1277:  Wołali już śliska loszka, bo... Nie kontynuuj.
1280:  Pewne rzeczy lepiej zostawić domysłowi.
1283:  Co się z nią stało?
1285:  Jak to co?
1285:  Wielebny Nathaniel kazał ją spalić.
1288:  Wszystkie kawałeczki.
1289:  Oj, żal było, żal.
1291:  Żal?
1292:  Czemu?
1293:  Zresztą nieważne.
1294:  Pewne rzeczy naprawdę lepiej zostawić domysłowi.
1298:  Eustachę powinien wymyć twarz.
1300:  Przeszukałeś Fabiana?
1302:  No, rzuciłem okiem, co ma po kieszeniach.
1305:  Żeby się nie zmarnowało.
1307:  Mówiąc wprost, okradasz trupy.
1311:  Mówiąc wprost, chuj ci do tego.
1312:  Co, podatki będziesz mi naliczał?
1314:  Poszło w on, mutant!
1318:  O!
1319:  O!
1319:  Stracisz ten palec!
1321:  Mów, co przy nim znalazłeś.
1323:  Tak, jak sobie życzycie.
1328:  Drobiazgi.
1330:  Pierścionek ze szklanym oczkiem, drobniaki i jakieś liści.
1334:  O, patrz.
1335:  Dobry pergamin.
1336:  Cielęca skóra.
1338:  Zetrę litery i sprzedam jak nówkę.
1342:  To ludzka skóra.
1344:  Priscilna.
1345:  Imię kolejnej ofiary.
1347:  Gdybyś oddał ten list komu należy, może nic by jej nie było.
1352:  A mnie akurat obchodzi co się stało jakiejś preszczyli.
1355:  Mało to bab w mieście...
1362:  Geralt nie zawsze używa magii.
1368:  Geralt czasem używa prostego sierpowego, który wykorzystuje magię Newtona.
1373:  To był potężny mag zajmujący się kinetyką.
1380:  Hefestion pisze, że mu się zaczyna romantyzm na studiach.
1383:  Bardzo współczuję.
1384:  Czy będę na Kopernikonie?
1386:  Być może.
1386:  Zobaczymy.
1387:  Trudno mi powiedzieć, bo jest tak dużo wydarzeń, na których absolutnie muszę być, a niestety większość konwentów zaczyna się wtedy, kiedy już hula rok akademicki.
1395:  Dobra, mamy jeszcze przed nami rozmowę z koronerem.
1406:  Dobrze.
1407:  Przynajmniej, że brat co po naszej stronie.
1409:  Muszę rozmawiać z koronerem.
1413:  Chcę wejść, niezależnie od tego, czy mnie zapraszasz.
1415:  W razie czego jest Igni.
1418:  Czy znam Łomę?
1420:  Nie.
1429:  Macie rację, prosty sierpowy nie brzmi zbyt inteligentnie.
1434:  Czy to jest reference do Star Warsów, jak Obi-Wan rzuca?
1437:  Tak, oczywiście.
1437:  These are not the droids you're looking for.
1440:  Czasem nawet Krzysztofowi zdarzają się przejęzyczenia.
1442:  Nie tak często jak polonistom.
1444:  O, Geralt.
1444:  Ale czasem.
1445:  Dobrze, że jesteś.
1446:  Czekałem na ciebie z sekcją.
1448:  Miły gest.
1449:  Zwłaszcza, że nie wydawałeś się zachwycony moją poprzednią wizytą.
1452:  Postawiłeś się niezapowiedzianej i w wątpliwym towarzystwie.
1456:  A do tego miałem na głowie wielebnego Nathaniela.
1460:  Teraz nasz duchowy opiekun wyjechał za miasto w jakich interesach.
1463:  Wiem już kim jesteś i jaki cel ci przyświeca, więc z przyjemnością pomogę w śledztwie.
1474:  Nie układa ci się z Nathanielem.
1476:  Jest bardzo mało ludzi, którym się z nim układa.
1479:  To okrutny i porywczy człowiek.
1481:  Raz wpadł tu, złapał za skalpel, który właśnie dezynfekowałem w ogniu i przejechał mi nim po plecach do kości.
1487:  Bo zapomniałem zamknąć magazyn na kłódkę.
1491:  Ciężko polubić kogoś takiego, prawda?
1499:  Krzysztof kończy dojadać dobrą kalorię i odpowiada na pytanie dotyczące planowanej ustawy o jednolitym rynku książki.
1507:  Podrzuciliście mi ostatnio materiał o strefy czytacza.
1510:  Podpisałem petycję.
1512:  Uważam to za debilizm.
1515:  Kto zginął tym razem?
1517:  Joris Aquinus, wykładowca teologii Akademii Ogzynfurckiej.
1521:  Znaleziono go dziś rano w mieszkaniu na katafalku ułożonym z książek.
1525:  Wykładowca teologii?
1527:  Świetnie, jednego mniej.
1528:  Zdaje się, że wszystkie woluminy traktowały o wiecznym ogniu i były krytyczne wobec jego doktryn.
1534:  Tak, w Nowigradzie to grzech śmiertelny.
1537:  Nawodnienie.
1542:  Bo wylądował przeze mnie w więzieniu.
1544:  Widzisz, Joachim przewodził w 1242 studenckim protestom.
1546:  Brutalnym i nierozsądnym.
1563:  Zaczęli ginąć ludzie w Wiedźminie.
1565:  Tych, co nie chcieli wolności, równości i braterstwa, znajdowano czasem w Rynsztoku.
1570:  Z gardłem podersztym od ucha do ucha, z chirurgiczną precyzją.
1576:  Joachim był moim ulubionym studentem, ale musiałem coś zrobić, więc doniosłem.
1582:  Potem sam odszedłem z uniwersytetu i zacząłem pracę w Kostnicy, gdzie nikogo nie obchodzi moja przeszłość.
1588:  Niepokoi mnie ten jedwabistny głos Koronera.
1592:  Po latach został kierownikiem zakładu, który stworzyłem.
1598:  Zatrzymujemy stream, żeby poinformować wszystkich, że na czacie pojawił się Wiedźmin.
1602:  Dosłownie.
1603:  Witamy Wiedźmina na czacie.
1605:  Teraz mamy dwóch Wiedźminów.
1609:  Aaa, odpowiemy lore'owo.
1612:  Czasem ciężko jest wybrać mniejsze zło.
1614:  Wiem coś o tym.
1616:  Dlatego ta praca ma swoje plusy.
1618:  Tu nikogo już nie skrzywdzę, choćbym chciał.
1627:  Nie słyszałem, Alecban, o tym sytuacji, że ktoś się zabił przez propagandę TVP.
1632:  To jest poważna sprawa, więc jakbyś podrzucił tutaj albo na Discordzie link, to wtedy obadam temat.
1638:  Zacznijmy sekcję.
1639:  Chętnie.
1641:  Obrażenia wskazują na stały modus operandi.
1644:  Ofiara została skrępowana i napojona formaliną.
1648:  Następnie sprawca usunął oczy, w ich miejsce włożył żarzące się węgle, by wreszcie otworzyć klatkę piersiową i... Miałem zbyt dobrą wyobraźnię.
1657:  Pergamin?
1659:  Z ludzkiej skóry.
1661:  To wiadomość od mordercy.
1663:  Imię kolejnej ofiary.
1666:  Patrycja Wegelbult.
1669:  Znasz ją?
1671:  Tak, byłem nawet w jej posiadłości razem z... Muszę do niej jechać.
1676:  Teraz.
1678:  Tak, to jest nawiązanie z dzichu do protestów studenckich w 68.
1682:  Swoją drogą, bardzo znamienne to jest, bo jak były te protesty, to we Francji chociażby pojawiły się hasła struktury nie wychodzą na ulicę.
1691:  Chodziło o to, że w czasach, kiedy była kotłowalina polityczna, profesorowie Sorbony, zasuszeni w salach wykładowych, oczywiście mieli wyjebane na całą sprawę polityczną i uczyli strukturalizmu.
1703:  Stąd hasło struktury nie wychodzą na ulicę.
1705:  Dlaczego mi się to przypomniało?
1707:  Druga kwestia, jeszcze coś widziałem.
1711:  Sebastian pytał, co myślę o powszechnym dostępie do broni.
1714:  Ja wymyślę generalnie, że powszechny dostęp do wszystkiego powinien być powszechny, jak sama nazwa wskazuje, pod warunkiem, że oczywiście jest to ograniczane sensownie, nie?
1725:  Czyli testy psychologiczne, czy tego typu rzeczy, moim zdaniem, są w zupełności wystarczające, bo w przeciwnym wypadku idzie to do czarnej strefy.
1735:  I szarej strefy, chciałem powiedzieć.
1737:  I czarnego rynku.
1738:  Zróbimy kontaminację.
1739:  To jest dokładnie to samo, co z prostytucją, która jak jest nieuregulowana, generuje więcej problemów, niż jak jest uregulowana.
1747:  Mamy iść do rezydencji Wegelbudów, którą pamiętam, ponieważ wryła mi się, nawet w moją...
1755:  bardzo kiepską, nazwijmy to łagodnie, pamięć, traumą w postaci wyścigu konnego.
1766:  Powszechny dostęp do broni masowego rażenia to, tak nawiasem mówiąc, już mamy, ponieważ wszyscy ci, którzy chcą mieć dostęp do broni masowego rażenia powszechny, mają go.
1777:  Ooo, Bożenka!
1780:  O nie!
1781:  Nie!
1782:  Nie!
1782:  Uciekamy!
1784:  Uciekamy!
1785:  Nie!
1786:  Chcieliśmy tylko upiec Bożenkę, nie chcieliśmy walczyć ze strażnikami!
1791:  Uciekajmy, uciekajmy.
1794:  Uciekajmy, na pewno się uda.
1798:  To jest tylko tamten strażnik będzie nas ścigał.
1800:  Cicho, cicho!
1801:  Ciemny, głupi gmin.
1806:  Powszechny dostęp do magii ognia.
1807:  Znacznie lepszy pomysł.
1809:  Stały numer z assassina.
1811:  Na pewno nam się uda.
1813:  Ha!
1814:  Uciekliśmy!
1817:  F5.
1822:  Moi drodzy, oczywiście, że ja się nie uczę na błędach.
1825:  To po prostu nie są błędy, to są... To są moje spontaniczne decyzje, które są niezdeterminowane okolicznościami zewnętrznymi.
1836:  Bardzo ciężko jest mnie przekonać do tego, żebym nie podejmował jakiejś spontanicznej decyzji.
1840:  Widzicie, jakie tu jest morze pytajniczków?
1844:  Ja chcę pytajniczki!
1845:  Ooo... Jaka piękna pogoda.
1864:  To jest moja ulubiona pogoda.
1865:  Ciemno, wietrznie.
1868:  Brakuje tylko poły magowskiej peleryny powiewającej na wietrze.
1872:  Chcę tu wejść.
1877:  Wszyscy odzywają się do nas impertynęcko.
1881:  Grozi jej śmierć.
1882:  Albo mnie wpuścisz, albo będziesz ją mieć za sumieniem.
1886:  A jak pozwolę ci wejść i okaże się, że zmyślasz?
1889:  Wywalał mnie na zbity pysk.
1891:  Wydawało mi się, że strażnik ma za zadanie chronić klienta, a nie własny tyłek.
1896:  Niech będzie.
1898:  Jak jest mój typ osobowości MBTI?
1900:  Tylko żadnych numerów.
1901:  Rozumiemy się?
1903:  Moi kochani, mój sprzeciw wobec testów jest całkowity.
1908:  Nie robię żadnych testów.
1910:  O, Geralt, jaka miła niespodzianka.
1912:  Wcale nie taka miła.
1913:  Muszę się widzieć z twoją matką.
1914:  Grozi jej śmierć.
