Ostatnie życzenie — WITCHER 3 Livestream #14
🔗 https://www.youtube.com/watch?v=noK_qMwf7TI

2:  Sobota.
408:  Natomiast problem polega na tym, że jeżeli ktoś jeszcze oprócz tego na przykład powie, że
414:  Ja się bardzo cieszę, bo uznawałem Uniwersytet Jagielloński za archetypowy uniwersytet.
422:  To ja przepraszam bardzo, ale ja nie mogę.
425:  Ja nie mogę takiego poziomu snopizmu.
428:  To jest za dużo dla mnie.
429:  Ja widziałem wiele w swoim życiu, ale to jest za dużo, okej?
434:  Naprawdę to jest za dużo.
438:  Nasz Geralt oczywiście jest w strasznym stanie.
442:  O, Sztuka Pierdzenia to jest bardzo ważna książka.
444:  Nie śmiejcie się, jutro będziemy dużo o tym mówić.
447:  Czy czytałem ostatniego Władcę Pierścienia?
449:  Kiriła Jeśkowa.
451:  Uważam.
454:  że to ciekawy eksperyment.
455:  Kiedyś to obrabiałem na którejś z zajęć, jak już nie pamiętam, których, jakichś poświęconych fantastyce.
461:  Więc interesujący eksperyment, ale to nie jest nic, co bym radził przeczytać ludziom, którzy lubią fantasy albo, albo nie wiem, no chcieliby czegoś dobrego, bo to nie jest, nie jest to dobrze napisane, ale to jest ciekawy eksperyment światotwórczy.
473:  Gazowane mleko, witamy w gronie trybutariuszy.
478:  Martyno, ja nie wiem, czy ja przeczytam całą sztukę pierdzenia na live'ie, ale na pewno będzie jakiś jeden rozdzialik, bo uznałem, że jest dużo literatury, która wymaga naszej uwagi i np.
489:  w odróżnieniu od tej, która jest nachalnie promowana.
491:  Wiecie co, tak sobie myślę, jesteśmy na tej wyspie akurat, może tutaj coś będzie.
498:  Zwykle drogi dokądś prowadzą.
500:  Włosi podzielają, pisze Zgredek, miłość młody jamników.
504:  Przez całe życie nie widziałem tylu jamników, co w ciągu ostatnich dwóch dni.
507:  Wspaniale, już wiem, gdzie jadę.
510:  Już wiem, gdzie jadę.
513:  Jak wreszcie pojadę na jakieś wakacje, bo u mnie z wakacjami jest ciężko.
518:  Niestety.
518:  Przez jakiś czas miałem taki zwyczaj, że jeździłem na wakacje przy okazji konferencji.
523:  Nigdy czegoś takiego nie róbcie.
525:  Nigdy nie wolno jeździć na urlop przy okazji wyjazdu służbowego, bo człowiek sobie tłumaczy, o, już i tak jadę, już i tak, o, płacą mi za przelot, za hotel, to może, to może, to już jestem odpocznę.
536:  Po co wywalać pieniądze niezależnie?
538:  Najgłupsza rzecz, jaką można zrobić.
541:  Człowiek efektywnie ma jeden dzień urlopu i go nie pamięta potem.
551:  Jak to nie... Jak to nie dwa, tylko trzy dni?
554:  Dlaczego... Po pierwsze, Martyno, dlaczego nie dwa, tylko trzy dni?
557:  Po drugie, dlaczego miotasz we mnie inwektywami?
564:  Ja wsparcia gazowane mleko nie ustawiałem celowo na jakąś zaporową kwotę.
568:  Ustawiłem taką, która jest approachable, nazwijmy to.
573:  A równocześnie rozwiązuje takie radosne problemy, jak na przykład konieczność opłacania podatków i firmy w Polsce.
583:  Więc dziękuję wam solennie i stukrotnie.
587:  Gdzie jest znacznik?
589:  Dlaczego ja znowu nie umiem jechać?
592:  Ktoś by mógł pomyśleć, Krzysztof, ty już się nauczyłeś, nauczyłeś się już nawigować, 14 odcinków Wiedźmina, razy 6 godzin.
600:  Niech to ktoś policzy, kto został nauczony matematyki lepiej niż ja.
603:  I mógłbyś się nauczyć.
605:  A nie, Brego, dziękuję za trybut z...
609:  Okularnikowy trybut.
613:  Dlaczego ustaliłem wykłady online tylko z częścią studentów?
616:  Nie, moi drodzy, streamy w gier wideo.
619:  Nie wszystkie moje zajęcia są poświęcone analizie gier wideo.
623:  Niestety.
625:  Natomiast generalnie wszystkie moje zajęcia są online.
628:  Pochlebiam sobie, że wszystkie moje zajęcia są online, ponieważ się da jak widać.
633:  Nawet jak już nie ma tak drastycznej przynajmniej na razie sytuacji, jak była wcześniej.
640:  Teleportujemy się.
641:  Czy słyszałem o grze Gamedec?
642:  Kamilu, tak.
643:  Ja nawet ją ogrywałem na tym kanale bardzo dawno i nieprawda.
646:  Pierwszy stream na tym kanale jest gry z Gamedec.
650:  I wstrzymuję się od osądu na razie, okej?
652:  To znaczy czekam, aż wyjdzie wersja z voice-overami, bo ja przyznam wam szczerze, ja nie jestem w stanie grać w Gamedeck'a przez to, że nie ma tam voice-overów i to nie oznacza, że to jest zła gra, ponieważ dokładnie to samo oberwało się ode mnie Disco Elysium.
666:  Przerwałem grę, bo nie byłem w stanie bez voice-overów.
668:  Może.
668:  Prośmy Freję, żeby tak było.
673:  Pomyliłem się podczas czytania wypowiedzi z Gretka i dlatego było dwa, a nie trzy.
677:  Ojej, to straszne.
678:  Bardzo dziękuję, że pilnujecie mnie, żebym się nie mylił podczas czytania odpowiedzi, tak naprawdę to nie.
684:  Dobra, porozmawiaj z Lotharem.
686:  Gdzie jest Lothar?
691:  Quaz zrobił dobrą recenzję gamedeca?
693:  O, to sobie zajrzę chętnie.
699:  Uuu, Monika, dziękuję za przypomnienie o serialu Not Ergo Proxy i jest ponownie zachwycona.
704:  No, no widzicie, to jest, to jest anime, od której ja zacząłem przygodę w ogóle z anime.
708:  To jest kontrowersyjna rzecz, bo nie jest to typ... It's not your typical anime.
714:  Jest bardzo specyficzne, ma bardzo specyficzną kreskę, ale no.
720:  Zaraz, zaraz wrócimy do mojego ulubionego wątku Olgi Tokarczuk.
723:  Na początek rozmowa z lotarem.
727:  Mogę cię na chwilę oderwać od modlitwy?
730:  Zawsze się można odebrać od modlitw.
733:  Kiedy live z Warhammera?
737:  Chyba w przyszłym tygodniu będzie.
739:  Tak myślę.
740:  Ponoć masz jakiś problem z kontwą.
742:  Ano mam.
743:  Patrz.
744:  Widzisz ten koński łeb na żerdzi, co tam leży?
747:  To... Knitting.
749:  Rodzaj uroku.
750:  Widziałem już takie.
751:  Przynoszą nieszczęście, czasem nawet śmierć.
755:  Ta!
757:  Wyryto na nim imię mojego pierworodnego, Thialwe.
761:  Gorączkuje z dnia na dzień, słabnie.
764:  Boję się, że nim księżyc mi nie przyjdzie, mi go grzebać.
767:  Zapróbowałem oczynić kąty bez skutku.
773:  Są ludzie, których trafiają problemy, od razu wiemy, że jesteśmy w Wiedźminie.
776:  Co uważam o Białym Żeglaniu Białego Wilka, bardzo cenię tego rodzaju aktywności fanowskie, bardzo, bardzo.
783:  Tak, Mike Smith, ja wszystkie zajęcia mam online i dostałem zezwolenie na to.
789:  Ale to wiecie, to jest specyfika zajęć, nie?
791:  To znaczy 90% moich zajęć jest o grach wideo.
795:  Nie wszystkie oczywiście, ale 90%.
801:  Dobry wieczór Kate i dobry wieczór Zdzichu, kiedy live z analizy twórczości Tokarczu kiedyś zrobię, obiecuję.
810:  Czy czytałem coś ostatnio ciekawego i przyjemnego?
814:  Zwłaszcza przyjemnego, tak?
816:  Mam wrażenie, że nie, chyba że będziemy wliczać także do tego twórczość pozaliteracką.
823:  Z literaturą ostatnio mam problem.
824:  Boże, ja zagaduję się z wami, to jest niesamowite.
827:  Mamy najlepsze czaty w internecie, a nie kontynuuję dialogu.
830:  Mogę ci pomóc na dwa sposoby.
834:  Po pierwsze mogę namówić osobę, która postawiła knitting, by sama odczyniła urok.
839:  Albo odbić przekleństwo, wypisując jej imię na żerdzi.
843:  Tak czy inaczej muszę wiedzieć, kto za tym stoi.
847:  Ale ja nikomu nie wadzę.
849:  Nie znam nikogo, kto by mi źle życzył.
853:  A więc śledztwo.
860:  Jakie konkretne zajęcia prowadzę?
863:  Bubert, światotwórstwo w grach komputerowych, introduction to video game studies, to angielskie, fantastyka w kulturze współczesnej, projektowanie gier wideo, projektowanie fabuły w grach wideo, projektowanie świata w grze wideo, często się powtarza gra wideo i dwa seminaria magisterskie i licencjackie.
884:  Jak początek roku akademickiego nie zadaje się takich pytań ludziom, którzy grają w gry komputerowe.
903:  Nie, żartuję.
904:  Myśmy jeszcze nie mieli inauguracji.
906:  AGH są później inauguracje wydziałowe.
911:  No tak, moja ulubiona część tej gry to znaczy tropienie.
914:  Tak naprawdę to nie.
915:  A to co?
916:  Kobiecy szal, charakterystyczny wzór i charakterystyczny zapach.
925:  Dobrze.
926:  Mówicie, żeby zaczynać... Geralt, Geralt, przestań pić.
931:  Mówicie, żeby zaczynać stream wcześniej, pogadać, a potem zaczynać grę, a to nie jest taki zły pomysł w sumie.
938:  No i dlaczego, dlaczego ta gra chce, żebym ja chodził w kółko?
949:  Nie żartuję.
951:  Gra w tym momencie nas nienawidzi, a ściślej mówiąc mnie konkretnie i mojej konfuzji przestrzennej i żąda ode mnie, bym chodził w kółko.
960:  To jest absolutnie wykluczone.
968:  Dobrze.
969:  Udało się.
971:  Udało się.
972:  Udało się.
973:  Udało się.
974:  Dobrze.
975:  Dobrze.
975:  Dobrze.
976:  Czuję się jak na egzaminie na prawo jazdy, którego nie zdałem.
979:  Dobrze.
980:  Dobrze.
981:  Meandrujemy.
982:  Jest slalom.
983:  Jest.
983:  Jest.
984:  Świetnie.
985:  Geralt.
986:  Geralt, podążaj za swoim nosem.
988:  O Boże, przypomniało mi się jak Mortimer Madernin w wybitnych powieściach.
993:  Piekary.
996:  Za każdym razem ja był przedstawiany, ale za każdym razem był powiedziany.
999:  Aha, tak a propos, to Mortimer ma dobry węch.
1003:  Tak wiem.
1008:  O, skończone archiwum burzowego świata tom drugi, to poczekaj w ile na tom trzeci i tom czwarty, zwłaszcza tom czwarty.
1016:  Mamy się rozpytać o właścicielkę szala.
1018:  Dobrze, won strażnicy, won.
1022:  Na właścicielkę szala.
1023:  Nic u podobie.
1026:  Dlaczego nikt nie chce z nami rozmawiać?
1029:  Gdzie jest właścicielka szala?
1033:  Skandal!
1036:  Geralt, nie jesteś pomocny.
1047:  Jak myślicie, gdzie należy rozpytać się o właścicielkę szala?
1050:  Bo ja już się pogubiłem.
1052:  Dziewczynka, nie.
1056:  O!
1057:  Skeligijczyk!
1057:  Nie!
1059:  Nie!
1059:  Nikt nie chce z nami rozmawiać!
1061:  To straszne!
1072:  Wielkie nieba... To co o lodowym gigancie?
1078:  Ale będą kałuże!
1078:  Szukaj se przygód gdzie indziej!
1080:  Zakładam, że właścicielka to jest kobieta.
1083:  Zakładam, że musimy rozmawiać ze skeligikami, a nie ze skeligijczykami.
1088:  Czemu nie zdałem na prawo jazdy?
1089:  Ja się do tego kompletnie nie nadaję, jestem za bardzo chaotyczny.
1093:  Jest!
1094:  Jest!
1094:  Zwycięstwo!
1097:  Właścicielka szala!
1100:  Czy nie?
1100:  Mogę spojrzeć na ziok?
1112:  Nie skomentuję tego.
1113:  Bywaj.
1117:  Nie, nie, nie skomentuję tego.
1118:  Mówicie, że na zewnątrz przy chacie jest jakaś skeligijka.
1122:  Jest jedna skeligijka tutaj, jest druga skeligijka, jest trzecia skeligijka.
1126:  To jest, to jest, to jest to.
1127:  W jaki sposób, w jaki sposób powstrzymać jakikolwiek progres w grze Krzysztofa?
1133:  Bardzo prosty.
1134:  Dać mu okrągły, okrągły plac, na którym nie ma żadnego znacznika i pypy, koniec.
1147:  Tak, bardzo się ucieszy.
1147:  Kim jest dla ciebie ta czarodziejka?
1149:  Yennefer, tak?
1176:  Zobaczysz, kim jest dla mnie Yennefer, jak zrobimy quest z ostatnim życzeniem.
1184:  Przed... Znalazłem twój szal koło domu Lothara i knitting, który tam... Przed piętnastoma sekundami rozmawiałem z nią!
1193:  Miałem tylko podejrzenia, które właśnie potwierdziłaś.
1196:  Wiesz, że Thialwe stoi nad grobem?
1199:  I dobrze, ten Benkart nigdy nie powinien był się urodzić.
1203:  To ja miałam wyjść z Zalothara, ja!
1205:  A on rzucił mnie dla tej flondry, teraz dostanie za swoje.
1209:  On i jego pieprzona rodzinka!
1212:  Przecież ja ją uduszę.
1214:  Dlaczego nikt nie napisał kwestii dialogowej?
1217:  O, o, o, zło mój szal.
1219:  O, daj mi mój szal.
1221:  Nie, nie.
1222:  Nie, nie, nie.
1224:  Gra wideo nie jest medium interaktywnym.
1226:  Trzeba pójść wpierw do tam, gdzie sobie programista zaplanował.
1230:  Jakie są z nami programiści, którzy planują projektować gry wideo?
1233:  Nie róbcie takich rzeczy nigdy.
1236:  Zabijesz dziecko z zazdrości?
1238:  Naprawdę?
1239:  Tu nie o zazdrość chodzi, tylko o godność.
1242:  Dziesięć lat żyliśmy razem.
1244:  Dziesięć lat!
1245:  Gotowałam mu.
1246:  Gacie mu prałam, łoże z nim dzieliłam.
1248:  A on rzucił mnie ot tak, bez słowa.
1253:  Cała wieś się śmiała.
1254:  Ale głupia ta Jona.
1256:  Ale się dała.
1257:  Otóż nie, nie dała się.
1259:  I nie zapomniała.
1264:  Nie, Martyno, nie sapie jak niemieckim porno w każdym razie.
1267:  Staram się tego nie robić.
1269:  Bo bałem się, że YouTube wtedy mógłby nas zdemotyzować.
1272:  Chcę, żebyś odsuniła ten kontrfert.
1275:  Zrobię to, ale tylko jeśli Lotar wyrzeknie się syna i do mnie wróci.
1281:  Przekażę mu twoją propozycję, ale chyba już wiem, jaka będzie odpowiedź.
1288:  Mówicie, że to się nadaje na mem... NAJN, NAJN, NAJN, NAJN, NAJN!
1293:  Zgadzam się.
1293:  Absolutnie cię zgadzam.
1296:  Aaaa!
1299:  Wiecie co?
1300:  Nie.
1301:  Nie, po prostu nie.
1309:  Tak!
1310:  Potrzebowałem tego.
1312:  Dobrze, musimy teraz porozmawiać z lotarem.
1323:  Przepraszam wszystkich, którzy weszli na stream akurat w takich okolicznościach przyrody, ale wypatrzcie, rozindyczam się zawsze widząc jakieś bzdury projektanckie w grach wideo.
1334:  Żeby nie było, że o, że tak, Krzysztof tylko hejpuje tego Wiedźmina, że wstrętny cyberpunk.
1340:  Nie, proszę bardzo, nie.
1347:  I jak?
1348:  Wiesz, kto postawił knitting?
1352:  Twoja stara znajoma.
1355:  Powinienem był zgadnąć.
1357:  Zawisna suka.
1358:  Cudze szczęście ją kole.
1360:  Jak?
1361:  Odczyni klątwę?
1363:  Tylko jeśli wyrzekniesz się rodziny i do niej wrócisz.
1367:  Nie.
1368:  Nigdy.
1370:  Pozbawiłbym czci, żony i syna.
1373:  Wskazał ich na biedę.
1375:  Musisz odwrócić urok.
1376:  Niech ona zginie!
1380:  Zwać... Wiecie co?
1384:  Wiecie co?
1385:  Znaczy nie.
1387:  I widzicie, to jest to samo, co... Ten dokładnie taki sam dylemat, jaki mam w odniesieniu do Olgi Tokarczuk i Dishonoris Causa na UJ-cie.
1395:  To znaczy nie wiem, kto bardziej komu zaszkodził wizerunkowo.
1398:  I tu jest to samo.
1400:  Nie wiem, czy bardziej chciałbym...
1403:  ukatrupić tę dziewoję, która nie chciała ze mną rozmawiać na temat Szela, czy bardziej chce tłamsić maczystowską kulturę patriarchalną?
1413:  Chyba bardziej chce tłamsić maczystowską kulturę patriarchalną.
1416:  Zabij, ukatrup!
1417:  Co się z wami dzieje?
1430:  Nie chcę cię więcej widzieć na oczy.
1442:  To nie było dobre rozwiązanie.
1445:  Mieliście rację!
1447:  Ooo!
1448:  Ooo!
1449:  Ooo!
1450:  Następnym razem będę okrutniejszy.
1453:  Nie ma takiej możliwości.
1454:  Gra chce, żebym był okrutny i nie jestem okrutny, gra mnie za to penalizuje.
1459:  Nie chcę być okrutny, gra chce, żebym był okrutny i wtedy mnie za to penalizuje.
1463:  Co się dzieje?
1464:  Dlaczego?
1468:  Wybrałem mniejsze zło i wszystkich rozczarowałem, tak, dokładnie tak.
1472:  Moi drodzy, mamy bardzo dużo rzeczy do zrobienia, mamy do odszukania braci Grossbart, mamy wyścigi śmiałków ku chwale bogini, jakby były ku chwale magini, to jeszcze rozumiem, ale bogini, eee... Ferlund, znowu wyścigi... Dlaczego są same wyścigi?
1488:  Ostatnie życzenie, terapia szokowa.
1490:  Zróbmy sobie może terapię szokową na sam początek, brzmi jak coś dobrego dla mnie.
1496:  Nie mamy sejwa sprzed tego, wiecie, bo tak normalnie to bym wczytał, ale wydaje mi się, że nie mamy.
1502:  Nie, bo punkt kontrolny był przed... Tak, punkt kontrolny był po tej rozmowie, nie przed tą rozmową.
1507:  Oczywiście, że tak było.
1509:  Musicie mi przypominać, żebym częściej sejwował.
1514:  Ooo... Ooo...
1520:  Czy myślicie, że jak... A nie, tutaj pamiętam, że te tajniczki są pod górami, więc nie ma sensu.
1527:  Udamy się tam... Udamy się tam... Konno.
1533:  Ostatnie życzenie to... Poczekajcie.
1536:  Ostatnie życzenie wymaga przede wszystkim tego, żebym się nieznacznie uspokoił i na przykład... O, wypalił troszeczkę... Wypalił troszeczkę nekerów.
1546:  A nie, to są niestety ludzie.
1547:  Nie można wypalać ludzi.
1550:  Mieliśmy zacząć od ostatniego życzenia?
1552:  Naprawdę?
1552:  Obiecywałem to?
1556:  To jak obiecywałem, to zaczniemy.
1559:  Tak czy siak potrzebujemy się udać do jakiegoś znacznika, ale ja widzę nekery!
1565:  Tak!
1567:  Oj, wyszedłem z wprawy.
1568:  Niedobrze.
1573:  Niedobrze, niedobrze!
1576:  Witamy Scalera w gronie Trybutariuszy, dziękuję wielce!
1582:  Teraz będę musiał mówić w gronie magów ziemi, bo jak już mamy magów wody na czatach.
1591:  Wielkie, wielkie nieba.
1593:  Ha!
1593:  Chciałem zrobić, żeby herbatka liczy na śmierć.
1595:  Martyno, to są niekery, aby... Bez przesady.
1602:  Czego się spodziewaliście?
1603:  Krzysztof powiedział to ten dzień temu i już zapomniał.
1606:  Tak, Nadio, właśnie tak jest.
1608:  Na tym polega problem.
1610:  O, tutaj mamy wieś Blablabla.
1612:  Pójdziemy do wsi Blablabla i z wsi Blablabla przeniesiemy się.
1617:  Teraz czuję się tak, jakbym czytał Tokarczuk.
1620:  Tam były takie nazwy właśnie dziwnych miejscowości.
1623:  A nie, to nie była Tokarczuk.
1624:  Przepraszam, to był Stasiuk.
1626:  Jadąc do Baba Gugu.
1627:  Była taka książka... Jezus, jak ja tego nie mogłem przeczytać.
1631:  Och, Boże.
1632:  Przepraszam, tytuł to Jadąc do Baba Dag.
1638:  Wszyscy mówili, jakie to wybitne, Krzysztof, przeczytaj.
1641:  Bo zobaczysz o... I to jest autentyczne zdanie, które usłyszałem.
1645:  Przeczytaj Jadąc do Gaga Bubu Stasiuka, bo to jest o kolonizacji interioru.
1655:  Okej, panie, jak to jest o kolonizacji interioru, to ja wszystko rzucam i czytam.
1660:  Niektórzy ludzie wiedzą, jak zachęcić.
1667:  Czyli ostatnie życzenie mówicie.
1668:  Dobrze, gdzie jest ostatnie życzenie?
1671:  Ostatnie życzenie, ostatnie życzenie, ostatnie życzenie.
1673:  Przypuszczalnie jest tutaj, pod O. Gdy Geralt i Yennefer opuścili ogród Frey, czarodziejka poprosiła Wiedźmina o przysługę.
1681:  Dało się wyczuć, że to sprawa osobista, ale Yennefer była oszczędna w wyjaśnieniach.
1684:  Na odmianę.
1685:  Do wsi Larvik.
1686:  Mamy się spotkać we wsi Larvik z Yennefer, rzekłbym adekwatnie.
1704:  Otóż to, Simon, Archiwum Burzowego Świata też jest o kolonizacji, Pocahontas jest o kolonizacji, Avatar jest o kolonizacji, ale jakoś nie polecamy sobie tymi słowy tych książek, nie?
1715:  A wiecie co?
1722:  Nie było Gwinta dawno.
1725:  Znaczy tydzień nie było.
1726:  Mam ochotę na partyjkę Gwinta, tego mi trzeba.
1730:  Gazowane Mleko dzisiaj obejrzało hype'owane Squid Games.
1733:  Ono nie było hype'owane, jak ja robiłem o tym recenzję.
1735:  Haha!
1737:  I dobrze, bo daje połapki kapitalizmu.
1739:  Między innymi, tak?
1740:  Jak najbardziej.
1745:  Mamy jakieś nowe karty?
1746:  Nie.
1746:  Dobrze.
1755:  O Boże, Skaler pisze, a propos Tokarczuk, wykładowca ostatnio zlecił mojej grupie wysłuchanie i mowy noblowskiej.
1764:  Czaty, bardzo was proszę o okolicznościowe F dla Skalera, ale mnogo, mnogo, a gromko, bo przed Skalerem jest
1780:  Przed skalerem jest trudny czas, bardzo trudny.
1787:  Chaty dopisały, czaty dopisały.
1790:  Trzymamy za Ciebie kciuki.
1792:  Koniecznie wróć do tematu, powiedz, jakie są Twoje wrażenia.
1809:  To jest oficjalnie jedna z najbardziej pretensjonalnych rzeczy, jakie czytałem, wyjąwszy... Znaczy, to jest powiedzmy na równi z laudacją dla nagrody Nike dla Radka Raka autorstwa Pawła Próchniaka.
1821:  To jest mniej więcej na... A, i jeszcze z wykładem Kultura jako czasownik, który jest dostępny na YouTubie w Copernicus Center.
1832:  Tak.
1838:  Uszkodzenia w szkice są już nieodwracalne, to prawda.
1841:  Zobaczcie na mnie.
1844:  Ja musiałem przez to wszystko przejść.
1848:  Czy ja dobrze widzę, że głupi przeciwnik spasował?
1853:  Wiecie, co my zrobimy?
1854:  A nie, nie zrobimy tego, ponieważ to trzeba byłoby 10 lub więcej.
1858:  Czy my jesteśmy w stanie zrobić coś złośliwszego?
1860:  Oczywiście, że jesteśmy w stanie.
1862:  Zageraltujemy naszego przeciwnika.
1869:  Tu nie umrę, Martyno, twoja herbatka jest bezpieczna.
1872:  Co sądzę o UW?
1873:  Ba, mam tam zajęcia, więc nie może być źle.
1876:  Nie, żartuję.
1878:  Z UW mogę polecić Artes Liberales Collegium, bo tam rzeczywiście właśnie mam zajęcia i wiem dzięki temu, że nie polecam czegoś w ciemno.
1888:  Natomiast z tego, co wiem, też na wydziale polonistyki UW robi się dobre rzeczy w odniesieniu do gier wideo.
1893:  Piotrek Kubiński kiedyś tam pracował.
1895:  I to wszystko, co wiem o UW.
1897:  Nie ma tego wiele, przyznaję, ale to wiem.
1903:  Tak, bywałem na wykładach Bronisława Maja na UJ.
1908:  Nawodnienie, macie rację.
1914:  Czy myślicie, że teraz zadziała nasz smog?
