Mass Effect 2 LEGENDARY EDITION Livestream #6
🔗 https://www.youtube.com/watch?v=6JDIAX6eEPk

2:  Mass Effect 2.
1044:  Gotówki z grantu najważniejsze.
1046:  W ogóle na większości uniwersytetów powinien być taki napis, grunt to grant.
1057:  Mhm.
1058:  Patrzcie uważnie.
1060:  To ostatni moment, kiedy Jacob zaliczył headshota.
1063:  Kiedykolwiek strzelając do czegokolwiek.
1074:  Czołem rewolwer ocen lot.
1076:  Cieszę się, że się podoba.
1087:  Kiedy następny materiał?
1098:  Staram się, żeby były co tydzień.
1100:  Teraz będzie na pewno jakaś recenzja, ponieważ obejrzałem ostatnio parę absolutnie zajebistych animacji.
1109:  Ale coś większego się szykuje na koniec czerwca.
1112:  Co mnie ominęło?
1113:  Absolutnie nic.
1115:  Poza najbardziej epicką sceną, jaka jest w tej grze na razie, to znaczy początkował.
1126:  No, tekstury są tu przepięknie poprawione.
1130:  Gdzie jest Layara?
1133:  No... J-Jakub jest bezpłciowy, to jest prawda.
1144:  Poza tym jest... Usiłuje udawać, że jest magiem, a dobrze wiemy, że jest tylko jeden mag w tej grze.
1154:  Ooo, tak mi przykro, że mam moc magiczną, która się regeneruje w odróżnieniu od pocisków!
1165:  Och, tak, tutaj feeling magii jest zdecydowanie lepszy, dobrze pamiętałem.
1170:  Layara jest w korpo?
1172:  O nie!
1173:  Layara zdradziła świat Akademii!
1176:  Co za skandal!
1182:  Myślę, czy Bioware będzie w stanie wrócić do formy po Dragon Age'u?
1186:  Przy Dragon Age'u 4?
1187:  Mam nadzieję.
1193:  Dobra, czy to nie jest jedna z takich misji, w których ja muszę jednak coś zrobić, a nie tutaj łącznie strzelać do nich?
1203:  Dobra, wydaje mi się, że jednak nie.
1210:  Singularity absolutnie.
1223:  Come on!
1225:  Zaraz, mam wrażenie... Czy ja nie wiem, czy... ...skilli Jakuba?
1239:  Wielkie nieba, w jaki sposób się używało skilli tutaj?
1243:  Ja nic nie pamiętam już, Jacob!
1244:  Aaa!
1244:  Aaa, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a,
1275:  Okej.
1275:  Obiecałem, że odpowiem na twoje pytania.
1276:  Co masz na myśli?
1277:  Powiedziałeś, że spędzili dwie lata, by mnie zrezygnować.
1278:  Jakie były moje choroby?
1279:  Nie jestem doktorem, ale były złe.
1299:  Kiedy pierwszy raz Cię widziałem, to nie było nic, ale mięśni i tuby.
1302:  Gdziekolwiek innym, byli by Cię w kawie.
1304:  Ale projekt Lazarus był inny.
1307:  Oba musiały przywrócić im dobrą renomę, zwłaszcza, że ci starzy ludzie od Bioware'u przeszli, żeby było śmiesznie, teraz do CD Projektu Red.
1315:  Wiesz czegoś o tym ataku?
1315:  Kto jest za nim, co oni chcą?
1319:  Dan, gdybym wiedział, to byłem kawałkiem eksplozji.
1322:  Kiedy będę wiedział, że każdy kurwa mech w miejscu zaczął uderzać na nas.
1327:  Wydaje mi się, że musiał być to praca wewnątrz.
1330:  Potrzebujesz najwyższego dostępu do bezpieczeństwa, aby zahackować wszystkie mechy.
1333:  Ostatnie co pamiętam, jest to, że Normandia się zniszczyła.
1336:  Czy ktoś inny to zrobił?
1337:  Prawie każdy przetrwał.
1338:  Kilka służbowców z góry nie uciekli.
1341:  Nawigator Presley został zabity eksplozją.
1343:  Ale wszyscy inni, a także drużyna z niealiennej aliancji, Asarii, Liara i Kwarium, wszyscy byli życi.
1348:  Czy wiesz, co teraz oni robią?
1352:  Nie wiem, komendantze.
1353:  To już dwa lata.
1354:  Przechodzili.
1355:  Zostali z aliancji.
1356:  Mogli być gdziekolwiek.
1357:  To było moje drużyno.
1358:  Wiedziałam, że byłem żywy.
1361:  Wróciły.
1370:  Może potrafisz je zrzucić, gdy wyjdziemy z stacjonu.
1373:  Jeśli wyjdziemy z stacjonu.
1375:  Co do The Last of Us Part II, po obejrzeniu jedynki na YouTube stwierdziłem, że dwójkę chcę przeżyć, przegrać.
1384:  Już razem z jedynką.
1385:  Teraz zajmuję się bezpieczeństwem stacjonu.
1389:  Zazwyczaj dużo dłużej niż to.
1390:  Zazwyczaj nie strzelam strzału, jeśli jest to praktyka na celu.
1397:  Co jest najprostszą drogą do tych szatel?
1399:  Zależy, gdzie mechy są najdraższe.
1401:  To pewnie najlepiej, jeśli my... Zobacz, zobacz!
1403:  Ktoś na tej frekwencji?
1404:  Ktoś wciąż żyje tam?
1405:  Cześć?
1426:  Wilson, to Jake, tu Ben i Shepard.
1427:  Mamy tu mech w D-Wing.
1428:  Shepard żyje?
1428:  Co do diabła?
1429:  Nieważne, musisz go wyciągnąć.
1432:  Zrozumiałem, Wilson.
1437:  Zostaw się na tej frekwencji.
1439:  Myślę, że pamiętam, że Wilson sprawdził mnie kiedyś, kiedy się urodziłam.
1443:  To on.
1444:  On jest głównym medycznym techniką.
1446:  Odpowiada od razu na Mirandę.
1447:  Chodź.
1448:  Tunel serwisu jest w tą stronę.
1450:  No, więc co do e-booków, to nie tylko co dobre na wyjazdy, ale jest jeszcze jeden, a ich cudowna funkcja.
1455:  Ja dzięki e-bookom nauczyłem się bardzo płynnie czytać po angielsku, ponieważ na e-booku jest na overlayu ta definicja, prawda, która się pojawia w kontekście.
1467:  Można się zajebiście szybko uczyć nowego języka dzięki temu, bo nie przerywa się imersji, nie trzeba odwracać uwagi od książki, przechodzić do słownika, czy, krótko mówiąc, dekoncentrować się.
1478:  Dukaj kiedyś o tym pisał w nowych książkach jako o lekturze warstwowej.
1491:  Jacob, przestań używać biotyki!
1494:  Głupi Jacob, prymitywny Jacob.
1497:  O, tak się używa biotyki.
1500:  Jak się jest mną!
1506:  Prawdopodobnie bym musiał... Nie no, PS5-kę myślę już dla The Last of Us, to szkoda byłoby inaczej.
1517:  Zwłaszcza, że ja nie mam PS4-ki w ogóle.
1521:  Nie byłem nigdy graczem konsolowym, ale muszę w końcu mieć.
1532:  W szkole się w ogóle nie da nauczyć języka angielskiego, come on, mnie próbowali nauczyć 13 lat i im się nie udało.
1538:  Jedyna opcja to jest zacząć czytać, grać po angielsku, oglądać seriale po angielsku, nie ma innej opcji.
1545:  No i właśnie to czytanie.
1547:  Pierwsza taka książka, jaką przeczytałem po angielsku to był oczywiście Potter.
1569:  A, ładne, podoba mi się.
1573:  To jest prosta sprawa, jeżeli chodzi o uczenie się języków, to znaczy to jest dokładnie to samo, co w grach wideodzieła, imersja językowa.
1580:  Tylko, że jest językowa w odróżnieniu od gier, gdzie jest imersja innego typu.
1584:  Sześć typów imersji jest w grze.
1586:  Natomiast jeżeli mamy szkołę, gdzie mamy słówka dotyczące szkoły, piłka, bol, tablica, bord, tak dalej, to jest idiotyzm kompletny, bo nikt tak nie myśli, mózg tak nie funkcjonuje.
1596:  Mam pytanie odnośnie edukacji.
1597:  Czy myślisz, że idziemy jako społeczeństwo w stronę dobrych zmian, czy może porządni nauczyciele i wykładowcy to na razie mała część, która niewiele zmieni?
1603:  Druga kwestia.
1605:  Obawiam się, że nie ma żadnych dobrych zmian na razie.
1618:  Grab the Medigel!
1619:  Od razu czuć, że Jacob to jest Amerykanin, a Amerykanie nie są dobrymi magami, z doświadczenia wiem.
1636:  Bierzemy.
1639:  Więc generalnie w edukacji jest tak, że nauczyciele tylko i wyłącznie mogą coś zrobić, bo zmiany systemowe, jakiekolwiek by były, to one będą robione i tak w sposób skorumpowany i zły.
1648:  Nie da się zmienić od wewnątrz systemu, który jest dystopijny.
1654:  O Boże, zapominam w ogóle, jak to się robi.
1659:  Access command menu, move your mouse, a, over unity, okej, czaję.
1665:  Ciekawy system.
1667:  Fakt, bo przecież w jedynce to było zautomatyzowane, okej.
1670:  Nigdy nie myślałem, że byś mi ułatwił życie.
1673:  Wydaje mi się, że to już nas ułatwia.
1675:  Myślałem, że może mogę zakończyć mechy bezpieczeństwa, ale ktokolwiek zrobił to, to cały system... całkowicie niemożliwy.
1681:  Nie pytaliśmy, co ty robisz.
1682:  Dlaczego nawet masz zakończenie mechów bezpieczeństwa?
1683:  Byłeś w Bioware.
1684:  Co ty mówisz?
1684:  Przyjechałem tutaj, żeby spróbować to uratować.
1685:  Poza tym, zostałem ułatwiony!
1693:  Jak to wyjaśnić?
1694:  Nie interesuję się, kto złożył kogo.
1696:  Te mechki strzelają na nas wszystkich.
1697:  Musimy najpierw znaleźć Mirandę.
1699:  Musimy znaleźć Mirandę, absolutnie.
1701:  Zapomnij o Mirandzie.
1702:  Ona była na D-Wing.
1703:  Mechki nie zniszczą Mirandę.
1704:  Ona żyje.
1705:  Gdzie jest ona?
1705:  Czemu nie słyszeliśmy od niej?
1706:  Są tylko dwa możliwe wyjaśnienia.
1709:  Bądź ona śmierdzi, bądź jest księżnicą.
1711:  Ale próbowała mi pomóc.
1712:  A dlaczego wiedziała mi o ataku?
1721:  Okej, może nie jest traktorem, ale to nie zmieni fakty.
1724:  Jesteśmy tutaj, a ona nie.
1726:  Musimy sobie uratować.
1727:  W tej szatelni są tylko kilka... Brawa, ale headshot za headshotem, ja trochę przesadziłem.
1753:  Czy jak się... Jak tutaj się podchodziło do osłony?
1755:  Nie pamiętam.
1756:  Aaa, ze spacją.
1757:  Czaję.
1758:  Dobra.
1761:  Use overload.
1762:  Okej, dostaliśmy nową tą.
1764:  Tak?
1764:  Nie, to jest moc tego... Okej, dobrze.
1769:  No to overloaduj, panie.
1772:  Może uważaj, BHP, nie wiem, tego typu sprawy.
1776:  W porządku, zniszczyliśmy go, ale teraz jest ciężko.
1778:  Shepard, jeśli powiem ci, dla kogo pracujemy, wierzysz w mnie?
1782:  To naprawdę nie jest czas.
1783:  To nie ma sensu, że ona oczekiwa kawałka w dół.
1786:  W ogóle mi mózg rozwalało w wójce to, że Cerberus to tajna organizacja, a Miranda lata w outficie ze znakiem Cerberusa, tak.
1793:  Jest fundowany i kontrolowany przez Cerberus.
1795:  To jest dokładnie to, co z Assassin's Creedem.
1797:  Ludzie przez dwa tysiące lat nie zorientowali się, że ci dziwni assassini latają w tych szatach, które są idealnie wyprofilowane tak, żeby to były dziubia, strzębia i z taką charakterystyczną czerwoną tarczą... szarfą wrzuć.
1809:  Jak polecasz uczucie angielskiego z gier?
1810:  Jakiś określony typ gier, który pozwala zatrzymać się na dialogach?
1813:  Dokładnie, RPGi.
1814:  Wydaje mi się, że poszłam do serwerów kilka razy, podczas zainwestowania w Saren.
1817:  Jakiś typu splinter pro-umana, prawda?
1818:  No to jest to, czego Allianz chce ludziom.
1843:  Ciekawe, czy to jest zależne od skończenia tamtego quest'a.
1846:  Ta linia dialogowa.
1851:  Mamy fankę Jacka?
1852:  Uhu!
1852:  Swoją drogą, tłumaczenie polskie tego nie oddaje.
1856:  Illusive Man, człowiek iluzja, no... Ładniejsze.
1859:  Dobra.
1859:  Illusive Man.
1860:  Jest w celu tego wszystkiego?
1874:  Tak.
1874:  To nie jest jego prawdziwy imię, oczywiście.
1875:  To był kodowy imię, który użył dla niego Allianz.
1877:  Trochę się zmęczył.
1877:  No, jeśli nie dostanę więcej informacji... To nie jest o wiele dłuższe do linii szutelu.
1884:  Jak sam oglądam filmy z napisami angielskimi i mnie dosłyszą, co jestem, to jak czegoś nie rozumiem, to z kontekstu reszty zdania napisałaś do rozmowy.
1890:  No dokładnie, dokładnie, absolutnie.
1892:  Ja zresztą przyznam, że w dalszym ciągu sobie zawsze włączam napisy po angielsku do seriali, bo zawsze jest jakieś właśnie nowe słowo, którego się dowiem z kontekstu.
1901:  To jest fenomenalna metoda.
1906:  Ale tu jest klimat.
1907:  Boże, ta gra ocieka klimatem po prostu.
1914:  Okej, nie omijamy czegoś?
1915:  Nie omijamy, dobra.
1922:  Wycofujemy się, to znaczy ja używam tego.
1925:  Proszę bardzo.
1928:  Spróbuj z overloadem.
1933:  Oooooh... Martin Sheen robi człowieka iluzje?
1940:  Nie żartujcie, poważnie?
1943:  To ja już wiem, dlaczego to jest takie dobre.
1945:  Yennefer, nie przytulaj się do balustrad.
1947:  Yennefer Shepard ma problem od poprzedniej części trylogii z przytulaniem się do obiektów nieożywionych.
1954:  Ja myślę, że Yennefer brakuje miłości, będzie trzeba coś z tym zrobić.
1960:  Ooo, kto ma magię, która was wszystkich zniszczy?!
1967:  Macie tutaj użyć overloadu.
1970:  O, nie, nie, nie.
1974:  To chyba jest dobry moment na zapis.
1983:  Mmm... Jack ma akurat dobry character development, zwłaszcza jak masz z nią romance.
1986:  Ale Jack!
1987:  Aaa, Jack!
1988:  Ta Jack!
1990:  Ja pomyliłem z Jacobem.
1995:  Jake jest fantastyczny, ja... jedna z moich ulubionych postaci w ogóle w grze.
2001:  Kto w nas jeszcze strzela?
2003:  Won!
2006:  A-ha-ha!
2007:  Pięknie!
2009:  Boże, nie powinienem się cieszyć tak z pokonywania śmiesznych robotów strażniczych.
2014:  Powstrzymajcie mnie.
2021:  Poziom trudności weteran.
2024:  Nie przesadzałem z tym najwyższym, bo come on.
2028:  O nie, założę się, że tam było coś interesującego.
2037:  To jest, to jest piękne.
2039:  To jest piękne.
2044:  Hmm?
2050:  Oczywiście, że widzieliśmy, że kłamało.
2051:  Proszę, niech tu będzie linia dialogowa, że jeszcze chcemy zostać chwilę i zlutować wszystko.
2057:  Tak, czy mogę zlutować ten pokój?
2080:  Nieprzyjemnie, że pojawiłeś się podczas odpadu.
2081:  Gdzie ty byłeś podczas ataku?
2084:  Poza próbą ułatwiania twojego życia?
2086:  Wilson zrozumiał, że pomagam ci, kiedy wysłał armię.
2088:  Przyjechałam tutaj tak szybko jak mogłam.
2091:  Pewnie trochę za szybko, jeśli zapytasz Wilsona.
2094:  Dobra.
2094:  Czy według mnie jakieś społeczeństwo, czy społeczeństwo już zrozumiało, że gry wideo to potężna gałąź kultury?
2099:  Nope, niestety nie.
2100:  Do opowiadania świetnych historii, czy może wciąż myślisz, że to jakieś nieznaczące produkcje dla nastolatków?
2105:  Dalej, to nie tylko społeczeństwo, ale bardzo wykształceni ludzie, inteligentni, ludzie, których szanuję.
2110:  Ja muszę pracować każdego dnia praktycznie, jak poznaję kogoś, kto nie lubi gier wideo albo nie chce się nimi zajmować, żeby wytłumaczyć tak prostą rzecz, że to jest gałąź sztuki, nie?
2123:  Jak przejdę planowane Dark Souls, to będę ciągle grał na najwyższych poziomach.
2130:  Spokojnie.
2131:  Spróbujemy, czy da się scizzować Dark Souls.
2133:  Nie bez powodu.
2134:  Przed Dark Soulsami tuż gramy sobie kampanię ze skavenami.
2136:  Będziemy się przyzwyczajać do laktozy.
2143:  Nie jestem pewna, czy wierzę w ciebie.
2145:  To jest jedyny szutel stacjonarny.
2147:  Chcesz zostać i pracować z mechami?
2148:  Bądź moim gościem.
2150:  A co z resztą ludzi na stacjonarzu?
2151:  Pytamy o wszystko.
2152:  Chcę mieć świetne relacje z Mirandą.
2153:  Jeśli nie będą tu teraz, to nie przychodzą.
2157:  Niestety jak grasz w gry, to jesteś dziecinna.
2159:  Dużo takich rzeczy od dorosłych, wykształconych słyszałam, także niestety dużo przed nami.
2162:  No to prawda.
2165:  Hej hej.
2180:  Hej Paweł, cieszę się, że podoba się i witam na live'ie.
2187:  Westerjed jeszcze Lazar z Project Nam został.
2196:  Z muzyką to jest tak, że... Zresztą to wyszło w ostatniej rozmowie Stanowskiego z kapelą, prawda?
2201:  Z jednej strony jest filharmonia, a z drugiej strony jest brudna muzyka popularna, tak?
2205:  I sam fakt, że w filharmoniach od dawna się nie gra jazzu, rocka, nie wiem, muzyki filmowej, muzyki z gier wideo, bardzo dużo powinien nam powiedzieć o tym.
2215:  To nie tylko gry wideo są stygmatyzowane.
2221:  Dzień dobry, dzień dobry.
2227:  Właśnie trzecią godzinę męczę malowanie tekstu na dwóch hasetach, a ludziom dalej trzeba tłumaczyć, że gry to sztuka.
2232:  No proszę, jeszcze mamy designera na czacie, cudownie.
2235:  Tak, ja dostaję absolutnego szału o to, ale no... Mamy przestarzałe po prostu definicje, a najgorsze jest w tym wszystkim to, że pamiętajcie, że to chodzi o kasę.
2244:  Nie chodzi o nic innego, to chodzi cały czas o kasę.
2251:  I najzabawniejsze jest to, że gdyby na przykład w muzeach narodowych byłyby, nie wiem, jakieś wystawy tematyczne ze sztuką z gier wideo, to ludzie by walili drzwiami i oknami do muzeów.
2263:  Po prostu drzwiami i oknami, jeszcze jakby to było dobrze przedstawione.
2266:  Ale po co, skoro wtedy by utracili dotacje z Ministerstwa Kultury, nie?
2269:  Uuu, few questions.
2270:  It's been two years since the attack.
2273:  The Illusive Man needs to know that Shepard's personality and memories are intact.
2280:  Ask the questions.
2282:  Czuję się w porządku.
2283:  Najszybciej zaczynamy, najszybciej będziemy to robili.
2286:  Zacznijmy od historii osobistych.
2288:  Ok.
2288:  Wyobrażasz się jako spacer kid.
2290:  Znaleźłeś... Znaleźłeś i przetrwałeś atak Thresher Moore, który zniszczył resztę twojego zespołu.
2294:  Pamiętasz to?
2295:  Zgubiłam wiele przyjaciół w tamtym dniu.
2297:  Chodzić przez coś takiego, zmienia cię.
2305:  Może się zniszczyć, jeśli pozwolisz.
2310:  Tak!
2310:  Był!
2311:  Został!
2312:  Dlaczego?
2312:  Bo był idiotą, dlatego!
2314:  Eee...
2338:  Być w rządzie oznacza, że czasami dajesz ustawienia, które nie oznacza, że ludzie umrzeją.
2342:  To nie może wpływać na twoje decyzje.
2344:  Caden dał życie dla reszty drużyny.
2346:  Bez niego nie mogłabym zatrzymać Saren.
2348:  Umarł jako hero.
2351:  Rozumiem, komendant.
2352:  I nie uważałem twoje decyzje.
2353:  Wszyscy w Cerberus wiedzą, że ta instalacja klonowa musiała być zniszczona.
2358:  Są inne testy, które naprawdę powinniśmy prowadzić.
2360:  Chodźmy, Miranda.
2362:  Wystarczy z kwiatami.
2363:  Pamiętania są tam.
2364:  I mogę wstrzymać umiejętności szepardów osobiście.
2368:  Wydaje mi się, że masz rację.
2368:  Musimy się doczekać, by ilusiwny człowiek zaakceptował naszą małą testę.
2372:  To jest, swoją drogą, genialnie napisany dialog.
