Mass Effect EDYCJA LEGENDARNA — Livestream
🔗 https://www.youtube.com/watch?v=fxSlrdEm6LY

3:  Witaj się na streamie.
423:  Zawsze oczekujesz najgorszego.
424:  Takie uczucia są zagrożeniem okupacyjnym.
425:  Ale my nigdzie nie idziemy, bez dobrych powodów, więc... Joker!
430:  Wszelki raport.
430:  Wszelki raport.
431:  Wszelki raport.
431:  Wszelki raport.
432:  Wszelki raport.
432:  Wszelki raport.
433:  Wszelki raport.
434:  Wszelki raport.
436:  Wszelki raport.
437:  Wszelki raport.
438:  Wszelki raport.
439:  Wszelki raport.
439:  Wszelki raport.
452:  Ja będę strasznie nerdzić, bo jak ja słyszę ten ambient, to ja po prostu jestem w domu.
473:  Wiecie, za co kocham Mass Effecta pierwszego?
477:  To znaczy... Literalnie pierwszy moment... Chciałbym, żeby on przestał mówić.
491:  Literalnie pierwszy moment, kiedy słyszymy cokolwiek o tym świecie, to jest wtedy, kiedy pójdziemy do encyklopedii.
496:  To jest po prostu piękne.
500:  Natomiast nie pamiętam jednej rzeczy, nie pamiętam jednej rzeczy, bo wydawało mi się, że już tutaj jest informacja dotycząca więcej, a jest coś na temat Sheparda, jest, HumanityNG, Timeline, o, słuchajcie, to jest przepiękne.
514:  Wchodzimy do gry wideo i dostajemy kalendarium od razu, którego oczywiście nikt nie czyta, nie oszukujmy się.
520:  Ja czytałem.
521:  I w 2154 Commando Shepard is born, ale wcześniej dostajemy całą historię pierwszego kontaktu, wojny pierwszego kontaktu z Turianami, tłumaczeń danych proteańskich znalezionych na Marsie.
536:  To jest po prostu coś przepięknego.
537:  2137, patrzcie co jest w 2137.
544:  Elfdel-Aschald Energy Cooperation demonstrates helium-free fuel extraction from the atmosphere of Saturn.
549:  A, Helium-3.
551:  Aaa, wiem, wiem.
555:  I see what you did there.
558:  Ja myślałem, że to było podsuflowanie zrazu informacji dotyczącej tego, czym się Normandia porusza.
564:  A tutaj się okazuje, że ktoś coś od Janie Pawliu na czacie.
567:  Hmm.
568:  No, kocham to po prostu.
570:  Uważam, w ogóle to jest fajne, bo jak się projektuje fantastyczne światy, to właśnie ten moment robienia kalendarium jest jednym z bardziej kluczowych.
577:  Jak ktoś mi nie wierzy, niech sobie otworzy PNAT Manila Stevensona, polecam.
589:  Nie no, pięknie Normandia wygląda.
595:  Ja oczywiście będę ze wszystkimi ro... Nie chciałem, nie chciałem włączyć trybu bojowego.
601:  Dlaczego tutaj z shiftem się włącza tryb bojowy?
606:  Holsteruj.
611:  Oj tak, będę robić to nieustannie.
616:  Okej.
619:  Chryste, Jezu.
619:  Tak, teraz problem polega na tym, że nie znam controlsów.
623:  Controlsy.
625:  Będzie winy?
625:  Będzie, wszystko będzie.
626:  Muszę sobie sprawdzić controlsy.
627:  Spacja składu rozmów, controls, keybindings.
630:  Chcę się dowiedzieć, w jaki sposób mam dokonywać interakcji ze światem.
635:  Eee...
640:  Chyba się nie... Chyba domyślnie biegamy, można się przełączać między trybem chodzenia a trybem biegania.
647:  Aim, repair... Czy na... Serio, tutaj nie ma opcji do... To widać, że to jest jednak gra EA.
652:  Use spacebar... Spacebar?
655:  W sensie... W sensie... Ok, ok.
668:  He wants to see me.
669:  Mówicie, ja już jestem przyzwyczajony do tego, że Spacio to się przeklikuje przez kwestie, które w pocie czoła pisali quest designerzy.
681:  Spacją się skacze poza tym.
683:  Był taki cykl na YouTube.
685:  Sorry, na YouTubie.
686:  What do you mean?
690:  No ja dawno grałem.
693:  Będzie sześć, siedem lat temu, coś takiego.
696:  No właśnie, ja myślałem, że to zmienią.
704:  Możecie wysyłać do mnie tyle widm turjańskich, ile chcecie, byleby jeden z nich nazywał się Garrus.
714:  Nie, to się będzie działo jeszcze wiele razy.
718:  Dobra, czyli domyślnie biegam, muszę się do tego przyzwyczaić.
721:  Dzień dobry.
723:  Oooo, czy ja dobrze pamiętam?
727:  Czy to jest nasza stara pani znajoma z laboratorium?
730:  Doktor Czakłas!
732:  Witam, witam.
736:  Doktor Czakłas is always right.
738:  Sorry, Commander, but this waiting's killing me.
740:  I've never been on a mission like this before, not one with a Spectre on board.
747:  Co możesz mi powiedzieć o Nihilusie?
749:  Nihilusy są generalnie dobrze zrespektowani przez inne społeczeństwa.
754:  Ich flota ma więcej patroli, które chronią przestrzeń Cytadeli.
757:  Nie zawsze dobrze się z nimi łączy.
759:  Jako Nihilus, nie mówię więcej niż dwóch słów, że oni są bardzo potężni.
763:  Słyszałem, że Nihilus jest w porządku, więc chciałbym być samotny.
767:  Nie wierzę, że jestem na misji z prawdziwym spektrum.
772:  Co wiesz o Spektrach?
774:  Tylko o tym, co słyszałam.
776:  Spektr agentów pracuje od razu dla Spektrów.
778:  Spektrów nie mają żadnej oficjalnej siły.
780:  Zabezpieczony w żadnym kosztu.
782:  Nie zapomnij o tym.
783:  Spektry funkcjonują poza prawem.
786:  Idyn Prime, nasz pierwszy quest.
788:  Jest bardzo spokojny, komendantze.
790:  Byli bardzo ostrożni z rozwojem, więc nie mieliście żadnego brzmienia miasta czy pola.
793:  Moje rodzice mieszkali na zewnątrz kolonii.
795:  W nocy jechałem na tę wielką górę i to było piękne.
797:  Ale... Kiedy się urodziłem, zauważyłem, że to było trochę za spokojne i spokojne dla mnie.
801:  Dlatego przyłączyłem się do twojej strony.
803:  Jakiś pomysł, dlaczego Idyn Prime został wybrany jako nasz destination?
807:  Nie jestem zapewniony, komendantze.
810:  Eden Prime to jedna z naszych najbardziej stabilnych kolonii.
813:  Dobre miejsce, by przejechać do Normandy na podróż.
815:  Nie ma tu żadnych niebezpieczeństw.
817:  Musi coś się tam wydarzyć.
819:  Mamy spektrę na połowie.
820:  Uwaga, to jest moja wielka szansa.
822:  Muszę pokazać bramie, co mogę zrobić.
824:  Jesteś młody, korporal.
825:  Masz dłuższą karierę przed tobą.
826:  Nie martw się, panowie.
827:  Nie będę to skończył.
829:  No chyba, że właśnie jest Leroyem Jenkinsem, jak podpowiada czat.
832:  Wtedy... wtedy he's gonna screw this up.
835:  Dobra, to rozmawiamy jeszcze z Dr. Orchakłas.
836:  Puki żyje!
837:  Hahaha!
838:  Spoiler alert!
840:  Nie no, można ją uratować, żartuję.
846:  Łooo, jak tu jest pięknie.
848:  Nie, naprawdę.
849:  Ja wiem, że grałem w Mass Effecta 1 strasznie dawno temu, bo nie powtarzałem całej trylogii chyba.
855:  Chyba raz całość.
857:  No raz, ale to było bardzo dawno temu.
861:  Kilka razy grałem w Mass Effecta 2, bo chciałem przećwiczyć różne zakończenia i dwa razy grałem w 3, ale w 1 grałem najmniejszą liczbę razy.
867:  Kapitan powiedział, że spotka się tutaj.
869:  Jest w drodze.
875:  No moja Magini Ognia jest ładna.
876:  Dobrze, dobrze.
876:  Będziemy ją często widzieć w dialogach.
882:  Teraz jeszcze musimy sprawić, żeby była potężna.
902:  Chcesz mnie strachować, Spectre?
904:  Twoje ludzie są wciąż nowymi, Shepard.
906:  Galaksia to bardzo niebezpieczne miejsce.
909:  Sprawdź, czy jesteś gotowy na to?
910:  Wiem, że tylko ten złoty problem jest niebezpieczny.
914:  Ta misja jest o wiele większa niż prosty ruch.
917:  Wiedziałam, że coś nie powiedziałeś nam.
920:  Robimy kowertowy przycisk na Eden Prime.
925:  Dlatego potrzebowaliśmy operacyjnych systemów strachowych.
931:  Nie, ja kocham Ambien.
932:  Po prostu to, co tu się dzieje, to jest coś przepięknego.
937:  Musi być jakiś powód, że nie opowiedziałeś mi o tym, panie?
939:  To pochodzi z góry, komendantze.
941:  Informacja tylko na poziomie potrzebnego do zrozumienia.
945:  Zespół szkoleniowy na Eden Prime wywołał jakiś rodzaj biegunu podczas ekskluzji.
951:  Był to Prothean.
952:  Myślałem, że Prothean zniszczył się 50 tysięcy lat temu.
956:  Jej legacja nadal pozostaje.
959:  Wielokrotne relacje, Cytadela, nasz samochód.
963:  Wszystko składa się z nauk.
965:  To jest inny temat.
966:  Ostatni raz, kiedy ludzkość zrobiła takie odkrycie, przeskoczyła nasza technologia na 200 lat.
971:  Ale Eden Prime nie ma dostępności do tego.
973:  Musimy odwrócić biegun do Cytadela, po prostu.
976:  Oczywiście, to wyjdzie poza interesami ludzi, komendantze.
978:  To odkrycie mogłoby wpływać na każdą specię w kosmicznej przestrzeni.
985:  Nie, nie będziemy na pewno odpowiadać tak bardzo pozytywnie.
996:  O!
1000:  O!
1002:  Nylos mi cały czas przypomina Daaffa Nylosa, który jest jednym z najbardziej badassowych Sithów, jacy istnieli kiedykolwiek.
1010:  Co się dzieje, kapitanie?
1012:  Alicja stara się na to od dłuższego czasu.
1014:  Ludzkość chce większego rolę w stworzeniu polityki interstellarnej.
1020:  Spektry reprezentują władzę i autorność Księdza.
1023:  Jeśli przyjmą człowieka do ich rynku, to pokaże, jak daleko Alicja przeszła.
1028:  Niektórzy nie mogliby przetrwać tego, co wydarzyłeś na Akkuzie.
1031:  Pokazałeś niesamowitą wolę życia, szczególnie użyteczną potencjalność.
1036:  Dlatego włożyłem twój imię jako kandydata dla Spektry.
1039:  Co do misji lojalnościowych, pisze Wiktor, że generalnie, jeżeli mogę coś podpowiedzieć, to żeby załatwić wszystkie misje lojalnościowe przez misję Reaper w Mass Effect 2, ulepszyć statek.
1048:  Tak, ja ulepszyłem statek, załatwiłem wszystkie misje lojalnościowe, tylko był jeden problem, mianowicie Miranda się pokłóciła z Jackie.
1055:  Nie byłem w stanie tego powstrzymać za pierwszym podejściem i Jackie zginęła.
1059:  Hmm...
1063:  No właśnie mnie też.
1064:  Miranda z Jack, właśnie, tak.
1066:  A mój męski szepard zarywał do talii, więc nie byłem w stanie tego powstrzymać.
1087:  Wydaje mi się, że to jest dobre dla połączenia.
1089:  Ziemia potrzebuje tego, szefie.
1090:  Muszę zobaczyć twoje umiejętności samemu, komendant.
1094:  Eden Prime będzie pierwszym z kilku misji razem.
1097:  Będziesz w zarządzaniu zespołem.
1099:  Zabezpiecz biegun i zrób go na szefie od razu.
1102:  Malus zaprosi cię do obserwacji.
1103:  Dlaczego ten biegun jest tak ważny?
1108:  Wszystkie rozwinięte cywilizacje galaktyczne składają się z technologii Prothean.
1111:  Mimo to, jeśli byśmy nie zauważyli, to byłby tylko mały kształt danych.
1115:  Co jeśli jest to archiwum broni?
1118:  Trzeba mieć odpowiedni paragon albo renegade, żeby rozwiązać kłótnie z Jack i z Mirandą i wtedy się pojawia ta opcja.
1125:  To ciekawe, bo przy Legionii Italii już miałem tę opcję, czyli ewidentnie za wcześnie to wytriggerowałem.
1131:  Dzień dobry, dzień dobry, tak jest.
1133:  Ja właśnie pierwszy raz gram Rudą Shepard, wcześniej grałem bezwyrazowym Johnem Shepardem, który spartolił wszystko, co mógł.
1148:  Zmodyfikowaliśmy jedną rzecz, nie nazywa się Jane Shepard, tylko Janine, ponieważ wszystkie maginie muszą mieć dłuższe imiona.
1155:  Wyobraźcie sobie, że Voldemort nazywa się Vol.
1161:  Nikt by nie traktował go poważnie, nie?
1162:  Muszą być te trzy sylaby przynajmniej.
1167:  Legion się później pokazuje i tam już nie ma problemu.
1170:  No właśnie, właśnie.
1171:  Ja z Legionem i Stalin nie miałem problemu, natomiast z Mirandą i z Jackie miałem.
1174:  Być może to jest kwestia taka właśnie, że ten system Renegata jest niedoskalowany odpowiednio.
1181:  Albo trzeba coś pograindzić wcześniej.
1183:  Technicznie tak.
1194:  Głosy Turian zostały tak rewelacyjnie zrobione.
1197:  Mmm.
1198:  We always have a problem.
1206:  Je-Je-Jeanine Shepard, prawiak, arcymak, Kirin Thor, Jeannina Dunma, Lord Admiral Kul Tiras, o kurcze.
1219:  Podoba mi się ta lista tytułów.
1222:  Jest prawie tak dobra jak Biały Płomień Tańczący na Kurhanach Wrogów albo wszystkie tytuły Daenerys Targaryen.
1243:  O, Yennefer Shepard, to byłoby coś.
1246:  Kurczę, czemu ja tu nie wpadłem wcześniej?
1248:  Jest i nasz przeciwnik!
1253:  Ja nie idę tam, ponieważ tłumaczenia Blizzarda... Ja przez tłumaczenia Blizzarda, jak słyszę Garus, to słyszę również Garus Piekłorycz od razu.
1269:  17 minut później, kapitanie.
1271:  Nic innego.
1274:  Już wiemy, że turjańska wersja what the actual fuck to jest ruch czułkami przy żuchwie.
1281:  Nie, naprawdę, żeńska Shepard jest o wiele lepiej wymodelowana niż męski Shepard, w sensie ma więcej charakterów w sobie.
1299:  Bo...
1301:  Osobowości, no wiadomo.
1303:  Ooo.
1304:  Hmm.
1308:  Sylwana bierzy wiatr, naprawdę była, naprawdę była bierzy wiatr Sylwana przetłumaczona?
1316:  Ciekawy jestem, czy za to odpowiada wciąż nasz ten... Rysiek Chojnowski z gry Sława.
1327:  Beacons zawsze są ważne, wiemy to z Władcy Pierścieni.
1336:  Nie ma to jak dobry ksenorasizm.
1341:  Swoją drogą, gra, która rewelacyjnie podejmuje ten problem.
1360:  Nie naprawdę jest rewelacyjnie graficznie.
1363:  Jak na tak starą grę i tylko zremasterowaną.
1365:  No i... no.
1367:  Nie, no naprawdę.
1370:  Nie jest źle.
1372:  Gramy na ultra oczywiście, natomiast no pamiętajmy, że ta gra ma swoje lata jednak.
1381:  Okej.
1382:  Okej.
1384:  Okej.
1386:  Dobrze, co robi ten Shift?
1387:  Ach, to jest ten tryb taktyczny.
1391:  Kojarzę.
1392:  Nie lubiłem tego za bardzo.
1395:  Na pewno potrzebujemy to, żeby on napierniczał z karabinu.
1401:  Też.
1401:  Tak, tego chcemy.
1402:  Albo nawet ze strzelby.
1405:  To jest zdecydowanie ładniejsze niż... Nie no, ja pamiętam, że moje doświadczenie gry w jedynkę było o tyle dziwne, że ja zacząłem w ogóle przygodę z Mass Effectem, a on ma Mass Effecta drugiego.
1420:  Jestem... O!
1421:  Gdyby to był Cyberpunk, to by można było to zlutować, a z przeciwników wypadłyby takie kolorowe, kolorowe, klucuszki różne, kolorowe, dużo kolorów!
1431:  Looter shooter vibes.
1433:  No tak, dokładnie wygląda lepiej niż Cyberpunk na... Ciekaw jestem, czy będą konsekwencje strzelania do ksenogatunków.
1440:  Jak znam Mass Effecta, to jest możliwe.
1443:  A popatrzcie, to jest piękne, jak gry się od tego czasu rozwinęły, w tym sensie, że nie ma tutaj żadnych bzdurnych znaczników, które zaśmiecają interfejs i pokazują mi, gdzie iść, tylko environmental storytelling, sam się graczu domyśl, eksploruj.
1462:  Tylko po drzewach bardzo widać, że się silnik zestarzał.
1466:  Jak on się nazywa, nie pamiętam.
1472:  Wygląda prawie jak kontrolna średnich na moim kartoflu, no proszę.
1479:  A, mamy, mamy fantastyczny, mamy fantastyczną ekipę.
1487:  Okej, system osłon.
1489:  System osłon jest ewidentnie zupdate'owany, nie było go.
1496:  No pewnie, że ta lokacja jest liniowa, ale chodzi mi o to, że nie mam... Nawet w liniowej lokacji w tym momencie macie znaczniki.
1503:  Na zasadzie, idź tędy.
1505:  Okej.
1506:  Dobra, w ten sposób się robiło.
1507:  Mhm.
1515:  No... No dobra, dobra.
1517:  Jest liniowa, ale są sekrety też, tak?
1522:  Uuu, dobrze wiedzieć.
1525:  Dobrze wiedzieć.
1528:  Chat jest proszony o podpowiedzi, jeśli zna lokalizację sekretów.
1534:  Dobrze.
1535:  Denerwuje mnie to, że... Aha, to jest tryb chodzenia.
1537:  Nie, nie będziemy tego robić.
1539:  Denerwuje mnie, że nie można robić sprintu.
1540:  Na pewno nie można robić sprintu.
1542:  Sprawdzę na wszelki wypadek.
1544:  Aż mi się nie chce wierzyć.
1546:  Combat nie.
1549:  Nie, nie, nie, nie.
1550:  Vehicle nie.
1551:  Nie ma sprintu.
1553:  Hm.
1555:  A nie, jest sprint.
1556:  Ze spacją też.
1562:  Dobrze.
1564:  Nie idzie się przyzwyczaić, no serio, no po prostu nie idzie się przyzwyczaić.
1569:  Tak, zorientowałem się poniewczasie.
1571:  Osłony były w Mass Effect'cie.
1574:  Już, już, już, zaraz sprawdzimy.
1578:  Boże, jak to dobrze, że tu nie ma amunicji.
1582:  Nie naprawili biegania, nie.
1584:  Znaczy, uważam, że naprawdę powinno być z Shiftem.
1586:  Nie wiem, czy sobie tego nie zmienimy, żeby pod spacją nie było tego... właśnie czegoś takiego i żebym mógł z Shiftem biegać, bo... No w sumie... to będzie wygodniejsze dla mnie.
1596:  Żebym tylko tego jakoś potwornie nie... nie... pożałował.
1602:  A nie!
1602:  Bo jeżeli jest sprint, to będę musiał Shiftem używać przedmiotów.
1606:  To nie, nie zrobię tego.
1608:  Dobra.
1611:  Ale tak, lubiłem to, że...
1613:  że nie ma amunicji, tak, bo teraz sprawdziłem z przerażeniem, czy przypadkiem nie jest tak, że jest amunicja.
1624:  W ogóle czy nie my nie mamy jakiejś fajniejszej broni?
1626:  Oczywiście, że mamy fajniejszą broń.
1630:  Skopiowali z Mass Effecta II bieganie i interakcje po prostu.
1633:  To jest ewidentna przewaga jedynki na dwójku, że amunicja jest nieskończona, zarządza się cooldownem na przeładowanie.
1637:  To absolutnie tak.
1640:  O tak, tu jest fajniejszy feeling.
1644:  Oczywiście, jak przystało na porządną maginie, my będziemy używać Sniper Rifle, to nie muszę wam mówić, oczywiście.
1653:  Natomiast... Uuu!
1657:  Uuu!
1657:  Świeci się!
1662:  Medi-gel, którego i tak nie umiem używać na razie, ale spoko.
1671:  Przecież wszystkie wystrzelałem, co za oszustwo!
1685:  Proszę, proszę!
1688:  O!
1688:  Tyle, tyle z naszej drużyny.
1692:  Widzę, że getty jeszcze się nie przyzwyczaiły do idei.
1696:  Jakiej klasy jest Janine, bo nie spojrzałem na początku.
1700:  Eee... nie wiem.
1704:  Nie miałem możliwości wyboru klasy jeszcze chyba.
1707:  Znaczy, ja grałem defaultową postacią.
1711:  Zaraz, żebym się teraz nie przeraził, że zrobiłem coś przerażająco głupiego.
1715:  Dobra.
1719:  Aha!
1720:  Gin.
1724:  Ashley Williams, dzień dobry, znam cię.
1729:  Przewodniczący broni Ashley Williams z 212.
1731:  Jesteś tym, kto zajmuje się tym, Pani?
1732:  Potrzebuję raportu statusu.
1736:  Teraz.
1736:  O Boże... Patroliłyśmy po parametrze, kiedy atak się zniszczył.
1742:  Próbowaliśmy uzyskać kontakt z dystresu, ale zniszczyli nasze komunikacje.
1746:  Od dawna walczę o życie.
1752:  Przy kreowaniu postaci jest żołnierz, adept, inżynier.
1755:  Widziałem, że z jakiegoś powodu powinienem był kreować postać.
1758:  Bo ja wziąłem defaultową.
1760:  Mam nadzieję, że nie jest to żołnierz, bo to jest... By być bardzo smutne.
1765:  Co to za paskudy?
1767:  Które konkretnie?
1767:  W sensie getty to są cybernetyczne organizmy, jeśli pamięć nie myli.
1772:  Tak, czyli pewnie nam wybrał żołnierza.
1774:  Yach, okropność!
1778:  O nie.
1780:  O nie.
1789:  Tak, jeżeli dobrze pamiętam, wybór klasy jest na samym początku i mogłem się przeklikać i wybrać żołnierza.
1794:  Co za żenada.
1795:  Najwyżej się w dwójce zmieni.
1799:  Quick restart.
1802:  O Boże.
1803:  Nie, nie, nie, nie będziemy robić... chociaż w sumie.
1817:  Ale o ile te komendy działają w legendarce, to wszystko da się naprawić, to znaczy... Janine... Tak!
1833:  Janine Shepard jest... jest okropnym żołnierzem, cóż to, cóż za straszliwe rozczarowanie.
1841:  Jak teraz patrzę, to masz medium armor, z tego tylko żołnierz zaczyna.
1844:  Dokładnie, tak, jest soldier, przerażające.
1851:  Jakie są wady i zalety Soldiera?
1853:  Teraz się muszę zastanowić.
1855:  Kim ja grałem?
1855:  Ja pewnie grałem adeptem, który mógł... Czy to jest jakiś mag?
1860:  Najlepiej się tematem inżynierskim gra, hackowanką idzie 100% 100 razy łatwiej.
1867:  A adept?
1868:  W oryginalnej wersji da się odtworzyć konsolę, a w niej wiele rzeczy edytować.
1872:  Tu w ogóle nawet jeszcze ta wersja nie jest jeszcze w GeForce Experience.
1880:  Witam w Aliancie Militarnym Database.
1907:  tak zmaścić, ale to klasyka tych streamów, to znaczy ja zawsze coś spierdolę na samym początku.
1915:  Wiesz, cała idea polegała na tym, żeby to była Maginie, ale nie ma tego złego, będziemy mogli ją nazwać Yennefer.
1923:  No bo właśnie, ja wybrałem to i od razu, i od razu gra stwierdziła, że mam dać imię i tutaj już był, o, o, o, o, Class Soldier, nie dało się tego zmienić.
1932:  Co za, co za wstrętni ludzie.
1936:  Proszę włączyć się do profilu.
1940:  Proszę włączyć się do profilu.
1945:  Proszę włączyć się do profilu.
1967:  Aaa!
1968:  Ja wam dam quick start!
1970:  Ja wam dam!
1975:  Co za pomysł, żeby zawsze żołnierz był na samym początku.
1978:  Można... to jest... O!
1981:  I będziemy, oczywiście, że będziemy w Spacer.
1986:  Soul Survivor.
1988:  Roofless.
1990:  Każdy mag jest wygnańcem i wybrańcem zarazem, więc powinien być Soul Survivor.
1998:  Aaa!
2000:  No i teraz rozmawiamy!
2003:  Tak!
2006:  Jest Magini!
2007:  Ale jest już Vanguard.
2009:  Biotic warriors.
2010:  They combine biotics and weapons to take down opponents and they are especially deadly at short range.
2016:  Nie, nie, nie, nie, żadne shotguny.
2017:  Adept.
2022:  Adept.
2024:  Tak, tak, tak, tak, tak.
2027:  Confirm.
2029:  No.
2030:  No.
2030:  Confirm.
2032:  Accept.
2033:  Dziękuję.
2034:  Dziękuję chatowi za cierpliwość.
2035:  Teraz się przeklikujemy przez wszystko błyskawicznie.
2039:  Zadowolony jak miść, co wlazł do pasień, no ale że oczywiście zawsze się gra magami w grach, podstawowa zasada.
2046:  Żołnierzem?
2047:  To ja mogę zostać od biedy w rzeczywistości?
2049:  Hahaha!
2050:  Znaczy nie, nie mogę.
2052:  Ale magiem nie jestem w stanie zostać w rzeczywistości, nawet gdybym wszystko w tym momencie rzucił i zaczął trenować, to się tego nie da zrobić.
2060:  Tak, tak, tak.
2061:  Właśnie wiem, że się da rozwinąć użytkowanie nowej broni.
2063:  To będzie oczywiście Sniper Rifle.
2068:  Teraz będzie cyniczna ruda z Control Simulator zamiast efektu masy.
2071:  Bardzo dobrze.
2073:  Wiemy.
2074:  Tak.
2074:  This mysterious effect was called Mass Effect.
2077:  Tak jest.
2080:  And our mysterious red-haired woman is called THE MAGE!
2089:  Anna woli inżynierem.
2090:  No, no, no, no, no, no, no.
2093:  Czyli inżynier okej, okej.
2095:  Pozdrowienia dla AG-ku.
2096:  Więc inżynierowie spoko, ale magowie lepiej.
2100:  A magowie i inżynierowie... To w ogóle jest coś wspaniałego.
2104:  Cutscene się nie da skippować, widzę.
2109:  Z komendami można dostać tyle bonusowej umiejętności, że wychodzi poza ekran w okienku level-upu.
2113:  Sprawdzałem.
2113:  Uuu, uuu, uuu.
2121:  AGH, tak jest.
