Mass Effect LEGENDARY EDITION Livestream #5
🔗 https://www.youtube.com/watch?v=3_BXiLQwNPc

2:  Zaczynamy.
853:  Proszę bardzo, Jowisz.
858:  Neptun.
858:  Ciekaw jestem, czy będzie Pluton.
860:  Swoją drogą, nie pamiętam, jaki jest finalnie status Plutona, ponieważ biedny Pluton był degradowany co jakiś czas.
866:  O, Mars tutaj jest, Elon Musk.
869:  W ogóle na Marsie tu się dzieją rzeczy.
872:  Proszę, proszę.
875:  Na Marsie to dopiero zaczną się dziać rzeczy w dwójce.
880:  No właśnie, jak się rozbijamy mako po powierzchniach planet, to jest absolutny dramat.
885:  Na Lunie byliśmy, bo to pamiętam.
888:  Tam była ta misja, która nas wszystkich zaskoczyła.
890:  Nie, nie ma nic, nie ma nic absolutnie w gromadzie lokalnej do zeskanowania nawet.
895:  Jak niespecjalnie mnie to dziwi.
897:  I Pluto, Pluto tutaj osamotniony, biedny.
900:  Nie ma nic, nie ma nic.
901:  Nawet nie udało mi się, myślałem, że znajdę.
903:  Ios!
904:  Ilos!
908:  Pluton jest wciąż zdegradowany?
911:  To już z piętnaście lat.
912:  Ja wiem, dla mnie to jest wciąż jak wczoraj.
916:  Ale pamiętam, że jeszcze uczono mnie właśnie, że tak, że Pluton jest, jest planeta, ale później się to zmieniło.
922:  In the golden age of the profians, Elos was a verdant world, dotted with the spires and arcs of magnificent cities.
932:  Nawet casual observation shows that this is no longer the case.
935:  Elos has been devastated by means unknown.
938:  Its entire surface changed to the color of rust.
942:  The atmosphere shows heightened levels of oxygen.
945:  Wildfires, presumably ignited by lightning strikes, can be seen burning on the dark side.
952:  This indicates that most, if not all, respirating animal life forms have died out.
958:  To jest... To brzmi jak przepiękna planeta, na której można wylądować.
964:  Do pasera najpierw ekwipunek wyczyścić.
968:  Widzę, że i tak zosta... Zostaliśmy powstrzyma... Ooo!
973:  Pomyślałam tylko o ciebie.
976:  Pomyślałam też o ciebie.
979:  I o tym, co będziemy się spotykać.
981:  Nie wiem, co się wydarzy na Ilos.
983:  Mam nadzieję, że zatrzymamy Saren, oczywiście, ale część z mnie boi się, że jesteśmy już za późno.
988:  Jest coś, co muszę ci powiedzieć, jeśli się nie uda.
992:  Proszę, słucham.
994:  To mogłyby być nasze ostatnie momenty razem.
997:  Nasza ostatnia szansa pokazać innym, jak się czujemy.
1001:  O!
1004:  O!
1007:  Czemu ja nie mam popcornu dzisiaj?
1009:  Ja miałem miedź.
1013:  Wasze zdrowie.
1020:  Ta wypowiedź środkowa jest za bardzo ekstatyczna.
1042:  Let us appreciate the art.
1053:  Policja obyczajowa przyjedzie na Facebooka, zupełnie jak w rozpustnym nasieniu Antoniego Bergesa.
1067:  To chyba jest tak, że niezależnie oczywiście od tego, która postać będzie z nami romansowała, to ona się tu pojawi.
1072:  Logiczne.
1076:  Yennefer Shepard miała bardzo dziwną minę.
1081:  Joker!
1089:  Mmm!
1090:  Bad moment.
1101:  Nie będzie, nie martwcie się, nie będzie większej monetyzacji niż za ostatniego vloga.
1109:  Podróżujemy.
1113:  Mmm!
1116:  To jest ten jeden jedyny... Ojej, jakie piękne zbliżenie.
1123:  Incydentalnie słowa o jakie piękne zbliżenie mogły być uszyte również do ostatniej sceny.
1132:  W jedynce domyślna Jane Shepard dziwnie... Przepraszam, jaka Jane Shepard?
1136:  To jest Yennefer Shepard.
1137:  Dziwnie wygląda.
1139:  Systemy zewnętrzne są zaangażowane.
1141:  Załóżmy, że nie będziemy mogli zrozumieć, że jesteśmy tutaj.
1143:  Zbieramy jakieś dziwne przeczytania z planety.
1146:  Zabierz nas, Joker.
1147:  Zamknij się na koordynacjach.
1149:  Negatywne na to, komendantze.
1151:  Najbliższa zadańczość 2 klików.
1153:  Nigdy nie zrobimy to w czasie na piwo.
1156:  Daj nam coś bliższego.
1157:  Nie ma gdzie bliższe.
1158:  Spoglądałem!
1161:  Zabierzcie nas w Mako.
1162:  Potrzebujesz przynajmniej 100 metrów otwartej tereny, żeby wyciągnąć taką zabawkę.
1165:  Największą, którą mogę znaleźć blisko Saren, to 20 metrów.
1168:  20 metrów?
1168:  Nie ma sensu, żeby w niej zabrać zabawkę.
1170:  Musimy spróbować.
1172:  Znajdź kolejną terenowość.
1174:  Nie ma innej terenowości.
1175:  Wzgórz jest zbyt gęsty.
1176:  To nasza jedyna opcja.
1177:  To nie jest opcja, to jest zabójstwo.
1180:  Nie, to jest zabójstwo do Pirabendia.
1182:  Joker?
1182:  Mogę to zrobić.
1189:  Tali czy lajara?
1190:  Lajara.
1190:  Tali czy lajara?
1192:  Witam, witam.
1192:  Lajara.
1209:  Loyara.
1211:  Tali?
1212:  Tali.
1214:  Ufam.
1216:  No bo tali... Dobra, okej.
1218:  To tali będziemy nam przecież to robić rzeczy związane z... Jak to się nazywa?
1222:  Dekodowaniem skrytek, szafek, artefaktów, minerałów.
1229:  Tali na fali.
1230:  Mhm.
1233:  Ooo.
1234:  Jak przepięknie został ucięty dźwięk Mako.
1238:  Dobry wieczór, dobry wieczór.
1243:  Właśnie lądujemy Normandią na Ilos.
1248:  Żeby skonfrontować się z naszym głównym antagonistą.
1252:  Którego imienia, nie pamiętam.
1255:  Żartuję, to prawdopodobnie jest Saren.
1260:  Dobrze, czy to jest misja, którą... Saren.
1269:  Ooo.
1275:  Tali się nie bali, tak.
1277:  Ale biedny Krogani nie może użyć Brute Force'a, to jest straszne.
1281:  No, czy ja dobrze myślę, że Mako?
1283:  Oczywiście, że Mako.
1288:  Ale Mako... Czy Mako jest w stanie tu przejechać?
1291:  Nie, Mako nie jest w stanie tu przejechać.
1292:  Co za zasmucająca opcja.
1296:  No to...
1298:  Mako.
1299:  Dobrze, czyli musimy iść, dobrze.
1302:  Zapisaliśmy.
1308:  Czemu ja nie widzę getów?
1310:  Ach, bo one, one latają.
1311:  Cóż za aberracja, ani nie latają, cóż... Czemu mi się wydawało, że latają?
1316:  Geth trooper.
1318:  Troopers ready for action.
1320:  Ooo... O nie, będziemy, będziemy z armaturą getów walczyć.
1326:  Fatalna wiadomość.
1328:  Kroganin, tłusty, głupi, głupi kroganin.
1331:  Proszę bardzo.
1334:  Tłusty, gruby kroganin talii AI Hacking.
1340:  Mam nadzieję, że to nam coś da.
1343:  Świetnie, armatura getów jest zhakowana.
1347:  Dziękuję za podpowiedź w zabraniu talii, to był dobry pomysł.
1361:  Na jeden strzał?!
1366:  Jak, jak to?!
1368:  Ooo, nie!
1370:  Tłusty, gruby kroganin?
1372:  Ty masz się wystawiać na strzał, nie nasza dzielna Magini!
1379:  Dobrze, od samego początku atakujemy.
1383:  Trzeba się pozbyć tych trooperów jak najszybciej.
1386:  O, dobrze.
1388:  I teraz tak.
1389:  Tali schakowali.
1391:  Tali hakuj.
1393:  A my się chronimy.
1394:  Tłusty, gruby kroganin tu.
1397:  Tali schakowali już, czy jeszcze nie?
1400:  Tali nie schakowali!
1404:  Głupia tali!
1405:  Hakuj!
1407:  Tali hakuje?
1410:  Wielkie nieba.
1411:  No to proste to to nie będzie, moi drodzy.
1416:  Na szczęście, od czego jest...
1420:  Ooo, armatura getów ginie.
1423:  Jak mi przykro.
1424:  Tali?
1425:  Hakuj.
1429:  Uff, tali hazora ne hakowaja, tak.
1432:  Tak.
1434:  Ooo.
1435:  Prymitywny, prymitywne urządzenie.
1445:  Czy to jest bardzo niedobre, że ja strzelam do...
1454:  To będzie długi stream.
1457:  Tak, zdecydowanie.
1459:  Myślę, że w dwójce zrobimy tak, że będziemy łączyć klasę żołnierza i maga, ponieważ wszystko wskazuje na to, że mag jest jak zwykle, domyślnie, przez wszystkie gry, zawsze i za każdym razem dyskryminowany.
1478:  Tłusty kroganin wystaw się.
1483:  W prawo powiadacie?
1484:  Dobrze, to zaraz zrobimy tak, jeszcze spróbujemy zhakować raz, bo to... O, proszę bardzo, Rex wytrzymał ten strzał.
1496:  Tali jest tutaj, czy nie?
1498:  Gdzie jest w ogóle tali?
1500:  Dobrze, tam jest tali.
1502:  Czy tali zhakowali, czy jeszcze nie?
1504:  Tak!
1510:  Jesteśmy dzielni i mężni.
1515:  To oznacza, że użyjemy tchórzliwej magii, żeby pokonać tego getta.
1522:  Czemu nie działa pistolet?
1525:  O!
1525:  Widzicie?
1526:  To jest strategia.
1527:  Tchórzliwy, tłusty, gruby kroganin ma się wystawiać.
1536:  Puszysty tro... Zastanówcie się, jakby brzmiało puszysty kroganin, come on!
1542:  Dobrze, czyli w prawo.
1543:  Lecimy.
1544:  Czemu tu są jeszcze jacyś wrogowie, skoro my nie mamy już naszego kroganina?
1550:  To niedobra wiadomość.
1552:  Czy V zadziała na ożywienie?
1553:  Pewnie nie, prawda?
1555:  Oj nie, na pewno nie.
1559:  Wszyscy się położyli.
1562:  Ale my mamy na szczęście magię, która sprawi, że poradzimy sobie samodzielnie.
1567:  Proszę bardzo, jak sobie radzimy?
1575:  Teraz będzie troszeczkę gorzej.
1579:  No dobrze, może byłem zbyt... Pali!
1584:  Jest!
1584:  Jesteście!
1585:  Dzielni!
1587:  Dzielni!
1587:  Wcale, wcale was nie obrażałem przed sekundą.
1589:  Proszę bardzo.
1590:  Proszę atakować tutaj wszystkie getty.
1593:  AI hacking.
1594:  Proszę bardzo, zapodać AI hacking.
1596:  Kroganin, szarżuj razem ze swoją zdolnością, która się nazywa radośnie Kanyć.
1605:  Nie chcemy, żeby do nas strzelali snajperzy.
1609:  Teraz nie widzę nic.
1610:  Gdzie jest Gevstokal?
1611:  Tutaj jest Gevstokal, dobrze.
1615:  Muszę powiedzieć, że trochę irytujące jest używanie tej broni, więc przełączę się na Unity.
1622:  Unity?
1624:  Faktycznie mamy Unity.
1625:  Dlaczego ja o tym zapomniałem?
1628:  Dobra.
1631:  Ale wydaje mi się, że wszystko tu jest oczyszczone.
1634:  Dobrze.
1638:  Jakiś jeden jeszcze przechciwnik się na nas zasadza tchórzliwie.
1645:  Zdecydowanie ta broń była lepszym wyborem.
1649:  Amateur Control.
1651:  Hard decryption.
1652:  Jaka szkoda, że mamy mnóstwo omnijelu.
1659:  Kontrola armatur jest bardzo dobrym pomysłem.
1661:  Bardzo się cieszę, że mój styl gry podnosi samoocenę.
1664:  Ja udowadniam tym stylem gry, że magowie są dyskryminowani.
1669:  Jest to przerażające i należy coś z tym zrobić, stanowczo.
1673:  Natomiast przypominam, że w momencie, w którym magowi się da karabin snajperski, to możliwe jest headshotowanie i wtedy wszyscy przeciwnicy mogą drżeć ze strachu i przerażenia.
1687:  Rex, idziesz?
1690:  To teraz nic nie zrobi absolutnie, bo ona była do tych dwóch kraników na górze, ta kontrola armatur getów.
1694:  Trudno.
1698:  To dlatego miałem wpierw iść w prawo, to wiele wyjaśnia.
1702:  Co tutaj się dzieje?
1703:  Jak myślicie, co tutaj się stało?
1705:  Boże, to wygląda jak z Beksińskiego.
1711:  Dobrze.
1712:  Pędzimy.
1719:  Dostajemy następny loot, Craig.
1720:  Będziemy teraz wszystko redukować do Omniżelu, ponieważ Omniżel się nam przyda.
1726:  Eee... Do windzi.
1730:  Pytanie, gdzie jest ta winda?
1733:  Eee...
1735:  Tu jest winda, dobrze.
1736:  I tu też jest winda.
1738:  Są dwie windy.
1739:  Czemu mnie to nie dziwi, że są dwie windy?
1741:  Zaraz, sprawdźmy, co tutaj jest jeszcze.
1744:  Zrobimy taktyczny zapis.
1746:  Nie ma absolutnie nic, ale jest niesamowita ta lokacja.
1749:  Ona jest autentycznie żywcem wzięta z Beksińskiego.
1754:  No przecież idziemy do windy tutaj.
1755:  Spokojnie, spokojnie!
1757:  Tam była druga winda, a tutaj są przeciwnicy, których musimy zaatakować.
1761:  Ojej, ojej, tchórzliwy kroganin.
1769:  Dobrze.
1772:  Nie, nie, nie, nie podchodzi się do snajpera.
1775:  Podchodzenie do snajpera jest bardzo kiepskim pomysłem.
1777:  6.
1785:  Znów będzie, że używam karabinu snajperskiego jako karabinu bliskiego zasięgu.
1790:  Cóż tu się dzieje?
1793:  Najpierw z północy idziemy.
1797:  Dlaczego mówicie do mnie kierunkami świata?
1799:  No tak, z północy idziemy, czyli stąd.
1801:  Wszystko się zgadza, czyli wpierw idziemy tutaj.
1806:  Tak myślę.
1807:  Czy źle myślę?
1809:  Najwyżej się wrócimy.
1814:  Jak już raz zacząłem strzelać i radośnie wykorzystywać wszystkie umiejętności naszego magosa, przepraszam bardzo, talii, to nic mnie nie powstrzyma.
1824:  Do open.
1828:  Proszę bardzo, jesteśmy w windzie.
1829:  Elevator activate.
1834:  Ależ jest piękny ten design.
1836:  Strasznie mi się podoba.
1837:  Gorzej jest z muzyką.
1840:  Naprawdę mam wrażenie, że w trójce jest muzyka lepsza przez zaangażowanie Clinta Mancela.
1850:  Average decryption.
1854:  Shotgun jest potrzebny... Tak, shotgun jest potrzebny naszemu radosnemu... To możemy zredukować do omniżynu, a resztę bierzemy.
1865:  Okej, gdzie jesteśmy?
1867:  Courtyard.
1870:  Czy tutaj coś mamy zrobić?
1872:  Nie, tu jest tylko winda.
1875:  Balkon tylko.
1878:  To ten balkon nam absolutnie nic nie da, czyli musimy się wrócić i tak czy siak do tamtej windy, z tego co wygląda.
1884:  Dobrze.
1887:  To w takim razie zmierzamy do dyn windy numer dwa, czyli tej.
1895:  Będzie w tę stronę, okej.
1903:  Czy mówicie, że wrócimy windą?
1905:  Dobrze, wracamy windą.
1914:  Rad byłbym, żeby gra instruowała nas, przynajmniej minimalnie, gdzie mamy iść.
1920:  Dobrze, tędy.
1922:  Oczywiście, że zostaliśmy zjamowani, żebym nie wiedział, gdzie iść.
1927:  Bardzo przydatne.
1929:  Kroganin, wystaw się.
1932:  Gdzie jest przeciwnik?
1934:  Czemu ja go nie widzę?
1936:  Oczywiście, to jest przecież ten cudowny latający gett, który wykorzystuje moce nam tajemne i niedostępne do tego, żeby... O, ktoś lata.
1950:  Jak to się mogło stać?
1953:  To mi wygląda na windę.
1957:  Proszę, jaka Tali jest dzielna teraz.
1958:  Sprawdźmy swoją drogą przy okazji, jaką ma Tali broń i czy możemy zrobić coś z tym, żeby było lepiej.
1966:  Tak, tak, tak, tak, tak, tak, tak.
1968:  Urnoth Rex ma... Nie, Urnoth Rex ma już najlepszą broń, jaką może mieć, a Tali też ma najlepsze bronie, jakie może mieć.
1976:  Dobrze.
1978:  Czyli w zasadzie nie potrzebujemy już brać żadnej broni.
1980:  Co się stało?
1981:  Dlaczego Yennefer Shepard się znowu przytula...
1988:  Zjeżdżamy.
1990:  No ta lokacja jest potwornie nieprzejrzysta, to prawda.
1993:  Zgadzam się w stu procentach.
1995:  Brakuje mi awkward music z Cytadeli bardzo.
2001:  Ale Urnot Rex jak zwykle zadbał o to, żeby było radośnie.
2009:  Mmm, brakowało mi akcentu talii.
2015:  Wybory romansowe przechodzą do dwójki, jak to jest?
2018:  Chyba tak.
2022:  Pistoleton widmowy, proszę założyć.
2023:  Mamy pistoleton widmowy, jeśli mnie pamięć nie myli.
2026:  Oczywiście, że mamy.
2028:  Proszę bardzo.
2030:  Jest.
2031:  A nie, dlaczego mamy inny?
2033:  Przecież ja ten miałem przez cały czas.
2034:  To ja się dziwię, że nic nie działa tak, jak powinno.
2039:  Byłem pewien, że tym strzelaliśmy.
2040:  Dziwna sprawa.
