Mag prochowy wyrusza na Zachód | RED DEAD REDEMPTION 2 Livestream
🔗 https://www.youtube.com/watch?v=ksSGS9kAvK4

4:  Witajcie świątecznie dalej.
588:  Pierwszy raz Red Dead, tak jest w moim imieniu.
589:  Nie wiem nic o tym świecie.
600:  Dobra, ale ja nie chcę jechać szybciej.
602:  Chcę oglądać się, ponieważ tu się piękne rzeczy dzieją.
605:  Ciekawe jestem, czy się zatrzyma.
609:  Krzysztof, Krzysztof... Taak!
613:  Nie, słuchajcie, od razu muszę parę rzeczy powiedzieć, bo to są takie drobne tweaky, które dużo pomagają.
621:  Fakt, że w kwestiach dialogowych są podane imiona, dla kogoś takiego jak ja to jest bezcenne, absolutnie.
627:  Przy okazji witam z Gretka serdecznie.
632:  Czuć, że mam 24 klatki na sekundę?
634:  Nie, nie mam 24 klatek na sekundę, mam 60 klatek na sekundę.
637:  Nie wiem, może się klatka żelena obije się, też mi wyświetla, że jest 60 fps, więc nie wiem, co się dzieje.
645:  Krzysztof będzie się co dwie minuty zatrzymywał i się zachwycał?
647:  To dobrze, to dobrze.
649:  Pytanie było, czy lepiej Daxos czy Bloodborne.
651:  Nie grałem w Bloodborne, więc trudno mi się wypowiadać, ale myślę, że Daxos jest do polecenia.
657:  Jeżeli ja w to byłem w stanie zagrać, to wy też jesteście w stanie.
660:  Mały drop był przez chwilę.
661:  Dobra, mam nadzieję, że nie będzie często.
664:  Wtedy zjedziemy w dół z grafiką.
673:  Arcymagos na zachodzie, tak jest.
676:  Hej!
676:  Przejdź za mną!
677:  Nie widzę cię tam!
677:  Nie wierzę, że straciliśmy Davy też!
680:  To ostatni, Arthur!
681:  Nie więcej!
711:  Nie wiem czy słyszeliście, ale agencja Pinkertona miała pretensje do Rockstara o tę wzmiankę.
727:  Oby nie, bo wtedy będziemy musieli strzelać.
735:  Ty przed nami.
744:  Kto tam jest?
746:  Szybko.
746:  Micah.
746:  Szanowni.
747:  Znalazłeś coś?
748:  Myślę, że tak.
749:  Znalazłem małą mieszkankę w tamtym miejscu.
751:  Dobra.
752:  Ktoś w domu?
754:  Oczywiście.
755:  Plac jest błyskawiczny, z światłem i brzmieniem.
757:  Słyszał jak party.
759:  Idźmy zobaczyć.
759:  Podążaj za mną.
762:  Jak się robi Davey?
765:  Nie zrobił tego, ani nie zrobił małego Jenny.
772:  To zbyt źle.
773:  Davey był prawdziwym walczącym.
773:  Wszyscy są przyzwyczajeni do tego, czy... czy... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że... że
792:  Przypomnę, żebyśmy zaczęli kręcić filmy z pierwszej osoby, to będzie na pewno bardzo dobre.
797:  Był taki film, on się nazywał Hardcore Henry.
802:  Pamiętacie o tym filmie?
806:  No właśnie.
808:  Boże, jak to jest pięknie.
823:  Okej.
825:  Chcę porozmawiać, chcę porozmawiać, chcę porozmawiać.
828:  Wiele razy wcisnąłem ten przycisk.
832:  Cze...
838:  Jesteś pewien o tym, Micah?
840:  Panie Morganie, nigdy nie myślałem, że bym był tak zadowolony, gdybym zobaczył twoją twarz.
844:  Byłem trochę samotny tu.
845:  Gdzie wszyscy inni?
848:  W old mining camp, znowu na ziemię.
851:  Chudzili się wokół wody, czekając na taty, żeby włożyć jedzenie na tabliczkę.
859:  Powiedziałeś wcześniej, że mamy za wielu małżonków.
863:  No, teraz mamy trochę mniej, więc powinieneś być szczęśliwy.
869:  To nie jest sprawiedliwe, Arthur.
870:  Zdjęłem moją część.
871:  Myślisz, że jest nieprawidłowne, byś oczekiwał, żeby inni robili to samo?
875:  Więc... to dom...
884:  Drzewa niebezpieczne.
891:  Witamy Oscara.
894:  Kojarzycie na czatach Hardcore Henry'ego?
895:  No dobra, ale powiedzmy, że sprawdziła się najstarsza zasada internetu, że jeśli coś jest, to na pewno ktoś to kojarzy, ale mechanika się nie przyjęła.
920:  W życiu nie włączę widoku pierwszoosobowego, musiałbym oszaleć.
925:  Nie znoszę widoku pierwszoosobowego.
928:  Jest nieimersywny!
934:  Dogoń.
935:  Dobrze.
941:  Wskaźnik zdrowia jest widoczny w lewym dolnym rogu ekranu.
944:  Z naszym zdrowiem nie jest za dobrze.
950:  Czemu z naszym zdrowiem nie jest za dobrze?
954:  Okej, zbliżam się do słupków, git.
965:  A, to jest jedna z tych gier.
966:  Dobrze.
968:  Pozwól, żebym to osiągnął.
978:  Nie chcielibyśmy spokoić tych świetnych ludzi.
981:  Ktoś tam się uśmiecha.
983:  Wy dwóch, wyłóżcie się.
984:  Jeden samolocny człowiek jest dużo mniej zaskoczony od tego, co się dzieje.
986:  Ale szanuję te efekty na śniegu.
988:  Micah, ja za tym samolocem.
991:  Arthur, weź ten stary śnieg na lewej i pozostań spokojnie, obie.
998:  Come on!
1000:  To jest wspaniałe!
1003:  Możemy zrobić jamnika.
1010:  Ej, ja prawie już zrobiłem jamnika!
1020:  Wejdź do obory i wciśnij Q. Mam bardzo złe przeczucia.
1026:  Czy to jest... Ja nie wiem, gdzie jest obora!
1032:  Skąd mam wiedzieć, jak wygląda obora?!
1035:  W życiu nie widziałem obory!
1037:  Jestem mieszczuchem!
1038:  Czy... To jest kibel chyba, tak?
1040:  To jest kibel najprawdopodobniej.
1044:  Mam... Tak, mam mapę i co z tego?!
1049:  Czy mapa jest pod M?
1051:  Ooo!
1053:  Moja gra!
1056:  Moja gra!
1059:  No wreszcie!
1061:  Legenda!
1062:  Świetnie!
1064:  Oznaczone postaci!
1065:  Można?
1067:  Można!
1069:  Można?
1070:  Można!
1073:  Własny wyznacznik trasy!
1076:  Świetnie!
1084:  Proszę, jaki krwisty ślad.
1096:  To nie jest obora?
1098:  Gdzie, gdzie jest obora?
1101:  Czy to jest obora?
1103:  To wyglądało jak obora.
1107:  Dlaczego nikt mi nie mówi, jak wygląda obora?
1113:  Aaa!
1114:  Żółty X, dobrze.
1122:  Czyli okej, czyli jeżeli jest coś na... Dobra, już czuję.
1125:  Jeżeli coś jest w napisach pod... na żółto... Aaa!
1131:  Ładnie.
1132:  To nie jest obora!
1137:  Czy ktokolwiek widział taką oborę?
1141:  W samouczku nie powiedzieli mi, że spacją się skaczę.
1151:  Wszedłem do obory.
1153:  Hello?
1173:  Przestali grać.
1177:  Skąd miałem wiedzieć, że Q?
1178:  A, użyj... użyj myszy, żeby poruszać kamerą, to mi powiedzą, ale...
1201:  Ale nie było podpowiedzi, że ku znaczy przykucnąć.
1210:  No dobra.
1213:  Okej.
1216:  Okej, okej, teraz tak.
1218:  Bardzo trudna rzecz, bardzo trudna rzecz.
1220:  Kto jest naszym wrogiem, a kto jest naszym przyjacielem?
1224:  Okej.
1232:  Powinienem był, zdecydowanie powinienem był to zrobić.
1237:  Mianowicie, stanowczo... Gdzie moje legendarne headshoty?
1248:  Okej, tu jeszcze ktoś jest.
1258:  O nie, ucieka!
1269:  Biegnę za bandytą!
1270:  Te emocje!
1271:  Te pościgi, te wybuchy!
1286:  Jest.
1288:  Tak sobie myślę, że powinienem był sprawdzić, jakie w tej grze wygląda sterowanie, zanim zaczną grać, ale ufałem, że samouczek będzie dobrze zrobiony.
1299:  To jest dobra muzyka.
1300:  Dobrze, to jest ten moment, w którym robimy... Czemu nie mogę zrobić zapisu?
1305:  Tu nie ma zapisu?
1308:  Jak to tu nie ma zapisu?
1309:  Skandal.
1319:  Nie nazywam się Arthur.
1324:  Podążaj za daczem.
1327:  To jest dacz.
1332:  Tak, oczywiście.
1333:  Ja, ja, ja wiem.
1334:  Ja wiem, Bartoszu.
1335:  Ja się właśnie w tej chwili uczę strzelać.
1336:  Dzięki temu, jak... Wiecie, będę zagrożony w życiu, to wtedy wcisnę prawy przycisk myszy i lewym będę strzelał.
1350:  Tak, tak będzie.
1351:  Nie zmyślam.
1354:  Dobra, tu się nic nie dzieje.
1356:  Zabierz.
1357:  R. Warzywa w puszce.
1360:  Czy to jest ten moment, w którym możemy zabierać absolutnie wszystko?
1374:  Wszystko biorę.
1381:  Co się stało?
1385:  Twój rdzenis zdrowia z czasem się opróżnia, jest obecnie pusty?
1389:  Co?
1398:  To jedna z tych gier.
1402:  Proszę, powiedzcie mi, że nie ma tutaj tak jak w Kingdom Come Deliverance, że trzeba wypić miksturę, żeby zapisać, bo wtedy...
1412:  Dobrze, zjem.
1425:  Tryb fabularny zapisz grę?
1430:  Nie można teraz zapisać gry ręcznie.
1437:  Ale to jest przecież logiczne, że trzeba wpierw tryb fabularny
1442:  Tak, jest bardzo lepszy.
1443:  Ładny kominek.
1451:  To mi się bardzo podoba.
1475:  Okej, to mi się jeszcze bardziej podoba.
1480:  Przypomina mi to tryb, który był w Tomb Raiderze wykorzystany.
1486:  To było dobre, mówicie, że nie trzeba jeść, żeby nie ginąć, to dobrze.
1490:  Jake and Jadie's Wedding, September 7th, 1896.
1495:  Krzysztof jest ślepy.
1504:  Okej, tak jest ciut lepiej.
1506:  To jest seventh?
1507:  Tak.
1508:  Okej.
1510:  To, to, to jest coś, co mi się wściekle podoba.
1518:  Szczerze mówiąc jest to o wiele fajniejsze niż ten tryb, że ooo, że teraz będziemy mieli taki tryb, uuu, że tak, będzie taki tryb, fajny tryb, że wciśniemy przycisk i wszystko się będzie jarzyć na czerwono i wtedy trzeba to zbierać.
1534:  R to czytanie.
1537:  Dobra.
1537:  Ale to wszystko widzę jest, albo pod R, albo pod Q. Już zaczynam się przyzwyczajać.
1541:  Ma to sens.
1543:  Zabierz, wszystko zabierz.
1548:  Mamy kukurydzę w puszce i warzywa w puszce.
1551:  Moi drodzy, to jest interes życia.
1558:  Ok.
1558:  Krew.
1560:  To niedobrze.
1562:  To nigdy nie jest dobry znak.
1566:  Ciiiicho tam!
1572:  No.
1573:  Aha, nie mogę odpowiedzieć, dobrze.
1580:  Witamy Wojciecha Jacka!
1583:  Eee, zabierz.
1589:  Ja lubię tego typu rzeczy, że jest taka slow-paced narrative, nie?
1595:  To ma swój urok, podoba mi się.
1597:  Co nie jest fajne, to przyciski kontekstowe, bo trochę się gubię, gdzie jest E, gdzie jest Q, a gdzie jest R.
1604:  Widzę, widzę.
1604:  Na drabinę wiedziony doświadczeniami, które mieliśmy w Wiedźminie.
1609:  Staram się na razie nie wchodzić.
1610:  Czy to się... Oczywiście, że to się da przeszukać.
1613:  Będziemy przez większość tej gry przeszukiwali różne rzeczy.
1616:  Proszę bardzo, portfel.
1618:  To oznacza pieniądze.
1620:  Dolar pięćdziesiąt dziewięć.
1623:  Wyobrażacie sobie, ile za to kupimy?
1626:  Mimik.
1627:  To nie byłoby dobre.
1628:  Czy to są zapałki?
1630:  To jest biżuteria.
1631:  Biżuteria, pieniądze.
1634:  Nie, biżuteria to nie są pieniądze.
1636:  To jest bardzo brzydka pani.
1640:  Ta pani jest odrażająca.
1645:  Dobra, gdzie jest najwłaściwszy widok?
1646:  Tutaj jest najwłaściwszy widok.
1648:  I to jest to, co ja lubię, tak?
1650:  To znaczy oddawanie graczom swobody.
1652:  Ktoś uważa, że pierwsza osoba jest imersywna?
1655:  Proszę uprzejmie.
1657:  Proszę uprzejmie.
1657:  Ktoś uważa, że nie jest?
1659:  Świetnie.
1665:  Cześć Dominiku!
1666:  Widzę, że Good Taste Grovy trwały najlepsze, Dark Saucy pokonane.
1669:  Tak!
1669:  Podstawka została pokonana wczoraj, ale jeszcze DLCki są planowane.
1674:  Znaczy, przepraszam, Nameless King tylko mnie pokonał, ponieważ jest niemożebnym chujem.
1682:  Ale!
1684:  Krzysztof się nie poddaje.
1685:  Powrócę.
1686:  Powrócę i spróbuję zmierzyć się z Nameless Kingiem po raz kolejny.
1689:  Still looking, Dutch!
1692:  Okej.
1693:  Zabierz!
1694:  Tak, chcemy ciastka owsiane!
1697:  Nawet mi nie mówcie o Midirze.
1700:  Midira zostawmy na przyszłość, tak?
1703:  Tak, zdecydowanie zostawmy na przyszłość.
1705:  Wydaje mi się, że w tej beczce coś może jeszcze być.
1707:  Nie.
1708:  Czy... Zszabrowaliśmy już wszystko, co się dało zszabrować?
1711:  Tak.
1713:  Czy w tej grze da się spaść... Cudownie, nie da się spaść z drabiny.
1719:  Te dobre czasy Rockstar Games przed remasterem GTA.
1722:  No właśnie już powiedziałem na początku złośliwie, że Rockstar kiedyś, a Rockstar teraz to są dwa różne Rockstar, zresztą tak samo jak CD Projekt Red, tak samo jak Blizzard i wiele innych.
1733:  Dobrze, czy to jest ten moment, kiedy ja się zgubię?
1738:  Tak, tu jest wygwizdów.
1744:  Frostpunk zasmakowany.
1745:  Ooo, znam Frostpunk, Dominik, znakomita sprawa.
1749:  Też wszystkim, którzy z was nie grali, polecam.
1758:  Ten temat, ten temat w Frostpunku.
1760:  The city must survive.
1761:  Boże, jakie to jest dobre!
1763:  Co się tak skradam?
1765:  Spokojnie, moi mili.
1766:  Ooo!
1769:  Ooo!
1774:  O!
1776:  Kocham tę grę.
1779:  Kocham tę grę!
1783:  A, czyli to jest stodoła!
1786:  Ja pomyliłem stodołę z oborą.
1792:  Witajcie wszyscy przybywający.
1795:  Kamera wyżej, bo zasłania.
1796:  Co wam zasłania kamera?
1798:  Co wam zasłania kamera?
1802:  Mogę, mogę dać ciut wyżej.
1804:  Stop.
1805:  Nie chciałem, nie chciałem... Absolutnie nie chciałem zrobić... A!
1808:  Tab jest zły.
1809:  Dobra, czekajcie.
1811:  Przeszkadza wam, pójdzie w górę.
1813:  Krzysztof, Krzysztof w tej chwili się wzniósł na wyżyny.
1822:  Krzysztofie, lutuj zwłoki.
1824:  Będą lutowane.
1830:  Ten chłopak strzelił mojego przyjaciela!
1834:  No to on się zaczął!
1836:  Będę zniszczył twój twarz!
1837:  Co tu się dzieje?
1837:  Ten chłopak mnie po prostu strzelił!
1845:  O o, teraz go strzelił.
1846:  Szalony mały chłopak.
1846:  Czy powinienem go zabić?
1847:  Nie.
1847:  Jeszcze nie.
1850:  Znajdź, co oni tu robią.
1854:  I gdzie jest Colm.
1857:  O, ten chłopak będzie mówić.
1864:  Gdzie jest Cuomo, Driscoll?
1868:  Z innymi.
1868:  W starym kamieniu w południowym mieście, w południowym mieście, blisko łóżka.
1883:  Co ty chłopaki robisz?
1884:  Dlaczego jesteś tu?
1885:  Zdecydujemy się, że zabijemy trochę samochodów.
1886:  Wszystko mi powiesz.
1887:  Nie wiem więcej niż o tym, powiem ci.
1891:  Legilimens!
1905:  Ale to jest piękne!
1906:  Takie walki na pięści, to ja rozumiem, tak?
1908:  To znaczy, nie ma takiej nieinwersywnej sytuacji, że Geralt jest wiedźminem od 150 lat i przegrywa w walce na pięści z byle wieśniakiem.
1917:  Okej.
1921:  Jasne.
1927:  Wesołych świąt!
1937:  Nie mo... Możemy tutaj palić w tej grze?
1939:  Powiedzcie mi, że możemy w tej grze palić.
1942:  Dobrze, chciałbym podnieść... A, broń się podnosi tubem.
1945:  Spoko.
1946:  Podnieś swój kapelusz zawsze, Fedora jest ba...
1949:  Dobra, dlaczego broń podnoszę TAB-em, a kapelusz R-em?
1960:  Ja mam zapamiętać te wszystkie sekwencje klawiszowe?
1967:  Eee... Eee...
1982:  Moja więź z koniem się powiększyła.
1986:  To wspaniale, mamy aktualnie lepsze relacje z koniem niż z ludźmi.
1996:  Czemu nie ma pikania po Nameless Kingu?
1998:  Ponieważ Nameless King nie jest winien niczemu, tak jak na przykład gigant był winien temu, że był beznadziejny.
2004:  Ponieważ Nameless King jest świetnym bossem, on został po prostu źle zaprojektowany.
2024:  Zmusić Krzysztofa do grania w gry na padzie.
2029:  Nie.
2035:  Dlaczego koń nie idzie szybciej?
2042:  O!
2042:  O!
2043:  Mam sojuszników na czacie z kamerą w Nainless Kingu.
2047:  Dobrze, yyy... Dobrze, dobrze, dobrze, dobrze.
2049:  Uuu, co znalazłem w sali?
2050:  Wild thing ate ya!
2050:  Leave her alone!
2053:  I wasn't doing nothing!
2057:  She's one of them O'Driscolls!
2060:  No she ain't, Micah!
2062:  Look at her!
2064:  Miss!
2064:  Miss!
2065:  Are you crazy?
2067:  I'm your fool, Micah!
2067:  O'Keej!
2068:  Miss!
2070:  Teraz wszystko będzie w porządku.
2072:  Myślimy o Tobie.
2072:  Nie ma problemu.
2073:  Pani!
2073:  Chodź, wszystko będzie w porządku.
2082:  Musimy wyjść z tutaj i szybko!
2083:  Chodź.
2083:  Jesteś w porządku, pani?
2084:  Oni przyjechali... 3 dni temu.
2090:  I mój ojciec... Oni...
2106:  W porządku.
2107:  Miss, teraz jesteś bezpieczna.
2113:  Nie możesz tu zostać.
2114:  Przychodzisz z nami?
2115:  Tak.
2115:  Wszystko w porządku.
2116:  Jesteśmy biednymi ludźmi.
2118:  Wszystko w porządku.
2118:  Wszystko w porządku.
2122:  Przejdźcie dalej.
2123:  Zostaniemy was bezpieczni, dopóki nie zrozumiecie czego chcecie zrobić.
2128:  Jak się nazywasz, Pani?
2133:  Pani.
2133:  Adler.
2134:  Adler.
2134:  Cindy Ann.
2135:  Pani.
2135:  Ja... On... On był moim mężem.
2141:  No mówicie, żeby się rozkoszować widokami, wreszcie się coś pali.
2147:  Jest cutscena, ja nie mogę zostać dłużej.
2158:  Hej!
2158:  Ktoś przyjeżdża!
2158:  Wygląda na to, że to Dutch.
2159:  Hej, wszyscy!
2170:  Dutch powrócił!
2171:  Nie mogłem się wyjechać!
2171:  Micah znaleźł dom, ale nie był pierwszy.
2174:  Colm O'Driscoll i jego skum nas zniszczyli.
2179:  Znaleźliśmy niektórych tam, ale jest o tym więcej.
2189:  Cześć Patrycy, witajcie wszyscy przybywający.
2192:  Dziękuję.
2192:  I to ostatnia rzecz, którą potrzebujemy teraz, duchowie.
2196:  Cóż, to jest to, co jest.
2197:  Znalazłyśmy... pewne sprzęty, pewne czapki, trochę jedzenia.
2200:  I tę żołądkę, Pani Adler... Pani Tilly, Pani Karen, czy mogłabyś ją oczekować?
2206:  Dla niej coś zjeść?
2207:  I Pani Adler, wszystko będzie w porządku.
2211:  Teraz jesteś bezpieczna.
2214:  Zróbili z niej żołądka.
2216:  Żołnierzy.
2218:  Potrzebuję odpoczynku.
2219:  Nie spałem już 3 dni.
2221:  Jesteś tutaj.
2222:  Pani O'Shea pokaże ci drogę.
2224:  Panie Morganie, włożyliśmy cię tutaj.
2227:  Dziękuję, pani Grimshaw.
2228:  Panie Bell, jesteście tam z chłopakami.
2231:  Co?
2231:  A jak Arthur otrzymuje dom?
2233:  A ja otrzymuję pokój koło Bill'a Williamsona i kilku Tarkinów.
2239:  Zatrzymaj się do domu.
2245:  Nie widziałam go w Dace.
2246:  Cień nie jest ostrożny.
2247:  Jest silny.
2247:  I jest mądry, przynajmniej silny.
2248:  Cześć, Arthur.
2251:  Abigail.
2251:  Arthur.
2274:  Jak się masz?
2277:  W porządku, Abigail.
2281:  A ty?
2281:  Muszę cię... Przepraszam, przepraszam, że zapytałam, ale... To mały John.
2287:  Zobaczył się znowu.
2288:  Nie widziałeś go w dwa... Dwa dni.
2292:  Twój John będzie w porządku.
2295:  Mówię...
2296:  Może być tak głupi jak kwiaty i tak głupi jak wiosna, ale to się nie zmienia, bo został pochłonięty w jakiejś śnieżnej szturmie.
2303:  Lepiej poszukaj.
2304:  Javier?
2305:  Tak.
2305:  Javier, czy możesz wyjechać z Arthurem, żeby poszukać Johna?
2310:  Jesteś jednym z naszych dwóch najlepszych mężczyzn.
2316:  I teraz?
2317:  Wszyscy... Wszyscy... Wszyscy się o niego bardzo martwili.
2320:  Wiem.
2322:  Ale sytuacja została zrównoważona i... szukali mnie.
2326:  Dziękuję.
2330:  Tą drogą, co wiem, John wyjeżdżał na rzekę.
2336:  Z wszystkim co wiemy, on ciągle jechał na południe i nigdy się nie zgadzał.
2344:  Nie wyjeżdżałbyś.
2347:  Nie tak.
2347:  Nie byłoby to pierwszy raz.
2352:  Cześć Knaro, witamy.
2354:  I dygresywnego wilka też czekamy.
2356:  Wojciech, cześć, cześć.
2362:  Hephaestion witamy takoż.
2365:  No moi mili, wspinamy się dalej.
2367:  Chociaż ja niestety nie mam żadnej kontroli.
2370:  Magic.
2374:  Zdrówko, zdrówko.
2376:  Moje jest nadszarpnięte.
2379:  Chodźmy, popatrzmy.
2387:  Spodziewajmy się, że nie ma jeszcze O'Driscollów, chłopaki.
2392:  Cóż... Czeka na kogoś ostatniego.
2394:  Wczoraj.
2394:  I... w ten sposób.
2394:  W porządku.
2397:  Są jakieś ruchy, prowadzące do rzutu.
2405:  Co polecam dla kogoś, kto chce się zapoznać z legendami arturiańskimi po polsku, jeśli łaska.
2409:  Łaska, jasne.
2411:  Weź na początek Sapkowskiego, świat króla Artura Maladie.
2420:  Okej.
2422:  Chcę zbadać ten obóz.
2428:  Aha, zbadanie obozu nie działa.
2434:  Jakie trasy idą w tę stronę, Arthur?
2439:  Wreszcie białe święta, dlatego gramy w gry wideo.
2442:  John?
