🔴 Jedi, który gapił się na kozy | JEDI: FALLEN ORDER Livestream #2
🔗 https://www.youtube.com/watch?v=ga7G53uCoiE

14:  Zasmucające informacje są zasmucające.
1485:  Smutna sprawa.
1489:  Ketamin pigeon jest ciekawa, jaka to herbata.
1491:  To jest herbatka, która się nazywa New York.
1496:  Biała czekolada, zielona.
1502:  Dźwięk zniszczenia, okej.
1505:  Więc wygląda na to, że nie jesteśmy w stanie tego grobowca w 100% wyeksplorować.
1514:  Mnożenia jeszcze nie umiemy.
1518:  Biała czekolada, zielona herbata.
1523:  False pool brzmi jak najoczywistsza rzecz, jaką powinien znać nawet początkujący Jedi.
1528:  No właśnie nie wiem, w jakim to jest wyjaśnione to, że nie znamy tych umiejętności.
1531:  To jest pytanie.
1533:  Mamy punkt umiejętności?
1534:  To jest świetna wiadomość.
1538:  Żadnego grobowca nie da się w 100% przejść za pierwszym razem?
1540:  Aaa.
1541:  Moja ulubiona książka nie fantasy, nie science fiction.
1543:  Ciężko byłoby wskazać, szczerze powiedziawszy.
1549:  Pewnie będzie to coś Umberta Eco.
1552:  Albo nie.
1553:  Zróbmy oryginalnie.
1554:  Życie i myśli jaśnie wielmożnego pana Tristrama Shandy, Lorenza Sterna.
1563:  I znowu winda w jedną stronę.
1565:  Tak, moi drodzy, ale jesteśmy teraz w innej sekcji.
1572:  Hal odciął się od mocy, żeby nie zostać odkrytym przez Imperium.
1575:  A. New canon bullshit.
1579:  Niszczyć.
1588:  Czy jest to, że coś mogę zniszczyć?
1592:  Niestety nie.
1600:  Kusia usłyszała, Tristran jest zdegustowana.
1602:  Spokojnie, to nie Tristran i Isolda.
1604:  To ten właściwy Tristran.
1605:  Tristran Szendi.
1608:  Czy bestiarusz polacki się pojawi dzisiaj?
1609:  Co wy, nie miałem czasu na... ...wymyślanie takich rzeczy kreatywnych.
1616:  Myśmy tu byli, prawda?
1620:  Tak, byliśmy tutaj.
1624:  Więc nie, musimy się wrócić po naszych śladach niestety, zła wiadomość.
1630:  A ja byłem taki z siebie dumny, że udało mi się coś odkryć.
1633:  Zawsze tak jest, jak jestem z siebie dumny, że uda mi się coś odkryć i natychmiast się okazuje, że jednak nie.
1640:  Nie mam pojęcia, prawdopodobnie musimy wrócić tą windą.
1650:  Przed wejściem do wioski podobno jest Steam.
1653:  Aha, winda nie działa.
1656:  Dawaj na Kashyyyk.
1656:  Tak zamierzam, ale niestety musimy przejść chyba tędy, żeby trafić na Kashyyyk.
1664:  Z jakimi JRPG małem styczność?
1669:  Chyba z żadnymi.
1673:  Tak, bo Nier Automata jest jeszcze przed nami.
1676:  Winda jednostronna.
1678:  To kompletnie nie dziwi.
1681:  Ale tędy... Nie przypominam sobie.
1688:  Aaa, nie byliśmy tutaj, ewidentnie.
1692:  Boże, co tu się dzieje?!
1694:  Aaaa!
1699:  Nic nie działa!
1701:  Czy Genshin jest JRPG-iem?
1702:  Nie powiedziałbym.
1703:  Genshin to jest gacza.
1706:  Tak!
1706:  Eee... Eee...
1717:  Aha, interakcja nie działa.
1724:  Interakcja nie działa, dobrze.
1726:  Przemedytujmy.
1731:  Odpocznijmy.
1733:  Fizyka lin powala.
1734:  Tak.
1736:  Tak, moi drodzy.
1737:  Te windy imperialne działają tylko w jedną stronę, nie to, co te... za republiki.
1741:  Dobrze.
1742:  Gdzie mamy iść w stronę... To jest prze... To jest... Wiecie, co jest zabawne?
1745:  Znalazłem przez totalny przypadek nasz statek.
1756:  Nie mam zielonego pojęcia, jak tam iść.
1759:  Wygląda na to, że prowadzi tam winda, ale inna winda.
1763:  Nie ta winda, przy której jesteśmy.
1765:  Jesteśmy przy złej windzie.
1767:  Chyba trzeba iść tędy.
1770:  Czy tędy do dobrej windy?
1772:  Nie wiem.
1776:  Boże drogi.
1777:  Tak, teraz się pogubiłem.
1779:  Chyba tędy.
1781:  Tędy albo nie.
1782:  Nie tędy.
1785:  Tędy?
1787:  Może tędy?
1790:  Tak, chyba tędy.
1792:  Naokoło.
1794:  Krzysztof zawsze się gubi, moi drodzy.
1800:  Nie chcę z nim drugi raz walczyć.
1803:  Widziałem.
1804:  Nie chcę z nim drugi raz walczyć.
1805:  Dobrze.
1811:  Teraz sprawdźmy, czy idziemy dobrze.
1817:  Trzeba będzie tylko zwyciężyć w walce z kozą.
1820:  Już wiemy, że nie jest to proste.
1827:  Aaa, tak!
1831:  Moi drodzy, chciałbym poinformować z radością, że powoli zwyciężamy w walce z kozą.
1844:  Dobrze.
1846:  Za moment będzie awans.
1850:  To tędy chyba, prawda?
1851:  Tak, tędy.
1855:  Czemu pasek mamy taki marny?
1857:  A ja to wiem, Taraelu?
1862:  Jak zobaczyć medialność świata?
1864:  Mam zadanie z socjologii, kultury i mediów.
1866:  Nie wiem, jak to rozumieć przy Dawid Wojacki.
1871:  Dziwne zadanie, szczerze powiedziawszy.
1876:  Medialność wedle różnych teorii to jest zapośredniczanie komunikacji za... w jakiejś platformie, prawda?
1885:  Nie wiem, może chodzi o światotworzenie.
1887:  Diabli wiedzą.
1888:  Punkt umiejętności to swoją drogą.
1895:  Krzysztof Niewalmi po prostu się w dungeonie zgubił, ależ oczywiście.
1898:  Korpomisiek zna mnie bardzo dobrze.
1902:  Wygląda na to, że teraz... Co się zgubił? !
1907:  Krzysztof się nie zgubił!
1908:  Krzysztof trafił!
1914:  Dobrze, ale teraz wydajmy sobie ten punkt.
1918:  Czy słyszałem o petycji do Netflixa, żeby zwolnić scenarzystów, by Cavill został w grubonej roli?
1921:  Słyszałem, nic to nie da.
1924:  Netflix się kompletnie nie przejmuje takimi rzeczami.
1927:  Masowe spowolnienie.
1928:  Ooo!
1931:  Bardzo dobrze.
1932:  Możemy szmoc.
1935:  Podczas sprintu i biegu po ścianie automatycznie odbijamy pociski.
1942:  Zwiększa maksymalne zdrowie, wiecie co?
1945:  Jakkolwiek chce więcej szmocy, zdrowie nam się przyda.
1953:  Niestety.
1955:  Bardzo jestem rozczarowany tym faktem, ale nie da rady.
1958:  Róża Izabela pyta, jakie wrażenia po Dragon Prince.
1960:  No i właśnie powiem Ci, że jestem rozczarowany, wiesz?
1963:  To znaczy, wspominałem już na poprzednim live'ie, który musieliśmy zerwać z uwagi na problemy techniczne, że strasznie nie podoba mi się to, że mamy tajemnicę Aravosa w tytule, a nie dowiadujemy się nic na temat tajemnicy Aravosa,
1979:  Tylko bait-baitują nas w nieskończoność i teraz będę czekał co dwa następne lata, żeby dowiedzieć się, jaka jest tajemnica Aravosa, a w międzyczasie miałem wątek słonecznych elfów, o których nikt nie prosił?
1988:  Ehh... Rozczarowany jestem.
1993:  Aaaaaaah!
2004:  Karneval Mephisto pisze, by pogratulować wykładowcy, który nie uznał za stosowne wyjaśnić zadania.
2008:  Tak, to jest zabawne, bo ja się zajmuję fizycznie światotwórstwem, zajmuję się teorią mediów, a nie mam zielonego pojęcia, o co chodzi w medialności świata.
2018:  W lipcu będzie następny sezon Prince'a.
2020:  Ooo, jak szybko!
2024:  Rozpieszczają nas!
2025:  To się nie rusza.
2034:  Wracamy na... Wracamy do statku.
2037:  Blisko mam Steam.
2039:  Gdzie Tomex?
2040:  Gdzie?
2043:  Nie no, jeżeli jest Steam to... A, tu nie byliśmy jeszcze chyba.
2047:  Zrujnowany hangar.
2050:  To brzmi jak coś, gdzie mógłby być Steampunk.
2058:  Tutaj nie możemy przejść, jest czerwone i zamknięte.
2062:  No właśnie.
2066:  Idź do góry.
2069:  Łatwo powiedzieć, trudniej zrobić.
2082:  Wiecie, nic tutaj nie jest zaznaczone.
2085:  A tych drzwi nie możemy otworzyć z jakichś względów, które są tuż obok.
2092:  Górska ścieżka.
2093:  Okej.
2095:  Jeszcze tutaj sprawdzę, bo... Nie, nie można tu wskoczyć.
2101:  To jest z muzyką?
2103:  Z jaką muzyką, moi drodzy?
2104:  Przecież jest... Drzwi są skrótem do wioski, okej.
2111:  Górska ścieżka.
2112:  No jest faktycznie tutaj coś takiego.
2115:  O, na gruż po prostu się zaczął oglądać koło czasu.
2117:  Skubane wkręcające plany, lepsze niż w innej produkcji Amazonu.
2119:  Tak, no to jest zabawne.
2122:  O, w porządku.
2123:  Co to jest?
2155:  Mmmmmm... To jaka skórka znowu!
2163:  Aaa, faktycznie tam coś jest.
2167:  Ale to są te drzwi, moi drodzy, których my nie możemy otworzyć.
2171:  To jest problem.
2175:  Krzysztof próbował się dostać tu, ale nie może.
2177:  Drzwi są zamknięte od drugiej strony.
2180:  Czy ukryty boss na tej planecie jest zrobiony?
2182:  Nope.
2185:  Więc wiecie, jeżeli ta ścieżka jest zamknięta, to nic nie zrobimy.
2192:  Musisz po dachu hangaru przejść.
2195:  Aaa, to ciekawe.
2198:  Pytanie, czy się tutaj dostać do tego dachu hangaru, czy na ten dach hangaru.
2203:  Chyba tak.
2206:  Ale nie tędy.
2208:  Może tam tędy?
2212:  Dobra, spróbujemy.
2217:  To by znaczyło, że trzeba pójść... O, o, o, o, o, o. Tutaj nie byliśmy.
2223:  Friliff czeka na niespodziankę.
2225:  Jakie niespodziance ma... Aaa, już widzę.
2232:  Już jestem przyzwyczajony do skawienik zasadzek.
2235:  Przestań, natychmiast przestań.
2240:  One się regenerują?
2242:  Przes...
2246:  One się regenerują?
2252:  Byłem już w ciemnej jaskini.
2253:  Czy to jest ciemna jaskinia?
2257:  Tak, to tutaj wydaje mi się, że byłem, ale nie wiem.
2261:  Tak czy siak idziemy na dach hangaru na razie.
2268:  Eee, mądre.
2272:  Czaty miały rację, odcinek 2137.
2289:  Dzieła.
2292:  Czy tego Steama odblokowaliśmy w ciemnej jaskini?
2294:  A to jest możliwe, oczywiście.
2296:  Ależ to jest satysfakcjonujące.
2304:  Tak, tu jest ta wioska, w której byliśmy wcześniej.
2307:  Czyli wygląda na to, że mamy wzięte leczonko, moi drodzy.
2309:  Fałszywy alarm.
2316:  Gdzie teraz fabularnie jesteśmy?
2317:  Nie mam źlonego pojęcia.
2319:  Wiem jedynie, że wszystko tu już zostało wyeksplorowane.
2325:  To co mamy możliwość wyeksplorowania, przy każdym razie.
2338:  Skoro przeszkadza ci brak Jedi w Andorze, czemu nie przeszkadza ci brak w Bad Batch?
2343:  Po pierwsze, nie mógł mi nie przeszkadzać z tego względu, że się pojawiają w pierwszym odcinku, konkretnie Sithowie, więc ja absolutnie nie.
2357:  Jest obojętne, moi drodzy, co są Jedi, czy to są Sithowie.
2359:  Dla mnie wyznacznikiem tego, że jestem w uniwersum Gwiezdnych Wojen,
