🔴 Potęga ciemnej strony szmocy | JEDI: SURVIVOR Livestream #5
🔗 https://www.youtube.com/watch?v=LcmpMFVK51Q

143:  muzyka muzyka muzyka
489:  Lotrana pisze jeszcze, że czas powoli przestać czytać niki.
493:  Kłamstwo i nieprawda, ale dziękuję Ci za wsparcie od roku.
496:  Jacek791100 podarował wspieranie kanału biernemu obserwatorowi, który jest z nami już od tak dawna, że ja nawet nie pomnę od jak dawna.
504:  Powinno być tak, moi drodzy, żeby pokazywało historyczne sprawiedliwości, ale prawda, że jamnik włóczkowy jest przepiękny, no powiedzcie, że jamnik włóczkowy jest przepiękny, własnoręcznie wydziergany, jak się robi takie rzeczy, to ja nawet nie wiem.
516:  Przecież to jest śliczne, to jest absolutnie prześliczne.
519:  Rodzina jamników powiększa się, moi drodzy.
523:  Widzicie, to jest sposób, żeby wyciągać mnie częściej z domu.
526:  Jeżeli się spotkam z kimś, stracę czas oczywiście w moim mniemaniu, przecież spotkania, które są zdalnie, są obiektywnie lepsze, ale jeżeli się pojawia jamnik, to nawet ja, nawet ja nie mogę powiedzieć, że tak jest spotkanie.
541:  Mogło być zrobione zdalnie, bo zdalnie jamników łuczkowego nie sposób otrzymać.
545:  Dziękuję jeszcze raz bardzo.
547:  Dobrej istocie, która podarowała.
549:  Nie znam ników.
550:  Widzicie, to jest problem.
550:  Przedstawiajcie mi się nikami, jak przybywacie.
553:  Jaki jest obecnie stan rodziny jamniczej?
555:  Jest mnóstwo jamników.
557:  Jest mnóstwo jamników.
558:  Zobaczcie wszystkie na tajemniczym streamie urodzinowym, który będzie we wtorek.
561:  I on będzie jakoś późno, o 20 z hakiem.
565:  Tak, bo ja kończę wykład o 20.20, więc to będzie jakoś 20.30.
567:  Nigdy jeszcze nie było tak późno streamu, ale podpowiem wam, moi drodzy, co będzie między innymi na tym streamie.
574:  W jaki sposób to zrobić, żebyście wiedzieli.
576:  Już wiem, jak to zrobić, moi drodzy.
581:  Oczywiście nie zadziałało.
584:  Mój panie, do obsługi tego urządzenia potrzeba kilku wyszkolonych inżynierów.
588:  A, nawet o 21 dałem.
590:  No, to była mała podpowiedź.
592:  Muszę się pochwalić, przejechała Sakura, pisze roleplay na Discordzie Spottera, moja postać jest ślizgonem, gardzi gry, fanami interesuje się czarną magią.
598:  Tak należy, moi drodzy.
600:  Tak należy.
601:  Kiedy było spotkanie w Łodzi?
603:  Spotkanie w Łodzi było w piątek bodajże, jeśli mnie pamięć nie myli.
607:  Jak chcecie i jesteście zainteresowani takimi rzeczami, moi drodzy, to na rzadko o tym wspominam.
612:  Dzisiaj mamy dużo ogłoszeń drobnych.
614:  To na naszym Discordzie to jest Holistyczna Agencja Eskapistyczna.
618:  Link w opisie.
619:  Link w opisie nie jest częścią nazwy Holistyczna Agencja Eskapistyczna.
622:  W zakładce, która jest okropna, to znaczy spotkania i konwent, już wam pokazuję, już wam pokazuję, nie niecierpliwcie się.
628:  Tutaj macie informację, tak?
630:  Spotkania i konwenty, proszę bardzo.
631:  Są zapowiedzi.
632:  Będzie też zapowiedź tego, że jestem na Pyrkonie, bo jestem na Pyrkonie.
635:  Chyba, że stanią się rzeczy i nie będę na Pyrkonie.
638:  Hehehe.
639:  Czy polecam grę Howl's Legacy?
640:  Oczywiście, że polecam grę Howl's Legacy.
642:  Jest dokładnie tak, jak sądziłem, to znaczy jest świetna.
645:  Ma oczywiście mankamenty, ale potem, jak zagrałem w inne tytuły, zobaczyłem, co to znaczy, jaka jest różnica między mankamentem, a tym, że coś jest zrobione beznadziejnie.
653:  Czy będę na Skierkonie?
654:  Też jest taki plan.
655:  Będę na pewno na... Znaczy, przyjąłem zaproszenia na Pyrkon, Skierkon i Dni Fantastyki.
661:  A, i jeszcze będę na Digital Dragons, więc jeżeli ktoś wpada na Digital Dragons, to jestem we wtorek, ale tam jestem ekstremalnie krótko i będę szybko uciekał, bo mam wykład potem.
670:  Nawigowanie po holistycznej agencji eskapistycznej pisze Nerihami jest jak nawigowanie po stronach uczelnianych.
675:  Jak każdy Discord, moi drodzy.
676:  Co na to poradzimy?
678:  Martyna pyta, co mówi złośliwy Jedi do Mandalorianinę, zgubiwszy się razem w lesie.
681:  This is the way.
682:  Tak.
683:  Tak.
683:  Tak.
684:  Tak.
685:  Spaniale.
688:  Jak tam zdrowie?
689:  Poproszę o inny zestaw pytań.
691:  Nie, moi drodzy, za każdym razem jak wychodzę, mamy tutaj się przedostać, tak?
697:  Główny cel.
697:  Jakoś strasznie daleko.
700:  Więc za każdym razem, jak wyjeżdżam i jem inne rzeczy niż moją dietę medyczną, to dzieją się niedobre rzeczy.
707:  Więc dlatego unikam odpowiedzi na to pytanie.
709:  Możecie mi wyjaśnić, co my tutaj robiliśmy i dlaczego ja nic nie wiem znowu?
718:  We Francji nauczyciel angielskiego w technikum spalił maturę uczniom, bo tak słabo im posłał w ramach protestu, by w systemie edukacji.
725:  Przypominam.
728:  że nieprzypadkowo, moi drodzy, mówi się, że należy się inspirować systemem edukacyjnym w krajach skandynawskich, a nie w takiej Francji.
736:  W takiej Francji jest bardzo podobnie jak u nas, a pamiętam, jak ktoś powiedział, o, Krzysztofa, a we Francji jest matura z WF-u, no, no, no to tak, no to wprowadźmy niezwłocznie, z pewnością, a, ja jeszcze proponuję, żeby wprowadzić akcenty diakrytyczne z języka francuskiego, koniecznie, a, i jeszcze koniecznie musimy mówić na komputer l'ordinateur.
754:  Cały świat mówi komputer, komputer i tak l'ordinateur, okej?
758:  Ordynator od dzisiaj to jest komputer.
760:  Więc jak idziecie do szpitala i mówicie, hej, potrzebuję ordynatora, to wtedy zamiast ordynatora szpitala przyjdzie do was na krótkich nóżkach laptop.
768:  Tak będzie, nie zmyślam.
769:  Memory, dzięki za trybut.
770:  Śle buziaki razem z licencjatami.
772:  Miło cię widzieć.
772:  Dziękuję serdecznie.
773:  Tak jest taki licencjatowo-magisterialny czas, moi drodzy, teraz.
779:  Czy Krzysztof się kręcił koło Parady Równości?
781:  Była wczoraj w Łodzi?
782:  Wczoraj?
782:  Ale wczoraj była sobota, pusienko, to już... Ja wtedy już zmierzałem w stronę pociągu, co w tym miejscu oznacza wstałem bardzo późno, po czym poszedłem na dworzec.
792:  O, tutaj zmierzałem, bo chcę wykorzystać jak raz, moi drodzy, system szybkiej podróży.
798:  Pytałem się o Skyward Sandersona, przeczytałem dwa tomy, jeszcze nigdy nie miałem syndromu jeszcze jednego rozdziału, pisze Gen Greyman.
802:  Polecany Skyward zatem jest, moi drodzy.
804:  Umiejętności, zobaczmy, jakie tutaj są.
807:  W drugim sezonie Rings of Power ma być szeloba.
809:  Jeszcze lepiej, mam teraz arachnofobię i będę mieć teraz nie tylko wszystkie inne mankamenty, które towarzyszyły oglądaniu Rings of Power, ale będę mieć jeszcze arachnofobię do tego wszystkiego.
819:  Ojej.
819:  Wojciech pisze, czy to normalne, że jest trybutariuszem, jego plakieta taka znika i nie jest widoczna w komentarzach na kanale.
825:  Może jest tak, że jest nieodnowione wsparcie.
827:  Wtedy zwykle tak jest, Wojciechu.
829:  Bo to niestety cholerstwo odnawia się co miesiąc.
834:  TheClever1 też dołączył do grona moderatorów i teraz wita grono moderatorskie.
837:  Patrzcie jaki chytry, chytry człowiek.
840:  Wita też siebie dzięki temu.
842:  Czy wciąż działamy na rzecz jamniczej zbiórki?
844:  Będzie trzeba zrobić jakąś nową jamniczą zbiórkę, Jakubie.
846:  I dobrze, że o tym przypominasz.
848:  Zrobimy coś takiego około wakacyjnego.
850:  Czemu by nie?
851:  A może zrobimy około czerwcowego na jakiś równościowy cel.
854:  Kto wie, bo czerwce jest miesiącem równości, więc fajnie.
858:  Czarodziej Spottera czy użytkownik szmocy, który lepszy?
861:  Zastanówmy się, kto może być lepszy, moi drodzy.
863:  No nie wiem.
866:  Drugi raz podpowiedź.
870:  Jest przejście kiedykolwiek, żeby jakikolwiek czarodziej z uniwersum Pottera w ten sposób mówił?
874:  No to macie odpowiedź automatycznie.
876:  Ja był na konferencji na Uniwersytecie Śląskim w czwartek, pyta Dawid Wojacki.
881:  Mmm...
884:  Powiem Ci tak, jestem nieprzyzwyczajony do tego, żeby moderator w połowie mojej wypowiedzi mi przerywał, gdy ja kontroluję czas i to precyzyjnie, więc to było dość zabawne, gdyż zostało mi jakieś, nie wiem, 20 slajdów, miałem idealnie wszystko wymierzone, ale skoro moderator chciał skończyć wcześniej, to Krzysztof powiedział, okej, okej.
906:  Challenge accepted.
908:  I powiedziałem całą resztę po angielsku na 20 slajdów, przeznaczając na jeden slajd 5 sekund i za każdym razem mówiąc dokładnie wszystko to, co chciałem, tylko musiałem bardzo przyspieszyć narrację w taki sposób, że mówiłem 10 razy szybciej niż w tej chwili, na co przepiękna sytuacja, ktoś z zagranicznego grona, jak wiadomo, kulturalnego i dobrze wychowanego, powiedział, to w takim razie ja pozwolę sobie moim pytaniem oddać ci czas, żebyś dokończył, co miałeś na myśli.
936:  Ale to było piękne!
937:  No, więc poza tym jednym zgrzytem bardzo spoko.
943:  Co sądzisz, że Ryfek będzie gościem na Skierkonie?
945:  Pita Vepolan.
946:  I teraz wychodzi, że ja oczywiście nie wiem, o kogo chodzi, nikogo nie znam, nic nie wiem.
951:  Tak to się dzieje, moi drodzy, właśnie.
953:  Silniejsze wstrzymanie albo... A, to jest wstrzymanie moczu.
958:  Jeżeli Jamnestis wybierze tę zdolność, będzie w stanie dłużej walczyć bez konieczności chodzenia do toalety.
965:  Czyli zupełnie tak jak polscy uczniowie.
967:  Będzie mieć supermoc w postaci mocnego pęcherza, a potem będzie mieć superchorobę w postaci problemów z derkami.
976:  Nieśmieszne.
981:  Przytrzymaj i podnieś cel i pobliskich wrogów.
984:  To jest ciekawe, ale weźmy potężne pchnięcie.
986:  Mieliśmy już to dawno wziąć.
989:  Aha, punkt umiejętności 2.
990:  Już wiem, dlaczego tego nie wzięliśmy.
994:  JustWhitely pisze, że nigdy więcej nie kupi wsparcia na Patreonie, jest to oskamowane po kupieniu moda umożliwiające granie w ADN, bo dopiero po zakupie mógł rozwinąć opis mówiący, że Steam only.
1003:  Ja w ogóle nie rozumiem serwisów typu Patronite, Patreon.
1005:  Dla mnie jak jest wsparcie na YouTubie czy na Twitchu bezpośrednio, to pff, okej.
1009:  Chyba, że ktoś rzeczywiście może coś ekstra dać, na przykład jak ktoś, nie wiem, załóżmy, dzierga przepiękne jamniki, tak, to wtedy może wysłać komuś wydzierganego jamnika, fajne.
1021:  Odpocznijmy i przenieśmy się, moi drodzy, tam, gdzie jest blisko nasz cel.
1026:  Ej, co to jest tutaj?
1028:  Aha, to jest modliszka.
1030:  Tutaj jest nasz cel.
1031:  Dobrze, to przenieśmy się w okolice.
1032:  Jezus, nie jestem w stanie tego zrobić, ja nie umiem komunikować się na tej mapie.
1039:  Ale Krzysztof, ona jest świetna, wybitna mapa, wybitna.
1047:  Czy będę grał w Boltgun na Wizji?
1048:  Będę grał na pewno na Wizji w... Bo rozumiem, że to jest coś Warhammerowego, tak?
1054:  Bo w planach jest Space Marine 2.
1057:  Brakowało strumyka, pisze Wierzping.
1058:  A wiesz, jak mnie brakowało wczoraj?
1062:  To nie jest dobra wiadomość, zwłaszcza, że jak wiemy dobrze, w naszej rzeczywistości jest zbyt dużo wymiaciń, zwłaszcza biorąc pod uwagę liczne powody ku rzyganiu, które mamy w grach wideo, które nieustannie wprowadzają ten trop, ale również bardziej metaforycznie z uwagi na naszą szarą rzeczywistość.
1084:  Moja pisze, że już tydzień się nie denerwowała na tę mapę, więc here we go again.
1088:  Ja też się tydzień nie denerwowałem na tę mapę, nawet... nawet troszeczkę... znaczy troszeczkę... nie, to ściśle tydzień.
1095:  Gdzie mam iść?
1097:  Aha, tutaj coś jest, moi drodzy, coś możemy zrobić.
1100:  Aaa... Teraz tak, to była spacja czy to było F?
1103:  Eee... Dlaczego mamy, moi drodzy... od razu...
1122:  Ale Krzysztof!
1125:  Żaby potężniejsze!
1128:  Mam nadzieję, że nie będzie dzisiaj żab, bo nie jestem na nie przygotowany psychicznie.
1136:  Czy ja mogę walczyć z jednym przeciwnikiem naraz, a nie z siedemdziesięcioma?
1139:  Dziękuję.
1144:  Nie chodź!
1145:  Masz moją szmoc!
1151:  Krzysztof ma swojego autora... faworyta na Eurowizji.
1154:  Krzysztof nie śledzi Eurowizji.
1156:  Ja nie jestem w stanie, moi drodzy, słyszeć tekstu piosenek.
1161:  Ostatnio znajoma mi odpaliła jakąś piosenkę po polsku i ja słucham, słucham mniej więcej jakieś 7 minut i pytam, ale w jakim to jest języku?
1174:  Więc właśnie.
1176:  Czy zajrzymy jeszcze kiedyś do Niuchaczowa, moi drodzy?
1180:  Kiedy nie możemy pójść do Niuchaczowa, Niuchaczowo może pójść do nas.
1185:  Taka prawda.
1186:  Coś jest dzisiaj popijane.
1188:  Dzisiaj jest nowa herbatka, moi drodzy, malina i cytryna, ale jeszcze stygnie, bo jest w radosnym kubasku.
1194:  I jest oprócz tego, zanim zapomnę, szejk malinowo-syropowo-klonowy z czymś tam jeszcze.
1204:  Powiedział ultraprecyzyjnie jak zawsze Krzysztof.
1208:  Ale się za wami stęskniłem czaty, no.
1210:  Bardzo.
1211:  Niedobrze jest, jak nie ma streamu.
1212:  Nie lubię takich sytuacji.
1214:  Przyzwyczaiłem się.
1216:  Paula pisze, że mam tę samą herbatę.
1218:  Aha, i prawda, że pyszna?
1220:  Fawio Klawiowo niedawno wprowadził.
1223:  W ogóle nie wiem, czy widzieliście, jest film na kanale Janka Śpiewaka na temat, bardzo mnie to ucieszyło, aż wiecie co, nie wiem, czy wam nie polecę go, na temat mojego ulubionego kanału sportowego, a ściślej rzecz ujmując, na temat nieuczciwego promowania alkoholu, wiecie, takiego wulgarnego lokowania produktu.
1242:  w polskim internecie i nie tylko, i przede wszystkim w branży influencerskiej.
1245:  To jest tutaj.
1246:  Zaczyna się od okropnej animacji na kanale Janka Śpiewaka.
1249:  Kanał sportowy czy sportowa melina?
1251:  Incydentalnie podobne mam refleksje po tym, jak pojawiły się na kanale sportowym materiały, które były denialistyczne wobec raportu na temat praw kobiet.
1261:  Bardzo, bardzo polecam.
1262:  Pyszna rzecz, się można podowiadywać.
1267:  I właśnie pięknie powiedział, to mi się strasznie podobało, bo to apropo WF-u.
1271:  Janek Śmiałak powiedział, że kanał sportowy sprawia, że sport się na powrót kojarzy nie właśnie z czymś dobrym, z ruchem, z radosną współpracą, z zabawą, z grą, tylko kojarzy się z jakimś starym Januszem, który chleje tuszkę w bambusach przed telewizorem.
1291:  Grażyna!
1292:  DAJ MI SKAWOWEGO!
1294:  No i to z tym się kojarzy, nie?
1297:  Taki obraz sportu, dziękujemy!
1299:  Znaczy to powinno odejść z takich... Dwa pokolenia za nami mniej więcej.
1306:  Na kanale sportowym jest też materiał o czacie GPT, jak to zobaczyłem śpiochem i strollowałem dalej.
1310:  Ja niestety zobaczyłem w całości i Krzysztof Stanowski w dalszym ciągu nie przetworzył informacji, która jest na dole czata GPT, to znaczy to nie jest Google.
1318:  i miał takie... On źle mówi.
1321:  No tak, bo to nie do tego służy.
1322:  To jest mniej więcej tak, jak ja bym, moi drodzy, wziął niuchacza i zaczął niuchaczem jeść zupę, nie?
1329:  Ten nos jest duży, więc teoretycznie da radę, nie?
1332:  Jeść zupę i... To nie działa!
1334:  Aaaa!
1335:  Żła łyżka!
1337:  To jest poziom codziennikarzy w Polsce, moi drodzy.
1341:  Wielkich intelektualistów.
1346:  Proszę się od dyskiego odczepić.
1350:  Piwo jest, moi drodzy, dobre, ale próbowanie go w takim stylu już nie.
1355:  Czym u niuchacza niejamior?
1356:  Jakoś mam pod ręką niuchacza, ale niejamior też jest, moi drodzy.
1359:  Co mam tu zrobić?
1362:  Co mam tu zrobić?
1364:  Czy myślicie, że to się źle skończy?
1369:  Tak.
1374:  To się źle skończyło.
1376:  No słuchaj, Aris Berserka, tekst jest całkowicie wymyślony językowo, nie będziecie chupa bola, że nie słyszę, jak pięknie śpiewają.
1381:  A to poproszę, Nadio Linczek, na naszym Discordzie radosnym.
1386:  Tak, tak, tak, to standard.
1396:  Generalnie rzecz biorąc, moi drodzy, wiadomo, jeżeli chodzi o nasze wybory dotyczące tego, co pijemy, co wdychamy, co palimy i tak dalej, wszystko git, ale w momencie, w którym ktoś zaczyna to promować w sieci, to wiąże się z tym pewna odpowiedzialność.
1410:  Moje ulubione ćwiczenie na siłowni?
1414:  Ja tego wam nie pokażę, bo nie mam jak, ale wyciąga się jedną rękę w tę stronę, a z drugiej strony symetrycznie wyciąga się nogę i usiłuje się utrzymać poziom tak, żeby rzeczywiście to było poziome i długo.
1426:  No i też lubiłem planka robić zawsze.
1428:  Co ja jeszcze lubię robić?
1431:  Bardzo lubię robić skłony.
1433:  Bardzo lubię robić przysiady.
1435:  W sensie z obciążeniem.
1438:  Nie znoszę robić pompek.
1439:  Nigdy nie lubiłem robić pompek.
1440:  Pompka okropność.
1446:  Czyli z tego, co widzę, mamy przerąbane, moi drodzy.
1451:  Dobrze.
1452:  Okej, udało się.
1455:  Sprzejpień przysiadów w życiu.
1457:  Ja robię, moi drodzy, wszystkie ćwiczenia z wykorzystaniem dodatkowego osprzętu, który podciąga siłę moich mięśni w ramach AMS-u.
1466:  Plank przybliża człowieka do idealnej formy jamnika, tak.
1469:  Przepiękny efekt wizualny, widzieliście to?
1471:  Cudowny efekt wizualny, zachwycony jestem nim.
1474:  Wiecie, że to się skończy bardzo źle?
1476:  To się skończy bardzo źle.
1477:  Okej, to się nie skończyło bardzo źle.
1481:  Byłam w kinie na Rycerza Zodiaku, trochę nudny.
1483:  Będzie recenzja jutro.
1484:  Bardzo zły film, moim zdaniem.
1489:  Madalina Grogu pisze, że robi pompki na Stunitz w 15 minut 15 pompek.
1492:  Szanuję.
1492:  Szanuję.
1495:  Ja długie lata robiłem pompki źle.
1498:  Ta gra ma brzydkie napisy.
1500:  Wiesz co, można to regulować, ale szczerze powiedziawszy, my mamy napisy z tego względu, żebyście widzieli na telefonach, nie?
1508:  Więc je można wyregulować gdzieś, nie pamiętam gdzie.
1510:  Jest wielkość napisów, pewnie właśnie przeleciałem i nie widzieliście, ale można to regulować.
1518:  Więc to jest tylko pod kątem naszych radosnych czatoników na urządzeniach mobilnych.
1523:  kto poszedł na Rycerza Zodiaku, ja nawet jako fan sobie odpuściłem.
1525:  Wiecie dlaczego poszedłem na Rycerza Zodiaku?
1527:  Ponieważ za każdym razem, kiedy ktokolwiek mówił cokolwiek na temat Wiedźmina, to Tomasz Bagiński mówił, spokojnie, ja pracowałem nad Rycerzami Zodiaku.
1535:  To będzie leitmotiv tej recenzji, która się zbliża.
1537:  Może ją nagram nawet dzisiaj po streamie.
1539:  W zależności od tego, jak bardzo mnie na NRG zoptyzujecie, więc tak, zrzuciłem właśnie na was odpowiedzialność, jak zawsze.
1546:  Tak, ale spój graficznie.
1548:  Generalnie zauważcie, że jeżeli chodzi o fajerwerki graficzne, to teraz jest troszeczkę słabo.
1553:  ponieważ skupiono się bardzo na raytracingu jako nowej technologii, ale jakby zapomniano, że tekstury też są ważne, nie?
1562:  Poziom trudności mamy?
1563:  I zły?
1563:  Dlaczego mamy zły poziom trudności?
1564:  Gdzie ma się poziom trudności?
1566:  O Jezus Maria, teraz zauważyłem.
1569:  Dramat.
1571:  Okej, nie tędy.
1573:  Nie tędy.
1574:  Tak nie pamiętam, przy jakiej okazji to robiliśmy, bo jakieś dziwne rzeczy się działy.
1579:  No i widzicie, znowu nie wiem, gdzie iść.
1581:  Co ta gra?
1584:  Czeroni makaroni przesuwa energię.
1585:  Bardzo dziękuję.
1586:  Energia jest potrzebna.
1587:  Emeruje się, powinien iść na Rycerze Zodiaku.
1589:  Jest sceptyczna do aktorskiej aktywizacji mangi i anime.
1592:  Jest bardzo źle.
1594:  Na Across the Spiderlands czekam.
1595:  Tak, bo to jest animacja, a Rycerze Zodiaku to jest w animacjum.
1601:  Vedax pisze, że właśnie obejrzał ostatni odcinek serii Niefortunnych Zdarzeń.
1606:  Musi przyznać, że obawiam się niestatysfakcjonującego zakończenia.
1608:  Jest mile zaskoczony.
1609:  Jest naprawdę dobrze.
1610:  A jak ci się spodobało, to jeszcze polecam wersję książkową.
1614:  Dobra, dobra moi drodzy, nie ma to... Aaa!
1619:  Myślicie, że tędy?
1622:  Otóż tak.
1623:  Otóż tędy.
1625:  Czyli tutaj trzeba prawdopodobnie przeskoczyć na drugą stronę.
1630:  Pytanie, studia ze światopustaw dają jakąś konkretną pracę w branży growej?
1633:  Żadne studia nie dają ci konkretnej pracy.
1635:  Studia ci dają skillset i studia ci dają możliwość kontaktu ze społecznością ludzi, którzy są na podobne rzeczy zajawieni.
1641:  Nie dajcie się łapać, moi drodzy, na ulotki informacyjne uczelni, gdzie mówią, że no tak, pójdziecie na to studia, to będziecie tym, a tym.
1648:  A już największym, największym oszustwem jest podawanie zarobków do absolwentów.
1655:  No fajnie, fajnie można sobie to zeskalować wtedy.
1662:  Jak zawsze spojrzałem na czaty w momencie, w którym działy się tutaj ciekawe rzeczy.
1667:  Rycerze Zodiaku to poziom Ality Battle Angel?
1669:  Chciałbyś logo?
1670:  Ality Battle Angel to był świetny film.
1672:  Rycerze Zodiaku nie mają nawet startu do Ality Battle Angel, więc jeżeli ci się nie podobała Ality Battle Angel, trzymaj się z daleka od tego filmu.
1679:  Panowski film o Obi-Wan jest zmontowany jak serial z poprawionymi efektami.
1682:  Canobie Trials of the Master?
1683:  Słyszałem o tym.
1684:  Podobno jest lepszy od tego, co zrobił Disney, ale to nie wydaje mi się jakoś ekstremalnie trudne.
1688:  Urszula pisze, że gra ją trochę przeraża pod kątem przestrzeni i spadania.
1691:  No, jeżeli ktoś ma agorafobię na przykład, mogą się dziać rzeczy.
1697:  Drogi drogi drogi drogi drogi drogi drogi drogi drogi drogi drogi drogi drogi drogi drogi drogi drogi drogi drogi drogi drogi drogi drogi drogi drogi drogi drogi drogi drogi drogi drogi drogi drogi drogi drogi drogi drogi drogi
1721:  Nie mam pojęcia, o kim mówią.
1731:  Jak to jest, pisze Dawid Wojacki, że pod 12 latach edukacji nie jak szukać pracy, a macie coś takiego, jak jest w edukacji amerykańskiej, to znaczy porady zawodowe?
1740:  No nie.
1741:  Być może dlatego.
1746:  Oj, oj, oj.
1748:  Dlaczego za każdym razem robią takie okropne rzeczy?
1751:  Czekajcie.
1753:  Co ja mogę zrobić?
1753:  Ja mogę mu rozkazywać?
1755:  Uuu!
1757:  Pierwszy raz to zrobiłem!
1758:  Nie wiedziałem, że ludzi też mogę.
1763:  Eee!
1764:  Jak śmieszny!
1765:  Jesteś mój!
1773:  Skandal.
1777:  Look for an opening, powiedzieli.
1778:  Fajnie.
1780:  Au.
1787:  Au.
1787:  Dobra.
1789:  Koniec tego dobrego.
1793:  Jakim cudem w trakcie spowolnienia czasu zdołał mnie jeszcze walność?
1797:  No nie mam zielonego pojęcia.
1803:  Au.
1804:  Co tu się dzieje?
1809:  Ależ mnie denerwuje to, że nie ma możliwości zablokowania ataku w takich sytuacjach!
1819:  I oczywiście szmoc nie została wykierowana tam, gdzie powinna była.
1827:  Może to trochę za dużo ich jest, nie uważacie?
1830:  Bo ja tak uważam.
1831:  Bo ja tak serwuję.
1834:  Co tu się dzieje?
1836:  Jeszcze nie mam szmocy, no skandal.
1838:  Aaa!
1844:  Wszyscy zginęli.
1853:  Dobrze!
1856:  Myśmy wprawdzie też zginęli, ale co tam.
1859:  Ale przynajmniej było widowiskowo.
1861:  Myślicie, że to jest też dobre na żaby?
1864:  Wykorzystamy to.
1866:  Kim jest ten człowiek?
1880:  Bardzo dziwne.
1884:  Au.
1886:  Ilu ich tu jest?
1888:  Aha, fajnie, fajnie.
1890:  Au.
1893:  Dobra, jak jest taka zgraja przeciwników, to ja nie umiem w żaden sposób parować.
1899:  Czy dość dobrze mi się podobał Kenobi?
1902:  Nieee!
1902:  Degusty był znany z Disputandum, jeżeli ktoś się cieszy i raduje z jakiegoś serialu, to super, ale to wcale nie oznacza, że on musi być na przykład dobry czy lepszy, nie?
