🔴 Somehow, Dachshund Returned | JEDI: SURVIVOR Livestream #1
🔗 https://www.youtube.com/watch?v=FPAyUrL6j2s

37:  Dzięki.
618:  I to wszystko jest przewidziane o tyle, że świątynia Jedi była zbudowana w miejscu mocy Medalion Drży i to było miejsce ciemnej strony mocy, ale Jedi ustarali się je w jakiś sposób oczyścić, no i nie wyszło.
640:  Delikatnie rzecz ujmując.
641:  W związku z powyższym, szef Palpatiny, wznosząc Pałac Imperialny, sprawił, że miał dostęp do neksusa Ciemnej Strony Mocy przy okazji.
649:  Dużo Jan Nikołajów, prawda?
651:  O Boże, bo jeszcze Guni jest Jan Nikołajem, a tutaj się produkuje nadmatrzliwa Palpatina, a Guni 20 osobom podarował.
657:  O bogowie, Iggy, Logol, Niadoris, Rujkary, Piotr z Żółw usunięto, Jaga, Fanny Valentine, No One, Venzant.
667:  I, bo jeszcze wcześniej było... Boże, nie przeczytam wszystkich, to straszne jest.
673:  Dopiero teraz napływają, moi drodzy, wsparcia.
675:  Dziękuję serdecznie Iguni3353, Agnieszce Saran, za bycie jam Nikołajami, moi drodzy.
681:  Czy będziemy mieli ładny, biały Miecz Świetlny?
684:  Zobaczymy, moi drodzy.
685:  Mieliśmy ostatnio złoty Miecz Świetlny.
687:  Haha, i było pięknie.
693:  A bo widzisz, Guni, mnie się dwa razy pokazało, że podarowałeś wsparcie, to może dlatego.
697:  Dziwne sprawy.
698:  Zobaczcie, jakie to jest śmieszne i głupie.
701:  Teraz zobaczcie, jakie to jest śmieszne i głupie, że wyświetla mi się dwa razy.
704:  Nie wiem dlaczego.
705:  Absurdalne kompletnie.
707:  Ale wiecie co, ja już się przyzwyczaiłem do absurdów, które związane są ze streamowaniem na YouTubie, ale i tak nigdy w życiu mnie streamował na Twitchu.
715:  Absolutnie nigdy, pod żadnym pozorem.
719:  Druga pozycja w menu historii Jedi to jest ten film chyba, tak?
724:  Naprawdę?
729:  Zobaczymy, moi drodzy.
732:  Bo ja na razie nie mam żadnego menu.
739:  Czy to jest zniszczony Holokron?
740:  I Amnestys.
758:  Byłem sam od dłuższego czasu.
761:  Byłem obawiony, że znajdą, kto ja jestem, czy co ja jestem.
764:  I nie jesteś sam.
765:  Nie jesteś już.
768:  Hej, BD-1.
769:  BD-1!
769:  Zróbcie się, mój chłopie!
771:  Myślę, że jest czas, by dowiedzieć się, kto ja jestem.
774:  Kilka bombów nie zabiją cię, chłopie.
778:  Meryn, prawda?
780:  Spędziłam lata, czekając na szansę, by zniszczyć moich siostr.
783:  Wiem, jak to jest, żeby stracić wszystko.
786:  Niemcy i Jedi nie pojeżdżają razem, ale... ...współpracują z nami.
790:  Pamiętam.
792:  ...współpracujemy z nami.
794:  Świat ma taką dziwną drogę, w której nikt się nie zgłasza.
801:  Wychowujemy granicę 66.
808:  Wszelki Jedi spotkają się z mrokiem.
810:  Możemy zbudować coś innego.
817:  Zostawię cię też.
818:  Nie możesz zatrzymać Imperium!
822:  Jestem teraz silniejsza z powodu bólu.
829:  Taka grzecz.
834:  Nie jest to koniec.
836:  Jest to potrzebna część drogi.
838:  Myślisz, że zawsze przeżyjesz w tych, którzy nadal walczą?
845:  Nigdy nie zapomnę.
846:  Będę szanował twoje nauczanie i twoje poświęcenie.
851:  Z prawa księdza, Cal Kestis.
853:  Znajdź mnie w nocy.
854:  Pamiętaj, wierzę tylko w władzę.
858:  Więc gdzie teraz?
867:  Gold.
872:  Róż poodpiszę, że się poddaję.
874:  Spokojnie, to jest tylko moja niepamięć.
879:  Ojwader to był nasz Dedy, macie rację, absolutnie.
883:  Rozkaz został wyegzekwowany, tak było, moi drodzy.
886:  Zrobili coś specjalnie dla Krzysztofa, nie trzeba pamiętać.
888:  Prawda, jakie to miłe?
889:  Ja w ogóle uważam, że na początku każdego drugiego tomu powinien być skrót pierwszego tomu.
894:  Absolutnie jest w porządku.
895:  Krzysztofie, kiedy masz urodziny?
896:  Robimy 16 maja Jam Nikołajki, znaczy to nie będą Jam Nikołajki, to będzie tajemniczy stream urodzinowy.
903:  I wtedy gramy zwykle w gry, w które nie gramy zazwyczaj, więc możecie już się domyśleć, co zagramy.
910:  Natomiast na konsoli nigdy nie będę grał, ponieważ konsole mają obrzydliwy, ohydny i odrażający, wstrętny kontroler, którego nigdy w życiu nie użyję.
920:  Jakub Olfier jest Jamnikołajem.
921:  My nie zaczniemy grać!
924:  Dziękuję za wsparcie Jakubie i za bycie Jamnikołajem.
928:  Hao Asakura, Marcin Turszmit, Stupid Thingy otrzymali jako i Kwak Art i Jędrzej Molenda wsparcie od Jakuba Olfiera.
937:  Dziękujemy!
938:  Oczywiście, że szkaluje o konsolę.
940:  Po to, moi drodzy, jest multiplatformowy, żeby można było cieszyć się grą na każdym sprzęcie, a jeżeli ktoś ma niedowład rąk i nie jest w stanie obsługiwać kontrolera, to nie powinien musieć.
952:  Dobrze.
952:  Historia Jedi, upadły zakon.
954:  A jeżeli chodzi o opcję szybko i na wspomnienie nieodżałowanej pamięci, nie Spiffing Brita, tylko Cynical Brita,
963:  Tutaj macie ustawienia graficzne, tak?
966:  A, nie chcę pełnoekranowego, tylko chcę... A nie, dobrze, jest pełnoekranowy, jest w oknie.
972:  Więc to są nasze ustawienia.
973:  Mamy wszystko włączone, co się dało.
975:  Nie ukrywamy jedynie HUD-u, bo po co?
980:  Poziom trudności jak w Jeśku?
981:  Nie zamierzam grać na innym niż trudny, no bo już graliśmy w Fallen Order, nie?
987:  Taniej kupić konsolę niż lepszać komputera dla porównanego wyniku, a to na pewno, tylko że wiecie, zupełnie tak szczerze mówiąc, mój use case jest absolutnie w przypadku konsoli beznadziejny i od razu Wam podam konkretny przykład.
997:  Prowadzę zajęcia i mówię, a w sumie bym odpalił Wam jakąś grę, odpalam grę na konsoli, 10 minut później, odpalam grę na swoim sprzęcie, 10 sekund później, względnie, odpalam jedną grę, ale w sumie to to jest jeszcze inna i odpalam drugą grę równocześnie, powodzenia ze zrobieniem czegoś takiego na konsoli.
1015:  To jest sequel Fallen Order, cytrusowy lunatyku, jak najbardziej tak będzie.
1018:  Jest książka, jeszcze dodaje Szymon Rogowski, opowiadająca o wydarzeniach dziejących się między Fallen Order a Jedi Survivor, Battle Scars, więc jak ktoś chce więcej historii Kala i ekipy, to tam, dobrze wiedzieć.
1032:  No przecież ja zwariuję, no... przecież mieliśmy to już.
1035:  Pomiń.
1047:  Dobrze, czy na tym etapie już zaczynamy mówić o błędach w UI-u, tak, i w User Experience Design, tak, że... Okej.
1057:  Wielki Mistrz, czas na sparowanie, czy Mistrz Jedi?
1061:  My jesteśmy Mistrzem Jedi, nie jesteśmy Wielkim Mistrzem Jedi chyba.
1066:  Josh Whitely pisze, że też tak zrobił.
1072:  Martwi mnie ten czas na sparowanie, nie?
1074:  Znaczy on jest strasznie... Bierzemy Mistrza Jedi.
1077:  W składówki użycie mocy, bo jednak to jest stream.
1080:  Przemieszczanie się... O!
1083:  Sygnalizator zagadań głównych celów.
1086:  Można go w dowolnym momencie włączyć lub wyłączyć.
1087:  Okej.
1088:  Pomijanie dialogów.
1090:  Naciśnięcie F pominie kolejną linię dialogową.
1092:  Nie pomijamy żadnych dialogów.
1094:  Rozpoczynamy nową przygodę.
1098:  Dobrze.
1100:  Dlaczego mi się wyświetla Spotify?
1102:  Nie chcę, żeby mi się wyświetlał Spotify.
1103:  Rozpocznij nową przygodę, wcisnąłem.
1106:  Aha, przepraszam, mysz nie działa.
1108:  No oczywiście, że mysz nie działa na grze zrobionej pod pecety.
1112:  O!
1112:  Nulnvis, dziękuję za wsparcie, dzięki za polecenie podcastu Dwóch Lewych Rąk.
1116:  Swoją drogą, jest bardzo dobra analiza na dwóch lewych rękach, z wczoraj bodajże, czy z dzisiaj, sytuacji geopolitycznej na linii Ukraina-Chiny, bardzo polecam.
1125:  Dobrze, wybierz Enterem, trzeba kliknąć.
1131:  Ło!
1133:  Okej.
1135:  Tego się nie spodziewałem.
1136:  Moi drodzy, tryb imersji.
1147:  Kaczorze, ozdobu dziękuję za wsparcie od siedmiu miesięcy.
1151:  To jest, moi drodzy, Jamnestis we własnej osobie, we własnej rudej osobie!
1162:  Jamnestis jest zamyślony, patrzy aż po horyzont na planecie Kurosan, gdzie zalegli Sithowie.
1186:  Jamnestys dalej wpatrywał się aż po horyzont, nie wiedząc co pomyśleć i co powiedzieć.
1192:  Przysłuchiwał się muzyce, która naśladowała Johna Williamsa, ale nie przygrywała mu ona.
1199:  Słyszeli ją jedynie ci, którzy go obserwowali, w creepy sposób stojąc za jego plecami.
1217:  Jamnestys przypomniał sobie wtedy o swoim wspaniałym balwieżu, który ułożył mu czubrynę tak, że nawet wiker na Kurosan jej nie był w stanie roz... wiać.
1233:  Jakubie Sitkiewiczu, dziękuję za wsparcie.
1236:  17 maja, premiera Trzeciego Domu Takeshiego.
1238:  Kama Greenberg jest Janem Nikolajką.
1241:  Lavados, Kamil Dampc, Just Whiteley, pan Karmazny Bookworm otrzymali od niej wsparcie.
1247:  Dziękujemy bardzo.
1249:  Mój drodzy... W dół.
1253:  W dół Kurosan, tak?
1254:  W tej grze George'a Lucas'a, która nigdy nie wyszła.
1258:  Zdążamy.
1262:  aby poznać sekrety, które kryją się pod powierzchnią, więc metaforycznie w głębi.
1267:  W głębinach planety, do których zmierzamy niestety.
1274:  A tak naprawdę to jest po prostu ukrycie bardzo długiego czasu ładowania.
1283:  Teraz zmieniliśmy setting z science fiction na cyberpunk.
1296:  Tak naprawdę Jedi Survivor to jest niemy film.
1301:  Przez cały czas będziemy tylko obserwować, co robi Amnestys, zachwycać się jego wzdłużonym ciałem i zastanawiać, kiedy zamerda na widok Dadiego Vadera.
1313:  Krzysztof, całą grę przyszedł, teraz oglądamy negatywne zakończenie.
1316:  Tak.
1316:  Wierzę w rumorze.
1319:  Jedi...
1328:  Okej.
1330:  Cóż za senator.
1339:  Widzę, że jesteśmy potężnym rycerzem Jedha i już na samym początku obrywamy od jakichś kompletnych pachołków.
1345:  No dobrze.
1350:  No zobaczmy, jak to jest z tymi klatkami, o których mówiliście.
1353:  Ojej, moje 87 FPS-ów, moje 90 FPS-ów płacze.
1364:  Czy ktoś umie przetłumaczyć to, co jest na tym billboardzie?
1370:  Nikt nie umie przetłumaczyć, co jest na tym billboardzie.
1372:  Ja powinienem przetłumaczyć, co jest na tym billboardzie.
1375:  Co by się stało, jakbyś zawrócił?
1377:  Łooo!
1378:  Ej, typie!
1382:  Jakie chamstwo!
1386:  Nie robi się takich rzeczy.
1390:  W ogóle moja mysz jest zablokowana, nie mogę się rozglądać.
1396:  Skandal.
1398:  Ojej, ale co jeżeli bym chciał zjeść cokolwiek tutaj jest?
1401:  To są same puste opakowania.
1403:  Dramat.
1405:  Czy to oznacza, moi drodzy, że powinienem już przyznać jedną śmierć Jamowi Nestisowi?
1415:  Szczury!
1415:  Tak!
1416:  Tak!
1417:  Szczury!
1418:  Tak!
1418:  Wszędzie szczury!
1419:  W Kurosan też szczu... Pod Imperium!
1425:  Tak, bo Imperium Galaktyczne też ma swoje...
1432:  Tak było, moi drodzy, nie zmyślam absolutnie.
1447:  Czy w Galaktyce Zgiezdnych Wojen też są sklepy spożywcze?
1449:  Najwyraźniej pełcio są.
1451:  Słuchajcie, w ogóle zmienię sobie mikrofon, tak?
1455:  Ja pamiętam, że po tych dziwnych szynach już się zsuwaliśmy, moi drodzy.
1459:  Jakby spadały klatki, to wyłącz ray tracing.
1462:  Po co ja mam ten ray tracing, skoro ciągle muszę go wyłączać?
1467:  A dobra, jeżeli będzie to zauważalne, to mi dajcie znać, tak czy siak.
1469:  O, proszę bardzo, tu jest mesa, moi drodzy.
1472:  W mesie się je.
1477:  Proszę bardzo, są już szturmowcy, ale jeszcze nie możemy ich zabijać, co za rozczarowanie.
1481:  Czy jeżeli pójdę w to miejsce i nie ruszę się stąd, to ktokolwiek zareaguje?
1488:  Otóż nie.
1490:  A powinien.
1493:  Dobrze.
1494:  Proszę nie nazywać Skavenów creepami, moi drodzy.
1499:  Skaveni to jest szlachetny lud, szczuroludzi.
1502:  W moim Warhammerze fantazy Skaveni przegrali wojnę z Imperium i nie były lidli, co potężny pisze.
1507:  PRZESTAŃ MNIE POPYCHAĆ!
1511:  Szkolne doświadczenie be like.
1513:  Każdego hendorzonego dnia.
1517:  Tymczasem nauczyciel.
1518:  Pokućcie się, dzieci, dzieci!
1521:  Nie bijcie się!
1522:  Ale ja mam związane ręce i tylko mnie popycha... Dzieci, dzieci, dzieci!
1526:  Tak, podajcie sobie ręce na zgodę, tak?
1530:  Nie, nie bijcie się, ale... Dlaczego używa pani liczby mnogiej?
1534:  To on mnie bije.
1535:  Nie, nie, nie, nie bijcie się, dzie... Zawsze.
1541:  Zwłaszcza jak jesteś rudy.
1542:  No, dokładnie tak.
1543:  O!
1548:  Kim jest ten człowiek?
1550:  Nie obchodzi mnie kto zaczął.
1552:  Trzeba było nie prowokować.
1553:  Zapomniałem, moi drodzy, o tych hitowych tekstach.
1561:  Najzabawniejsze jest to, że mam ten cholerny ray tracing, a ja i tak tego nie widzę.
1567:  O po co?
1571:  Co to za Baron Harkonnen?
1572:  O Jezu, tak.
1574:  Chcę zobaczyć jeszcze raz propagandową reklamę!
1578:  Ej, udało się!
1579:  Widzieliście, mam nadzieję, materiały z drugiej części Dune'y, bo jest super.
1586:  Ta gra miała 75% negatywnych opinii przez pierwsze kilka godzin, dopóki nie wjechał batalion pozytywnych recenzji, żeby wyrównać do 50%.
1591:  Ja nie wiem, jakim cudem ludzie oceniają grę w pierwszym dniu, skoro... Przyzwyczaić się już powinni, że dopiero po trzech miesiącach jest grywalna.
1603:  To senator planety Utapału, wyjaśnia Mihax.
1605:  Jest tej samej rasy, co Grand Inquisitor.
1607:  O!
1608:  Grand Inquisitor tutaj jeszcze żyje, czy już nie?
1611:  Ja chcę zjeść rzeczy!
1617:  Hmm... Horror i dramat.
1620:  Bardzo mi się nie podoba natomiast ta ostatnia tendencja, która jest w grach.
1623:  O, to jest oczywiście kwestia portu konsolowego, że nie ma się władzy nad... ...obglądaniem się za pośrednictwem myszy.
1632:  To jest okropne.
1636:  Ooo!
1641:  Hej!
1642:  Jak on się nazywał, ten z Rogue One?
1644:  Sympatyczny droid.
1645:  Ryan Merkert nie robię już beta-readingu, ale polecam książki Fanta z grupę na fejsie.
1653:  O!
1662:  K2SO.
1663:  Właśnie, wiedziałem, że będziecie pamiętać.
1667:  Słuchaj, tłuszczowany.
1669:  Już mamy pierwszą kontrowersję.
1673:  Kal... Znaczy, przepraszam, Jamnestis, zamknij się.
1677:  Użyj mocy, żeby rozerwać kajdanę.
1679:  Dlaczego jesteś idiotą?
1683:  Czy my właśnie patrzymy na seksowną żyć blaszaną K2SO, który jest biały?
1695:  Senator zaprosił mnie, żeby wyjaśnić, że on żyje.
1702:  On śpiewa, nie?
1705:  To jest dystrykt bezpieczny?
1707:  Tak, senator.
1707:  Będziesz stwierdził, że jedyny jedyny jedyny jedyny jedyny jedyny jedyny jedyny jedyny jedyny jedyny jedyny jedyny jedyny jedyny
1730:  Pamiętajcie, żeby nigdy nie mówić mu, czy chce coś z Avonu, ponieważ poczyta to jako negatywną i obelżywą wagę w stosunku do swojej skóry i karnacji.
1739:  Jest ona pomarszczona, bardziej niż u Apiego Siwiego.
1741:  To było przyjemne, senatorze.
1746:  Jakim cudem on został senatorem?
1748:  Dlaczego ma płaszcz z łuskami rybimi?
1752:  Ten płaszcz wygląda jak jedna wielka dachówka.
1755:  Proszę powiedzieć, jak się ten płaszcz zachowuje na wietrze, jest bardzo zabawne.
1765:  O!
1766:  Moje!
1767:  Oddaj.
1770:  Wygląda jakby się czesał żyletkami.
1773:  Tak.
1777:  Ale i Amnestys wyprzystojniał moje drągi.
1781:  Hmm... Saul Guerrera!
1785:  Poznamy go!
1786:  Bożeż, poznaliśmy.
1794:  Łaż mu fruwa jak u Longini, tak!
1797:  Jest ze Slytherinu.
1805:  Powiedział, żaden nauczyciel nigdy.
1810:  W pierwszej części poznaliśmy... Naprawdę?
1813:  Ej, ej, moje!
1816:  Poza tym to nie jest kolor miecza, który wybraliśmy.
1821:  Ta różdżka mnie nie wybrała.
1823:  That's what she said.
1824:  Oldor, dziesięć dzięki za wsparcie od czternastu miesięcy.
1827:  Niech moc będzie z tobą.
1831:  Relik wypatrzonej instytucji.
1835:  Matura.
1836:  A, co powiedziawszy schował miecz świet... nie.
1854:  Hahaha, dude, to trzeba jeszcze umieć obsłużyć, hehehe.
1859:  Jachcie?
1859:  Aaaaak!
1859:  Władza, potęga!
1860:  Trzy przyciągnij, dobrze.
1878:  O Jezus Maria, stuknij dwa, aby odepchnąć poprzedni... Panie!
1886:  Zaczyna się hola!
1889:  Tak!
1890:  Tak!
1890:  Tak!
1892:  Good!
1899:  Let's behave!
1901:  We'll talk.
1909:  Nacisnąłem F. O Jezu, co to było?
1915:  Good.
1917:  Ulecz się Q. Aha, świetnie.
1920:  Ale co to było to za atakowanie mocą?
1925:  Piękności.
1926:  Boże, teraz trzeba się nauczyć z powrotem parować.
1928:  A to w tej grze nie było proste.
1929:  Dobrze.
1934:  Ucina im kończyny faktycznie.
1936:  Nie.
1940:  Jak jest, jak jest unik?
1941:  Nie pamiętam.
1944:  Jezu, znowu zginę w samouczku, tak, tak.
1947:  To już jest klasyka tych streamów.
1951:  To dlatego, że jeszcze nie mamy opcji leczenia po każdym ciosie.
1956:  DPI jest ustawiona na milion zawsze.
1958:  Już zapominam zmierzyć.
1963:  Uuu!
1966:  Teraz wszyscy niewinni obywatele Kurusan zaczną spadać z nieboskłonu.
1972:  Czy mają ulubioną postać z Palpi?
1974:  Absolutnie.
1976:  Chimbal Patin to jest jedna z najlepiej napisanych postaci z czwartych charakterów ever i została zepsuta przez Disneya.
1986:  O nie, znowu będzie trzeba być zręcznym.
1991:  Kosiarzem Ilea Shustermana nie czytałem istoty żyjąca.
1996:  BD-1 jest śliczny.
2000:  Czy też wam nie pasuje sformułowanie jacht w tym kontekście?
2005:  No kompletnie nie.
2007:  Pamiętam, tylko straszne.
2013:  Dobrze.
2020:  Dobrze, że do dali odcina nie kończy.
2022:  No będzie, będzie, moi drodzy, większa imersja.
2024:  Arkadiszu, dzięki za wsparcie od dwóch miesięcy.
2026:  Tak, side of the force is a pathway to Yamikovo.
2033:  Tak!
2036:  Skoro mamy krążowniki i niszczyciele, to czemu nie jachty?
2038:  Można tylko, że jacht mi się kojarzy z, nie wiem, z sukcesją albo czymś w tym rodzaju.
2042:  O Boże, znowu w nas strzelają, a nie mamy jak tego odbić.
2046:  Przestańcie we mnie strze...
2049:  Jest sekwencja zręcznościowa.
2051:  Szkoda, że jest nadal mana, prawda, Kingo?
2053:  Swoją drogą, Kinga pisała, czemu nie streamować na Kiku, czy jak to się nazywa?
2059:  Bo to jest obrzydliwa platforma hazardowa i hazard wspierająca.
2065:  Bardzo mi się podoba nowy system otwierania skrzyń.
2070:  Otwórz się!
2074:  Będzie można też niszczyć większość elementów otoczenia.
2076:  Dobrze.
2077:  Rozważ kontroler GameTap'a.
2078:  Nigdy w życiu.
2079:  Absolutnie nie.
2080:  Najgorsza rzecz, jaką można zrobić kiedykolwiek.
2082:  R. Skanowanie.
2086:  To jest jedyny powód, dla którego nie gram nigdy na konsoli, moi drodzy.
2088:  Uuu, co to jest?
2089:  Strasznie mi się podoba ten język.
2092:  Nigdy nie pamiętam, jak on się nazywa.
2093:  Dobrze, że nie musimy się na nowo nauczyć wszystkich umiejętności mocy, bym się rozindyczył.
2097:  Uuuu!
2098:  Ciachu, ciachu!
2102:  Aaa, nie obejrzymy już TVP!
2105:  Bardzo mi przykro, nie będzie paseczków!
2108:  Nie ma, nie ma!
2109:  Piotr Pokraśko już nic nie powie!
2112:  A nie, Piotr Pokraśko już nie pracuje w TVP, zapomniałem.
2115:  Nie ma!
2116:  Precz z telewizją!
2123:  Co tutaj się dzieje?
2124:  Mmm, wiecie co zrobimy?
2129:  Haha, zawsze bawi.
2131:  Przepiękność absolutna.
2133:  Uuu, następna antena.
2136:  Zobacz mapę.
2143:  No dobra, przynajmniej dodali tę wstążkę śmieszną, za którą możemy iść, więc jest minimalnie lepiej, ale w dalszym ciągu mapa jest mech.
2152:  O Jezus Maria.
2154:  Naciśnij spacji, gdy jesteś w powietrzu, żeby wykonać salto Jedi.
2158:  Mmm.
2159:  Tylko Jedi wykona salto Jedi.
2162:  Kraśko, to nie TVN?
2163:  Piotr Pokraśko zaczynał w TVP, moi drodzy.
2165:  Tak było.
2166:  Rex Kellion, niech będzie moc z tobą również.
2169:  I to Jamnicza, moi drodzy.
2172:  Dobrze.
2175:  DZIERONI MOJAMNIKI MOJ!
2177:  Dobrze, bądź.
2179:  O i tak.
2181:  Anteny zastąpiły was, jest to prawda, moi drodzy.
2186:  Ależ mi się podła... Nawet na rury działa, ale nie na wszystkie rury, niestety.
2190:  To jest sen przez rury.
2192:  Co?
2192:  O nie, znika.
2193:  Jak ja nie lubię jak znika, jest nieimersyjnie wtedy.
2196:  Może przestań?
2197:  Unik z tabulator na kontrol?
2198:  Naprawdę unik jest pod... Unik jest pod tabulatorem?
2201:  Nie żartujcie sobie.
2203:  Sterowanie.
2209:  S-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-
2239:  Co?
2241:  Okej.
2242:  Control.
2244:  Dziękuję.
2245:  Nie ma konfliktu.
2246:  Mam nadzieję, że nie ma konfliktu żadnego z kontrolem.
2250:  Nie ma.
2250:  Nie ma.
2251:  Nie ma.
2251:  Nie ma.
2252:  Nie ma.
2252:  Nie ma.
2253:  Nie ma.
2253:  Nie ma.
2254:  Nie ma.
2254:  Nie ma.
2254:  Nie ma.
2255:  Nie ma.
2255:  Nie ma.
2256:  Nie ma.
2256:  Nie ma.
2257:  Nie ma.
2257:  Nie ma.
2258:  Nie ma.
2259:  Bardzo małe sterowanie.
2260:  Nie ma.
2260:  Dobrze.
2263:  Skupienie na dole masz.
2266:  Skupienie jest... Skupienie było?
2269:  O nie.
2274:  Na samym dole?
2275:  Naprawdę?
